	Terrific Hotel-very pleased	I saw some of the reviews here and was somewhat afraid of what I would find, but what a nice hotel at a great value! Really a good neighborhood near the Kilburn Park tube stop and a short bus ride to central London on the 16 bus. Friendly staff, great breakfast, nice room, nice health club, what more could you want. Practical shopping district up from the hotel, with grocery store, Starbucks, pharmacy and restaurants. Eggy the concierge was very helpful. I would highly recommend this Marriott, and I travel alot and stay with the chain almost excusively.	
Jan 24 2009 	Awful service poor facilities. Avoid this one!	I stayed at the London Marriott Hotel Maida Vale on business in January 2009. I have previously stayed at Marriott Hotels on business and always enjoyed great service and facilities. This was the main reason I selected the London Marriott Hotel Maida Vale when I was staying in London. The nearest Underground station to the hotel is Kilburn Park, on the Bakerloo line. Turn left when you come out of the station, go up to the traffic lights and turn right. The hotel is approx.400 yards down the road, and clearly visible. It is 5 minutes walk from the Underground to the hotel.The hotel itself is at one end of Kilburn High Street, which has many late night shops and supermarkets open for things like toiletries, drinks and food. There are also some very good restaurants nearby - ask the concierge at the hotel, and he will give you a map detailing the best. However, be aware that Kilburn High street contains several pubs, and that the locals can very noisy and sometimes aggressive - they certainly were in the evenings when I was shopping!The hotel itself is a modern building, which is a well laid out and attractive reception. It has an adjoining bar where you can get reasonable priced bar meals, and a much more expensive restaurant which I didn't use due to the ridiculous prices.Check-in was fast with no problems. HOWEVER... once in my room, I experienced a number of annoying issues and poor service that were NOT addressed by staff or management:MONDAY: the television in the room had very poor reception – black interference bars on the screen, shadowing, and the majority of channels were simply not watchable. I rang reception, who said that they would send someone up to attend to it, but no-one arrived. I also ordered food and drink from room service, but only the food arrived. The drinks eventually turned up 30 minutes later!TUESDAY: No complimentary paper left outside the door. When I left in the morning, I told reception about the poor reception on the television, and they said that they would send someone up to attend to it. When I returned in the evening, items such as tea, biscuits, milk etc had not been refreshed in the room. I checked the television and reception was still poor. I rang reception, and they sent Maintenance, who agreed that the reception was very poor. They spent approx.15 minutes replacing cables and television, but the reception was still very poor. They said that they would flag it as a fault, but that there was nothing else that could be done. For the rest of my stay, the majority of channels on the television were unwatchable.WEDNESDAY. No complimentary paper left outside the door. In the evening I ordered room service, but when it arrived it was the wrong order. I rang “At Your Service” who apologised and said that the correct meal would be sent up. This eventually arrived over an hour after I ordered my original meal. I was still charged for this meal on my bill.THURSDAY. NO HOT WATER IN THE ROOM! I rang reception who said that there was a fault and the only option would be to take a shower in the adjoining Health Club. No complimentary paper left outside the door. When I returned in the evening, items such as tea, biscuits, milk etc had not been refreshed in the room.This is not a level of service I would expect from any hotel, let alone a Marriott Hotel.On the plus side, the room was clean, and all bathroom fittings worked. I used the pool in the adjoining Health Club - this is only a small pool, and more for relaxation rather than swimming. There is also a sauna and a steam room. However, families should be aware that children are not allowed in the pool after 6pm.I will not be staying at the London Marriott Hotel Maida Vale again!	
Jan 3 2009 	Good Accommodation For The Price	I stayed in this hotel for one night just before Christmas for a shopping/sight seeing trip with my mother. I paid $106 through a successful Priceline bid and I felt I got excellent value for money.After reading this review, you might want to check out my review of the Marriott Regent's Park, where I stayed the December before. They are comparable hotels in terms of style, price and distance to the city centre.The room was comfortable and well appointed in Marriott style. It was quite small, but contained two double beds which is good, bearing in mind that twin in London generally means two singles. The bathroom, also small, was freshly decorated in marble and granite.The hotel has an an Italian restaurant, specialising in pizza and I thought the meal we had there was nice and quite good value. There is a bar, which we didn't use, but it looked very cool - lots of booths, sofas and candlelight (very W).It's about a 7 minute walk to the nearest tube station and a 10 minute ride into central London. Immediately surrounding the hotel is a colourful and bustling residential and small retail business area, with plenty of cafes. You are well placed for a visit to Little Venice.I cannot decide which of the two hotels I like more. The Regent's Park one is more spacious in its public areas and has bigger rooms (with balconies), but Maida Vale has the better restaurant and bar. Regent's Park is more convenient for parking, but the tube ride from Maida Vale is a bit shorter. I would probably go with whichever one had the best deal, and going through Priceline, I would be pleased to get either.As I nearly always do with these reviews, I want to emphasise that it was very good for the price paid - I don't think it is good value at the full rate.A tip. The hotel is located in the arrowhead where two busy streets converge, with one wing on one street and one on the other. In the middle is a courtyard. The rooms that overlook the courtyard are very quiet, whereas I suspect the ones overlooking the streets will suffer from the noise of heavy traffic.	
Dec 31 2008 	Recommended hotel for a one night stay	Room was reasonable size and very clean. All staff were very helpful and polite. Room service was delivered quickly. 10 min walk to tube station. Ideal for a one night stay/short break in London. Secure underground car park availbale to £25 per night. Very happy with the stay, would return again.	
Nov 15 2008 	Excellent Service	We stayed here in November of 2008, my husband and I and our 5 teenage kids. We had two rooms, both very tidy and clean. We arrived a few hours before check in and were still able to check in right away which was great after an 8 hour flight. Housekeeping was excellent. Rooms were a decent size for the UK. Wake up calls were prompt and front desk staff very helpful with any questions we had about where things were or how to get there.The blow dryer was in the desk drawer which was a little weird but it worked out great as I could do my hair while someone else was in the bathroom!Tube station was a short walk of less than 5 minutes-Kilburn Road. We didn't use the health club or pool so I can't say anything about them. There was a complimentary paper every morning which was nice and the tea and coffee was replaced every day. Very nice experience!	
Oct 19 2008 	OK but maybe worth the low price	I was made so nervous by the reviews on here that I booked this hotel for only half of my six day visit to London. In the end, I thought both the extreme negative and extreme positive reviews overstated the point.On the plus side:Relatively large roomNice televisionInternet worked easily and wellComfy bedOn the negative side:I got a smoking room even though I requested a non-smoking room.Blow drier nowhere to be foundInternet overpriced at 15 pounds per dayIn the middle:The English breakfast was fine and the staff helpful, though they did neglect my tea one morning. The continental part of the breakfast buffet is rather half-heartedI would prefer either the Telegraph or the Guardian to the Times (odd preferences, I know, but they are, in different ways, the least like what I can get in the US)The neighborhood is not as dodgy as some make out. The hotel is right on the edge of a fairly posh area and the walk from the Kilburn Park tube station is short and there are lots of people out even fairly late, so it feels at least as safe as some parts of central London.	
Sep 29 2008 	Not in Maida Vale!	Stayed here a couple of nights last week. We were on the business floor so the room was quite a good size with a king sized bed. I do hate rooms where the window is locked (there was a note about the air conditioning) but air con is not good for everyone especially my asthmatic husband and I always wish one had the option. Everyone was very helpful (especially the concierge re car park) and the food was good when we had a light supper in the restaurant. It's a bit of a con to call it Maida Vale as it is in Kilburn High Road some distance after the road and area called Maida Vale ends! This caused a bit of confusion with a cabbie and had we not had some local knowledge could have been very confusing for tourists. Overall it was fine, we needed to be in that area visiting someone but it was £14 back in a taxi from the west end which tourists should be aware of it they think it is central.	
Aug 21 2008	Good Value - would stay here again	I chose this hotel because of favourable Tripadvisor reviews and was not disappointed. Our standard double room was a good size with a massive, comfortable bed and quality bedlinens. The bathroom was also very good - spotless &amp; well kitted out with toiletries, fluffy towels and a powerful shower. The buffet breakfast was plentiful, varied and of a pretty good standard. My husband particularly liked the porrridge which he said was delicious!The location of the hotel is not what you would call central, but it's a maximum 5 minute walk to the Tube which gets you into town in about 20 mins. I think the room rate was good value (£128 a night for bed and breakfast for 2 adults and 1 child on a Family Package) perhaps because it's not bang in the centre of things, but the more central Marriotts were much more expensive and (for us, anyway) the location was not a problem at all. What impressed me most about the hotel was the staff - friendly and welcoming at all times, they really helped to make our stay enjoyable. In a city where indifferent service is quite common, the high standard of service here really stands out.	
Aug 12 2008 	some good some bad	We stayed here for one night in a fab suite with living room,kitchen etc.We had access to the executive lounge which was worth it as the kids has a never ending supply of free lemonade and crisps They served samosas in the evening too .We had a nice meal of pitza that night and the staff were very keen to please.The break fast was not great, the toast was like tesco value it was so thin.The waitress kept saying we were not on the inclusive package over and over again and we kept saying no problem.It was very multi cultural, our children were amazed to see all the different types of dress.The spa was DREADFULL. there was grime all around the sides of the pool and people had written in it &quot; I eat birds&quot; which was really odd .It was small and mouldy and in the basement .It is owned by Duncan Ballantyne( dragons den).Even my kids didnt like it. We had sore throats the next day which I think was the dirty water.	
Aug 9 2008 	We liked the Marriott Maida Vale	Nice place to stay...very clean with a very nice breakfast. It was only a five minute walk from the Kilburn Park station, so it was easy to get around on the Underground to see the sites in London. It was more reasonably priced than other hotels because of its distance from downtown. We were worried that it would be too far from the main attractions, but this turned out to not be the case because of its accessibility to the Underground.	
Aug 3 2008 	Great Marriott in London	We visited this hotel several times now, and having tried other similarly priced Marriott hotels in London, we keep coming back. The staff were very friendly and helpful, we got upgraded every time for being Marriott rewards members, breakfast was fab and the pool (although a bit small) is really nice and well cared for. We had complimentary use of the executive lounge every time we visit, and its great in the afternoon/evening for relaxing and having a bite to eat. You almost dont need to go buy dinner unless you are very very very hungry! On one trip we had dinner included in the resturant, I believe it was a Valentines package, which was very very nice (for a Hotel resturant!) and the staff were fantastic. The tube station is about a 5 minute walk. The hotel seems to sit smack in between a very posh area and an area compromising of high-rise council flats. The walk from the tube to the hotel was a bit scary one weekend evening when a group of kids were congregated at a bus stop, but you would probably only feel a bit vulnerable if you were an 'obvious' tourist (ie carrying a map or your suitcases!) if it was late at night/dark. I would probably be slightly cautious at night now having seen that. During the day it is fine. As a keen runner, the hotel staff gave me a fab jogging route - admittedly it was around the 'posh' area - but I felt perfectly safe on a morning running alone with my I-pod on. There is a convenient Tesco Express just down the road, fab for getting a drink or bite to eat when you dont want to spend hotel prices! There doesnt seem to be any restaurants around locally, so I would recommend getting a room with breakfast included and dinner whilst out and about in Central London.	
Jul 15 2008 	Excellent overall experience at Marriott Maida Vale	Stayed at the Marriott Maida Vale 18-22 June with my wife and two teenage daughters and it was extremely comfortable. It takes about 30 minutes to get to most places, but bus and underground service is easily accessible and gives you a much better feel for &quot;living like a local&quot;. Best of all, the management staff was superb. We had a mix up where our daughter's luggage got put into another guest's car. Catherine Lassan, one of the hotel managers, took care of everything including locating it and forwarding on to our apartment in Dublin. I highly recommend the Marriott Maida Vale.	
Jun 19 2008 	Yet another great stay at the Marriott Maida Vale	This was the 3rd time I stayed here. My parents flew over to visit me from Canada, and I booked a room with 2 double beds, non-smoking. It said at booking that the room could not be guaranteed, but as usual, I was not let down. As my parents flew in very early in the morning, I was very pleased to hear they were able to check in as soon as they arrived. Our 2 double bed, non-smoking room was ready just after 8:30am. My parents could not stop talking about how comfortable the bed was, and how it was a welcome retreat after the hassle of flying into Heathrow. We had a lovely dinner in the restaurant downstairs, and as usual, the breakfasts were superb, although a little busy with a wedding party staying there. Even with all the guest there that weekend, we didn't hear any noise in the hallways, and had a very peaceful, quiet sleep.I've been to so many different hotels in the last few months, and I always look forward to this hotel when I'm in London.	
Jun 12 2008 	Excellent hotel for families	I was a little concerned after reading some of the negative reviews on this site, but my fears were entirely unfounded. My husband, two kids, and I spent 9 nights at the hotel. The room was a little smaller than a Marriott would be in the US, but it worked out fine. The room had two beds which appeared to me to be queen sized, but the hotel called double beds. The bathroom was a good size, and up to date. My only complaint about the hotel was that the bathroom could have been better ventilated. The room was kept very clean, and the staff worked around our schedule for getting out in the morning. Our rate included breakfast for two, and the kids' breakfasts were complimentary. The breakfast was served buffet style, but everything was fresh. My husband ordered an omelet every day because the buffet scrambled eggs did look a little nasty. The service was excellent and cheerful throughout the hotel. The kids really liked the pool, which is heated and indoors. The hours of the pool for children end at 6 pm, though, which I did not like. The location of the hotel is not central. With kids, though, sometimes it's better to be in a quieter, residential neighborhood. The immediate neighborhood is pretty urban and commercial, so there's no problem finding the services you need like a cash machine, drugstore, coffee place, and inexpensive ethnic restaurants. If you walk east over the hill, there are a bunch of restaurants on or near Abbey Road that we liked a lot. Transportation is fine; the Kilburn Park tube station is about four minutes away, the overground train station is about 5 minutes away, and there are good bus routes near the hotel that take you to Oxford Street or Camden Town. (The double-decker bus is the highlight of my son's trip to London.) I would definitely recommend this hotel.	
May 30 2008 	Amazing Service	My husband and I stayed at the Maida Vale for 3 days as a stop-over on our way to Germany. The hotel was beautiful, the beds comfortable, very close to a tube station, but nothing compares to the amazing staff. After we had checked out of the hotel and arrived at the airport, we realized that we had left our passports in the Safe back in our room. We immediately called the hotel, gave them the safe code and asked them what our options where. They were so incredbliy helpful and sent a hotel taxi on an emergency run to the airport with our passports. We received out passports in plenty of time and can not thank the staff enough for all of their help. We would stay there again in an instant!	
May 6 2008 	Convenient location	We actually shared a room with another couple during this trip, making it somewhat cramped; however, we generally left the room each morning and only came back at the end of the day after sightseeing and eating dinner. Despite the close quarters, our stay there was very comfortable. We never ran out of hot water and the room was cleaned every single day. We started the day with their breakfast, which was pretty filling. My husband particularly loved the buttermilk drink they served. We also found an Indian fast-food kind of place down the street that had inexpensive but tasty meals. We ate here one evening before heading out for a night on the town. We also ate at the Little Bay restaurant mentioned in another review and loved it. I was somewhat disappointed to learn it was a chain...experiencing it to be unique and very good quality. It took us some time to get to the city center, but the train is not too far away and many of the sights in London are within walking distance of each other. The area surrounding the hotel can looked a little unsafe, but we did not have any problems here even when we returned late at night. The hotel staff were always friendly and courteous. They even helped us with recommendations for dining out.	
Apr 28 2008 	Good location and great rooms	Marriott Maida Vale. Marriotts most distant inner London offering but very easy to reach…use the overground and its only 2 stops and a quick left out the station it’s a 5 minute walk…the underground station is a bit more complex but a slightly shorter walk however the no changes required for Euston makes the overground a better solution with 3 days baggage. In other reviews I have stated Marriotts in London can be dramatically overpriced…but there is little rhyme or reason to it…on this occasion we got the room on a b+b basis for £109 night, Marriott is definitely worth a reasonable premium over the other 4 star chains…I would say an extra £20 night and with midweek prices in London at good 4 star properties standing at about £100 room only, b+b at Marriott for £109 night is good. This is a typical Marriott offering…spotlessly clean with all facilities working…wonderfully comfy beds and a good sized room. Only small point is the small bathroom, ordinary sized by London standards but nonetheless small for Marriott and the tiny wardrobe in which you’ll fit no more than 6 or 7 outfits, ok for 1, a squeeze for 2 persons clothes. Nonetheless the position is good and it upholds Marriotts high quality brand image excellently. It has a good working desk for business and all staff are both knowledgeable hnd helpful.	
Apr 23 2008 	Standard Marriott in quiet out of the way neighborhood	I have stayed at Marriott Maida Vale on several occasions for business travel. It is located in the quiet Maida Vale area northwest of Paddington station. It is not centrally located but has convenient access to Bakerloo line on the tube. The rooms are large by London standards and appointed to typical Marriott tastes (there's no doubt you're at a Marriott not a trendy boutique hotel or comfy bed and breakfast). The staff have been friendly and helpful on my trips there including allowing early check in from overnight flights and moving me from a room with a little too much noise (there was a film being made during one of my visits).	
Apr 17 2008	Great location 	Our stay: 4/2 - 4/6) We checked in very late on 4/2 (11:30 PM) upon arrival to London. They were nice during our check-in and after making our way to our room, 722, we we headed back downstairs for a quick drink before passing out from exhaustion (traveling all day!). We hadn't noticed that our confirmation receipt entitled us for breakfast during our stay, but we handled that the next day.The room wasn't very large, but I didn't expect an oversized room from reading past reviews, but for the amount of time we were actually in the room, it didn't really bother us. Our view left a bit to be desired, but again, we weren't in the room that much during the daylight hours.The shower was extremely high so it was quite a climb into and out of it each morning, but it made us laugh. The water was always hot and the pressure was fine. The hair dryer in the room wasn't the best, but I found a better one in the drawer of the desk, why it was there I have no idea. Plus, it was screwed into the drawer so my reach was very limited.I tried to be &quot;green&quot; and not leave my towels on the floor or in the tub to be replaced, but they replaced them each and everyday no matter what I did. The safe worked perfectly as well as the fridge to keep our bottled water cool.So, the next day when we returned to the hotel I had my husband go downstairs to inquire about getting us breakfast, thank goodness I had that receipt with me. Apparently the guy at the desk said that because we missed our first day of the breakfast there was nothing he could do to, but offered my husband to speak to the manager. The manager was gracious enough to fix the situation and we got breakfast each morning for the remainder of our stay.1 1/2 blocks away was a small convenient store, Tesco, where we were able to get snacks, drinks, etc. You cross the street at this Tesco for a short walk down the block to the Kilburn tube station. It couldn't have been easier to get to and from the tube station and we always felt safe no matter what time of night we got home. The staff was always very nice and the concierge desk was there to help and if they didn't know the answer they didn't hesitate to make a call or 2 to find the answer. The staff in the bar off the lobby was really gracious and very pleasant. Upon check-in the staff provided us with a map of local restaurants and we tried the Thai restaurant that was a short walk away, Bhan Thai. It was really good! There were other restaurants that we would have tried, but we were limited on days. Our last night we tried a GREAT restaurant, Little Bay. It was also a short walk from the hotel, we went with our friends upon their recommendation as they frequent this place a lot. That was a wonderful meal! We also saw that we were close to The Beatle's Abbey Road. We had reservations for the EuroStar for Sunday afternoon to head to Paris for the 2nd part of our vacation and early Sunday morning it actually SNOWED! It was great to see the snow and it was fun to talk to some of the staff who don't get to see it that often.Overall, it was a pleasant stay and we'd most definitely return to when we come back to London. The location is great for the local tube station and only a 7 minute drive (or 2 tube stations away if taking the tube) to my friend's house where we spent some time. I would recommend this hotel.	
Apr 14 2008 	A reasonable hotel let down by maintenance and service	Booked through Marriott website and got a good deal: so far so good. On arrival at hotel, told we were upgraded to an executive room: very nice too. On further examination of our bill, found that we had paid for an executive room, so weren't upgraded. We were left the uncomfortable feeling that we were paying 30 GBP more than the couple next to us for the identical room. Reception wouldn't upgrade us to a Junior Suite. Entered good-sized, reasonably appointed room and were overcome with the heat. Air conditioning didn't work, so made first call to maintenance. Opened minibar, found fur growing on the shelves. Made second call to maintenance. Turned on television, then could not turn it off. Made third call to maintenance. Everything fixed, but the first three hours at the hotel were used to fix the shortcomings in the room. Went to the Executive Suite, key card didn't work; it wasn't programmed correctly.The Executive Suite itself was a disappointment, no free wi fi for PDA, only cable connection. Rarely saw a member of staff so tea and coffee ran out. Lastly, on checking out, tried to charge us 25 GBP for 1 1/2 hrs parking. Complained about shoddy service at the time and wrote a letter of complaint afterwards. No one deigned to reply.Definitely could do better.	
Mar 31 2008 	Great Hotel Friendly Staff	Went on a long weekend to London with my wife &amp; my 7 yo son. Was by far the most reasonable 4 star hotel we could find, &amp; with the bonus of the use of the pool.After reading some of the reviews, i was a little apprehensive before we arrived, but no such trouble at all once we were there.Ok, Killburn isn't Knightsbridge, but we went walking around in the dark at 9.30pm after dinner or returning from the centre from the tube &amp; I always felt totally comfortable. My wife went out by herself afterwards to go to the nearby supermarket aswell, again, becasue she felt comfortable &amp; unthreatened doing so.Back to the hotel - It was really welcoming, &amp; the staff were very helpful. The room itself was really spacious, &amp; that includes the Queen sized bed! We didn't have the fold-up guest bed in the room for my son on arrival, but a call to reception &amp; it arrived already made-up within 10 minutes. I have some minor grumbles, but in comparison to what can often happen, it really was minor! On our first night we thought that we must be below a function of some kind even though we were on the 2nd floor. This was because every half hour or so there was a noise like a chair being pushed back on a hard floor. A quick look the next day showed it was just another room above, so i listened more closely &amp; i think it was something to do with the heating pipes or something! Either way, it wasn't bad enough that we wanted moved.Secondly, &amp; probably most importantly, the window is completely sealed so you cannot allow any &quot;fresh&quot; London air in the room! There is an air ducting system controlled in the room, but it had to be on all night or we woke up feeling really blocked-up!I understand security issues in hotels, but it would have made such a difference even if it could be opened an inch - or there was a decent vent on it. We were waking up desperate to get out to get fresh air!Overall though - very good - &amp; we would definately go back.We never ate in the hotel, but i cannot recommend strongly enough, a small Thai restaurant cum takeway on Kilburn High Road called Spicy Basil. From the hotel walk past the Kilburn High Road overground station for about half a mile, &amp; it's on the left. If you dont mind basic &amp; no alcohol license it is the freshest, most tasty, cheapest Thai food I have ever eaten! We went twice out of 4 nights!! It was full of locals &amp; on our second visit we had to queue for 10 minutes for a table. That should speak for itself !!	
Mar 25 2008 	Great Stay	Stayed here for 2 nights, through British Airways when booking our flights. I was expecting a average hotel a ways out of central London, and was very surprised with what we found. Easy quick walk from the Kilburn Tube stop, beautiful hotel, large clean rooms, and an overall enjoyable stay. Would certainly reccommend for anyone on a budget that requires a nice clean roomy accomodation. Dont let the distance from the centre of London discourage you, as the tube is quick easy and efficient.	
Mar 25 2008	Maida Vale Marriott	I consistently stay at the Maida Vale Marriott for work and I have very few complaints about this hotel. The rooms are not large but are on a par with other London hotels. I have always found my rooms clean and tidy.I am surprised at the comments on the staff because London is a multi cultural city and as English is a second language of some of the employees you may have to occasionally repeat yourself. But this is no different to many other businesses in London. I have always found the staff helpful and on a number of occasions they have gone out of their way to secure me a room when I have arrived off a long haul flight. The porters always have a smile and hold the door open for me. The area is most definitely Kilburn but if you are streetwise it is not such a bad area. If you want to eat locally I can recommend some local bars and restaurants within walking distance. Luna Rossa - 45 Kilburn High Road - This is a low key Italian place just up the road from the hotel. The Clifton - 96 Clifton Hill - This is a traditional old pub that is nice for drink or some basic food. It is about 5 minutes walk from the hotel heading towards St Johns Wood. The Warrington Hotel - 93 Warrington Crescent - This has been purchased by Gordon Ramsey and is a traditional old pub. It is about a 20 minute walk from the hotel towards Warwick Avenue tube. The Waterway - 54 Formosa Street - This a more upmarket modern bar beside the canal. Again it is about a 20 minute walk from the hotel and great on a sunny day. The E Bar - 2 Warrington Ave - This is a little spanish tapas bar. Supermarkets - There is a Tesco Metro within 50 metres plus a Marks and Spencers a couple of minutes down Kilburn High Road. Walking - If you venture for a walk down towards the Warwick Avenue tube and the canal area you will also find some other little gems of restaurants. A weekend afternoon walk round this area is a great way to fill an hour or so. The closest tube is Kilburn Park, about 5 minutes walk from the hotel, which takes about 20 minutes into Central London and the Bakerloo Line is fairly reliable. The Kilburn High Road train station is up on Kilburn High Road and there are trains into Euston every 20 minutes however the 'Overground' line can sometimes be unreliable. Black taxis may not be that available due to the area but the hotel can call you one or call a mini cab.	
Feb 13 2008 	Much Much Better than expected!	We have just returned from a weekend at the Marriott. Having looked at reviews before we travelled I have to say I was not really looking forward to it. Let's get one thing straight - this hotel is in Kilburn not Maida Vale! But don't let that deter you. If you want a very good hotel outside of London with good/fair transport links (our tube line went down Sat night/Sun morning) then I would have no problems in recommending this hotel.However, in saying that we did have some minor issues. Firstly, I did not choose this hotel - it was included with a package to a football match. The first room we were given (2nd floor) was fab - no complaints so far. Went out and about in London town and returned (frustrated a bit by the tube) at approx. 12.30 a.m. Little did we know that our room was above the function room and we were treated to Abba's Dancing Queen for starters. I immediately phoned reception and asked to be moved. He couldn't have been more apologetic. Within about 10 mins there was a knock on the door and we were given a key to a room on the 4th floor. Again an apology was offered. Great service I thought! Got to the new room on the 4th floor, unfortunately it was a smoking room (I'm off them about 6 weeks so this was not good for me!!!) and the other downside was it faced the main road - traffic was very noticeable. I would have asked to be moved there and then, but I was persuaded (by my partner) to stick it out for the night. Room itself was perfectly fine with the exception of the smoky smell.Had breakfast delivered to our room the next morning, not great - but I find this with most room service breakfasts. After breakfast I phoned reception to ask about being moved (again) to a non-smoking room. No problem! As we would be out for most of the day we were asked to have our luggage ready and they would move it to a new room. Upon arriving back to the hotel later that evening we asked in reception for our new room key - the girl was also very apologetic. We were back on the 2nd floor and the room was fine and our luggage delivered. Not as big as our original room but I had also requested a room at the back of the hotel and been assured there was no function on later that evening.Breakfast the next morning (in the dining room) was much better as it was fresh.All in all, even though we changed rooms twice, I would say that the service we received and the rooms we had were perfect. The staff couldn't have been more helpful and friendly - even though we were fussy customers! If you're booking this hotel I would suggest that you request a room away from the main road and on an upper floor.	
Feb 5 2008 	Comfy bed Good transport links	There have been some rather wide-of-the-mark statements made about this hotel - people saying &quot;the area is dangerous.&quot; Granted, it may not be most salubrious area of London, but some hotel chains have put their name to hotels built in areas much, much worse than Maida Vale/Kilburn. Anyway, onto the review - check in was efficient (the bellboy even introduced me to the check-in staff, never had that before!!)and staff were willing to help with any request you had, and grovellingly apologetic if they had run out of something as trivial as screen wipes for your laptop. Room was spacious, clean and the king size bed was very comfortable to say the least (needed after the day from hell in meetings). Didn't eat in the hotel, so I can't comment on the food, but the Luna Rossa Italian restaurant over the road from the hotel did excellent, reasonable food and also did take-away so I just bought in pizza and pasta from there and ate it in the room.Transport links are fine. Bakerloo Line runs to Kilburn Park (about 5 mins from the hotel) throughout the day, and the London Overground runs from Kilburn High Road just 2 mins up the road from the hotel and gets you to Euston in less than 10 minutes. Just remember to get an Oyster Card!All in all, a pleasant and confortable stay. I'd recommend it to others. I have stayed in better Marriots than this one, but that doesn't mean that this is a bad hotel.	
Feb 3 2008 	Fine Hotel but some details went wrong	The Marriott in Maida Vale is easy to reach by car if you are coming from the North of England. The rooms are fine and the beds are pleasant by London standards. We stayed there a number of times. We booked the Hotel via the Marriott websitre and need to point out that the option to include breakfast is worth it as the breakfast is very goodThe other option is to add a travel pass for the underground to your hotel reservation. The value is 5.3GBP (January 2008) so for 2 people this looked like a worthwhile option. However when we arrived the staff was not very well informed about this booking option and things did not go smoothly. We did not get them the first day and the second day we had to ask twice and got them after waiting 45min. so not a recommended booking option. They also increased their garage prices to 22GBP per night and the VAT is not included in their indicated pricing if you reserve the hotel on their website. Charges of around 2-3GBP each for a local London telephone call making enquiries mean that this hotel is not really a bargain on weekendbreaks anymore.	
Feb 2 2008 	Not your typical Marriott stay	We always try to stay at Marriott hotels because we typically get very good service and clean rooms. Therefore I picked Marriott London Maida Vale for our stay in London in June 2007. I knew it was some distance from Central London but because we were using Marriott points for our stay I was ok with that because this location required fewer points for our stay. The hotel is about 10min walk from a subway station which gets you to central London fairly quickly. The weekend we were there was the weekend when London had the 2 car bombs disarmed. For that reason we were actually glad that we were not staying in Central London. We had 2 rooms reserved. They were not connecting rooms as we had requested, they were actually on the opposite ends of the hallway. The rooms were small but clean. The bathroom was clean as well. However we had no hot water in one of our rooms and it took 3 phone calls to the front desk to get someone to check it. The front desk treated us like we were stupid and did not know how to turn the hot water on. Finally someone comes and checks the shower just to make a statement that &quot;you are right, no hot water&quot;. After that it took over 1 hr to get someone to come and fix it (broken part).The floor we were on smelled like curry so strongly that it made me nauseated. I don't usually complain about that kind of stuff but the smell truly was unbelievable.We stayed there for 2 nights and both nights in the middle of the night the fire alarm went off. That was scary considering the weekend we were there (car bombs). After the first night the management sent a letter to each room explaining the alarm but nothing after the second night. Maybe it was the curry smell that made the smoke alarm go off.One of the rooms did not have a tea kettle but the other room had one. When we asked for one they told us that the hotel does not provide one. When we pointed out that the other room has one we got no answer and no tea kettle.The A/C in one of the rooms didn't not work right, the room got extremely hot during the night.I wrote a long list of my complains after our stay and I was going to write a letter to the management ( I honestly think I had other complains also besides the ones I listed on this review but I don't remember them anymore, I just remember my list being long). However they had credited our Marriott account with 20 000 points, not sure if it was a mistake or a credit for our unpleasant stay. Therefore I decided not to write the letter.	
Jan 8 2008 	Marriott should remove their name from this hotel	This Marriott is completely sub-par and below the standards of Marriott Hotels. The front desk agent was not well presented in representing the hotel and was not a good first impression.The location is dismal. I booked knowing that it was not in the heart of the city, however, it was in an area that was in the &quot;slums&quot; of the city, plenty of cheap bargain stores steps from the hotel.The room was the quality of a 2* motel 20miles outside of the city. Amenities were completely outdated, plastic, taps were tarnished and stained. One day we received 3 wash cloths, another day we received 1, another day we didn't have any and I had to call down for 1. Towel quanitites were not consistent either. Housekeeping cleaning was non existent, ie: kleenex left on the floor when they cleaned the room.Beds were old &amp; &quot;stale&quot;.Waste basket, hot water kettle etc were cheap dollar store type quality.	
Nov 8 2007 	Horrible hotel	I spend 3 nights during a business trip. I don't understand how this can be really a Marriott?! The location is disaster, I was with another girl and we were advised by the very polite consierge not to hang around the district, coz it is dangerous. The room had a strange smell and the bathroom was dirty and with old equipment. Restaurant is a desaster too, I had some overpriced something like spaghetti. The only good thing was the staff, very nice and polite, actually too good for this hotel.	
