	Great Location -- Nice European Hotel	Stayed here over the long &quot;Thanksgiving Holiday&quot; - first time to London and thought this is a charming, nice location hotel. I couldn't have been more happy. Compared to other hotels I have stayed in Europe the room wasn't SUPER small....	
Jan 16 2009 	very nice place	I like the Cavendish, it is a very well kept, friendly hotel in an excellent location with good value. Rooms are very nice and reasonably sized, very clean. Service is excellent. The lounge area in the first floor is a very nice place to chat with friends.I can recommend it. The only minor complaint is, that you have to pay for Internet in your room.	
Jan 4 2009 	good location	My husband and I stayed on a pre Xmas shopping and theatre break. We wanted a good location for both and this hotel is great for both. We stayed in room 1013 which wasn't noisy and although quite compact was clean although I thought they weren't very generous with the complimentory toiletries etc given that we were there for 5 nights!I agree with some of the other comments about rates - we booked online at their special online rate for advanced booking - thinking we were getting a good rate - but when we arrived they'd just charged us the full usual rate for bed &amp; breakfast! Our fault really for not checking.There were queues for breakfast at weekendwhich they warn you about but given the size of the hotel I thought they'd have sorted that issue out somehow. The service on weekdays was poor, but fine at the weekend.	
Jan 3 2009 	Great Location Friiendly and Professional Staff	Stayed on the 9th floor for 4 nights. Very good location and the bed was comfortable. Nice view of London if you prefer to spend time looking out the window. As far as hotel rooms in London, it would probably rank higher than the trip advisor # 45 rating. The bathroom was adequate with a nice enough tub. The mini bar tended to lean towards booze with a couple of pringle tins and some wasabi nuts on offer. If the carpet in the room had been replaced (it was decidely scruffy and needed to go) I would have ranked the hotel higher but I tend to fixate on such thing as well as the strange photo/artwork on the walls (why is there a picture of a woman in a cocktail dress and hat from the 30s hanging there and a man jumping across a puddle?....is this supposed to be 'contemporary English/British?' I found it odd and almost creepy.) The staff was excellent, well trained and professional. It is true that you can hear people talking in other rooms but this isn't so suprising for a European/British hotel considering the constraints on space. I would stay there again....	
Dec 29 2008 	Great base for theatre and shopping	We stayed in this hotel for one night on a trip to London to celebrate my husband's birthday. Intended to see Les Mis and shop. We were very impressed with the quality of accomodation and friendly professionalism of the hotel. As a central London base it was ideal. Close to theatres and shops but far enough away to encourage a walk and to provide an escape from the throngs of shoppers and tourists.We stayed in Room 1503, right at the top, and it was huge and gorgeous but right above the lifts which disturbed me but not my heavier sleeper husband. This was a little disappointing as we ha gone for a top of the range room.The lifts were also a bit of a problem, only 3 and one of these was not working. This led to long waits when going up to our room and we chose to walk down.Breakfast was good with service going on until 12pm which was ideal for our sense of relaxation away from the kids, but no Sunday papers available which suprised me.	
Dec 21 2008 	Not the usual square box	I've stayed in three different rooms at the Cavendish this year, each has been different in size and shape. Due to the layout of the hotel, the rooms are not uniform, I found the best room was the corner room which was probably the quietest. Avoid the rooms next to the lift shafts, the lifts were very noisy from around 4:00am, caused by the departure of airline flight crews. I did complain about this, and I was moved room and offered a complimentary breakfast for two.I like The Cavendish because it offers quality accomodation at a reasonable price, in a fantastic location. There are deals to be had, check the American discount sites, Travelzoo, Hotwire etc. It is my theory that some European hotels only offer deals on the American sites in the hope that any booking will be for more than one or two nights, and better revenue for the hotel.There is no loyalty scheme in place, but once registered as a guest, you are the first to here of future offers - which can be very good. If you book 'room only' try Fortnum &amp; Mason's Fountain restaurant for breakfast, opposite the hotel. A real treat.	
Dec 16 2008 	Great Hotel Even Better Location!!!	Having decided to bring my wife to London, to see 'Dirty Dancing' (her favourite film) for her birthday, the race was on to find a decent hotel, with a reasonable price and a great location. The Cavendish London fitted the bill perfectly.We stayed in this hotel from Saturday Dec. 13 - 14.Arrived in Heathrow airport, collected luggage and headed straight for the Underground. Bought 2 tickets (single tickets to Green Park £8), down the escalators and onto the tube. So easy! The tube did get busy the more we got into the city, however, people we friendly. After approximately 40 minutes we got off at Green Park, per the advice from the TA forum - thanks guys. Altough, the hotel is about a 5 minute walk (in the lashing rain!) from the tube, I would probably get off at Picadilly the next time. We arrived at the hotel, which is located on the very quiet Jermyn St, to be greeted with a smile at reception. The receiption staff are very friendly and efficient. We were given the option of having a room on a higher or lower floor. We choose a high floor for the views - room 1108. I booked a standard room as we were only staying for one night (due to having no annual leave left!). The rooms are small - average sized for London - and very stylish. Nice comfy bed, flat screen TV, CD player, nice bathroom, etc. As this was our first time staying in London, the location aspect was important as I didn't want us wasting limited time on public transport. We definitely weren't disappointed with the Location of this hotel. The hotel is basically a very short walking distance to the likes of Picadilly, Leicester Sq, Regent St, Oxford St., Bond st, etc. And prices in London are notably cheaper than Dublin.This is a great hotel and I would highly recommend it for a city break in London. We will definitely be back.	
Dec 5 2008 	Doubt we would go back	Stayed at the hotel many times, very central and a perfect position for the shops. However the last time we stayed we woke in up the night to find silverfish (insects) running around the bathroom floor. Reported it to reception who didnt pass the complaint on. Waited 3 weeks for a response so rang and spoke to a manager who said theres nothing they can do and the insects are not harmful, which seems far from the point. Harmful or not, it would seem unacceptable to stay in a 4 star hotel and find insects running around the bathroom. We were told silverfish live in everybathroom . . . not that Ive ever seen!! Would think twice before returning.	
Dec 3 2008 	My favorite London hotel....	I just completed two seperate stays at this hotel, at the beginning and end of a trip to Ireland in November. This hotel has a lovely, safe location close to the parks, palace, Traf. Sq., Bond street and Picadilly. Hotel is not too small to lack amenitites but not to big to have to wait for everything (like room service, check-in/out, elevators, bellman, etc.) Rooms are small (most in London are ) but nicely furnished with great bathrooms and the most comfortable beds and bedding. Housekeeping standards are very high. Room service food way above average and FAST, however I wish the menu selection was larger. Check in staff wonderful...arranged early check in for us on both stays! Concierge staff is mixed, some being wonderful and some being rather distant and haughty. No doubt about it..... London is a big, expensive city and I often feel after reading many hotel reviews that people are often not very realistic about what to expect. I feel my money is well spent at this hotel as the service and quality remains consistent and the location is great!	
Dec 1 2008 	Lovely Hotel not sure if I'd return	Been to London a few times and have stayed in a few hotels around the Marylebone and mayfair areas before so this was somewhere different.This hotel is lovely, the entrance and reception area is clean, tidy and modern although quite a number of people commented on the smell of fish when walking in the side door of the hotel uuhhh. The rooms were really nice but the major downfall is the paper thin walls. I have been to many hotels around the world but this was terrible on both nights we had to ring reception and give the wall a battering due to next door. There was prob about 4 people in the room chatting and laughing til all hours not doing any real harm but the first night we had been up that morning since 5.00am and had done a bit of shopping really not in the form for listening to s**t talk next door. The following night we came back to hotel round 12.00ish as we had an early start the next morning and the same again. The reception did make the calls requesting they be quiet which they did respond - we could even hear their phone ringing and them talking. Breakfast is great , on at the weekend until 12.00 and have no complaints about it. The bar is quite dead. This hotel really is in walking distance to everywhere picadilly, leicester sq, bond street, oxford st, buckingham palace but very few places to eat near by and quite a 'gentleman' shopping district. All in all grand but the area wasn't my favourite.	
Nov 19 2008 	perfect location	Had a really good experience at the cavendish, the best thing was that, after a day out and about sight seeing, it was within easy walking distance for the bars and restaurants in the evening,  We did upgrade our room to superior, which after reading reviews about the classic rooms being on the small side, we were glad to do, it did cost us an extra £20 per night, but we thought that that was reasonable enough. Room was very clean and comfortable. We felt that the lobby bar drinks were expensive but then i suppose thats just the norm, especially in London.The only problem we did have was with breakfast, we thought that they had forgotten about us at one point, then when we did get our food, it was'nt quite what we ordered.Would recommend it to anyone, and cannot wait to visit again!	
Nov 5 2008 	We enjoyed the Cavendish	My wife and I stayed at the Cavendish Hotel last weekend and we very impressed with the whole experience. The staff were helpful, we were able to check in at around 11.00am. The room was small but first class. Being on the nineth floor, we had a good view from our window. The breakfast was superb! There was an excellent choice from the buffet and all was well cooked.We would recommend the Cavendish to anyone, it's close proximity to the West End was an added bonus.Well done Cavendish, we will see you again!Mr.&amp; Mrs. Hanson.Halifax , West Yorkshire.	
Oct 28 2008 	greekblackdog	I booked the cavendish after reading about it on the internet and got a reasonable deal on the room staying from Friday to monday morning. Yes, our bedroom on the 7th floor was small but it was clean with clean towels every day plus complimentary papers and tea/coffee making facilities. The downside was the prices in the lobby bar for drinks and the service in the restaurant of a morning, one example trying to get fried eggs to have with your breakfast was a nightmare you could guarantee you would have finished before they arrived, on our last morning there were no mushrooms or black puddings as they had not had a delivery?. The night we were going to the Concert at the Royal Albert Hall we decided to have a meal in the restaurant. The room was cold and when I asked the Manager he said he would turn the heating up but as we were by a drafty window it proably wouldnt help but we did overlook fortnam and mason, he didnt offer to move us even though there as plenty of space.One of the best meals outside we had was at Brumas opposite Her Majestys Theatre on Haymarket also Prezzos again on Haymarket. The girls servicing there were brilliant nothing was too much trouble and it was the same price for 2 courses as in the Hotel at £14.95 for 2 courses or £19.95 for 3 courses.	
Oct 26 2008 	Had a lovely weekend at this hotel	I have just come back from a weekend theatre break booked through superbreak. We had a number of hotels to choose from but decided on this one because it was a central location. The hotel is located in the middle of picadilly circus and green park tube station. To the left of the hotel is theRitz hotel and Buckingham Palace and to the right is Regent Street and Soho. It is in walkable distance to the Apollo Shaftsbury (we did get a taxi though). However, it is ideally out of the way of all the hustle and bustle). We stayed on the 14th floor in a superior twin room. The room was clean, fresh and modern. The beds were comfortable and it had a large flat screen tv. The breakfast in the hotel was superb - fruit, cereal and cooked breakfast (however we did have to wait around 15 mins to be seated - it was very busy. Over the weekend breakfast is served until 12, so you enjoy a nice lie in. Room service was available for food. The food was very nice, however it was expensive and 9 pound for a glass of wine - but worth a treat. Overall we enjoyed staying at this hotel and would stay again.	
Sep 29 2008 	Decent hotel good location but just short of 4*	The Cavendish London served as a great base and a decent home away from home for a girlie shopping weekend (27-29 Sep). The overall experience was pleasant but fell short of my expectations of a 4* London hotel.We arrived before 10am on Saturday and were able to check in straight away into a Superior Twin on the 14th floor. The room was nicely decorated as seen in photos, of a decent size and came with everything the hotel website specified. Bathroom was compact but fresh and modern. Minor complaints about Housekeeping - mugs were dirty when we checked in, hairs and carpet fibres found on bed after 1st night.We had minimal dealings with the staff but found them pleasant. Checking in and out was smooth and professional, there were no surprises on our final bill. Buffet breakfast was served on Sunday, we were seated straight away in the airy and bright breakfast room and had a lovely selection to choose from. This morning's service (Monday) was made to order and I must say service was a bit slow considering there weren't many tables. We had room service one night - ordering was fast and easy, the food arrived on time and was piping hot and of decent portions.As mentioned in other reviews, the hotel is 5 minutes walk to Picadilly Circus tube station. If you take the Picadilly South Side exit, as you climb the stairs to exit there's a Tesco Express directly behind you and the hotel is on that same street. Jermyn Street is filled with quality shops for men and women's workwear, there's foot traffic at all times so we felt safe.For a London hotel, I think we got what we paid for (Winter Break weekend rate incl VAT &amp; breakfast £154/night from hotel's own website) considering the hotel's location and decor. Like several other reivews, I feel there's much room for improvement in terms of the staff/service. I will stay here again but not for a higher price.	
Sep 29 2008 	Ideal Location but Tiny Room	We used to live in London, so when we came back for a visit we wanted a hotel that was centrally located, close to good tube and bus connections and on a quiet street. The Cavendish delivered on all three.Our only complaint is that our standard room (#713) was the smallest we've ever stayed in. However, it was clean and modern, quite functional (except somebody tell me where we were supposed to stow our suitcases). The bathroom, though small, had a shower big enough for two.The hotel is on a quiet street, across from the back door of the posh Fortnum &amp; Mason fancy food shop. The neighborhood drips with 17th century charm. The closest tube stop -- at Green Park -- offers multiple connections to almost everywhere, plus there are many buses on nearby Picadilly and Regent Streets.There are also ways to keep a lid on the &quot;extras&quot; to the room rate. The hotel hands out free 15-minute vouchers to use the 2 computers/printers in the lobby. Skip the pricey breakfast in the lounge and buy a healthy breakfast for under 5 pounds at E.A.T. or Pret a Manger on nearby Regent Street. All in all, a pretty good value.	
Sep 27 2008 	Lovely hotel handy location!	I stayed here in August for a friends Hen Weekend. The staff were helpful and friendly. The rooms we had were a decent size - though not huge. Ask for a room on the higher floors as the views around London are better.We had breakfast at the hotel, which was very nice, with lots to choose from. We also used the hotel bar, which was nice as well. We didn't eat in the restaurant in the evening.The hotel is not far from Old Bond Street / Regent Street and about 15 mins from the theatres. Its really near 'The Ritz' and the 'The Dorchester' should you fancy treating yourself to some Afternoon Tea'!Would definitely stay here again!	
Sep 27 2008 	Not worth the money	I got a special offer on my room here &amp; therefore other rooms may be better. It was all fine &amp; the staff were perfectly nice...but just not worth the high rating it has on here, or the money you may spend.	
Sep 21 2008 	Very comfortable bed in great location	Great experience all 'round. The bed was luxurious with high thread count cotton and plenty of down. Friendly and efficient staff and a great location. I am going back.	
Sep 18 2008	The staff are dreadful... Don't stay there!!!	After recently staying at the hotel, I was appalled by the level of service. Particularly as this hotel had been recommended to me by friends who had previously stayed at the hotel. On complaining to the manager he seemed to be disintereseted in anything I had to say.A few points they need to rectify are, there was no hot water, the windows were dirty, there were no bathrobes, the bar staff are appallingly rude? With every service you should only pay for the level of service you are provided with and are happy with. In this instance I would not expect to pay for a room without hot water? Although the hotel had charged my card at 2am in the morning before I had checked out?? No discount or refund was offered to me, even after I discussed this with the duty manager.I had very bad service in the bar area as well as at the check in desk.... I would say this hotel looks nice as you enter the reception but my room was nothing to write home about either. If the manager would like to take the time to consider what its paying customers are saying to him about the level of service people might be inclined to return. I can't see the point in making a complaint if this complaint is going to fall on deaf ears??? I suppose this is why we have trip advisor to warn others of the &quot;Kiaran&quot;, the managers total lack of customer service...... As he igorned my calls and ignored my complaints, all in all I would never stay at this hotel again very disappointing on all levels.	
Sep 15 2008	Total Nightmare. The Staff are Appalling	Stayed recently for my birthday. Stayed previously when it was part of the De Vere Group a while ago &amp; had a really pleaseant time. However now, the staff clearly think they are massive time which is puzzling as while admittedly the location of the hotel is good, the interior (aside from reception) wouldn't look out of out place in a Travel Lodge. This time the staff were rude but the Manager Kiaran is APPALLING. A barman was amazingly rude to one of our friends who had joined us in the hotel for a drink , we also had no hot water, no iron and were locked out of our room at 2.20am. After raising this on check out I wrote to the Hotel Manager as well as the person we dealt with on reception couldn't care less. Kiaran (The Manager) was probably the rudest person I have EVER SPOKEN TO. He in fact made me cry, told me not to call him as he didn't think I had anything to complain about (he wasn't there during my entire stay) and I wouldn't be getting anything free so leave him alone. I'm the Marketing Manager for a UK wide chain of Resturants, we welcome feedback good and bad from all our customers - not at The Cavendish. Please don't waste your money on this tin pot operation. They want your money but couldn't care less about the quality of your stay. Try Malmasion!!	
Sep 10 2008 	Great Place To Stay!!	We stayed 4 nights at the Cavendish Hotel in Mayfair on Sept. 2008 . This hotel is in a great area real close to piccadilly Cricus. The Staff were excellent and really whent out of there way to help you with anything you needed. Super nice beds and covers, Plasma TV, Stocked frig. ( Charged to your room if you take anything out). There is a holder inside the room that you put your key in to turn on the power to your room on , if you take the key out the power goes off.	
Sep 8 2008 	Good clean hotel in a prime location	We stayed at the Cavendish twice - once at the beginning of our trip and after returning from Paris. I chose the Cavendish based on reviews, price and location. What we paid included breakfast was about right - 138 pounds, but got a standard/classic room. They tried to upsell us to a larger room for 25 pounds, but did not take the bait. The room we received was TINY - the smallest hotel room I have had in any major city. My husband and I had difficulty arranging our small carry-on suitcases where we could both access them and walk around the bed to get to the bathroom. The second time we stayed there, our room was slightly larger, but not by much. The breakfasts were plentiful and definitely gave us energy to start our days. The hotel was clean and the location was close enough to the attractions/tube stop to be convenient, but far enough away to be quiet at night. The service was polite and all in all this was a nice hotel experience.	
Sep 7 2008	Great location....terrible staff	This hotel has a great location but the staff are pretty dreadful....Staff at breakfast were very slow at taking stuff off the table..However the variety of food available was great..The worst staff experience was when I asked the person on reception to book me a taxi for a specified time in the evening...she freaked out and couldn't do it...please ask concierge she begged...no concierge was availabe hence I had asked her...had to wait for the concierge to come back!! Stunning stuff..The hotel could be great..needs new staff though.	
Sep 3 2008 	Great London Hotel Experience	The Cavendish was as good as the many reviewers said it would be! The rooms were comfortable, with excellent air conditioning, and furnishings. Our &quot;Executive&quot; room had a wonderful shower, and a view across severel rooftops to the London Eye &amp; Big Ben. Breakfast was top notch, both an excellent buffet, and the opportunity to order additional selections off the menu. The only minor complaint (very minor) is that when the dining room gets busy, service can be a bit slow, But with a very good buffet available you will not starve...You may just have to wait a few minutes for your coffee/tea!Staff was cheerful, and the Concierge, was helpful and friendly, they made it very easy to get tickets, and vouchers for plays, and tourist activities.I was originally thinking of staying in Leicester Square, or Covent Garden to be closer to the&quot;Action&quot; but I think that the guiet, yet central location of the Cavendish was a better choice. I also originally was looking for a hotel that was more traditionally British in style. Modern style has it charms too, especially when considered next to more expensive, and sometimes creaky old alternatives. The Cavendish was Perfect!	
Sep 3 2008 	Thank God I wasn't maying for it	On arrival I was immediately offered an upgrade! Fantastic I thought, but then came the crunch, it would cost me £25 per night. The receptionist was quite insistent that the standard room was small and pokey and that for a mere £25 I could upgrade to a superior room with views of Westminster! The look on my face must have been such that she knew wasn't onto some tourist sucker who would be impressed by a grey skyline. The offer was soon dropped to £20 per night for an upgrade. She must have been on a commission to sell upgrades. I explained to the receptionist that:a. I was not some dumb tourist who could be ripped offb. If my room was not up to standard I would be back down to ask for a better roomc. I could not care less about the Westminster views (I live in the Highlands of Scotland where the scenery is the best in the world and the views from my kitchen are stunning)Apart from my upselling experience the hotel us indeed very good. My client was paying for me to stay there and I understand that they get a good rate. I dined in the hotel and had the breaded plaice - superb! Followed by breast of chicken with potatoes and some vegetables - fantastic. It was just what I needed and the perfect balance for a late dinner. The staff were outstanding and attentive when required. The room was small but better than some of the hotels I have stayed in in London. Big TV, good air conditioning, fabulous bathroom and the bed was very comfortable. The location of the hotel is perfect, close to my client's offices, and lots of places to eat out and have a drink. Shops too, the famous Jermyn Street for shoes, clothes and especially shirts. One draw back no draught beer. But there are pubs close by that can cater for that.Overall an excellent place to stay in London.	
Aug 22 2008	Will definitely be back!	Really swanky hotel in an excellent location, The Cavendish is definitely one to go back to!Our superior twin room wasn't quite ready when we got there at 2pm so we were both offered a complementary drink at the bar and a tray of nibbles - room was ready within 40 mins. I thought this was areally nice touch. All staff were excellent and really professional. Breakfast was one of the best hotel breakfasts ive had, everything was piping hot and the selection was extensive. We also tried there pre theatre menu - only £14.99 for two courses, and I would definitely recommend it - we both had rib eye steak and it was the best we have ever tasted.Room was nice and lovely toiletries, and everything is so close to the hotel.It is very hard to find a single negative point about this hotel, but if I really had to, I'd say maybe the room was slightly smaller than I expected, but with so much to do in London, we were hardly in it!If your going to london, definitely stay here!!!!!	
Aug 20 2008 	Fantastic location and luxurious hotel	The hotel looks pretty unassuming from the outside, but it's all opulent luxury inside! The location is just a few minutes walk from Picadily Circus, is literally just behind Fortnum &amp; Mason, and a short walk from the restaurants of Berkely Square. Nearest tube is Green Park. The rooms are small, but they work well. Air conditioning cools the air, the bathroom is petite but the shower is huge. Fixtures and fittings were very modern, with an elegant wall-mounted flat screen TV. The bed was very comfortable, and I had a great night's sleep. One side of the hotel has amazing views over many London sights, especially from the 10th floor.Breakfast was really really good - not only was there a buffet, but you could request an omelette or eggs benedict or poached eggs to be cooked for you. Plenty of fruit to make muesli exciting too, and smoked salmon for the decedant!	
Aug 17 2008 	Location-location-location	Stayed here for 5 nights august 2008. The hotel is in a great location. Smack bang in the middle of everything, but still on a quiet backstreet. Everything was VERY clean and in good condition. Compared to other Londonhotels it is above averege. I would compare it with an above averege-Hilton hotel in the USA. The rooms are in standard-european size, Not too small, not too big. The ONLY downside is the sillyprized breakfast (42 dollar per person). We bought a sandwich and milk every evening in the grocery at the corner and keept it in the fridge overnight and eat that for breakfast instead, and that saved us 80 dollar every morning. We would definitly stay here again.Peter &amp; IngelaSweden	
Aug 16 2008 	Great Hotel in Great Location	Great hotel in a great location. Free apples at the front desk. Staff extremely helpful. Free internet. Climate control in room was perfect. All in all a great hotel.	
Aug 10 2008 	London Calling.	We stayed 11 Nights at the Cavendish and it was great. We upgraded to an executive room which had a great separate shower and bath. Located on the 10th floor, we had great views of London including the London eye and Big Ben. The rooms are very clean and spacious, very modern facilities and everything in good working order. The turn down service was pretty cool, each night receiving a bottle of lavender spray to spray on your pillow to aid in a restful night sleep!. The hotel is central and pretty much every major tourist attraction is within walking distance.. Those that are not are always easily accessible by the 2 close tube stations (Green Park and Piccadilly Circus). If you are in London for a show, the hotel is about a 5 minute walk to the west end. Several nights we had diner at the restaurant and they were the best meals we had in London. The pre-theater dinner menu is quite a good deal, being considerably cheaper than the 'main dinner' menu though receiving the same portions. The staff were very friendly and always keen to help you with anything you may need. &lt;begin rant&gt; My only complaint with the hotel (and this is a personal gripe I can not stand) is the use of those stupid fridges that charge you the moment anything is removed from it. I find these fridges rude by stopping you from putting your own items in. I know they are in the business of making money and want you to buy the overpriced drinks but If I cannot even keep my own water cold then I am annoyed &lt;end rant&gt;	
Aug 2 2008 	Clever choice	Just returned back from a week's stay at the Cavendish. A clever choice for London.1. Location: Perfect, everywhere walkable:) Right across Fortnum and Mason's, Piccadilly: 5 mins, Buckingham: 15-20 mins through the lovely Green Park, theatres: most within 15 mins walking distance. On a quiet street and as safe as it gets.2. Hotel itself: Clean, comfortable and well-run. Booked from the hotel site and got a queen superior (the standard rooms are a bit too small but would probably be acceptable acc. to London standards). Reasonably sized room, comfortable bed and pillows, shower pressure ok, bathroom clean and in good condition, cd player present but not i-pod, daikin airconditioner working properly, ironing board, wireless... Civilized breakfast, until noon on weekends and till 10.30 on weekdays. Nothing to complain about, really. Before going, I had sent an e-mail and asked for a room on the higher floor if possible; got one on the 11th with a view of the London Eye, beautiful. No sports facilities, though.If you, like me,-Are tired of tired-looking commercial chain hotels like the Hiltons and Sheratons;-Would rather not stay at the top luxurious ones like the Ritz and Mandarin Oriental unless it's a very special occasion;-Would rather not have to deal with the budget-accommodation related problems during vacations;-Would choose clean and contemporary over musty-smelly-flowery-dainty; and appreciate technology:This hotel would definitely do.	
Aug 1 2008 	Will be back soon!	Just had to write a review about this fantastic hotel. We recently went there for a family summer break and the enjoyment was mostly down to the excellent hotel and the wonderful service we recieved. All members of staff were totally helpful and polite and nothing was too much trouble . The rooms were really nice and clean and we were upgraded to the executive room which had a massive double shower, robes , slippers etc. The location is second to none and most major attractions are within walking distance. We will all be returning there very soon. I stayed at a top 5star hotel in london last year and is is very difficult to pinpoint the difference between hotels , apart from the price , of course!Try and get a deal which includes breakfast , we didn't eat until 6p.m after the full english!	
Jul 28 2008 	Perfect Location	Had a great stay at The Cavendish this weekend and felt compelled to write a review.Having booked tickets for &quot;Spamalot&quot; in the West End we were looking for a well priced hotel within walking distance and The Cavendish was perfect. I don't think there is a hotel in a better location for the price, we paid £99 for a superior room excluding any breakfast.During the weekend we didn't use taxis or the tube once. It was a 10 minute walk up Shaftsbury Avenue to the Theatre and a further 5-10 minutes walk to Covent Garden.As we didn't eat at the hotel, I can't comment on the restaurant. However we had Sunday brunch at Christopher's, near Covent Garden, which I can highly recommend. Next time we stay breakfast at Fortnum &amp; Masons is probably on the cards, as it is directly opposite the hotel.Although right in the centre of London, it was relatively quite once you got into Jermyn Street. The hotel itself had a nice relaxed atmosphere, when we got back from the Theatre around midnight the bar was open with a few people having a night cap . Our room was on the 11th Floor right next to the lift, but we didn't have any disturbance from the lifts at all.All in all a fantastic stay and a great location. Tips if you are taking a car:There is no congestion Charge in London at the weekend.Street parking is free from 6.30pm on Saturday around the Hotel.Westminster Council Car Parks (Leicester Square) have a Theatreland 50% discount if you are seeing a show. http://www.westminster.gov.uk/Carparks/theatreland.cfm	
Jul 23 2008 	Perfect weekend	Having scoured the reviews of available London hotels for a birthday weekend treat, the Cavendish seemed like a pretty safe bet. I was not disapointed. Location was fantastic and we were able to walk everywhere. We were offered a room upgrade for an extra £40 on arrival - glad we decided to do this as the new room was not exactly huge - but very smart and comfortable with a luxurious bathroom. Breakfast was delicious - especially if you order from the menu. Not an inexpensive hotel - but you get what you pay for!	
Jul 22 2008	The Classy Cavendish	We have enjoyed two weekend breaks at the Cavendish in January 2008 when we went to the Tutankhamun and Terracotta Army exhibitions and May 2008 when we went to see Bruce Springsteen at the Emirates Stadium. Staying at this super hotel made sure both our weekends were really enjoyable.The hotel staff are efficient and friendly. If you ask for a room with a view you will not be disappointed when you see the London skyline at dusk and dawn. The hotel is situated behind Fortnum and Mason and is ideal for sightseeing and shopping. A delicious English breakast was included in our room rate and the room was large and very comfortable. We are already looking forward to our next visit.	
Jul 20 2008 	Fabulous Hotel!	We spent 2 nights at The Cavendish in a Superior Queen room. The room was a decent size for London and the bathroom was very spacious with White Company toiletries. The walls were a little thin, but it wasn't too disturbing. The view from our room which was on the 14th floor was amazing - you could see the Gherkin, St Pauls, Nelson's Column, The London Eye and even Big Ben and the Houses of Parliament. Air con was useful as you can't open the windows and it can get a bit stuffy. The TV has a selection of satellite channels which includes Sky Sports which is a nice bonus.Breakfasts were fantastic, huge range of fruits, yoghurts, cold meats and cereals. Also a wide selection of pastries and croissants. On the Friday the cooked breakfasts are ordered via a waiter and brought to your table. On the Saturday the cooked breakfast was a buffet style, but if you wanted anything different you could still order off the menu. I would recommend getting the breakfast included in your room rate as we did, because at £21 per person plus 12.5% service charge, it is pretty steep!Staff on reception and the concierge desk were very friendly and efficient. I would not hesittate in recommending this hotel to anyone looking for a great place to stay in central London. The walk to Picadilly tube is only about 1 minute which is really convenient, and there is a Tesco Metro at the end of Jermyn Street (towards Picadilly) as well if you need any supplies.	
Jul 14 2008 	Nice modern rooms - great location	Stayed here for one evening at a weekend. Rooms are nice, modern, well equipped with quality bed linen/towels etc. They are a little on the small side - we had a superior room but it was still pretty small. Superior rooms at the Grosvenor (marriot) on Park Lane are much nicer but are a bit more pricey. Apart from that, good hotel.	
Jul 13 2008 	Great Location - OK Hotel	Firstly, this hotel is in an excellent location and worth considering for that reason alone. It is directly behind Fortnum &amp; Mason and less that 5 minutes walk to Piccadilly Circus!However, we were staying for a special occasion and for this, I don't think I would recommend it to others. We paid for a junior suite for the weekend (£250per night) and despite me stating on booking that it was a birthday celebration we were still given a fairly small ish room right next to the lift workings (as the lifts don't go to the top floor) and facing the opposite way to the river. When I asked for a better room the receptionist claimed that noone had ever complained about one of their suites before or any noise from the lfts (which is a bit hard to believe as it made a fairly continuous banging sound) and made us feel very awkward for asking. After a lot of huffing and puffing we were given a different suite that was at least twice the size and had a corner position (same price and clasification, so bear this is mind when staying). The rooms are OK but in need of some maintanence, 1 example is that a hole in the bathroom wall above the sink had been filled with what looked like tissue and then left? Breakfast is not good (really sloppy eggs that didn't look healthy at all) and the service was quite poor and fairly slow. On the Sunday morning we had to wait over 20 minutes to be seated as there was a queue of at least 18-20 people, which made us late to meet friends.A mention though that on the Sunday (my partners birthday) they did leave a cake in the room for him which was a nice thought, although we were out all day and only found it late when we got back, so it didn't get eaten.If you just need somewhere convenient to stay then do stay here in one of the basic rooms, but if you're looking for something to splash out on or to spoil someone, I'd pay the bit extra for a really special hotel as this one is likely to leave you really a bit ripped off.	
Jul 10 2008 	everything I wanted	Very freindly and easy going staff. Location was brilliant, as were the facilities and comfort. Rooms were very clean, had a 'new' feel about them and offered plenty of space.	
Jul 2 2008 	Nice long weekend	I stayed here for three nights over the Queen's Birthday in a junior suite. The room was on the penthouse floor, although I can't remember what the name of the room was. It was large with a chaise longue and writing desk and faced out over the park. Pros: double-sinked bathrooms (the secret to harmony at any hotel), a big, hot shower, enormous, comfortable bed, robes and a view.Cons: super expensive internet, no separate conditioner (it was combined with shampoo - not good for long hair), no lift to the floor (just inconvenient if you have lots of bags), limited TV channels.I booked through the hotel website, and paid around 220 GBP per night. Standard rooms were even cheaper. I would probably stay again because I think this is an excellent price for this standard of hotel in London. The only thing that would stop me is the internet fee as I can't travel without it.	
