	perfect	I was part of a group of 4 couples stayed in this hotel and would recommend it highly.The rooms were a very good size and the location could not have been better less than 5 mins walk to oxford street and bond st tube station.lots of restaurants within walking distance.Staff in hotel were very helpfull and gave us lots of recommendations for restaurants shopping ,sightseeing etc.The hotel had a very relaxed atmosphere away from the hustle and bustle .	
Dec 18 2008 	Great almost tranquil location in center. Tired rooms.	We stayed only for a night before flying on holiday from Heathrow. We had a standard room with a view on Grosvenor Sq. (had to ask at reception for the room with view) The hotel has a great location in center of mayfair. The location is made even better by the fact that MAZE GRILL by Gordon Ramsey is so so so close :) Having the chargrilled angus so close is always good :)The hotel rooms are very quite and dont suffer from any noise. You could sleep really well if you wanted :)The general areas are great and nicely decorated. There is a bar and italian restaurant (didnt try)Very overpriced room service. Breakfast is 21 pounds. better to walk to the bar. It is true you can find a good rate for this hotel around 100 pounds which makes it very good choice and i would go again because of how quite it was. However it does not feel 4 star once you open your room. You get all the &quot;ticks&quot; bathrobes, slippers, toileteries, tv, phone, interner etc. But the room is VERY TIRED. Bathroom is slightly yuck. curtain, not screen over bath. one sink only. The whole room has old furniture incl bed. which was comfortable though. It smelled like antique store that has not been aired a while. Most of staff are eastern europe. WOULD GO AGAIN, but not at FULL RATES.	
Dec 12 2008 	Great hotel	We stayed two nights in a classic double in December 2008. It was absolutely great. Immediately, I got the impression of a modern hotel in a classic building. The lobby was wonderful with tasteful christmas decorations.The room was spacious, bed large and comfortable, and the ensuite was beautiful with modern tiles and a good shower.The staff was nothing but helpful and friendly. The location was great for Oxford Street, Bond Street, Regent street, and the areas of Mayfair and Soho.The breakfast cost arond 20 pounds. We decided to skip it and had breakfast at nearby starbucks for under a fiver. There are plenty of restaurants close to the hotel.I absolutely recommend this hotel.	
Nov 24 2008 	Great Hotel - Highly Recommended	I stayed here in November 2008 for work (I was on a training course nearby). Usually, being a working mother of three small children, I would never be able to afford the time or money to stay at a hotel like this, but despite being exhausted and slightly scruffy (compared with the other residents), the staff were without exception very friendly and helpful. Even when the company credit card bounced on pre-authorisation (wrong end date supplied!) they allowed me to check in anyway.The room was not huge, but there was enough room for two single beds and all of the usual furniture including a desk. The bathroom had a wonderful shower, and was generally very nicely decorated.I used room service for all of my meals, since I spent most of the evenings studying, and the food was absolutely wonderful. There is a restaurant downstairs, and food is available in the Pine Bar, but I found the room service to be prompt and very polite, friendly and helpful. Continental breakfast was included in my room rate, although I upgraded to full English each day (you can do this on a day to day basis as you prefer - the upgrade was only £3.50). Continental consisted of cereal, fruit juice, many different types of sweet pastries and bread/rolls, a selection of cold meats, houmous, taramasalata, olives, salad, yoghurts, fruit, and tea or coffee. The Full English added pancakes, scrambled eggs, beans, sausages, hash browns, bacon, mushrooms and tomatoes. As you can tell, I was as impressed with the breakfasts as I was with the evening meals:-) Either they've upped the standard in response to some of the previous posts, or perhaps the posters caught them on a bad day. £21.50 is quite a lot for breakfast but I'm guessing that breakfast is included in most deals anyway.My room rate was a special deal negotiated by our work, so I have no idea if it would be available elsewhere. It was £141 per night including unlimited internet access and continental breakfast. I think this is superb value for money. I noticed that the public rate was listed on the wall at something like £350 per room per night, but I think that rooms would rarely be booked at this rate. There were a couple of groups staying at the same time as me - one looked like business people and the other like tourists, so I suspect they would get a lot of business this way.I can just about see why this hotel is not a five star hotel. Little things which didn't bother me, were that there were no lights on the ceiling in my room - I had two floor lamps and a desk lamp, and one of the floor lamps didn't work, so the room was slightly dim in the evenings, although bright enough for me to study and use the computer. The TV reception wasn't crystal clear on Channel 5, although was perfectly watchable. However I was very happy to stay there and I would have no hesitation in recommending it to anyone who wants to stay in that part of London for business or pleasure.	
Nov 10 2008 	Great Location !!	Talk about location! If you like to shop this lovely hotel is a few minutes walk to Bond Street and Oxford Street - you can walk (with luggage) from the tube that's how close. This hotel is situated in Grovsner Square which is a beautiful park and right next to the hotel is the USA Embassy. Since the tube is so close you have access to all the wonderful sites London has to offer. Make sure to take in a play while you are there - I saw Billy Elliot &amp; it was fantastic. The concierge are quite nice and helpful. The room was nothing special and I expected more for the price, but the room size for a Standard room in London was a decent size. The breakfast buffet was very good so try to get it included at a discounted price if you can. There are some nice restaurants by to eat (in all price ranges). If you have the time I would recommend taking the Big Bus Tour - it will let you see where all the major sites are and is helpful in planning out your sightseeing schedule on your vacation. If you are a Beatles fan the Bus Tour also (included in price) gives a walking tour that is fun and is another way to see the sights.	
Oct 24 2008 	OK nothing special	You can usually get a pretty good rate at this hotel. The location is really good, very close to Selfridges. My room was on the sixth floor overlooking Grosvenor Square, and did not suffer from internal or extermal noise. It was small and quite cramped, and the TV was old and the reception was poor. The room was quite tired - the window would not close properly and half of the secondary glazing was missing - this is not really acceptable for an upmarket hotel.The bed was enormous and very comfy. Typically for older hotels the retro-fitted air-conditioning was not up to the task, and the room (and in fact the whole hotel) was too hot, even in October.Continental breakfast at nearly £20 including &quot;optional&quot; service charge was not good value for tasteless oranges in watered down juice, coffee and a poor selection of rolls and pastries. My French toast on another day was lamentable soggy sliced white bread - yuck!. You can get breakfast at Gordon Ramsay's Maze bistro on the other side of the square for the same amount. I went round the corner to Richoux in North Audley Street (turn left out the front, and turn left again). Half the price of the Millennium for an excellent breakfast in beautiful olde worlde surroundings. You won't need to eat again till supper time if you dare to have the New Yorker! Highly recommended.	
Oct 5 2008 	A warm and friendly hotel	We took our 4 year old daughter to London for her birthday and stayed here for two nights - it was brilliant. The staff could not have been nicer, they always provided little activities at the breakfast table for our daughter, made sure we had fruit in our room for her and the doormen were outstanding, always chatty, asking us where we were going and how we had enjoyed ourselves and offering us plenty of tips on how to get the best out of our stay.The room was very spacious overlooking Grosvenor Square, and was to a very good standard.The breakfast was very good, we didn't eat ther in the evening but the menu sounded delicious.Anyway, we are returning there in a fortnight or so as for us it is the only place in London where we have received such a warm welcome - can't wait!!	
Sep 29 2008 	We'd Definitely Stay Here Again	We booked at the last minute through Expedia and got our room (#619) for avge. $300 night, including taxes. For that price, we were expecting something cramped and old fashioned. Instead, we got a spacious room, beautifully decorated, with a lovely view of Grosvenor Square.We paid the same price on this same trip for a tiny room at the less-than-4-star Cavendish Hotel in St. James. So why was the Millennium available at this rate? Maybe it's still suffering from its reputation as the Polonium 210 poisoning site of the Russian defector, Alexander Litvinenko. (We made a point of having tea in the Pine Bar, to relive the crime.) Or maybe some people don't like being across the square from the American Embassy. The Embassy has recently been &quot;hardened&quot; for greater security, but it remains a major target of anti-American sentiment. Our one complaint is internet use. It costs $40 per day for 24/7 internet access. The alternative is to purchase a 5-pound card from the front desk, which allows 4 hours of access. Not only expensive, this system is definitely low tech.Bottom line: We felt like we were staying at a lovely &quot;expense account&quot; hotel while getting a (for London) bargain rate.	
Sep 29 2008 	Good value and location if you can get the special deal	I stayed here last week for an overnight business trip, booked on laterooms.com - as they were doing a deal for £99 for a double rather than their standard rate of £250 per night. £250 would not have been worth the money, but £99 definitely was - the hotel is in a really convenient and pretty safe location - just round the corner from Claridge's (!) and a 5-10 minute walk to Bond Street Tube station - and the room itself was a really good size (King-size bed included, bathroom with a reall good and pwerful shower). The only slight negatives were:1. Some of the furnishings were a bit worn - a bit of rust round the shower and some of the wood furniture was a bit scratched and dated-looking.2. No biscuits with the coffee set in the room! A very minor point, I realise, but if I'd been paying £250 a night I'd have felt very disappointed, and I think it's the little touches like that which really set apart the 3 from the 4 star places (this is supposedly a 4-star hotel and you'd have thought they could afford a few complimentary Bourbons at least!)3. The lady on the checkout desk the next morning I felt was quite rude and snappy in her manner. But for £99 bang in the centre of London this was a great deal, and I'd certainly stay there again for the same price.	
Sep 26 2008 	Great location - terrible room	We stayed over a weekend in September at the Millennium Mayfair hotel. It was our second stay and since we were very satisfied during our last stay we decided to come back.Location:We love the location. Grosvenor square is a comparable quite area, a big park is right next to the hotel. From Bond Street Station (Central Line) or Green Park (Picadilly Line from Heathrow) its a nice 10 minutes walk to the hotel. Oxford street and Regent street are also 10 minutes away. It's a elegant, expensive neighbourhood. Pubs and restaurants are 10-15 minutes away. A post office is very closeby.Room:At arrival we were pleasantly surprised, that we got an upgrade to a bigger Studio room, number 136 on first floor.Unfortunately this room was a real disaster. It was in a wing of the hotel, where heavy renovations were ongoing all day. Noise and dust everywhere.Next to that, the room was right above the ballroom, where a wedding party was ongoing saturday night until early morning. Tried to change rooms, but they told they are &quot;overbooked&quot;!!Its a shame, that a hotel like this assigns such a room to guests.I wrote a complain to the hotel but never received an answer.Generally rooms are nice but bit outdated.Most probably we will not stay agasin at the Millennium Mayfair because of this room experience. There are locations in London where you can have bad nights for less money !	
Sep 15 2008 	Enjoyed our stay	We came to London for a weekend break and stayed for just one night. The room rate (£98) was excellent for such an elegant hotel in a great location. We were allowed to check in early and were also upgraded to a Deluxe room (perhaps my broken leg had something to do with that). We had a room looking over Grosvenor Square which was very comfortable. We chose not to eat at the hotel because it was a bit pricey and there are plenty of restaurants/cafes nearby.	
Sep 13 2008	would never stay again	rude staff; water bottle in room had been opened, bedding had STRONG perfume order that caused allergic reaction, $40/day internet fees, did not feel welcome; service poor	
Sep 13 2008 	Nice Hotel Good Location - Good Value for London	Stayed here for a evening out in London, this hotel is convenient and only 5 mins walk from a Bond St tube. We went out for a meal and managed to get back to the hotel without any rush or problems before the 'London Transport Shut Down'. Considering this hotel is in the centre of London the rooms are reasonably priced.The rooms are small but clean and well appointed, the bed is a little hard for my liking but the shower was amazing! Staff are friendly, lovely piano bar for relaxing in the evening. I would stay again if visiting London for a night out.	
Sep 11 2008 	Great location - good 4star but not a 5	A good solid 4 star hotel in a great location. It doesn't relly deserve 5 stars as there are some minor cosmetic issues in the rooms such as chipped furniture and tiles in the bathroom not being flush to the wall. Was also a tad disappointed with breakfast and just glad I hadn't paid the £22 plus 12.5% service charge for it. The mushrooms were cold and the bacon was not the very best cut and at the above price it should be. Have to rate it as a 4 out of 5 overall as a three would not do it justice overall.	
Sep 9 2008 	waste of money	1. night had to change room (which was on the 2nd floor) because there was a terrible noise from a nightclub etc., totally impossible to sleep! Breakfast quite poor. Had to &quot;refigurate&quot; the room keys 4 times during one weeks stay, as they allways stopped working for some reason (nobody cared why)...Cleaner came into room allthough we had hanged the &quot;please don't disturbe&quot;-sign...2 calls from the laundry claiming that we had called them, and of course we hadn't...Obsene prices of drinks in the Pine bar (cheapest 9,5 pounds).Room wearn down, paint work had been done poorly. Shower really old and not always hot water provided. Have stayed in many 4 and 5 star hotels in Europe; this was totally the worst. Would rate it as 3 star.	
Sep 6 2008 	bad experince	I stayed at the millennium at the end of august 2008 the hotel itself is in a fantastic location and i had a good deal through last minute .com but when we arrived they put me in a room that looked over the hotel heating pipes which i asked to be changed . the lady on the front desk started a bargain with me ; better room if i am to pay extra 40£ per night. when refused to pay any extra money she moved me into the 7th floor where there was no heating at all! the rooms were freezing .at this point i had to put my foot down and ask for a decent room or to meet the manager. eventually they moved me into one . the food in the hotel is terrible and over priced.i surely would not recommend eating there. Its a shame that such a nice hotel has this bad service and i would not recommend staying in it despite its lovely location.	
Sep 3 2008	Great London hotel with some of the best service you'll receive in the UK	While the rooms in this hotel rival other high-quality 4-star hotels in London, the staff here make this hotel my favourite London business hotel. They are unbelievably cheery and remember me even though I'm only there once a month! The rooms are extremely clean, the lobby is lovely, the corridors are clean and impressive. Added bonuses like nice toiletries and international plugs in the hotel rooms make this a pleasant hotel experience. I won't stay anywhere else in London.It's not overly convenient for tube stops, as the closest is a good 10-minute walk away. But there's always plenty of taxis - just make sure you have cash as taxis accepting credit cards can take longer, esp in the morning peak hour.	
Aug 30 2008 	Avoid staying at this hotel	The hotel is overprized. Rooms are unfortable and terribly small. The hotel is not updated. It is not really a 5 stars hotel. Staff were unflexible. In case something goes wrong, do not expect much from them.	
Aug 28 2008 	Great for a short break would stay again at £99	Great for a short break, would definately stay again. 5 mins walk from Bond St tube/Oxford St shopping. Very helpful and friendly staff, especially the concierge even though he was obviously busy with a queue of people to look after. They had run out of standard rooms so we were bumped up to Superior, I don't think there's much difference other than being a little bigger. TV and tea/coffee facilities were fine. Able to leave luggage in seperate secure room all day after check out for FREE which was very useful! Many reviews say the rooms are small but they were fine for us (a couple) and as you would expect for a central London hotel and very tidy and clean. There was no real view from our room, but for £99 I wasn't complaining and didn't expect one. Its cheap, cheerful and actually quite smart. We didn't use the restaurant or bar, the bar prices were high compared to the pubs 1 minute walk away (but probably in line with other hotels in the area). Room was tidy, bed was comfortable and furniture/decoration was as good as I have seen in hotels double the price. Would definately recommend and stay again.	
Aug 25 2008 	Great location	I stayed at this hotel for a single night on business.Very impressed with reception and the service received here. The bar was excellent and would recommend the afternoon tea for a spot of luxury!The bedroom was a bit of a let down though; small and quite average, I'd have been disappointed if I'd payed rather than my company.Overall good, and what a great location!	
Aug 25 2008 	Very disappointed	**Would not recommend you pay for *guaranteed views* (See Below)**If you can, wait until the day before arrival to book, on this occasion if I had done this I would have saved myself nearly £200.and as the hotel is vast it would appears that they are rarely fully booked.Overall impression of the hotel was impressive, smooth check in, friendly staff with the lobby being very grand. Booked the room via late rooms paying an extra £20 for a guaranteed nice view. The room actually overlooked the grim part to the rear of the hotel including three walls of concrete with boiler room and pipes. On contacting reception stating I had paid extra for a view, was told that this payment did not guarantee a spectacular view but it was taken into consideration that you had requested it.	
Aug 6 2008 	Central location nice (refurbished) room	This hotel is about 5 minutes walk to Oxford Street, on a quiet square surrounded by embassies so you don't get as much noise as if you stay right on Oxford Street. I had a refurbished room and it was quite large for a single traveller with an enormous king bed, desk, chest of drawers, etc. The bathroom was very modern and clean. The only thing that was a small point but really quite annoying was the lighting in the room. The only lights were in the ceiling by the door and a standard lamp in the far corner of the room, so at night there wasn't enough light by the bed to read. Apart from this, I couldn't find fault so I would consider it again in the future (provided I could get a recently refurbished room and a good rate again - I paid £99 with laterooms)	
Jul 23 2008 	Not up to the mark	We found the rooms extremely dull and small, and were definitely not worth the price. The hotel lobby itself is depressing though the staff is courteous and location is excellent as Bond Street, Oxford Street and great restuarants are all walking distance. Would not stay at this hotel again.	
Jul 17 2008 	Not 5 star quality	This hotel was very clean and the staff was very polite and helpful. However, we found the rooms to be a bit disappointing, considering the high cost and star rating. There is no vanity in the bathroom (just a very small area around the sink). Also, there is no electrical outlet for your hair dryer, curling iron, etc.I had to dry my hair sitting on the bed. The hair dryer they provide (which didn't work), is not attached in the bathroom.There is NO clock in the room either. Since my watch doesn't have a light on it, I had to get up to check the time.By American standards, this hotel would be a three star. It is in Grosvenor's Square which is a little off the beaten path, but in a good location for the underground, parks, etc. It was nice to stay someplace away from the crowds and congestion in the center of London.	
Jul 15 2008 	APPALLING AND OVERPRICED	We were looking forward to our stay in such a centrally located hotel however we were left very disappointed and wished we had stayed at a less expensive hotel as the service received didn't warrant a 4* rating.We were left waiting over 40 minutes for our room as we had specifically requested a twin room, and when it was ready, were offered no assistance with our baggage (I am currently 7 months pregnant!)When we got to the room the key didn't work, they expected me to return to reception to collect a new key until I insisted they brought it up to me.When we walked into the room, it was not a twin room, and housekeeping had not yet checked the room. Reception then called back to tell us we were in the wrong room and could we move ourselves!! Halfway through the conversation, he asked if he could put me on hold to deal with another guest, in spite of the fact that I was making it perfectly clear that I was not at all happy with the service so far!!!ABSOLUTELY PATHETIC!!	
Jun 10 2008 	Great location	Having stayed here a few times now, I love the location but the rooms are sometimes in a bit of a need for renovation. It's an old building, so I take that into account, but the room decor is a bit bland, tired looking, and the bathrooms are average. We were able to upgrade to a suite on one stay, that had a separate work are with a large desk, closets, sitting area, and a much nicer bathroom. The service here is always good but not overbearing, which I like, and the view from the rooms I have stayed overlooking the square is lovely. It might just be a little too old world for me, but I am sure that some people would find that charming. The main issue I had were on the last stay our AC did not work at all, and the room would get very hot at night, making it difficult to sleep. Also, our room had a strong, musty smell coming from the bed area, that I associated with the linen because it wasn't there the first night. After the second night when our room had been made up, the smell was still there and did not go away, but I did not complain because we could not pin point where it was actually coming from. This only happened on our last stay, so I can't say it's a major issue at the hotel, but it would make me think twice about staying here again.	
Jun 3 2008 	Excellent location	I stayed at the Millennium Mayfair for one night in May and found it thoroughly enjoyable. The standard room was nice and clean, service impeccable, and the location excellent. There seem to be road and construction works in the area which may become a problem (the taxi had to cruise around a bit to find the hotel amongst the diversions). For one or even a couple of nights, the Millennium is definitely somewhere I would go again.	
Jun 1 2008 	Fantastic Service!	We have just returned from staying at the Millennium Hotel and after reading a few of the reviews on here we were a bit skeptical. I have to say that everything about our stay was 100% perfect! We had a FREE upgrade to a junior suite that included entrance in to the millennium club lounge on the 7th floor!Staff were very professional and friendly and nothing was too much trouble. The room was very spacious and immaculate with beautiful views over the square.I am a Coeliac and usually eating out is a bit of a nightmare (as fellow suffers will understand!). We had breakfast this morning in the Club Lounge and there was a variety for me to chose from.... Rice Crispies, fresh juices, yoghurts, fresh ham and cheese, boiled eggs, fruit etcThis hotel is situated in the street behind Oxford Street, so I was in a shoppers paradise!!! After a hard day trudging around ALL the shops (hard work but someones got to do it) it was great to sink into the huge, soft, spotlessly clean bed and rest my weary feet and arms. I have never written a review before but felt I had to write this one in light of reading the previous reviews before we went here. I think that even if we had come across any problems the staff of the Millennium Hotel were so helpful they would have immediately rectified the problem. We will definitely be returning and bringing our daughter for a few days shopping and sight seeing.	
Jun 1 2008 	Fab Location	Stayed here over bank holiday weekend. Great location, within a few minutes walk to Oxford St, Bond St tube, Bond St, Park Lane and Hyde Park. Just round the corner from Claridges and The Connought. Rooms were a good size and very clean. Didn't use the hotels facilities so can't comment on those. Didn't have breakfast as part of our deal , however we found some fab little cafes on the other side of the Square, where the food was delicious. We enjoyed our stay here and would stay again mainly because of the location.	
May 21 2008	Great hotel great location!	My husband and I stayed here for 3 nights in May and were pleasantly surprised by the room and the hotel. Very nice room and spacious. I was expecting something on the small size but there was enough room for us to lay out 4 suitcases and still have room to walk around the room. This hotel was great because it's in the middle of everything. We walked everywhere from here. A short walk to Hyde Park, Kensington Palace, Buckingham Palace and the theatre district. Good sized bathroom with a full tub.We had a room looking over the square which was nice with a king bed. The staff was very helpful and rooms were clean. Great option for a 4 star hotel for the price.	
May 19 2008 	Definately not 4 stars Deluxe	Recently spent 3 nights at Millennium MayfairLocation is perfect, 5 min walk from Oxford street, 5 min walk from tube station to the City and banks. Was told it is a 4 stars deluxe, now what is the difference between 4 stars and 4 stars Deluxe???? God knows...in my opinion they dont even deserve 4 stars.The room was extremely tired, with decoration from 1970's ! Wall paper tired, carpet worn out (I requested sleepers, I did not wanted to put my feet on it!), the furniture all scratch. Old tv....I paid £270, for that price I am expecting a high standard. I am ready to pay high rate as long the service follows. But Millennium Mayfair completely fell on all aspect. Not only air conditioning is very poor, but I could hear my neighbours TV ! One night was way too much, we could hear the music from their ballroom until 1am !Toileteries are very basic, not to say cheap, even Hilton and Marriott have better ones! Staff are polite, but would not go to extra mile, neither I been escorted to my room. Check in and check out, very quick, no customer care.Ok, the room was spacious, but please invest a bit of money and change that horrible carpet and wall paper. A shame I did not get my digital camera with me, it is well worn out.Room service was fast, the food was excellent. Breakfast was ok, you pay high price but once again you get cheap quality stuff (no back bacon !!)The maid, did speak little english, however she want to get an other member of staff to help her out. Did not dine in the restaurant , but apparently the chef is famous. The menu sounds appetising.If you wish to stay there, make sure it's bargain price. Do not pay high rates, you can definately find something much better in the area.	
May 14 2008 	Still Waiting on My AIrline Points Credit	I arrived early at the hotel, and the first room I was offered was not up to the standards that I expected from this property. The second room was much better. The location was spectacular, overlooking beautiful Grosvenor Square. One thing that irked me, though, was that to this day my American Airlines points have not been credited for the stay, and that is very disappointing, even though I made one follow-up phone call about a month after my stay.	
May 14 2008 	Excellent Location ouch on Internet	We have tried various hotels in London, and the Mayfair Location attracted us to the Millennium. Once we got in we upgraded to a slightly larger room, and even though the tv was at an awkward angle for watching from the bed the room size was more than adequate (especially for London!) My one complaint was the extortionate cost of internet hookup (20 pounds) for 24 hours. As it was Heathrow Terminal Five debut days we had to keep informed.	
May 8 2008 	Excellent stay	The Millenium Mayfair was an excellent hotel, I would highly recommend staying there. The service and staff were exceptional, especially the wonderful concierge(s). The concierge at this hotel are exactly what you would expect of a concierge - helpful and incredibly knowledgeable of touristy sights and great places to eat!The room was small and tidy, the bathroom was very clean, the room service was pricey but tasty and I would definitely stay there again. I read many many tripadvisor reviews before going to London, and found positive and negative comments on ALL hotels. It's impossible to find the perfect hotel (in my opinion), however, the Millenium was the best hotel I've stayed in London so far. We got a very decent price ($350cdn/night incl. breakfast) and it is so very close to all the best of London. Walking distance to all the major sights, great pubs and very close to the tube.	
May 5 2008 	Overnight in London	Having retired after 39 years of working, I felt I would love to have an overnight in London to end my retirement week. We were unable to get the hotel of our first choice as it was fully booked (We decided quite late to do this and wanted a no expense spared weekend. It was a late booking and May bank holiday weekend) We reserved the booking through late rooms. com.When we got to the hotel, we were disappointed with the welcome at the reception desk. It was brisk and not very welcoming. We were given no additional information of any sort just our key cards and that was it. It was very noisy in the hotel lobby and my husband, who is hearing impaired found it quite difficult to hear what was being said. When he asked for what was said to be repeated, it was said again but with a bored indifference.We found our room which was very large and with a lovely view over Grosvenor Square. It was however decidedly 'tired' and outdated' in its design. The room was spotlessly clean. The bathroom was on the surface clean but was spoilt by a few minor things. eg where the shower screen sat on the bath it was grubby. There were no longer tissues in the metal tissue box but it was still on the wall. (There was a paper box instead. No problem with that but please remove the metal box.) The marble sink surround had obviously been broken and very badly mended - it looked as if it could harbour germs. The floor was very chipped and it looked as though there were dirty marks on it in the form of splashes. These didn't come out but left a slightly unclean feeling. The water was lovely and hot.We ate out and thought we would have a drink in the bar with the pianist. We didn't stay (the bar was empty) but the pianist was so loud we couldn't hear ourselves speak.We had delightful cocktails in the other bar where the staff were very pleasant.We declined breakfast as it seemed exorbitant for what it was especially with the 12.5% added on. Instead we had a delightful breakfast in the members room at Tate Britain. Check out was simple but again lacking in warmth. Not an experience we would rush to do again.	
Apr 20 2008 	Go Club Class	Booked a room for three as my daughter was staying with us. We booked a suite and at check in were told that because we had booked a suite we were getting a complementary up grade and use of the club lounge. This gave us an exclusive lounge, free breakfast, free coffee/tea scones pastries all day and free drink and Canapes from 6-9pm every night. This was worth easily £150 and was very welcome. The bedroom is large and no money is spared on it. The Bed is Massive and the bathroom really good. Views of Grosvenor square from your window make you feel very exclusive. The restaurant and Japanese restaurant are amazing. The downstairs cocktail bar and piano bar are well worth a visit.	
Apr 19 2008 	A good stay	Booked through laterooms and got a great rate of 116 stg. Stayed for one night Feb 12, and was given a very big room by London standards. Tea and coffee making facilities/bathrobes/slippers. The bathroom was very clean with towel warmers, and the bed was very comfortable. The furnishing of the room were a little dated, but not shabby. Although the location of the hotel is very nice, I usually prefer something much nearer to a tube station, as one gets back really tired after a long day walking in London, and the last thing you want to do is to trek back to the hotel from the tube station. Having said that, it is only about a 8 minute walk from Bond street. Did not try the restaurant, but it looked very nice.Basically.. no complaints. The hotel was very good. They even responded to a request for an early check in (10:00 am) and a late check out (1:00 pm).	
Apr 9 2008 	Great loved it!	we booked this mini break last minute as we got a good deal with flights and the hotel worked out at about 150 euros per person per nightThe hotel is in the best location, five minutes stroll to Oxford St and Bond St but situated in a leafy square with a park, the american embassy is beside the hotel and there are several offices and lovely homes.The hotel was lovely, upon arrival we were upgraded to club which means you can access the club lounge with free sofas and tv, cocktails and canapes at 7 and newspapers.Our rooom on the club floor was very big, nice bathroom and great bed. we had a mini sitting room with flat screen tv and pay to view movies we paid for breakfast which was served in a nice airy bright dining room and Turner's restaurant is in the hotel fab foodthe staff are so polite, on one occasion the porter accompanied me to Selfridges with an umbrella since it was raining, and it was an excellent experience I will use this hotel again when in london	
Apr 2 2008 	Good location in central London	Had a generally good stay at the Millenium in january this year. Fantastic location and good entertainment in the bar. Rooms were comfortable but the soundproofing was awful. We were back in our room at around 24.00 but were awakened at around 04.00 by at least 4 people having a party in the next room. My wife didn't think it was a good idea to go and tell them to shut up in case things got out of hand so I contacted reception to sort it out, they didn't, so after another hour we contacted them again - they sent somebody to have a word but the problem didn't stop until around 06.00 by which time we were more than slightly p'eed off. the hotel should have dealt with the problem as soon as it became a problem - especially as the room rate is quite high. Apart from that issue we enjoyed our stay at the Millenium Mayfair	
Mar 31 2008 	Fantastic	After looking at a lot of London hotels my best friend and I decided this had the best location for a girlie weekend. On arrival the staff were pleasant and efficient and we were checked in within 5min. On returning to the hotel late that night we found the restaurant closed but were told we could get light snacks in the bar which only closes at 2am. The food at the bar was limited but good quality and considering it was now 11.40pm we were surprised by this. Even though the bar closes at 2am we stayed there till 2.45am with no problem (last orders at 2am). Check out was just as simple as check in. Parking was OK and free as it was Easter weekend and the hotel was easy to find. This hotel is absolutely fabulous, and on our journey home my friend and I were planning our next visit. I would advise any one who wants a good weekend in London with a partner, family or just friends to try this hotel. You will not be disappointed.	
Mar 24 2008 	Great location	This hotel was a good value for Mayfair. It is centrally located and the service was good. We will be in London again at the end of the year and will probably book another stay at the Millennium London Mayfair.	
Mar 23 2008	Great stay at Millenium Mayfair...	Excellent location, great deal through lastminute.com and we got a complimentary upgrade to a studio room overlooking Grosvenor Square - couldn't ask for more!	
Mar 21 2008 	excellent hotel	We stayed here for two nights booked through superbreak. I had emailed the hotel prior to our arival to inform them we were celebrating my husbands' birthday and we were treated to a lovely complimentary bottle of wine when we arrived in the room. Check in was smooth and we were offered an upgrade at a very reasonable price for our stay to a deluxe room overlooking the square, which we accepted. Our room was not ready when we arrived mid afternoon but the receptionist gave us two vouchers for complimentary champagne in the bar while we waited. The room was very spacious and well apointed, the bathroom was small compared to the room but was adequate for our needs. The bed was extremely comfortable as well. We had continental breakfast included in our rate but were able to enjoy a full english for an extra £3.50 which was good value. Service in the restaurant and in the bar was excellent. We couldnt fault it - in fact, all staff members were very polite and friendly. We had never stayed here before, we usually stay in mayfair though, and will definitely be returning. This hotel is a gem in a great location, and goodness knows why it is so low down in the trip advisor ratings, in our opinion it should be in the top 10, compared to some of the hotels that are up there? We would totally recommend this hotel for a great stay in London!	
Mar 11 2008 	Great Base for City Break	There are cheaper options available for London breaks but The Millennium has a great location and you don't have to spend a fortune. The streets surrounding the hotel are full of pubs, restaurants and cafes for breakfast, etc. Five minutes walk from Oxford Street and Bond Street tube station. Hotel staff very friendly and attentive though we didn't need to speak to them much as all ran very smoothly. Check-in is relatively late but they will keep you bags while you hit the town so don't waste a minute. Same applies on check-out.	
Mar 10 2008 	i could not fault the mayfair	I had booked a single room and when i saw my room i had been given a king size bed with views over the square and on arrival i was offered a full english breakfast for £12.50 in stead of £22.00 which is the normal price for London and was very happy to take the offer up.The room and the breakfast were fantastic but i thought the bar prices vere very high price,but may be im in the old wold.All together a very good hotel,and would stay again	
Feb 28 2008 	Can't beat this location for the shops	In a city where reasonably priced hotels in good locations are rare, the Millennium Mayfair is fantastic! Close to shops in Oxford St., Marylebone, Bond St. and Green Park, all you need are your own two feet to take you anywhere between 5 and ten minutes. The hotel itself is not bad, as hotels globally go, but as a London hotel - it is certainly above average. Our king room has a HUGE bed in which my husband, my 4 year old son and I slept easily (would have liked an extra blanket though). The room was an average size and the cleanliness level was about 5.5 on a scale of 10 (we noticed a champagne cork in the corner on our first day there). The bathroom has a lovely warm towel rack, though I could not find a hair dryer. If you're willing to pass off some of this stuff, this hotel is good for its value - you will save a lot in commuting expense and time. It isn't luxurious, but then, it isn't tragic like other London hotels which call themselves luxurious but are far below standard.	
