	By far surpasses ANY hotel that I've ever stayed at!	I had the great fortune of staying at the Intercontinental Park Lane Hotel, London, over the last 2 days. I was there for a Medical Conference, and my stay at the hotel (as well as the cost of the conference) were paid for by Abbott Pharmaceuticals (as a 'Thank You' to me for helping to produce a drug protocol). The Conference was being held at ExCel; this is 10 stops on DLR and another 5 on underground - so I left the Conference grumbling at the distance that I had to travel to get to the hotel! Well .... I would have travelled twice the distance for this hotel! I arrived at Reception at about 7pm, there was no horrible queue for check-in, and I was met by a smiling face from the lady who booked me in. She made absolutely no reference to the fact that I was being given a luxury suite - just simply gave me my room (suite) key, informed me that it was on the 1st floor and then asked if I required anyone to carry my bags. I declined the offer of a carrier (my bags aren't posh, so I didn't want to be embarrassed!) and took myself up in the lift. I have to say, I did wonder why the door said 'Spa Intercontinental' when I got there, but was so exhausted that I just threw my body through the door. As I opened the door I expected to see exactly what one finds in every other hotel - a bed close to the door, a tray near the door with a kettle, and a trouser press etc. But ..oh no. What actually greeted me as I opened the door was opulence!! Shining black tile floors, gleaming wooden doors. I put the light on, still not sure what I was looking at, saw that there was a door in front of me, assumed that the door to the left was the bedspace - but, again ... no ! It was a stunning walk-in wardrobe, with bar-area prior! There was a loo as large as a standard downstairs toilet-area at the 1st closed door. And then .... I opened the heavy double-doors that were facing me, to find the most ENORMOUS bedroom, beautiful bed, curved sofa at one end, chaisse-longue at the other. Glass finishings everywhere, and, just when I thought I'd seen it all, another door to a HUGE bathroom with illuminated Spa, wet room with rainforest shower and another loo! The view from both windows were of ParkLane Picadilly and Hyde Park (where they had a splendid German Xmas Market!) One of my main reasons for writing this review is that I have stayed in lots of places in my lifetime; I've been to stunning 5-star hotels in SWitzerland when skiing, and all across Europe, the Americas and the wider world. All hotels have professed to probably what they aspire to, but none have quite delivered, in my opinion, what they profess. The Intercontinental seems to play the descriptions down! I know that I wasn't expecting an opulent stay (was only on a 3-day conference for work after all!) so my expectation was fairly low; however, since I've returned home I cannot find a description of the Spa suite on any website! The room, incidentally, is No 106. I really was so very lucky to have it, as I believe that the Pharm Co had over-subscribed, therefore this was an upgrade. However, it seemed to me that the wonderful staff took enormous pride in ensuring that I had a stay which matched my luxury stay thereafter! There wasn't a grumpy face amongst them! The lovely ladies who offered 'turn down', the very cheerful Kimberley who sorted out my extra night - (!) Yes, I stayed on and the hotel staff saw to it that I remained where I was ! I was HUGELY impressed with the night security man, John. I had an unfortunate temporary 'loss' of my handbag in the bar one evening and he was there like a shot, despite there having been no incidents at the hotel before. He scrutinised the CCTV and found my bag for me; all the while remembering to be the perfect gentlemen (he DID tell me that he is ex-military; - however I think his impeccable manners are a credit to his personality, rather than to his military background, as well as to the hotel) Oh, by the way, the bag was only mislaid - by me of course!Finally, on Wed 25th Nov, and after my beautifully relaxing illuminated Jacuzzi in my bathroom, it came to my ever-so-reluctant check out , and I could not believe that the lovely lady behind the desk (wish I'd got her name - I think she is French) not only offered to help me carry my bags outside, but also insisted on leaving her post to come outside and walk me to the end of the road where she could show me the Tube Station! Never before have I had such care and attention and yet, as I say, have stayed in high quality hotels all my life, generally for skiing and leisure.I am highly impressed by this wonderful place and would give my eye-tooth to return one day. However, sadly, don't think I'd ever be able to stay in the Spa Suite, room 106 again! So all I have are my memories!Thank you Intercontinental Park Lane for your unmatchable hospitality. I would love it if you could put some pictures of 106 on your site, as it , and your great staff, really does you proud!Kind regardsLouanne McCabeWinchesterHampshireUK	
Jun 10 2009 	Lovely Hotel and Reception is Fab!!!	The Hotel is in a good location, 2 min walk from Hyde Park Tube. Friendly staff, Reception were excellent. We got upgraded complementry. The room was clean and had all the nice &quot;extras&quot; you would expect for a 5 star hotel ie Elemis products, CD player in room, Slippers, Turndown Service, Speakers in Bathroom to listen to TV,Bathroom mirrior that doesnt steam over, Additional large shower head, etc. We didnt eat in the Hotel but found a fab restaurant in Soho called Bistro. The food was excellent, service quick and friendly and great value for money.I would return to this Hotel.	
Jun 8 2009	100% Recommend	This is a lovely hotel. Myself and my mum stayed at the Intercontinental Park Lane to celebrate her birthday. We arrived at the hotel at 12 noon. We did not expect our room to be ready but we found the room was available for us (4th floor room 446). The check-in was fast and friendly. The room was lovely with two single beds a large flat screen TV and a Bose radio. The bathroom was a nice size and what a lovely surprise to have Elemenis toiletries and two bath robes. There were tea and coffee facilities, mini bar, and safe. After settling in our room we went out to explore London. On our return to the room my mum had a birthday cake and fruit left for her which was a lovely touch.We also had a turn down service every night with a little chocolate left on your pillow.Breakfast was £30 per person in the Cookbook Café or you could have Breakfast in the lobby for around £12.50. The breakfast was very good with plenty of variety.We had our evening meal at Theo Randall restaurant which was out of this world. The setting is stylish but relaxed, and yet again the staff our friendly and very attentive. I recommend you try this restaurant you will love it.We traveled by tube to the Hotel (Hyde Park Corner) from the tube it is no more than 5 min walk.I will 100% be going back to the Intercontinental Park Lane again and would recommend this Hotel to anyone.	
Jun 8 2009 	Good Hotel - Great Location 	The hotel is located within close distance and easy reach of the Hyde Park Corner tube station and it was clearly signposted at the station so we found it easily. We arrived at about 1pm - before check-in time, however our room was ready. The receptionist informed us that we had been upgraded to a room with a view over Hyde Park which we were pleased about. The lobby and downstairs areas in the hotel were lovely, it had a relaxed and welcoming feel. The bar area was smart and the chairs really comfy. Good first impressions. Our room was of average size - not huge but plenty of room for two people to be comfortable in. The bed was large and very comfortable. I noticed that the room and bathroom were exceptionally clean, which is something I really feel is necessary when I am staying somewhere. The decor wasn't to my taste, however there was nothing wrong with it - just a case of personal preference. The bathroom wasn't massive yet of sufficient size and the shower was a rainfall shower - with the big shower heads. Toiletries, dressing gowns and slippers were also provided. Upon returning to the room on the first evening I found a birthday card from the hotel along with a slice of cake (absolutely gorgeous), some comice pears and a box of chocolates - I thought this a really nice touch. The rooms also get turned down each evening which is good. We didn't order room service, however if you wish to then bare in mind it is very expensive!One gripe I had with the hotel (only minor) was that although there seemed to be a lot of staff stood by the doors, they were very rarely opened for us, only a small thing but I would expect a 5* hotel to have someone on the door to welcome guests in. On the Friday night we ate in Theo Randall's restaurant - not cheap but worth it! We opted for the 5 course taster menu, each course being exquisite. I do need to make particular mention to the Amalfi lemon tart - the best I have ever had! The sommilier seemed to have a good knowledge of the wines and all the waitering staff were friendly. The restaurant had a relaxed feel which was lovely - you didn't feel the need to have a really hushed conversation - there was a good buzz about the place. One lady - perhaps the maitre d (?) - went out of her way to be helpful - we couldn't manage our cheese course so she arranged for it to be taken up to our room. She was very down to earth and made you feel really welcome in the restaurant. Overall I would recommend the Intercontinental as there is nothing at all wrong with it. I probably wouldn't stay here again if visiting London as I like to try new places but that is no bad reflection on the Intercon. Although it is a good hotel, I wouldn't say that it was extra special - it didn't 100% match up to other 5 * hotels I have stayed in. I have also stayed at the Marriott on Park Lane and I did prefer this. I would say if you were just looking for a base to do some sighseeing / visit London then it's perfectly fine - however it is a big hotel so for a special occasion I would probably recommend a smaller, more personal hotel. I get the impression it is mostly geared up to the tourist and business traveller.	
Jun 1 2009	Really the Best!	What a wonderful experience this was. We stayed at the Intercontinental to celebrate my mother's birthday. The manager surprised her with a lovely bit of birthday cake and a plate of fruit in the room.We arrived at 10:00 a.m. to find they had a room available for us! The room was spacious, with two beds, and a large bath. Everything was clean, operational, and well thought out. There was an iron and board, two robes, Elemenis toiletries, large, flat screen TV, Bose radio, very effective black out drapes. The room and bath were spotless. There was a tea service, mini bar, and safe. Plenty of storage, plenty of room to move around. Very comfy chair and foot rest. We heard no street noise, no noise from the hall or neighboring rooms, including nothing through the door that connected inside to the next room.From the moment we walked in all staff were clearly there to make us feel welcome and comfortable. Service in the executive lounge was attentive and friendly. There were two free computers to use at your leisure. Breakfast had good variety and was tasty.We will absolutely stay at this Intercontinental again. What a pleasure to stay where you are pampered guests.	
May 24 2009 	Fantastic Trip!	Stayed here for 2 nights 22-24 May 09. Wrote a letter in advance stating it was my Silverwedding and my 50th birthday. Didnt expect anything, but i was knocked out when the receptionist congartulated me on my double celebration! I was upgraded to a Superior room, hotel was great, breakfast was superb.If i was staying longer i wuld have tried the Sundy Brunch, £40 for 3 courses and all the Champagne you can drink! Has to be the best deal in London surely.would gombacktomorrow.	
May 10 2009 	Great location comfortable and friendly	Our room was great -- nicely appointed bathroom with an amazing shower. Staff was fantastic, and very easy to get to from heathrow. 10-15 minute walk to bond street/picadilly	
Apr 29 2009 	perfect - parfait	room upgrade -wonderful service - price/quality 10/10	
Apr 27 2009 	Outstanding Hotel	My husband and I stayed at this hotel for two nights, along with my parents who are actually from England, and we were all extremely happy with this hotel. The service was excellent, the room was very clean with very nice furnishings, and the location was ideal. I have stayed at numerous InterContinentals, and found the London Park Lane to be one of the best - especially for the price. I would recommend this hotel for both first time visitors to London and for people who have spent a lot of time in London.	
Apr 23 2009 	4.5 Stars! Good Location Quiet Rooms Pleasant Staff	I wanted to rate this hotel as &quot;4.5&quot; here on TripAdvisor, but that's not an option. A perfect rating is also out of the question, so a &quot;4&quot; it is, with regret. I'd like to single out for special praise the pleasant and helpful attitude of the entire staff. They would collectively rate as one of the best I've encountered.This hotel is classified as a five-star property, and this review takes that fact into account. My feeling is that this is not quite a &quot;classic&quot; five-star in quality; it's no George V, Berkeley, or Four Seasons. Luckily, I paid four-star prices.Good: Location, room quality, bathroom, staff interaction, quiet roomNot so good: Insulting costs for incidentals (wi-fi, minibar, phone), service hiccups, wi-fi accessI had a room on the eighth floor in April 2009 (over Easter), booked through the opaque provider Hotwire, and I paid an average of USD $175 per night, inclusive.A month or two before check-in, I sent a personal letter to the manager indicating my several special requests. I was shocked to discover that each of my requests were accomodated (non-smoking, high floor, early check-in) even though I had booked through Hotwire (Hotwire/Priceline guests often receive less-desirable rooms in hotels). I was also upgraded to a deluxe room, though I did not request or expect it.The interactions (though not necessarily the results) with the staff were always pleasant and earnest, and I did not detect a hint of condescension even though I'm kind of a scruffy traveler. In fact, the desk staff who checked me in could not have treated me better.During the stay, service (though I did not need much attention) was somewhat lacking, and while that might be excusable in a lesser property, five-star hotels must be held to a higher standard. Even getting an ice bucket to the room promptly proved a challenge. However, these incidents were minor.On the flipside, management provided a complimentary plate of Easter sweets and (separately) a bottle of water.The room itself was rather nice (again, in context of a five-star property), well-appointed, but not fussy or over the top. Rather small for a five-star, the room was still large enough to feel less than cramped. There was enough storage space for my two bags, but there wasn't room for much else in the wardrobe (the only storage provided). As one would expect of a five-star, the room was quite clean. When the balcony door was closed, the room was very quiet, and I was never disturbed by outside noise (exterior, hallways, neighbors, etc).The hotel is in a decent location, and the Hyde Park Corner tube station is close by (although a flight of stairs down and up is involved to reach the station). However, there are not many dining/drinking options in the immediate neighborhood. If easy access to restaurants and pubs is important, then this hotel may not be a perfect choice.A brisk 20 minute walk will get one to Piccadilly, or Westminster, or other famous places in London.Hyde Park (itself) is next door, Buckingham Palace is a short walk away, and Harrod's about 15 minutes by foot or moments via tube. Across the road from Harrod's proper (on Brompton) there is a grocery store for those who like (as I do) to pick up some water, bread, drinks, or whatever to keep in the room.All the usual five-star amenities are present, including Frette linen, robes, slippers, a Bose radio, and a handily wall-mounted Bang &amp; Olufson television. My room had a large balcony (I love balconies!), and from what I could see from the exterior, there are not many rooms with balconies.The programming is international, and in many languages. ESPN (american sport channel) is available, and the first time I have seen that in my international travels. The British TV channels are there, along with SKY news, CNN, and a few other English-language stations.Several electrical outlets are provided, and in various voltages and configurations (USA, Great Britain, and mainland Europe).The minibar is well-stocked; the pricing is shockingly high. It is an automatic device, so the guest is UNABLE to remove the items (to store their own purchases, for example) without being charged for them. Be careful not to accidentally remove an item.Don't use the in-room phone either. The charges are, like most incidentals in this hotel, insulting.The bathroom, though small, is well-fitted; the bathtub has the traditional hand-held showerhead and the always-appreciated &quot;rainfall&quot; showerhead as well. The water is quite hot, and the pressure is fine.Internet access, however, is a serious issue, and poorly handled at this property. There is no wi-fi available in rooms; wi-fi is only in the public areas. Worse, the charges for internet and wi-fi are OUTRAGEOUSLY and shamefully high. The charge is £5 (about USD $8 as of my stay) for ONE hour's worth of access, or £15 (USD $23) for 24 hours worth. The charge is the same for both wired in-room and wi-fi internet service.The public areas are very nice, and I enjoyed the (again, expensive) lounge. It is a comfortable, welcoming place. They also had the best macadamia nuts I have ever tasted (served with your drink). I did not dine at either of the two restaurants, nor did I breakfast at the property.	
Apr 13 2009	Loved it	My daughter and I shared a room for four nights. Comfy beds, easy walk to the Hyde Park Corner tube station on the Picadilly line. The hotel smelled so nice, the hallways were elegant. Stay here if you can. Only one drawback, we didn't have any drawer space, that was weird!	
Apr 12 2009 	Luxury Hotel	We re visited the Intercontinental on Park Lane during February 09. We stayed for the weekend as we had booked a meal at Gordon Ramseys resturant Murano's. We arrived on Friday lunchtime and we were shown our suite as it was ready. It was simply divine and very luxurious. The suite could not be faulted at all, view was over Aspley House as we had requested, extremely clean and well stocked with bathroom products - elemis.On Friday evening we dined at Theo Randells resturant which is the hotel - the food was fabulous and the service was impecable. We will definately return. The following day we were sightseeing and then returned to the hotel. That evening we dined at Murano's the food was fabulous and again the service was impecable.Overall the hotel service by the staff including the reception and the club lounge were excellent. We would recommend this hotel and hope to return soon.	
Mar 31 2009 	Ridiculous	I tried booking for the Intercontinental. We are a family of 2 adults and 1 child of 2 and a half and 1 baby of 7 months. They told me I cant have the children in the same room. How do they honestly expect me to put them in another room at that age!! The reservations were very rude and unhelpful.	
Mar 29 2009 	Beautiful Hotel	Stayed at the Intercontinental when visiting London for my companies Christmas dance. Stunning hotel in a magnificent location on corner of Hyde Park/Park Lane. Very friendly and efficient check in staff - we arrived at 9:30 am and asked if we could store our luggage until a room was ready, but the staff member who was checking us in found a room and allocated it to us, albeit it only had a view into the inner courtyard. Hotel is very well appointed throughout from the reception to the corridors and lifts and is deserving of its 5* status. Rooms are very comfortable - not massive, but then who visits London to stay in a room! High quality BOSE TV/Sound system in room, writing table and good wardrobe/storage with iron/ing board etc. Bathrooms very modern with high quality fittings. And the bed - WOW!!! So comfortable.Didn't have a meal in any of the restaurants so can't comment, but buffet breakfast was was good. Drinks are quite expensive, but you are staying in a 5* hotel so that's only to be expected. Wouldn't hesistate to recommend hotel to anyone	
Mar 28 2009 	Great location! Good hotel....	We got an excellent deal on this hotel from Expedia and you can't beat the location. You are a quick walk from the Green Park tube stop and right across from Green Park. The hotel smells like roses when you walk in, which is a nice touch. The rooms are a bit small, but typical for London. We had to have a portable bed rolled in for our son, but they brought it up right away. The restaurant was okay, but go out to one of the local restaurants or pubs for a good English breakfast. My only complaint was that our television remote ended up missing twice during our 5 night trip, right after the maids cleaned the room. The hotel did bring up new remotes but it took them quite awhile to locate one. Overall though, it was a good experience.	
Mar 22 2009 	Overpriced and overrated	I have stayed here before, and liked it, but the hotel has gone down hill for sure. For a start, it's expensive and Priority Club doesn't give you points if you book advance rate. They charge a fortune for anything extra, such as internet access.The rooms are ok and clean, but bog standard Intercon. The gym is great. However the lifts are super slow, and two of them were broken down, so the whole hotel was relying on one or sometimes two lifts. It took forever. The location is also not great if you're working in the city. We were there during the big snow in London, and could not do anything ... without cabs you really can't be at this hotel... much better to be in the city. In fact for this price, I think there are much nicer hotels in London to stay at.	
Mar 20 2009 	Pricey but worth the treat	I went here with my wife for a night! Absolutely top class. I'm a regular user of the Intercontinental group but this hotel is one of their best. The bar though was a bit crap but who stays that long in a hotel bar anyway! Perfect for couples or business.	
Mar 17 2009 	What's happened to the light?	Stayed in the suite in 2007 and 2008. This is a very good hotel, newly renovated (06?07?), clean and modern, expecially given all other hotels (inside the room) in London are pretty old. Quite area, very close to the underground, and the taxi are always there. 5 mins walk to Hyde Park and the underground. 15-20 mins walk to Harrods, very good walk (along Hyde Park) if the weather is nice. I will definately come back but only if I am on holiday. This is not a business hotel, the suites I stayed in 2007 (top floor) and 2008 (lowerest floor) are very pooly lit and the desk lamp is a joke. I have to moved all the standing lamps (one or two) next to my table and it's still not bright enough (against the dark wood/ deep colour background). Struggle to work / read and write/, under a very romatic atmosphere and I was only 34-35 then. I doubt if anyone can work under the candle light for more than 1 hour. It seems that the standard room are in lighter colour (yellow/beige?) and maybe the lighting will be more work-friendly.	
Mar 13 2009 	Best hotel stay ever	We booked the Intercontinental on Park Lane as a treat for my husband's birthday and to go sales shopping, using our free weekend night certificate from the Ambassador pack. We booked a studio suite, however when we arrived they informed us we had been upgraded to a luxury suite (triple upgrade so we were very happy). Our butler took us up to the room, which was absolutely massive, especially considering the location overlooking Hyde Park Corner. There was marble floors, a guest cloakroom, large dining and sitting area, with a separate large bedroom and huge bathroom. Elemis goodies in the bathroom (and full size soap and moisturiser in the guest toilet).The Club lounge was being refurbished when we stayed, but the hotel had turned part of the ground floor bar and lounge into a Club area. The facilities Club access gives you is easily worth the extra money. There was everything you could want for breakfast in the Cookbook Cafe. Afternoon Tea in the lounge area with sandwiches made especially for us (we are allergic to dairy) and wonderful little chinese style tea pots with around fifty varities of tea was a lovely surprise. But the best bit was evening cocktail hour, we must have had more than a bottle of champagne between us, with choices of pink champagne or the classic champagne cocktail, who wouldn't? As the restuarant was closed, we had room service dinner, which was ok but nothing special. We didn't use the gym or spa but both looked brilliant, with individual new water bottles and rolled towels on every machine in the gym. As the Club lunge was closed we got free internet access in the business lounge.This is the only time I have stayed in an hotel and had my expectations surpassed. The service was perfect and staff were helpful beyond the call of duty at all times and extremely polite, without being at all fussy. There was even a chocolate cake wishing my husband happy birthday in the room when we arrived and staff knew our names and which room we were in whenever we had a query. I can't really express how great this hotel is, much better than the Hilton on Park Lane, or any other hotel I have been to. We will definitely be going back.	
Mar 4 2009 	Wonderful	Fantastic hotel! Great location, great room (Executive suite). We always try and stay at Intercontinental hotels/resorts whilst travelling and yet again they delivered.The hotel is located in our favourite part of London, which is within nice walking distance of other hotels, bars and restaurants.The foyer and check in desk can be a little impersonal due to the size of the hotel, but highly recommended.	
Feb 15 2009 	Gorgeous hotel!	What a wonderful hotel, elegant, perfect location, very comfortable beds and the best showers I have ever used! THe food was excellent, the staff absolutely the best....we were off to a show, and the queue for taxis was long due to an event, the hotel provided a private car and we made it to the show with minutes to spare! Thank you Hotel Intercontinental! I would return to this hotel again and again, plus highly recommend it!!	
Feb 15 2009 	Nice hotel poor club lounge	Stayed for a week here while at a course and overall the hotel was quite nice and good value. I had a club room which was a disappointment. The room itself was large and comfortable, but the bathroom was small and decrepit with a bath/shower combo that is not appropriate for a 5* hotel.The club lounge was the main problem i had with the hotel. Staff were bored and not that helpful, while food quality was poor. The fact that alcoholic beverages were only served between 6pm and 9pm reflected poorly on the hotel. If you are paying extra for the use of the lounge drinks should be complimentary all day, they need to take a leaf out of the ritz carlton's book. On the plus side, the club lounge itself is a nice room with fantastic view.Overall this is a good but not great hotel, i would not stay here again given the other options in London such as the Sofitel St James and the Renaissance Chancery Court	
Feb 13 2009 	Superb Hotel	We stayed at the InterContinental Park Lane for one night on Feb 7th and once again it was excellent. The check in was quick and efficient. The staff are really helpful with any questions that you have and are not snooty as you may expect. We were dressed in jeans and trainers for a day out walking and were treated exactly the same as the people that had louis vuitton dripping from every pore. Rooms are so so comfy with comfy big bed, utter silence in the room - you can't hear noise from any other room.Location is great - tube stop within 2 mins walk, bus stop within 1 min walk and town centre on the doorstep. if you're feeling lazy its still only a £5 cab ride from leicester square at night. its also the perfect location for a sunday morning wander past buckingham palace (5-10 mins) to see changing of the guard at 11am and then along the mall into the shops	
Feb 11 2009 	Excellent hotel in London	This hotel has a prime location in London City. Many sights are within easy walking distance or the Underground is only a few minutes walk down the road. The staff were very professional and the room cleaned impeccably.I can't comment on the hotel restaurants for we dined outside the hotel.	
Feb 9 2009 	Don't Stay in This Hotel!	Don't stay in this hotel! Reception put me on the &quot;Intercontinental Club&quot; floor. When I went to use the Club, however, I was informed that if I actually intended to &quot;use&quot; the Club, there would be an ADDITIONAL charge of $200. During my stay I made a local call - when I checked out I was told that the hotel charges $5 PER MINUTE for a call to a local cell phone. When asked if I hadn't seen the tariff sheet next to my phone I advised that I didn't bother to look for such a card since it NEVER occurred to me that the hotel would charge $5 PER MINUTE for a call to a local cell phone. A collosal rip-off.	
Feb 7 2009 	Enjoyed this Hotel and Staff	We stayed at the Intercontinental Hotel &amp; Suites in London, and our experience was fantastic. The staff was very helpful and made us feel like royalty, no kidding. They opened your bed sheets in the afternoons and provide you with slippers for the night. I always try to get top floor so I can have city views and this trip was no different. The hotel was a few blocks from the Buckingham Palace and long green parks. We enjoyed the sites whenever we walked.We saw Big Ben, the Eye of London, took a Thames River boat tour and saw all London bridges, including the famous Tower Bridge and other attractions including shopping at Harrods.London is expensive, but we enjoyed our stay there indeed. Ah, and the famous London black taxis look small, but they are big inside! ** I recommend this fabulous city to anyone. **	
Feb 4 2009 	Wonderful time	After staying at the Connaugh two nights because the Intercontinental I can report the Intercontinental is the better hotel. Staff is young and really work at taking care of you.The rooms are a good size and are intelligently thought out. Beds are very good also.The food could be better, but it is a commerical hotel. There are a lot of good restaurants around. This is a good location with Shepard's Gate close and only a 15 minute walk to St. James.	
Feb 2 2009 	Very convenient location	Idealy located infront of Park Lane. Walking distance from Picadilly, Harrods, Buckingham Palace and if 10 minutes walking is not too much for you ... you can arrive to London Eye and Big Ben without taking any taxi.Rooms are very nice, friendly staff. I originaly booked Hilton but I quited the hotel because it is very noicy because of the wind and the tall floors had this problem. Intercontinental just have 7 floors if I'm not wrong and you won't be able to see from the window of your room Buckingham and London Eye as in Hilton, but you will sleep very very pleasant.Just be warn to review your bill while quiting the hotel, I was charged with a Red Bull and a M&amp;M that I never took :(. Absolutely recommended location	
Feb 2 2009 	Very disappointed not a 5* hotel	Having expected a weekend stay of luxury, we were very disappointed with the lack of personal service at this hotel. Our initial greeting was somewhat average and we were not even offered help with our luggage. The room was ok but definately not deluxe, there was lack of attention to detail in the room and there was various damage to the furniture and various lighting did not work. Having been asked if we wished to receive a newspaper and for it then not to be delivered was in our opinion not 5* service, why offer if you cannot deliver? Having booked several days prior to our visit to have dinner in the Theo Randall restaurant to find this was not done and then rebooking on our arrival to find that when we attended for dinner that we were still not booked in was somewhat upsetting and leaves you with a lack of faith in what should have been a luxury stay in 5* accomodation.	
Jan 16 2009 	``	First time at this hotel, after numerous previous visits to London. From now on...I'll plan to stay here! The location is perfect --walking distance to many sights and lovely local neighborhoods. (Do not miss the nearby, but hidden, Shepherd Market area, wth its small pubs, restaurants, and shops, and Belgravia, and the walk down Piccadilly from the hotel).The hotel room, including the bathroom, is beautiful. Beds are superbly comfortable! Housekeeping is impeccable, with twice a day tidy/clean-ups and even slippers laid out by the bedside in the evening. The room and bathroom were always spotless. Unfortunately (for us, not him) Theo Randall's restaurant was closed for the Chiristmas-Boxing Day weekend, so we didnt get a chance to partake. The menu looked wonderful, and reasonably priced.Staff service--second to non,e anywhere!! Talk about going out of your way for a guest!! One of the staff, Malik, walked two blocks in freezing cold weather to help me bring luggage to the hotel. I'd made a wrong turn, and when my daughter went ahead, and mentioned this to him, out he wrnt wtihout even a jacket, to rescue me. I wish i could recall names of all the front desk and door staff. They ar alwasy ready with a smile and genuine courtesy--Malik, Husein, and others, thefront desk reception staff. The concierge desk deserves special mention. Bravo GUIDO!!! MILLE GRAZIE! He's an interesting, extremely knowledgeable gentleman who can answer all your questions, no matter how trivial they seem. If he doesnt know--he'll soon find out! He seems ot know everything about London. His colleagues Caroline and John are great too.To all the staff, and the GM, a huge thanks for providing excellent service in a beautiful hotel. The location of this place--in one of the exclusive areas of London--hasn't &quot;turned their heads&quot; or prevented them from offering professional, helpful, genuine and friendly service. Now that is REAL class!!	
Jan 14 2009	Bad check in and club floor	We stayed here last November, at check in the employee told us we had a upgrade to a bigger room at the back site of the hotel, they give our booked room away, because when I make the reservation by phone the lady told me the she already graded us up to a suit at the park site.There was nothing we good do about is, the hotel was fully booked and the first change to the other site would be on Sunday after 14.00, we don´t want to wait at the hotel the whole day for that change so we stayed at the other room, at that site they were rebuilding another hotel so very noisy.The service on the club floor was very bad, no attention of the staff, drinks and snacks was the same every day, sandwiches at afternoon tea very dry so you need a lot of tea to handle it.For the service we get this hotel was very overpriced, we payed 399,- pound a night so next time we go to another hotel. That's a shame for an ambassador member of the Inteconti chain	
Jan 13 2009 	Overall a very good hotel	My wife, daughters (10 &amp; 12) and I stayed for a bit over a week after Xmas thru the New Year. We had adjoining rooms, no view to speak of, but very comfortable for us. The hotel is really more of a 4 Star business hotel than a 5 Star deluxe, but it is well located -- 1 block from the subway and an easy walk to restaurants, Buckingham Palace and other sights.The service was attentive and pleasant, but had some trouble with English (mostly Eastern European) so the newspapers and coffee/tea service in the rooms was never quite right. And in the cold of winter it never seemed that there was a doorman at the door; they seemed to show up after you got there and started to come in.That said, a very nice hotel; good value for the location and quality.	
Jan 6 2009 	Gorgeous room in a fabulous location	We visited London for the NYE celebrations, as well as our 1-year anniversary. Upon receiving this hotel on Priceline, I emailed the hotel with information about our special occassion, and was informed that they would upgrade us to a Deluxe Room overlooking Hyde Park. Wonderful! Upon arrival at 10am, our room (742) wasn't ready, but we were invited to use the Club Lounge for the morning and afternoon until our room was ready. What a treat! Gorgeous views of the city, and a great spread of free foods and drinks. A wonderful way to relax after a long flight. We were given our room at 2:30pm, and WHAT A ROOM! Gorgeous decor, a stunning bathroom, super comfortable bed, and even a balcony overlooking the park. Service at this hotel was stellar, and employees here go out of their way to make guests feel welcomed. Standard rates are rather high, but for a full-service hotel on Park Lane in Central London, you're going to pay! We plan to visit London again in June and are thinking about booking a Club-Level room if we can swing the rates. Food and service in the Club is well-worth the extra expense. A great stay at a fabulous London hotel!	
Jan 5 2009 	Warm friendly and nothing too much trouble	I booked a one night stay (New Year's Eve) at the Intercontinental London Park Lane indirectly via the Travel Republic website. This was part of a surprise, special New Year's trip to London for my girlfriend. I made the hotel aware of this via the booking form. The hotel, located at Hyde Park Corner, has recently undergone a major refurbishment and while the exterior is unlikely to ever to live up to some of the older, grander London hotels, I found the interior to be superb - contemporary luxury, without being too fussy or trying too hard. The doormen were welcoming and friendly; Jana on the check-in desk was helpful, efficient and friendly. My girlfriend and I felt immediately warmly welcomed and as if we personally mattered. We were given an upgraded room on the 8th floor, with views, which was in excellent condition. It was not a huge room, but I felt for London was probably good and it suited our needs perfectly. The club lounge facilities were also highlighted to us and we paid an additional amount to enjoy these as part of the hotel's New Year's package. These facilities are also available at other times too for an additional charge or are included with certain rooms. A special treat, in the form of a tasty dessert for two, was also delivered to our room gratis while we were out, which was another lovely touch. The breakfast the next morning was delicious and was taken in Theo Randall's restaurant. If there was to be any room for improvement, it would probably be around ensuring that breakfast items were always available, or at the very least with only very minor delays, and some items (glasses, plates, eggs, bread) were perhaps a little slow to be replensished at times. However, the staff did always appear to be pleasant and to be doing their best to resolve any issues as quickly as they could. On the plus side, this meant that the food always tasted fresh as it was never left standing for too long. All in all we had a fabulous stay and would very much enjoy a return visit I am sure. Intercontinental may be a chain, but the experience felt personalised and we have nothing but happy memories of our stay!	
Jan 1 2009	Definitely not a 5 star hotel	We just returned from staying at the Intercontinental over Christmas week. We had originally planned to stay at a short term apartment rental which ended up not working out, so we stayed at the Intercontinental at the last minute. We were able to get 2 connecting rooms as our children were with us. The man at the front desk was very accommodating and helped us configure the rooms in the most comfortable manner for our family of five. A cot was added to one of the rooms right away...The room's size was decent. However, the decor is drab and even looked tired to me despite the fact the hotel was renovated in 2007. The bathroom is not of a 5 star hotel quality...only one sink, the shower requires a shower curtain where the liner was already lined at the bottom with an orange mildew...as well, some of the grout between new tiles was already showing some orange mildew. The heating/cooling unit was extremely loud when it was running. The service at the cookbook cafe and the bar area was slow and expensive. Although, we really thought overall the food was good.In general, we had a good 8 day stay considering our circumstances. I just don't understand when people claim 5 star quality and it doesn't really exist here.	
