	Avoid Avoid Avoid	Stayed at this travelodge for 1 night 27/11. Tried to chek in at 1pm to be told check in is 3pm and there is nowhere to store your baggage unless you pay £10 early check in charge which i paid as had no alternative. On our return to our room at midnight after seeing a show we were settling down to sleep to find a Mouse on the edge of the sofa bed. We were eventually moved rooms and did have some money refunded the next morning. The hotel is disgusting, please everyone avoid at all costs ! We were told by the manager the mice are an ongoing problem due to building work and pest control have attended and thought the problem was sorted. Obviously not !	
Mar 27 2009 	Great location 	Perfect location, just 5 min from Liverpool St station where Stansted express comes in. Room was adequate with en suite shower. Did not have hairdryer, but we were able to borrow one from reception.We did not have breakfast- plenty of coffee shopes etc around and we walked to Borough market in 15min to get breakfast there on Saturday and then to Spittalfields market on Sunday- 5min away.There is pay per use internet in foyer but that is very slow.	
Mar 25 2009 	Good value bad smell	Can't complain about value for money and location but the corridor on the 4th floor smelt of bo, travelodge have since advised me they have a plumbing problem and currently fixing it.	
Mar 23 2009 	Good enough to come back a second time	This is the second year that I have stayed at this hotel. Staff is friendly and helpful, rooms are basic and clean and the saver price makes it a really great value.	
Mar 14 2009 	excellent location	we have stayed in this Travelodge at least 3 times in the last year or so and have never once had a problem. It is in a perfect location, so close to Liverpool Street but it is on a quiet square, off all main streets. We tried the Travelodge on City Road once but it was so horrendously noisy. It is generally cheap if you book far enough in advance. The perfect location for a cheap stopover in London if you aren't planning to spend the whole time in your room! definitely recommended.	
Mar 12 2009 	value for money - top class	could not fault this hotel in any way. five min walk from liverpool street station where the stanstead express comes in. walking distance to algate and algate east tube station and on main bus route. hotel clean, staff helpful in every way. had breakfast in hotel and it was great value for money	
Mar 11 2009 	Above average for a Travelodge	I was in London for a conference, but my hotel allowance isn't great, so my first place to look for a hotel was Travelodge. I've stayed in lots of Travelodges of varying quality around the country and in London. In London I've stayed at Travelodge Royal Scot, Marylebone, Farringdon, Covent Garden and Park Royal, but this one I would rate as the best one I have stayed in when in London. It is in a quiet area because everything else is either an office block or somewhere to get a snack at lunch time, there was nothing to disturb your sleep. The other guests at the hotel (or at least the ones I saw at breakfast) seemed to be business people on their own and not tourists. The hotel is also only a 5 minute walk from Liverpool Street Station and Tube. The hotel was clean (no funny smells up the corridor that I have smelt at other Travelodges), the lift was working and the staff friendly and helpful. So if you are looking for a hotel in London that doesn't suffer from traffic noise, then I'd recommend this one to you.	
Mar 11 2009 	Dissapointed as Generally Travelodge's are good.	Think we had that once in occasion back luck. Booked our family room 4 hrs before we arrived as our weekend trip was off the cuff!! Location was great, no problems there, in a quite area no problems there. But we where on the first floor, lift was broken so not a bad thing! At night we found out that our window would not properly close/lock, so the 'noise' from outside was very audible! We had a 'mini riot' with about 10 youths and 6 police for about 90 Min's, where language was choice, not nice when you hear ever word and your 8 year old has no option but to hear it!!The customer toilets outside the bar had a very strong urine smell that drifted along the first floor on your way to breakfast, and at breakfast the food was not all available at the same time!!Overall travelodges are a great place to rest, clean and tidy and at a very good price, but on this occasion, not up to scratch!	
Jan 3 2009 	Good Value and Location	Stayed here recently for one night. The room was clean but need a little redecoration maybe. However with the room rate you can't complain and after all when in London you never spend much time in the room anyway. The staff were fairly average. The location was excellent, only a few minutes’ walk to the tube station and the area in general felt safe to walk through at night. The only downfall is that there isn’t a free luggage hold so we had to pay for the service at Liverpool Street station which was around £7.50 per item per day however as this was fairly close by wasn't too much of an issue. I would certainly book this again due to the location, especially when the room rates are on offer.	
Jan 3 2009 	good location	hotels a bit dated but as with most travelodge's cheap and you get what you pay forgood location for getting around on tube etc	
Jan 2 2009 	£29 a night - Bargain	stayed here for 5 nights between christmas &amp; new year 2008. Booked 6 months in advance and got for £29 per night. Room was clean, quiet (you could hear the rumble of the underground but it did not disturb us at all). Staff all spoke english very well. Only problem was our key card needed reprogrammed a few times. Have stayed in London many times and this was the best location and quietest area at night we have ever had. recommended.	
Oct 14 2008 	You only get what you pay for!	Had stayed in this hotel last year so knew what to expect, or so we thought! Arrived a wee bit early but girl on reception wouldn't let us check in until three, to check in early or to leave your luggage you pay an extra £10. We arrived early (1 hour) last year and they let us check in no problems. Once checked into our room on first floor discovered window wouldn't shut properly, cold water tap came off in my hand and fold down bed was falling to bits (family room). Asked, and was given another room immediately on fifth floor. Room was fine, clean and comfortable and everything worked although was supplied with only one towel everytime cleaners had been. My wife and I in room. Really annoying having to trudge up and down stairs all the time because during our whole stay, 3 nights, lift didn't work. Just as well we are all reasonably fit. The corridor outside our room stank of dampness or something. Overall, general maintainance seems to be neglected and hotel is a bit shabby but for price and location hard to beat.	
Oct 1 2008 	Excellent location	We had a FANTASTIC time in London on 28th and 29th September. The hotel is obviously basic, and as we only paid £29 for the room this was all we were expecting! However the room was very clean, and in a perfect location just a few minutes walk away from the underground. Check-in time was 3, something they arent very flexible on! We initially arrived at 2.10, the guy on reception was extremely rude and very unhelpful - just grunting loud enough for us to hear 'check in is not until 3'. So we waited outside for 40 minutes, which wasn't too bad as the weather was ok but it isn't something you would want to be doing in January! When we returned to the hotel at about 2.50 we were greeted by another member of reception and she couldn't have been more helpful. She even gave us a map which was attatched to lots of discount vouchers for various attractions and restaurants.Once we arrived in the room it was of a reasonable size, and had plenty of storage space for a short stay. The bed was very comfortable, and theres also a plasma in the room. Bathroom was very clean, and the noise was minimal. London is brilliant, theres lots to see and do so plan your time wisely. DONT but theatre tickets in advance as they are so much cheaper buying them on the day. The tube is very easy to work out, and the underground staff were generally very helpful. We ate in China Town on the first night and the food was excellent.	
Sep 30 2008 	Great value	The hotel is within a 5 minute walk of Liverpool Street rail station and excellent value at the £50 we paid for a double room. The room was clean and comfortable and a great base for exploring London	
Sep 8 2008 	great value and very well situated	i stayed at this hotel 5 and 6 september and have nothing but praise.the hotel rooms were clean and reception staff efficient and check in was no problem.i asked for a sheet for the sofabed and this was sent to me immeditaly.it is very handy for visiting most of london as liverpool st station is less than 5 minutes away.there is a tesco metro store within 5 minutes and plenty of eating places within the stationif you are booking a travelodge dont expect 5 star luxury for less than a 100 pound,but you will be surprised at the size of these rooms and the good cleanliness of this onei worked 17 years in the corporate travel industry and would reccomend this hotel	
Sep 7 2008 	Great for the money	My husband and I stayed here for 1 night only - when we visited London in September.Whenever we visit London, we do lots of sightseeing and travel very light (backpacks only), so only ever look for cheap hotel accommodation. We only ever want somewhere clean with a decent bed and shower, and somewhere fairly close to London transport.We definitely found that here. We booked this hotel through the SuperSaver rate, so paid only £29 for the night and we were more than happy with it. All Travelodge's are much the same - therefore, you know what you're going to get, and this was just that. A room that was pretty spacious for a ridiculously cheap price for London and very close to Liverpool Street Station, and lots of bars and places to eat.Saying there for only one night, we were more than happy and would definitely stay there again For our following night, we had booked ourselves into the easyHotel at South Kensington (to be close to the museums, etc.) but after spending the night there, we wished that we had saved the extra money, stayed in the Travelodge ad jostled with the rest of the passengers on the tube at rush hour to get to where we wanted. We probably would have had a much more comfortable night and for less money. Well, you win some, you lose some! With this Travelodge, at the price, we definitely won!	
Aug 27 2008 	A very good if suprising experience	I stayed here whilst in London to see George Michael, I paid £29 for the room and felt it to be very good value.Travelodges are much for muchness but this one is situated in a quiet square, on the edge of the financial district (round the corner from The Guerkin), away from the main road and consequently a very good nights sleep was had. The room was small but spotlessly clean and check-in/out was efficient. and the bed was super comfy.The hotel has it's own bar/cafe but we didn't use it as the area around Liverpool Street has plenty of amenities, shops, supermarkets, pubs and places to eat.Overall a very good experience.	
Aug 11 2008 	For the price it's great !!!!!	Having stayed in a number of Travel Lodge's we were pleasantly surprised with this one.We accept that you get what you pay for and that the rooms are basic. This was huge (in comparison to others) the bath room weas enormous and you didn't feel like you were in a shoe box.The room was spotless with tea and coffee a plenty. There is a lack of toiletries but &quot;you get what you pay for&quot;. The area was fine as the underground station was 5 minutes up the road. Brick Lane / Petticoat Market etc was on the doorstep along with assorted takeaways / restaurants / pubs + clubs etc.The only thing that let it down was the negative attitude of staff (which appeared to be all foreign) they seem to have a don't care less attitude. We stayed 3 nights for the price of £88 so all in all a bargain.Get yourself a bargain with this hotel ..... book early abnd get the best deals.	
Aug 7 2008 	Good for a weekend getaway - leave Monday morning	Not my favourite London Travelodge, although if you book well in advance the deals can be good enough to make it worthwhile. Located on the edge of The City, probably convenient for business travellers, or families catching trains from Liverpool street station on sightseeing excursions beyond London. Only services in the area are those in or around the station itself - still, that's a lot, just plan to take things back to the room when you're on the way back - large supermarket between the station and hotel it's not so close that you will want to just pop downstairs to buy a sandwich. Noise during the week will be a problem for some. It was quiet Saturday and Sunday, but at 08:00 Monday morning building works recommenced on one of the largest towers being built in London, directly behind the hotel. You won't have any quiet time to relax in the room on weekdays as long as those are going on.	
Aug 2 2008 	At least it was cheap....	I needed somewhere to crash out after going to the British Motor Show, and I happened to be lucky in securing a room in this hotel with one of Travelodge's SuperSaver deals. So I got this 3-star big-name hotel room in Central London for a measily £30. Not bad eh???The hotel is in the City - a short 5 minute walk from Liverpool Street station great if you are coming in from Stansted plus it is on the Central Line of the Tube so easy access to Soho and the West End (remember that the Square Mile is a ghost town at evenings and weekends!)., plus close to the East End and Docklands so handy if you are going to ExCel (as I was) or the O2. But it takes a bit of effort to find it - it's buried down a little narrow lane just off Bishopsgate and next to a not-very-attractive concrete council housing estate (odd thing to see in the City of London!) . Things went pear shaped however when I checked in. There seemed to be just one person on duty on the desk and he didn't smile, or say very much. He also seemed to be responsible for everything (duty manager, handyman, room service!). The hotel lobbies were well vacuumed but there was musty stench permeating through the whole place. The sole elevator had a blown lightbulb so it felt dark and claustrophobic - plus it was exceptionally dirty. The room was clean and tidy enough, but there was only one towel. I went back down to reception to get another, and Mr. Miserable at the desk said he would come up with one. It didn't appear. The hotel promised internet access in every room - although I didn't have my laptop with me I looked at the wireless router screwed onto the underside of the worksurface - all its wires had been snipped!! Then I discovered the kettle didn't work so I couldn't make tea/coffee in my room. Leaving the hotel to go to the West End in the evening for something to eat (by this time I had no intention or risking the hotel's restaurant!), I once again mentioned this to Mr. Miserable. Predictably nothing was done about it. There was a different guy on duty when I got back, and a replacement kettle was despatched immediately, but it didn't work either. Obviously a wiring problem with the socket or a blown fuse. At least the bed was very comfortable and I had a good night's sleep - be aware that the Circle Line between Liverpool Street and Aldgate runs right below the building and you CAN hear the distant rumbling of trains although it didn't bother me.Okay - I didn't pay a lot for the room and for £30 in the centre of London I certainly couldn't complain on the money front, but given that someone turning up on the day and getting charged the regular rate of £75-£80 would have got the same deplorable standard of service it is completely unacceptable. So I would say only consider this hotel if you can get the cheapest SuperSaver rates.....otherwise avoid it.	
Jun 30 2008 	rip off	we stayed here overnight 2 weeks ago.we arrived at 1430 and were told check in is at 3pm.were asked to pay £10 to check in 30 mins earlier, which we declined. waited till 3.the room was clean but very basic for 105.we had room 101 it was quite noisy and i was happy to be gone the next day. i would not pay that to stay there again.	
May 24 2008 	Hit and Miss	This Travelodge has the ability to do very well given its location, however there is a general hit and miss attitude throughout the hotel.I arrived at 3pm and there was already a queue, the reception staff were changing shift and made everybody wait until they had finished counting their floats.The room was as expected, perfectly comfortable and at least you could open the windows, something which is unusal for Travelodges.The Bar Cafe was okay, except half of the menu was unavailable and only one staff member in attendance who seemed to be doing everything including the washing up so everything took ages. Breakfast was much the same, only one staff member doing everything, however to be fair the food offered was perfectly acceptable and in my opinion worth the cost.All in all, the location is ideal if you have work in the city or have to catch the train to Stansted, not sure I'd pay the full rack rate, but the internet rate I paid was fine.	
Apr 12 2008 	Service? How do you spell that?	The hotel is conveniently located in the City, therefore 108 GBP seemed to be a reasonable price for the room I booked. Or was it?When I arrived, I encountered a receptionist who barely spoke English, but after several attempts finally found my name in his PC. My room was on the first floor, close to the staircase and its creaking door that would be my constant entertainment during the night. Well, sometimes I was distracted by police sirens, or even the sound of heels on the street - after doublechecking the window I had to notice that it was indeed closed - unbelievable.There was one towel in the bathroom (although it was a double room), no shampoo or shower gel and the shower was a bit &quot;battered&quot;. In the room, it was slightly too &quot;windy&quot; (the window again) but I was able to offset it by turning the heating to full power. Only one of the two bedside lamps had a light bulb - unfortunately on the &quot;windy&quot; side - but changing it did not help either - for some reason it did not work on the other side at all.Let's turn to something more positive - in the next morning I finally checked out. I had an appointment and wanted to leave my bag in the hotel for several more hours. I was told that this would be impossible due to &quot;security reasons&quot;, but that I could opt for a late check out (at only 10 GBP) - my bag apparently is less dangerous when I pay an extra charge.....But enough is enough, my bag spent the morning in the left luggage room of Liverpool station and I did not have to come back to the hotel again!Consider very carefully how much you are willing to pay for this hotel, 29 GBP is a reasonable price due to the location, but otherwise - there are also &quot;real&quot; hotels for the price I paid -even in London!	
Apr 11 2008 	Very Impressed	I stayed for one night in January 2008 as an easy stop after a concert at the O2. I wasn’t actually expecting much but I was surprised, the reception staff were helpful, the room neat, tidy and clean. The floor we were on was being redecorated at the time which I’m sure if it was a longer stay may have been disruptive but over one night was not a problem and I was impressed that they were going to the trouble to keep the place looking nice. There were a couple of down points, the breakfast was quite expensive in my opinion (£7.00 or £7.50 I can’t remember now) but it was a continental buffet; and with the room the shower curtain was broken and I found the room very hot to sleep in, an big problem when you cant open the window over 2 inches and if you do the noise outside keeps you awake. Proximity to Liverpool Street station was brilliant, although I did have a little trouble finding the Travelodge as their website doesn’t really explain the directions clearly.	
Apr 1 2008 	Cheap and simple if a little noisy	We stayed for three nights at this hotel and it's a reasonable place to stay. Booking months in advance produced a £29 per night rate, not sure I'd be pleased paying the £85 rack rate.The room was clean with tea &amp; coffee (no spoons!), a TV and not much else. One towel and three pillows for two people, we had to ask for more but they came promptly and with a smiling service.The location is excellent, close to Liverpool Street and Aldgate stations both a couple of minutes walk away. Handy too for the Spitalfields and Brick Lane Markets on a Sunday.Only have a couple of annoyances which maybe aren't the fault of the hotel. A fire alarm on Friday at 130am meant the whole hotel evacuated for half a hour while the fire brigade took a look. I'd rather be safe than scorched, but this is the third time in the past few stays in Travelodges this has happened, not just at this branch.The other nuisance is the building work going on at the end of the hotel opposite the reception - very loud building work (placing foundations) starting at 8am and finishing at 7pm - doesn't really help you sleep.There is also the very noticable noise of what sounded like a tumble drier running all night long - this may have been a generator to do with the building works or the hotels own laundry - either way it's an unwelcome accompaniment to a night's sleep.The solution would be to ask for a room on the non-gherkin side and near the reception.Don't be out off though, this is a good hotel at the discount rate, well situated and clean.	
Mar 25 2008 	Better than a park bench....just.	Extreme fans of budget airlines might love this one....everyone else stay away.Good points - Location on the fringes of The City, close to station.Small LCD TV in room.Bad points -Surly receptionist - couldn'd find booking but didn't bother checking to see if fax confirmation received.Heater in room switched off, controls so close to wall that they are invisible. Noise from building site right outside window unbearable. The world's smallest bar of soap, the only toiletry supplied - no shampoo, not even a soap dispenser on the wall...nothing.Bathroom heater disconnected (wires cut) presumably to save more money (Travelodge been receiving coaching from Cryingair perhaps?). Breakfast not worth the extra charge.All in all a miserable experience with the overriding feeling that Travelodge blatantly wishes to retain every penny possible from each customer as profit by giving absolutely the bare minimum in return. Good plan for one off visitors but not for regular business, except of course those who can not see past the &quot;bargain&quot; price of £105 per night midweek.Experience at your peril!	
Dec 4 2007 	Delighted with Travelodge London Liverpool Street	We stayed here for 3 nights arriving late on Friday night. The hotel is very close to Liverpool Street Station, and just around the corner from the Tesco Metro which is ideal for snacks and supplies. We checked in with no problem and our room on the 6th floor, although compact, was clean and comfortable. The only thing I didn't like about the room was the shower curtain, it made the shower very difficult to use and caused the floor to get soaked with every use. Why can't we have a shower screen instead of a horrible unhygienic curtain? The room was also a wee bit noisy at times but then I would expect that in central London. Didn't use the restaurant as there were loads of pubs, etc, nearby where we enjoyed excellent pub lunches. Liked: The price - £50 per night (bargain for central London, and I see some reviewers got it even cheaper); clean comfortable room; great location (literally 5 mins to Liverpool Street underground).Disliked: The shower curtain.No major problems or complaints - if you are looking for luxury you won't be considering a Travelodge, however if you want good, clean, comfortable and fairly cheap accomodation in central London I would recommend this hotel.	
Nov 2 2007 	Does Anyone speak English Here?	ok....where do you want us to start about this &quot;fine&quot; establishment?day one: check in ...only one person working in the entire hotel complex who i have to say was a multitasker as he acted as barman...receptionist, random troubleshooter, waiter, handyman, chef and did not speak one yes one word of english!!we checked in at 5pm after a much confusion over why we were at the desk in the first place. after many hand gestures and loud slowly spoken english words we were rewarded with a battered room key card which didnt swipe. our room was on the third floor... it seemed ok at first but closer inspection revealed a sofa bed and chair covered in questionable stains, a toilet which had a handle resembling a wooden spoon that kept falling off after use, taps in the sink which had to be held in place during use and a bath that time had forgot. as other guests have mentioned in previous reviews we were also left the trademark travelodge half bottle of shampoo... to get you settled in during your stay.heat in the room was unbearable as there was no air conditioning and the window only opened an inch to prevent you from escaping. we were told the restaurant opened at 5pm but when we got there at 5:10pm it was still locked with no staff in sight until.....a few minutes later the man of many talents from reception appeared with his chef's hat on ready to go into action. however, we could not order drinks or food until another member of staff (ie. the translator) arrived who spoke some english. he proceeded to show other people to our seats which he thought was amusing. the meals we ordered were not available so instead of refund we were given cheap, tasteless alternatives. room service was not an option as rooms did not have phones. if you wanted to eat in your room you had to go to the &quot;restaurant&quot; and carry food and drinks to your room yourself through the stale smell of dirty linen and sweat that hovered in the corridors. although the room did have a comfortable bed, it was wasted as a good nights sleep was impossible due to the construction work starting at 5:57 every morning and late night police chases past the hotel on a regular basis. during our stay the fire alarm also went off at 8:00am. evacuation seemed to be optional.. we gathered across the street with unconcerned members of staff and fellow guests who informed us that this happens all the time! when we were allowed back in we went for breakfast but there were no members of staff manning the restaurant to prepare food or take our order. after 45mins of heated debate with the waitress who didnt speak english we left unfed and went to the smoothie bar across the road. When we tried to return to our room the key wouldnt work so we had to go to the reception to get it re-swiped as the hotel had been giving out old swipe cards. The only good thing was being able to leave. Overall, a really disappointing and stressful experience.	
Oct 12 2007 	Bare bones	I just returned from a business trip to London. It was booked at the last minute so most hotels in The City were close to or fully occupied. Coming from the US with a group of 3 people this hotel was of close proximity to our client. It was a hotel at a reasonable rateconsidering the weakness of the US dollar in the UK. The good:Clean roomsgood locationcomfortable bedBest value in the area.The not so good:Noisy surroundingsNo telephone in the room or pay telephone in the hotel lobby. The closest was three blocks away.No alarm clock in the room and since I had a US cellphone with no service, I was not able to use the alarm clock feature.Wireless internet had spotty serviceAlthough the frontdesk people were pleasant, many did not have a firm grasp of the english languageMany of the cable tv stations did not have sound.Overall, if you need a comfortable bed and clean room this would fit the bill. For the discriminating traveler, this is not a hotel for you.	
Sep 26 2007 	Good location but very noisy	We stayed in room 616, and at 4am we had a very loud sound (sounded like a generator) and the vibrations of the entire room felt like it was going to take off to space. This continued till about 7 am! eventually we moved rooms only to find out the other side of the building had builiding works...more noise!	
Sep 18 2007 	smashing location	Would reccomend staying here for two main reasons. 1. Price - £52 for a two night stay in central London can't be bad 2. location is brill 5minute wlak for liverpool st then just go and see london.	
Sep 13 2007	Comfortable beds but nothing else good to say.	Just finished a business stay at this hotel. First of all the good stuff. The location is great, right near Liverpool Street train station and near Devonshire Square, The Gherkin and the financial district. Also the bed is very large and comfortable with lovely soft pillows.The downside: Travelodge have removed any type of luxury from the room and left a depressing laminated card explaining why there is no bath mat in the shower. Toiletries consist of a tiny bar of soap not replaced during my stay.The room was extremely hot (no airconditioning) opening the window brought the sounds of traffic, some dodgy flats at the back of the hotel and extremely loud construction work starting about 7.30 which meant I never had to set my alarm.The food, both dinner and breakfast is inedible, please do not eat here, there are plenty of great restaurants nearby. Both meals I ordered here were returned for a refund, they were that bad.Booking here for 15 pounds a night would be a great deal, but for over 100 it was a depressing experience.	
Sep 3 2007 	at this price...no complaints!	this hotel is in a great location, but they wont take bags if you arrive early , so if you do , leave your bags in liverpool st station to avoid carrying them back up!! its 6.50 a bag to store them there. the hotel itself was fine, clean rooms , plenty of tea /coffee, just ask at reception if you need more, they are friendly enough for a cheap and cheerful hotel, i stayed for 2 nights aug 26-28 in a family room with 2 kids, 26 pounds a night for 3 people in london is a steal! must say though they really should clean the carpets in the corridors , they absolutely stink, not so in the rooms just there. cafe bar was average, but the breakfast was a disaster, staff had little english , hadnt a clue who had ordered and everyone was left standing around for 20 mins whilst the waitress went to get milk! we left and bought breakfast elsewhere just to avoid this happening to us too! overall, its great for the price and really near all sights because of train station, id stay again at this price and would highly recommend it for a cheap and cheerful weekend .	
Aug 29 2007 	Make sure they give you a non occupied room!	Me, my partner and a friend booked to stay at the hotel on August bank holiday Sunday. Me and my partner had booked well in advance and got the superb £26.00 rate. Our friend who booked later booked a rate of £50.00.The walk from Liverpool Street station is effortless and no struggle even if you have large cases. You even walk past a large Tesco Metro which was ideal for us to stock on essentials.We tried to check in early but they said the rooms hadnt been cleaned. Be warned that they do NOT have a left luggage facility so either lug your bags around or there is a facility on platform 10 at Liverpool St Station which costs £6.50 for 24hours. The staff at the hotel are all foreign and speak very broken English. Me and my partner checked in ok with the non smoking room that we had booked, however our friend booked the same and ended up with a smoking room. The staff didnt seem at all bothered and said that there were no other rooms available. So off we plodded and went to see our friends room. The corridoor stunk of smoked, we opened the room and it was occupied. Luckily there was no one in the room at the time but all the persons possesions were. God knows what would of happened if someone had of been in there. We went back down to complain. Again the check in staff and the manager werent the slightest bit bothered or apologetic and couldnt explain why someone was in there. They said &quot;check out is at 12pm so if he iis still in there I dont know why&quot; - Like they were saying it wasnt their problem. Anyhow after kicking up a fuss, they amazingly found a NON smoking room (after saying they didnt have one available). This room was fine as was our. The rest of the stay was fine and what you expect from the travelodge. The room was clean, tidy, modern. They all have tvs with the normal channels plus 3 sky channels and radio. There is also tea and coffee making facilities. Dont expect any more than this. I have had read reviews on here from other people complaining that they dont get shampoos and showergel. Just ignore them!The hotel has a cafe which we didnt use but looked ok.All in all the hotel itself is absolutely great for how much you pay and where it is, but the staff really let it down and couldnt give too monkeys. Just be careful when opening your room door for the first time!	
Aug 24 2007 	Excellent Location and CHEAP!!	Stayed here for one night in August due to its close location to the Liverpool Street's Stansted Express Service. We only paid £26 by booking on the Travelodge website well in advance. A fantastic price for a hotel in central London. The room was clean, had tea making facilities and a television. The en suite was also clean and had a shower, no bath but that wasn't a problem. We checked in after midnight due to our delayed flight arriving at Gatwick. The late check in caused no problems with the well manned reception. It was only a £16 taxi fare from Victoria Street Station and the Gatwick Express Service which we though was very reasonable. The tube link would have been cheaper but wasn't available at the time we arrived. We didn't notice the noise from outside and had a short walk to the train station in the morning. What more do you need? All for £26!	
Aug 13 2007 	Good value for the price 	I stayed here with my wife for a short getaway to celbrate our anniversary. Having stayed in Travelodges before we knew pretty musch what to expect as they are no frills.The room was clean and spacious for 2 people. The only downside was an amount of noise that came in when you had the window open, due to the fact there is a tower block next door and the hotel is in the middle of the City of London. If it is cool enough to close the window, the problem ceases.	
Aug 1 2007 	we don't do that!	Myself and two girl-friends stayed at liverpool street travellodge on a two night break in london. On arrival at 2.20pm we were told we could not access our rooms as they had not been cleaned. Mix up straight away about times for checking in. We had suit cases with us and were vey tired and hungry. Asked about leaving the cases to go and eat. 'We don't do that'. Bar/cafe in hotel closed, machine for a drink in reception OUT OF ORDER! Waited and eventually allowed in rooms at 2.45pm. Totally unhelpful staff on reception, no idea about eating places nearby, no maps. No usual information booklet in room about locality. EXCEPT... a card with all the 'we don't do thats'. No toiletries due to guests taking them! Half used tiny bottles of shower/shampoo and a shower cap is hardly the great train robbery! No hairdryer, no contact with reception (phone), No biscuits with tea an coffee. NOISE. if there is one thing that travellodges boast about it's the fact that you are practically guaranteed a good nights sleep. Night: screeching cars, followed by police sirens. Morning: 5.57am...building work begins on the street below (side street). Had to keep window closed...hence too hot in room!. Banging doors in the travellodge night and day. Have stayed in many different travellodges all over England and have always been more than hapy. This one.....NEVER AGAIN!!!!!	
Jul 20 2007 	does what it says on the tin	Its a lodge for travellers. No pretentious or over fussyness. Hotel was clean. rooms were clean and bed was comfortable. Shower nice and hot. If you want a base close to london liverpool st and dont want to be fussed over and what to do your own thing then this is the place. The bar/cafe was also very good and it had air/con !! Had a decent breakfast and evening meal cooked there. Loads of other resturant facilitys in the area. I do recoment the Thai Buddah on Middlesex St a stones throw from the hotel for a great thai meal.Check in and check out was a breeze. ok this didnt feel like a hotel where you were going to get pampered but that isnt what Travellodge is for. They have cut to the chase and delivered a basic service that is effecient. it does what it says on the tin.	
Jul 10 2007	Value Budget Accommodation in London	This is a good budget hotel in a good location in London. Completely no frills, but you get a good bed and a good shower. Room was clean and perfectly acceptable. When you consider the prices of hotels in London you can not do much better than Travelodge. Recommend a Family Room if you want extra space as these rooms are large and have a couch.	
May 30 2007	Sort out the doors!	This was my 1st visit to London and I needed somewhere close to Liverpool Street so this travelodge was the obvious choice.Pro'sGood distance from train stationCleanComfortableConsNoisy - It was warm as there is no air con and so I had to open the window but it was noisyNoise again - PEOPLE CLOSING THEIR BEDROOM DOORS! I wanted to catch up on some sleep on my 2nd day but couldn't because when people on the corridor left their rooms, my room would shake after the big bang of the doors slamming. Overall it was OK, but I didn't get the sleep that I booked the hotel for.	
Apr 17 2007	Good value for £26 a night	Booked three rooms for two nights for a Friday &amp; Saturday for £26 a night via the Travelodge website. Essentially all we wanted was a decent base / room for a weekend of fun &amp; alcohol refreshment; nearly all the time we expected to be out and about.Even though the price was right, you should still expect certain standards. A clean Room in decent nick, a decent shower, bed &amp; who knows some quietness! In all aspects the rooms delivered. Modern room, basic but clean - feels like a newish TL. Really powerful shower and quiet rooms, apart from some noise from builders outside the TL at 9am on Saturday.Location is central and convenient for tube - 5 minutes walk from Liverpool Street; follow the instructions from the websites own page. Didn't sample the food / drink on offer but there is a bar/cafe on site. Spot on for what we wanted for the weekend and I would recommend this place if your needs are similar to ours. Did exactly what you should expect from the TL brand.	
Mar 2 2007 	Brilliant for £15.00 a night	Definately a bargain at £15.00 a night , having read the reviews from other travellers about this Travelodge I was prepared, so checked in early and was given a room on the 4th Floor so I would not be kept awake by the sound of the Circle and Hammersmith and City lines rumbling below the rooms on the 1st and 2nd floorsShower was functional and worked, although by the third night i was really wanting a bath which is the only major downside to this particular Travelodge if you are staying consecutive nights.The TV worked, the duvet was nice and warm. The room was at a nice temperature and the pillows were firmer than some in more upmarket establishments I've stayed in.Yes the hotel was a little noisy with slamming doors, but at the end of the day this has more to do with the type guests which stay at most Travelodges over the weekend. Think white stillettos and gold chains with no brains..... Rack rate at weekends is £75.00 per night, would I pay this rate? absoultely no way, but at £15.00 per night this is ideal	
Feb 27 2007 	Errr... FIne...	Want a place to crash that's close to Liverpool Street station? Our room was clean. The shower was hot and worked. The bed was fairly comfortable. The TV had 5 channels. There were tea and coffee making facilities. Check in and out was effortless. We paid a reasonable rate for a reasonable room...WHAT DO YOU EXPECT? It's a Travelodge. We were travelling and needed somewhere to lodge... It does what it says... No complaints...	
Feb 22 2007 	Clean and convenient - just a little 'tired' looking	I stayed for 2 nights in February.The reception staff were friendly enough. The first thing I noticed is that there is about 5 or so steps to climb to get to the lift. Not easy when you are carrying a heavy suitcase....The room was quite spacious compared to another hotel I had stayed in. There was room for a double bed, bedside tables, a desk, drawers and hanging space. It was also clean enough, although appeared to be 'tired' and in need of a little updating.I only paid 26 pounds after booking directly on the hotel website. I was more than happy with the room, considering the price I paid. It was a short walk to Liverpool St tube station, so it was easy enough to get around London.My only gripe would be that the window didn't stay shut and everytime we had a shower, the bathroom flooded - we fixed that problem by requesting extra towels and laying them on the floor. We didn't bother complaining as we were barely there - only to sleep.If you're able to get a cheap rate, this hotel would be okay as a base.	
