	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
Feb 15 2009 	Centrally located reliable and extremely pet friendly.	The Queen Elizabeth is centrally located in downtown Montreal and is within easy walking distance of the downtown shopping core. It connects to the underground system which is basically a shopping mall made up of most of the downtown building basements connected together. This underground system is also connected to Viarail (Amtrak) and Montreal's subway system. Other tourist attractions such as Old Montreal are only a few subway stops away.  The underground mall/downtown walkway:You definitely need to frequently refer to a map to find your way around as some buildings participate while others don't and you can easily loose your sense of direction even with all the clear signs. There is almost everything in this system including Tim Hortons, Starbucks, shops, drugstores and bookstores.The rooms:While the rooms are not large, they are mid-sized and comfortable. Our room had an armchair, desk chair, a desk (high speed internet at an extra charge) and a tall round table with the Fairmont Magazine and a hardbound Montreal tourist book. There was a TV, coffee making supplies and complimentary coffee and tea. The minibar had a tamperproof seal and a lock. The curtains are blackout-lined.The bathrooms are marble-tiled, small and slightly dated. Fairmont bathrooms are generally smaller than most others in their class. Equipped with hairdryer, working laundry line, and wide shower-rod. Although there is even lighting, there is not an extra magnifying makeup mirror that you usually get with hotels of this class. One bathrobe is on a hook behind the bathroom door while the other is in the closet. Bath amenities are citrus scented Miller Harris brand and include a plastic shower cap and shoe mitt.There is a small in-room safe, iron, ironing board, plastic laundry bag and an extra pillow (but not blanket).The front desk was courteous and efficient. Free Wifi is available in the lobby but the rooms only offer high-speed at an additional charge. If you join their Fairmont frequent traveler program called the President's Club (free) the high-speed is free for all your stays. Their business center is located in the basement in the hotel's own mall right off the lower elevator lobby.The car valet is also located in the basement and is usually charged separately from the room. There is a separate cashier. Taxis are usually available from the front (north) entrance while a small passenger pickup/delivery area is located to the side (west). To get to the hotel's own covered parking garage, you must drive around to the sides and try and find the awkward entrance between the extended hotel building and the Viarail/Amtrak/office building. There will be a few (cheaper) public pay-parking areas here but the hotel's own parking is the north building. The easier way would be to drop off the car at the front entrance. Hotel parking fees are the same for self park and valet parking. Special requests for our puppy was handled efficiently by the friendly Concierge. Lobby Lounge/Afternoon Tea was excellent. Scones and tea were served in fine china at the correct temperature and correct method. The service was slow because there was only one overworked waitress for the entire area who was extremely efficient and polite despite the workload. The breakfast buffet was a full spread, with eggs to order, a large selection of breads, yoghurts, fruits, fresh juices, cold meats and salads. Tea and Coffee was served at the table and refilled. The only complaint is that there was only a tiny plate of a few slices of smoked fish (trout, salmon, stuffed herring) that was half hidden in the garnish and not readily refilled. Overall a very pleasant stay in a classic but dated hotel. I would not hesitate to reccomend this hotel as a reliable, centrally located, extremely pet friendly hotel. There are many choices in this class but the Fairmont is a very good backup.	
Feb 4 2009	Cold outside warm at the Fairmont	The room was clean and luxurious! The staff was super helpful. November isn't the best time to visit Montreal, but at least our hotel was warm and cozy.	
Jan 26 2009 	Lost it's lustre	I think that Fairmont needs to look at this property and how it is managed and change some things. The room we got was a Junior Suite and it was a nice layout. The beds are outdated especially when you compare it to Starwood brands. Main comforter had a stain on it, blankets were cheap and the bathroom was very small. The room was cleaned but the little details were overlooked like corners and doorknobs which had stains on them. I wish I brought some wipes so I could do a better cleaning job. The food in the Montrealer restaurant was ok, nothing spectacular. The great thing abotu the hotel is the location which is connected to the underground where you can get amazing sandwiches, Tim Hortons coffee and also there is a wine store just below. Service was great but the hotel needs a renovation, desperately. The hotel Place D'arms and W are a better choice in Montreal.	
Jan 10 2009 	Very deceiving!! Don't trust staying there rooms get broken into!	We stayed at The Fairmont Queen Elizabeth for a special family occassion. A group of 30 were there for 4 nights. When we arrived, the check-in was very slow. The room was nice; the mattress was very hard. We asked the concierge for a few tips about shops and restaurants around the city. They claimed to have no idea about things around the city, but were very eager to promote the restaurants and shop located within the hotel. A number of our rooms (mine included) were broken into, and cash and credit cards were stolen. According to the credit card companies, attempts were made for &quot;big tickiet&quot; items at a local electronics store, as well as a gas station. Upon notifying the Hotel of this, they seemed somewhat disinterested that someone had broken into our rooms. They didn't seem to take us serious. They didn't want to take any responsibility. They didn't have our wallets dusted for finger prints, the didn't get into the lock records on the doors to have access information retrieved from the locks, they didn't offer any sort of compensation for inconveniences; little attempt was made to acknowledge that this had happened. They didn't offer a ride to the police station. To date, no resolution has occurred, and calls to the hotel get no response. It's over-rated, don't trust yourself or waste your time staying here.	
Jan 1 2009 	Long LIve the Queen	We spent a long weekend at the Fairmont Queen Elizabeth to get away and see friends in Montreal. We were not disappointed with the usual fine Fairmont treatment. I booked the room on the website after receiving a great 3 night for two offer by e-mail at a very reduced nightly rate to start with, especially with the favorable exchange rate. I cannot emphasize enough that if you enjoy cities with Fairmont hotels join the Presidents Club. It is free and entitles you to free internet and local calls, free health club, and treatment like a special guest. You also get special e-mail offers of reduced rates at selected Fairmonts for selected dates. We checked in late the day after Christmas with a most friendly reception employee who gave us a lovely room with a marvelous view of the Cathedral from the 15th floor although our original booking called for a lesser room. I find that if you are nice, your timing is right, and you have the right person, you do very well at Fairmont with your ultimate room assignment. The room, though not that large, was nicely appointed, clean and nothing out of place. The bathroom, though smallish (a Fairmont trait it often seems), was fine, in excellent order, everything working with a strong shower. Plenty of towels. One day they will upgrade the television to flat panel but no matter. My wife needed a microwave to warm a heating pad for a problem shoulder and since, as was explained to me, it was for medical reasons and not for heating food which would have incurred an additional charge, was promptly provided at no charge. Robes were also promptly brought up as was a razor and shaving cream when I called to explain that I had forgotten my razor. The hotel is centrally located over the main train station with direct access to Amtrak, the subway, and the maze of underground shops that wind their way through downtown. We never ate at the restaurants, choosing to take a quick elevator ride two flights down to the numerous food shops surrounding the train station for my morning coffee and muffin (although there is a coffee maker in the room). The free (with President's Club membership) health club and pool were well equipped and maintained. The staff was extremely friendly and accommodating our entire three night visit. The hotel is in easy two block walking distance to the St. Catherine Street shopping district among other attractions. I cannot really speak to how thin/noisy the walls might be based on some other reviews since the hotel was fairly quiet post-Christmas but we had no disturbances and it did not seem that this would have been a problem. The service was so complete that our first day, we received a reminder call to call housekeeping to advise them when our room could be made up since we stayed in our room until lunch time. I find few gaps in the Fairmont level of service having stayed at 5 separate Fairmont Hotels over the years, but the Queen Elizabeth may have had the best service of them all.	
Dec 9 2008 	great location if you want to be in downtown core	Got a great rate online and were very pleased to be able to go shopping, access the train station and metro without going outdoors. Great service: we forgot our daughter's stroller and they lent us one for three days.	
Nov 26 2008 	Decent hotel in a great city	Upon researching all the hotels in Montreal, I called the Fairmont Queen Elizabeth. They offered a great deal if I signed up for their President's Club. The location of this hotel is great. It is attached to the underground mall which I am sure is vital during bad weather. The front desk staff were very friendly and check in was easy. However, the room was like any other room in any other chain hotel. President's Club or not it didn't feel any different. Also our first night was a noisy one since our room overlooked a major street. The next morning the hotel staff were very accomodating and changed our room to one across the hall. Unfortunately we still didn't get a good night's rest considering you can hear your neighbors next door.Overall, the staff at this hotel were wonderful. The location is ideal and the breakfast in the restaurant was good. But if you are in a regular room and are a light sleeper you may want to reconsider.	
Nov 24 2008 	Very enjoyable stay	The long strike is well and truly over and everything was back to normal when I stayed.The staff are all very friendly and the foyer area is nice.The rooms are not huge but certainly large enough and the rooms clean and beds comfortable. The price was also fine.There is a great food court and shopping centre also attached to the hotel.I would stay there again.	
Nov 12 2008 	Great location shame about the strike	I have seen all of the previous comments about the effect of the strike . When we checked in the effect of the strike was clearly explained to us by the front desk .It would have been nice for the bar and restaurant to be open but it was no big deal for us .The staff serviced our room every day and the staff in the Montrelais for breakfast couldn't have been more helpful .The Concierge desk were superb-they got is in to 3 restaurants that had been recommended to us and were great with their advice about things to do .great location for going down to the metro .Also when we just wanted a small breakfast to take back to our room we were easily able to get take away from the numerous place down in the lift at staion level.	
Nov 10 2008 	We were so disappointed	We were very disappointed with our visit to the Fairmont Queen Elizabeth. The hotel was on strike - which we were not made aware of when booking our hotel stay. My husband and I were away for a romantic anniversary weekend and were deeply disappointed to find out that the staff was bare bones; the pool, sauna, hot tub and fitness centre were all closed; there was no room service; all the bars and restaurants in the hotel were closed and there was no maid service. They refused to give us our money back and when we were shown to our room, it was the tiniest hotel room I'd ever been in! Needless to say, all of this affected our 'romantic' weekend. We won't be staying there again.	
Oct 26 2008 	4oth Wedding Anniversary	What a gorgeous hotel! We have stayed here so many times we can no longer count and each time it is exquisite. I have to say that reading some negative comments about the cleanliness during the strike (labour disruption while we were there) I never found a problem. Our room was made up every day with clean towels and things put away. We actually asked them not to clean up as we knew how hard they were working. Upon our arrival we had a plate of little petit fours waiting in our room. How nice was that even during labour disruptions? Also the staff in the Montrealis restaurant each morning couldn't have been kinder. In fact, I saw someone drinking cafe au lait and asked if I could buy 4 bowls from them and they allowed me to. Also on our last day at the hotel we spoke with the cleaning staff in our room and 20 minutes later arrived a tray with Baileys, 2 glasses, 2 bottles of water and again a carousel of tiny baked goods wishing us happy 40th anniversary. We have nothing but WONDERFUL things to say about this hotel and hope to be back soon	
Oct 17 2008 	My favorite hotel ever	This is my family's favorite hotel of all time. It's a beautiful hotel in downtown Montreal, in the heart of (in my opinion) the best city in Canada. This hotel is connected to the train station (across the way) through an underground tunnel. It's also connected to the underground city and Metro the same way. If the weather is bad in Montreal, which it can be in the winter, you can walk underground to Catherine St or catch the metro without stepping outside.The rooms in this hotel are amazing..what can I say? It doesn't get better than a marble lobby and bathrooms. We are always given a corner room and they are spacious and everything is very high end, from the bedding to the robes to the linens.There is a wonderful pool and gym in the lower level. The pool is smallish but beautiful, and the gym is top notch and I've never seen it too busy. My very only complaint at this hotel was that my older daughter (20) was treated poorly when she took her younger brother to the pool and my husband and I went to the gym-on two different occasions-and by two different staff. She's a younger looking 20 yr old and they were rude..I was surprised at the customer service training and if it happens again I will mention it to staff. Aside from that, it's a great hotel in the heart of downtown. I've stayed many times-with and without kids and family and have never been disappointed.	
Oct 16 2008 	Fit for a Queen (or princess!!)	Excellent location right above train station. VERY convenient if taking AMTRAK back to New York City. Hotel workers were on strike, so there was no bellman to help with luggage and towels were located in the hallway by the elevator. Minor inconvenience. Excellent room with large beds, plenty of pillows and great big bathroom. Carpet was so &quot;gushy&quot; that I really enjoyed going barefoot !! Tons of room to walk around. Considering there was limited maid service, the room was spotless !! I have visions of a front desk guy in a suit cleaning the toilet and making the bed. Sick funny humor !! Great location above train station makes for easy access to food court in main terminal or walking through the underground passageway into the shopping mall's food court = handy for spending those last few &quot;loonies&quot; and getting more souveniers !! GREAT hotel, GREAT location, exceptional room and amenities !!	
Oct 15 2008 	Total hospitality failure. Zero stars	A Holiday Inn masquerading as a 4 star hotel. Location (above the central train station) is the one and only redeeming factor of this hotel.Obnoxious and intrusive staff was rude and unprofessional. I would never again stay here and could never recommend it to others. A real disappointment in an otherwise enchanting city and country.	
Sep 29 2008 	Not Good enough to be a Fairmont	I understand when you have labor issues that quality of service might decrease but the only person i was impressed with during my stay was the concierge. The front desk people were abrupt and due to the strike my room was not cleaned during my stay. It also was evident the cleaning stay did not clean the room based on basic standards because there was a candy wrapper under the bed and a bloody napkin under the end table... the view of Mont Royal was amazing but i do not think i would stay there again.	
Sep 27 2008 	Still a nice stay - regardless of the strike!	Stayed at the Fairmonth Queen Elizabeth for 2 nights in September, 2008. I felt bad crossing the picket lines to gain access to the lobby, but after flying through the night to Montreal, I just needed a room. The front desk staff were up front about the strike and gave us an opportunity to book somewhere else. We chose to stay and they gave us early check in. They were friendly and courteous, just as you come to expect from a Fairmonth property. Our room upon check in was clean and the beds were SUPER comfy.The best thing of this property is LOCATION! We walked everywhere - the shopping, Old Montreal, St. Catherine's, Crescent Street, Bell Centre... it was great! There were a couple of times I really wished they had room service, but due to the strike all the restaurants and house keeping were shut down.We didn't let the strike hinder our great time in Montreal - I still think the Fairmont Queen Elizabeth is a great hotel!	
Sep 23 2008 	Still The Best	Have stayed at many places in Montreal over the years, and the Queen Elizabeth still rates at the top, for value, convenience, size of rooms, cleanliness, and a young, top quality helpful staff. The rooms are spacious, without the signs of wear and tear in other prime locations. The various Concierge attendants were right on in their analysis of local restaurants, and were gracious, helpful and patient almost to a fault. The hotel warned me in advance about an ongoing strike, but other than picking up our own clean towels and making our own beds, a five minute chore, the staff on duty were incredibly helpful, accommodating and polite, and surprisingly quick to respond. The rooms were in perfect order when we arrived, and check in took no more than about three minutes. When I recently had a problem with internet service in a Boston hotel (at $1200 a night) it took hours for a staff member to appear and correct the problem, and internet service still cost an extra $12 a day there. But at half those room prices, Internet service at Fairmont's gorgeous hotels is free if you sign up for their President's Club (at no charge), and when I had a problem with a broken cable, they (despite the strike) appeared in less than five minutes with a new cable. Other hotels may have more attitude, but nothing beats the Queen in Montreal. Thank you again, Fairmont!	
Sep 21 2008 	Not Up To Fairmont Standards	A conference took me to Montreal on business mid-September.We knew that they were in the middle of a strike but decided to stay there because we were so excited to be staying at a Fairmont property. We managed just fine during the strike (even with no real housekeeping for six days). Towels and washcloths were stacked on tables on each floor. They did come in to make the bed a couple of days. No sheets were changed. Regardless of the strike, I would have been disappointed in this property. It is very dated and the rooms are in need of a major renovation. Dark, drab and very, very small rooms for such a high room price. It did not compare to the Fairmont properties that I have stayed at in the U.S. The location is indeed good. The staff was doing everything they could to make up for the strike. Next visit I would definitely stay somewhere else as I heard many comments from others at this conference that they were thrilled with their hotels....and there are many great choices in Montreal.	
Aug 31 2008 	Good under siege	We were at the hotel 27th to 29th August. Our room was delightful and regularly serviced through the strike. One has to sympathise with low paid staff working in hotels, and the strikers seemed pleasant enough, and their cheerful latin music on the pavement outside quite fun. The restaurants had to shut but breakfast was still served, really quite excellent, the work of 4 sous chefs who has still turned in. The management were splendid in doing their best to keep the hotel running for the the guests already booked in. Our breakfast waiters were impeccably suited management and seemed to rather enjoy being at the sharp end again and proving they could still do it. Many of the management were obviously working double shifts to keep the show on the road. The hotel returned to me the computer power lead I had left in the Royal York in Toronto, and part of my bill was deducted with apologies for the lack of service.Still very good..	
Aug 25 2008	Beware! At least during this work to rule	We are just finishing a stay here booked with no knowledge of the union trouble. Days go by without any room cleaning (they don't even bother telling you they can do it, they know it will not happen). People scavenging towels from cleaning carts that sit in the hallways unmoved for hours. Even the mini bars remain unattended (I watched someone pop out of a room grab a few beer from the cart (unattended for hours) and pop back into his room. No doubt he ran out in room!Royal Service line (through which you are forced to call to get anywhere - even to the concierge or front desk - takes 10-20 minutes only top route through to another line where you wait again. The Concierge here are the worst I have come across in many good hotels. They know nothing useful, are singularly unhelpful and provide (in our experience) information that is just plain wrong.It was a bit amusing at first to see the union members in shorts and t shirts (with the cap or name tag), but it lost its comedic impact after a while. The union employees seem intent on making your stay miserable. It is working.The hotel is just plain dirty right now. The people snarly. The feel is a bit primal....every guest for themselves.I have stayed here many times and this is bizarre. Until they solve their issues with the employees, stay far away.	
Aug 25 2008	Never again.	Nice suite in the corner on a high floor but other than that! Disgraceful. The Beaver's Club is classic but the casual restaurant is so overdone and the food is bad. It is so big, it has no feel to it. Location is pretty good for buisness but would not go back.	
Aug 24 2008 	Nice	A little late on my review but better late then never. Good place to stay. Clean, pleasant staff (even helped me with a little French, of course make sure you ask when it isn't busy). Good location although my agenda made me drive everywhere but that's not due to bad location. Night club in a high rise across the street brought interesting people into the area, also because it was a long weekend people were out playing. Parking was available at $25 a day. I tried my luck and parked on the street but the morning of the last day (labor day, monday holiday) I got a $150 parking ticket. OMG! 1) I guess parking restrictions apply on this holiday 2) there were separate signs for this restriction at 6-9 am aside from the other sign for restrictions for the rest of the day and don't forget the signage for the parking spot # and where to pay. 3 signs for one set of parking spaces. 3) the ticket was 5 minutes after 6 am so they must have been just waiting for us tourists to mess up, I wasn't the only one. 4) $150!!!! even in NYC isn't as steep. Not the hotels fault but shame on you Montreal!	
Aug 10 2008	Not so much	Stayed at the Fairmont in the midst of the hotel strike so this review might be a little tainted. All workers were on strike and the management was trying to fill in. Room was clean at check in, but never cleaned again. When I called for towels, shampoo, coffee, etc., it was brought to the room. The pool was closed as were the restaurants and almost everything else. We bought tickets for the hop on hop off tour (whick we really liked) at the desk and the women told us to be at the door at 11:30 and we would be picked up and taken to the start of the tour. Was there at 11:25, bus came at 11:40 and drove 2 blocks and dropped us off. He said the next bus would be there at 12:00 as we had missed the 11:30. A wasted 30 minutes as we would have just walked the 2 blocks over to the start of the tour and caught the 11:30. Arrival at the hotel is very confusing as you can not drop your luggage off at the door on street level. They direct you to an underground garage where you park. Since the valets were on strike, there were no luggage racks and you just unloaded your luggage, dragged it almost a city block to an elevator that took you to the main floor of the hotel. Then you had to transfer all your luggage to a seperate elevator to get to your room. We were exhausted and frustrated by the time we finaly got our key and went to the room. Room was just okay. Dirty carpet, coffee pot that didn't work, very tiny bathroom and an outdated television. The bed and pillows were wonderful! Location was great, but I would nover pick this hotel to stay in again. First time I have ever been disappointed with a Fairmont.	
Aug 7 2008 	arrived just as strike took its toll	We arrived on Tuesday August 5th and were warned upon checking in that there might be some &quot;sporadic&quot; problems with service due to the labor strike. We were told the rooms would be made up, and if we found ours unmade to please call. The restaurant was open and we were told the pool would be open most of the time too. Had a delightful high tea to celebrate our arrival in Montreal (delicious tea and scones). We never had any service to our rooms after that though. We were woken up by loud whistling and louder music, as striking workers gathered on the street directly below our room (which was on floor 6). I read below that someone who stayed on the GOld floor had no disruption to their service, but we did not find that, unfortunately. Management were friendly but what can you do if the staff walk out? I am sympathetic to the striking workers too, but my husband is annoyed that even though he asked if anything &quot;unusual&quot; was going on at the hotel (like construction, or anything else that could disrupt our stay) when he booked about ten days in advance, he was given no warning. The real problem with booking a family holiday (with young kids) where there is no room service, and the restaurants are closed (which happened about two hours after our check in) and where they don't warn you this is likely, is the jetlagged kids get hungry late at night and there is no food and no safe, comfortable way to feed them. I ended up luckily finding an open place in the train station (below the hotel) at 11 PM. The Fairmont management decided to open one restaurant for breakfast (buffet only) for a limited period in the morning the next day and did not post or bother informing guests in rooms (so we missed it). They did offer a free in-room movie (we got a message on our room phone that we were entitled to a free film), which is not much compensation when there is no service in the room, and the carpets everywhere are getting dirtier and dirtier. The people who stayed on duty were very nice, but really there was little they could do to make the stay comfortable. We felt the hotel management were not up front when we arrived and really downplayed the possibility of serious disruption to hotel services. Two days later we moved to a different hotel in Montreal. A word of warning, Fairmont is not the only hotel affected by this strike. Several other chains are too, so if you book in Montreal, make sure the strike has ended, or research your choice carefully before you book.	
Aug 5 2008 	Maybe next time	My family of three stayed at the Queen Elizabeth for one night and our experience was so so. The good things: location is close to Old Montreal,underground city, subway, &amp; Science Centre. The bad things: The hotel workers union was on strike (travel agent did not know) so the staff was hit or miss. Room service took well over an hour, forget speaking to the concierge and housekeeping was lacking.Our double room was small. There were crumbs on our bed/desk chair and the telephone was a mess. But it was only for one night so we delt with it. My daughter was disappointed with the pool(small,salt water) and the floor around the pool was a health hazard. The buffet breakfast was good and it was included in our rate. We would like to stay in Montreal again, maybe at the Ritz.	
Aug 3 2008 	More than satisfied	I was extremely satisfied with my stay at the Fairmont Queen Elizabeth in Montreal. I booked with WhataHotel, and my room was much nicer than the room I had booked myself just six months earlier. The staff is courteous and the location is excellent.	
Jul 29 2008 	A charmer	We stayed at The Queen for six days attending a conference and thought the hotel was really quite lovely. Because they had some work stoppage, the service was not up to speed, although management did try very hard to make our stay a positive one. The room was very nice with a good view and quite adequate in size. Fitness center was top-notch, too. Plenty of restaurants near by and a basilica across the street. All in all, a very nice stay.	
Jul 28 2008 	Beautiful rooms	We stayed here one night and really loved the decor of the room, perhaps on the smaller side but didn't really anything larger. Unfortunately, because of a strike, there was rubbish on the floor in the corridors as well as bed linens left by the housekeeping staff.Besides that, the location was great, very centrally located downtown and very quiet and comfotable. Staff were pleasant and helpful...I'd definitely stay again	
Jul 26 2008 	Fairmont Gold is Golden	My wife and I spent two nights at the Queen Elizabeth in a Gold room. This is our third time at this hotel, but the first time on the Gold floors. It was magnificent.Note that this was during the labour disputes/negotiations underway, so we had expected subpar service and things not being done, etc. But to the contrary, service was excellent.We drove up and was greeted promptly by a doorman who stole a quick look at my luggage and called me by name. Pretty cool. Then we took the private elevator (for Gold floor only) to the Gold floor reception. Very quick and personal service. The person knew right away this was our third stay. Nice to be thanked for &quot;coming back.&quot;Room was not as large as I thought it'd be (website says room is 375 sq ft. -- that can't be. But it's not small by any means). Bathroom was smallish, but okay. Room was very nicely and tastefully furnished, in subdued gold and dark brown tones. Electronic safe had &quot;technical difficulties&quot; during our stay. Coffeemaker in room. Large workdesk, sitting area. Very spacious for two. Our room looks out the west, and right on top of the cathedral next door. Nice view of Blvd Rene Levesque at night.Breakfast is included, and their idea of continental includes crepes, scrambled eggs, all sorts of fruit, cold cuts, smoked salmon, pastries, oatmeal, etc. Very nice spread.From 5-7 each evening there's a large spread of goodies, such as sushi, smoked salmon, pastries, and many other delicacies. You can literally have dinner there.BTW, all day, till 11 pm you can get drinks, water, soda, coffee, tea etc in the lounge.Service attitude was excellent.All in all, a most enjoyable stay.	
Jul 14 2008 	Great Location	My husband and I (2 ex-Montrealers) came back to visit the city July 7-10. We had booked a regular room but were offered an upgrade to the Gold level for $50 (a day). We stayed on the 19th floor and our room was newly renovated. Gold service included a private lounge with a fabulous view that serves breakfast, evening snacks, cold drinks are available through the day/night. Internet service is free, maid service twice daily and newspaper of our choice. There is also a concierge desk with very helpful staff - you don't need to go to the main lobby to check out.The room itself was nice &amp; had a great view - however there were not enough drawers/storage space. We were okay with it, but if you want to watch TV most of the channels are in French. One amusing thing - the lobby. Both my husband and I had our high school graduations here (we're in our 40's) and the lobby decor is still the same! Possibly the same as when John and Oko stayed here too? Didn't affect us as we did not hang out there.Location - we picked this hotel for it's great location - you can walk to Old Montreal, all along the underground (Place Ville Marie, Eaton Centre, Place Montreal Trust, etc.) and St. Catherine Street. Plus the train station (Central Station) is right downstairs, nothing to walk to the Metro or catch a bus and there are tons of cabs available. We plan on staying at the Queen E again next year.	
Jul 11 2008 	Great Hotel	We recently returned from a weeks stay at the Fairmont Queen Elizabeth, where we enjoyed a beautiful junior suite for $330 per night. The suite included a bedroom, sitting room, two baths, robes, and a great view. (We had initially booked an &quot;apartment&quot; elsewhere in the city - but upon arrival found that it was not accurately represented by the photos posted on the website.) As this was not acceptable to us, we called the Fairmont and received great service from the reservationist. When we arrived at the hotel our suite was not ready, which was fine since we had just called 15 mintues earlier. Pascal, the front desk clerk who took great care of us, gave us two free drink coupons for the bar while we waited. The staff were very friendly and accommodating.The hotel is in a great location, within walking distance to Vieux Montreal and directly above the central train station. The station, which has great bakeries and coffee shops, is connected to the vast underground shopping mall.The hotel has a great fitness center with several treadmills, elipticals, and strength training equipment. There is also a pool, which was a bit cold for me, a sauna, jacuzzi and whirlpool. The hotel offers tea service in the afternoons in the lobby, which was quite fun. We ordered room service twice. They were prompt, the food was the correct temperature, delicious and beautifully presented. We enjoyed our stay there very much.	
Jul 9 2008 	Very disappointed	This was not at all what we had expected it would be. Upon our arrival, we were advised that the hotel was in the midst of a labor strike so that there were very few services available - even though we had paid for &quot;Gold&quot; level service - whatever that was supposed to mean. When we realized that we had paid for services which were totally unavailable, we requested a room change and were moved to the 21st floor. Clearly, any renovations that this hotel may have begun have not gotten up there. The carpet was an interesting shade of pink and I was not comfortable walking around without flip flops. The curtains and bed cover were very obviously remnants from the 80's. The furniture was beat up and tired looking. Not at all a comfortable place to stay and if you are in Montreal to see the sites, I would not recommend at all. It is not close enough to anything to make this tired place worth the stay.	
Jul 8 2008 	Beautiful Hotel and Clean Room and Great Location	We stayed here during the Montreal Jazz Festival. The GoodOverall the room and bathroom was clean. Nice appointments such as the furniture, and robes in bathroom. The downtown location gave easy accessibility to the Jazz Festival (10 min walk) and train station (next door). The hotel lobby was nicely laid out with restaurant and tourist shops.The Not so Good Room was a little smaller than used to for a hotel of this rating and class. Did read prior reviews from Tripadvisor guests who stated the same thing before booking. The hotel workers joined the strike of hotel workers in many hotels in Montreal and as you can imagine service was not present for changing rooms and handling bags. Fortunately for us we were checking out the day the strike happened. However I did see management step up and try to bring luggage to rooms and carts were left out in the hallway for fresh towels, soaps, etc.	
Jun 22 2008 	Will not be back there!	Not at all what I expected for a 5 star hotel! I have traveled all over the world for business and this stay cost a lot more for a lot less than I have had at any other 5 star hotel. Firmly believe you get what you pay for (and don't mind paying for it), except for this time! Rooms were small, renovations not complete (at least I hope not, as the bathroom really needs it), carpet in the hall ways were hazardous with bulges. Definitely not the cleanest.I was at the Fairmont Queen E for a conference, stayed eight nights. After the fourth day I realized that the red bumps (which scabbed up quickly) only around my neck and head and in my ears - each morning, were bed bug bites. The hotel staff tried to convince me that it was due to allergies of the laundry cleaning chemicals (in which they changed the bedding with new cleaned in vinegar/water) and advised me to talk to a doctor when I get home. I did and was confirmed bed bug bites. I was refused any kind of compensation for this.The best part of the stay was the location. Handy to everything else you could possible need (sites, shopping, culture, night life &amp; food) and most of the staff were pleasant . The tours were informative. The spa was fabulous! and would highly recommend that spa, only I would stay elsewhere.	
Jun 13 2008 	Very Nice	Hotel is very conveniently located and walking distance to old Montreal. Given the reputation of this hotel, I was a bit disappointed. The carpet in my room and in the elevator lobby on my floor (20th) were buckled and needed to be stretched. It would have been easy to trip. I also found the room to be quite warm, in spite of the a/c being on.Everything was clean but just not the calibre that I expected. My expectations were just too high, I think.	
May 17 2008	It was nice! worth checking out!	Fairmont QE was centrally located in the heart of Montreal. My husband and I stayed here for three days (for conference). Although the rooms were small, it was very comfortable. I liked the fact that we could walk everywhere and it was also very close to museums and shopping. The only downside is that everything at the hotel was very expensive - $12.50 for drinks, $8.50 for a bottle of Evian, and $1.70 for a snickers bar. Otherwise, I would recommend this hotel..	
Apr 20 2008 	Gold floor--gold service	The Queen Elizabeth is a charming hotel in a fantastic location--close to businesses, restaurants, and shopping. The gold floor is modern and comfortable. The lounge offers appetizers and breakfast daily. It also has views of the city and internet access. The service is excellent and we would highly recommend the gold floors at the QE Montreal to anyone.	
Apr 18 2008	Not what it used to be	As a business traveller, I used to stay at the at the Fairmont all the time. This is now the second time in a row at the Queen Elizabeth where I had to change room in the middle of the night. Trying it again, this time, the room was quiet, but an alarm in an empty room next to mine woke us up at 6am. The pool downstairs was full with a group of bikers, and there was a dirt ring of 5 cms around the jacuzzi. Our diner last night with room service was mixed up, and therefore was 45mn late, and at breakfast, the coffee never was served before we left... Finally, as I walked to my room tonight, security was on the floor as there were guests smoking, swearing in our of the rooms... The hotel seems ripe for party goers, not for business travelers or families... avoid if you are in either situations !	
Apr 17 2008 	Over rated Hotel. Save money and stay elsewhere. Not 5 star quality.	This hotel claims to be a 5 star hotel, but really is just an ordinary hotel inside. The rooms are plain and are small. Parking is by valet only and is run by an outside company that hires rude and unclean people. The valets are rough on the vehicles and don't be surprised to get a scratch on your vehicle. What you should know...$15.00 a night for internet service,$26.00 a day for poor valet parking service,$1.50 per local call,rude valet and hotel staff, andhousekeeping cleans the room early in the morning (be prepared to put a do not distribute sign up before you go to bed). I would rather stay at the Holiday Inn Express and save $100 a night!!!!	
