	Great location OK hotel	Location is ideal, right in the Old Town and close to great streets of restuarants, museums and so on. The hotel is old but well kept. Out suite was small and the view was of a brick wall, but we did get a bargain deal. I'd come here again, much more character than the more modern hotels near McGill.	
Jul 27 2008	Great Location	This hotel is in a wonderful location in Old Montreal. About 10 blocks to the IGA supermarket, which I suggest going to first and buying some food to keep in your fridge at the hotel. Food is very expensive. $17 for 2 meals at Mcdonalds 4 blocks away. Subways is also 4 blocks away. We called for a large Dominos pie $20. We took a 30 minute horse and buggy ride for $45. I dont think it was worth it. The driver took us down the same path we just walked around! Make sure you ask for a scenic route. Metro is around 10 blocks away. Bkft at the hotel is waffles, bagels, pastries, cereal, muffins, the only fruit was oranges. Took the Bateau Mouche boatride and enjoyed that. Do the 60min ride instead of the 90min. They serve drinks and snacks, but it is a little pricey. Took the train to Olympic park. Very interesting and would recommend for the athlete in the family. You can even go swimming for a small charge in the pool that was used in the Montreal Olympics! There is a movie theatre alongside the park if you wanted to spend extra time not shopping! The hotel staff were all very polite and helpful, they even ordered my Dominos! Umbrellas were avl when it rained. Internet worked great. No charge for 800 numbers from the room. The only problem was the loud a/c. Its one of the indoor/outdoor ones and even if yours is shut off, you can hear your neighbors. You dont need a car to get around. Taxis are $35 from the arpt and the hotel will order one for you if needed.	
Jun 17 2008	Great Location Will go back again	What a great convenient hotel. This is more like a boutique hotel than a Marriott. Efficient, friendly,knowledgeable, bilingual front desk clerks. We had the suite for 3 adults - about $200. Full breakfast is served. Room has micro, fridge, coffee pot, ironing board, iron, tv, clock/radio, sitting area, dining table, sofa (sofa bed??). The room was very clean, the bedding was very comfortable. Quiet in the room. Comfortable lobby nice for reading and people watching.There is garage and valet parking, I did not inquire about pricing.  Convenient to many activities and sights. The Basilica is just 5 blocks, the archeology museum about 5 blocks, galleries and shops just around the corner. Many eateries and pubs in the area. Flat rate taxi fare to airport is $35 - check with front desk to schedule. Shuttle to airport is $15 per person. This is very close to the cruise pier, you could walk, but it will probably be easier to take a taxi.	
Jun 2 2008	Decent but staff not too helpful for tourists	Staff was not helpful to tourists. Felt like we were bothering them by asking for a map and some insider travel tips beyond generic tourist spots. We're in our early 30's and were looking for boutique shops, cool live music spots, and the hotel staff was not helpful at all. Maybe that's because we seemed to be the only guests under 65 yrs old.Our suite was decent, but very generic decoration. If you want something special w/ charm, check out some of the boutique hotels nearby if you can spend a little more money. We had a room above the pool (which is more like a large bathtub). Clean, large room. Minifridge. Our room had a door out to a patio enclosed by walls, which seemed nice at first but a little scary for security since one window was unlocked when we checked in.Dislikes - 1. windows didn't have drapes to cover the whole window, good thing it wasn't sunny or we wouldn't have been able to sleep in.2. staff was not helpful for tourists looking for off the beaten path info.Likes - 1. Waffle maker at continental breakfast2. Valet was easy3. CarsEatFree promotion, free valet parking and $25 gas gift card per night (gas card could only be used at petrol canada gas station though, and hotel gave us directions to the wrong gas station on checkout - good thing our GPS helped us find the right gas station chain!)4. Location was good for touristy museums and old montreal, but next time we may stay near downtown area to be closer to nightlife ... or near the little portugal part of town up st. laurent where the hip funky boutique SOHO-NYC style neighborhood is.	
May 21 2008 	Great Stay for Us!	We stayed for five nights in early May and were very happy with this hotel. The room was very large for two people and well laid out, impeccably clean, extremely comfortable, and in a location that was perfect. We came in by train, with a taxi to the hotel costing about $10 including tip, but the Metro was only a few blocks away. Personnel at every level were helpful and polite. While the pool and hot tub were small, I didn't have any trouble finding time to use them when there was no one else there. The breakfast was plentiful; attendants re-stocked constantly, although the hot selections were mostly the same each day. (We did not eat at the restaurant affiliated with the hotel for other meals.) The only complaint I would make -- and it is not something the hotel has any control over -- a freight train runs close to the waterfront, several blocks away. It came through before 6 a couple of mornings and was rather startling, especially until we realized what it was. Otherwise, even though we were on the &quot;first&quot; floor (just above street level), at the front of the building, right near the elevator, and on the same floor as the pool, we were not aware of any noise issues. I would definitely recommend this hotel and will happily stay there again.	
Apr 29 2008 	No complaints	I stayed at the Marriott SpringHill Suites for 5 nights and was very satisfied. The room was spacious and clean. Although it was tight, we had enough room for two double beds, an open sofa bed and a roll away bed. The bathroom was also large. Our room included a microwave, mini-fridge and kitchen sink, all of which were very clean. On my first night the roll away bed was very uncomfortable but the replacement was much better.Our bathtub was backed up on the first night, but was quickly repaired after a call to the front desk. Internet access was fast and by ethernet only. WiFi was available in the breakfast area, but was not very reliable. There was also a business center which had two computers and a printer.The fitness center was small and included a treadmill, elliptical machine, a bench and a few dumbbells up to 25 lbs. The pool was clean but small and shallow. It's design was also a bit unappealing. Breakfast was impressive. It included a waffle maker, an egg dish, hash browns, bagels, bread, muffins, a variety of pastries, cereal and yogurt. Coffee and juices were also available. I only had the chance to try the eggs and they were not very good. Breakfast was available until 9:30 AM during the week and slightly later on the weekend.The front desk was very nice and helpful. Any requests were quickly acted upon. They were also very helpful in giving directions to attractions.The hotel had a good location. It is only 2 blocks away from the waterfront park and right in the heart of Old Montreal. Bars, shops and restaurants are right down the street. My only complaint about the location is its proximity to the Metro, which is about a 15 minutes walk away. I wish the hotel had provided a shuttle. I did have a small issue with the housekeeping staff. I approached one of the maids in the hallway and asked for a few extra towels. She asked which room I was in and obnoxiously joked that there was an extra charge and told me that I had too many people staying in my room. The hotel was fully aware of the number of people staying in my room and there was in fact no charge for extra towels. I did not appreciate this. After checking out, I noticed that I had left my camera battery and charger in the room. I called the hotel and they promised to mail these items to me. I was told that there would be no charge as long as the shipping costs were under $10, otherwise I would have to pay. I have not received their package yet, but it is too early to expect it.	
Apr 4 2008	Wonderful Experience in MontreaL - Will Go Back...	My wife won 2 nights at the Springhill Suites Hotel in Old Montreal through a school raffle. Since we live in Maryland, I didn't really see how 2 free nights was such a big deal - but then we got very cheap airfare through the internet...SpringHill Suites (by Marriott) a non-smoking hotel, is located on a very small side street just around the corner from the Cathedral de Notre Dame in Old Montreal. A few hundred feet down the street from the hotel door is the cobbled stone street of Rue St. Paul. We took a direct taxi from the Int'l airport (YUL) all downtown trips from there are fixed at $35.We had room 501, which is a &quot;deluxe&quot; suite in a corner room. For the 2 of us it was very spacious. All previous reviews do a good job describing the various amenities; large bathroom, microwave, fridge, etc. The front desk staff is very friendly and helpful. They speak French &amp; English interchangeably. Breakfast is a few steps up from Hampton Inn fare. Wafflemaker with fresh batter, always one hot quiche (egg) dish, sausage, and a large variety of upscale muffins, bagels, and pastries. For a hundred room hotel, there is lots of seating, but at 10:00am on Sunday, the place was packed...Had lunch at La Marche de LaVillette, several blocks down on Rue St. Paul. It is a stereotypical &quot;French Bistro&quot; food was great - recommend the ham &amp; cheese crepe - great place overall. Dinner was the the Pub St. Paul - the hamburger was fine, beer was fresh, old pub atmosphere was nice, but I was underwhelmed.Since the hotel is in Old Montreal, the Rue de St. Catherine shopping area is a 10 minute walk, but we armed ourselves with a guidebook (Fodor's) and maps and just took off. Last Saturday had temperatures below 32 fahrenheit, but the wind chill put the temps way down into the teens. We had a blast exploring the various parts of the Underground City - blocks after blocks of it, just fascinating...On Sunday, we bought an All-day Touriste Metro card for $9 and explored parts of the city (including the casino) that were much farther away. Got way up on Rue St. Denis and went to Scwartz's Deli for their &quot;Smoked Meat&quot; sandwich (medium fat). It's not pastrami - really something else entirely - not to be missed! Shared our table with 3 &quot;sixty-something&quot; French Canadian ladies who spoke both French and English with equal aplomb - &quot;Eh?&quot;Overall, no - we didn't pay for the room, but it was a nice suite and I understand that the rates are very reasonable. Were we to go back to Montreal, we would definitely stay there again, even paying this time!	
Mar 4 2008 	A really pleasant stay	We had extra Marriott points and instead of heading south for the February break we headed north into Montreal. While we ended up paying for one of the three nights we stayed at Springhill, I would stay here again based on a nice stay.Used a google map to find it coming from the U..S. and the map was dead on. It's down a little, narrow street, and then the drivethrough entrance hooks to the left and you are there. Parked at entrance, took out bags and checked in w/in 5 minutes. Very nice,efficient front desk and they all answered our questions during our stay remarkably well. They spoke both French and english and were great w/ restaurant selections. Room was big, not huge for a suite and one of the kids stayed on the pullout couch every night. Bathroom was large but unremarkable. Room was always very clean, the maid responded well to a couple of extras we needed and the shower was hot. Pool and hot tub were small ( clean) but manageable as they had few people in them. Workout room was tiny as well. Our room overlooked the narrow street and we heard and were woke up evey night by a drunk or two, but it was not a constant stream of cars or people. Breakfast was good, not great although the selection was very good. Served over 3 hours, we did not find a crowd any of the 3 times we ate and were able to use a take out container every day for our cranky teenager who slept in every day.Terrific restaurants w/in walking distance. Our favorite by far (Only open 8-5, no dinner) was cafe/bistro Marche de LaVillette who had the funniest french waiters, the atmosphere was terrific, the music too loud and it made the place fun, very casual but really great for a family looking for respite from the cold and they even made our teenager eat his salad and laugh (while being dragged away from his friends at home.)We walked to the underground shopping and several downtown areas which took 10-15 minutes.Checkout was great. Parking garage did not bring our car down and finally approached me as I was standing outside and said our car battery was dead. It's a Suburban w/o any problems over the last 5 years so they must have killed it somehow and through a lot of negotiation, we were able to jumpstart it. At $24 per day, I was underwhelmed.Springhill provides a really pleasant experience and the locale in Old Montreal was unbeatable. Loved Marche de LaVillette (4 blocks away on St. Paul street) and would eat there every day just for the fun and laughs.	
Jan 25 2008 	Galleries 	We loved the location in Old Montreal. Galleries, museums and the Science Museum are all within a short walk from the hotel. Rue St-Paul has many galleries to browse and several cafés nearby to try some croissants. The hotel has great facilities geared towards business travelers. Nonetheless, our family enjoyed the pool, hot tub and the delicious breakfast buffet. Babysitting needs to be reserved 5 hours inadvance at the front desk.	
Jan 23 2008 	Little Gem in Old Montreal	excellent property, better than some full Service Marriotts i've stayed in. The Location was supberb with lots of restaurants minutes from hotel. Room was large and very clean, staff very friendly and helpful - great value for money.	
Dec 2 2007 	What a Drag for a Young Family!	We decided to stay at Springhill because of its location in Old Montreal and some good reviews found here. The stay was part of a family vacation in Quebec that included a few nights at Mont Tremblant (a great place to visit summer or winter!).Well the location certainly was first rate, but the good news ended there. The hotel is mere steps from the main walking area of Rue St-Paul and 4 blocks from Place Jacques-Cartier.We arrived on a mid-week afternoon after a long drive and we were looking forward to a warm reception and a quick rest before dinner.We arrived to a not-too-busy reception desk but the two hosts were 'cool' to say the least. After checking in, I asked about parking (which was included in our &quot;Cars eat free&quot; package). The parking is handled by 3rd party parking operator next door and they advised me that they were going to &quot;bury&quot; my Honda if I was staying 3 nights, so please don't ask to take it out on short notice - I didn't.No bellhops at this hotel I guess, so I took the bag cart myself and ferried our bags to our room on the 3rd floor. We noticed later that others were bringing in/out all their own bags too.Arriving at the room was another disappointment. I'd call this room a &quot;bunker&quot;, nothing close to a &quot;suite&quot; at any other hotel chain. It was a tiny inside room, with a window to a small gravel courtyard and other rooms. There was a king bed taking up most of the floorspace, and a sofa bed for the kids.Preparing for sleep, we opened the sofa bed to find a stained bare mattress, quite thin. After 2 calls we got sheets for the bed but ultimately asked to replace the mattress for our 2nd and 3rd nights.To sum up the bathroom, it was functional. The included breakfast was a self-serve combat zone. Too many people and too few tables had us spilling into the conference rooms to find a spot to eat our cereal and cold bagel. I can't see how anyone could enjoy this breakfast.Having two kids 5 and 8, we checked out the pool. Keeping with the theme, the pool was almost as small as a home hot tub.The place was skimping on towels too, in the room and at the pool.We were glad to see our car and head for home.Needless to say we can't recommend this hotel and we're not planning to stay at another Springhill Suites anytime soon.	
Oct 29 2007	Enjoyed my stay...	This was a very large, clean, comfortable room with kitchen area and desk apart from sleeping area. The included breakfast was very good. I expected a continental breakfast, but there was much more. The staff were very pleasant. It would be great if all hotels were as nice.The only negative thing I can say -- and I don't want to sound too picky -- but I stayed two days and it looked like housekeeping came in and made the bed but didn't do anything else. The floor should have been vacuumed as the carpeting was dark and showed lint, and dirty glasses should have been replaced.	
Oct 27 2007 	Enjoyed our stay	My husband and I stayed at this comfortable hotel for two nights in early October 2007 before boarding the ship Maasdam for the Canada New England cruise. The cab fare to the pier was $7.00; while it's within walking distance, one wouldn't want to walk there with luggage.It is located close to the pier, Notre Dame Basillica (a must see), many shops, art galleries and restaurants. While the subway is also nearby, there are a LOT of stairs, going up and down, before you get there. We are a senior couple and had some difficulty with that. The cost of a one way fare is $2.75; we took the train to the Botanical gardens but took a cab back; cost of cabwas $16.00; the gardens are located right beside the Biodome. we enjoyed the gardens but they are probably best seen in spring or summer or earlier in the fall.The fare from the airport by cab was $35.00; we encountered a very rude cabbie but that was the only unpleasant part of our stay.The staff at the hotel were cheerful, helpful and very pleasant. The complimentary breakfast buffet included cold and hot cereals, juices, breads, muffins, waffles, a nice cheese and asparagus egg dish, make your own waffles, fruit and yogurt; something for everyone.There are many restaurants very close by; we had one dinner at the Modavie and the early bird special was $16.00.We found the hotel &quot;homey&quot; and convenient. The air conditioning was noisy but I have yet to find one that isn't. As others pointed out, there is no view.We didn't use the pool or any other hotel facilities; there is an ironing board with iron in the room and a hair dryer. Also a complimentary daily paper. I would recommend this hotel.	
Oct 11 2007	Incredible Location 	The Spring Hill Suites is located in the heart of Old Montreal only a few blocks from the waterfront, the Notre Dame Bascilica and Jacques Cartier Place which has tons of restaurants and shops. We had a suite that overlooked the small alley that fronts the hotel. The room was large and clean. The hotel has a lot of business guests, but was perfect for us tourists too with lots of maps and activity brochures. The front staff was helpful with suggestions of where to eat and knowledgeable about city activities such as the double-decker tour bus. The breakfast buffet was fantastic with a huge array of foods ranging from cold cereals, to eggs and bacon, to a make your own Belgian waffle station. They had something for everyone’s taste buds. For dinner, try Galiano's Italian Restaurant which is within walking distance.	
Oct 7 2007 	Glad we chose The Springhill	Booked this hotel for us &amp; friends after reading reviews on Trip Advisor. Used Marriot.com direct. Reduced rate for Seniors. Could not have chosen better, rooms excellent, location brilliant.The staircase from the lobby could do with re-carpeting, but the lifts/elevators were good, so not a problem. The reception staff were multi-lingual and extremely helpful. We had an excellent meal at the bottom of the street, in Umberto's restaurant. All in all, could not have chosen better, thanksto Trip Advisor.	
Oct 4 2007 	Great Location	My husband and I stayed here for 3 nights at the beginning of September 2007. This was a great place to stay in Old Montreal. It’s right in the middle of all the sights, but at the same time we had no problem with noise or heavy traffic right outside the hotel. It is a little hard to find the hotel (we didn’t have GPS – just Mapquest directions). Parking was not much of a hassle – there’s a garage attached to the hotel and the parking is paid on your hotel bill. The suite was great – very clean and spacious (but no great views of the city, which didn’t bother us much). The front desk staff was very friendly and upgraded us for free upon on arrival. We did not have any worries over our safety while at the hotel – inside or out.The breakfast was good – the usual complimentary fare. It would have been nice to have a bigger dining area for the breakfast as the hotel does get busy on the weekends, but they provided trays and “to go” plates, so we just took the breakfast up to our room. We did not try the hotel restaurant as there are a ton of great places to try within minutes from the hotel.Simply put, we did not have any problems during our stay and would highly recommend this place to anyone wanting to enjoy Old Montreal.	
Sep 25 2007 	je ne sais quoi	Springhill Montreal is situated right in Old Montreal. Literally walking distance to all Old Montreal sites. We really enjoyed the restaurant when Charles Dickens wrote &quot;A Tale of Two Cities&quot;, which was walking distance from the hotel. The suite was super clean, spacious and the breakfast came in REALLY handy. One morning, being on vacation time, headed down to breakfast around 9:50, but the breakfast is technically over during the weekdays at 9am. To our surprise, everything was still out, people were eating so we got to jump in late. Plus, we were taking a train to Toronto on Monday, I got to make peanut butter jelly sandwiches for the journey. Worked out well. The staff is helpful in that they answered my tourist questions with map in hand and had a cab waiting when we checked out. Oh yeah, the free internet in the business center was a bonus also.To make a long story short. We were in a great location. And the rooms were great. Even my mom, who is self-admittedly one of the pickiest people you would ever meet, loved this place. And that means A LOT! Montreal is a lot of fun. We will definitely be back!	
Sep 10 2007 	Good Location !!!!!!!	We stayed in a two bed and sleeper sofa room on Sep 2st 2007.The hotel is located in the old montreal in a small alley. If you checkin in the day time it is easy that you canfind this hotel. All the road sign and the name written on each road is in french.The name board for the road is smallar than the normal size. We checked in around 11.00 PM.Since we have navigation system it was really easy to get into this hotel. In the dark withoutnavigation system I believe it will be little bit difficult. The room was good and clean.The hotel is in a very good location. All the main attraction like Notre-Dame Basilica, old portand St.Paul Street (Famous for Cobblerstone street) are in a walkable distance.The breakfast was good.	
Sep 6 2007 	Great location in a modern clean hotel	Stayed here for a few days in late August, everything was smooth, from an early check-in ( as we arrived around 12:30 PM) quiet room, Hotel is located on a side street one block from the popular St Paul's street and a few short blocks from Jacques Cartier Place in old Montreal. Safe area. Plenty of hotels and cafes near by. All the items of a good hotel, Staff was helpful when asked with directions etc. Hotel got us taxis on numerous occasions and hours (as we also took a day trip via rail to Quebec City) with ease. 15 minute walk to downtown. Small pool, but fine for a quick dip. Clean spacious, quiet and comfortable room. Breakfast was fine as well. Would stay again no problem, should I go back to Montreal.	
Sep 4 2007 	Excellent Location	Couldn't have wished for a better location in Vieux Montreal for our 2 night stay on 15th and 16th August. Close to Rue St. Paul and the waterfront, also Place D'Armes metro (very easy to use) is only a 5-10 minute walk away. Check in and check out very straight forward and efficient. Underground parking for 2 days cost us around £20 (including taxes) - not too unreasonable given the location. Room was very spacious for the 4 of us as we were accompanied by our children, aged 12 and 9, having 2 queen beds, 2 TVs, a sitting area, a small kitchenette which included a fridge, microwave and a sink. The only (slight) negative would be the air conditioning units which were a bit on the loud side but did not prevent sleep. The buffet breakfast served on the mezzanine level was very good. I cannot comment on the pool as we never used it (too much to see and do in Montreal).	
Aug 26 2007	Springhill Marriott-Great Place!	We spent a few days here this August. The location is excellent, just steps from the restaurants, waterfront and shops. The hotel was great, staff very friendly, and helpful. Breakfast buffet was fresh and excellent, with an array of foods from fresh fruits to sausage and eggs. Pool and spa good enough for relaxing after a long day of walking. Rooms were large with micro and fridge. Great stay!	
Aug 18 2007 	Better than their Marriott Hotels	Terrific hotel. Great location. Large Rooms with 2 TV's. Mini fridge and microwave in room is great for families. Best of all...comfortable beds, crisp, clean linens, fluffy pillows. Nicer than many Marriot hotels I've stayed in.	
Aug 14 2007 	Wonderful location!	We were traveling with our two college age children (male and female) and it was difficult to find accomodations without booking 2 rooms. We spent extra and booked a deluxe suite with a king size bed. There were 2 sizes and we booked the larger. I was very pleased since when you walk in there is a area with the wet bar, microwave, and counter, along with a small table and 2 chairs. A roll-away bed can fit in here. There is a divider to a small living area with a sofa bed and chair. To the left is a small hall to the bedroom. We spent 3 nights here and never felt like we were on top of each other. The hotel is literally yards from the streets with the restaurants and shops. There is a room with two computers to access the internet, great breakfast, and free lollipops at the front desk. They were very helpful with recommendations and arranging cab service to the airport. I was concerned when I read the post from the woman about the man at her door, but was never concerned for my safety. The Metro was about a 10 minute walk, right next to Chinatown.	
Jul 25 2007 	Awesome all around!	I stayed here for a girl's weekend for my friend's birthday. What a great deal for the money. The hotel is very pretty, is in an excellent location right in old Montreal, has great customer service and is super clean and up to date. We had a fantastic time and you can't beat the location. There was a parking garage and we parked our car right there and never picked it up til we left Montreal. I think this would be a great hotel for families with young children to couples to a girl's or boy's weekend as well! I have stayed in other hotels in Old Montreal for getaways with my husband that are quite lovely, but also the price reflects it. Again, you can't beat this place if you want convenience and amenities on a budget. I highly recommend it!	
Jul 23 2007 	Convenient Hotel	This hotel is just around the corner from the narrow streets of Old Montreal. If you walk 2 blocks south, you will be at the Pier of Old Montreal. The Montreal Science Center is located here. The hotel is well kept and clean. The rooms are clean. The double beds are a bit soft and not as comfortable as the beds of previous Marriott hotels I have stayed at. The two double beds room can sleep 4 to 6 individuals. There is a sofa bed in the room that can sleep two young kids. The microwave, coffeemaker and small bar bridge are very handy.The morning breakfast that is included by the hotel is very convenient. It can get very crowded at times. The early morning sittings are less crowded. The breakfast is available from 6 to 10 am. It seems to be always busy after 9 am. The hot items include sausage patties, hash brown potatoes, scarmbled eggs and waffles. There is plenty of cereal, muffins, pastries, yogurts, bagels, breads and fresh fruits. They provide take out containers for the pastires and drinks.The swimming pool is very tiny. It can be very crowded when there are 6 kids in the pool.The staff are very courteous and the check in and check out was handled very efficiently.The restaurant attached to the hotel is very quaint but the prices were a bit steep. Around the corner from the hotel is the Keg restaurant. There are many sidewalk cafes within one to two blocks from the hotel.There is a Subway and McDonalds also one block away from the hotel. Everything is within walkable distance. There are two subway stations within a 5 minute walk from the hotel. The Chinatown is also 5 minutes away. Had dinner at a Chinese restaurant in Chinatown called Ruby Rouge. The food was very good and the pricing was very reasonable ($75 for a set dinner for 6).Do visit the Biodome, Olympic Stadium, Botanical Gardens and Biosphere. Avoid the Montreal Science center.Montreal was a lovely city to visit. The streets were clean. The traffic and drivers were courteous. The staff at the stores, restaurants and attractions were all very polite and friendly.The fare from the airport was $40 to the downtown hotels.	
Jul 18 2007 	fabulous weather and hotel in vieux montreal	Mid-April is not usually the time of year for the best weather in Montreal, but we were treated to summerlike conditions this weekend. With the excellent weather and the fine accomodations at this hotel, we enjoyed our trip immensely. The hotel was centrally located and the room we occupied was perfect for our family of four. We stayed over the weekend, as seemed many families did and enjoyed a terrific hot breakfast in the morning and a rate that couldn't be beat for the value. We were able to walk to any place that we wanted to go. Cabs and the Metro were easily accessible. We had a room facing Ste. Jean-Baptiste and the passing horse drawn caleches clip-clop was music to our ears. The staff was excellent and the parking easy and secure. I will stay here again on our next trip to Montreal and I recommend you do the same!	
Jul 13 2007 	Old Montreal's Best Deal	This hotel is a find. It is in a great location, about four blocks from Notre Dame de Montreal and two form the harbor but is not a quiet side street. Views are nonexistent but at this price, that's what you get. The rooms are nice, although be aware that many of the suites essentially have a half wall instead of a separate room. However, the sofa bed is comfortable and the area has its own TV. In addition, internet access is also free and very fast.Finally, the included breakfast is more than you would expect for the price and is certainly welcome. I would stay here again every time I go to Montreal.	
Jul 4 2007 	miserable check in	We had a confirmed travelocity reservation which the front desk clerk refused to honor. He told us the reservation was invalid. We had a confirmation number from both travelocity and Marriott, and our reservation had been prepaid. We argued with the clerk for an hour and finally had to call travelocity and they had to call the hotel to get the clerk to honor our prepaid reservation. I have never experienced such rudeness and will never go there again.	
Jun 29 2007	Condescening Non-caring American-Unfriendly Staff	The hotel was very nice. I was in Montreal for business and the accommodations were perfect. A nice mini-kitchen, a desk to work on, and complimentary Internet access were included en suite. The bed was comfortable and the room was spacious. The room was clean and the bathroom was large with a separate shower and tub. My problem was the staff. The problem was so great that everything good about this hotel didn't matter by the time I left.I arrived at the hotel on a Thursday and checked out on Monday. When I arrived I presented my credit card for incidentals. I later learned that the front desk charged the entire room stay on my card. Whenever my company sends me out of town for business, it pre-pays the hotel room through whatever travel agent/travel site it goes through. Well, there was a problem with Orbitz so while they provided a credit card, the room was not, in fact, paid for. My travel manager immediately started working to solve the problem by doing a third-party authorization. Trying to get the hotel desk to handle the third-party authorization was a nightmare. It took almost till the end of my stay to correct the problem. That, however, turned out to be the least of my worries!Sunday morning as I was preparing to leave my room to go to the convention center, someone knocked on my door. I was puzzled as I had the &quot;Do Not Disturb&quot; sign on my door. I was in the bathroom applying my makeup but went to the door to see who was there. There was a strange man at the door. He was not a hotel employee--he was wearing street clothes--no uniform. I asked who he was and what he wanted. He mumbled something in French and I told him he had the wrong room. He then said something else and again I asked him who he was looking for and got another answer in French. Again I told him he had made a mistake. He then switches to English and tells me to open the door again. Again I let him know he's at the wrong room. I walked away from the door, thinking nothing of it and went back to applying my makeup.About a minute later, there's a loud, insistent knock on my door. The man has not gone away. He then begins to beat on the door with his fists, telling me to open the door and that he was tired of joking and this wasn't funny. Stunned, I yell through the door that he has the wrong room, and if he doesn't go away immediately, I will be calling security (at which point I'm already heading to the phone). While I am dialing the front desk, the man starts jiggling the door handle, beating even harder with his fists, and yelling for me to open the door. I'm a woman, and I'm traveling alone, and I'm not easily frightened, but this had me a bit afraid. Here's the good part: I reach the front desk and tell them to send security up immediately as there is a strange man pounding on my door trying to get in. Front desk's response: &quot;It's probably just housekeeping.&quot; WHAT???? I cannot tell you my utter shock at that response! As calmly as possible I tell the front desk clerk that it is NOT housekeeping, as I have a &quot;Do Not Disturb&quot; sign on my door and housekeeping wears a uniform and does not bang on the door with fists. This idiot at the front desk kept insisting it was housekeeping, and asked me if I knew the person at the door. Finally the clerk, who should have been able to hear the would-be intruder in the background, says he's sending someone up.Well of course the culprit is gone by the time someone arrives--and guess whom they sent up? Not security--a member of housekeeping! I ask the man from housekeeping if he saw anyone who fit the description of the man who was beating on the door. He could barely speak English and said he didn't see anyone. I then ask him to please stick around for about 3 minutes so he can walk me out, as I had to leave for the convention center. He promptly turned around and left! After nervously checking the hallway, I departed my room and promptly went to the front desk and asked for the manager. Of course it was too early for the manager to be in. The front desk clerk wanted to then know how he could help. Checking my anger I let him know that I was not happy with the way things were handled. I called with a serious concern and got brushed off as if I'm too stupid to tell the difference between a hotel employee and a possible assailant. Guess what the front desk clerk said? &quot;It was a member of housekeeping&quot;. I asked him if members of housekeeping were prone to beating on guests' doors with their fists while shouting. Again, this clerk tells me it was housekeeping, saying a member from housekeeping went to my room. I told him, 'I know, you sent him up to my room AFTER I called to complain that a strange man was trying to gain access to my room&quot;. The front desk just looked at me like I was an idiot and a thorn in his side. Since there was no manager there, I left to take care of my business at the convention center.When I returned later that day, I again asked for the manager. Again, the manager was not in. A different clerk asked if he could help. I explain the situation again. Guess what he said? &quot;It was probably housekeeping.&quot; I felt like I was in a twisted Twilight Zone episode. I again asked if housekeeping was prone to such violence--pounding doors with fists, shaking door handles, and shouting. For a moment I thought this guy finally got it, because he apologized. But then he ruined it by saying, &quot;Things like that don't happen here, Madame, I can assure you it is an isolated incident.&quot; Well, heck, it only takes ONE isolated incident to wind up raped or murdered!Upon checkout a third clerk asked how my stay was, and I told him. I also let him know I had filled out a comment card (and added three additional sheets of paper to it) detailing my thoughts on the hotel's staff. I then told him that I didn't expect anyone to act on it since no one seemed to give a darn about anything there anyway, but it made me feel better to write it.When I got back to the States, my travel manager heard about my horror story and called the hotel and read them the riot act. I then got a call from the general manager of the hotel who was quite gracious. He apologized for his staff's callous behavior, saying that they should have &quot;overreacted&quot; to my concerns and worried about whether they were legitimate later, in other words better safe than sorry. He asked for specifics as to the time(s) my calls and complaints were made so he could identify the employees who didn't treat them seriously and reprimand them. I asked the general manager what the procedure is for incidents such as this, and asked about the security staff. Much to my surprise--they have no security staff!!!! The general manager said they use housekeeping for security issues! While the general manager did everything he could to smooth things over (he took a description of the man and they were going to check security cameras), the entire thing was a fiasco. How do you not have a security staff to protect your guests?????I truly believe a lot of the attitude (condescending, snobbish) I received from the hotel staff had to do with my being an American. I found throughout my entire stay in the city that for the most part, I and other Americans who were attending the convention there were treated quite shabbily. I and another American business associate were treated rudely at the convention center. I had a taxi driver drive around in circles &quot;trying to find&quot; a restaurant for which I had given him the address--being that all the street names and signs are in French, he probably figured I didn't notice. I'll NEVER be returning to Montreal, that's for sure, and my company is not going to open up business there for the same reason. It was not a welcome place to be.	
Jun 20 2007 	Great Location Nice and Clean	This is a great location in Old Montreal, a stones throw from Notre Dame Cathedral. Excellent restaurants abound nearby. The pool is indeed tiny, but no one really goes to Montreal to swim in a hotel pool anyway. It is located behind some buildings that make it tough to see from the main streets. Very clean rooms and public areas. Tasty and comprehensive breakfast. The room size was not large, but big enough. I am not sure why it's called a suite since it looked like a normal hotel room to me.	
Jun 10 2007 	Great Hotel Great Location	We stayed 1 night at this hotel and had wonderful service from the moment we got there. Tina at the reception desk was great in finding us another room as the one I booked on-line for 2 adults and 2 children (16 yrs) only had a single sofa-bed. We were, without any trouble given a room with 2 double beds, living room, wet bar and a terrace (not a balcony). It was fantastic. The continental breakfast is much more than that and was a great way to start the day. When we got back my husband realized that he had forgotten a pair of shoes. We called the hotel and had to leave a message with housekeeping not knowing if someone would call back however Janet did and yes they had the shoes which were returned promptly. As we are only 2 hrs away and often go to Montreal and have stayed in many hotels we definitely will be back at the Springhill Marriott. The location is great and the service was EXCELLENT!!! Felicitations!	
