	Much more than I expected	Traveled by train from QC with my daughter, 7 and 5. Walked across the street from the station. Check-in easy. Room 2139. Average. But it's not the room here.Great location. The pool is great. When you go to swim, there is an inside entry and you swim under a deck to enter the Great White North. [It was cold.] Pony-tailed lifeguard has zero personality, but he is efficient. Girls loved the swim. I froze. Concierge staff is remarkable. 45 minutes before face-off, Roberto got me tickets ($220) 7 rows off the ice from a scalper. I paid him and picked up the tickets in a nearby gas station.Thanksgiving? American? Concierge booked us at Globe. Incredible.The restaurant. Had breakfast one day. Expensive. But friendly. Good. Waiter made a recommendation for the girls for that day.Problems?Returned one day -- door ajar. Maid had not shut it. Nothing taken. Reasonably secure.Bar is good too for a drink. Arrived. Wife out of sorts and sent her for a cocktail. She was much better.A great location. Very non-Hilton. Very personable. Unique.I used points so I only paid for what I spent, but it was good. Very good. Better than expected for a Hilton. And if you have kids and its the winter, the pool is a gem. A class of French-speaking children watched one afternoon as we swam. They all wanted to jump into the steamy outdoor pool.And I'm a runner. Old Montreal is a short run. A long walk.	
Jun 6 2009 	Great outdoor pool	I stayed at the Hilton Bonaventure while attending a conference that was held at the same hotel. I found the hotel to be quite good.The hotel is built above a building but you feel like you're at ground level. It has been quite well architected to create this illusion. The outdoor swimming pool is heated and quite enjoyable even in winter.Hotel conference facilities are good, and wireless internet is available throughout the lobby and meeting areas. Rooms have wired internet that is available for a fee.The hotel is based in downtown Montreal and is close to shopping, cinemas, restaurants, and clubs. The bonaventure train station is below the hotel so you can get to it without exiting the building. Montreal's underground city also passes through this hotel.	
May 30 2009	Great location great staff enjoyable stay.	The location of the hotel was extremely convenient - especially if using the Gare Centrale. Also directly linked to the Metro. The staff were all extremely friendly, helpful and courteous at all times. The food was also extremely well presented and tasted delicious. Try the Nachos! The only negative would be that the room was a little too dark. However, this seems to be common in many hotels.	
May 21 2009 	great stay	I spent nine nights recently and was very pleased in every aspect. The room service was excellent. The staff (especially in the executive breakfast lounge) were professional, efficient and very polite. The room was spacious and well appointed. The fitness room was clean and well equipped. The pool was warm (it was cold out) and very attractive. It did close rather early though. The bar closed VERY early by any standard, especially so for Montreal. The hotel location is perfect for a business or vacation stay. Close to excellent shopping. The meeting rooms were spacious and well ventilated. I did not hear one complaint from anyone at the hotel.	
Apr 13 2009 	Not a 4 Star Hotel	The Good:The linens and bed were nice and the hotel is in an easy location to get around (near the metro and walking distance to old port), but that's about it.The Bad:Horrible views, dated lobby and noisy, musty rooms that were permeated with the smell of chlorine from the pool. If you're going to stay in Montreal, try something else. Don't waste your money here. If you want a hotel of this caliber (3 star), you can get it a lot cheaper elsewhere; if you want a 4 star hotel in Montreal, try something else.	
Mar 30 2009 	Perfect location kind staff	I really had a good time in this hotel. The rooms are clean and big enough. The views weren't good at all, we were facing a dirty-strange park, but it was bright enough. Not a big fan of Hilton Hotels, but would definetly go back to this one! Perfect location, right next to Place Bonaventure. Good subway connections too. Friendly staff. Perfect for a couple of nights!	
Mar 22 2009 	good for couples or business travel	My husband and I just came back from a weekend away in Montreal where we stayed here. The room was nice and clean. The bed was super comfy and there were 5 pillows to choose from in our King room, unfortunately none of them were to my husbands liking resulting in a sore kneck. The room was a nice size, spacious with a high ceiling. There were hardly any drawers to unpack our clothes, which was a hasle. The bathroom was clean and a fair size, but their was no fan (I keep staying at hotels with no fans in the bathrooms and I don't understand why???). I really liked the rooftop pool, but wouldn't recommend it for young children. The shallowest part is 4.5&quot;. We opted out of eating at the hotel restaurant because of the price and because of all the other options. This hotel is very central to everything (Bell Centre, shopping, dining, and a short distance to the casino and BioDome). I would stay here again if it was just my husband and I, but would choose another hotel if we brought our daughter. FYI- this hotel does not have it's own parking lot. You have to pay to park underground. Be prepared to give your keys to an attendent because they let in more cars then they have spots, which means cars have to park in front of other cars and then have to be moved by the attendent whenever the other car has to get out.	
Mar 22 2009 	Average 5-star hotel.	I stayed there one night, with 7 other friends for my 16th birthday.The hotel is located on the top floors of the building wich in pretty unsual. The lobby is not you will usually see in hotel hotels. The outside pool is one of the highlights. It probably is one of the best in Montreal. The souther Side however offer a very bad view. (highways, train lines, etc.).Overall, very nice hotel. Very reasonable price for what if offers.	
Feb 19 2009 	Hated this hotel	We stayed in this hotel during our honeymoon in Montreal. When we visited Montreal the heat was unreal. It was 34 degrees celsius everyday. We decided to cool down with a drink by the pool. It was quite busy at the poolside, the one waitress was running around serving drinks. We understood that she was busy and sat patiently waiting for the drinks menu to be brought over. We waited 25 mins before she even came near us with the menu. This waitress then went on her break, and the only other waiter there was too busy cleaning the bar to notice anyone around him. We sat another 15 minutes before we gave up waiting and went to the bar to get the drinks. When we got to the bar, the waiter looked up from his cleaning and said, There's no more food orders today. We said we wanted drinks but he continued to clean the bar. After a couple more minutes my husband and I were too angry to wait any further. We went to reception to make a complaint. We explained we were on our honeymoon and that the severe lack of service had put a downer on things. We didn't even get an apology from the management. I wouldn't recommend this hotel to my worst enemy!	
Jan 18 2009 	Give Montreal a chance-Look elswhere...	As a frequent visitor to Montreal, this review is based on comparisons to other downtown hotels. The location of Bonaventure is great for the location to Old Port, Downtown and China Town. Self Park below hotel at $17.00 is reasonable. The low rating I have given this hotel is the room itself. When this hotel was built in 1967 for the Expo, a small sized &quot;shoe-box&quot; shaped room was probably OK. I have read that airlines move seats together to accomodate more passengers -so it is that walls in this hotel were compacted to squeeze in more guests.The Newly renovated decor: Just horrific! Tan on bland, with maroon and &quot;gray matter&quot; chenille. An Ergonomic chair that gave my son nightmares. I think Hannibal Lector may have actually designed this chair (see photos on website). Business type furnishings were much to large and unappealing for the size of the room. Wires showing behind every piece of furniture, blue and white behind the desk, a jumble of black wires behind the TV.Internet $10:00 per day!!Sheets were nice and new, but not tucked in. So everything came loose...Bathroom was about the size of what you might expect on a cruise ship.Inroom coffee at $2.75 per (pod) cup, no complimentary coffee anywhere in the morning. Small window, with horse blanket type coverings, that it was very dark all day.Pool was interesting and deep- over 6 feet in most parts. The pool attendents were a bit unfriendly. I actually have never given a review so low. The two points I gave were for the staff, who all seemed OK.Montreal is such an historic and beautiful city, please be advised to check out other hotels.	
Nov 28 2008 	Newly renovated downtown hotel with attractive courtyard garden	I base my rating for this property partly on the great rate we got it for (about 100 USD). Had I paid 300+ for this hotel as some have, the minor irritations we encountered would have been likely magnified in my view. Location:This hotel is in downtown Montreal and easily connected to the underground city. The actual rooms are on the highest floors of an ugly office building and so you first enter a small foyer area with an elevator that then takes you to the actual hotel lobby on the top floor. I did not like walking around this area of Montreal at night. Very dead and almost ominous. I don’t consider this an ideal location for Montreal, but certainly convenient enough.Lobby and public areas:The hotel layout is quite atypical, with something approaching a courtyard garden w/pool around which many rooms are situated. The plants and foliage in the garden were delightful and it was pleasant to walk about in the public areas of the hotel with a view of this garden. The lobby general seating areas were also decorated nicely and pleasant to be in. I found the variety of artwork in the public areas quite interesting. My only complaint was that the hallway carpets in pretty much any part of the hotel were dismayingly filthy, to the point of distraction. Perhaps these were not renovated yet. But in addition to all the permanent staining and wear, no end of food, trays, towels, and messes would show up in the hallways constantly. The staff didn’t seem to care at all about attending to hallways. Rooms and bathrooms:The room we stayed in was clean, newly renovated with very nice furnishings but an odd shape. We did have a nice flat screen TV but the oddly-shaped long corner courtyard room given to us resulted in the TV being at quite a distance from the bed (none of the tripadvisor photos posted by other travelers reflect the odd L-shaped room we had). In general all the furniture placement was very strange in this room, with the bed in an &quot;alcove&quot; and the desk, dresser and TV awkwardly fitted closer to the other portion of the L-shape. The room had all standard modern amenities. The bed was extremely comfortable, with very nice comforters. Bathrooms were extremely nice - with high quality material used for renovations. Our room was facing the edge of the garden but all light was blocked – partly because the plants covered most of the window area and also because the part of the window not covered would have resulted in the folks at the pool area having full view of us in the room. Altogether I wish we had been given a different room location (preferably NOT facing the courtyard) – but they were sold out by the time we checked in. In fact, we had requested two beds, and I was irritated when we were given a room with a single queen. We had to live with a rollaway they provided.Internet:It was disappointing that no free internet was provided.	
Nov 12 2008 	Id go back	The place is buried in a downtown building you would never know it was there but once you find it you will be happy you did. Maybe they could do with a bigger sign? Your downtown so you will be paying for your parking if you drove, its underground.Once your settled its quite nice the hallways are a bit long and tunneling and the maid staff leave an awful lot of &quot;stuff&quot; laying around.Check in staff, doormen, and the information desk are very friendly and informative they have maps of the city and can suggest many places to visit, shop and dine.The highlight of this place is the rooftop outdoor experience you would never know you were downtown once you sit back and enjoy the sunshine as you have breakfast on the outdoor patio with the stream filled with fish running along the side. The heated outdoor pool is also unique and very refreshing well laid out with lounge chairs and pool bar. Great for an afternoon of sun.If your considering this place get something with meal coupons you will save yourself some money. If your eating breakfast at the buffet and you see waffles or pancakes get them don't wait for your next plate at the buffet they go fast.For a downtown hotel I was disapointed they didn't have wireless internet running through the building.	
Oct 26 2008 	Smart downtown hotel	I stayed at this location for a conference in early October, 2008. Location of the hotel is great, right in the centre of Montreal downtown and I found it very convenient to be able to get to the Station via the underground city without going outside as it was raining when I left.The building is really ugly and the layout is bad with a long walk to get everywhere.However, those are the negatives, on the plus side the accommodation was great. The room was furnished to a high standard there's not much of a view to speak of as it's a low-rise hotel but the facilities within the hotel were good including the pool and gym. Staff were friendly and helpful.	
Oct 12 2008 	Great stay at the Hilton Bonaventure	We arrived by train from Quebec. The Hilton Bonaventure is directly situated outside the Train station. However, with the wonderful underground network available in Montreal, we could have remained in the station and arrived at the Hilton Bonaventure. At the time we arrived, strike action was beginning in many hotels at this time in Ontario. However, we were not affected by this strike. The staff and management in the Restaurant were excellent and in any Hilton we have stayed, we have come to realise that it is standard treatment . One to be highly recommended. Well done! The manners and etiquette are to be commended. The variety at breakfast was excellent and probably the best we have encountered anywhere. Would we stay here again, Yes! Old town Montreal is very interesting. Restaurants are really good and Italian food in particular is really good. The pool on the rooftop of the hotel provided a haven from the busy city everyday. Would definitely recommend this Hotel.	
Sep 16 2008 	Excellent Service	We received excellent service from everyone at this Hilton. However the layout is bizarre and the room was just okay. Location was good 20 minute walk to old Montreal, 15 min walk to Ste Catharine, on a metro stop and across from the train station. If you get a deal, worth the stay, but for $300/night I'd try something else.	
Sep 1 2008 	FANTASTIC	The hotel is beautiful! I loved that the lobby is on the 13th floor. The location of the hotel is near all the shops that line rue Sainte-Catherine. It's about a 15 minute walk to China Town and Old Montreal, and a 35 minute walk to the gay village.This hotel is perfect!	
Sep 1 2008 	Stayed here yearly for over 20 years	My wife and I have stayed here every year for 20 years at different times of the year (Jan,Sept,Oct &amp; June)We love June because the Botanical Gardens are in full bloom.The hotel was renovated a few years ago and is very nice and comfortable .The rooms are large fitting 2 queen beds and chair and desk .Bathroom is average size.Room has a flat screen tv ,mini bar(expensive never use)and if you get the garden view ,which I think is the nicest is very relaxing .The hotel has a very nice restaurant ,superb food (when it's open ,which it hasn't the last 3 years out of 4 that we went)Nevertheless there are enough great restaurants in Montreal .I have never had a bad meal in 20 years .Two favorites &quot;Bonaparte &amp; Europea&quot; the latter we discovered this year and ranks the finest restaurant we have ever eaten at in Montreal, Now the negatives ,parking is very expensive $24 cnd plus about 16% tax .This is valet parking so expect to shell out $4-$6 in tips everytime you need your car .Don't ever try to save the $7 by parking yourself ,you'll never find your car in that labrinth.The Canadian dollar was at par with US $ when we went ,and something new .You can't claim your Federal tax credit at the border ,IT&quot;S GONE THIS YEAR. Over the years we have had very good exchange rates as high as $1.49 CND against $1 US .Thats changed and although I was able to snag a $137 CND room this June .They have too many kakamani events in this town that for some reason that I can't understand draws big crowds here to this hotel ,that their rates run anywhere from $195-$295 CND +16% tax.The hotel is very convenient to Place Villa Marie and underground shopping across the street .Also is less than 10mins to St Catherine St downtown. We have stayed here so many times that my wife wants to stay whenever we can .I have stayed at Best Western and the now Gouvernes (not sure I spelt that right ,it's across the street on University St with the revolving dining room.One other thing ,people dress up in Montreal and certainly at the Bonaventure ,so if you don't want to stand out ,don't wear jeans or shorts to dinner .A sports coat without tie is fine ,women know how to dress to dinner (no suggestions there)	
Aug 31 2008 	Mildly dated but comfortable clean and very good service	Our experiences matched very closely those of other (positive) reviewers. The structure is unusual, with hotel rooms ringing a central pool (which was delightful), and mildly dated. However, the rooms have been renovated and are very comfortable. The memorable feature of our stay was the feeling that the staff really went out of their way to be helpful, including letting us check in well before noon, and allowing us to stay past 1 pm the next day. We'd be happy to return ...	
Aug 24 2008 	Enjoyed our stay at the Hilton Montreal Bonaventure	The hotel is in the heart of downtown Montreal, Canada. The staff was very warm and provided exceptional service. I believe the property was originally condo units which were bought by private investors and converted to a Hilton. They did a very nice job reconditioning the property. The guest rooms were very comfortable and the heated pool and the landscaped garden provided for a very relaxing environment. We happened to be in Montreal during the 2008 Jazz Festival and it was awesome! I would highly recommend visiting Montreal for the festival and encourage visitors to stay at the Hilton Bonaventure if you have the opportunity. Please see pictures we took of the property. My only complaint would have been with the toilet in our bathroom which ran continuously.	
Aug 15 2008 	Simply Amazing!	I've always wanted to stay here; attracted by the photos of the rooftop gardens. The Hilton Bonaventure did not disappoint. Our room was a luxurious retreat as we watched the fireworks in the evening sky on the last evening of our honeymoon. Fortunately, we got a good price ($126 CDN). Great location for shopping, dining, just walking around.The mid-century modernist architecture, with rooftop fountains, streams, and trees was fascinating. We're still trying to figure out how they can have such tall trees there. Simply amazing.The manager (Christine) and frontdesk were very accomodating and pleasant. Also, the full breakfast there was incomparable,	
Aug 12 2008 	Nice hotel especially the pool	As most of the other reviews have mentioned, this is quite a unique hotel as it is on the top three floors of one of the ugliest 1960's concrete office blocks you'll ever see, but the hotel is great once you get past the initial shock of the exterior. The location is great as it is right over the road from the main train station and walking distance to the shops and restuarants.The rooms were a good size and were very clean. The roof garden and swimming pool are amazing - I'd love to go back in the middle of winter to try the heated outdoor pool when there is several feet of snow all around!The bar was lovely and we had a snack one evening that was also very nice - although you pay Hilton prices for the food and drink.Overall, a great hotel that I'd visit again.	
Aug 3 2008	Great Value for moneuy	This hotel has a great location as its directly above the underground Metro. All the sites/boroughs are easily accessible from the location. Also the &quot;underground city&quot; with cafes, shops and restaurants is nearby. My TV had a terrible connection but I wasnt there to watch TV. A great stay and value for money.	
Aug 1 2008 	Unique Hilton Property	Excellent hotel perched on an office building. Wonderful pool for children, large rooms, and excellent service. One of hilton's more unique hotels.	
Aug 1 2008 	RELAXATION PLUS AT THE BONAVENTURE	We stayed at Bonaventure twice in July - the second time because we couldn't wait to go back there - The gardens are relaxing and enchanting - the rooftop are is drawn down from the mountains to the North - therefore is very clear- and filled with positive energy - The art work is noteworthy - there are many enticing sitting areas - With the upgrade to the executive level - the lounge access makes it very easy to not want to leave the hotel - The breakfast in the lounge is small - but excellent - the pastries are made by the pastry chef and are definetly worth eating too many of - Fresh squeezed orange juice and fresh fruit salad are eye- openers.The pool is of a generous size and the waterfall apparatus there affords a relaxing sound - even the music around the hotel is inoffensive - and somehow relaxing - The view from room 2107 was great with a city skyline and an old cathedral both in sight - Can't wait to go back!	
Jul 25 2008 	Worth Every Penny	My friend and I booked this hotel through travelzoo since we got an amazing deal- $150 incl. tax for a room with 2 queen beds. We were a little skeptical of the hotel- especially since we rolled up to the hotel and it looked a little run down. As we entered we found out that the Hilton had an entire level- and the subway station is below the building- which is very, very convenient. Our room was very clean, very modern, and to our surprise- looked exactly like the pictures on the hotel website. The location of the hotel couldn't be any better, it is located 2-3 blocks away from rue catherine, where all the action is, and if you hop onto the subway- just 2 or 3 stops away from Old Montreal. Staff was friendly -no issues with them. Overall- a wonderful stay.	
Jul 11 2008 	Above the hustle-bustle	Located on the top 2 floors of Place Bonaventure, it is also above a Metro station and across the street from the VIA rail station with access to the amazing Underground to extends throughout much of downtown. Yet the green courtyards are cozy oases above the traffic below. With rooms arranged around the perimeter of the building and the reception/dining areas in the core the hotel uses only two levels for all the rooms.Front desk staff are very friendly and check-in went smoothly. Room was available at 2pm so no need to check bags. Rooms are large, clean, comfortable and quiet. There are no vending machines for when the gift shop is closed; instead you are directed to the mini-bar in your room (and there's no bargains there, of course).The location is good being blocks from Bell Centre (hockey arena), to SW and 1/2 mi to Place d'Armes and Notre Dame basilica to NE. McGill Univ. is about 1/2 mi to NW.	
Jul 10 2008 	Excellent oasis in the city	Wonderful quality hotel. The garden and pool are a great escape from the city below. The room was clean, comfortable and tastefully renovated - very modern yet so comfy. The staff was very helpful and the location of the hotel is perfect for every sight in Montreal.	
Jul 9 2008 	Great business class hotel	I`ve stayed at the Hilton once before and this was just as satisfactory. It`s a typical business class hotel and I really enjoyed the swimming pool when I was there on a hot sunny weekend. Also worthy of an applause is the spacious gym with new Precor machines and very new cardio machines each with their own TV and audio.	
Jul 8 2008 	Nice Stay...	My husband and I went to Montreal for business as well as a quick romantic getaway. Well, the hotel was nice... The set up just as everyone said is very interesting. I didn't personally like the set up, I mean on Saturday morning when waiting to go to the main floor, we had to wait for a second round with the elevators because there were so many people trying to get on the elevator. They need to definitely work to improve that. The room was GREAT!! We stayed in one of the renovated rooms, the housekeeping did a great job at keeping our room nice every day. We did order room service one day after a night at the Montreal Jazz Fest, and the food was really good.. very filling.. The staff was nice, especially at the Concierge desk, always extremely helpful. We went during a great weekend, because the Jazz Festival and a Carribean parade were going on, so it made for great fun. The hotel is very close to all the shopping on St Catherines, the Underground City shopping is ok. It was a bit too stuffy for us, I guess since it is summer. The pool area was nice, and very chic. We went into Old Montreal and had some great eats, and the cab was only about $8. The next day we went back for breakfast in Old Montreal and walked, and it was a brief 15 min walk. All in all, it was a great, romantic stay..	
Jul 1 2008 	Strange layout.	We stayed at this hotel for 5 nights for a conference. As other reviewers have stated, the hotel is oddly configured. It is on the top 3 floors of an office building. When you get out of the elevator, you are staring down a hallway of rooms, and have to make a right to get to the lobby. If you follow the signs for the pool, you may end up walking around the entire perimeter of the hotel. Sometimes, it is faster to cut through the lobby, but I guess they want to keep soggy guests from dripping through the reception area. The hotel is not very kid friendly. The lifeguard during the afternoons was a little &quot;crabby&quot; to say the least, running out of the sign in area (yes, you have to sign in and out when entering the pool area) whenever a child even raised his/her voice, reminding us every few minutes to keep the kids on one side of the rope, etc. He was sort of standing at the edge of the pool and staring at one father whose young child was screaming a bit, until the poor guy got out of the pool with his other kids and left. It was a little weird. You do get towels when you sign in, so at least there is no need to bring them from the room. Housekeeping is very nice, and responds quickly if you need extra towels. However, on the last night there was some kind of party going on, and they never brought coffee for the coffee maker, which I had requested. I was told this was not housekeeping, and the minibar lady would bring it, but she never came. The underground city and the Metro are right under the hotel, it can be a little confusing, but we figured it out. Also, be warned that many people outside the hotel speak limited, if any, English. One of the reasons we went to Montreal was because my daughter is in an international school and wanted to practice her French. I speak a little, but mostly I had to depend on her to translate. It was pathetic. The buffet breakfast is overpriced, $20 for adults, $10 for children. The 2 kids hardly ate anything, cheerios, toast, definitely not $10 worth. You can get Pizza Hut delivered to your room through room service (limited menu), and there are the underground food places, Subway, etc. Also, you HAVE to pay for parking, and cannot leave your car in front to unload luggage and check in. If you need a luggage cart, the bell staff have to take your luggage. My husband had a large tote bag with his binoculars on top (we had stopped at Niagara falls on the way to Montreal) which he gave to the bellman, and after we got home we realized that we no longer had the binoculars. Incidentally, he forgot to tip the bellman at the door of the hotel before he went to park the car. I tipped the man who brought the luggage to the room, but it was a different person. I didn't know my husband had put his binoculars on top of the tote bag, so I didn't realize anything was missing. We don't know for sure, maybe they fell out somewhere, but I think the moral is (as I told my husband), Don't forget to tip at the Hilton Bonaventure! Overall, it was an OK hotel, but I don't think I would stay there again. We stayed there only because the conference was there.	
Jun 28 2008 	Great Beds! Important info about parking!	Loved the penthouse style of the hotel, gardens are gorgeous. Ignore peoples complaints about the concrete walls, its not as bad as it sounds! I think it was an artistic choice, some people like it, some dont. The lack of elevators once inside the hotel isn't an issue that bothered me as its not much of walk to any of the rooms. The entrance to the hotel via elevator from place bonaventure has a great upmarket feel to it. The reception staff were very friendly and efficient and we were offered concierge service. The room itself was wonderful, amazingly comfortable bed! Spacious room and nicely laid out. We avoided the mini-bar although it was very well stocked. Fiji water bottle $7! Ice machines can require a little hunting despite signs- dont be afraid to go behind closed doors! Short walk to St. Catherine and Crecent st. Now here is a warning about the parking! Fairly good value especially when compared to surrounding hotels. However, be warned, the ceilings are very low and a mass of pipes covers them bringing the the height limit to 6ft! We drove a truck in and as we went down each level the radio antenna scraped the ceiling. Very tense decent but once parked it is a very safe, standard garage. Pictures attached- doesnt quite do it justice!Overall great hotel, would stay there again and again.	
Jun 25 2008 	Great hotel	I liked staying in this hotel a lot. I booked it through priceline for a ridiculously low price. The location is very convenient - it's right across the street from the main train station and subway. It is in the business district, so don't expect any neighborhood conveniences and liveliness on the streets after 6 p.m. The building - huge office/exhibition center of which the hotel occupies the top two floors is probably the ugliest I've ever seen. The interior design is also 1960's vintage with exposed concrete and wooden panels, but looks classier.The hotel staff was very professional, the room was large, clean, comfortable and well-designed. Free Wi-Fi internet works only in the lobby. For wired internet in the room you have to pay extra. There is an outdoor pool in the courtyard on the roof. Restaurant serves overpriced breakfast, but you can always get decent bacon and eggs for $5 from one of the eateries inside the train station.	
Jun 7 2008 	Nice hotel	My boyfriend and I visit Montreal often and decided to try the Hilton. It is a really nice hotel, but not spectacular.I liked the location the best. If you wanted to go shopping then you didn't need to go outside to get to the mall (very convenient in the Winter!). I also liked swimming in the heated outdoor pool surrounded by snow- a nice touch! The room was nice- I liked how we had a flat screen TV. The bathroom was also nice. Everything in the room was obviously recently updated.Only had a couple of negatives- our mini-fridge did not work so we had them replace it since we wanted to keep some food in our room. Also there was construction going on, but we did not hear this. We only found this out when we followed the signs to the pool from our room and realized (with another few people) that the signs did not actually lead to the pool, but to the construction which ends with a dead end so you need to turn around and go back. Also the drinks in the lobby were REALLY good, but they were a little expensive.Overall I really liked this hotel, and the deal we got for the two nights we stayed was really worth it. I would recommend staying here.	
May 11 2008 	Consistent positive experience throughout serveral stays	The Hilton Montreal Bonaventure is a penthouse-style hotel, occupying the last 3 flours of an office/retail building (Place Bonaventure).Over the last few months, the hotel has been undergoing moderate renovations to rooms and common areas. Although some people prefer to avoid hotels while they are undergoing repairs, the staff at the hotel was great as far as taking steps to minimize inconveniences (noise/disruptions) and was proactive in their communications on this subject - so if you are considering this property, don't let this be an issue.The heated rooftop pool is probably one of the main attraction of this hotel. I would say that this hotel has mainly a business feel, but would also be suitable for tourists looking for a great location (although there may be plenty of more affordable alternatives).The hotel has a small but modern gym (some equipment now featuring small TVs). Room size is moderate and as far as decor is concerned I had one of the newer room during my last stay so i would quote it as being modern and somewhat stylish - although nothing too extravagant.Front desk staff is quite helpful - so are the executive lounge staff. The lounge itself is fine, albeit quite small.The hotel is easily accessible from the Via Rail train station (accross the street/access via underground if raining) so it is walking distance to Old Montreal, shopping and major businesses.Food at Le Crastillon is very good, with above average service	
Mar 19 2008 	Nice Hotel	Nice hotel, not stellar, but nice. Layout was a little strange....there are short landings to get you from floor to floor (no elevator) and the lobby is on the top floor (there is an elevator from the street to this). The room was fine and the pool was nice. It certainly is not the nicest Hilton I've stayed at (aestetically), but we had a positive experience there.	
Mar 18 2008 	Proposed to my fiance at this hotel.....	I stayed here for two nights in July 07' and proposed to my fiance here. We go to Montreal frequently. The hotel is beautiful and prestigious, with a gorgeous courtyard - makes you feel like you're not in the city. Great pool scene on the roof. The rooms were very nice. My problem was that the concierge service ruined my proposal. They left a note which gave it away!! I trusted them with this info to get the room ready (flowers, champagne, etc $$$!), I walk into the room (they did a great job!) but there's this note about how I can't light candles (which I planned to) because it goes against fire code regulations and having the fire dept. show up would ruin my proposal! I mean, all they had to do was leave a note saying no candles. To mention the proposal was a very moronic idea since my fiance and I read it together. I called about this and they offered me a free night's stay. Anyways, great hotel, not sure all the light bulbs are on with the staff - of course, who knows what happened with that particular concierge. If you have never been to Montreal, I do recommend the hotel for it's overall location, service and beauty - my experience was ruined just because of this one idiot move. If you are in Montreal, you must do these things:-have a smoked meat sandwhich at Schwart's on St. Laurent Blvd.-have a steak at Moishe's, Gibby's or La Queue de Cheval-visit the casino-visit the Notre Dame Basicalla (amazing, beautiful)-visit the waterfront during the day and take a river cruise that serves breakfast (book ahead)I try and avoid La Ronde - it's not a great amusement park, but the Monster is a great rollercoaster.	
Mar 17 2008 	Great downtown hotel	My wife and I spent the weekend at this hotel on one of their specials. It is still being renovated, although this should not be apparent. Room was very nice, the bed and bedding was superior. I love to courtyard aspect to this rooftop hotel, als the swimming pool is a unique experience. This is probaly my 10th stay at this hotel since 1977, I have had some issues with the front desk in the past, none on this visit. The hotel is connected to the underground city which is perfect for those inclined to go shopping. We went to the hockey game without having to go outside.Highly recommended.	
Jan 23 2008 	Nice hotel; Concierge a little slow	The good: Hotel was impeccably clean, and the decor in the renovated rooms is fantastic. Hallways are &quot;eh&quot; but the rest of it is good. Pool was beautiful and really neat although it should have been about 10 degrees warmer. I would stay here again for sure as the location was great, too. Very easy to find, easy to get to things if it weren't so freakin cold (See my comments about the concierge below). La Source toiletries are fabulous!The negative: Front Desk. We booked the reservation about 3 weeks in advance and upon arrival, were surprised to learn that the hotel had switched our 2 bed room to a King bed room. Their response seesawed between &quot;sorry, we ran out of those rooms&quot; and &quot;well you booked it as a king.&quot; Nevermind the fact that we had called to confirm this 3 times the week before - so be VERY careful. Luckily, I was holding the printed piece of paper that confirmed what I said, so they had to give us a room with 2 beds, even after calling me a liar. This is usually when you get upgraded to executive floor for free (or, I don't know - an apology) but that didn't happen to us. Oh well. It worked out.Concierge - Chantal seemed friendly, but failed to mention that when she tells a guest something is &quot;just 2 blocks away&quot; she means via the underground. I was more than a little ticked after walking a mile (by 2 blocks, she meant 8) in what I consider a blizzard and walking into a classy restaurant looking like a yeti. I'm not ignorant, I knew there was an underground city, but to obviously first time tourists, this kind of thing bears at least a vague reference to the fact that you don't have to go outside in the monster snowstorm. You'd think she would have mentioned that once, especially when I said &quot;I guess we should take a cab in this snow&quot; and she said &quot;oh no, its a short walk.&quot;Nickeling and Diming: Even Motel 6 gives you free in-room coffee. Seriously. And you can get wireless internet at the Holiday Inn Express and at every rest stop in VT but not at this hotel.Construction noise. Nothing like a saw at 6 AM to say &quot;hello, that's why this fabulous room was only $160 a night.&quot;	
Jan 10 2008 	Run-down and unwelcoming - Not recommended	I stayed in this hotel in Jan 2008 and can only recommend for people to stay away from this hotel. This is probably the most run-down Hilton I've ever been to, terrible concrete facade outside and on the inside not much better. They are undergoing renovations on the top floor, so there's constant noise and moving. The interior of the room leaves more to be desired, makes an impressoin of 1970-ish interior in dire need of an upgrade/ renovations. In terms of cleanliness it is not bad, but they are prettty scrungy even on the complimentary shampoo, etc. I noticed that if there was anythilng left - they don't replenish but expect you to re-use it I suppose. I have asked for extra tea for the room - never got it. The lounge is also under renovations and they don't give out any coupons to compensate for it being closed. They are also not accomodating with any gues coupons, bieng extremely cheap. Oh, and about the pool - it is nice, but also very outdated and is not what you would expect from a Hotel of this level. I've been to Monreal a number of times and love the city, and this is by far my worst experience in any hotel here. Even the Delta is a better choice than the Hilton. Stay away is my best advise...	
Jan 1 2008 	Mediocre hotel	I had a mediocre NYE stay at the Hilton. The hotel/decor is a little dated and the exposed concrete did not give the hotel a welcoming atmosphere. I got a 2-double bed room on the same floor as reception (which is on the top floor of the hotel). I expected a flat screen TV as I saw on the hotel pics, but it turned out to be a regular TV. Hilton beds are always good, but again, the decor is a little old. Bathroom was on the small size and I had a small leak in the shower.However, I got a great rate from Hotwire for NYE wknd ($140s), so I shouldn't complain.The concierge was amazingly nice and gave great recommendations and was really patient.I would probably check out another hotel in Montreal before staying here again.	
