	Fantastic Old Port	We stayed at the Auberge for 3 nights in November. It was a great experience from start to finish. Breakfast was included in the room rate and was sufficient enough to get us started for the day.We were in a room on the 5th floor, the room was great. The only comments are that the in room &quot;jacuzzi&quot; was not much more than a small bath (but the shower is fine!).It was a great base for our stay in Montreal. The Old Port can be a bit touristy, but it's easy enough to find good restaurants for dinner.	
Jan 5 2009 	Lots of charm - and a few quirks	This lovely auberge has a lot going for it: a brilliant location in the heart of vieux Montreal; very large and attractive rooms with bare beams, exposed brick, hardwood floors, and large windows - ours looked out over the river. The ensuite bathroom was a dream: wonderfully spacious and well equipped with an abundance of fluffy towels and quality products, a shower with lashings of hot water and a separate jacuzzi tub. Fabulous!Breakfasts were good. A continental breakfast buffet was laid out, together with menu service that included full English breakfasts, omelettes, pancakes etc. We also enjoyed an excellent dinner one evening in the hotel restaurant.Quirks? As has been mentioned by other guests, there seems to be some under-staffing. Although courteous, friendly and ultimately responsive, the front desk staff person is also responsible for answering the phone and taking reservations - which can mean quite a wait for incoming or outgoing guests. When we arrived, our room was extremely cold, in part due to a faulty thermostat and not helped by the faulty window sealing which allowed frigid Montreal air to whistle through. The brick wall beside the window was also crumbling in places, resulting in small piles of dust and brick fragments on the windowsill and floor. We also expressed disappointment to the front desk that here was no means to make coffee or tea in the room. By the time we returned to our room that afternoon, a portable heater was waiting for us, together with what appeared to be a brand new coffee maker - complete with coffee, cream etc. That's service!All in, an experience that I would recommend.	
Nov 6 2008 	A High Point in our Travels	We were pleased from the outset with this hotel. Truly one of the high points of our 5 state and 1 province tour of the Northeast. The staff was remarkably attentive, although, we thought, at times the hotel was short staffed for all that was expected of them. Still we never got an ounce of attitude from the front desk, the valets, maids, bar or restaurant. All were attentive to our needs. In addition the rooms were nicely decorated, clean and comfortable. The wine and cheese hour is a delight, and the breakfast was delicious... really. This hotel was for us one of the best aspects of our trip to Montreal. We'll go back to Montreal just to stay here again.	
Oct 21 2008 	Reservation Given Away	Do yourself a big favor by calling the hotel if you are arriving late. If you don’t, they will give it away then blaming on the online booking system. It happens to us even with credit card deposit guaranteed. It ruined our trip to Montreal totally.	
Oct 21 2008 	Exceeded Expectations!!	We have just returned from spending four nights at the Auberge du Vieux-Port and had a FANTASTIC time!!!We checked in on September 22 until September 26, 2008.The main part of the hotel is located RIGHT on Rue de la Commune which is directly on the riverfront where romantic horse drawn carriages stroll by all day. Across the street is the wharf where the bateaux-mouche dock and the bike path begins. Around the corner is the Jacques Cartier Square .......This is where we checked-in but we knew in advance that we would be staying in one of their off-site Lofts.However, from the moment of our check-in, we knew we were in for an excellent experience!Fredrique escorted us ((and carried our luggage)) to our loft around the corner on Rue de Vincent which is an EXCELLENT location.Our loft is in a 119 year old building. The lofts are all BEAUTIFULLY &amp; rustically renovated warehouses ...... open ceilings, exposed brick, water pipes, etc ......Next door is a fantastic Italian restaurant ((Galliano's)) where we had TWO delicious dinners.Although our loft ((#604 ~~ HIGHLY RECOMMENDED)) was up SIX flights of stairs (with NO elevator), we would not want to ever stay anywhere else!#604 is over 900 square feet. Please see our scans to get a complete idea of how extraordinary was this loft!The side of the room overlooking Rue de Vincent had four floor to ceiling, double windows. Most of the walls are exposed stone and used brick. There is a WORKING fireplace, WITH wood provided! Although we did not need it, the loft is air conditioned and the heating works great. We didn't have time to prepare meals but the kitchenette is well equipped for our needs....... microwave....... frig .... everything .... There are two dining tables ~~ formal &amp; informal. The furnishings are soooo comfortable and welcoming. Take a look at that fantastic BED!!!! Wireless, CD player, TV, closet space, bath ~~ all great. Comfortable couch and easy chairs..... Desk .......excellent lighting ..... The king size bed and linens are LUXIOURIOUS!! We had daily maid service ..... bath linens are great.At night, the view from our loft was breathtaking! While sitting on the couch, we could see the beautifully lit dome of the Marche Bonsecours down the street ...... Below us, Rue de Vincent bustled but was very quiet ...... we never were bothered by noise during our entire stay. Right next door to our loft is a washing machine &amp; dryer but we did not need to use it.EVERYTHING WAS PERFECT!!!!!We only paid $169.00 a night!Because we were not staying in the main Hotel, we were not entitled to a free breakfast ..... but it only cost us $10.00 and it was GREAT! Also, Loft Guests had extended breakfast privileges until 11:00. Because we are late sleepers, this worked out perfectly.As explained by previous reviewers, breakfast is served in a cozy restaurant below the Hotel Desk. Service was always excellent. We never felt rushed, food was always complete and plentiful and our servers were always friendly, professional and delightful. Our selections included omelets, eggs, waffles, pancakes, assorted breads &amp; croissants, cereals, muffins, fruits, etc ...The Hotel Staff at Auberge du Vieux-Port was always extremely friendly and helpful.LOCATION! LOCATION! LOCATION!!!!!!We didn't rent a car and didn't need one .... so much was within walking distance and our four days were not nearly enough time to scratch the surface.One morning, we took a tour on the Bateau-Mouche..... relaxing and wonderful .....Another morning, we rented bikes at Ca Roule ....... biked to the Marche where we bought picnic sandwiches, cheeses, etc &amp; drinks ....... and then biked along the Lachine Canal to the Parc where we ate our picnic lunch on the banks of the St Lawrence River and then we biked back!!! Thirty Miles, we were told , but it was soooooooooooooo worth it (we are 58 &amp; 60 years old and it was a not-too-miss experience.)I was taught by the Sisters of the Congregation de Notre Dame de Montreal (in New York) so I really enjoyed the Bourgeoys Museum and the Bonsecours Chapel. Even my husband (an Episcopalian) was impressed ......One night, we bought tickets for a light show at the Notre-Dame Basilica. It was called: &quot;Lumiere Fut&quot; and was a little cheesy in spots but, overall, a FANTASTIC show! The Basilica (where Celine Dion was married) is gorgeous during the day but SPECTACULAR at night.Don't miss the Pointe-a-Calliere Museum (Museum of Archaeology and History) ~~ VERY well done. Montreal is very proud of its extremely important history and the Pointe offers a great introduction and over-view to it.Although very French, Old Montreal is completely bilingual and everyone we met was extremely friendly and fun. We live in San Diego but we BOTH want to return to Vieux Montreal...... it was an unforgettable trip ........	
Oct 8 2008 	Lofts - EXCELLENT	I stayed in a loft above a restaurant and could not have been more pleased. The room was fabulous, the people VERY nice, the view fantastic. The noise level was very low on the street and the restaurant, but it was October. The loft was in the middle of the &quot;place to be&quot;. Others I went with stayed in hotels (Hilton, Sheraton) and were very disappointed they did not take the Tripadvisor recommendation to stay at Auberge du Vieux-Port. Can't go wrong staying here - it's where those in the know stay.	
Oct 1 2008 	Greet the staff and get prepared for an argument about almost everything	such a disappointment from beginning to end.The unhelpful disinterested arrogant staff watched us spiral out ofcontrol without helping to give any ideas for visiting local attractions to eating at local restaurants. Just avoid the breakfast, it takes way too long, they run out of supplies anyway and treat you as if you are a real &quot;bother&quot; to be ignored and you're taking up valuable time in their day. The &quot;deluxe&quot; room had trash pickup at 5am in the morning outside your window. Hope that you like lots of morning noise.The hotel should take a course 101 in welcoming guests, especially tourism and making people feel special and happy that they chose to stay there over all the hundreds of places to stay in montreal.In retrospect, we should have chosen another place that a friend recommended. We are Very sad because, this completely ruined our trip to Canada.	
Sep 14 2008 	Simply Superb!	When booking a small hotel in a large city never previously visited, one never knows if you have chosen wisely regarding location, cleanliness, amenities, etc. I must have looked at 100 places in Montreal when planning where we would spend our 35th anniversary, and Auberge du Vieux-Port was absolutely the perfect choice. Excellent linens including robes, high end bath products, multiple breakfast choices such as crepes &amp; omelette's (included) in addition to the buffet evening cheese and a glass of wine (also included). The fact that a small hotel in an old building has an elevator is a rare treat! The location is ideal as it is easy to access the rest of the city via subway or bus from the hotel, and you are in the heart of Old Montreal, which is the part of town to simply walk and enjoy. Some of the very old aspects of the building have been preserved, like stone walls, but everything else is very up to date. Our room, which had an immense jacuzzi tub plus separate shower, did not face the river, of which we were actually glad since that street tends to be very busy and therefore noisy all the time. Our only disappointment was the rooftop restaurant; the on-line pictures made it look like a place for a special event dinner when it's really only a place to stop for one drink, but there are a multitude of wonderful restaurants very near the hotel.	
Sep 13 2008 	Beautiful Hotel with Lovely Staff	Originally we thought we would be in the lofts down the street, but wound up staying on the top floor of the main hotel in a back room overly Rue St. Paul. The suite was exactly as advertised and the terrace was wonderful (the curry chicken salad was quite refreshing on a hot summer day). Frederic greeted us at the door and was always delightful. The hotel itself, is excellently located in the old town and we walked EVERYWHERE.The breakfast that is included is varied enough to not get tiring and the staff are always willing to try and meet any special requests. Check out was easy and we thoroughly enjoyed our stay.The restaurant menu is a bit limited, but the food wasn't disappointing and there are tons of restaurants near by.	
Sep 12 2008 	Absolutely Delightful	A charming old-world boutique hotel, the Auberge du Vieux Port is ideally located with a view of the St. Lawrence River. My husband and I spent five nights in a Deluxe King room which was beautifully decorated. The artwork in the bedroom, corridor and also the bathroom was tasteful and unique. We particularly liked the hardwood floors, exposed beams and stone wall in the room. Robes, slippers and an umbrella were included. The staff was especially accommodating and friendly. Michael, an exceptional and very pleasant concierge, suggested restaurants as well as sights and always asked our opinion of the places we visited. He really went out of his way to be helpful, concerned and considerate. Because we arrived in September we didn’t get to have the rooftop breakfast, a service that ends August 31; however, the breakfast in the lower-level restaurant was very nice. A nightly wine and cheese cocktail hour between 5 and 7 PM was included in the price—a very nice touch. They even had live music.I reserved the room by phone because I wanted to check on parking. I discovered that it would have been better to make the reservation online. Apparently the person I spoke to failed to include my request for a separate shower. However, this issue was resolved quickly and to our satisfaction. We had a lovely room. Although the following problem didn’t affect my rave reviews of the hotel I must mention it. I was told that my car would be in an underground garage. I didn’t use my car during our stay. When we were ready to leave we were originally told by Daniel that it would take ten minutes to get the car. A half-hour later, as we waited in the lobby with our luggage, Daniel, who had been mostly amiable during our stay, suddenly became annoyed and instead of apologizing for the delay he was rather curt when we asked how much longer we’d have to wait. When my car was retrieved I discovered it was parked, not in an underground garage, but outside in a tiny lot. We were eager to get on the road so I didn’t question this. I do suggest that anyone wishing to park at the hotel find out exactly where they put cars. In conclusion, our overall experience was very positive and I highly recommend this hotel to anyone looking for a delightful place to spend time in Old Montreal.	
Aug 21 2008 	Dishonest!	Unfortunately, we never actually had the chance to stay at this hotel... Why, you ask? Well, we received a $200 gift certificate to the hotel as a wedding present. When we finally found a weekend in which to use it (just over 1.5 years later, and after them granting us one &quot;extension&quot;)... we discovered the hotel would no longer accept it. They simply had a policy that certificates expire after 1 year (1.5 years if you beg).To think the hotel actually took $200 as payment for a service, and then placed an arbitrary deadline on redeeming this! Terrible! I wouldn't do business with such a business ever again!	
Aug 13 2008 	Amazing	This is a beautiful, small, quaint boutique-type hotel with all the charm of surrounding Old Montreal. The service (especially Michael), the rooms, the restaurants and the ambience were just what I was hoping for. Full concierge service, full breakfast included in stay, wine and cheese with jazz music included, turndown service and even monogrammed robes and umbrellas in the room. The 'river-view' room was a little noisy during the night, but the other perks made it worthwhile. I would highly recommend this hotel to anyone.	
Jul 30 2008 	Attractive clean and peaceful	Extremely attractive rooms, and I was lucky enough to have one with a wide view over the river.Bed extremely comfortable, bathroom facilities excellent.Copious breakfast, although unfortunately served in a rather dark basement dining-room.Staff on the whole very efficient and pleasant, though with one unfortunate exception.Generally speaking highly recommended.	
Jul 13 2008 	excellent choice	I would like to confirm all the positive feedback on this hotel.It is in a great location with many choices of restaurants nearby.The staff at the hotel were the best I have ever come across - lots of time for you and very helpful - my husband needed a doctor whilst there and Michael did his utmost to assist us.Although I had a lovely room overlooking the marina, I was disappointed it did not have a jacuzzi. I asked the staff to be moved and I was given the first available room with a jacuzzi which I greatly appreciated after long days of walking around.The beds are very comfortable and the rooms are just as they appear on the internet - lots of charm and character.I would definately stay here again and would highly recommend it .	
Jul 11 2008 	some kinks but enjoyable stay	we spent 2 nites at the auberge- 7/3 and 7/4. we reserved a deluxe king room and checked into the room, the a/c was not working. we were told to give it some time. so we went out and enjoyed the city. came back after 11pm and the a/c was still not working. the night manager came up to check and said that it was broken and brought us 2 fans. it was fairly hot that nite and we didn't sleep well.the next morining we spoke to the manager- he was very busy but after he gave us his undivided attention, he switched us to a different room with functioning a/c and ended up comping us the first nite.we would have rather been comfortable the first nite than have it for free but ok.both rooms and bathrooms were very spacious with brick and stone . the hotel itself was nicely renovated and is comfortable and charming. there is a breakfast room in the basement that is lovely and a rooftop bar with river views.asked the staff for restaurant recommendations and ended up at an excellent italian trattoria -cafe via dante in petite italie- not touristy at all with wonderful food and service and noot crazy expensive.the next nite we ended up at chao phraya, an excellent thai place in a non touristy residential part of town.so but for the a/c issues, i would give it 5 stars.	
Jul 6 2008 	Wonderful hotel	My family spent 4 nights at this hotel in late June 2008. We had 2 rooms overlooking the main road. The rooms were charming, much the same as shown in the photos provided on the website. Exposed brick, wood floors. It is a really old building but the rooms are renovated and charming. They are also a good size. Breakfast was served in the basement which is also very nice. The only negative to the experience is the street can be somewhat noisy, but with the windows shut, it was not a problem. The hotel staff was very helpful and friendly. One of the 4 nights was spent in an apartment managed by the hotel in a different building. We changed our plans late and they could not get us a 4th night in the main auberge. The apt was OK and actually a great value at just over $200 a night for a 2 bedroom unit. While it was nice, the main auberge is a much nicer experience, but if you are looking for something more affordable, it is a solid choice. The hotel is in a nice part of the city with restaurants everywhere, although a bit pricey. It's about a 6 block easy walk to the metro. We highly recommend this hotel. We tend to be really fussy and not shy to voice complaints, but really had none during this stay.	
Jul 2 2008 	Nice Quaint Hotel	We stayed here in early March. The hotel is in an excellent location in Old Montreal. The hotel is gorgeous very European. The staff is absolutely excellent, and are truly there to serve you. The rooms have hardwood floors and are very comfortable. Old Montreal at this time of the year is quite dead, the restaurants close early and I didn't think there was much to do. We ended up spending the majority of our time downtown which is about a 15 minute walk from Old Montreal. I have been to Old Montreal in the summer and it is definitely more lively than it is in the winter-spring.	
Jun 30 2008 	Staff neglected to tell us some things	The Hotel itself is one of the most picturesque in old Montreal.We stayed in the lofts, which(we were not told)were about a block and a half away above a restaurant that's owned by the hotel.There was no lift and it was a 2 story walkup-again we were not informed.The lofts are spacious, but the furniture in ours was old and worn.My friends rooms furniture was much nicer.The beds are huge-kings-and pretty comfortable.A huge problem was the windows.I don't know about the rest, but #804 does not have double paned glass and it is very noisy at night and you can hear everything.We only stayed for a night, but that was a big concern.The staff was very helpful,especially the concierge/doorman.They offer valet parking for a fee and will retrieve your car at any time.They also gave us an extended checkout.The hotel itself looks real nice,especially the main restaurant and the location is excellent.	
Jun 30 2008 	Beautiful building excellent location	We choose this property via the Montreal tourism web site's Sweet Deal Promotion, but cross checked available properties here on Trip Advisor.We were very pleased overall with the property, the service, the room and the food (the hotel serves a complimentary breakfast with choice of entree and access to buffet for guests). We would stay here again without question and would recommend it to our friends.Of note: This part of Montreal has heavy pedestrian traffic and is busy at night, which is part of its charm. Our stay began on a weeknight and ran into the weekend. The increase in noise from the street was significant on Saturday night. Our room was located on the third floor, which more or less negated this problem, and if you are sensitive to noise, you might want to try and get a room on an upper level. While there are train tracks nearby, we found that the train itself was a non-issue, even with our windows wide open.	
Jun 24 2008	nice loft	We had a loft at Vieux-Port. The lofts seem to be housed in buildings separate from the hotel. The loft was very spacious, with kitchen, washer/dryer, living area, two tvs, etc. Be aware that you may have to walk up several flights of stairs for the lofts. Their employee Christian was very helpful. We did have a problem with the Internet in the loft; there was no wireless and we were given an ethernet cord so short (18 in. long) that we could not even put our computer on the desk nearest the internet port. Good location in old Montreal.	
May 19 2008 	Old world charm in the heart of Old Montreal	My wife and I visited Montreal for a long weekend getaway and chose the Auberge du Vieux-Port after a quick web search. The hotel consists of five separate buildings, located along the riverside in Old Montreal.We chose a loft apartment, which was clean and well equipped with large windows looking out onto the street. As some reviewers have mentioned, the lofts are not brand new or designer chic, but they are very cosy and comfortable, like a well lived in apartment, with lots of exposed brick and timber floors. The kitchen was roomy and well-equipped, although we didn't use it as the local restaurants are excellent. Like most New Zealanders we don't speak a word of French, but the hotel staff were unfailingly friendly and helpful.If you are staying in Old Montreal, it's well worth renting a bicycle and cycling along the riverside. There are over 300km of bike tracks throughout the city and it's a great way to look around. We had a great stay at the Auberge and recommend it to anyone visiting Montreal.	
Apr 10 2008 	Excellent	My wife and I stayed for two nights in early April and couldn't have been happier with our choice. Room furnishings, desk service, bathrooms etc. were all excellent, but it was a few extra touches with which we were most impressed. First, there is a wine and cheese between 5:00 and 7:00, which was lovely. Guests get a free glass of wine and can nibble on brie and gouda served with fresh baguette. Also, guests get free breakfast. Not &quot;continental&quot;, as is the norm, but hot, cooked, from-a-menu breakfast. Overall, this hotel was a big part of a perfect weekend.	
Mar 24 2008 	An Excellent Stay !	My wife and I stayed 4 nights in March 2008. We very much enjoyed the excellent service. The staff was friendly and very helpful to recommend restaurants and provide directions. The room was very nice with high celings, stylish furnishings and a very nice jacuzzi tub. The only drawback is that the walls seem a bit thin and you can hear street sounds and anyone next door. But, I would highly recommend this hotel and congratualte the staff on an excellent job !	
Mar 4 2008 	Wonderful Inn with a personal touch.	Top notch customer service very clean rooms with quality linens. The Inn has a lovely ambiance and the staff are very welcoming and more than helpful (in English or French). An early arrival in Montreal mid January meant we were at the hotel earlier than expected. We were checked in and given great directions for our itinerary over the next few days, not to mention a few other useful tips and places to visit. I even noticed one of the managers have a discussion with staff on the best fruit to have in the foyer for the clients. Attention to detail seemed to be where their mindset is. The complimentary cheese and wine for the guests served 5-7pm is a great touch. The little bar is cozy, and with some jazz in the evening there wasn't much of an urge to head out to the cold Montreal streets to sightsee. Location is great to visit the Old City and Notre Dame is only 6 or 7 minutes walk away. A tip to go to the Jean Talon market proved invaluable to us foodies. I could go on but....try it out, makes a great winter getaway.K2C	
Feb 17 2008	Very good stay	Stayed on the first floor with the original exposed brickwork. Very nice room, only comment would be the slight noise from the road outside and the trains (100m away).Overall would use again.	
Feb 15 2008 	Gorgeous building - Great service	We booked on short notice and based on the website pictures and some reviews. As always, you never know if the actual hotel is as beautiful as the pictures on the website, there was no doubt we were in the right place. It was warm (considering it was February and -25C without the wind), not pretentious (but classy) and the staff were pleasant, helpful and volunteered useful information. Some hotels you have to do all the work by asking 100 questions, they answered your questions before you could even ask. We were lucky to be upgraded and had a beautiful King Size room with double jacuzzi with a view of the river. The room was welcoming and warm, the food was delicious and the rates were very reasonable. A rare find - definitely recommended.	
Dec 30 2007 	Avoid the Lofts (#805 at least)	Paid a premium price based on what I saw on the computer - very disappointing - expected some character but also some better quality. The only decent piece of furniture was the bed which was very comfortable. The table was a very basic kitchen table with chips in the formica top, the sofa bed was so uncomfortable my son had to put the mattress on the floor to sleep as well as being well-used (like the matching love seat), one of the prints on the wall was sliding out of it's frame, the remote control for the TV didn't work (perhaps because it was a different brand?). Most disappointing, though, was the bathroom. Rather than something comparable to a high end Sheraton - the walk-in glass doored shower and avante-garde wash basin I saw a picture of we had a small, cramped bathroom more in keeping with an average highway motel. The wash basin had several chips in the porcelain, and the cheap plywood door didn't close properly.On a positive note the staff were very friendly and accommodating.The concept of the loft is great - we didn't mind the stairs - wouldn't expect to find a loft on the ground floor! And blends well with the old world nature of Old Montreal's architecture. However, reality did not meet our expectations.Perhaps I should give the hotel the benefit of the doubt - we booked late so perhaps we got the worst of the lofts.This review is more of a warning than a complaint - I didn't complain to management. Why? Because my wife and I were there with our two grown children on a short vacation. The opportunities to do so get fewer as the children get older. The loft was large enough for us to enjoy each other's company, and the city of Montreal offered lots to do. We weren't going to let the loft's short comings detract from our time together - I won't, however, stay there again.	
Dec 27 2007 	Still a good place...	Although it was a better buy a few years ago with the exchange rate and increases, it's still a great respite in Old Montreal. If you wanta ton of amenties like a gym, go to the Omni- otherwise, for quaint, charming, comfort- choose the Auberge.	
Dec 18 2007 	Still a charmer but could use some improvements....	We have not stayed at the Auberge du Vieux Port for a few years, so we figured it was time to revisit this old favourite.The hotel still has its charms, but this year is its 10th anniversary, and the hotel is showing its age in small ways.The upholstered bench in our room had a noticeable hole in the corner, with the stuffing coming out. The caulking around the bathroom sink was all mildewy and deteriorating -- it ought to have been replaced ages ago. That sort of thing. Nothing major, but it all adds up.Also, the Narcisse, the new wine bar, is not as nice as the old Les Remparts restaurant, either in atmosphere or menu.However, the service continues to be impeccable. Staff are friendly and helpful at all times -- they certainly made the stay very pleasant.	
Dec 10 2007 	wonderful	I waited until the last minute to book a trip to Montreal and had few choices as to where to stay. I saw Auberge Vieux du Port and it looked nice so I blindly took a chance. Sometimes dumb luck is the best way to travel.On the way up to Montreal, I took a recent copy of Conde Nast with their annual readers' poll. Turns out Auberge was the number 1 hotel in Montreal and number 7 in all of Canada.I understand why it gets high marks. The staff is outstanding, the hotel is adorable, the location is perfect, and there are so many little things they do well. I was on my own, but was always comfortable and well taken care of. The concierge gave me her card when I checked in -- just in case I had any questions while out and about, and then called my room to make sure that &quot;everything was perfect.&quot;There is a wine and cheese reception in the bar each evening. The bedding rivaled top hotels in Europe. And I could not have been happier in the Old Port section of Montreal. It is magical at night when the lights come on, there are adorable shops, restaurants galore, and art galleries to poke around in.The food scene in Montreal is amazing. I had some of the best meals ever, and felt that had I chosen other restaurants, I still would have. There are so many to choose from.I would highly recommend this hotel if you are looking for a boutique, well serviced, comfortable experience. Oh, and their restaurant was very good too.	
Nov 15 2007	Just wonderful!	Stayed at Auberge du Vieux-Port a month ago. Had a really great tme. Was actually surprised to see it ranked so low on tripadvisor. Staff was just wonderful, our stay wouldn't have been same without them. Would go back any time and recommend it to anyone with no doubt. Ask for river front room.	
Nov 5 2007 	This place is amazing!!!!	We needed a break and this hotel was the answer in spades...from the moment we arrived until the concierge got us in our cab complete with coffees...what a lovely property...the room was so charming and the linens soft and luxurious...beautiful breakfasts each morning and wine and cheese after a full day of shopping just steps from the front door in Old Montreal...we'll defineatley be back...I think this will be an annual tradition for us now....romantic...and we can't say enough about the staff...they were amazing...thanks for a much needed getaway...we're ready for the real world again!!!	
Oct 25 2007	Loved the Vieux-Port....	We spent 3 nights at the Auberge in mid-October, and found the location, service staff, and rooms all that we would have wanted.Also, the buffet breakfast served in a wine-cellar-like room was very good. Although we were initially disappointed that their restaurant, Les Remparts, had recently closed, the concierge made us reservations at other highly recommended places including Restaurant Bonaparte and Pinxto (Spanish tapas).The valet brought our car within 10 minutes each time we requested it and everyone working at the hotel, including the breakfast-room server, went out of their way to be helpful and friendly. In fact, when the woman in charge of breakfast noticed that my husband was making a hot chocolate from the buffet, she offered to go to the kitchen and make a cup with better cocoa and milk (not water). A small nicety, perhaps, but an example of the staff's generous attitude. We liked walking to most places, and the archeology museum and Science center with Imax theater are right nearby, as is Rue St. Paul.	
Aug 24 2007 	Excellent location	We were staying at one of the lofts which are owned by the hotel. On arrival, the staff were helpful and attentive and drove us from the hotel to our apartment located within 50 metres of the hotel. The 2-bedroomed apartment was in an old converted building and beautifully furnished. The location of the loft, in Montreal's old town, was perfect and there were many resturants, street entertainers and shops within a 2 minute walk. Our car was valet parked by the hotel staff and was brought to us whenever we needed it within 10 minutes of a phone call to reception. Our only criticisms of the lofts du vieux port were that the apartment proved to be quite dark and the lighting wasn't sufficient, plus the front bedroom, which faced onto the street was very noisy at night due to the downstairs restaurants.	
Aug 10 2007 	Highly Recommend	The location was excellent. The staff courteous and professional. We were pleased with the room, the breakfast and wine and cheese included. The restaurant was first rate as well. We have traveled quite a bit and found this hotel to be a very good value.	
Aug 7 2007	Very Nice Hotel	We just got back from staying at this hotel and it did not disappoint. We were debating between the other numerous boutique hotels in Old Montreal and were glad we settled on this hotel. I am surprised to see it so low on the the tripadvisor rankings. The location is perfect facing the port, and the other side of the hotel facing rue St. Paul. The hotel is a great intimate size, very high ceilings, comfy beds, clean rooms...and attentive staff. After getting to our room and settling in a little bit, the front desk called to check everything was okay and if we needed anything else...it was a nice touch.A few minor concerns....if you are sensitive to sound, avoid staying on the st. paul side....it was loud at night on the weekend and will wake you up if you are a light sleeper. The elevator is very slow. The restaurant service was questionable...we tried a couple of times to eat on the roof terrace but the service was not very good....lots of food choices in the area, I would suggest going elsewhere...Otherwise a great hotel....I would stay there again.	
Aug 5 2007 	Loved this hotel	We stayed 8 nights at Auberge du Vieux-Port in July 2007 and it was wonderful. Our room was very large and the bathroom was huge. The staff was very helpful. I will definietly stay here again.Just two small issues- our room was right next to the stairs that lead up to the terrace. The noise level was excessive at times. Also, I would have liked the bathroom lighting to be a little brighter.	
Jul 23 2007 	Wish We Spent Honeymoon Somewhere Else	My new husband and I had high expectations about the Auberge du Vieux-Port when we arrived. We had seen pictures on the website...but were so disappointed with our stay there. This was our first stay on our honeymoon -- 2 nights at Auberge before heading onto Quebec. It was unseasonably warm during our stay in Montreal and our room was located on the top floor. During the middle of the night, a rainstorm came through and the ceiling broke and water ended up dripping onto our bed. We had to physically move the bed to make sure there was not going to be water damage. The air conditioning did little to improve the situation -- it was stifling in our room. We must admit -- we had a wonderful service during out stay...with many apologies from the conceirge. They waved our parking fee -- but that was about it. I would not recommend staying here.	
Jul 15 2007 	Great spot..	The Auberge is quite a romantic place to stay in an utterly romantic town! The rooms are gorgeous, the staff works overtime to make sure everything is comfortable. My only advice is to try and get a room that faces the port...the street side can get a little noisy with all the merriment going on in old Montreal.	
Jun 27 2007 	Great service terrible food!	We have just returned from a week-end in old Montreal. We had reserved a room at the Auberge and paid extra for a river view. A view, in my mind, would mean that you would have a clear view of the river but unless you were on the fourth or fifth floor this was not the case. The hotel is at a great location... close to shops and pubs and the service was phenomenal but do not get the package that includes a four course meal. First of all you do not get to choose the four courses and the majority of the meal was inedible. The ceviche was more like sashimi, the lobster ravioli was terrible and the fois gras was fois gras. The only thing that saved the meal was the filet mignon... it was delicious. But I could have saved money and eaten a better meal elsewhere.	
Jun 20 2007 	Very Nice Hotel in a Wonderful Location	We stayed at the Auberge du Vieux-Port for two nights while in Montreal as part of our Honeymoon. The Front Desk staff was very nice and made sure we had everything we needed. They also gave us some information regarding things to do around Montreal. The hotel is only 27 rooms and our room had everything we needed. It appears to be kept up well and probably had been renovated in the last few years. You also receive a ticket for each night's wine and cheese reception in the bar. The location of the hotel is very central to the older part of Montreal and makes it very accessible to the city. Overall the hotel staff is very accommodating. The only issues we had were trying to get their wifi to work with a code that they provide. I had to call the front desk numerous times to get a new code and finally gave up. Also, check your bill when you leave as they charged me for both nights even though I had already paid a deposit in advance when I booked for the first night (which it does not tell you on their website when you book, it was the next day I received an email saying they would charge me the one-night deposit).	
May 23 2007 	Had a most enjoyable stay!!	While our directions from Expedia left us in the middle of somewhere and we had to call someone at 2am at home to get proper directions we arrived quite weary. The doorman was not there, but the front desk clerk was more than happy to assist us with our luggage.The room was warm and roomy. The windows were huge which provided us with much sunshine and a great view. The wood floors were a nice touch. We were there during the coldest week in Jan. many of the shops and restaurants were closed until April. The staff was more than happy to assist at any moment, especially with dining recommendations. Mattieu, the doorman, went out of his way for us many times, to call a taxi or bring us something that we left in the car. The cheeses at the wine reception were excellent as were the breakfasts. I would stay here again in a heartbeat!The location is easily accesible to any area of Old Montreal and Montreal.	
Apr 11 2007 	Didn't meet my expectations	I booked a deluxe double room with a view of the river at the Auberge du Vieux Port for under $200.00 per night. The price included breakfast, an evening cocktail hour, a Jacuzzi tub, and I thought I was getting a great deal. However, the hotel didn’t live up to my expectations even for the price. I’ve stayed at several boutique hotels in Montreal and Quebec City, but I didn’t find the Vieux Port up to par. When we arrived at the hotel, we had to carry our bags from the car in the snow, while the doorman looked on. Once the bags were in the hotel, he was only too happy to wheel them up to our room. The room itself was very large, but oddly furnished with an eclectic mix of old world reproductions and modern boutique touches. It didn’t seem to work. In addition, the room was always making some kind of noise, either the bar fridge was rattling, or the heating system was whirring, or the neighbours’ television could be heard through the walls at all hours of the night. I don’t usually have difficulty sleeping, but the noises kept me up or woke me up most nights. The sparse cold breakfast buffet was augmented with hot entrees from the menu at no cost which was a nice touch. Unfortunately, I was not too impressed with the food. Everything looked nice, but didn’t have much taste. Both at breakfast and dinner, they seemed to be more concerned with style over substance. The restaurant itself is in the basement and contains remains of the original wall around the city. Again, however the décor in the restaurant was a mix of historical architecture and faux facades made to look historic which in my mind made everything look fake. I understand the hotel is due for a renovation in the near future, so in the meantime try one of their sister hotels – the Nelligan or Place Des Armes.	
