	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Jun 6 2009 	Loved Le Cantlie Suites	Upon arrival, we were given &quot;a panoramic view&quot; room which overlooked the city all the way to the St. Lawrence river. The room had a kitchenette and a bedroom seperated by French doors. The room size was adequate, though the kitchenette was small and not well-stocked. The king size bed was extremely comfortable - the best of our 3 week trip. Only complaint was noisy neighbors, slamming doors, fighting, yelling, etc. Not the hotel's fault at all. All staff members were friendly and accommodating. The location was superb, right in the heart of Montreal - lots of shopping, restaurants, museums and sightseeing. Parking was 22/day CAD with in/out privileges, not outrageous for a large city. There was a rooftop pool, but it wasn't yet open for the season. Would recommend without hesitation and would certainly stay there again.	
May 29 2009	If it's good enough for the Ritz it's good enough for me	Although a bit far to walk to Vieux Montreal other hotels nearby include the Ritz, Sofitel and Omni hotels. Shopping is just around the corner and although I didn't get to check them out the hotel is in the museums quarter and a few moments from McGill university. The metro is also just around the corner.There were three groups of us staying in three different suites and only one of them turned out to be really tiny. However, I can't comment whether it was the same price...Staff could be a little more friendlier but over-all they seem to do a good job. The rooftop pool is also a pleasant surprise and over-all I would rate this hotel positively.	
May 27 2009	Great location Friendly Staff	I had booked a package which included lodging at Le Cantlie Suites. To be honest, as it was part of a package, I did not have high (or even moderate) expectations. I was very pleasantly surprised upon arrival. The hotel is located very centrally in Montreal. Rue St. Catherine, Rue Peel, Rue Bishop are all very walkable. Even in the cold weather. Even better, the hotel is not noisy despite its location. Sleeping should not be a problem. ATMs were also situated a few doors down. The hotel staff are extremely friendly and knowledgeable. Questions are answered politely and easily, they know what they are talking about. Express the slightest concern of a destination's whereabouts and they are happy to provide you with a personalized map and directions. The rooms are clean and comfortable. Also quite spacious. Ours, Room 1000, was equipped with a gleaming bathroom, a kitchenette (mini-fridge, coffeemaker, sink, counter, microwave), a desk, closet, TV armoire and two queen-size beds. We did have some trouble maintaining a constant temperature in the shower, it varied between hot and cold without warning. But that was our only complaint.Tip: In the winter, there is an ice bar adjacent to the hotel. Good for, at the least, some interesting photo ops!	
May 20 2009 	Great Price and Great Location	Just back from a May 16th weekend. No issues what so ever. I have stayed here about 10 times and you get good value for your dollar. I stayed at the Loews, 2 weeks prior , and can't justify the extra money..My only complaint, is I wish the balconies were accessable. They are locked and you can't open them.Otherwise, clean, big rooms, nice beds and good location.	
May 19 2009 	Very Enjoyable Stay	The room is very clean, spacious, and the bed and sheets are so comfortable. We usually don't mind so-so budget-priced rooms as long as it's clean, but we got a great deal for the room and this hotel is a great value. Yes, the TV is a small CRT, but we didn't care. The kitchenette came in handy because we were both under the weather and we were able to make soup. Location is close to the Peel metro. We parked our car in a garage (cheaper than the hotel one) for three days and didn't need to use it until checked out and left the city. No noise problem. The staff are very nice and helpful at the front desk.	
May 6 2009 	Some reviews are true others are not. Judge for yourself.	I read alot of reviews after we had booked this place online and had nightmares the week before we left. Nightmares of dirty rooms and horrible staff and wallpaper peeling off walls. BUT the hotel is very nice, and some reviews were helpful. If you drive an suv, dont expect to park at the hotel, but the parking lot you do get is right around the corner, no biggie. And.... expect that since you booked online that they &quot;overbooked&quot; and you won't get the room you want... but you did get a fantastic deal. We wanted a king suite non smoking but all they had was smoking. Okay gross... but they put this little machine in there to clear the air and everything was fine. Okay and the view... if you book directly with the hotel I'm sure you can suggest a view... the best view is the top floors at the front of the building... we were on the 4th floor at the back... great alley view if thats your thing. Bathroom was nothing fantastic, bedroom was awesome and clean, tv is outdated. Kitchette was a mini fridge, microwave, stove and it DID come with soap to clean up. Pool and rooftop must be nice int he summer, pool is seasonal and nothing spectacular (other than being ont he roof) BUT we were not in montreal to stay in the room. The hotel is a great location, we walked to Mont Royal (30 mins to the top), Old Montreal (1 hour with a few stops) and Catherine st shopping (10 mins). I highling recommend visiting the restaurents on crescent st. Try L'Academie for gourmet food and atmosphere at mcdicks prices!!! Long story short, I'd do it again!	
Apr 5 2009 	clean comfy beds friendly staff	although the rooms are old, they were was very clean. The staff was always smiling and friendly. Beds were soft and comfy, i slept like a baby. And being in the 20th floor of the hotel, we had a great view of the city. (cons: breakfast and wireless internet is not free.)	
Apr 4 2009 	Stay away from this hotel	I just wanted to say that we were charged double for one of the rooms. They never fixed their error. We were never reimbursed. I do not think they even tried. I found them dishonest.	
Mar 27 2009 	Great location and price if only ...	Great location and price, if only housekeeping were on top of things and you could actually have a bath! My teenage daughter and I stayed during March Break - it was great to have the kitchenette with microwave, empty bar fridge and basic kitchen supplies, if only housekeeping had cleaned it up daily, and emptied the garbage. And relaxing in a nice bubble bath was out of the question, as we were told &quot;None of the bathtub drain plugs work&quot;. Sporadic and unusual supply of towels didn't make up for it. Safe, good location and price, though, for exploring downtown Montreal!	
Feb 23 2009 	Excellent Value - GREAT Bedding!	Booked this hotel through TripZoo Top 20 promotions. Bottom line is that my bill came to $124.00 for one night - that included the room, taxes, valet parking, american breakfast for two, coffee service for two and a free appetizer with the purchase of two drinks! The hotel is right smack downtown in the heart of the city so you can walk to anything or take a cab for little money. The staff were extremely accomodating even when I asked to switch rooms mid-visit due to an altercation with the person who accomanied me (nothing to do with the hotel). The rooms all have a european kitchen - inside a closet, but you have a fridge, sink and range with two burners, dishes, pot and kettle. The ICE Bar in front of the hotel is very cool and great for smokers! Great photo ops too. My favourite part about this hotel was the BEDDING...pillow top mattress, great sheets (definately high thread count) and warm fluffy duvets!Amazing value!	
Feb 6 2009 	Excellent price for room and location	The Cantile location is fantastic! You are right on Sherbrooke. Few blocks from subway, McGill, underground city, and restaurants. For the price of the location you can't complain too much, The staff is very nice and helpful. Rooms are clean and lots of space. You can hear your neighbor when taking a shower (old pipes) but that was all I heard.	
Jan 20 2009 	Great Experience at a Great Price	This hotel was fabulous for the price we paid. It is located within walking distance to shopping and sights. ( a good walk to Old Montreal but my 65 year old mother had no problem!) The rooms were perfect for our girls' getaway week-end, very roomy and very clean. The staff was very friendly and had no problem speaking to us in English. We would definitely stay here again. The best Indian restaurant I have eaten at is right around the corner!	
Jan 16 2009	Good value and location. Good for families or groups	We stayed at Le Cantlie for a friend's bachelor party. The rooms were fairly large and included kitchens. It was centrally located and was a good value for the $$. I would especially recommend this hotel for groups and families, since the rooms are large. We didn't eat in the hotel, but the dining facilities did not look that big.	
Dec 3 2008 	Greatly Surprised	When we arrived at the hotel we did not know what to expect as reviews were mixed...we arrived earlier than we could check in but they took our luggage without any hesitation so that we could walk around the city with greater ease. Booking on Travelocity we were concerned that we might not get the same quality service but no one at the desk cared and everyone was polite and helpful when needed. The rooms were clean when we arrived and were cleaned every day. They gladly offered directions and suggestions about restaurants and places to go. When we checked out they took our bags once again so we could spend a few more hours in Montreal before we headed for the airport without any extra fee. We would stay at this hotel again seeing how the price was excellent just as the service was!	
Nov 26 2008 	nice place	Stayed at the Cantlie from Nov.20-25 for the Grey Cup.Rooms were fine with all amenities anyone could want.Everything worked just fine and lots of hot water which is not always the case with some hotels.Would be fine for families with kids as rooms are a little bigger than most.We never ate at the hotel as we thought prices were a little high.Beds were comfortable and bedding was changed every day.Yes there was a $1.00 charge for the phone,but not a big deal.The only thing that was a negative ,was the room rate was different than had been quoted,but after a very small discussion,they honored the rate that was quoted to me.I found all the staff that we had contact with for our stay to be very pleasant.Would stay here again if had the opportunity to visit again.	
Nov 8 2008 	Great Hotel at a great price	This review is coming late since I booked the Le Cantlie for my brother's bachelor party which was in early September. I was hesitant at first from reading some of the bad reviews but after staying here, I don't know what all of the fuss was about.The hotel was very reasonably priced. I was worried about the parking situation from the previous reviews, but I had no problem getting a minivan into the garage (we did get there on a Thursday). The staff was pleasant and very helpful. On the first day we noticed that the A/C was not working that well. We called the front desk and in a matter of minutes, their maintenance staff (it was this little old lady who was funny and spunky along with her husband) came right up and fixed the problem.The rooms are fantastic. The french doors that separate the beds from the living room/kitchenette are a really nice touch. The only thing that was missing was a flatscreen. If you end up traveling when it is warm out, the rooftop pool is also nice (only problem is that you cannot bring drinks to the pool).The greatest thing about this hotel is the location. We walked to most places on St. Catherine and St. Crescent. Although St. Laurent you are definitley better off in a cab (which is less than 10 min away but it can be 20min with traffic). I believe you can also take the subway but we did cab most of the time.Also, the hotel is located between 2 banks. I was charged by my bank a 3% conversion fee for using my ATM card. BUT one of the banks only charges a $3.00 conversion fee if you bring in cash to the teller regardless of how much you want to exchange. (you have to be there when the bank is open obviously).I did not have any problems with this hotel. If I ever go back to Montreal (which may be a long time since I did a lot of damage to my mind and body on this trip) I would definitely stay at Cantlie.	
Oct 28 2008 	Nothing Like the Picture Unfriendly Staff and No Stars	Telephone didn't work first day so room was changed and still worked intermittently, staff thought it funny. Local calls 1$ which was only advised in 1mm writing on telephone. No internet signal (but still charged). Unfriendly staff unless manager around. Room adequate but over-priced for condition of old hotel and rooms. Needed to extend stay 1 additional day but chose to leave rather than stay another night here.	
Oct 14 2008 	Luxury accomodations at budget prices	I booked a room at The Cantlie Suites based on the low room rate and was expecting budget accommodations. What a surprise to find out Cantlie is more like a luxury hotel with the biggest rooms I’ve ever seen. The views are great and the location is within walking distance from all the major downtown hot spots. I’ll definitely be staying there next time I’m in Montreal.	
Oct 12 2008 	Outstanding Value	Very pleasantly surprised by the value, comfort and service. We only paid $99/night including breakfast. The location was great - Sherbrooke near the Ritz, Sofitel and the major museums. Room was clean and comfortable although decor is out of style. Staff have provided excellent service.	
Oct 7 2008 	Clean Quiet Great Location	I booked 2 rooms for our family ( my husband, me, 3 teenagers) 4 weeks in advance using priceline. I got the Cantlie for US$90/night per room. After reading the mixed reviews on TripAdvisor, I had some trepidation about staying there. It turned out to be fine. I had requested 2 weeks in advance 2 adjoining rooms, and because I had booked on priceline, they could only try to get two rooms on the same floor. We wound up with 2 rooms right next to each other.Each room was a good size, with a fairly small bathroom and efficient kitchenette. It was quiet most of the day and night. The beds were comfortable and the rooms were clean. The decor was dated/worn, with burgandy carpets and striped wallpaper.The staff was pleasant, professional and efficient. Instead of the hotel breakfast, which was expensive/limited, I would recommend the croque matins at Houtte at Montaigne/Masonneuve or Second Cup on Ste. Catherine/Peel. Also, there were some great designer shops on Mount Royale, east of St. Denis. Beauty's Restaurant at Mount Royale/St Urbaine is great for breakfast all day. The metro is a breeze and we got our money's worth out of a $9 per person/one day pass. Westmount is fun to walk around, but be sure to bring comfortable shoes-- those hills are killer! Mc Gill University is a beautiful campus. This is a great walkable city, with very little hostile vibe.Overall, Montreal is clean, comfortable, chic and centered. People are really decent and relaxed. We felt comfortable with our 3 teenaged girls traveling alone on the metro and walking around.	
Sep 20 2008 	Loved the Cantlie!	My husband and I are in our sixties and usually visit Paris, but Montreal is closer, so . . .Many of the reviews of the Cantlie that we read seemed negative, so we were somewhat apprehensive about staying here. Surprise! - it was very clean, the beds new with pillow-topped mattresses and duvets, large fluffy towels, free newspapers at our door daily. The kitchen was larger than expected: a full-size fridge and stove, though the oven had no baking pan (bring foil if you want to heat the croissant you buy down the street at Pain Dore), toaster, coffee maker, tea kettle, tea pot , can opener and corkscrew, and 2 ice cube trays in the freezer. There was even soap to wash the dishes. The pool is on the roof, with a fantastic view . There are 3 elevators (none I would call slow). Staff spoke several languages and were very helpful, very friendly, arranged tours, told me where to find the Depanneurs (convenience stores) in the area to buy bread, cheese, eggs, milk, fruit.. They will change $$ at the desk, at a good rate. The TV is cable. Breakfast is not included in the price of the room: for $12/person you get a HUGE selection of breads, fruit, cereals, bagels, butter, cheese, jam, peanut butter, juice, tea, and the best coffee in the world. Eggs, bacon and hash browns are $2 extra. More than you can eat. The location couldn't be better: 1 block to the metro, 4 blocks to the Beaux-Arts Museum, 2 blocks to the stairs to the top of the mountain, 3 blocks to McGill University, 1 block to the Underground City - which is where we did most of our souvenir-shopping and ate lunch almost every day (most shops and food places close around 5pm, though the underground malls and corridors stay open - a great way to get around the city in bad weather!) We will definitely stay here again!!	
Aug 13 2008 	Good size rooms but full of problems	Rooms have attached fridge and basic kitchen amenities which is handy. However, air conditioning did not work, windows are sealed shut and cannot be opened. Front desk staff among the most arrogant, rude kind of people I have ever come across. They made it perfectly clear exactly how lowly they think of you for booking through sites like expedia. Obstructive and unhelpful. We specifically put in with our booking that we needed parking. When we got there the front desk just told us it was full and we can go park at some 24hr parking station. Again, their attitude was that we booked through an engine so we cannot expect much service. We checked in late afternoon and when we got to the room, it was not properly serviced. The vacuum cleaner was still there and the beds weren't tucked in. When housekeeping was asked, they apologised and promptly removed the vacuum cleaner but insisted the room has been fully serviced. The only helpful staff member was the maintenance gentleman who tried to fix the air conditioner. He could get it working for short periods of time. It really wasn't his fault that the unit probably needed a specialised service. There are many hotels in the same area, one should probably try elsewhere.	
Aug 4 2008 	Not enjoyable stay very dated hotel	This is a 3 star hotel; if you are not fussy about decor and renovated rooms it would be OK (great location). However my room was very old, poor circulation (mold in bathroom and bad smell in bedroom area). Windows are SEALED shut, no fresh air possible. Front desk staff seemed very nice but this property is in desperate need of an upgrade. Stay at the Omni or the Vogue (Loews) - the Vogue being my all time favorite. Good luck.	
Aug 3 2008 	Great location!	We stayed for two nights and the location is ideal. St Catherines and Crescent are two to three blocks away. Peel Metro is a block away. Everything was in walking distance! If you drive a minivan or SUV, you have to phone ahead to guarantee a spot in the underground parking lot. We have a minivan and did not phone ahead, so no spot for us. They recommended that we park around the corner at the Marriot (cost of $25/day). Le Cantlie charges $22/day. We ended parking a block away at Mont Royal. Total cost to leave the van there for two and half days - $33! The suite was ideal for our family of 5. However, was a little disappointed in the inventory of the suite. The suite holds maximum of 6 people; had only towels for 4; 2 dining chairs at the table; place settings for 2. Couldn't open the windows as they were painted shut. I would still come back to this hotel as the location is perfect!	
Jul 31 2008 	Roasting alive on the 26th floor with the doors and windows glued shut.	Stayed at the LeCantlie hotel for only one night (Thank goodness). I am from Vermont and so we (luckily) could come back home the next day. Upon checking in, I was informed that because I had booked online (Hotwire) they had ZERO flexibility with my reservation. They said that rooms would not be ready until 4 and that even though I was traveling with 2 other people, they only had a room with one King bed reserved for me. I did enter that there was more than one of us when I booked online. Apparently, three individuals in one bed is normal to Le Cantlie. When I asked if I could pay more to upgrade to a bigger room, I was told that despite the fact that there were &quot;many&quot; available rooms, they could not change anything (smoking vs. non-smoking, number of beds, floor I was on, etc.). They did &quot;kindly&quot; tell me that there was a sleeper sofa in the room we would be staying in. Seeing as our room was non-refundable we had little choice but to hoof it up to the 26th floor; the 26th floor of only 28 floors. There is an elevator, but it would likely fit only 6 people--it's the smallest elevator I have ever seen. If you are travelling with babies, do NOT stay here. Strollers will not fit well on the elevators. Same with wheelchairs. Upon arrival, I was disappointed with the dated decor...including worn maroon carpets and an 80's style motif. The &quot;kitchen&quot; was in a smaller than small closet. Efficient, but dated and looked like it belonged in an outdated RV. The &quot;Yardley&quot; soaps promised were M.I.A., and the &quot;sofa bed&quot; was encrusted in crumbs and lacking sheets. Of course, you would have thought they would have sent sheets up, given that they knew there were THREE of us and one bed and the sofa bed was THEIR proposed solution. Now for the worst of the worst. We were unable to get our thermostat to work properly. Being on the 26th floor in July, it was warm already, and it kept getting warmer. We went to dinner and came back full of great Montreal food. We were exhausted, and headed to bed. At 3A.M. I awoke...sweating and almost short of breath from the heat. I went to open a window...but--of course, they had GLUED all of the windows shut. This would be a good time to mention that the &quot;balcony&quot; door is also glued shut. So, while they are not fibbing when they that there IS a balcony, you cannot use it. I tried messing with the thermostat again, to no avail. Called to the front desk and they had no clue that there were even thermostats in the rooms. They offered to call a maintenance man in the morning. We woke up nice and early and walked to a local coffee shop before getting the heck out of there. Pay the extra 20 bucks online to stay at the Delta…Omni…Sheraton….anywhere but LeCantlie!!	
Jul 28 2008	quirky	We stayed three nights in executive suite 511.PROS:1. Room was beautiful: everything was in good shape.2. Mini kitchen was super clean and very useful: nice oven,  refrigerator, utensils, coffee maker.3. Rooftop terrace and pool were enjoyable.4. Location was on a nice street.5. beautiful lobby6. excellent continental breakfast located on Mezz level with view of Sherbrooke Street, friendly service7. friendly and hardworking Salvadorian maid on floor 5 - I very  much liked this young woman who took the time to talk to me. 8. close to Crescent Street activitiesCONS:1. WIFI did not work. I received a weak signal. I gave $100  deposit to borrow a WIFI antennae, but that also did not work. 2. Receptionist told me to use Business center on the 26th floor,  but it was locked.3. When my husband asked for access to the Business center,  he was told &quot;It is open&quot;, but it was locked.4. On our fourth day at the hotel, another guest told us to ask for the key to the business center. We were given a key and  allowed 30 minutes of free internet time.5. There were three bars of soap and one shampoo in the room  upon arrival. Front desk did give my husband two hand lotions when he went down to ask.6. This lovely room had NO view. We were in a valley of  skyscrapers and overlooked the parking entrance. I very much did NOT like the view.7. Parking was $22 per night, but that was the going rate in the  neighborhood.8.There was no ornate bedcover. However, the white sheet on  top of the quilt make everything seem even cleaner.9.&quot;No access to view fireworks from the hotel.&quot; was what I was  told at the front desk. Later, when I found the exercise room, I  thought that maybe we could have seen the fireworks from  there.I &quot;purchased&quot; a $800 package for three nights and three breakfasts. I say &quot;purchased&quot; because I made a donation to an arts fund raiser and received this package as a gift donated by Le Cantlie Suites.	
Jul 27 2008 	Very Poor Experience	We arrived at the hotel to find nowhere to park, we had to abandon our vehicle to a parking attendant at another hotel for an added charge. We were not noticed about this ahead of time.Our smoke-free room had a definite tobacco smell.We pulled the sofa bed out to sleep on and there was no mattress. We had to use the comforter from the bed.After taking a shower, we were standing in our own water because the drain was blocked.Access to the balcony was advertised but this was impossible because it was sealed shut with paint.The staff at the reception desk were rude and had a haughty attitude.This hotel was our first visit to Montreal. We were so unhappy with the hotel that we left the next day. Hopefully the other hotels in the city are of a higher standard, although that wouldn't be very difficult!	
Jul 25 2008 	Needs a complete renovation!!!	We stayed at Le Cantlie Suites in Montreal from July 13 - 15, 2008. What a disappointment! Don't be fooled by the pictures on the site! Firstly, we booked a non-smoking suite and when we arrived, we were put into a smoking room. When I called the front desk, the staff was apologetic and asked us to come down so they could switch our room. Great! No problem...mistakes happen. We went down and got the keys to another suite, then went up the elevator to our new room....of which the door was open and inside there was a maid.....smoking!!!! I couldn't believe it! The entire room smelled like smoke. It seems she didnt expect anyone in that room and snuck in there to have a quick break. Oh yes...that was a smoking room as well. There were ashtrays in the room. I called the front desk and was told to wait while they looked into it. They called me back 10 minutes later and apologized again and said they would upgrade us to an executive suite. We thought that was generous and once again, changed rooms. Executive suite?!? No way! The only difference between this room and the last two were french doors going into the bedroom. The furniture is from the 70's or 80's. The cold water tap in the bathroom sink didn't work. The bathtub faucet didn't work. The air conditioner took forever to cool the room down. It was 75 degrees in the room. Too warm for me. There was no air conditioning in the common areas of the hotel ie: hallways, elevators (which were old and scary) restaurant etc. On our second night, we had no electricity at all for several hours. The electricity was working in the halls and lobby, but not in the rooms. It was hot, and dark and sticky and scary. The nice things about this hotel are the people at the front desk and it's convenient downtown location. Parking is $24.00 per day and you have to pay for internet access, even with your own computer. I will not stay here again.	
Jul 23 2008 	AC horrible	We've stayed here twice before but this time it wasn't as great. The Air conditioner was horrible. It barely worked and kept going on (very low) for a few minutes and then shut off. The doors were stuck and had to be slammed to shut and pulled hard to open. The water pressure in the shower was bad and wallpaper was peeling off. It definitely needs a facelift big time. Next time in Montreal, we'll be staying at a different hotel for sure!!!!!	
Jul 19 2008 	bus trip/weekend get away	my wife and i spent 5 days on a business and get away. my wife Jewry and our gps were stolen from our room. taken out of looked suite cases. The front desk manager had the nerve to say we must have left it in the room. We checked and then manager then told us his staff had been with them many years and would not do that. Then manager told us we must left our things some where else. The room was old...dirty and in need of make over. The staff was not helpful in recommending restaurants or sights. Would never stay again.	
Jul 8 2008 	Terrific Hotel! Close to everything!	What a great experience we had at Cantlie Suites! Everything went so smoothly that I can't imagine what anyone could find to complain about. We had a luxurious room with a separate bedroom so we could visit comfortably in the living area. Beds were comfortable and linen lovely. There was an ample sized kitchen with every amenity a person could wish for in a suite. The staff were friendly and cordial and made us feel welcome.Being so close to downtown our group spent a lot of time walking. You can take a bus or subway very close to this hotel. We found our way around Montreal easily this way also. A few suggestions of things to do would be to enjoy the shopping on Catherine St., pubs and restaurants on Cresant St., beauty of the Basilica Notre-Dame and Old Montreal, underground mall, and lastly Mont Royal. These destinations are mostly within walking distance to the hotel and if not, a short subway ride away. Easy!If you like a hearty breakfast for less than $5 you will find a little diner on Peel St. about 2 blocks down from the Hotel. If you are looking for groceries for your room you will have to go down Sherbrooke to the 4000 area or a few blocks east towards the downtown. There are endless restaurants within a short walk of this hotel. Try the martinis at the Hotel. A real Martini was such a bonus at the end of a long day.Montreal is full of charm and offers lots to do. Cantlie Suites even furthered my impression of this easy going city. Thankyou everyone for such a great vacation!	
Jul 7 2008 	Great if you love a fishy smell and toenails!	My friends and I went to Montreal for a weekend bachelor party. Being professionals during the week, we opted for what we hoped was a more more quality hotel. Based on the rates for the Le Cantlie on Hotels.com and this site, we chose it, it had good ratings, and a good price. We were extremely disappointed. We rented two rooms, one was adequate, the other was atrocious. Room size was great. HOwever, when I got to our room, we went to put some food in one of the refrigerators, only to find a old, half eaten yougurt container, and another &quot;package&quot; which looked like the leftovers of a meal out. The other fridge was no good either, as the moment we opened it, the room smelled like every bad fish from the Lachine Rapids. We brought this to the attention of the hotel, and it was immediately cleaned.The next morning, upon looking at the floor near my bed, I realized that there were someone elses toenails on the floor. It was obvious from the previous night and the toenails that the room had not been adequately cleaned. I brought this to the attention of the manager, and he said that the hotel had been very busy and sometimes the rooms are not cleaned as properly as they should due to the large turnovers. NOT AN ACCEPTABLE ANSWER. I hope the sheets on my rather uncomfortable bed had been changed, and glassware porperly washed. Due to booking online, he was not able to compensate us. Would never recommend this hotel, nor stay there again.	
Jul 2 2008 	Hated it.	I will start with the good things. The pool/deck on the roof is fun and clean. You get a very nice view from up there. The hotel rooms were clean for the most part, and the beds and pillows and all that was acceptable and comfy.The bad- When I was exploring this hotel and my room. The same question kept coming back to my mind.. &quot;why wouldnt they just fix that???&quot; Things like wall paper hanging down in the bathroom, rusty shower curtain rods, bent forks, scrapes and scratches everywhere. Its sort of like the hotel was donated to the salvation army. They want to sell it for the same price as retail but its all beat up! The balconies look nice, but they are locked! You cant go on them! The vallet parking closes at like 11, so you have to use this damned intercom system to be let into the dungeon with your car. I thought i was going to get the fabulous Delta off hotwire, but got stuck in this crap house instead.	
Jun 20 2008 	Great value!	We landed an awesome deal on Hotels.com and found the hotel to be more than adequate. There was some confusion finding it as one of the pages on the web-site had the address as East Sherbrooke, instead of West. Our room had 2 queen sized super comfortable beds, a kitchenette with stove and refrigerator (could have used a microwave.) My only complaint is that they charge for wi-fi. Staff friendly and helpful. Location is ideal, great restaurants nearby, close to the Metro... all in all, a great value. I definitely recommend it.	
Jun 8 2008 	very well located clean hotel	we got a pretty good rate on hotel cantlie at orbitz. while some of the furnishings were clearly in need of replacement (the couch--which in itself was completely unnecessary for the room--had a few strange yellow stains), the bed was clean and very comfortable, the bathroom had some nice amenities and was more than acceptable, and the hotel was quiet and homey. because this hotel is -right- downtown and only about two blocks from the art museum, i'd give the hotel cantlie a thumbs up and recommend it to tourists, especially if you can get a good rate at a booking website. there may be other hotels that are newer or more hep, but for the price and rating i think it would be pretty difficult to do better for a short stay in montreal.	
May 21 2008 	Spacious and Great!	Me and my girl friend arrived at this hotel for a prom weekend. Needless to say the stay was beautiful. We were very pleased as the room was gorgeous with a lil kitchen , 2 double beds, tv etc. The room was very spacious and smelt fresh although it was a smoking room. The upgrade was made free of charge.The bathroom could be better but it was fine as you do not arrive to a city to remain in the Hotel.The hotel's looks on the outside doesnt do justice to what it is inside- beautiful. Front desk staff very helpful.Definetly will be returning again :)	
May 21 2008 	Its Ok	The Good:The hotel was clean.Location is good, walking distance to everything downtown.Had a small kitchen (stove, utensils and fridge) The Bad:The staff was rude to us (although we were 4 guys in our 20s)The rooms were hot/stuffy. Our windows did not open and the air-conditioning did not work. Other:Parking was $22 a day in their lot, behind the hotel.	
May 9 2008 	An efficient hotel	My husband and I stayed at the Le Cantlie Suites for 5 days, while it is not a gorgeous 5 star hotel, it has all the amenities a person would need for a fun stay in Montreal. The rooms were clean, you even had a small kitchenette if you needed to heat something up or make coffee. They even have a washer and dryer on the 27th floor that you can use which was helpful for us because it was much much cheaper than using the hotel's laundry. We were also on the 21st floor which is non smoking, so we were very pleased that they had designated floors for the smokers and non smokers. The hotel is located right in the heart of Montreal, and the front desk was really helpful in pointing us to good restaurants and sites to see. I would not recommend eating dinner at the hotel because I did not find the food to be very good, but their american breakfast is reasonable at $15 per person. However, there are a lot of breakfast places outside the hotel that are really excellent too. I would definitely stay at this place again because the hotel provided me with everything I needed and was clean, while the room are not as up to date as more expensive hotels, the staff and service was very good.	
Apr 27 2008 	Fine stay	Excellent location to Cresent St. and Saint Catherine Street. The room was clean and comfortable. The staff was helpful and kind. I would stay again.	
Apr 27 2008 	Pretty Nasty	I was not at all impressed with le Cantlie Suites. I was traveling with a teen and a toddler. The location was fine for dining and shopping. We have been to Montreal several times, this visit we stayed our first night at Embassy Suites, but tried to save money on our second night by booking this hotel through Hotwire. Not worth the savings. It is absolutely laughable that this hotel would get the same star rating as the Embassy Suites, which was spotless, included a wonderful breakfast and was absolutely professional. The staff at Le Cantlie were friendly, the room was clean with good beds. BUT --- the entrance to the hotel was absolutely filthy. The carpet at the entrance looked like it had never been swept or cleaned, the dirt and foot traffic had eaten away at the fibers, there were water/salt stains along the sides of the entrance carpet. I realise it is Spring time and we are fresh off of a tough Winter, but cleaning up the entrance should be a constant priority if they are at all concerned about their image... which clearly they are not. The exterior signage gives a run-down picture of the hotel, as well. The elevators were also dirty, with spit stains running down the interior of at least one of the elevator doors, right next to a bunch of nasty messages carved into the door by some well raised guest of the hotel. The kitchen area is laughable, with extremely dated appliances (1950s?), and a nice note letting you know that it is your job -as the guest - to clean the kitchen perfectly or else you will be charged $50... but no dish soap to help you get that job done. My though was that this should be a job for housekeeping, and if they are not responsible for cleaning the kitchen and utensils, then who cleaned it before I got to it? Did the last guest to use the kitchen go out and purchase dish soap, like I did, to clean the kitchen? I have to count on the previous guest to do a sanitary job of cleaning the fork my son is going to use to eat with???? What if it was the same guest who spit on the elevator door? No microwave. Tiny TV in the room, tiny bathroom with a 2 star feel to it, shampoo, but no conditioner. There must be some renovations going on, or maybe it was work next door, as we could hear the sounds of construction work coming through the walls. There are just far too many great hotels to choose from in Montreal --it truly does not make sense to stay in a place like this. Having to view spit running down the interior of the elevator door each time we went back to our room was truly amazing... Internet service is $4.95 per night, but ours did not work, so we immediately called down and cancelled it... I did not want to waste time trying to fix their problem.... the young man who took my call told me it would be cancelled, but then failed to remove it from my bill. I was able to straighten that out as I was checking out.... I think, though I haven't received my credit card statement yet. The hotel is sub-par, even for the $106 we paid per night through Hotwire.... I think a 3.5 star rating was a bit of over-reaching by Hotwire... it shouldn't be just about the amenities which are offered, the most basic in cleanliness and upkeep should be expected. Hotwire had a room w/ two queens available at the Hilton Bonaventure for $89 per night, I got sucked in by the &quot;kitchen&quot; and &quot;suite&quot; style room (not a suite in our case, must a small hotel room w/ a kitchenett built off of it) at Le Cantlie. The kitchen turned out to be well more trouble than it was worth and did not have a microwave oven. Overall, I think that Le Cantlie Suites was a pretty nasty hotel. I would not stay there again for any price.	
