	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Jan 25 2009 	Just takes ONE to ruin it for everyone	I was at this hotel b/c they had an agreement with the NHL for the All Star game. Overall, everyone was fantastic. The room was wonderful &amp; super comfortable. The staff was helpful and the connection to the metro was great for getting around town. Unfortunately it only takes one to ruin it for all. The last night we came back to the hotel for dinner b/c of an early departure the next morning. We arrived before all of the Hockey people from the game on purpose. There were a few other patrons in the hotel bar. The server, Marc, came over 5 times to take our drink order, and managed to only bring 2 drinks for 3 people. He seemed to think it was funny. We politely reminded him, and no drink. He even left his server tray on our table for over an hour. We specifically told him we were VERY hungry. He took our order 3 times, along with us reminding him that we still needed our 3rd drink after sitting there for 30 minutes. We ordered 2 club sandwiches and 2 French Onion Soups. We never received our 3rd drink. We sat for over an hour and never received our food. We had to go to the bar to order more drinks. Finally another table in our area complained and got a manager. She proceeded to attempt to assist the tables, but did nothing except take complaints. The place proceeded to get packed and every table had issues with Marc. One table told him to his face and he laughed at them. The manager finally brought us our food an hour and 1/2 after we had ordered it and the food was cold. We sat for another 30 minutes before she brought us our food back and brought us the same food from before after it had been sitting under a hot lamp for that 30 mintues. My sandwich had a bite out of it, that I had not taken, therefore she had served me my friend's sandwich. When I pointed it out to her in regards to being concerned that I hadn't be served someone else's food or a JOKE, she said, &quot;yes, this was the same plates and food that I served to you before.&quot; She never offered anything to make up for the ridiculous service except for a round of drinks. She brought us our tab, and we had been incorrectly charged for our meal in that we had been charged for drinks that Marc nor the manager never brought us. While we sat with our cold food, Marc also came by and proceeded to try to be cute again. We politely asked him to walk away, and he kept on poking at our food and plates and made the comment, &quot;Well I guess you will just have to sit there longer, huh?&quot; We left the bar and went to the front desk to complain since the manager had continued to fail at providing proper service and managing the situation. Meanwhile, all of the patrons on the side of the bar where Marc was working LEFT the bar. The front desk handed us a complaint card and did nothing about it. The also did not correct our bill from the bar where we were incorrectly charged for our meal and beverages. The front desk person seemed completely fake in concern for the matter. If you have a MAJOR business such as the NHL coming into town, would you not be sure to have your most quality staff on hand? I can't imagine a hotel letting something like that take place with regular business. We had been in the hotel bar the afternoon before, and the service was fantastic. We even asked the manager if it was some sort of joke with the way everything went for us, &amp; she said that she didn't know what was going on with Marc, but that everyone had complained. What king of manager lets that kind of server stay on the floor and run people off? Not to mention a manager that brings a table COLD food once they have already specifically said that they had been sitting there for a long time waiting on their food?	
Jan 24 2009 	Quiet Gem	I'm surprised this hotel is not ranked higher. The room is spacious with beautiful views of Montreal, the bed is one of the most comfortable I've ever slept in at a hotel and the room service food is fabulous. The location is a little removed from the heart of the city, but transportation is right at the hotel and it's easy to get around-- a straight shot to the airport. Join Marriott Rewards program which is free. You'll get points and discounted rates. I would definitely stay at this hotel again.	
Jan 13 2009 	Excellent	This is a great hotel - the location is great to downtown Montreal and to Crescent St if that is your scene. The views over to the city or harbor are phenomenal as well. The rooms were up to Marriott standards and the staff were helpful and well trained. Would not hesitate to stay here again when on business in Montreal.	
Jan 5 2009 	Very Good	My husband and I stayed here for 3 nights for a weekend getaway. The hotel was very nice. The rooms were great. The pool and gym nice. I had a facial which was very good, but no hand/foot massage. The hotel restaurant was great. Staff were friendly. Location very good.	
Dec 1 2008 	Beautiful views great stay!	This was a great hotel experience. The hotel lobby was clean and beautiful and the staff was helpful and friendly. The room they put us in overlooked the city through a large, clean, circular window. This was impressive as we booked the room through their rewards program (and we had expected a mediocre room). Alos useful - the hotel is right off of The Underground in Montreal, so even on our rainy, cold day we were able to wander the city without getting wet.	
Nov 29 2008 	PERFECT HOTEL	Stayed at the Marriott Chateau Champlain after not being able to make it to Quebec City. We arrived without a reservation after traveling all day. Peter at the front desk was more than accommodating - he was friendly and gave us a room with a view - a view to die for!!! The hotel was clean, friendly, centrally located and worth every cent. The room service was great - the beds were so comfortable it was hard to get out of the. Overall I highly suggest this hotel to everyone.	
Nov 17 2008 	Great	I lovd this hotel! We had a beautiful view of the city from the 17th floor. The staff was friendly and access to the metro stop was inside the hotel. The bed was unbelievably comfortable and the linens were amazing. I couldn;t have been happier.	
Oct 29 2008 	Very Nice Hotel Good Location	We spent 3 nights at this hotel in September. The hotel is very well kept &amp; the staff were very nice, The hotel is in a great location, it is easy walking distance of both the old &amp; new parts of Montreal. The rooms are of aveage size and are very clean and have some great views of the city. There are some nice little shops &amp; cafes in the complex which are great for a quick snack or a tasty breakfast.	
Oct 20 2008 	Perfectly pleasant	I stayed here for one night and paid the C$175 CAA rate. The staff were pleasant, the service friendly, the room was large and quiet and the bed comfortable. I booked here because I wanted to be near to the rail station, which is about three minutes' walk away. I'd certainly stay here again.	
Oct 14 2008 	Loved this hotel	Wasn't too sure what to expect from this hotel, but was very pleasantly surprised! A brilliant view of Montreal from the room, and in an area where it was easy to walk to all the major sightseeing spots/transport. Definitely more a business-oriented hotel, but I experienced nothing but great service, and a well equipped room.Great buffet breakfast, courteous staff (one in particular caught my eye!!) and a nice soft bed to fall back into after spending the day walking through Old Montreal!	
Oct 4 2008 	NIce Hotel	I just returned from spending 2 nights at the Marriott Chateau Marriott. For the most part my husband and I really enjoyed the hotel. We really loved the location. A 3 minute walk from the train station, a 5 minute walk to shopping and restaurants and easy to see being 32 stories tall. The concierge was great in setting dinner reservations and city tour. The restaurant was good, but extremely expensive. I was shocked to see my bill. The room was comfortable. The bed was great, the bathroom small and the tv outdated, but had a good picture. I would stay here again.	
Sep 29 2008 	out of the way for a tourist	This hotel was definately OK to stay in, but don't expect anything of character or charm. I had stayed in Marriotts elsewhere and they were more charming and felt more indulgent than this hotel. The location is probably very good for business travellers. I picked it because it was walking distance to Via Rail station and for this reason it was a good choice. But for a tourist everything you want to see is in Old Town Montreal. We walked to Old Town, only 20 minutes, so not a problem and the metro is right under this hotel, so it is convenient. The bed was comfy, the bathroom fine. The restaurant very very good. I just felt like I was in business hotel and there was no romance to it and to me Montreal is a romantic city, so it was not the right choice in my circumstance. The hotel is not cheap, so I would have been better off in a boutique hotel (like one of the snazzi conversions of a bank) closer to Old Town.	
Sep 25 2008 	C'est magnifique!	My mom and I visited Montreal for a weekend; our very first trip together just the two of us and our first visit to Montreal.The Marriott is in a great location for getting around. I am fine with walking further distances but my mom is more easygoing than I. The Metro Bonaventure station is right beneath the hotel which helped greatly. The great shops on Rue Ste Catherine were a short walk away, real easy to do. Vieux Montreal is also walking distance, but if you are not into walking much just pace yourself. Even at night the area is quite safe and I never felt uncomfortable at all.The rooms were a great size and the windows are fantastic. The beds and linens were great although the towels were a little rough and thin. The toiletries were a great treat as they were Bath &amp; Body Works products. The door to the closet swings out and doubles as a door to create a dressing room and I thought that was quite neat. The chairs were worn and frayed in spots but otherwise the room was in great shape. The internet connection for our laptop worked no problem.The complimentary buffet breakfasts at the Samuel de Champlain restaurant were an unexpected treat upon checkin and they were an ideal start to each day. There is an omelet station but I found that the ready-made omelet of the day was just as delicious. There was also a belgian waffle making station and that was fantastic as well.The staff all around were incredible. Very friendly and they do their jobs well.The hotel was beyond the usual price point I look for myself when booking a hotel but I had my mother's comfort and peace of mind to consider. Looking back I would gladly stay at the Marriott again, the price difference was well worth the convenience and location!	
Sep 9 2008 	A gem	Our entire 3 night stay at the Mariott Chateau Champlain was one of our best hotel stays ever after 35 years of travel in North America, the Caribbean, and Europe. It is true to its &quot;chateau&quot; theme and is very European.It is a hotel and we do not expect everything to be brand new and pristine. The beds are extremely comfortable with top quality, impeccably clean linens. The housekeeping itself was excellent and met my high standards. The furniture was in above-average condition. The air conditioning worked perfectly.The windows are the absolute best feature of this hotel offering a spectacular view of the Montreal cityscape. The separate dressing room is a very convenient feature. We did not consider the rooms small-with the dressing room they are sufficient for two.The hotel is overall very quiet.There is no hotel room smell and if one smokes, there is a $250.00 fine. Thank you, Marriott!The outstanding feature was the professionalism of the staff who were extremely friendly and courteous, especially Julie at the front desk. We know Montreal quite well and it is in an absolutely convenient location giving easy accessibility to the metro (under the hotel) and a few short walks to St. Catherine, Crescent, and Sherbrooke Streets. Old Montreal is a nice stroll if you like to walk (which we did).We will certainly return.	
Sep 9 2008 	Good location	We stayed here for 11 nights and booked through their free reservation phoneline in the UK. We asked for a larger room as we were staying for a long time and got a fantastic room on the 28th floor, complete with strawberries dipped in chocolate when we arrived. They also gave us a fridge and left freshly-baked cookies in our room the night before we left. The staff were very friendly and the breakfast choice was large enough to last you past lunchtime. Location was excellent (metro station in the basement) and we were glad that we were out of the tourist throng. All major shopping areas are walkable. Pool area was lovely and relatively quiet when we were there. Only downside is the hotel breakfast can get expensive, but there is a lovely canteen type place at the back of the lobby (you have to walk right past the shops to the end) which serves cheap and fresh breakfast with a smile. Coffee refills for free too. The airport coach stops outside the hotel, just remember to tell the driver when you get on. Very comfortable and easy stay. Would recommend it.	
Aug 27 2008 	No Problems	Stayed here on business and found this to be an acceptable property. Enjoyed the pool and the location was very central. This is a dated property though and could use somewhat of an update. The staff were fine.	
Aug 21 2008 	Great stay at the Marriot	My husband and I booked this hotel last minute on Hotwire. I was so excited when it showed this hotel, as some 4 stars are not..well...4 stars. This experience was great. Check-in was easy. Valet parking was phenomenal. We also got such good advice and pleasant assistance from the staff. I would HIGHLY suggest this hotel. I had never been to Montreal and was unsure what section to stay in. I have to say that no matter where you stay; downtown, Old Montreal, Latin Quarter; traveling around is easy. This hotel was close enough to nightlife, shopping, the cathedral and Old Montreal. LOVED IT!!!!	
Aug 17 2008 	Fantastic Experience	Realizing last minute that we had forgotten to book a night in Montreal on the return leg of our honeymoon, we absent-mindedly booked a night downtown at the Marriott. From the firs minute checking in, the hotel was grand, perfectly maintaned, wonderfully designed, staffed with friendly people, and an overall wonderful experience. The room, on the 31st floor, had a fantastic view of the city, a great bed, plenty of room, working wi-fi, ad generally everything you would need.Top notch!	
Aug 14 2008 	Nice Hotel Great location	Good, clean hotel in a great location. Close to old and new areas of town and directly connected to the subway.	
Aug 6 2008 	A wonderful place to stay for 1st time visitors to Montreal!	Our last 4 days were spent in Montreal and our stay at Marriott Chateau Champlain added greatly in making this a wonderful mini-vacation! After reading very mixed reviews, I was somewhat leary when I learned our Hotwire selection &quot;chose&quot; this 4*Marriot. However, our impression of this Marriott is now very favorable. Our check-in went smoothly (we were able to check in 4 hours early), our room was lovely with a huge picture window framing views of beautiful churches, a park, &amp; city streetscapes. The room was spotless, the bed was especially comfortable, and the dressing room area adjacent to the bathroom revealed spacious drawers and closets to store your luggage &amp; clothing easily. The soaps, shampoo, conditioner, body lotion, and mouthwash are aromatherapy products from Bath and Body Works. The rooms feature free internet connections. A Starbucks is located next to the lobby.The Metro (subway) is located directly below this hotel. The concierge was incredible and all staff were courteous and spoke English fluently. Cabs are always out front when you want a change from walking or taking the Metro. We liked the location and would stay here again. Many restaurants just blocks away or right below in the Underground City. We can't wait to visit again!	
Jul 27 2008 	Great Hotel	My daughter,18, and I stayed here to be in the center of downtown. We were very impressed. The location was great easy walking distance to almost all the attractions, easy metro for the rest, free shuttle to the casino during the daytime. The staff was great, good advise on places to eat, people watch etc. The room was small-ish but clean and nice. Iwould definitely stay here again.	
Jul 18 2008 	Recommend Marriott Chateau Champlain	We had a wonderful stay at the Marriott Chateau Champlain. The staff was very nice, friendly and helpful. The location is good for walking and catching the Metro. The room was nice and clean. This hotel would be good for business or vacations.	
Jul 5 2008 	A Very Disappointing Hotel	This Hotel is 41 years old and it shows. THe staff is unhappy and it shows. We booked this hotel to ensure we had a decent place to stay near Montreal attractions. A word of advise: if you are expecting Marriott Hotel quality, prepare for disappointment. It begins with the parking. No in and out priviledges, and $ 15 for each trip into and out of the garage. A word of advise, save money and park on the excellent parking spots right on the street if you need a few hours in the hotel before you head out. The parking elevators had threadbare carpets and smelt like the wooden elevators from the 50's. The hotel had a sense of decay-looks like there has been no upgrade in a long while. The rooms could quite rapidly frustrate any traveler with the half moon curved design of the glass, an ancient AC control in the room that seems to hiss when it is turned. It seems claustrophoic-almost like the guest being the fish in an aquarium-you almost expect visitors looking into the curved glass at the folks who live in the hotel! The bathrooms are very very tired. Old marble, bad bathtubs, huge shower heads. And worse of all, the staff seems so frustrated, from the concierge to the front desk. Every answer you receive is a curt &quot;no&quot;, and trust me, we are the least demanding folks on this planet. All in all a very disappointing stay in Montreal at this Marriott Chateau Champlain.	
Jul 4 2008	Wonderful Stay	I booked this hotel as a hotel flight vacation package, so I'd estimate the hotel cost was around 150 per night. I thought that was an amazing deal for this beautiful room, which was extremely clean, good sized and with an outstanding view on the 23rd floor. The pool was wonderfully warm, staff were friendly, and the hotel location was great with inside access to the metro and a few short blocks to St. Catherine's street. I will absolutely stay here again.	
Jul 2 2008 	Nice hotel but I didn't love location	Many of the reviews suggested that the Marriott was in a great location of Montreal. If you are not using a car, and walking everywhere, be prepared to WALK! The Marriott is a 25 minute walk to Old Montreal, and a 25 minute walk to the Jazz Festival area (which occurs in the first week of July)... But while you're in Montreal, you will do a ton of walking all day (so bring good shoes). If I were to do it over again, I would have stayed in Old Montreal, where it all happens, this is really the hub of the City. Great hotel though, only positive things to say about the hotel itself. Just warning folks that like to walk that you'll be doing a ton of it if you stay here. I am 33 and in good physical condition, so don't underestimate my sentiment! Also another little tip for those that won't be using a car... Bring a small cooler and a bunch of bottled water, you can save some dough that way.I must note however, that there is a Metro subway stop under the hotel, so if you're into that, it helps.	
Jun 23 2008 	Convenient but not a great Marriott	I travel to Montreal quite often for work but this trip was for pleasure so decided to book something close to the train station. Like most people have noted, a major plus for the hotel itself is that it is extremely convenient to major downtown attractions and the Metro. However, the hotel is starting to show its age. The room itself was clean and surprisingly for a hotel with 30+ stories, the elevators are very efficient. But the bathroom was tiny (like Red Roof Inn tiny) and the design of the rooms is very late-70s like. I also had a complimentary breakfast in their restaurant and although the buffet quality was good, the manager seemed very stern to his staff and from overhearing conversations between staff members and guests, morale is pretty poor. Would I stay here again? Probably, but only because the location is excellent.	
Jun 5 2008 	Average to slightly below average downtown Marriott property	My wife, 2 year old daughter, and I used points to stay at this Montreal Marriott hotel. We got in very late the first night and I had called ahead for hopefully an upgrade since I'm Platinum and at least a cot for my daughter. Upon on arrival from the Airport, we got a very basic high floor upgrade room but no cot which wasn't ideal for a 2 year old at 1am in the morning. However, after calling, the cot did arrive pretty quickly.Our room had not been updated in many years although the bathroom was large size. It seems perhaps that other floors had been updated more recently.The concierge was closed on the weekends but they gave us free coupons for the breakfast buffet both Saturday and Sunday. Overall good buffet options. On Monday morning, the lounge was back open with an above average breakfast upstairs.The location of the hotel was pretty good although the area felt a bit dated. It was very convienent to be near the train station however.So in summary, the hotel worked fine since we were staying free with points but I wouldn't go back if I had a business trip to Montreal. Needs a pretty major renovation to bring it up to speed with most other Marriott hotels are this point.	
Jun 3 2008	Good but not great	Moved here for a business meeting after a stay at Le Square Phillips. It was moving from a chic club to a fern bar. One plus is the large exercise room and pool (they keep it quite warm if you like that sort of thing). Another nice thing is the hotel is a minutes walk from the train station and all the shops and restaurants on St Catherine's street.Nice rooms, friendly, good location... but there are better choices in Montreal.	
May 25 2008 	Nice 	I found the Marriott Chateau Champlain to be a very nice hotel in a very convenient location for explaring Montreal.Rooms are of good size though the bathrooms are very much on the small side. It shows that the hotel was build sometime in the 60s and even though rooms are nicely renovated the age shows in the structure and the common areas. Nothing too negative in the end but still a reason for not making the full 5 points with me. The hotel is conveniently located in downtown Montreal within walking distance to mostly everything (especially the downtown core with Rue Crescent and Old Montreal) and only a short cab ride from trendy streets such as Boulevard St. Laurent and Rue St. Denis. It is also directly connected to a Metro station and the vast underground Montreal complex linking many main buildings and shopping complexes in the downtown core. Very good for bad weather.There are also restaurants directly at the hotel which I did not use - too many good reatsurants in Montreal - and it features a pool and fitness area for relaxation.Overall a very nice but a bit old fashioned hotel without any real personality. If I was looking for a charming boutique kind of hotel I would stay elsewhere otherwise there was nothing to keep me from returning.	
May 19 2008 	Great and elegant hotel - but bit old fashioned	Pros:+ Centrally located, easy access to Metro station by lift from lobby.+ Walking distance for some shopping areas, bars, restaurants.+ Hotel staff: very good service at front desk, lobby, restaurant and bar.+ Comfortable large beds+ Buffet breakfast+ Good soundproof in room+ Good amenities in room+ Clean room and hotel facilities+ Room furniture at good shape and conditionCons:- Room was bit old fashioned but elegant one.I enjoyed very much at this hotel during my business trip at Montreal. Hotel has a very good location for business, pleasure and sightseeing. Hotel staff was very good at service. All in all this is a good hotel and nothing negative to say about it. I will stay here again next time. I recommend to take buffet breakfast as it is a good value. Only one minor &quot;problem&quot; was that on one evening when I came to my room, my bedlinens, sheets were not changed as I requested in the morning. (Hotel saves nature by changing sheets every third day, unless the guest prefers daily changes). I made quick call and they changed it fast. Well done.	
Apr 28 2008 	Nice Hoel	I have stayed for the first time at Marriott Chateau Champlain in 1998, and since then I only stay there when I visit Montreal. Nice rooms with a nice view of downtown montreal (ask for it otherwise you may end up looking at a tower). Dining is good as well. They always have free Internet, and the area is very convenient. The Aerobus will pick you and drop you there from/to the airport. On the negative, the hotel is getting old and needs some renovation.	
Apr 25 2008 	Elegant and convenient for shopping	The Marriott Chateau Champlain seemed to provide the perfect answer for a grandmother and twelve-year old granddaughter on a shopping expedition. The hotel faces a green space and has an elevator, ostensibly down to shopping, but really to the metro with tunnels to shopping centers. We scoured all. Our room was on the 10th floor. It was a pretty standard room with regard to size and furnishings, but had pretty appointments. A dressing area was a nice bonus.We could walk a few blocks to the shopping on Ste. Catherine, but the area is heavy with business buildings, though the Queen Elizabeth is near if you fancy tea in luxury. The stadium is also around the corner.I recommend Santa Lucia for good pizza. We shared one and a salad, which was the perfect amount.	
Apr 16 2008	Great Location	I stayed at the Marriott Chateau Champlain for 3 nights in April. It was the second time I stayed at this hotel. The main reason for chosing this hotel over others is the location. It is close to every place of interest and amenities.There are a lot of elevators so there is practically no waiting to get up or down. The rooms were clean but the bathroom and decor needs updating. The beds are still super comfortable and the sheets are top quality. Reception for the TV needs to be looked at ... so does the connection to the free wifi - the hotel changed the way to access wifi. Now, access is only valid for 1 day which you have to keep logging onto again with a password - such a hassle for something that is free.In all, I would still consider staying at this hotel on my next visit to Montreal.	
Mar 24 2008 	Excellent central location	We stayed in this hotel for 4 nights in March 08. It has half-moon windows on all the rooms (over 30 floors) and is known locally as the cheese grater. It was two visits of 2 nights each, separated by 10 days. We arrived on 7 March and were so pleased we had chosen this hotel because on the afternoon/night of 8 March, Montreal had an enormous snowstorm - one of the biggest for decades. Fortunately we were able to disappear into the Underground City (RESO) beneath the hotel and escape the worst of the weather. We were fortunate to be given a room on the 26th floor overlooking the park on our first visit and on the 9th floor on our second visit. Both had wonderful views. The rooms are not huge but we had 2 double beds and still found plenty of room to move around - we're Europeans so used to smaller rooms anyway. The standard of housekeeping is excellent and the storage space for clothes and other belongings very generous. On our first night we ate in the hotel restaurant. The food was pleasant but overpriced; the Australian chardonnay wine cost us 12$ CAN (+tax and service) a large glass, which we thought a little excessive. On the remaining 3 nights we ate elsewhere - Montreal has a huge range of great restaurants and many are close to the hotel which is right in the heart of the downtown area and on top of a metro station. We were particularly impressed with the friendly front-desk staff, the bellman (he's been working there for 40 years so I certainly won't call him a bellboy) and the porters, who stand outside in all weathers resplendent in their winter clothing.We were very happy with this hotel and will definitely stay there again, particularly as it's the sort of place where they remember you and I know we'd get a warm welcome, regardless of the weather outside.	
Feb 6 2008 	Go For It !	The Chateau Champlain is an excellent choice in Montreal. Though not perfect under a few minor aspects, its general quality definitely outweighs those little flaws. PROS: Views : Every room is equipped with a semicircular kind of bay window (without partitions), which provides STUNNING views of Montreal's skyline. Should you elect to stay at this hotel, indulge yourself and request a room on higher floors. This single feature is worth the price you will be paying. Location : Close to everything. Just grab your shoes and walk to virtually any interesting spot in the city. Also - and this is not a minor advantage - the hotel is linked to the metro, Place du Canada, the CN train station, Place Ville-Marie (one of Montreal's highest skyscrapers) and Place Bonaventure. Only few other hotels in Montreal are directly linked to a metro station and so many shopping centers.Furnishing / decor : Some like it traditional. This is my case, and if it is yours too, then go along with the Marriott Chateau Champlain. Upon entering the hotel, you are greeted by an inviting, spacious and classy hall. So are the rooms, except for the spacious attribute. I got a room which I guess is considered as basic. Nevertheless, its furnishing was on par with North America's highest standards. Overall, the room itself was in a state of perfect cleanliness, smelled incredibly good and looked very elegant. As Marriott got us used to, their new beds are sublime. Every room features a spacious walk-in with lots of drawers. This contributes to reducing the size of the room itself, but is undeniably useful.Service : Bellboys are incredibly efficient with luggage. The vast majority of staff members I encountered were obliging and competent. Still remains some exceptions (see cons). The maid service was flawless. I cannot comment on room service since I did not use it (same for valets). Fully non-smoking property : I personally do not mind, but those who can not stand the smell of cigarette will be pleased with this hotel. If a guest ever smokes in his room, the hotel applies a 250$ penalty and closes the room for an intensive 1-day cleanup. I can not comment on the pool, but it looked fairly good at first glance.Still a few CONS:Size of the rooms : It is true that rooms are on the small side. I would say smaller than usual for this hotel category. For a party of more than two, I suspect that it would feel a little cramped.Bathrooms : Though their spotless cleanliness, bathrooms look overly outdated. I do not really care, do you ?On-site restaurant : The hotel restaurant (Samuel-de-Champlain) is stuffed in a large, dimly lit room with high ceiling and no windows. Food is okay, but prices do not reflect that.Service : Some of the staff members were either underperformant or too familiar. One night, there was a bartender who seemed to be fluent in no language known in North America. Plus, he made a weird comment on the beer brand we ordered. Excessive familiarity and lack of manners are not acceptable in such a property. On that particular aspect, the Ritz-Carlton is still way ahead of the Chateau. Here I will conclude with a special note for event organizers. This hotel is certainly a fairly decent choice for your next event in Montreal, but remain alert. Banquet managers are well intended, but some (not all) of their staff are severely lacking professionalism. In my personal experience, service was erratic, room charts were not always followed, Internet access was a nightmare and lighting / climate control was terrible.But overall, the Chateau Champlain is a wonderful place to spend some vacation time.	
Jan 25 2008	Great hotel with great service	Back in October a friend and I decided to make a quick weekend trip to Montréal for a Canadians hockey game and where looking for a hotel. That would be relatively close to the Bell Center and sights that we wanted to see, after doing some minor research on-line we came across the Marriot. The closeness of the hotel to the arena sold us instantly, along with being able to park in the garage for the weekend as we where driving in from New York. Once we arrived at the hotel check in was a breeze and the staff was very friendly. I had requested an upper floor room (as I had heard the view was the best from the upper floors which is definitely true, if your planning on staying their anytime soon definitely request this before you leave as you will not want to miss out.) and the hotel definitely gave us what we wanted placing us on one of the upper floors with an amazing view. The room its self was very spacious, comfortable and clean even with two double beds. The table had two very comfortable chairs to go along with it and was big enough for two laptop computers to sit on with out having to fight for space. Also their where plenty of outlets located through out the room so that we could not only keep the cell phones charged but also the computers up and running with out having to fight for a jack for either of them. The free wireless internet was also very nice to have available as it was very fast and reliable. For someone who needs to stay in touch with work through out the weekend while I’m away it was nice to not have to pay for this service for once. The television even had a great choice of programming to watch and this was a great way to settle down after a long day of sight seeing and hockey. Also we had purchased some beverages and snacks before entering the hotel (you’ll definitely want to do this as hotel beverages and snacks are quite pricey) and wanted to keep them cold. So once we arrived and got settled in I placed a call the front desk and requested a mini fridge and within 5 minuets doing so the hotel staff arrived with the fridge plus there was not extra charge for having it in the room. Another plus was the access to the Metro right under the hotel as it made getting around the city very easy, even though there is plenty to see within walking distance. After doing some minor exploring upon arrival we found that the quickest way to get to the Bell Center was not actually through the underground walk way but instead heading out the man doors of the hotel and to the left. Also the staff was very helpful when trying to find an inexpensive place to eat as they made several suggestions of really reasonable places to go. Check out when we were ready to leave was also very quick and easy. My friends and I are planning a repeat trip to Montreal again this October and have already decided that we will once again stay at the Marriot.	
Jan 21 2008 	A Lovely Hotel	My husband and I stayed at the Mariott for two nights in January. We were treated exceptionally well during the entire duration of our visit. Check-in and out went very smoothly. Our room was lovely and clean, and the view was beautiful. We were able to walk to Old Montreal and to Rue St. Catherine easily. The staff were helpful and gracious. We would recommend this hotel to anyone traveling to Montreal, for either business or pleasure.	
Jan 12 2008 	Convenient location and comfortable stay	I stayed five nights at the Marriott Chateau Champlain for business in December 2007. I stayed in a &quot;king deluxe&quot; room which had a king bed, table with two chairs, and desk with one additional chair. The room was clean and comfortable and there was free wireless internet which was reasonably fast. It also had a TV with a good selection of both English and French stations.The biggest pros for me were:- Convenience to Metro, you just go down the elevator behind the concierge desk and you immediately find yourself in the Bonaventure station. You can either get on the train or walk into the &quot;underground city&quot; without ever going outside.- Front desk staff, room service, etc., spoke English well and did not make you feel bad for not speaking French.- The $14.00 shuttle from the airport stops directly in front of this hotel. Beats a $35+tip taxi ride.The only reason I did not rate it 5 star was the price of the room service and relative lack of affordable vending machines. In typical Marriott fashion, there is a bottle of water in the room that will run you $6.00 if you open. Vending machines were $2.00 for a can or small bottle. Room service food was good but again very overpriced. Fortunately I found a nearby pharmacy and bought $6.00 worth of beverage, which was 4 bottles the size of the $6.00 one in the room. Also there was a charge for local telephone calls that was not disclosed in the information contained in the room's information booklet.No comment on the parking as I did not bring a car. But as I noted, this hotel is very convenient if you do NOT have a car. And I would not recommend having a car in Montreal during snow season.	
Jan 11 2008	Beware of Parking	Amrericans BEWARE of theft in the underground parking garage!!! While checking out, I left my laptop computer in the trunk of my car for 20 minutes and when I returned it had been stolen along with some jewelry. The hotel took ZERO action to rectify the situation and claimed that the garage (in their building!!!) is run by another company, so they are not responsible. Security in the garage is evidently ineffective and foreign cars are easy targets. I will not make the $1500 mistake of staying at this hotel again. They did not even refund my stay. Their only course of action was a simple &quot;we're sorry&quot;.	
Jan 2 2008 	Tres Bien	My wife and go to Montreal annually and this is by far the most comfortable and best located of all the places we have stayed in going back to 1981. This trip we stayed on the 20th floor facing Mont Royal and the downtown area. What a view when you wake up with the sun shining on the mountain, the skyscrapers and the Queen of the World church. The Bonaventure Metro stop can be reached via a special elevator near the concierge's desk. Within easy walking distance of downtown or Old Montreal. Enjoy.	
Dec 26 2007 	Comfortable - yet small - and centrally located	I stayed at this property during a visit over the Thanksgiving weekend. I booked it primarily because I had not been to Montreal before, so was looking for lodging I knew from previous stays in other locations.The facility as a whole is quite lovely, and feature a wide range of amenities (e.g., restaurants, bars, spa, other services) that exude a feel of a luxury property, even though it is quite affordable. Breakfast is good with great service, and the Senator bar is a nice place to have a drink and socialize. The rooms are a bit small - even for the single traveler - and feel like they may need a bit of updating. But they are clean, comfortable, and feature the huge, half-moon-shaped window that provides great views of the city.The service throughout was very courteous, friendly, and responsive. Check-in and valet services were fairly quick and easy, and the check-out - thanks to use of a TV system - was convenient.A huge plus for this hotel is its location. It is within easy walking distance of shopping and other attractions, and is across the street from the Centre Bell. In addition, a Metro station is in the lower level of the hotel, which provides easy, cost-efficient, and quick access to the many other sights throughout the city.I would stay here again because of the location and amenities, despite the small rooms. It is the convenience of access to Montreal's many attractions that makes the stay worthwhile and a value.	
Dec 20 2007 	Memorable Stay	Myself and two sons spent the weekend of Dec 14-17, 2007. We experienced a tremendous snowstom on the 16th, which closed the airport and cancelled all flights home. The front desk and bell staffs could not have been more accomodating. They would call me on their own, several times in the morning with regular updates on my particular flight and conditions at the airport. They encouraged us to remain in the hotel and not make the trip to the airport, which was the right choice, as everything shut down mid day. There were no issues about staying an extra day or keeping the favorable advance purchase rate for an extra night. As a frequent traveler and Marriott Gold Member, I have expectations that may be higher than most. This staff is worthy of mention. They are a great bunch, who appear to enjoy their jobs and interaction with the public. I cannot say enough about this hotel and staff.	
