	Excellent Marriott Residence Inn Experience	Fantastic location in downtown Montreal with quick access to all points of interest...culture, shopping, and restaurants. We recommend it highly for anyone interested in visiting Montreal.	
Jan 12 2009 	Feel at home	We have spent Christmas holidays in Montreal and although the temperature was extremelly low,the hospitality of this hotel was sincere and really warm. The rate was reasonable.The room was very comfortable and quite and the stuff was always willing to help in every way.Breakfast was more than sufficient .In a nutshell it was an excellent experiance which was worth it to the last cent !!!	
Jan 5 2009 	Simply the Best Hotel In Montreal	Myself and ten of my colleagues spent a total of 10 weeks in this marvellous hotel. I cannot praise the fantastic staff enough. We were all made to feel very welcome and nothing was too much trouble. The rooms are spotless and are cleaned every day. Breakfast was excellent and facilities and location were second to none. Quite simply one of the best hotels I have stayed in and that is no exageration.	
Jan 3 2009 	great hotel!	only wonderful things to say: booked hotel on priceline without paying extra $15 cancellation fee. the day i was traveling, there was a huge storm and couldn't get to montreal from ct, usa. both the hotel manager and priceline were willing to change my check in date until the weather settled down. once i arrived the hotel staff was amazing helping me make the most out of my trip!	
Dec 31 2008 	Great location Great treatment	We have stayed at this Marriott many times over the years. The staff are always helpful, knowledgeable, and charming. The atmosphere is warm and friendly. The location is ideal - close to shops, restauarants, and the Metro.The included full breakfast is also a boon.We have recommended it to many friends, all of whom were equally pleased.	
Dec 31 2008	Very Pleasant Stay	As a birthday gift to my son(Nov. 11th) who lives in Ottawa, I traveled from PEI and met him in Montreal to see a Hockey game between the team he cheers for, the Philidelphia Flyers and the Habs, the team I support. Even though the Flyers won that contest we had a very pleasant stay at the Marriot residence. The personnel were very friendly and helpful as I arrived before normal check-in time and they offered breakfast and expedited my check-in time. The location is very conveniant to attend the game at the Bell Centre. Although there was some disappointment with the quality of some of the breakfast offerings(sausage and scrambled eggs) there was a wide variety of items to choose from and service was excellent.I would stay at the Marriot again and recommend it to others.	
Dec 23 2008 	Right in the center of everything	While recently traveling to Montreal, I stayed at the Downtown Residence Inn. The hotel was conveniently located within walking distance of both the business I was calling on, but many local attractions and restaurants as well.	
Dec 17 2008 	Favourite Place	The hotel is in an ideal location, right in the centre of Montreal.The rooms are spacious (suites), be it that the bathroom is rather small.The beds are perfect.Staff is friendly and cooperative.	
Dec 2 2008 	Residence Inn Montreal Good	Hotel was clean and safe. There was no managers reception on Monday night. Overall, the room was adaquate, breakfast was good. The front desk attendants were very knowledgable of the area and bi-lingual which made our stay above average as to navigating in a different country.	
Nov 24 2008	Great location spacious rooms	We were visiting Montreal in order to tour McGill University, as a possible college for my son. The hotel is ideally located only several blocks from McGill and in the heart of the downtown shopping district. They also give discounts to McGill visitors.The hotel room was quite large, and included a separate kitchen, which we did not have a chance to use, but seemed well equipped. The room rate included breakfast, which was quite generous and much more than the typical continental breakfast. The room furnishings were somewhat spartan, but the room was quite comfortable - it included a sitting area and a dining area. I would definitely recommend this hotel to families who want a larger room, at a reasonable price, and in an excellent location. The staff was friendly and accomodating. They also had free cookies at the front desk.	
Nov 4 2008 	Home Sweet Home	If you're looking to stay at a homey, apartment sort of place, this is for you. I often travel alone to Montreal and this is the best place I've stayed. It's not fancy, but it's safe, comfortable, very clean, and CUTE. I usually stay in a Studio Suite with the kitchenette and &quot;breakfast bar&quot;. It's great! They also offer a wonderful breakfast with everything from eggs, waffles, bagels , fruit, etc. that is free. Pets are allowed, although I have not travelled with one. The hotel is VERY QUIET and just a lovely place!	
Nov 4 2008 	Great Experience	Located in downtown with easy access to everything, great service, extremely helpful staff, complete breakfasts, clean modern facility at an affordable price. Will definitely stay here again on my next trip to Montreal.	
Oct 12 2008 	Marriott Downtown: Great location service and value	3 of us had the opportunity to get together in Montreal in September, 2008. The Marriott Residence Inn downtown was convenient to downtown Montreal, the room was roomy and comfortable, the buffet breakfast was a full breakfast and all in all the hotel was good value. They also had parking next door.	
Oct 6 2008 	a montreal first	the hotel was located fantastically well for visiting the main shopping area and resturant areas and around the corner was the metro station, giving access to outer areas to visit. Our room was very well equipped with tv, internet, dining area and a small kitchen along with the two queen beds and bathroom. Staff were very helpful and good humoured, breakfast was buffet style athough this could have been set out a little better and timing extended to 9.30am as people who were late down at 9am found staff clearing away the food promptly, and all tables full. We went for breakfast at 8.30am and found no problem at that time. The laundry facility at roof level was excellent although a coffee machine would be very welcome. we would definately stay there again for the area its in.	
Oct 2 2008 	Fantastic location	This hotel is located in Peel Street, right in downtown Montreal - near great shopping, restaurants, museums and art galleries. The fare from the airport is $40, so don't let a cab driver over charge you!We piled 5 people into one of the studio suites (2 double beds and a pull-out couch) which fit us comfortably. The rooms are large and clean, extra bedding is provided as is air conditioning (which was needed). The continental breakfast was great - everything from coffee, tea, toast, fresh fruit, bagels to make your own waffles.This hotel also has a roof top terrace which is beautiful. The patio tables and loungers are very comfortable. There is also a pool, which is currently under construction (we didn't know at the time of booking, but were told we could swim at the Marriott a five minute walk down the street is we wished).For extended stays there are washer and dryers located on the upper floor.Definitely a great hotel, would stay there again!	
Sep 26 2008 	Great Hotel - RR	Great Hotel right in the middle of downtown montreal. the rooms were a very good size, and very comftable. the htel in general is kept to a very high standard and he staff are all very friendly and willing to help. the bonus of this hotel is it has a sun terrace on the roof, which is great in the summer!!! I will def use this hotel again.	
Sep 19 2008 	Awsome hotel	I spent two nights in this hotel. It is located in the hearth of Montreal, directly in downtown. The staff is alway wiling to help and very dependable. Would recommend this place to anyone.	
Sep 10 2008 	Great place to stay	Studio and one bed room apartments with kitchens. Staff is excellent, they learn your name when you enter and they all know it.. Clean, quiet &amp; safe. Good breakfast provided.	
Sep 10 2008 	We love this Marriott Residence Inn	We have a son attending McGill University and love to use this hotel when we are in Montreal. The location is ideal. Easy walking distance to lots of shopping and dining. The breakfast each morning is wonderful - hot, yummy food along with yogurts, granola and fruit! The kids all love the &quot;make your own waffle station&quot;. Our rooms have always been very clean and comfortable. The staff is top notch; very friendly and efficient. There are lots of hotel choices in Montreal, but we love to return to this Residence Inn on Rue Peel because we know we will not be disappointed!	
Sep 6 2008 	Great Hotel Great Location	My wife and I stayed at the Residence Inn for four nights over Labor Day weekend and have only good things to say about this property. After reading numerous stories of rudeness and various other complaints about hotels in Montreal we decided on the Residence Inn based on good reviews and our positive experiences at other Residence Inns. Needless to say we were not disappointed. We arrived about 6PM on Friday night and were promptly checked in and helped with our bags. You can park in front of the hotel for 15 minutes or so to load and unload, then pull around the block to the Marriott garage ($19 per day). The hotel was busy this particular weekend for a couple reasons. First, folks took a break as it was Labor Day in Canada as well as the US. Second, I suspect many parents were helping their college students check in to nearby McGill University. I agree with other reviewers about the niceness of the rooms, the facilities and the breakfasts -- all good. A couple recommendations for Montreal first time tourists (as we were).The Grey Line tours are a good way to get oriented to the city. You can book through the front desk and they'll pick you up and return you to the hotel, although as we discovered it's only a five minute walk to where the tours depart. If you can get one of Lester's tours you won't be disappointed - we took the 6-hour city tour.The Rue Peel Metro stop is a block away and is a good way to get around ($9 for an all day pass).Language: we don't speak French but had no problems as everyone speaks English - although sometimes reluctlantly. I found that a Bon jour and Mercie go a long way. Parc du Montreal is a wonderful park very close to the hotel up Rue Peel. Work your way to the top of Mont Royal for a good workout.Although the hotel will grocery shop for you, that service is only available Monday through Friday, and it would be nice to have a grocery store nearby. If you want to venture out Marche Atwater is the place to go. There's a farmers market for fresh fruits, veggies, seafood, etc. Next store to the market is a Super C market which will have everything you need. It's about a 15 minute drive from the hotel.Overall this is a good hotel in a wonderful city - I wouldn't hesitate to return.	
Sep 4 2008 	served the purpose	I stayed here for one night with my daughter last weekend. We went to Montreal for a back to school shopping trip. The things we liked about this hotel were the location, which is ideal for shopping, and the parking. We felt that the $23 for parking was very good because we were able to leave the car there till 4pm on Sunday. They also allow in and out privillages. The staff was nice and helpful, they even held on to our luggage after we had checked out for a couple of hours. The things I did not like were the elevators, there are only two and they are very very small and very slow. This is made worse by some rude and thoughtless people who insist on stuffing themselves in when there is no more room. I can't comment on the breakfast as I do not like such breakfasts, so we went down the street to eat. The room was o.k, not particularly attractive, and it could have been a little cleaner. This is fine for families who need the kitchen facilities but may not be right for those who want a nicer environment.	
Sep 1 2008	Great Service	The staff, were very helpful and attentive to my needs. The location is great with all the attractions at your fingers tips. The rooms are very spacious and comfortable. Enjoy your stay	
Aug 29 2008 	Excellent hotel - felt like home	I stayed at the Residence Inn for 4 nights. The room was large and clean with an excellent kitchen area including a microwave and hob. The hotel offers a grocery service - you only pay for the food and not for the service. As a business traveller, having the ability to cook my own meals was a refreshing change. Location was excellent for bars and restaurants.Breakfast is included and had a great choice of fresh fruit, cereals and hot waffles. I have to go back to Montreal for a month later in the year and will be staying at the Residence Inn again.Michael	
Aug 27 2008	Great Location Great Assistance by the reception Staff	We are a family of 5. We stayed for 2 weeks. The location in downtown is typical. The friendly and well informed reception staff were amazing.We found the complimentary snack in the afternoon very usefull as we cam back from a long day out.	
Aug 27 2008 	Marriott had everything	My wife and I and our two teenagers stayed in the Residence Inn by Marriott in downtown Montreal for five nights. The location was excellent. An easy walk to St Catherines and the subway was less than a block away. The kitchen had all we could use and more. The breakfast (included in the price) was excellent with more choices than I could manage. Internet access at no extra charge was a pleasant suprise. The roof top patio had a nice view to enjoy while using the laundry facilities. This hotel had everything my family could want. We would definitely stay again.	
Aug 26 2008 	Awful	Never stay here. You'll be treated rudely and neither the management nor Marriott will care. Lest you think our rude treatment was somehow the result of our conduct, I should stress that it began at check-in. First they told our party on arrival that we needed to book an extra room, despite our reservation having been put in weeks in advance with no complaints or questions forthcoming. Then we were presented with a litany of rules regarding room visitors and conduct, followed ultimately by the threat of calling the police. Again, this was while we were still standing at check-in. When we complained later, the manager sent us an unapologetic email detailing the hotel rules, rather than addressing our complaint, which was the complete lack of respect from the hotel staff. A second letter to Marriott was ignored. And this for about twice what you'd pay around the corner. I'd rather go to Montreal, buy a tarp, and sleep under it on the street.	
Aug 14 2008 	My Home Away From Home	I just returned from my yearly visit to Montreal and the Residence Inn on Peel Street. I have been coming to this hotel for many years. When I lived in New Hampshire I visited Montreal once a month &amp; always stayed here. Now that I've moved to northern Virginia I only visit once a year. I return because of the friendly staff, cleanliness of the rooms and hotel, its convenient location in Centre Ville, the wonderful breakfast buffet &amp; the home baked cookies that are awaiting me in the afternoon after a day of sightseeing or shopping. I love the recent updates to the hotel. Though the bathrooms are small they have a very sophisticated look. What makes the Residence Inn really stand out is their staff. They all remember me and are so happy to see me. They make me feel so special and it says a lot about an establishment when the same staff members are there year after year. Whether you need restaurant suggestions, reservations or directions everyone goes out of their way to assist you. I have recommended this hotel to friends and family and they love it too. I think of the Montreal Residence Inn as my home away from home.	
Aug 12 2008	Great Staff Great Location Great trip	The hotel is in the heart of Montreal, with many excellent restaurants and museums within walking distance...and of course Ste. Catherine St shopping. The staff was wonderful and helpful, the city is fantastic, and we had such a good time we never turned on the television all week. Having a kitchenette for light meals and beverages is a major plus. We stayed 10 days.	
Aug 7 2008 	Convenient Downtown Location	My son is thinking of attending McGill University so we booked a room for he and I for four days, to visit the university and to explore Montreal. Staff is very friendly and helpful, fully bi-lingual (English/ French - as are most Montrealers the visitor will encounter). Hotel is very clean, and quiet. There is an excellent hot breakfast buffet each morning at 6:30 til 9:30. Location is in middle of fantastic downtown eating and shopping, near McGill (5min walk) and near the Peel St. Metro station (half a block away) from where you can go just about everywhere else (except the airport!) Minor issues are that the elevators, bathrooms and indoor pool are quite small. Also, this hotel is one of few that apparently has no airport shuttle, but taxis are available on less than 5 minutes notice to get you to the airport, which is 20 to 30 minutes away. The rooms also have kitchens and staff will even shop for your groceries! This would be ideal for an extended stay.	
Aug 3 2008 	Need to refresh rooms	As a Residence Inn user I found this hotel average. Even though the location is excellent served with a great breakfast, the rooms need an immediate improvement. The rooms smell musty, while the kitchen and bathroom are small.I was given a room facing Peel street and heard loud music from a restaurant/club across the street well into the night.The staff was very pleasant and accomodating but the hotel needs to renovate it's product.	
Jul 27 2008 	Everything you need in a hotel	We stayed here for three nights at the end of a two week trip across Canada, and it was the best value of all the hotels we stayed in. The room was exceptionally clean and well taken care of. We had a huge bed with great linens and a sitting area with a couch that folded out into a bed. The kitchen in the room allowed us to cook some of our lunches in the room. The grocery store is about 1 km away, but the hotel staff will do the shopping for you for free if you request it. The hotel has a reception each weeknight on the second floor, but we were not able to enjoy that as we were there on the weekend. The breakfast, though was outstanding. Scrambled eggs, sausage, all the continentals and two waffle machines filled us up for the beginning of the day. The hotel was crowded and the breakfast space was full, but they had enough food for everybody. The hotel is within walking distance of Crescent street for some great nightlife and restaurants, McGill is right around the corner, and Mount Royal is at the end of the street.We got a great deal on Priceline for this stay. I am struck by the amount of amenities like the free breakfast and free Internet that you get at the lower-tier hotels in Marriotts chain, when they nickel and dime you for those other options at their flagship locations.	
Jun 28 2008 	Great location! Great fun!	We went to Montreal the first week of January and if you are prepared for the blizzard-like conditions you will most likely love it. The hotel is in a great location with a metro stop across the street. If the weather is nice one could also walk to most downtown locations and maybe even Mont Royal Park (if you are up for the climb). The staff were all more than helpful as well.The room was your average residence inn room. There was also a mini-kitchen in the room cpmplete with a microwave and icebox. the bathroom was a bit on the small side, but the room size more than made up for that. Breakfast was included in the room price and was one of the better breakfast buffets I have seen from a hotel such as this. Also, in the afternoon everyday there was a snack provided (one day it was hamburgers even). a highlight of the hotel would definitely be the rooftop terrace. It provided a great view of Mount Royal and downtown. During the warmer months this would be a nice place to relax above the busy streets of downtown.	
Jun 16 2008 	Nice Hotel but no service.	I stayed here on a short business trip in the spring. The room quality was good and the amenties were first rate. I did however encounter some issues with the Internet and there was no tec support to be found anywhere. Also I was told by the front desk that I would need to give a 12 hr turn around time for someone to call me back from the IT department? I checked out the next morning.	
Jun 13 2008 	Pleasantly surprised by Marriott Residence Inn Downtown	Recently stayed at the Marriott Residence Inn located in downtown Montreal for 3 nights/4 days over the Formula 1 Grand Prix weekend. I selected this hotel as a last resort as our favorite hotels were quickly booked due to the race. I wasn't looking forward to it as I grown accustomed to our usual places. I was pleasantly surprised by the place. Well run, efficient and friendly. We had a studio unit with a king bed over looking Peel St. There was a small kitchen with all the appliances you'd need...fridge, oven, microwave, dishwasher, coffee maker etc.They have a free breakfast buffet too. Location was ideal...right in the heart of where all the race related action is as well as the restaurant/shopping places. My only complaint has to do with $$$. They jack up the daily rates from ~ $149 per night to $449 per night!!! I understand that this is due to supply and demand for the race but it seemed like gouging to me. We'd stay again if our other options were not available.	
Feb 3 2008 	Great neighborhood cozy hotel	We recently went to Montreal and stayed at the Montreal Residence Inn Downtown for two nights and then at the Hyatt Regency for one night. At the end of our trip, we definitely favored the Marriott over the Hyatt.With regards to the room, breakfast buffet, and staff, the Marriott Residence Inn in downtown Montreal is like any other Residence Inn. The staff was helpful, the room was clean, and the kitchen served its purpose. However, there were some great points about the hotel. We did get a large walk-in closet in our room, which was a first for me at any hotel room and a welcomed surprise. We also discovered that you can get great views of Montreal on the terrace. The Peel Metro station is only around the corner, and the neighborhood was just right. There are restaurants and shops within walking distance of the hotel. If I am ever in Montreal again, I will definitely consider staying at this hotel again.	
Jan 30 2008 	Pretty Excellent Stay with Few Hiccups	I had a two day meeting in Montreal and had used TripAdvisor to narrow down my choices. The Residence Inn Marriott Downtown didn't make the list due to the negative reviews and the fact that my Lonely Planet put the hotel in the wrong location, making it seem futher out of the city centre than it actually was. One of my co-workers advised that other employees stayed here when they came into town and we should use it too. Reluctantly, I agreed and booked the Junior Suite.My first impressions? While the furnishings are a little dated, they are comfortable and clean. While the bathroom IS a little small, it is clean and is stocked with above-average hotel amenities. The kitchen is clean, with all amenities provided. Most importantly, no, they did not carry my bags up, but the concierge were more than helpful when I realized I forgot my toothbrush and also provided excellent eating advice, clear directions to a SAQ (2 blocks down, one block to the right). In addition, they do have trollies available to get your backs up the stairs. (They could definitely stand to gain a doorman or an automatic door). Housekeeping did an excellent job and the sheets were always clean and crisp. I will definitely be returning.	
Dec 23 2007	Great hotel in downtown Montreal	I stayed in this hotel with my girlfriend for 4 days and we had a great time. The hotel was very clean and the staff was very nice and helpful whenever we needed. The room was quite big and very comfortable, with high speed internet access, cable TV, air conditioning and even had a full kitchen which we ended up using to cook dinner one night.They also offer a delicious breakfest buffet and on some week days they have a sort of a &quot;happy hour&quot; with snacks in the late afternoon/early evening (everything included in the price).Another good thing is the hotel location, it's a 5 minute walk to the Atwater subway station.When we booked this hotel we thought the price was very good for the time (August) and for the services they provide, so I'd definitely recommend this hotel!	
Nov 17 2007 	Nice hotel but ran into some problems	The hotel room was clean and good sized, with nice beds, a flat screen TV and a built in ice maker in the fridge. Couldn't hear any noise from the rooms next door. Major problem is the size of the bathroom, which was very small for a hotel of this rating. I had to squeeze against the sink when closing the door to avoid brushing against the toilet. Ugh.On the the bad stuff. The kids in the room directly above us flooded their bathroom and resulted in water pouring down into our bathroom. This resulted in flooding our bathroom and the need for cleaning staff to come in, suck the water out and then use fans to dry. The whole process would have taken about 3 hours with an additional 2 or 3 hour wait before the fans would be in the room for a total of 5-6 hours of wet, damp bathroom including 3 hours of having a loud fan roaring in the room.Industry standard is to move us to a new room, when one is available, which they didn't automatically offer to my friend who was in the room at the time. We weren't moved until I returned to the hotel and marched to the front desk to demand a new room. This is unacceptable for a hotel of this quality, particularly when empty rooms are available!Next, the parking lot for the hotel is a) not owned by the hotel, which means b) any damage inflicted by the valet parkers are not the hotel's responsibility. This was not made clear to us, as we arranged for parking with the hotel not the bloody garage. The receipt even has the Marriott Residence logo on it! Needless to say our car was scratched, which in hindsight should not have surprised us as the garage was very, very tight.Would I stay here again? Nope.	
Oct 29 2007 	Great hotel	My wife and I stayed at the Residence Inn October 24 - 26, 2007. She was there to play and I was there to work. I suited both of us admirably.The rooms are a bit on the old side, probably why this is a 3 star as opposed to a 4. The room was a good size and with a fridge, stove, and microwave, had everything we could want. The amenities are good. The buffet style eats are excellent in the morning and again between 4 - 6pm. The hotel is centrally located, within 1/2 a block of thousands (or so it seems) shops underground. It is a 15 minute walk to old Montreal and the shops and nightlife there.The staff were outstanding. Cheerful and helpful. I would recommend this to anyone visiting the area.	
Oct 26 2007 	worst residence inn	room is clean. free internet service. that's the only good thing i could say to this hotel. free breakfast is upsetting since they ran out of everything- waffles, cereals, oj, banana, etc. u asked the manager and he tells u he can't do anything since they don't have the supplies anymore!!!! so, if u want to eat, u have to be there as early as u can. they're supposed to serve till 10am. but, by 9 they won't replenish anymore. go some place else!	
Oct 23 2007 	Good Value; Great Location	This hotel is in an excellent location in downtown Montreal, within easy walking distance of great restaurants, shopping and nightlife. The metro is steps from the hotel, making it very easy to get around. While it is not fancy, the rooms are a good size (loads of closet space), very clean and I found the staff to be friendly and helpful. A decent breakfast (hot and cold) included in the room rate is an added bonus. There is a roof top terrace with a great view of the city. I spent 5 days with my sister and a friend, and it was the perfect choice for us. Would definitely recommend this hotel, and would stay again in future.	
Sep 22 2007 	Enjoyed our stay!	We picked this Montreal Marriott due to its location and the extra amenities of a Residence Inn. It is a pleasant walk to the old city of Montreal and a short, upward climb to Mont Royal. The area is full of restaurants and there is a grocery store about a 10 minute walk away. It is also close to the Peel Street station.Check in was quick and easy. The people at the front desk were always happy to give suggestions and directions. Our room was comfortable and the kitchenette came in handy for lunches and late night snacks.The breakfast that was served in the Mezzanine each morning had more than the usual &quot;free continental breakfast&quot;. There were eggs, sausage, do it yourself waffles, bagels, muffins, cereals and oatmeal served with coffee, tea and juices. In the afternoon during the week a snack was also served. Also handy in this room were three computers that were available at all times to check your e-mail, weather, news and even print your boarding pass.If we were to return to Montreal we would definitely choose this hotel.	
Aug 2 2007	Good location and rested well	The hotel is located pretty decently from good places. Especially if you're smart and plan on using the Metro. This is a big city and like any other big cities traffic is crazy. The views aren't that great until you get on the highest floors. I was on the 10th floor and it wasn't that great b/c I had buildings across from me.The good stuff:BedShower headLocationBreakfast and mid-day mealsInternet was easy to use and was pretty decent speed.Didn't hear anyone next door or above mePenthouse and pool was on the top floor and had great viewsWhat I didn't like was that the A/C was putting out a bad smell. My room smelt like urine when I kept the A/C on too long. The carpet was probably clean but I didn't like the color because it made it look dirty. The bathroom wasn't that pretty but it was usable. My room was small but thats probably what I signed up for because it was cheap for me. If you're coming as a family in a minivan their garage won't fit your minivan so you'll have to park a block away. Overall, the hotel was a good hotel and I don't mind staying here again.	
Aug 2 2007 	Great Location	We just returned from Montreal, where we stayed at the Residence Inn. We had a studio suite equipped with a kitchen, King size bed and pullout sofa. The location of the hotel is excellent. Everything is right outside your door...restaurants, shopping, etc... The hotel itself is in good condition and was renovated 2 years ago (as the front desk agent stated). The room was clean and comfortable. The bathroom was very small, though, but clean and with enough counter space to fit all your toiletries. Plenty of channels on the TV to entertain kids (we had our 1 year old son with us). Should you need a baby crib, the hotel provides Graco Pack n' Plays (we had our own though). The hotel also provides complimentary buffet breakfast each morning, which was great, however, be ready to wait a few minutes for a table to clear, as the breakfast room was packed daily. The assortment of food included scrambled eggs, crepes, waffles, potatoes, cereals, yogurts, fruits, bagels, toast, croissants, coffee, juices, and more. There are also some complimentary PCs in the breakfast room with internet access as well as a large flat panel TV. The only negative feedback about our stay and the hotel in general are the elevators. There are only 3 elevators for the 24 floors, and one was out of order most of our stay. Many times we had to take the stairs in lieu of having to wait several minutes for the elevator to arrive, and most of the time when it did arrive, there was not enough room to fit. Thankfully we were only on the 7th floor. One last note on parking should you have a car... The parking lot is right around the corner and cost approximately 17CAD per day. Overall, our stay was great and we would most likely stay here again.	
Jul 30 2007 	Average - would stay again	We stayed for two nights at this hotel. The room was clean. Bathroom was very clean. The kitchen was well supplied. The location of the hotel was very good. We could walk to most places we needed. I would stay there again.	
Jul 28 2007 	Happy with our stay	We stayed here for 2 nights and had a good time. It is in a great location, a couple of blocks from Crescent St (if you're planning on doing the drunken stumble home) and shopping. Not especially spectacular, but that's not a bad thing - just good, predictable, clean, and comfortable. The front desk staff were friendly and informative.We had a large room with 2 beds and a sofabed - apparently even the sofabed was comfy. We loved the fully equipped kitchen (everything was neatly organized, clean, and easy to find) and the welcome basket waiting for us on the dining table.The full, hot &amp; cold breakfast buffet was a great way to start the day. The make-your-own waffles were especially fun. The staff there were friendly and attentive, and cleared away your used plates quickly.The downside: 1) 'valet' parking is around the corner, but you can cut through the building next to the Residence Inn to access it. I don't know why they don't have the valet right in the lobby. 2) the elevators are very small and slow.	
Jul 25 2007 	shameful to the marriott chain	disgusting facility but even worse people serving you-unwilling to help and ignorant too -managers and asssant manager included- don't bother - stay ANYWHERE else	
Jul 6 2007	Good location no frills.	Not your fancy high-end hotel but great location - near McGill University, downtown Montreal with lots of shops and restaurants around, and a metro stop. Room had a fridge, microwave, stove and sink! Elevators were tiny - think it can only fit 5 people at most. Pool was over-chlorinated so couldn't swim. Desk Staff were very friendly and helpful. Overall good return on the money.	
Jul 6 2007 	Nice stay at the Residence Inn Montreal	The Residence Inn Montreal Downtown was a decent hotel in the middle of downtown Montreal. It was located on Peel Street, a block away from the Metro station. The purpose of our visit was the International Jazz Festival, and it was a good 2.5 km walk to the Festival each way. The rooms were ample size with a full kitchen and fridge. The only downside to the hotel is the very small, very ill equipped gym. It had a total of 1 treadmill and 1 bicycle. For business people and excercise buffs, the gym was not satisfactory. It truly needs an upgrade. The breakfast was typical Residence Inn fare - hot and cold buffet. However, if you arrive after 8:00 a.m., there is a long line and it is very crowded in the dining area. For the convenience and the ample room size the Residence Inn Downtown is worth a stay.	
Jul 6 2007 	Great Hotel	I can only say good things about this hotel. The room was clean and spacious, the bathroom was clean, the water pressure was good. The people at the front desk were very polite and helpful. While I didn't use their grocery service, it was nice to know that the staff will go grocery shopping for you at no charge and place the items directly into your fridge. Had I stayed there longer, I would have taken advantage of this. The breakfast provided was great. They have a spacious dining room so there was always a table. There was a good selection of food, including a couple of waffle makers. The staff kept the area stocked, fresh, and clean.I will certainly be returning to this hotel during my next visit to Montreal.Eric Wittkopp	
Jun 18 2007 	Our favorite hotel	We stayed at this hotel last summer while our family took a driving vacation of Niagara Falls-Montreal-Quebec and then Acadia Nat'l. Park in Maine, US.I thought the location was great. The front desk staff were friendly, available and helpful. They gave us wonderful direction sheets to Montreal attractions which had both directions to the location and the directions back to the hotel. Parking is located nearby, but not on property. We were glad to have the convenience of the valet service within 1 block of the hotel. We used our car several times during our stay.Besides the delicious daily breakfast, which was included in the price of our stay, we also were lucky enough to be there the night they hosted a light dinner reception. We stumbled upon the dinner and thought it might be a light cracker and cheese type thing. However, it saved us the expense of dinner out that night by serving a variety of foods that even our kids enjoyed. Aside from all that, our kids still talk about the rooftop, indoor pool as one of the best pools they've ever played in. I was able to walk down the hall to the laundry room and wash our clothes as they splashed around and burned off some car-ride energy.We've rec'd. this hotel to everyone we know planning a trip to Montreal. I hope you enjoy it as much as we did.	
Jun 18 2007 	excellent downtown option	You can't beat the location of the Residence Inn Downtown -- great shopping and excellent restaurants are just steps away.The hotel itself is clean and comfortable -- certainly nothing fancy, but an excellent deal for the price.Positives: - The staff were uniformly friendly and helpful.- Our room was a bit small, but perfectly adequate. The bathroom is tiny, but again, no complaints beyond that. We didn't come to Montreal to hang out at the hotel.Negatives:- Breakfast is included in the room rate, but it's really not very good. The coffee is especially abysmal. If you're a serious coffee drinker, do yourself a favour and go to one of the several cafes on the other side Peel just south of the hotel.- The elevators are tiny and slow. At busy times, the wait can be long.	
Jun 4 2007 	awesome stay at the marriott montreal	My family and I spent one night at this hotel and want to go back. It was a large room, bigger than I expected and it had a small but full kitchen. A full sized stove, fridge, microwave and dishwasher, toaster and coffee maker. The pool was on the top floor and had a rooftop balcony. It was not a huge pool but we didi ok. The kids aged11 and 13 and 2 gave their approval. It was raining so we didn't sit out on the terrace but it would be nice to do. The breakfast buffet was good, too. The hotel was a short walk to shopping but your car is parked in a garage and you can't get to it from your hotel so you have to take all your stuff with you. Also it would have been nice to go out to get some groceries to cook in the kitchen or to just go out and sight see. I'm sure we could have gone to get the car if we had wanted to but it seemed a hassle with 3 kids. It is also a short walk to the Bell Centre which is why we picked it in the first place. We will probably go back and stay longer than 1 night. We will ask about getting the car out though.	
Jun 2 2007 	Very Average	Everything about this hotel was very average. There is no one to help you with your bags when you arrive. You get fifteen minutes outside of the hotel if you are lucky. Then you have to take the car less than a block to have it parked for you. We took a suite and it was relatively large. Everything was functional but that was about it. The bathroom was small and dark. The windows were covered by curtains that do not pull back - they are attached by velcro! The air- conditioning worked well but noisy. The elevators were extremely slow and small. The location is very central but overall for $200+ a night this is not worth it.	
May 13 2007 	Wished we had booked this Hotel for the First Leg of our Vacation	Having booked a 3 night stint at the Days Inn Centre-Ville and requested Early Check In (which resulted in a 3pm check in - after arriving in MTL at 8am), my wife and I were severly unimpressed with the service we recieved and opted to book the last night of our trip at a different Montreal hotel after arriving back from Ottawa. We came across the Residence Inn by Marriott and decided to try our luck there. After dropping our rental car off, we caught a cab to the hotel. At 11am we arrived, prepared to drop our luggage off and return later in the day, we were estatic to see that our room was ready. The room was fantastic, from the view from the 16th floor balcony to the comfy (yet firm) bed. Not to mention it was a block and a half from the Atwater Metro Station, next time we're in Montreal we'll be booking our stay with the Residence Inn by Marriott.	
Apr 28 2007 	Cramped but Fine	When I first arrived, I was a bit surprised at how small and 'pokey' the reception area was. Check-in staff were fabulously welcoming, although once checked in there was a queue for the elevators which snaked back almost to the front door. The elevators, like the lobby were small and outdated and very very slow. The suite itself was much better than the first impression I had of the hotel led me to expect. A good, comfortable king bed, a great working desk with a seriously good chair enabling me to actually work comfortably and a good layout. The bathroom was so tiny, that you couldn't open the door if the bath mat was on the floor, but it was clean and perfectly adequate. The walls were paper thin - and fellow residents were particularly noisy - but it was hockey night, so it was all good natured. In all, it was a good value room in a good location, and for the purposes of a night or two, ideal for what I needed. Not altogether sure I'd be happy to stay their on a longer vacation. A colleague of mine stayed at the Clarion Suites, and the consensus of opionion was that the Residence Inn was by far the better option!	
