	Pricy Busy and Well Located	We forgot how many times we’ve been to that hotel. The location is very convenient for us.This is not the most peaceful hotel; it’s big and busy, however very well located restaurants, bars, disco, shopping etc. Like most Sheraton Hotel the rooms have been refurbish, and are clean and cozy. The overall service and staff is decent, but not great, and this is not due to a language barrier because we’re fully bilingual. Some of the staff members would require a refresher course on customer relationship.Overnight interior self-serve parking is $20.00, you can park in a nearby exterior parking lot for less than $10.00. For food quality and price venture to local restaurants in the vicinity, the choice and variety is remarkable.M &amp; L D, Ottawa	
May 19 2009 	Great location great price Ask for their renovated rooms.	I stayed at the Centre Sheraton Downtown Montreal from May 16 to 18th for our long weekend getaway. I booked through Priceline.com which gave a great price of $56 USD a night plus fees (Average $96USD a night). We checked in early and were given room 807 - we hardly slept that night due to a wind storm and we think our room was located in a wind tunnel which was very noisy and our AC fan stopped working - the room was very outdated and mold in the bathroom. I called front desk at 4 a.m. but no answer and called back around 5 a.m. and spoke to Vicky she told us there weren't any worries to change rooms later in the morning around 10ish since ppl will be check in out. She even offered us two free breakfast at the hotel which was honoured. We got our new renovated room on the 23rd floor.. I&quot;m assuming floor 20 and up are renovated and much updated from the room we had before. So A+ on the service.We ate at the Bar food and service was great.Ate breakfast at the lounge breakfast was average. Probably not worth the regular $20 but it was free.Location is great, you are walking distance to St-Catherine Street, and Crescent Street . Not much to complain about since the price was so cheap for downtown Montreal. Another Hotel to consider is the Intercontinental Montreal which i adore.	
May 19 2009 	Overpriced and over rated	My stay at this hotel can only be described as disturbing in the current economy.I found that the hotel, while quite appealing to the eye, is VERY overpriced and over rated. The priced that I paid was $209.00 per night which was the Federal Government of Canada employee &quot;discounted&quot; rate. The room that I was given was, supposed to be, and Executive King on the &quot;Club&quot; floor. After comparing notes with my colleagues who also stayed at this hotel, I found that they were paying from $152.00 to $169.00 per night. I guess the higher the floor, the more you pay.The room was VERY small to say the least and the services were slow.For example, upon checking into my room, I looked for the &quot;Guest Services&quot; book which is standard in any other hotel that I've stayed in. No such thing was available in the room. I contacted the front desk 3 times in an effort to obtain a copy. After over 3 hours, I finally received one. Hmmmmmmmmmm!!! THIS is service?I decided that I would just order from room service on the first night as I was tired from traveling and did not feel like going out. I consulted my &quot;Guest Services&quot; guide for the room service menu. The prices would scare you. Example: $18.75 for a cheeseburger or $17.75 for a plain hamburger and these were among the cheaper items on the menu. I order a simple order of french fries and a slice of cheesecake which cost me $27.00. Next, I came to find out that they offered 2 types of hi-speed internet service. Wired service and wi-fi. Both cost $14.75 per day plus taxes. Can someone PLEASE tell me if anyone uses internet service for a full 24 hours?? No, most people spend a couple of hours at a time on-line while traveling. I also found out that I could receive FREE wi-fi service in the lobby of the hotel. Hmmmmmmm!!!! A traveler pays a high price for a hotel room and also has to pay a high price for internet service, but, anybody can walk in off of the street and receive free service in the lobby?? Something is VERY wrong with this picture.It seems like this hotel, and probably in ever other Sheraton Hotel, offers nothing to there guests and tries to gouge them wherever and whenever possible.I for one weary traveler would NEVER include Sheraton Hotels (Starwood) in any other travel plans.	
May 12 2009 	Good Choice/ Clean Comfortable and Spacious	Was in Montreal for business for a few days as well as meeting some friends. The Sheraton was a good location for my needs. As a STARWOOD member I was upgraded to a recently renovated room that was clean and spacious. Great STARWOOD bed and the bathroom provided good space (and I have been to 5-star hotels with miniscule bathroom space). Good price/ decent service-though the waitstaff always seemed bored beyond belief.Over all I would recommend this location for all around pleasant stay.	
May 12 2009 	Great location good food reaonably priced	I arrived at the hotel around 9.30pm and (unsurprisingly) there was no queue at the front desk. I decided to take a taxi from the airport as the public transport links from the airport don’t seem to be the best. The fare is $38 from the airport to downtown, which I didn’t think was unreasonable – the journey was fast and without issue which is all you want after a long flight!The hotel is ideally located, just a 5 minute walk to the tourist information center and the main shopping street and about the same walk to the nearest metro (Peel or Bonaventure).I checked in without any issue and the staff were pleasant. My room was on the 36th (Club) floor. The room itself is very nice – a nice large bed and sofa, reasonable sized bathroom (with a shower in the bath) and a large flat screen TV. I have made use of the internet whilst staying at the hotel and this was reasonably priced – around $15 for a day (much cheaper than I normally pay when staying in similar hotels).As I was staying in a club room, breakfast was included in the price of the room. Breakfast was served in the club lounge on the 37th floor. A good selection of cereals, pastries and fruit – perfectly adequate to get you started in the morning. The views from the lounge were fantastic and the lounge itself was one of the most luxurious I’ve seen.I decided to use the room service on some of the nights I stayed at the hotel. The food was very good and the service efficient.I also used the fitness center whilst I was here. To be honest some of the equipment is looking a little on the tired side as is the room generally, but that said, it had all the basics that I guess you’d want to use. There’s also a pool and whirlpool although I didn’t use these.So overall, I was very pleased with my stay at the Sheraton Montreal and would happily recommend it and indeed stay here again when in Montreal. I’d also highly recommend the Gray Line Tour to Quebec City – a great day out and a chance to see a little more of beautiful Quebec.	
May 6 2009	No Major Complaints	Being in a larger group (around 30), most of the staff did not quite seem to take kindly to us. I would say &quot;hello&quot; to bellmen and they typically would just kind of look at me. The concierge was not like this, however, and was quite friendly. The wait staff at Bistro Le Boulevard was mixed; some were courteous and others seems over worked/ unhappy. We were all placed in the older style room, from what I can tell. There wasn't anything special about them. The bathroom was clean but plain, as was the rest of the room. Old, small CRT TV. The best part of the room would have to be the beds - they are superb. The hotel's indoor &quot;health club&quot; area is nice. The decor in the pool area was surprising - I have never seen an indoor pool decorated quite like the way it is decorated. The attendant who sat out front of the &quot;health club&quot; was kind and helpful. A complaint about that area would have to be the tiny space for the sports equipment. There are only two treadmills, and they are always taken. The people using the weight training equipment seemed squeezed for space. We had a great stay overall and would recommend to anyone looking for a decent place to stay in Montréal.	
May 3 2009 	Super friendly staff-- makes up for location!	The Sheraton Le Centre isn't in a bad location, but it's a quiet, desolate one. Given that we arrived on Good Friday and left on Easter Sunday, the business/ downtown district was, well, dead. The hotel was walking distance to Vieux-Montreal, as well as Chinatown, the shopping district and the old port, so it wasn't that inconvenient. (I walked 10-15 minutes from the hotel to Notre Dame Basilica one morning-- not a bad walk!)The hotel room was clean, quiet and roomy, and I was able to upgrade to a king-size bed without a problem (if you're a Starwood member). Parking's a bit pricey-- $20/day after taxes and fees, though conveniently underground. You could park a few buildings away in an outdoor lot for $18, but it looked a tad shady.The staff-- everyone that worked there-- was super friendly. I had a problem with wi-fi in the lobby, and although I was mischarged, they removed the internet fees and tried to help me connect to the web as much they could. Any requests or questions I had were handled with friendliness and professionalism. Although location is not idyllic for a tourist in Montreal, it wasn't difficult at all to take my car out of the lot (you pay once-- at the end of your stay) and drive around town. (It's more frustrating to find parking in New York City on an average day!) Driving up to Mont Royal, Chinatown (it was a cold weekend) and other parts of town were fun and not that much of a hassle at all. The price was reasonable, hotel friendly and clean, and the location not too bad.	
Apr 26 2009 	HORRIBLE HOTEL	The room was small, paper thin wall and horrible service.The room service lady was rude, and stole US $120 from me.I stayed there for 4 nights, the room never properly cleaned.	
Apr 23 2009 	Great Spring Stay!	Travelled to montreal with 10 people. Had a great weekend. We had one of the newly remodelled rooms and it was great. Very modern bath w/ a dual flush toilet. Flat screen 46&quot; tv and a great view of downtown. One friend had one of the older rooms and it was ok but outdated. Everyone was very nice and helpful. Decent pool, small gym but it was enough to get a workout. Nice sauna. Expensive to eat or drink there. We went out for food. Anytime I am in Montreal I will go back to the Sheraton.	
Apr 22 2009 	Great Location	We got one of the older rooms and I think it's because I got the room for less. Nevertheless, it's a great location. We were there for the UFC 97 and the hotel was right across the Bell Centre and La Queue de Cheval Bar and Steak House. It's very close to two subway stations (Peel and Bonaventura) and the Gare Central (train station). It is one block from St. Catherine, 5 minutes from Crescent Street, 20 minutes from Chinatown, 30-35 minutes to Old Montreal by walking. You can take the subway as well but as you know you see more when you walk even if you get lost :). Google map can help with this.	
Apr 20 2009 	Affordable luxury in the heart of the city	We stayed for a romantic getaway weekend in the city on my birthday. Got a terrific deal on 'name your own price,' otherwise we wouldn't have been able to afford this 4-star hotel on our budget. Room was recently renovated, very clean and bath was positively glitzy. Bed was exquisitely comfortable. Offers a top-notch indoor swimming pool and workout facility. We didn't sample the in-house restaurants, but no matter--St. Catherine and Crescent streets are just two or three blocks away, with more culinary choices than anyone needs. We're coming back soon!	
Apr 10 2009 	Very nice SPG hotel esp. with Priceline discount	Booked this on Priceline for an amazing $69 a night (fees/tax included). The location is excellent, downtown Montreal and close to two subway lines and the Bell Center. The bar is usually empty, a bit pricey but within expectations for this type of hotel. There seemed to be plentiful parking in the hotel but I did not use it; if you drive there are at least two parking lots, presumably less expensive, right next to the hotel. Finally, Internet access is expensive in the room ($15+) but you can login for free in the lobby with your laptop.The rooms are normal business type (typical for a Sheraton), but I found nice touches... there are plenty of plugs for your devices and electronics, even a powered USB port for charging smaller electronic devices. There's an in-room safe but no minibar (noticed more and more hotels are taking those out), and the bathroom was large and had decent toiletries. I found the bed excellent, and overall the hotel was very clean and well run. Service was a hair bit lacking (not as much staff as other 4-star hotels) but I could hardly complain. One caveat: there are very few convenience stores nearby, but that's not the hotel's fault.Overall, it was a great stay and of course a good price.	
Apr 7 2009 	Very Nice Hotel. Convenient downtown location. Next to Bell Centre	I stayed at this hotel for one night on business. Walking distance to my meetings in downtown Montreal. Short cab ride from the airport ($38 each way). Very nice large bar in the lobby. You get free internet access while in the bar area. I ate breakfast and lunch at the bar. The bar had a small but good menu. Very friendly staff at check-in and at the bar. Very nice workout facility on the 6th floor. I did not use the pool, but looked like a nice pool and large hot tub. I checked out the concierge lounge on the 37th floor, and it was very large and nice (nice views). Looked to have a nice breakfast in the lounge. I did not pay the extra $40 per night for the lounge access. I would highly recommend this hotel for business or pleasure if you want to be in downtown. Right next to the Bell Centre (hockey rink)	
Mar 30 2009 	Above Expectations	I was in Montreal for a long weekend in March 2009. The Sheraton exceeded my expectations in room cleanliness and decor. The concierges were most helpful in recommending restaurants and providing metro routes. Though not elaborate, the fitness room, sauna and spa were adequate. (On a side notes, if you're visiting Montreal, you've got to check out the &quot;blind restaurant,&quot; O. Noir!)	
Mar 13 2009 	Very decent not outstanding	At first glance, the Sheraton Centre looks very impressive and its lobby gives it a real taste of luxury. Past that first impression, this hotel is just very standard all the way through. Staying there, you will certainly not be grossed out, but neither particularly impressed by anything. The sophisticated traveller, if used to 4-star standards, will be disappointed by Sheraton's rooms, which are more 3-starish. Overall, rooms look very plain and the decor is pretty dated, with mismatched floral curtains, beige wallpaper and old lamps. I should actually say &quot;old everything&quot; : old desk and chair, old sink and bathtub, old phone, old doors, old TV. Old but not classy. The desk chairs are pretty straight and uncomfortable. There is high speed internet at a reasonable cost but no wireless connection. Bedding isn't bad at all. Outside views can be enjoyable depending on what floor you stay.However, the hotel location is perfect, close to everything : Bell Centre, shopping malls, Crescent Street, subway stations and all the major office buildings.Even if Priceline rates it 3.5 stars, the Marriott Chateau Champlain is a better pick. Rooms are smaller at Marriott, but way better appointed with classy/confortable furnishing, breathtaking views, Marriott bedding (need I say more), bathrobes. Same comment for the Hyatt Regency : fantastic location, newly renovated rooms (comfy and good looking) and indoor pool, less expensive. Overall, I do not see any reason to book the Sheraton Centre at full rate if you can either stay at the Marriott or Hyatt Regency. However, you will not be dissatisfied if you are booked at the Sheraton by Priceline or Hotwire for a good rate.	
Feb 25 2009 	Absolutely beautiful	My husband and I recieved a weekend getaway package as a gift. This getaway included Via rail train tickets from Ottawa to Motreal, a two night stay at the Sheraton le Centre Montreal Hotel, and Montreal Canadian Hockey tickets. The train was a delightful way to travel to Montreal, and the station was only minutes from the hotel. We stayed on the club floor wich do include certain upgrades such as private lounge that served hors durves in the evenings, and a great breafast each morning. Our room was large and spacious and tastefully decorated, where everything was new due to the fact that these floors had only been added in the last few years. Upon entering the lounge the first night we were treated to spectacurlar views, warm and cold munchies and snacks. I had read on another trip advisor account that the drinks in the lounge were expensive, and I have to agree! $8 for a beer and $5 for soda, and $10 for mixed drinks. But we did stary several hours and played cards and talked and enjoyed ourselves. I was most impressed with the lounge breakfast. I am a wieght watcher member as was pleasantly surprised at the variety of healthy foods to choose. Plently of fresh fruits, skim milk, fat free yougurts, hard boiled eggs, as well as many other good choices like toast, and bagels, cereals, muffins, and other breadfast breads. We also enjoyed the hot tub and sauna facalities. The gym facilities looked really nice as well. The front desk service as excellent as staff were welcoming and friendly. They also were well informed as local ammenities and resturants that were in walking distance. We went to a wonderful Italian resturant that I would recommend in a heartbeat!. I was just off Stanley street about two blocks down I believe it was called Cafe Bistro Italian. Overall it was a fabulous stay in Montreal(plus the home team won!)	
Feb 16 2009 	Good hotel convenient location	The hotel is in a great location, right in the center of the Montreal action. The service staff were very helpful and courteous- they were great. We booked the hotel with Priceline for 90 $ CAD, and I think the cost was fair for what we got. The room was clean, the bed very comfortable and the in-house Starbucks coffee was a nice touch. The decoration definitely needs an upgrade, as do the bathrooms (which were functional but a bit worn out). The view from our 22nd floor was awesome. It wasn't a &quot;Wow&quot; hotel, but I would stay here again, though it may not be my first option.A parking garage is located steps away on Stanley St. and is a much cheaper option than the hotel parking, especially on the weekend!	
Feb 7 2009 	Great hotel and location	We stayed at this hotel after booking it blindly - twice (once through priceline, once through hotwire). We had an excellent stay both times. The room was great, the staff was fantastic (despite the fact that the Canadian Medical Association convention was being held there and it was packed). We parked next door at a parking garage, and it was within walking distance to everything. Highly recommended.	
Feb 3 2009 	Great stay; close to bars/clubs/restaurants	if you're looking to stay close to the anglo-downtown area [rue crescent] then this hotel is perfect.i was with my boyfriend and we enjoyed the downstairs clue-like bar [albeit, it being a bit pricey..but it was a hotel bar!].you can catch the metro station right around the block and the walk to old montreal is just a few minutes away.good in-door pool and a very attentive concierge.	
Jan 19 2009 	Wow wow wow Great Club on top floor terrific location	We were gold preferred and this property upgraded us to an upper floor and gave us Club access. The club had wonderful breakfast selections and a nice early evenign snack.The spa and pool were terrific and the room had a terrific view and was large and very clean. Could nnot ask for more!	
Jan 5 2009 	Great location for a great price	This hotel is perfectly located in the heart of downtown. Only two block walk to Crescent street. We stayed on New Years Eve and the concierge was VERY helpful in finding events to attend. Beds were also very comfortable. One small negative point was the extra charge for parking.	
Jan 3 2009	Best Stay Ever!	We've stayed exclusively at this hotel over 25 times but this visit was the best. We drove up for Grey Cup '08. We got a great rate cuz we booked almost 1 year in advance. This was the FIRST TIME we were given an upgrade to the Club Floors (we are SPG Gold members...no Austin Power jokes please!). The staff was remarkably friendly and helpful considering the lobby area was filled with every football fan from Edmonton Alta. that were staying there. In the past, I've had to FIGHT for an up-grade, but this was not the case. As always, the room was large, clean and quiet (what a surprise, considering the Grey Cup was on).Club lounge was wonderful with a breathtaking view of Montreal. The drinks were a little pricey $18 for a glass of wine? but the snacks and the service were unbelievable. Kudos to the Staff of Le Centre Sheraton for a memorable Grey Cup experience and a remarkable stay. We will continue to stay here when we return to Montreal again this summer. Well done everyone!	
Dec 9 2008 	Adequate - I got what I paid for.	I booked two nights at the Sheraton Le Centre in Montreal through Priceline for $80 US a night, for a weekend getaway at the beginning of November. Having been to Montreal numerous times and have friends who live there, I know the downtown of the city quite well, and was actually disappointed to find that I won the bid for the Sheraton, because the location on Rene Levesque is in a more 'sterile' business area, also being on the west side, it's more anglophone, and away from the livelier/seedier francophone east side of downtown. The hotel room was adequate for one person and of the standard Sheraton/Marriott type. Probably due to the fact that I booked for one person and got a cheap rate through Priceline, my room was very small. A queen size bed with a desk and 2 chairs. In fact, I was told by a friend who used to worked there 10 years ago, that it was one of the smallest rooms on the floor. The hotel was renovated 10 years ago, and the decor and furnishing have remained the same since.On a previous visit, I stayed at the Omni a few blocks north on Sherbrooke and the difference is almost night and day. Granted Sherbrooke is the high end street in Montreal, but both hotels are rated as four stars. If the Omni is a four then surely the Sheraton should not be any higher than a three or a three and a half. The staff are pleasant and helpful enough. I had problem with the internet (you have to pay a daily rate, and it's through plugging into an ethernet connection, not Wifi), and had to call the company that contracts the work for the Sheraton directly. After spending 15 min. troubleshooting on the phone with the tech support, he called the hotel directly and had technicians sent up within another 15 min. to fix the wall jack in the room, which turned out to be faulty. As I said before, the decor and furnishing of the room are about 10 years old, and you could definitely see that. The shower curtain and the linens have seen better days. All in all, the Sheraton Le Centre is well worth the $80/ night I paid, but do not expect too much more in terms of amenities, locations, or any special perks.	
Nov 10 2008 	**Not A Bad Choice For Montreal Hotel**	My mother and I recently visited Montreal and stayed for 5 nights at the Sheraton Le Centre. I bid on a 4 star hotel through Hotwire.com convinced that the $93.00 per night was for the Omni Hotel on Sherbrooke. The Omni had all the amenities listed under the &quot;unknown hotel&quot; and Omni is one of the Hotwire suppliers. Anyway when I found out it was the Sheraton instead, I immediately went to the Tripadvisor and Travelocity websites to view what past guests were saying about the hotel. Most of the comments ranged from decent to downright dreadful! I was shocked and called Hotwire to cancel my reservation. The rep at Hotwire refused, saying they were standing by the 4 star rating and would hold me to the contract. I had no other choice but to stay there since I didn't want to pay for another hotel.I was expecting the worst when I arrived, but was pleasantly surprised to discover that the Sheraton Le Centre was actually quite nice. My room was on the 15th floor, with a partial view of Mont Royal Park. The room was not huge, but certainly not small either. It's no different than staying at a Marriott or Hilton. I was given 2 very comfortable queen size beds with contemporary bed covers, lots of pillows, an arm chair and a writing desk. The carpet was in good condition also. Although the bathroom was somewhat dated (wallpaper with little roses), everything worked fine. I had read some reviews that guests complained about the housekeeping at the Sheraton and I was a bit worried. I decided to leave the housekeeper $3.00 canadian dollars everyday for their services and they were very appreciative. Even wrote me a short thank you note every day. I had plenty of towels, the beds were always made, the carpet vacuumed, tea bags left near the hot water maker and plenty of toiletries in the bathroom. Although the hotel lobby is quite beautiful, I can see where other guests may have problems. It can be quite crowded if a convention is there or there is a game at the Bell Center which is across the street. The bell captains located in the lobby were very helpful and even called a taxi for me when I was ready to leave.To summarize, I guess you have to take the reviews written on tripadvisor with a grain of salt. I was quite satisfied with my Hotwire purchase!	
Nov 5 2008 	Great Stay!	I stayed at this property for a conference and was very pleased with everything from the service to location to rooms. The staff were very friendly and accommodating. The location is central to everything. The room was nice - big king bed- nice duvet -I slept well. I would stay again!	
Oct 19 2008 	Just fine friendly service and convenient; but not a 4-star	Perhaps my expectations were very low as a result of perusing our predecessors on this site. But, while we stayed just one night, we had a very good experience here. No, the rooms have not been &quot;updated&quot; to copy all of the other hotel chains in their pseudo-Manhattan beige suede-ness; yes, there are small pink flowers on the bathroom wallpaper and yes, large flowers on the curtains and yes, the carpet was a little tired. But the room was spacious and clean (not spotless, but clean), the location is very convenient (close to highways, Metro, all downtown areas, and a half hour walk to the old town), 24-hour underground parking is $20+tax (a bargain in downtown Montreal), and best of all every staff member we met was most helpful -- which is always particularly welcome when travelling with a small child. The hotel did not feel as large as it is and it was packed (fully booked) with conferencees and Habs fans the night we were there -- we expected much noise and heard none either inside or outside (the windows seem to be well insulated) You can walk to the Bell Centre of course but also easily to the best shopping on Sainte-Catherine and nearby streets, to nightlife and restaurants on Crescent and Montagne, and to many good coffee shops. (In fact there was a Starbuck's drip coffee maker in our room.) Very comfy bed with soft sheets. We had a delicious breakfast at Cora's just up the street -- very fresh and not greasy (for a big breakfast). Is this hotel a four star? Definitely not. But, like previous reviewers, we booked on Hotwire so it cost only $US 120 for the night (including Hotwire fees), plus parking. Caution: we were told at check-in that a cot would cost $30, which I was willing to (very grumpily) fork over, but didn't end up getting charged for it.	
Oct 7 2008	Run of the mill	Good location for both shopping and entertainment and not too far to walk to the old town area. Room safe didn't work but other than that the room was quite spacious and clean. Our main gripe was breakfast - you ordered from a range of set meals which may or may not have included fresh fruit/cereals and cooked items. When my wife asked for a second glass of juice we thought WWIII was about to break out and the restaurant staff in general could have been better.	
Oct 6 2008	Good location decent experience	My partner and I stayed at Le Centre Sheraton for a long weekend in February 2007. It was a decent hotel, but my sense is that there are better alternatives nearby. I'm not sure we would choose to stay here again, at least until they've refurbished the hotel.The strengths of the hotel are:1. Great location. You are only blocks from everything. The main shopping street is two blocks away. The sports stadiums are across the street. The few tourist sites in Montreal are also within easy walking distance, as is the Metro station.2. Good business facilities. I was there for a business conference, and found the business center to be excellent. There were plenty of computer stations, printers, copies, etc. And the rates weren't unreasonable.3. Great massage. They have a massage studio in the hotel. I booked one, and it was a very good massage. The massage room was a bit dated, but clean. But the masseuse was very professional and gave a great massage.OK, so there are a few things you need to know before you book your stay:1. The decor is VERY dated and worn. I'm guessing the last time they did a renovation was in the late 1980s or maybe early 1990s. You feel like you're staying in a &quot;time warp&quot;....80s style wallpaper and furniture. They have updated the beds and linens, which does help somewhat...but can't cover for dated and worn wall treatments, carpet and furniture.And the exterior the building looks like a Communist style apartment building. Grey and monolithic. One of the ugliest buildings in downtown Montreal, for sure.Also, everything is a bit shabby given its age. The carpets are worn and spotted. The furniture is banged up. The bathroom fixtures are dinged, etc.2. The hotel gets a lot of sports fans given its proximity to the stadiums. Many of these fans seem to travel in groups. Watchout for them after games, as they are loud and drunk...careening through the hallways making A LOT of noise. It isn't exactly a peaceful place.3. Check in was a disaster. They have 3 or 4 check in desks, which would seem to be enough. However, this is a large hotel, with a lot of guests...so the check in line can resemble a check in line at the airport. We had to wait over 30 minutes to check in...the last thing you want when you've traveled for 5 hours to get there. And the check in staff wasn't very apologetic for the poor experience, which was annoying.4. People are smoking eveywhere in the hotel. This is not a non-smoking hotel, by any stretch.5. Rates were high. I think we paid $219 a night for a room with a King. When we were there, we could have had a room at the Intercontinental for the same rate, and the Intercontinental was definitely a nicer hotel.So, all in all, not a highly recommended property. But, if you want to be close to everything and don't have other options, the Le Centre Sheraton &quot;will do&quot;.	
Sep 27 2008 	Nice hotel great location and delicious food!	We held a conference at this hotel in May 2008. The staff was very professional and accommodating. I ordered room service a couple of times and I was not disappointed. The business service people were fantastic for last minute request of copying etc. I loved my room with two double beds and lots of space as I was staying for 5 days.	
Sep 22 2008	Enjoy my stay very much	After reading some of the reviews, I was a bit worried. At check in I was given the 30th floor and club previlege at the top floor (37th). When I got to the room I was thrilled to find that it was large, the bathroom was fine, and the big window offers a fine view towards the St Lawrence river.The club room offers great breakfast everyday. Convenient location to explore Montreal. I totally enjoyed my stay!!!	
Sep 11 2008 	Can't beat the location	Spent 3 nights over Labor Day weekend in 2008. Location is perfect and one can walk to everything. The hotel is old and the room a bit small, but otherwise very clean and comfortable. We spent most of our days outside so the room size is not a big deal. Location is perfect, right in downtown, walk to St Catherine (shoping)j, McGill, Square Dorchester, etc. Banks, shops, restaurants around the corner. The hotel has its own underground parking but we found an affordable indoor parking right behind the hotel for less than half of the cost. Food is expensive within the hotel, as is with every hotel dinning, but again, you can walk to many restaurants within 5 minutes. Old Montreal is only less than 20 minute's leisure walk away.	
Sep 5 2008 	Not bad	I was apprehensive after reading the reviews, but the hotel was, in general, pretty decent. I agree that it could use a renovation as it is not as nice as other 4 star hotels. The location is perfect if you're attending an event at the Bell Centre (hockey or Celine Dion concert) because it's right across the street. It's pretty close to the museum (musee des Beaux Arts). We had no probs with the staff. They were all nice enough. Our room was on the preferred guest floor (31st floor) so that was a plus (I think), but the pics uploaded by other travelers were pretty much it. We had a great view from our window. The room was clean. They charge for internet ($16.65/day including taxes). It's about 4 blks from either of the 2 main subways (green or orange). The hotel is nearby Ste. Catherine where you can walk and shop, but I would have preferred something closer to St. Laurent blvd because more good restaurants are located off/near that street. There are also a lot of good restaurants in old montreal/vieux-port. Here are some great restaurants we tried:patati patata (yummy mini fish burger and poutines), tamarin (vietnamese), chez cora (breakfast/brunch - crepes), chez l'epicier (pricey but good), chao phraya (thai), le taj (best indian buffet). we did eat at the famous schwartz's (smoked meat sandwich), but the wait was awful. we waited 1 hr and 20 mins to get our food. it was ridiculous. there were 2 lines (one to dine in, and the other to-go). let me warm you that the take-out line takes a lot longer because ppl make large orders for the meat (our mistake). i must admit that it was good, but not enough for that wait. they won't give you mustard on the side (for takeout) or even accommodate if you ask for it on half the sandwich. the pickle is too salty and sour. the deli shop does plan to expand, but I think there are plenty of good places to eat in montreal to forget this one (my friend plans to rip schwartz in her future review of the restaurant - she was pissed).	
Sep 3 2008 	Feeling home at the Sheraton	After reading all of the reviews on this website, I was absolutely scared to see my hotel. When I got there I was thrilled to find that it was nothing like said before. It was absolutely charming, by European standards the rooms were large, the bathroom was fine (the wall paper was older, but it was charming for the room). Everything was clean, the sheets and pillows were clean and all together well.The lobby was very nice and the air conditioning was wonderful, especially for these hot days.The location is A+, just a few steps from the Centre Bell where I saw Celine Dion perform. The Sheraton enhanced this experience. The only downfall was the steep internet and business prices and the menus were expensive.Starwood has yet to make me unimpressed.Thanks to all that made the experience formidable.	
Sep 2 2008 	Absolutely ordinary	We booked this hotel, known as a four star hotel, so we could have a weekend getaway. We brought our three year old. I so wish we had stayed at the Delta or the Intercontinental. This is a place for business travelers. It really is one, massive conference center. The room was totally ordinary. The pool was small and ordinary. Two things that irritated me most were, upon arrival, there was no valet service for US. We watched others have their cars driven to parking, but for some reason two people told my husband that he could park himself, which he did. (We drive a gorgeous, new car and we were casually dressed...) Its not that I need valet parking, but with bags and a kid in a stroller, it would have been nice if I wasn't left to struggle in a dirty alleyway.We had room service bring breakfast, which we asked for the night before. We are vegetarians, so I was clear that there was to be no meat. What I ordered came, but with sausage on three of the plates, and no cereal for my child. A dissapointment.There are so many fabulous hotels in Montreal. Stay elsewhere.	
Sep 2 2008 	Horrible Stay - Dirty Rude Dismissive	We booked on priceline for a four night stay with a four star hotel in Montreal.  Arriving at the Sheraton, they advised that they had a smoking room with 2 beds. I expressed concern about the smoke and they said the room was good except that you were &quot;permitted to smoke if you so chose.&quot; I asked about an upgrade. They offered one for $50 the next day, I said I would think about it. I wanted to see what the room was like.  The smoking room was horrendously dirty and looked like a $40 motel. Large bright red stains on the floor, smelt like a motel, black marks on the walls. It gave me hives. I went down to talk to them about getting another room. They offered only the upgrade for $50, which I had no option to accepted, given my allergic reaction. They said to come down tomorrow and they would take care of it and move our stuff. That night, a staff member knocked on my door at 12.20 am and asked if I needed help with the safe. I replied no and refused to open the door. I next got a call at 12.25 am from the front desk asking if I needed help with the safe. I said no. The next morning, I went down and the front desk person said she had no note on the file and made several derogatory remarks about us booking on priceline. She accused me of lying about the upgrade . She was very rude and accusatory. I eventually had to speak to management and settled that matter out after a lot of wrangling with management. We were moved to a regular non-smoking room for the next 3 nights which was a normal, cleanish 3 star room (not 4 star). For our troubles regarding the upgrade, we were given a free breakfast. However, they were unrepentant about the state of the room I had slept in (see pictures). She said that some of the rooms were outdated and had stains. The bad service continued -- the next morning, I left the room only to be quizzed by the maid as to when the room would be empty (I had the do not disturb sign out). It was 8.30 am. I said probably later in the morning. She made a snarky comment about waiting. The next morning, I called about the airport shuttle. The hotel operator was rude and disrepectful. He said they didn't know anything about it except that it came every 25 minutes. Nothing about fees, where it stopped, how long it took or alternate transportation. He was dismissive and condescending. While some of the staff were quite friendly (upstairs, at the lounge), on the whole, my visit there was unpleasant and regrettable. I also note that Priceline was decidedly unhelpful regarding my complaints with both the state of the room and the fact that the Sheraton in Montreal was decidedly NOT a four star hotel which I had paid for). I would not book with them again.	
Sep 1 2008 	Dated but otherwise a good hotel	I got a great deal on this hotel on Priceline - and it was definitely worth it. The rooms (wallpaper, etc) look old but are roomy and comfortable. We got a room with a good view of the city and at check-in were offered a crib for our baby (without us asking for it). The location is pretty central, only a block away from the Rue St. Catherine and pretty close to old Montreal. A word for the budget minded - loads of good food around the hotel, so give the restaurant a miss. A small burger was about 20 bucks. Hotel has self-parking (costs about $20).	
Aug 30 2008	Above average stay	- Clean rooms- Small rooms- Rooms not luxurious but convenient- No breakfast included (there are tons of amazing brunch places in Montreal cheaper than having breakfast in the Hotel)- Staff were very friendly. I forgot my passport and received it back within 24 hours Fedex-ed to my house. I really loved the urgency they handled this with. - The staff provided excellent tips and service otherwise as well. Sheraton must have good training for staff as I find all Sheraton staffs around the world the best.	
