	WOW!!	Great hotel! Stayed there with my wife for one night, got a great deal from the hotel. Amazing location, great staff. The bed was amazing and the pool and gym was also stacked with many machines and a great view while working out. The hotel staff is very very helpful, my wife forgot a pair of jeans and the mailed them back to us for free. I've never seen so much of an effort from any staff.Can't wait to stay again.	
Jun 11 2009 	Excellent Hotel with Outstanding Service - Especailly for kids	We made a short (3 night) trip to Chicago and stayed at the Trump International Hotel with our 11 month old baby. From the very first minute when we stoppe the car at the Valet, we were made very welcome and everybody was extremely helpful and courteous. Upon check-in our baby boy received a little stuffed cow which he really liked and is now part of his stuffed animal collection he likes to fall asleep with. There was a glass of milk and a cookie waiting in the room for him as well as a real baby crib with proper mattress and not just a &quot;Pack &amp; Play&quot;. I have to admit, the Trump Organization has figured it out: &quot;Happy Baby makes Happy Parents&quot;! Everybody knew our babyboys name and everybody looked extremely well after him which gave us even some time to relax while eating.The food in &quot;Sixteen&quot; is very good and we definately enjoyed a great Sunday Brunch. Agian, plenty to chose from for our baby as well. The Spa is excellent and once again, everywhere within the hotel we went we felt very welcome and were treated with courtesy and respect.Overall an EXCELLENT experience and we will be back.	
Jun 3 2009 	A luxurious place to sleep and indulge	My Mom and I stayed here for Mother's Day. The King City View Room was HUGE and extremely comfortable and inviting, very warm. The beds were excellent. The bathtub was amazing with well designed hardware. The color palette was beautiful. I would highly reccomend the pool and fitness center. Some of the room service and spa menu items are outrageously expensive, even comical sometimes, but there was a great variety on the menu, which is great for people with special diets, or just someone feeling like a peanut butter banana panini is a more interesting choice for breakfast then your ususal coffee, muffin, eggs bacon...	
Jun 1 2009 	Good but not great	Plus points: Checkin was quick and friendly. Hot towel at the checkin counter a nice touch. Room is a nice size, all amenities very good. Bathroom is nice - I actually like the 'wet' area for the bath + shower. Toiletries etc. are own brand but seem pretty good. The hotel is also in a good location suitable for business or pleasure - near the loop and Michigan avenue. Having the kitchenette in the room is good too (but read the negative) - housekeeping washed up the cup/saucer/bowl/measuring-cup I left out. They also supply an electric kettle as well as the nespresso machine.Negative points: housekeeping is a bit random, on the one evening I was in the room they came round to do the turndown service at about 9pm. It would be better if they could ask for a preferred time and schedule to those times.Also I bought some milk+cereal to have a simple breakfast in the room. Housekeeping disposed of the milk on my second to last night. Maybe I left it out, but it would have been nice to have a note at the very least about why they removed it. The fridge is also full of the usual overpriced minibar junk. I'd recommend making a specific point of confirming with housekeeping they aren't going to throw anything away. Also a point for our UK visitors - no teapot or coffee jug, but you can use the measuring cup.Compared with the Peninsula and the 4 Seasons it's close but not quite as good.-- Harry	
May 27 2009 	Nice Hotel	My family of four(kids 8&amp;11) stayed for two nights over the Memorial day weekend. We had a Deluxe King City View room on the 26th floor. We booked through the hotel and got a special rate of $199 a night. The regular rate is $399 a night. PROS: The hotel is in a great location. My family was able to walk to all of the local attractions. Plenty of restaurants close by. Hotel staff were very courteous when we arrived. The room was nice. We had a great view of the sunset. Plenty of room for four people. Stocked mini-bar but it was expensive. There was a 7/11 about a block away so we bought our snacks there. Also a Dunkin Donuts right across the street. Bathroom was excellent. Kids loved the TV in the mirror. The bathrobes were super soft. They even had robes for the kids. Beds were comfortable. About an hour after we checked in they brought up cookies and milk for the kids. Kids loved the pool but said the water was cold. CONS: When we made our reservations we requested for our room to be ready at 2:00 pm. When we arrived they said the room was cleaned but a supervisor needed to check it first. We ended up having to wait in the lobby for an hour until they finally checked us in. When we made our reservations they asked for our kids ages and names so they could have a &quot;goodie pack&quot; ready for them. When we checked in they didn't give us anything. After dinner we called the front desk and asked about the kids pack. They sent up a small mesh backpack with crayons and a coloring book. On their website they promise a lot more than that. Maybe because it was Memorial Day weekend they didn't have the time. The only complaints I had with the room was the sliding bathroom door. I would have preferred a bathroom door that gives you a little more privacy. The sliding glass door, with no lock, doesn't work for me. We never did have enough towels. The first morning we took our showers we noticed we only had two bath towels and a bigger towel that was probably a pool towel. We told the front desk when we went out that day we needed at least four bath towels. The maid came and did the room and still only left two bath towels. We had to call maintenance because the TV wouldn't turn on. The maintenance guy came right away. Turns out the maid knocked the power cord loose when she was dusting. The day we checked out the valet brought the wrong car from the parking lot. We had to wait 15 minutes for them to get the right car. They did give us some bottles of water while we waited. OVERALL: I would go back to the Trump if I got the promotion rate of 199 a night. I wouldn't pay the normal rate though. For that price I would expect everything to be flawless. It was a very nice place but it wasn't perfect. I give it a 4 out of 5.	
May 26 2009 	Trump Towers above the rest - with one exception	We enjoyed our stay at the Trump over Memorial Day weekend with one notable exception, which I will get into later. Our arrival was an indication of things to come – the valet took the car and let me know it could be delivered with :10 notice whenever I wished. We recognized the bell captain “Emanuel” from his days at The Sofitel where he took good care of us. Our bellman, Shawn, was friendly, polite and very knowledgeable. Shawn waited while I checked in and the sons were given their “Trump Kids” amenity. The front desk staff was professional, yet it seemed to throw them a curve when I made a request to change my room – yet remain in the same “room-type” category.We had reserved a King Suite with a city view and reservations had assigned us to a room ending in “28” which I knew to be facing the IBM Plaza – something I didn’t want – so I requested to be moved to a room ending in “02” which had a commanding view of River North. One may access the floorplans in advance of the stay at: www.trumpchicagohotel.com/Accommodations/interactive_floor_plans.aspThe request was accommodated and Shawn showed us to our room and explained everything from the pushbutton “Do Not Disturb” sign to the espresso machine (which makes really awful espresso, I must say). He took his time and made us feel like VIP’s. Our suite was spacious and comfortable, decorated in muted grays and the furniture is some kind of dark wood. The view was mostly north along Wabash with a small view of Lake Michigan and the Hancock as well. It was nice to have two flat-panel HD televisions in the suite with a DVD player for each. It was also nice to have two full baths! The linens were crisp and comfortable. My wife though the bed was a bit soft, but it was fine for me. Our pillow menu requests were honored accurately and promptly, even though we had requested a different room upon check-in. This turned out to be the one thing that housekeeping got right. After getting settled, we went straight to the pool, which has a commanding view east down the Chicago River to Lake Michigan. Unfortunately, there was no telephone in the pool for us to order a cocktail, so I had to walk out to the spa area to do so. It took a half-hour to deliver the drinks which, we found later, was the exception rather than the rule. The server had also bought the milk and cookies amenity for our boys and wondered if we would prefer that he deliver to our room instead. We did prefer that, and he took care of it. It was really a nice touch – each boy’s name was written on the plate in chocolate and they told us later “it was the best cookie they ever had!”We used in-room dining for one breakfast and a dinner. I was impressed that Trump stocks Spiegelau crystal in the kitchen. The full complement of plates, silver and kitchen tools were most welcome. In-room delivery time was accurate to the minute on both occasions. The graciousness and competency of the server was most welcome and the quality of the food simply marvelous. Trump clearly has its room-service down. My wife forgot to include a bottle of wine with the dinner and it was delivered within :05 minutes of our order. It was wonderful to have a refrigerator in the room, and we brought a bottle of bubbly for us, sodas and juices for the kids and had a place to stow our deep-dish pizza leftovers!Chef concierge Joseph Coston was helpful with CTA bus information and dining options and concierge Kathleen Zubroski had scored excellent Mary Poppins tickets for us in advance of our arrival. The Trump Concierge staff is the best I’ve seen in Chicago and we’ve stayed at all of the luxury hotels with the exception of the Park Hyatt.My spa treatment was, in a word, transformational. I can highly recommend therapist Jon Meltzer. The amenities in the spa are first-class and the locker/shower facilities are the finest I’ve seen. It was neat to be able to choose an aromatherapy for the steam room from a tray of three options. The Kohler multi-head shower with music and lighting in the men’s locker room is especially wonderful. Chilled, bottled water was in abundance as were towels and grooming materials. I didn’t use the Sauna. This would have been a perfect stay had it not been for ongoing issues with Housekeeping:#1) I asked Housekeeping for a larger bathrobe and slippers as the standard robe and slippers don’t fit me. I was told they would be delivered promptly, but they were not. I ended up having to get a larger robber from the Spa locker room and never did find slippers that fit. #2) On our first night in the room, the turn-down staff showed up at 5pm, just after we had returned from the pool. We informed the person that we didn’t want any turn-down service during our stay until 6:30pm at the earliest. At 6:00 pm – turn-down comes to the door again! We send them away again. At 6:30, when we are leaving for Mary Poppins, they arrive for service. We ask them to be sure to leave extra pillows and blankets for the boys on the sofabed. We arrive back from the show at 10:30 pm to find one pillow and one blanket on the sofabed. To their credit, within :10 minutes we had the extras we had requested. #3) On our second night, turn-down shows up AGAIN at 5pm and we tell them AGAIN no service earlier than 6:30pm. AGAIN, another knock on the door at 6pm. We ask them to come back at 6:30 when we plan to leave and make clear that the extra pillow and blanket we had saved from the previous night is to be used AGAIN. We arrive back at the hotel from dinner at 8:30pm to find one pillow and one blanket on the sofabed. AGAIN we must call for additional pillow and blanket. #4) On our third and final evening in the hotel, we were tired from a day of Lincoln Park Zoo and shopping so we went to our room at 3:45 to find the housekeeping staff just starting to service the room. OK – we decided to go to Rebar for a drink, and enjoyed another nice view of the river. They served us a small tray of nibbling items including my fave - pitted kalamata olives. The sushi menu looked good – and expensive – but we only wanted a drink and the view. We returned to our room at 4:30 and were disappointed to find housekeeping still there. This time, we remained in our room to ensure that an extra pillow and blanket were delivered and the sofabed was made up. And guess what – at 5pm turn-down knocked on the door AGAIN. This is a five-star hotel for crying out loud. They are supposed to note these kinds of things after being told once. I didn’t’ get a chance to register any complaint with the management before we checked out because we had a schedule to keep. However, I was able to note the issues on the follow up guest survey I received via email the day after checkout. Bottom line – we would stay at the Trump again as 95% of the stay was really great. You cannot beat the location and, with the exception of Housekeeping, staff members were responsive and gracious.	
May 25 2009 	Fabulous	My husband and I just returned from a 3 night stay in the Trump Hotel. We stayed in one of the Spa rooms on the 14th floor. This was actually perfect for us, we just had to walk up a flight of steps to use the health club, pool, etc. Rooms are spacious and extremely comfortable, bathrooms are wonderfully large. We had a great non-refundable rate of $199 which made it an even better stay....I would absolutely stay here again in a heartbeat. The staff and service were perfect. The location is in the middle of everything.	
May 18 2009 	Great hotel	My wife and I really enjoyed our stay there. The room was spacious and well planned with an Nespresso coffee machine in the room. Large bathroom and very comfortable. Normally upon arrival in the room we usually clean up and bolt out of the room but we were compelled to just hang out in the room and relax with a glass of wine. Room service was right on time and with no lingering looks from the person that brought the meal up. Definitely on my list for a return visit.	
May 12 2009 	5 stars - zero disappointment	All I can say is wow. We stay at hotels a lot. And every time I've stayed at a luxury hotel in the past, I've been disappointed. The Trump changed all that. At $199 a night on a special Travelzoo deal, I decided to give the Trump a try and indulge a little for a Mother's Day stay with my kids. I was impressed from the moment we arrived. We valet parked and our bags were brought inside for a smooth check in - every staff member addressed us by name. Kids were given backpacks with cotton candy and coloring books. Bellman brought us to our room; as we got off the elevator, I could tell we were headed to the river side of the property. I was so surprised &amp; pleased to see we had been upgraded to a larger, partial river view room. The room was kind of wedge shaped so the panoramic views from the floor to ceiling windows were amazing. Furnishings were in a muted purple with taupes and grays and looked just like the pictures on the website. I had ordered some amenities (gourmet popcorn, candy jar and chocolate covered strawberries) ahead of time to surprise my kids, and all were in the room just like I had requested. A few minutes after we arrived at our room, the bellman returned with little stuffed animals (pink and blue cows with a Trump Kids logo) for each of the kids - told me they had inadvertantly been left out of their backpacks at check in ( I was later told that the kids names and ages hadn't been updated into my profile- we only booked one day prior.) I asked about robes and slippers for the kids, and housekeeping brought them a few minutes later. We opted to relax and order a room service lunch - kids had a burger &amp; fries and grilled cheese with tomato soup. I got prosciutto di parma with buffalo mozzarella on grilled baguette. Food was amazing and presented with real silverware and a fresh orchid. The server asked if we would be dining at Sixteen later; I told him I thought the experience would likely be lost on the kids, but he mentioned that anything on the kids room service menu could be ordered at the restaurant - I'll keep this in mind for next time. As it stood, we kept out reservations at Harry Caray's - an easy 2 block walk from the hotel. After lunch, we checked out the pool. You have to sign in at the spa on the 14th floor to use the pool, but the staff was very helpful and personally escorted us to the locker rooms. Kids enjoyed a nice swim while I relaxed and enjoyed the views of the Chicago River &amp; Lake Michigan. Headed back to our room to get ready for dinner and found housekeeping was already there to turn down the bed. They don't leave wrapped chocolates on the pillow, rather a lovely glass tray of assorted chocolates and a gumdrop my kids fought over. Before swimming, we had asked for a game console, and we found a Playstation 3 and a few games had been delivered while we were out. Kids had a little trouble with the controllers, but maintenance came up quickly and brought the connection cable we were missing. Kids enjoyed a Wall-e game while I got ready. When we came back from dinner, we found the sofa bed had been made up just like we requested at check-in. What we did not find were cookies for this kids, which I thought were part of the Trump Kids amenities. A quick phone call to the front desk, and a few minutes later, in room dining brought up 2 large chocolate chunk cookies with glasses of milk. Kids couldn't even finish them. After the kids fell asleep, I took a bath - the bathroom is lovely, with a TV in the mirror as well as an adjoining tub and shower. Tub was deep and long with a waterfall faucet and I was able to indulge and enjoy a long bath - I am 5' 10&quot; and the tub was quite comfortable - this is rare for me. The shower has a rainfall head as well as a separate handheld shower massage. Robes for adults were in the bathroom and a digital scale and hair dryer were available as well. Bath amenities were very ample size - much larger than most hotels. Bed was so comfy - I loved the pillows but there was a pillow menu if you wanted something different. Kids couldn't wait to wake me up and open the curtains - all controlled with convenient wall switches. The view was even more impressive than the day before. We ordered room service for breakfast - my breakfast would have served all 3 of us if my kids weren't so picky. I ordered a &quot;Heart Healthy&quot; combination for $27 which included choice of juices (from orange to cherry pomegranate,) a blueberry muffin with assorted jams &amp; honey, a large fruit plate with 4 kinds of berries, cantaloupe, honeydew, pineapple and oranges, a huge bowl of Swiss Mueslix with pecan halves, slivered almonds, chopped apple and dried apricot, and coffee, tea or skim milk. I didn't eat half of it - just so much food. Kids pancakes and french toast were $9 each but served with more fresh berries. We had time for another swim before checking out and wished we had booked more than one night. It was such an enjoyable stay. Had a few glitches at check out - our breakfast charges weren't on the bill and the website had promised business cards for the kids with their names printed on them. We had lunch and shopping planned so we agreed to store our bags and come back later to get the kids' cards and my corrected bill. Was so pleased to find out the valet would keep our car until 5PM, included in the $52 daily rate from when we checked in - we took full advantage. I was handed an envelope when we got back - they recognized us. I just assumed the envelope had the cards for the kids and my bill, but once home found only the cards. I'm sure they sorted the bill out and if I don't get a copy in the mail, I'll give them a call and ask. Our stay was not seamless; but whenever things didn't go quite right, staff went above and beyond to rectify matters, and were always apologetic and cordial. What I loved most about the Trump was the lack of pretentiousness. As far as I could see, all the guests were treated well and addressed by name. Even bell staff in the elevator greeted us and asked us how we were enjoying our stay. I felt like we were being welcomed back rather than staying there for the first time. It was really a delightful experience. This is what a luxury hotel should be - friendly, professional staff, gorgeous rooms, great food and perfect location. This hotel is a real gem and we can't wait to go back.	
May 10 2009 	Amazing Five Star Service/rooms/amenitites	As a treat, my husband and I decided to stay here for the night preceeding Mother's day. We live in the suburbs of Chicago but enjoy overnighting in the city about 3 times a year. My children and cousin accompanied us just to check out the rooms but they were not staying overnight. Arrival:serivce was excellent. We valet parked the car, our bags were taken by the bellman, and our names were obviously placed into the computer system because less than a minute later, when we were checking in, the front desk staff called me by name. We were provided four lavender scented hot towels, and though my children would not be staying, *(and I told the front desk this,) the staff, nevertheless, gave my two children each a backpack containing cotton candy, a stuffed animal and crayons/coloring book.So very nice!Room:Our bellman took us to our room on the 17th floor. Each room has a doorbell and a light as its &quot;do not disturb&quot; system. We stayed in a standard King and got an unbelievable $199 deal. Our room was the largest standard room I'd ever been in (and we've stayed at luxury five star Ritz, Four seasons, etc..); this room was about 600 sq. feet. Regular rate for this room is $475. The room was done in muted mauve and earth tones. It was lovely and modern/tasteful. It had a velvet sofa, table, chair desk; not in any way cramped. Closet space was ample with a comp. umbrella. extra shopping bags as necessary. The bathroom located next to the front door contained a wet area for shower/soaker tub and a tv was built into the mirror.Back in the hall: along one very long wall was a high end galley kitchen with 2 burner meile cooktop, microwave, diswasher, fully stocked, euro cabinets with granite, a large minibar and a espresso maker which makes espresso by inserting small packets of coffee (I can't recall the name for this type of system). Used it in the am. Great coffee and easy to use! Room had two bathrobes, two sets of slippers, all toiletries necesssary (just like Ritz, etc.).This was the most beautiful and comfortable bed I've slept in. I wanted to take it home. High end frette sheets, pillow menu (including herb scented, if you wanted). Bose music system with ipod dock and free wireless internet. Turndown service was lovely and our floor was absolutely silent overnight even though there were a lot of kids staying at the hotel this weekend.Things one doesn't often think about are easily available here: 24 hour room service with extensive menus (even overnight) and extensive ability to serve dinner in the room or hold a catered cocktail party. (all for a high price, of course) as well as all of the concierge service, personal shopper service, etc.. you would expect of a 5 star hotel.We did not eat here, but the bar and hotel resturant, 16, get good reviews elsewhere.SpaThe healthclub and spa are connected. Tea/coffee/comp juice, water, etc.. all toiletries, towels, etc.. are available in the locker room. Steam room and sauna are located in both men's locker room and women's locker room. The only SLIGHTLY disappointing aspect of this hotel is the small size of the pool. It was not particularly large and max depth is 4'6&quot; w/ no outdoor space. All indoors, nicely appointed comfy furniture, and nice floor to ceiling windows.Overall: Ive never stayed anywhere nicer. I don't think I ever opened any door myself other than the door to my room! The level of service was astounding down to the valet leaving bottled water in our car for our trip home. Cant wait to find an excuse to stay here again. The level of service was amazing and the staff EXCEPTIONALLY professional and pleasant whether you appeared to be wealthy or middle class. Wide variety of guests stayed the weekend I did and and everyone I saw was treated very well.	
May 3 2009 	5 stars! Elegant refined!	I live in the Chicago area and decided to book the hotel for a weekend getaway.I found cheaper prices for the hotel through expedia and hotels.com. Trump hotel website prices are higher. But if you call the hotel directly they will match any competitor's rate. Upon arriving service was impeccable. They make a point to know your name at arrival,take your bags, check-in. I requested a quiet room and chocolate covered strawberries for my mother's day getaway. The front desk was more than polite. The front desk person personally escorted me to my room. She showed my the amenties and if I had any other questions to let them know.Shortly thereafter the bellman showed up with my luggage.The room was very big for hotel standards. over 600 sq ft.The bathroom had a deep soaking tub- heaven! Large shower head with a handheld shower as well. TV was in the mirror. Fluffy very comfortable thick spa like robes.2 items lacking:-Lack of towel bars to hang towels- speaker system for music in the bathroom- they have this at other hotels. would have been nice to play music and enjoy a bath.Kitchenette- had all the essentials- dishwasher, sink, stovetop, dishes, silverware.mini fridge, microwaveitems lacking: soap, dishwashing soap and towels and washcloths.- There is an awesome espresso machine. Easy to use, very good espresso.Bedding: most comfortable bed I have slept on ....you certainly get more than enough pillows. I had 8 in all! Bose clock radio and ipod docking station- wonderful40 inch LCD tv with DVD below in cabinet. -excellent. Figuring out the DVD was tricky since you had to go thru the main menu- if you have problems ask the front desk.Wireless- free and fast!Drapes: push of a button and they automatically close.Lightning: all lightning in the suite is on dimmers... wonderful!Overall the service is wonderful. Room was amazing.Hotel lives up to it's expectations. I even had chocolate strawberries at no charge.Parking is expensive- but that is to be expected. You are in downtown Chicago- every hotel and even the public parking garages are pricey. Don't expect cheap parking in the city. You are better off taking cabs, buses or the L. The hotel is more than accomodating to your needs and wants.Hotel restaurant although very snobby and chic- service and attention is wonderful.Breakfast very overpriced, but that comes with the territory. High end hotel, high end prices. If you have problems with prices at a hotel like this, this isn't the place to stay.Excellent hotel and location. Walking distance to mag mile and the stores.5 stars!	
Apr 28 2009 	expensive stay!	Trump is a beautiful hotel inside and out located on the Chicago River. I stayed in a one bedroom full kitchen suite. My room was extraordinary. View was nice. The bathroom has a walk in shower and separate toilet. Main distinction in bath area is the in mirror television. The suite has a full kitchen equip with dishes and pots and pans and a microwave oven. Living room has a sectional and a desk with wifi. Suite comes with a fireplace. I was impressed.Issues I had: none of the televisions works throughout my stay, luckily I was not there to watch television.Parking is 50 dollars a day! The guys that parked my vehicle returned is covered in what looked like paint, but I was able to wash it off. No one acknowledged it!When I went to complain that 50 dollars a day should protect my vehicle from such things everyone looked as though I was crazy and hilucinating and imagined the whole thing. I called to have the televisions fixed to no avail. The televisions continued to shut on and off all night waking from my sleep and creeping me out.Upon check out the service clerks were extremely snuddy and unapologetic for my stay. For someone who has recieved perfect service at places that I have spent less money the tower of Trumps is not worth it! 600+ dollars per night should include a few perks for the guest, and at the very least superb customer service. After I wrote a letter to the hotel about my stay I was compensated for 2 nights of parking.But I gave this hotel an overall of average, because I will not patronize the hotel again! I would rather pay more money to a hotel I know will fully satisfy my needs. Anything more than average mean I would stay there again, and this is not the case for the Trump towers.	
Apr 27 2009 	Too eccentric...	Stayed last weekend at the Trump Chicago (#2634) and I must admit I just didn’t get it.Sure it’s a nice say with attentive staff, good amenities, Bose iPod dock, clean and well maintained rooms with great views and comfortable beds. I would expect no less. But why do I need a fully kitted out island kitchen in my suite??? What do you do with a dishwasher with no soap to do any dishes? Same with the sink, no soap to clean up even if I did dirty the full set of dishes, silver, wine glasses and cookware (there is no exhaust over the cook top so even if you really felt the need to do any real cooking you most likely would set off all of the building’s smoke detectors). Was I to just leave a sink full of dirty pots, pans and dishes for housekeeping? It seems just an odd amenity to make it completely peculiar and useless in my view. I don’t travel to be a hermit in an SRO-like hotel room, I don’t care how opulent it is. Also, it had the strangest shower/tub layout I have come across in a developed country. Why do the tub and the shower need to occupy the same space and why just a single sink and no separate room for the toilet? The suite also had a lighting control system designed by NASA. I couldn’t imagine ever having the need for so much light control in a 700 sq. ft. room.Overall, it is a nice new property with a good location and I did enjoy my stay but I must say I must not be cut out to live like “The Donald”, all a bit theatrical and affected for me including the $1000. “Trump dinner” on the in room dining menu.	
Apr 15 2009 	great fitness center	one of the best fitness centers, i thought the hotel was great when i first visited in 2007 but after visiting in june of last year, i have seen better hotels in chicago like the four seasons, conrad, sofitel etc.	
Apr 11 2009 	Unbelievable! The best hotel we've ever stayed in - EVER!	My new wife and I stayed at the Trump Hotel and Tower in Chicago as a special treat on our 5 week USA Honeymoon.My wife and I have travelled many times to different places in many different countries, and this is by far one of the most amazing hotels we have ever stayed in. The service, amenities, rooms and staff are all absolutely amazing. We were thrilled with every single aspect of our stay and we just wish that we could have spent even more time there.The manager of the hotel left a beautiful platter of chocolate dipped strawberries and champagne as he knew that we were on our honeymoon. All the staff seemed genuinely eager to please, especially the concierge desk who really couldn't do enough for you. On a couple of occasions they recommended restaurants to us, and they were excellent each and every time.We absolutely loved the whole city of Chicago and can't wait to get back there is just so much to see and do. But the main reason we'll be back is to come to the Trump. Mr, Trump you should be impressed! The staff &amp; hotel are a real credit to you - this place is amazing.	
Apr 5 2009 	Exceptional Hotel	We rented a the Grand Deluxe 1 Bedroom King Suite with Lake View for my mother's big occasion birthday. The room was incredible - enormous with two bathrooms, floor to ceiling windows in the living room and bedroom with breathtaking views of the river, the lake, and downtown. My parents spent the night in the suite and the rest of hung out before and after dinner and the kids used the pool. Although it was expensive, we spit the cost among family, and it turned out to be an excellent way to wow and impress someone. I didn't use the spa facilities but heard that they were awesome. BTW - the rate on the hotel web site was very high; I called the hotel directly and the front desk offered to give me a discount.	
Apr 4 2009 	Amazing...Book through Virtuoso for the best deals.	First off, the booking. We used Virtuoso and got a fantastic rate. $230/night, $50 Spa Gift Card, $60 for breakfast every morning, and an upgrade (if available) on arrival. When we arrived, the doorman asked about our visit, and remembered every detail and asked about it daily. We were upgraded to a room not much bigger (650--&gt;900 square feet), however it was directly in front of the river...the best view ever. The room was clean, large, and amazing...words cannot describe it. The bathroom was large and filled with every bath soap, gel, and salt you could possibly want. The In-Mirror TV was perfect for staying up with the news while we showered. We were able to get as many papers as we wanted in the morning, and chose the Tribune and the NYT, which was delivered by 6 every morning. Room service was spectacular, but expensive (although not for us). The Spa, although not used by myself, was apparently flawless. The Health Club was the best integration of technology I've ever seen. The staff was always there, and they were friendly and professional. The only problem we ran into was that the Housekeeping Computers accidentally had us checking out a day early, but everything was quickly fixed, and no other problems occurred. The concierge recommended Bistro 110, up near Water Tower Place, and was the best casual dining experience we've ever had. I would highly recommend this hotel to anyone, for its service, its rooms, and its overall experience.	
Mar 9 2009 	Fantastic	I wanted a romantic weekend getaway to Chicago and the Trump delivered. For about half the price of a room at the Four Seasons we had a room that met or even exceeded the Four Seasons experience. I did not end up using the hotels other amenities. We had other plans made for dining and the spa was priced beyond a price I felt was reasonable even for a splurge. But the room and the service from all hotel employee was an unbelievable value. When economic times improve, I wouldn't be surprised to find the price to stay become heavy for most budgets, so now may be the time if you want to treat yourself and someone special to a real upscale treat. I was not asked for any donation as I read in a different post. Only one minor complaint was that one morning my shower did not quite get as hot as I would have liked, but other times it did.	
Mar 8 2009 	Most Memorable Stay Ever	We have just returned from the most memorable hotel stay ever! The staff at the Trump Hotel exceeding our expectations in every way. My husband and I were going to stay to celebrate our Birthdays and decided at the last minute to take our childlren. I am so glad we did, as they received the most amazing treatment ever. This hotel really caters to children and as parents really appreciated the special treatment. Not only did they keep our children busy but the little details they add to make it enjoyable and relaxing for the parents is out of this world. I was so sad it check out as I didn't want this experience to end. Definitely worth every penny we spent. The service is what makes this hotel so unique. In a world filled with terrible service at every turn, it is a breath of fresh air when you find staff that takes such pride in their work. My kids have already asked if they can forego their next Florida vacation and stay at the Trump. I LOVED IT!	
Feb 27 2009 	Beautiful room view and location!!	We have stayed here twice recently with our sons age 4 and 2, November 2008 and February 2009. The suites are amazing, huge and beautiful, the windows are floor to ceiling and the view is fantasitc, the only way to travel with young children. Kitchen with microwave, stove, expresso machine, silverware/plates, and a fridge you can put your own things in to. Master bath with TV in mirror, comfy robes. Staff is so friendly, remember our names, ask how things are, answer any ?'s we may have. Upon arrival to our room there were 2 plates with the boys names in chocolate and 2 huge cookies each, which of course they loved! We ordered room service twice in both our stays and the food is fantastic and there was a kitchen table we could all sit at. Pool is very nice, there are even toys for the boys to play with! The air is very warm but my one complaint here is I think the pool is cold, of course once you are in it's fine, but my boys couldn't stay in longer then 25 minutes and they were shivering and lips were blue, very minor, but thought I would include for those travelling with young children. Now for my complaints, the first time we stayed we had a prob with the tv in the bedroom, we couldn't control the volume, couple of phone calls later we had a new tv, not a big deal. However, 2nd stay, the dvd player in the bedroom didn't work, the one in the living room worked fine, called 3 times, first 2 times someone came while we were out, and the player was still not working. I think they were &quot;fixing&quot; the living room one which was fine. the 3rd time I called and let them know what was happening and that we would be in the room to show the broken one. No one showed up. based on this I gave a 4 instead of a 5.	
Feb 20 2009 	Perfect in Every Way	My husband and I stayed there the night for valentine's day. The hotel exceeded our expectations by far. We were allowed to bring our pup who weighs under 10 lbs. They even brought in a bed for our pup, a dish for her, a collar and leash, treats, poop bags for when we walk her, etc. The concierge provided us with written confirmation of our dinner arrangements outside the hotel upon our arrival. The room was immaculate and the service was spectacular. It was worth every dime. We will definitely stay there again.	
Feb 18 2009 	Superb staff	We stayed at the Trump Tower in mid Feb 2009 and were absolutely delighted with the experience. The staff couldn't have been more helpful - the room on the 27th floor was exactly as I had requested and hoped for and the indoor swimming pool was fabulous.The room rate was excellent value - we could easily have paid double for this level.There wasn't really any downside except the restaurant was a bit pricey - it was also excellent with a marvellous view over Chicago river, perhaps not quite such as a cracking deal as the hotel.	
Feb 9 2009 	Exceeded all expectations	We had an awesome time at Trump Chicago this past weekend. Our suite exceeded all of our expectations (and, we have high expectations - we typically stay at the Ritz, Four Seasons or Peninsula in Chicago). We stayed in a deluxe one-bedroom suite. It was at least 1,500 square feet. The kitchen and both bathrooms were beautifully decorated, stocked and appointed. The fireplace in the living room area was a very nice touch. The bedroom part of the suite was huge and included an enormous dressing area just outside of the master bathroom. This hotel clearly anticipates guests needs and delivers - in most high end hotels, you have to request what you need for a bath (salts, oils, sponge, etc.) - Trump includes all of this with the room. In the kitchen, we had a very nice selection of high end teas and an espresso machine. The Sub-Zero refrigerator was stocked with all sorts of alcoholic and soft drinks. In fact, the suite was so nice that we canceled our dinner reservations at a nearby restaurant, visited a local grocery store and made dinner in the suite! The staff at Trump delivered a bottle of chilled champagne and a tray of chocolate-covered strawberries to our suite as we were arriving - we enjoyed these treats as we prepared dinner. I should mention that our suite had very high ceilings - the drapes were so long that they opened/closed electronically, by pressing buttons on the wall. The huge expanse of ceiling to floor windows overlooked the Chicago river and nearby buildings - very urban - we felt like we were downtown Chicago residents. All of the lights in the suite were on dimmers so that we could create some very romantic conditions throughout the suite in the evening. I could go on and on - but, I'll wrap up by saying that Sunday brunch at Sixteen was awesome - especially the dessert selections. And, the pool area/fitness center was in line with a 5-star resort - very impressive. Finally, I loved the staff - everyone who we encountered went over the top to make sure that we had everything that we needed and wanted right when we requested it - from simple things like a DVD to watch on Saturday night to stocking my favorite green tea in the suite - no request went unanswered - and every request was handled professionally and timely. I couldn't have been more impressed.	
