	Good downtown business hotel	Great location, reasonable conference rates, small but clean &amp; tidy rooms, free wireless at a business hotel! Convenient to Blue Line Jackson station	
Sep 23 2008 	Great Price - Great Hotel	Club Quarters Central Loop was a fantastic hotel! It was very inexpensive compared to surrounding hotels and we were in the middle of everything. Here's the downside to this place: the rooms aren't very big. Don't get me wrong, they're adequate sized rooms, it's just that some people may be accustomed to larger spaces. The hotel is very neat &amp; clean and everyone who worked there (that we dealt with) were nice as could be. We arrived late on a Friday night (11pm) and nothing in the area was open for food except the 7-11 across the street. We went over and grabbed some microwavable food and brought it back to heat up in our hotel room (microwaves in each room!). We realized we had forgotten napkins, utensils and paper plates. I called down to the front desk and within 5 minutes we had all 3 at no charge. Also, they offer complimentary filtered water on every floor, complete with 20oz plastic bottles to take it with you. Not something that's going to sell this place, but it was a VERY nice accommodation to have.The hotel is located very close to the Red Line and Blue Line subways. The Blue Line will take you right to O'Hare in about 40 minutes time. I highly recommend doing this if it's during the day. It's very inexpensive and convenient. The Red Line train will take you up to Wrigleyville. You won't have to walk more than 3 blocks to get either train from the hotel.There's a Starbucks next door, a Dunkin' Donuts a block away, a Subway nearby and lots of good restaurants within walking distance. The bar/restaurant attached to the Club Quarters in the Elephant &amp; Castle. Excellent food, reasonable prices for a hotel bar. $65 for 2 people, drinks, dessert &amp; 20% tip all included in that price.Bottom line is you won't find a less-expensive hotel that this in the Loop. It's convenient to everything and very clean. Shoot me a message if you have any questions. Thanks!	
Sep 2 2008 	Great Value	I booked the club quarters based on our desire to stay in chicago without paying a fortune and without spending money on a car rental. The club quarters was perfect for this. The rates were unbelievably reasonable for a hotel on the loop. Its location about half a block from a blue line stop made it perfect for avoiding the need for a rental car. We were able to take the blue line from Ohare luggage and all without much hastle. We were able to access the entire city via the trains and the hotel is only a few blocks from the waterfront and millenium park is even within walking distance. The hotel itself is top notch. Nicely decorated. Free refillable water bottles with purified water on every level. Room was adequately sized, and the bed was comfortable. The kitchenette area was wonderfully convenient. Service was very good. Room was spotless and nicely decorated. Nice work area with both wireless and ethernet internet availalbe. Bathroom nicely appointed. I would and will stay here again.	
Aug 31 2008 	good hotel	A very centrally located hotel inside the loop.Clean rooms,toilets and above all very safe.You need the room keys to access the lifts.they have a automatic check in system which was new to me.jsut insert your credit card with which you booked you will get the keys.If you are travelling by car they have valet services who could get your car in and out of car park any number of times a day.they have water coolers and clean bottles on all levels.we had a pleasant stay. Dont miss the speed boat ride from Navy pier its really nice.	
Aug 28 2008 	Too many better hotels to stay there again	A little background about the hotel: companies buy memberships, and then their business employees can stay there. You have to have a membership to stay there, however on the weekends, they open the doors to the general public. It is quite obvious that the staff do not like dealing with the general public, they treated me as though I was junk. The story only gets better! This is the first time I have ever gone into a hotel that Ive booked online and not been able to check-in immediately. Not that big of deal, I understand, it was just a little off-putting. The rooms aren't that big, but they arent too small either. You need to keep in mind that this hotel is intended to have its rooms used by single business travelers. There were only 2 pillows on the bed, and when I called for 2 more - THEY NEVER CAME! it was crazy! No call to tell me that we wouldnt be getting them, we sat there, and waited to go to bed, and eventually just had to deal with it. READ THIS:Then, the next day, as I was checking out, the valet brought my car up (after 20 minutes). I will admit that it is my fault for not thinking ahead, but I had no cash, and I completely forgot that I needed to tip him. He gets out of my car, and when I grab my keys from him, he says &quot;oh, nothing for me?&quot; I was seriously embarrassed and felt bad that I had no tip. I apologized profusely and told him that I had no cash on me. He says &quot;really? nothing for me?&quot; I'm still upset and apologizing. Not so much when he then says &quot;oh, so my kids have to go hungry tonite?&quot; Seriously? Is that really appropriate? I just paid $40 to have my car parked overnight - I don't think they need to hound me for a couple of bucks. I will never stay there again. It wasn't awful, the room was clean and comfy, the location was great, but the service all around was terrible. There are too many other hotels in chicago for me to even think of staying at the Club quarters again.	
Aug 24 2008 	Great 1 night stay	My wife and I, along with another couple had planned a trip to Chicago for a day of bike riding and then a concert at Ravinia. I booked at Orbitz.com and had read many reviews. I paid $150 (Tax included) for a Saturday night stay and I was pleased with the rate. The hotel is right in the loop and only about 4 blocks from union Station.  Upon arrival the front desk staff was nice and they stored our bicycles in a secure room at the hotel for free (We did not want to risk leaving them locked onto the bike rack in the parking garage). The room was small, but not bad for a downtown hotel and we basically only were there to sleep. The room was recently remodeled and the bed very comfortable. The windows have a thick pane and we could hear very little street noise. There is no tub in the bathroom, but since we don't use a tub the shower was more than adequate and was a good size. There is free bottled water on every floor, which is nice.  The area around the hotel is ok. We walked back to the hotel at about 2am from quite a distance away and never felt unsafe. Overall this hotel is a great value for the money and we would definately stay here again. They do validate parking for a garage about 2 1/2 blcoks away and I paid $19 for the 24 hour stay - not bad for downtown Chicago!.	
Aug 5 2008 	Good location comfortable sleep small rooms - no ammenities	Booked with priceline. Next time I'm going to target hotels directly on Michigan Ave. instead of this one on Adams and Clark and try to negotiate. It was just average value for what I expected. Having said that, for $120 a night in Priceline we felt lucky, since we found out while we were there, it was Lalapalooza and a Cub's game last weekend!Pros: Good location, convenient, clean, quiet, pleasant staff, microwave, mini-fridge, free refillable water bottles.Cons: few amenities for 4-star, small rooms, clunky tv/remote, small bathroom, no tub, no view.Because it's a business hotel it wasn't the type of hotel you'd want to stay to relax with some TV and go to the spa, just in case you were that type of 'getaway traveler' in Chicago. . It's a sleep. Nothing more.	
Jul 31 2008 	Perfect Fit 	This is the 3rd time we have stayed at this location and each time we are happy with the stay, expecially for the price in the loop. In July we stayed here for my birthday and were on the 5th floor. I can tell there has been some reconstruction to the rooms and was glad for it. The beds are comfortable and the bathroom was plenty big. No tub, but the shower is so nice and big too.In each hallway there is a closet for extra pillows, blankets, iron, etc. and there is a closet in each room.Yes, the rooms are small, but still big enough for my husband and I to get around in. This is a business class hotel first and foremost, but we are in Chicago and there is always so much to see, no matter how many times I have been there. Also...we have stayed in Chicago many times and have stayed at some of the finer hotels and the rooms are not much bigger than what we had at the Club Quarters, and great service too.This hotel is right on the corner of Adams &amp; Clark. A short walking distanvce to State St. Shopping Mall! There is a great british pub next door called Elephant &amp; Castle. The bread pudding was devine, and they also have a website if you want to check it out before you go.There is also a Giordano's Pizza a 2 blocks away that delivers to the hotel.Not to mention a Starbucks on the corner right outside the hotel, a 7-11 across the street, and a great deli on Wabash called, &quot;Ada's Deli&quot;. We always take the Amtrak train up, and it is only 4 blocks from the hotel.While there this time we went to see Blue Man Group! This was an incredible show and great for all ages, Go if you can.We will be back to ClubQuarters...I think next time we are going to try the one on Wacker!	
Jul 29 2008 	A Club worth joining	I was a bit worried after reading so many iffy reviews on Tripadvisor, but the moment I walked into the room my anxiety disappeared. Though smallish compared to typical modern hotel rooms, it was crisply clean and comfortable and, indeed, no smaller than the room I'd had at a 4-star Loop hotel on a separate occasion. I figured that the cost of our two-night stay at Club Quarters was about 60% of a comparable stay elsewhere in the Loop. Likewise, the reviewer concerns about the Club Quarters' location seemed odd, since we felt that this hotel was ideally located to accommodate our to-ing and fro-ing. Despite my 60 years, walking to the Sears Tower, the Ogilvie Transportation Center, State Street, the El, the subways, Grant Park, and the Art Institute wasn't unreasonable. It's also pretty handy to the freeways.Parking is in a self-park garage two blocks away, though the cost is about half of what overnight parking is at other Loop hotels. And valet parking IS available. A small sour note: though our check-in on a Friday afternoon and check-out on Sunday morning were quick and easy, the desk clerks seemed otherwise swamped with lobbies-full of travelers whenever we wished to inquire about something. All in all, this smart little hotel helped make our visit enjoyable and care-free.	
Jul 24 2008 	I will return	This hotel was very comfortable, attractive and had nice amenities for a very reasonable price. The reason I did not give it a 5-star rating is because the housekeeping services in the room were sub-par. I stayed for a week and the housekeeping service was worse each day -- by the end they were not bringing towels and not replenishing or cleaning the coffee service.Everything else was great. I liked the fitness room. There was a very comfortable work lounge with free refreshments that I used most evenings. They will print your documents for free through an online service. The desk staff was extremely helpful, polite and accommodating. My room was quite small but nice and comfortable. I had a fridge and a microwave which is very important to me as I don't like to eat out.I need to go to Chicago two weeks a year and I will go back to the Club Quarters!	
Jun 30 2008 	Stopped using priceline because of this place	Got assigned this place on priceline for all the guys in my family to come to Chicago for the weekend and catch some Cubs games. Because of this hotel, I have forever sworn off priceline. The rooms were smaller than the University of Chicago dorm room I was living in at the time, and the furnishings more spartan. It was clean, but it was kind of like Motel 6 in terms of amenities. Unlike Motel 6, (which I happen to like, by the way) it was not $29.95	
Jun 27 2008 	Good location friendly staff but noisy	The hotel is very well located in the centre of Chicago, just a few blocks away from many important locations. The staffing is friendly but at bare bones levels, so it can take a long time to check in, especially in the late afternoon.The rooms are small and clean. The problem is the noise. There is construction going on and if you're in the wrong room, you're woken up at 7 am by banging and drilling. My room faced over the back of the hotel, right above the garbage cans, so I was continually disturbed at about midnight by trucks banging around.	
Jun 25 2008	Great hotel but bit out of the way	The hotel is very nice and and the rooms very luxurious if a little modern. Service is excellent. Only downside is location you are on edge of centre and it is a bit of a trek into the lively places. Not many bars, etc in immediate vicinity. Overall though good place to stay.	
Jun 23 2008 	Small room but unique value-adds partially made up for that	Stayed for three nights early in June 2008 - booked online withExpedia.The Good:- Free filtered water &amp; bottles- Good business desk and Internet access- Location - lots of good places to eat within walking distance - Reasonable fitness facilities- Great shower head on a hoseThe Bad:- Renovations on front facade and hallways- Very small TV that was not facing the bed area comfortably (got a sore neck from straining to see it- Fairly small room - not quite a Manhattan bachelor apartment, but not a whole lot of room to stretch out in	
May 28 2008 	Would stay again	Right in the financial district safe area of town. Elephant and Castle restaurant is connected to the hotel, very good food. One thing to keep in mind is you get charged something like $15 to rent a hotel room a night that goes to the state of Illinois and the city of Chicago. Room was very nice, had a desk and wifi so I was able to connect my laptop and get some work done. Right down the street from the Sears tower.	
May 22 2008 	Great find!	We stayed here while in town for a friends wedding...it was a great little find! The hotel was immaculate and the location is perfect. We were within walking distance of a number of EL stations and had plenty of food nearby. The price was completely reasonable for the quality and location!	
May 16 2008 	Great room not so great location..	My boyfriend and I stayed here for 3 nights and enjoyed the hotel immensely. We booked on Expedia for $105 CAD per night. The room was modern, clean and the bed was very comfortable. The washroom was great...we loved the stand-in shower rather than the traditional bath style. The front desk staff was responsive and friendly. Our room was tidy and cleaned very nice daily. Our only non-recommendation is the location. It was located in the financial sector of downtown..approximately 15 minutes walking distance to Magnificent Mile, which is where all the fun places are! We felt very uncomfortable walking back to our hotel at night. If we visit Chicago again, we would probably stay at a hotel in the Magnificent Mile. Tips:- The famous Chicago deep dish pizza isn't all that great.- Cocktails on the Sears tower building isn't all that great either because the window seats are usually always taken.- The boat tour is a must!!!- Shopping was great in the Magnificent Mile area!	
May 11 2008	Be aware - hotel is under renovation choose room carefully	This hotel is under renovation/ construction, the rooms had a stale musty smell, (we tried 2 differnt rooms) the hallway was very noisy (floor 4), combined with alley view and 2 am trash truck in the alley below. I think we had the worst possible room in the hotel - I now understand why the room rate was so good, I would rate this below a 3 star hotel.	
May 4 2008	Stealing be aware	My purse got pick pocketed in the revolving door of this hotel. The hotel employees in the front paid no attention and were not vigilant to what's happening on their watch. When the management was notified, they said it wasn't their &quot;responsibility&quot; and took no interest.	
Apr 16 2008	Absolutely Love This Hotel and Service!	I recently stayed at this hotel and was skeptical because of a few bad reviews. The construction is still ongoing, but this hotel's staff was over the top accomodating and went beyond common courtesy to assure my stay was wonderful. No dust or any incoveniences. I am a very critical person when it comes to cleanliness, and especially customer service. The staff was very helpful and informative. The room service was the fastest I have ever experienced, too! There was &quot;always&quot; someone available 24 hrs. a day and they were always extremely professional and well kept. I received help with personal items that did not require their assistence and they were the one's to make the suggestions that created more work for themselves. I will always stay at this hotel when I stay in Chicago. The area is centrally located and has many conveniences nearby, too. My room was a little on the small side, but it was perfect, including the cleanliness!	
Apr 9 2008 	Great choice for a one-night business trip	I booked my stay through Hotwire for a conference and was fine with the hotel I 'won'. I have stayed the Club Quarters in San Francisco and expected a small room with limited amenities. I was surprised to see a fridge and microwave in my room. What a nice perk. Unfortunately the bed was horrible---there was a indent that resembled a bowling alley lane in the middle of the bed. And the pillows were so soft my neck hurt the next day.The service was fine (not extraordinary). I definitely recommend for a cheap one night stay.	
Mar 11 2008 	Good deal for Loop	We stayed here while attending a wedding in July 2005. We knew it was a small, business persons hotel and were pleasantly surprised by the size of our room. The room was spacious for two people and the bathroom was also large. The staff was friendly and knowledgeable about the area and the L was only a few blocks away.	
Mar 11 2008 	Perfect for Business	I am not sure what problems the other reviwers are referencing. I recently stayed at Club Quarters and while I could tell they were renovating the renovation was being handled in a professional manner and I hardly noticed. I am a business traveler and I have experienced far worse renovations. Internet was perfect, felt very secure for downtown Chicago, room was spotless and bed was very comfortable. I could have paid $100 more down the street for a little more room but I felt I got a great value. Morenique and Aaron were incredibly helpful at the front desk.	
Mar 2 2008 	Checked out early and moved to another hotel!	Renovation of the hallways and lobby? That means dust, fumes, and more dust. No one mentioned this when I booked. After a few nights of coughing, swollen eyes, and no sleep, I moved. Oh, and they shut down the restaurant for a week too with a day's notice. And the internet wasn't working properly so that my outgoing emails weren't being sent some of the time. Was there any offer of reduction in the price? Of course not. For just a few dollars more, I moved less than 2 blocks away to a hotel with a normal sized room, a much more comfortable bed, heat that worked, and really pleasant and helpful staff rather than people who were watching tv while I was talking to them about my problem. Never again - and I've stayed there many times - each time with one problem or another. It's cheap but there's a reason it's cheap. I used to say it was at least clean. Well, not this time.	
Feb 28 2008 	Construction woes at Club Quarters Central Loop Chicago	My partner and I checked into the Club Quarters Chicago Central Loop for a two week business trip. We were informed at check in that we would have to move from our first room on the 6th floor after a few days, as construction was scheduled to begin there. The hotel's plan was to move guests around as construction progressed: supposedly we were to be moved to a renovated floor. On the day of the room switch, I discovered that we had been moved INTO a construction zone. Renovations on our new floor had not been completed as planned: the ceilings in the hallways had no tiles--wires were hanging down, and pipes were exposed. Plastic sheeting hung in front of areas where construction was ongoing. The hallways had no paint or wallpaper--electrical sockets had no faceplates. The whole floor smelled of dust, paint, etc. Notes from the management to the guests before the room switch thanked us for our cooperation, but this was beyond belief--no hotel guest could reasonably be expected to stay in those circumstances. The hotel manager was upset by my complaints (I doubt if I was the only one to complain) and after some wrangling offered to move us to a Club Quarters about a mile away. We accepted the offer. I do not know whether the same offer was made to everyone affected. The hotel should never have expected guests to pay for such sub-standard accomodation. They should have delayed the start of construction on a new floor until rooms were ready for occupation on another floor. According to the management, construction will not be completed until June 2008--those considering staying at this Club Quarters before then--be warned!!	
Feb 15 2008 	I'd stay here again	We had lowered expectations due to some of the feed back we read from other guests comments.It's true that the rooms are on the small side but the helpful staff and the location made up for the room size.There were three of us staying in the room so we needed a roll away bed. We needed to upgrade to a &quot;Premium&quot; room to have space for the roll away. The premium room had a fridge and microwave which were very handy for leftovers. The room was clean and in good repair. There was free bottled water at the elevators which was a nice touch.I'm from a small town and had some difficulty finding the parking garage which was approximately three blocks away. Joseph was working the night desk and walked a half a block with me to point the way. I was very impressed that he would go outside on a cold night to help me out like that. Note that the regular public parking rate is $38 a day. The Club Quarters will validate your ticket which will reduce your rate to $20 a day.We also came home early one day and startled our maid which threw her out of her routine. She was going to replace our empty Kleenex box and forgot after she scurried out of our room. I quickly chased her down to ask about getting Kleenex and she apologized four time for forgetting to leave a new box. We had nothing but positive experiences with all of the staff we dealt with.The hotel also offers complimentary wireless internet which was very helpful for checking schedules and activities for site seeing.The location was perfect right in the heart of downtown. We were very happy with the location and would surely stay at this hotel again.	
Feb 12 2008 	Not as bad as I thought!	I went with my husband on his business trip to Chicago. The week we went was not the best week, it snowed/rained the entire time. Now our last trip was our honeymoon to St. Lucia, so my mindset is still 5 star quality!!! I was a little hesitant after seeing the pictures on here of the rooms....in all actuality, they weren't bad. We had a suite so we had a little extra room. Sort of strange to me how long and narrow the room was. The bathroom was very tiny, we didn't have enough room to unpack all of our toiletries. Our view was of course of the alley, so that was sort of bothersome. Since this hotel is aimed for business travelers, it gives you all of the necessities, but nothing past that. It was nice to have free bottled water in the hallways. I checked out the workout room on the third floor. It was adequate, a couple of treadmills and a weight machine. Although they say you can request workout machines to be brought to your room. The food in the pub downstairs was ok, not great. There is plenty of room service available, with menus from other restaurants that will deliver. our favorite meal was the pizza/italian place right around the corner from the hotel, I forgot what it is called...Gordonos or something? Anyways, it was really good. If you want to do some sight seeing go to the Signature Lounge in the Hancock building. Very nice. Also we had fun skating in the outside rink in Millenium Park :) Michigan Avenue is where you need to be for the stores and shopping. All in all this hotel was just ok. Not great, not bad. Just in between	
Feb 5 2008	Hotel remodeling in January 2008	This hotel was undergoing renovation in 2008, so part of the first floor was closed. The hotel was generally better than other Club Quarters I have visited in DC, New York and Chicago. The staff is very professional and attentive.The hotel also appeared very clean and well kept. Problems with my room were fixed on the day I reported them.This is a good hotel to choose if you are working in the financial district; many things in the area close down at night, and the usual Chicago attractions are far away. Nevertheless, the hotel connects to an &quot;Elephant and Castle&quot; restaurant, and there is a Starbucks on the corner.	
Jan 23 2008	So-So	The hotel has a few things going for it - 1) great location, 2) very clean, 3) neat pub on the first floor.However, it was extremely TIGHT. We wern't expecting a spectacular view but the view of the alley was a little grim. I am thin as is my fiance, and I felt like we could barely even get INTO the room. I think they may have coverted 1 room into 2 rooms all around the hotel. Also, there's no bathtub - just a small shower with a shower curtain that causes all of your water to leak out on the floor...I would not go back - much rather go to an Embassy Suites or a Doubletree.	
Jan 12 2008 	Good stay few frills	Very central location in the Loop, convenient to trains, some good restaurants and adequate shopping nearby but this is basically a business district so unlike the Magnificent Mile area it's very quiet (= dead) at night.Although CQ is known for small rooms, ours was quite spacious and very clean with nice furnishings. It did not have a fridge or a safe, though. There was construction going on at the front of the building; management said they would put us in another room if noise was a problem but we never heard any. Room was a little chilly during the day but very warm in the evening. We had no interaction with staff except for checking in and out but they seemed to be OK. One thing that I really appreciated was that even though we showed up at 7:00 a.m. after a red-eye flight into O'Hare they let us check into our room right away, no hassles.Amenities included a computer room and small exercise room. Free coffee usually available in the lobby (but not always when construction was going on). Internet connection was available in our room (for a fee I think) but we didn't use it.All in all we were very satisfied, especially since we got a reasonable rate on the internet, and we were basically using it as a base for work and entertainment expeditions. But if you're looking for a place with the full range of amenities this probably won't be what you want.	
Jan 1 2008	No frills but good	I was a little skeptical about staying here since some of the reviews were not very good, but was pleasantly surprised when I was greeted by a nice lady at the lobby, who helped me check in using the kiosk.It's true... the room we stayed in was small (European-size), especially the bathroom, but for the price we paid on Hotwire, it was a decent accommodation in downtown Chicago. If you're a light sleeper, the slamming of doors might bother you, but you should be too tired from exploring the city to hear anything.Located in the financial district, it was nice and quiet after hours and a pleasant walk from Michigan Ave and close to the beautiful Millenium Park. Parking is a bit of a hassle since it's not on-site, but at $19/night compared to the average of $30-40/night elsewhere, it was ok especially if you're on a budget.For good breakfast, try Lou Mitchell's near Union Station as most cafes (not even Starbucks beside the hotel) aren't open on Sunday morning.	
Dec 25 2007 	Yeah good location....But.....	I stayed at Club Quarters July 2006. This was my 2nd stay at this particular Club Quarters for a visit to Chicago. My first trip was in 2004. At any rate....the reason I stayed the SECOND time was cause the 1st experience was grand. I don't know what happened that 2nd time around, cause nothing was really right this time. The 1st time I went, a friend and I were going to Chicago on short notice on a short wknd and needed a hotel in which to stay that wasn't far from everything and we came across Club Quarters after searching online and finally finding a place centrally located downtown AND at a good price. (Like $98 per night)...and for downtown Chicago, thats not bad. The location is GREAT. I carefully read reviews, but took my chances seeing how neither of us were picky people anyway. The 1st time to Chicago, I kind of expected the small rooms, cause seems as if 90% of reviews mentioned this. Yes, the rooms were small but we arent the types that require much space, so we didnt care. We were out of the rooms most of the time anyway. 1st stay was great, 2nd stay...scary.The rooms were FREEZING. The air would't go off even when it WAS off!!!!!! We complained but was never moved stating that they were booked for the weekend. How is it that that's the #1 answer when you have a complaint to the front desk?? Secondly, the parking. We had to park like 3 blocks away from the hotel, and WALK back. TERRIBLE!!! That, also wasnt the case the 1st time we went. Hmm...anyway. Yes they had valet, but it was some insanely expensive price at the time. I don't know if that's changed or not. I will say the LOBBY was pretty and for the most part, the hotel was quiet during our stay. Occasionally you can hear the people in the room next to yours entering or leaving THEIR rooms, but for the most part I can'r recall being constantly awakened by noise. Overall, its &quot;okay&quot;...I guess. But after the 2nd experience, I'll probably never stay there again.	
Dec 24 2007 	Great Location and Value	I rate this ABOVE AVERAGE + Great location if you are traveling by train, only 3 blocks from Union Station. Very easy to walk to theater district and not a bad walk from Michigan Ave shopping. Star bucks and Elephant &amp; Castle Pub are djacent with 24 hour 7-Eleven across the street.Small, clean room but it was very well laid out with everything we possibly needed. We saw much smaller rooms in Chigaco for more money. We got an excellent rate for tis stay at Hotels.com.Computers with Internet in the lobby were nice and the desk clerks were very helpful and polite. Would recommend for any single or couple going to Chicago for a visit. We are planning to stay there again in a few weeks .	
Dec 19 2007	Nice location very small room	I booked this trip on Hotwire so I didnt get to choose the hotel. The location and price were great though for what was listed as a 3 star hotel.Im 6'4 so consider that before reading further.Everything about the hotel was small...the lobby, the elevator, the halls, the rooms. The room had a tiny bed, a tiny window, a tiny bathroom, and overall just very small. It wasnt bad since I didnt do anything but sleep there but it was easily the smallest hotel room Id ever seen. For the hotwire price I cant complain though.Hotel is within walking distance of the Sears Tower, Lake Michigan, Chicago River, and Magnificent Mile. Or you can take the subway to wherever you want to go. Not many places to eat around the hotel so you will have to walk several blocks away. Subway station is 2 blocks either way.Overall a decent hotel, more suited for smaller people traveling alone. I dont think any rooms have more than one bed.	
Dec 19 2007	Very Efficient	A great location within walking distance of everything South of the river, where most of the business centers are located. Great food and theatre within a very short walk ...	
Dec 19 2007 	Great Hotel Very Affordable Excellant Location	There are Pro's and Con's to this hotel. The front desk is awesome. Especially Joseph- He was super informative very very helpful. I called from O'hare Airport and asked how to get to their hotel. He gave me step by step directions that litterally took me all the way to the door. He booked a shuttle trip for me back to the airport, and instead of just telling me the information, that I may have forgotten, he typed it up. Anything I needed, he did his best to get me, or find alternatives.Hotel Pros.Automated Check In... Never seen this before, Thanks again JosephVery clean roomsFree WifiFriendly staffCons.Super Small RoomsPros out weigh cons in my opinion.I will stay here again. I will stay here everytime Im in Chicago.	
Dec 18 2007 	Great Place	I recently stayed at Club Quarters-Central Loop. The place was clean and a nice room off the lobby with computers, cookies and coffee. The rooms although a littler smaller had all the amenities and if i needed something else and the front desk staff got it for me. Aaron, Alyia and Marcus was tending to the guest and were quite knowledgable of the area and restaurants. I would stay here for sure agian and again, you just can't beat the price.	
Dec 3 2007 	Club Quarters- Terrible	Do not stay at this hotel. This hotel was the worst hotel I've ever stayed at.1- The hotel staff is EXTREMELY rude. I am a very laid-back low key person and I could not believe the rudeness with their personal conversation, gum chewing, and overall lack of personal care to me as I checked in, checked out or ask the staff questions on directions. I was hoping they would at least fake a smile or make eye contact. I would get better service from a comatose monkey.2- Valet parking is a joke -- the valet was not at the front as I circled 4 times and called from the car to the front desk asking &quot;do you have valet&quot;? Finally he came out and than he stated to me &quot;its $36 per night - you should save your money&quot; WTF!!!!!!!!3- Rooms were extremely small with a bed that was a little bigger than a twin bed. I'm thinking that's fine because I'm only paying $169 per night. The WORST -- they had put a feather bed on top of the bed to make it &quot;nice&quot; and all the feathers were pokeing through pricking my skin all night. I thought I was being bitten by bugs at first--- turns out it was the feather from the feather bed. No extra sheets nothing to put on top of that.I would never ever stay at this place. I stayed here because a friend mentioned that this was located to where I needed to be. NOT WORTH THE MONEY --EVEN IF THEIR RATES ARE CHEAPER---YOU WILL REGRET IT!!!!! THEY SUCK!!!!	
Nov 18 2007 	Eh...I've stayed in better and I've stayed in worse.	This was my first trip to Chicago and we got the rooms on priceline.com for $100 per night. I went with 2 other people who shared a room and I had my own room. The room for two people had two TWIN beds. I couldn't believe my eyes! I have never seen twin beds in a hotel in my life. These were two grown men and they said they felt like they were in summer camp or having a slumber party. My first room also had two beds, but the front desk was very accomodating and let me switch right away to a room with one FULL size bed (also extremely strange to me). However, when i went down to get my room key, the front desk clerk jokingly suggested that I might be a problem guest and told me not to come back down to get a room with a view. And yes, I had absoloutely no view except of an alley and another building in my 1/4 size window. However I was happy enough to not have to sleep in a twin bed.The rooms were nicely and contemporarily decorated, but the overall hotel layout was still odd (like having to enter rooms on an angle, really small hallways, weird windows, tiny terrible tv). The stangest part of my entire experience is that they have a sign in the bathroom that says something about how to conserve energy and water, they will only replace towels every other day (also the same for bedsheets). However, if you would like them to replace towels before the second day, that you may place them on the bathroom floor and they will be happy to replace them with fresh towels. Well I decided i needed new towels and after the first night, i placed my towels on the floor to be replaced. After a long day, I got back to my hotel and went to take a shower. The hotel staff took my dirty towels but didn't replace them with any towels. I literally had not one towel in my entire bathroom. I called housekeeping, which apparently is closed after 5 or 6pm and got transferrred to the front desk. The front desk sent someone up with an incomplete set of towels in about 25 minutes. I found this to be an annoyance an inconvenience and for the remainder of my trip never put towels on the floor again for fear they would not be replaced. The last part I want to discuss is my checkout process. The purpose of my trip was business and one of the people I was travelling with had put the room on his company credit card. The day we checked out, we got caught in a business meeting and had to advise the hotel we were checking out late. Even though we told them we would be done and out by 3pm, they never told us there would be an incremental charge of $30 from 1pm-3pm and another $36 from 3pm-6pm and finally after 6pm another $216!!! We checked out at 5pm and when I asked them to place the charge on the original card, they demanded to see it (fortunately my coworker was still there). Plus I asked to pay for my room service on a separate personal credit card, which they told me would not be a problem and took my card. However the next day I checked my credit card statement and they had charged both the room service and the late room fee on my credit card and have yet to refund my money. The best things about the hotel were the centralized location, bottled water machines, the bar/restaurant connected to the hotel (which had last call at 12:15am on a Friday night - totally odd to a New Yorker), and the lobby had a lovely little room with internet and coffee and a tv 5 times the size of the ones provided in the room. But these nice amenities in no way made up for where this hotel was lacking.Would I stay here again? No. Definately not. There are too many options in such a large, lovely city to waste my time again at the Club Quarters.	
Oct 30 2007	Not up to Par........	We stayed at the Club Quarters loop location on the nights of Oct. 19 &amp; 20, 2007. We got a rate of $95/night on Priceline.com. We were put in the &quot;standard&quot; room, which consisted of a double bed, small desk, nightstand, and very small bathroom. Our biggest complaint was the bathroom. It was so very small and cramped that we did not have any room to put our toiletries--there was one shelf that was about 5&quot; wide by 20&quot; long, that's it. Also, the bathroom did not have a fan, and there seemed to be something wrong with the flush valve in the toilet, as the toilet dripped water all night long. There was no iron or ironing board in the room. The room was quite noisy at night--you could hear the sound of traffic, sirens, and the L-train.Plus's --Front desk was very helpful, the room was clean.Probably would not stay here again.	
Oct 24 2007 	Fantastic Hotel	We went to Chicago to visit friends and attend the Taste of Chicago. This hotel was in a perfect location to this event. It was about a 5 block walk from the Taste, which was on Columbus Drive. The hotel was clean, very nice, and it was a very large room. I highly recommend staying here and would definitely stay here again.	
Oct 8 2007 	very adequate !!	Found with package on Travelocity inclusive of airfare. Yes rooms are small, but clean and extra touches such as free wireless access, also nice touch of complimentary bottled water in hallways. Staff more than accomodating, things such as holding luggage when arriving early and also when leaving late afternoon for Ohare. Nice exercise facility, although three of four treadmills not working. Overall great value and would definetely go back. Also assume that on site British Pub is good because it was always packed, we never did go in there. Took blue train from Ohare and walked one block to hotel!	
Oct 2 2007 	Great hotel. Nice rooms Great Bed	Very nice hotel. We stayed for 2 nights. Asked for extra pillows and roll away and received them very promptly. Our room was very clean and modern. We got a room on priceline, so decided to upgrade to a suite. It was a very nice room. Not 2 rooms but bigger than other regular rooms. The staff was excellant. The beds were very good also. The only thing I don't like is you have to put your key in the elavator every time you go to your room. We would stay here again.	
Oct 1 2007	Great Hotel!!	After reading a few reviews on this hotel, i expected to arrive for a room the size of a matchbox. But to my surprise it's larger than previous guests describe. Our room has a small kitchenette (microwave, sink, utensils, plates and a mini-ref). the layout is great and everything seems to be well maintained. There is a starbucks in the building and a 7-11 just across the street. This hotel is just a few blocks away from the blue line, so use the trains going into the city from the o'hare (just $2 one way! cheap!) The EL train stations are also close by so going to any tourist attraction is easy. Try buying the ride-all-you-can CTA tickets, it's well worth the price. With free wi-fi internet and bottled water. This hotel is a great find!	
