	Just OK	You can tell they are cutting back. I know times are hard but when you charge $300 you expect fast service. Room service took way too long and I was late for my meeting.	
Mar 19 2009 	Could've been okay but turned out terribly.	I'll start with the good things: The bed was very comfortable. The room was very clean. The bathtub was outdated, but large. The lobby was beautiful, and the bar was good.And now the bad: The room was a shoebox, and based on the floorplan stuck to the bathroom wall (fire routes), it was easy to see we had the smallest room on the floor. We asked for 1 King bed, and got 1 Queen bed. The bed had only a fitted sheet and a duvet - no top sheet, no blanket. Fortunately, we managed to find a bag in the closet containing the missing sheet and blanket. Unfortunately, we really didn't need it, as the thermostat seemed to be broken and the room was sweltering all night. After supposedly having it fixed for our second night, I once again woke up in the middle of the night and had to go sit in the hallway to cool down. We also requested early check-in if available, and while I didn't mind the $25 fee for this, it would have been nice to know in advanced when I requested it instead of being notified upon check-in.	
Mar 4 2009 	Grand and elegant old hotel	I am in Chicago frequently and generally stay at the Drake even though my meetings are in other hotels scattered around the downtown. I have been staying at the Drake for longer than I care to remember. I will keep coming back as long as they continue to maintain this elegant grande lady. The staff is tops, the place is clean, and it has some elegant history. Sure the Fairmont is nicer, but sterile with little history. Just take a few minutes to wander around late at night and you can just feel the stories oooz out of the walls. I just like to sit in the lobby for a few minutes before heading to the airport...it is so quiet and elegant. I hope the managers keep their careful eyes on this hotel as I would hate to have to give it up. Just one minor issue...the internet is expensive and slow for business purposes..and not wireless.	
Feb 24 2009 	Definitely a mixed bag.	My wife and I stayed at the Drake over a weekend in February. There were some very good aspects, and some very disappointing ones.First, the good ones:-We had a room on the 10th floor overlooking Lake Michigan. It was a beautiful view!-The room was large and nicely furnished. -The Drake Brothers restaurant was excellent for breakfast - great food and great service. And we got a $30 per person voucher for being Diamond members. (Yes, you do need the whole $30 each!)-The location of the hotel is great. In addition to the view, you can easily walk to many shops and restaurants. You don't need a car to experience this part of Chicago. We took a cab from the airport ($25). After our two days at the Drake, we simply walked across the street to the Hertz location at the Westin and rented a car for the rest of our trip. That allowed us to avoid the $50 per day parking fee.-There are several great shops in the hotel. The Mangel Florist shop provided a small bouqet of beautiful red roses for only $25. There was an art gallery with beautiful paintings and a very freindly owner. Don't miss the Lavazza Coffee Shop in the shopping area of the hotel - great coffee, super friendly service (translated: not snooty - see below), awesome sandwiches, and a relaxing atmosphere.And now the disappointments:-The executive lounge is closed until &quot;late March&quot; due to &quot;lack of business&quot;. So definitely don't pay extra for a room on the executive floor hoping to use the lounge. As noted above, the substitute breakfast vouchers work well for breakfast. But check your bill - we were charged for breakfast the first day.-The lobby area is undergoing renovations and much of it is covered with scaffolding and giant sheets of plastic. I notice that's disclosed on their website now, but wasn't when I made my reservation.-The Palm Court Lounge was a disappointment on Saturday afternoon. We did not feel welcome at all and the staff was quite snooty. We got up and left and had a wonderful time in the Lavazza Coffee Shop. I'd recommend the same choice for others.-Check your bill closely. We were charged for breakfast one day when it should have been free, and were also charged for some mini-bar items. And that was before I even realized there was a mini bar.-The bathroom was small and in need of updating. I guess at the end of the day, an old hotel is still an old hotel.While I'm glad we had the experience of staying in this landmark hotel, we probably won't be back.	
Feb 9 2009 	Loved it! I need to come back!	Stayed at The Drake at the end of a business trip. It was fantastic! Located in downtown Chicago just 1 block away from the John Hancock Building next to Lake Michigan. You could see the beauty of the hotel even though a large part of it was being restored to it's 1920s glory. The staff were extremely friendly, knowledgeable &amp; nice. The rooms were fantastic &amp; beautiful! A regular room is like a mini suite! The bed was comfortable too. I need to come back here once the hotel is completely restored. I would recommend it to anyone.	
Jan 28 2009 	The Drake Luxury/Service	Stayed at the Drake just for the weekend for a quick getaway in Chicago knowing that the weather would be horrible (snow &amp; cold).Check in went great. Due to low occupancy, front desk gave us a free ugprade to the executive level. Normally this gives you access to the executive lounge for cocktails and breakfast, however due to the low occupancy rate, the lounge was closed. I did ask if there was anything else we could get instead and the front desk gladly gave us two free breakfasts at Drake Brothers. Pretty good deal so far!Room was great. Very large with four closets! We couldn't remember where we put everything we brought. All the restaurants at the Drake are very nice. Cape Cod Room is our favorite for seafood. Drake Brothers is a steakhouse, however, they do have a very nice breakfast buffet. Coq D'Or is their small lounge/restaurant where we had lunch. It was very good also. The Palm Court is their other &quot;bar&quot; however is also the tea room. They have afternoon tea while a harp plays. It is always very crowded. We went in the evening where they have jazz and it had loads of dancers and was quite crowded also. That evening we decided to try the new Trader Vics which has just opened up after being closed for two years, prior at the Palmer House Hotel. It is just a three block walk from the Drake by Rush St. It was pretty good, however, service was spotty and the food was just so-so. That being said they have a great lounge serving fabulous Mai-Tai's so it is good for cocktails and hors d'oeuvres for sure!We have stayed at the Drake previously and always love their ambiance and great service along with excellent gold coast location. I would recommend it to all looking for an upscale lodging offering good restaurants and service.	
Jan 25 2009 	Still a classy place to stay!	Booked our stay at the Drake on Hotwire, so I didn't know we were staying here until after I'd paid (got an excellent deal, though - over 60% off the going discount rate). I was a bit skeptical about it after reading through the reviews, but thanks to you all, knew the potential pitfalls.When we checked in, I asked for a room on a renovated floor. The clerk asked me if I wanted one bed or two, and I asked for one. As she's figuring out which room to put us in, she says, &quot;Oh, well, you're not only getting a renovated room, you'll be the first people to stay in it.&quot; We also got upgraded to a lake view room. No complaints there! The front desk staff was very polite on the several occasions we visited them.As stated in a lot of the other reviews, the concierge staff was extremely helpful as well. They booked our dinner reservation as well as helping us get two spa appointments at the same time on a Saturday morning with only a couple hour's notice! My only complaint is about the parking - it's valet-only, and it's expensive. Just be aware of that if you're driving in. We stayed for one night, and the parking charge was $48! Your best bet would be to find a self-park garage in the area - realistically, you shouldn't pay more than $30 per day to park, so at the very least, you're saving almost $20, if not more. Still, it's a great location, right on Michigan Avenue, near all the shopping, you're within walking distance of the Rush St. nightlife, and when the weather's nice, you're right across the street from the beach and the lakeshore. Definitely glad we stayed here. Would stay here again!	
Jan 22 2009	A Great Experience	We stayed here over the New Year period 2008/9 and experienced their New Year Ball, a lovely black tie event. The hotel service was excellent and the elegance and age was just what we hoped for. Its location is also superb for a stay in the city. We walked everywhere and no walk was too long.Our room faced the front (South) which was fine if uninspiring though the rooms facing North offer spectacular views of the 'coast'. I found the hotels bar ordinary and expensive, there are better ones just around the corner! Try the 'Grill on The Alley' for a great meal and a wonderful bar.I believe there is a major refurb planned for Feb 2009.	
Jan 8 2009	Grand Old Hotel	The Drake is realy one of those timeless hotels. Even though it is dated in age, and now one of those chanes that tend to strip all personality from a hotel, The Drake Stands out. Its location is superb, right at the tip of lake michigan, and Michigan Ave. The food is great, somewhat pricy but the Cape cod room is worth it. The atmousphere is splendid. It was the first time I took my now fiance home from Ireland, and it was perfect. I can not compliment them more on the quality. I am in the hotel industry and I tend to be picky. I don't think this quite makes one of 'The worlds top' type hotels, but as far as a not about to spend a grand a night hotel, it is top of the league.	
Jan 8 2009 	Fabulous Drake!	Lavish, but not overdone, this hotel makes the average person feel like a member of royalty, if only for the night. Wide hallways and rich, elegant décor add to the charm and old world luxuriousness of this grand old hotel. Great dining and even good shopping choices make this one of Chicago’s most elegant palaces. I’ve stayed at the Palmer House and the Ritz Carlton. Both are great but The Drake tops them hands down.	
Dec 28 2008 	It pains me to write this review	We don't usually stay in the Gold Coast area when we are in Chicago and it has been many years since I have been to the Drake to stay. I had such fond memories and I guess I should have kept it that way. The hotel still has bits of its former glory that you can see through the slow decay. All the beautiful crown molding is still there and the lobby is as impressive as ever, the rooms are where the age becomes evident. Hilton has done work to the hotel and continues to do so but they are not going to win the battle with out a major overhaul. Our room was a Gold coast suite with 2 rooms, the average nightly cost for this room is $1,100. Amenities in that room include quite a few things we never had, some simple some pretty major; no bolster pillow, no complimentary beverage, no large arm chair with Ottoman, no turndown service at night, and no newspaper. There is a work area in the suites as well, however there are no light bulbs anywhere in the rooms over 60 watts so its hard to read anything. The hotel was also noisy, the doors are heavy and close hard so every time someone came or left we heard doors slamming. The staff used to be very accommodating but now they are all rather aloof with the exceptions of the maids that stand and chat in the hallways, they always said hello. Our suite had a bathroom with decor out of the 80s and shower mold that appears to have started in the 90s it was so thick. There was also a pop spill all down the wall by our mini fridge that was there when we checked in and was not cleaned up during our whole week stay. The bedroom of the suite and the bathroom also had the distinct smell of vomit which made me have to go buy a strong candle to keep in the room. I was so very disappointed, we will not be back to stay in the hotel again. I would recommend the restaurants however, they are wonderful.	
Dec 10 2008 	Better than expected given reviews	I was looking to stay here on pleasure but thought I'd wait till experiencing on business given the relatively lower rating given the reputation of the hotel. I must say at Christmas time the hotel is beautifully decorated and majestic. The rooms are a bit outdated but it's a historic hotel. Carpet a bit dungy is my only complaint. Bedding and comfort are top notch. Service I find very good. I'd search for internet discount rate as this hotel is only worth 175 a night tops compared to what you'd find at Sofitel or Affinia for comparison of updated room and arguably better or same service.	
Dec 8 2008 	Refurbished perfection	My latest visit to this grande dame hotel allowed me to see first hand how the renovations are coming along. I had a junior suite on one of the revovated floors, and the results are fabulous. Everything brand new, but the old flavor of the hotel still remains. Our room had two very large flat screen tv's, great bath, completely restored woodwork detailing, and a tremendous view of Lake Michigan. All of the old details of the hotel were perfectly restored, allowing none of the old character to be lost. I do not know why anybody would stay any place else other than this place. The Palm Court was absolutely hopping on the weekend with great jazz music and dancing, and the timeless feel and elegance are just so palpable.They are redoing one floor at a time, so make sure you ask for a room on one of the renovated ones.	
Dec 4 2008 	Never again	First, the hotel gladly booked my room at a discounted rate and billed my credit card for 100% of the stay prior to our arrival. Btw, our discounted rate was $325 per night! I now know why they do this. When you arrive and chose to leave due to problems you lose all of your money. Their rate of early departures has to be very high given all the problems we experienced. What problems, you may ask? Our bathroom had black mold on the ceiling. The ceiling in the main room was cracked from the ceiling light fixture all the back to the frame of the wall/ceiling. Every time we open or shut the door to our room, plaster fell on our bed. The carpet was GROSS to the point that we asked for another room due to the mold smell. We were refused another room. There were no coffee mugs. I called at 8AM for a mug and it did not arrive til afternoon (the handle was broken). At 8PM I asked for a CLEAN robe to no avail. I called the front desk at midnight to advise that I had yet to receive a clean robe. Boy they were quick! They brought a roll away bed. HUH!? We were in the gym and asked for extra head sets since there were none on the rack. Again, to no avail. They later explained that they no longer provide head sets due to sanitary concerns. Gee, if they applied the same concern toward their hotel rooms they would not have a black mold problem. If you want to eat breakfast via room service be prepared to wait all morning. We placed our breakfast order for early delivery (7AM). When it finally arrived at 8:30 AM nothing on our plates resembled anything we had ordered. Two bagels on a plate and a bowl of fruit...? Huh!? We spoke with the weekend general manager who stated that there was nothing he could do to adjust our bill because we had pre-paid. He gave us four complimentary meal vouchers good for use in their fine dining facility. This was on our last day! What were we going to do with complementary meal vouchers on our last day. They are invalid the day you depart. If you valet your car they tell you to call 15-20 minutes prior to pick up in the event they are busy. They were! We waited 45 minutes and barely caught our flight out of Chicago. For all those folks who rated this hotel a &quot;5&quot; , I can only assume you are accustomed to staying at 2 star hotels. The hotel is filthy and is in need of a MAJOR face lift. Also, I am fluent in spanish while teaching foreign languages for 30 years, and I still had a difficult time communicating with their spanish speaking staff.	
Nov 28 2008 	Finally got there!	Stayed at the Drake during the first week in November, in fact arrived Chicago just a day too late to celebrate Obama's victory. I once worked in Chicago and have been back a few times, but somehow never got to stay in this wonderful, timeless landmark - until the opportunity presented itself to whisk my partner away for 5 days. It did not disappoint. The junior lakeview suite was spacious, classy, comfortable and well equipped - the bed was to die for (the &quot;HH Collection&quot; topper, douvet and Egyptian cotton sheets now rival Sofitel's in my opinion). Heating was a little on the low/uncontrollable side and the bath and bathroom incredibly small for a suite. And forget watching TV from the bed - you will need the eyes of an eagle until the Drake goes widescreen!Although the décor looked just a little tired, this hotel has class, real class. Chicago's [great] answer to the London Savoy or the Ritz or indeed the Chicago Ritz. Our only complaint was that front desk and bar staff were OK, just OK. This is where the Drake lost one star for us. Concierge and bell team were however humorous, helpful and very prompt. .The Drake is still steeped in nostalgia and stories (where else can you rest your cocktail where Joe DiMaggio carved Marilyn Monroe's initials on the bar). So I reckon this hotel is still the only place to end up after lugging your Saks and Bloomie's shopping bags down the Magnificent Mile!	
Nov 23 2008 	Nostalgic Hotel	The Drake is a nostalgic hotel located just a block from the Water Tower. The lobby is beautiful and continues to hold the grace of which has made it famous. There are breathtaking views of Lake Michigan and a myriad of upscale boutiques. The hotel Christmas tree was erected in the middle of the lobby during my stay and was absolutely gorgeous, surrounded by animated Santa's and angels flying overhead. During lunch in the Palm Court restaurant, a harpist played adding a bit of magic to the overall ambiance. Overall, the rooms were nice and clean. One bit of information for Hilton Honors guests that difers from other HIlton properties is that you must be booked in an executive suite in order to be allowed onto the concierge level- no matter if you are Diamond VP or not. Although it did not impact my stay, I found it interesting. Overall a great stay.	
Nov 4 2008 	Family time at the Drake	We checked in at around noon on a Sunday and our room was not available( it was 1 queen and two Murphy twin beds) I asked the women at check in if she could find us another room since we were only in Chicago for 24 hours and we had touring plans and wanted to get into a room. They put us into an upgraded room/suite with two queen beds and a sleeper sofa and two bathrooms for the same price. It was wonderful! Decore is a bit dated but very clean and old-world elegant. The Concierge was wonderful. She recommeneded a wonderful Architectural boat cruise( very worthwhile) and an amazing Itialian restaurant (Volare') a few blocks off of Michigan Ave. Overall our stay was memorable. However, we found it rediculous and even hard to believe that we could not get wirleless access for our laptop at the Drake w/out paying a fee even in the public areas. Two and three star hotels offer it for free. The Drake is a slpurge( if not on a business account) and extra fees are insulting.The other thing that was not favoraable was that the heat in our room could not be regulated and we roasted all night....very uncomfortable and a total waste of energy and money by the hotel.	
Oct 28 2008 	The Drake: "Classy Chicago"	I have just returned from The Drake. I stayed there for a wedding this past weekend. I loved this hotel. Very elegant. Just walking through the lobby is amazing. Hotel has a wonderful charm. Service was excellent. Staff very helpful. It is in great location.Plenty of restaurants..A harpist plays during the tea hour near the lobby.Just an amazing hotel. Best wishes....MaryRichmond, VAAt Drake hotel 10-24-10-26 2008	
Oct 20 2008 	Classic Chicago	The Drake is a classic Chicago hotel. Best location on Lake Shore Drive and Michigan Ave, this hotel has it all. The hotel has never been ruined with some sort of modern update. Has a classic and logical feel with great rooms and character.The lobby is wonderful and drinks by the fountain are a must for an elegant experience at this classic hotel.	
Oct 20 2008 	Classic but needs an update	I stayed at the Drake recently because it was very close to a customer account. I have heard great things about the Drake in the past, and the fact that it was priced within my company's frugal allowance sealed the deal. I arrived late at night, but the lobby was very elegant and well appointed. Check-in was a breeze, and I board the old elevator to my 3rd floor room. Upon walking in, two things crossed my mind: it was a generously sized room and I have not seen a 19 inch TV outside of a yard sale in some time.The details are rough around the edges. Wallpaper was peeling, paint was chipped, tile grout was loose, sink stopper floating around. The bed was new, and the shower was a big walk-in type. The Drake Bros restaurant serves breakfast, and my Hilton Gold membership comped the normally $24.95 buffet. It was good, but not $25 good! I find that these things are overpriced to begin with, and downtown Chicago is obviously no exception. Overall, it's a decent hotel for what my company paid. There are better hotels in the area for only slightly more money, however.	
Oct 12 2008 	Time for a renovation	While the Drake is an classic old hotel, it is long past it's prime. The lobby is still very elegant, but the rooms are long in need of renovation, routine maintenance has been deferred too long. Old carpets with stains, peeling wall paper, dirty windows. Great location. I have stayed here twice for business meetings, our group is not coming back. They seem to have problems getting people the rooms they had booked.	
Oct 9 2008 	Save your money	We found The Drake Hotel a huge disappointment. We reserved the executive floor. We were given another. After going back down to the desk...they gave us our reserved room. It was very noisy, inside and out. Our second night we had to call down and ask for shampoo and soap. The next morning we had to call down and ask for coffee cups which were there for us the first night. We waited 45 minutes for the cups. Actually, the housekeepers wanted to clean our room and we told them that we were not ready and were still waiting for our cups. They brought them within a couple of minutes. Twenty minutes later as we were leaving, the coffee cups became available from another unit of the hotel. The bed was nice but there was no sheet between the comforter. We found this odd as others have shown. The staff at the downstairs bar seemed extremely rude. We will not be going back to The Drake. There are too many other Grand Hotels in Chicago.	
Oct 8 2008 	A Wonderful Experience	I have had the good fortune to stay at the Drake each of the last three years, and I've had excellent experiences each time. The common areas of the hotel are wonderful. The furnishings and decor make you feel as though you could be sitting in the lobby a century ago. It's great to have tea or appetizers in the bar and just watch people come and go. There are several dining options, and though I've heard that Drake Brothers is great for dinner, I've only ever eaten breakfast there. The breakfast is wonderful, though - you can have the buffet or ala carte. I've been to a few banquets and business meetings at the hotel as well, and the food is always better than you would expect for that kind of thing, so I think you can safely give the catering service high marks. Over the years, I've stayed in three different room types - a city view suite, a city view double and a lakeview king. The suite and king were both great. I will say that the city view double was showing its age, but I figure that is to be expected at a grand old hotel. If you want trendy, new furnishings and plasma televisions, go stay at a new hotel. If you want history, grandeur and tradition, stay here. You'll also get REMARKABLE service (which I think is the best reason to stay here). I've always had great service at check-in and check-out with both the bellhop and front desk staff, the housekeeping service is great (the room is always spotless) and the concierge can't be beat. She was able to get tickets to some very hot shows the day of and got great seats. Some folks have complained about the location - saying that it's not central enough. Admittedly, it is at the end of the magnificent mile rather than in the middle, but I think the lake view and the proximity to some of the higher-end boutiques on Oak Street are the perfect complement to the hotel. Also, some of the best restaurants (Spiaggia, etc) are within a block or two. For the overall package of location, room decor and GREAT service, I really don't think the Drake can be beat.	
Sep 29 2008 	Very Nice	My husband and I stayed at The Drake Hotel for 3 nights in September. It was the best time to see Chicago because the crowds were minimal. As for the hotel ...... it is super fancy and the decor is AMAZING! They had fresh flowers in the lobby and the design was fantastic. The staff were extremely professional and approachable (not like in Ontario). The only things that we were not impressed about were the extra charges. If you want to use the fitness center (and it is tiny), there is a fee for it. The internet must be 'bought' even if you bring your own laptop. With the amount of money that we paid (or would have paid if we didnt use hotwire.com), you would think they would include the above items at no extra charge. But....overall it was a very nice stay. I would not pay the $390 that the room was advertised for, but if I could get another deal, I would stay there again.	
Sep 22 2008 	another disappointing stay at the Drake	I wanted to like the hotel, but the condition of the room doesn't match the cost of staying here. Sofa had holes, lampshade had burn marks, torn wallpaper, worn carpet. unfriendly and uncooperative and unprofessional appearance from the staff. would not even consider a late check out. the bathroom was not clean when we checked in. and during our visit the bathroom was not clean.	
Sep 21 2008 	Uninspriring view from window but what a bed! :D	I was in Chicago on business so had to book a hotel that was on the approved list. I was advised to book The Drake by a colleague - the tripadvisor reviews were largely good so I wasn't too bothered.My room was a good size but there was no upgrade to a suite (oh well).My only negative comments would be that the room is fairly dark even with all curtains open during the day or all lights on at night, the wardrobe is quite small and I did notice noise from the room next door (talking on telephone, alarm clock in the moring, etc).On the plus side the bed has got to be the best I have ever slept in and was so comfortable. The coffee machine in the room makes very acceptable coffee and the shower worked fine.Old fashioned decor was not to my taste but was in good order.Good location and I even had oblique views of the lake from my room!	
Sep 19 2008	Interesting hotel lack of attention to detail	This hotel was booked by Hilton Honors. I am a Diamond Member. The lakeview room with twin beds and sitting area was delivered as promised. It was a nice room with excellent view. Good location adjacent to the Magnificent Mile and not too far from Navy Pier.The hotel clerk booking us in appeared not to understand the reservation which, for some reason, was made for two nights on separate certificates. This was subsequently confirmed when I received a whopping bill after my first night's stay. This was reviewed by the hotel desk and I was assured that charges had been reversed and balance was &quot;0&quot;. On checkout the following day I again asked and was assured there were no charges. I today discovered the charges on my credit card. The Drake promised to remove them but it would take a week. They could not print out a receipt on checkout as I had &quot;0&quot; charges. Newspaper was not delivered to room in morning. The Executive lounge requires agility to climb approximately 25 stairs. When I asked about disabled guests I was informed by a staff member that he had asked the same thing when he arrived at the hotel. No real answerThis hotel is expensive and has magnificent lobby, elevators and good rooms. However, it lacks enthusiasm towards guests and does not seem to care if you are pleased or rankled. I liked the location but not the attitude. I would not stay here if I had to pay $375 a night.	
Sep 4 2008 	Gorgeous hotel - great rates available if you look in the right place	We booked this on Hotwire and what a pleasant surprise. In the middle of summer we got a room for $99 and then when we arrived at about 2pm on the day of check-in we were given a free upgrade and ended up in a suite with two queen beds and two bathrooms, a sofa and armchairs and two tvs - it was HUGE!We really got to enjoy being in the city centre and at the head of the Magnificent Mile. The people at the hotel booked us onto an architecture/sightseeing cruise the next day and we really had a wonderful stay in the city thanks to the Drake.This hotel is highly recommended and the location is perfect. The staff were all courteous and there is loads of history to read about connected to the Drake.If you get a good deal on this place it is a real treat!	
Aug 28 2008 	Beautiful Hotel convenient location	The Drake Hotel is an excellent choice for anyone interested in staying along the 'Magnificent Mile'. We arrived at the hotel about 8am and were very pleased when we were upgraded to a jr. suite and immediately given our room keys. Our room was very large and very beautifully decorated. The hotel is convenient to all of the best shopping as well as the Oak Street Beach area, which was fun to visit as well. My only 'complaint' was that there was no where particularly close to walk to and grab a cup of coffee, but this was a small price to pay for such a beautiful hotel and location.I would definitely recommend this hotel.	
Aug 26 2008 	Disappointing	Last month 2 high school friends and I met in Chicago for a brief mini reunion. We arrived before the 3:00 check-in time and were told our room wasn't ready yet but would be soon. We waited and waited, and still our room wasn't ready. After an hour, I requested that the hotel treat us to tea while we waited. We were told we could have cups of tea (no extras). Finally at 4:30 we were given keys to our room and told that our bags had been sent up. We went up to the room only to discover that our keys did not work. When we returned to the desk, the woman said one of our cell phones had probably demagnetized the keys. The keys had never been near our cell phones. We went back up to our room and discovered our bags had not been sent up, and we had to call to have them sent up. That night I called to check that I could get my car at 6:00 the following morning. I was told to call 10-15 minutes before I needed the car. The next morning I called and no one answered, and I had to leave a voice mail. I called a little bit later and still no one answered. When I went down to get my car, it was not there, and clearly the man in charge of the cars had not received my message. I ended up leaving The Drake about 25 minutes after my intended departure. After our stay I filled out a customer survey and described the events of our stay. I've waited a month and have not heard anything back from The Drake. Admittedly no one problem was awful, but when you add them all up, it makes for less than a perfect stay. Errors happen, but a truly fine hotel apologizes and takes responsibility for their mistakes. The Drake may once have been a 4 diamond hotel, but today only their rates make you think 4 diamonds.	
Aug 25 2008 	Great Location Grand Hotel	Great location on Marvelous mile!The Drake has retained its charm and character with a recent room renovation.My room was large, recently renovated, clean, and quiet. Hallways were well lit.I didn’t have any of the problems noted in some other recent reviews. I was on a non-smoking floor; the furniture and linens were obviously new.	
Aug 5 2008 	Perfect for a family weekend!	My husband and I brought my mom to the Drake in March of '08 to celebrate her 60th birthday. The great thing about The Drake during the winter, is you're able to get fantastic rooms for unbelievably reasonable prices. I believe our two club-level rooms overlooking Lake Michigan were less than $200 a night.The rooms were de rigeur for the Drake - well appointed and ample in size. We love staying at the Drake for the &quot;old Chicago&quot; feel we always get, but are always shocked back into Hilton reality when it comes to service. Most of the Drake employees always seem rather put out, and the biggest example was when the three of us (rather than venture out into the freezing snow) opted to have dinner and drinks in the Palm Court. Our waitress literally had a scowl on her face every time we asked her for something. I'm not a travel snob, but I'm never a fan of servers just being downright rude to people who actually, are quite nice and friendly. The tip we left reflected our dissatisfaction.But, we don't go to the Drake for the service, we go for the history and the fun and the location on Michigan Avenue.	
Jul 8 2008 	Totally deceiving	There are so many problems with this hotel it's not even funny. First, the rooms are horrendous. They're lime green with wallpaper from the 70's. Not at all what you see on the website. It's like checking into the Four Seasons and then staying in a room at the Motel 6. The room that they show on their website is one of their suites, not one of their standard rooms. Second, guest service is rude and pointless. I'm not just talking about the people behind the desk. I'm talking all across the board. The parking attendants. The restaurant servers. The managers. My wife and I couldn't believe it. For example, when we checked in, they put us in room #125. That's on the first floor on the corner of Michigan Ave. &amp; Lake Shore Drive. It is so loud! It's a room that shouldn't even be offered to guests. So we asked if we could switch rooms and instead of giving us another room, they asked if we would rather check out! I asked if the hotel was sold out that evening. They said no. Huh? So, the hotel is not sold out, you have a comparable room available, but you won't let us switch? It was only after asking for the manager, that they put us in a smoking room. And besides the horrible smell, it was just as ugly and old-looking as the first room. Very nice, people.My advice to anybody traveling to Chicago who wants to stay in a nice hotel on Michigan Ave, stay at the Park Hyatt, Marriott or Four Seasons. I've stayed at them all and The Drake doesn't even come close to comparison. Oh, and don't even get me started on the restaurant. Let's just say it's a step above McD's but will make you take out a bank loan.	
Jul 7 2008 	Perfect Weekend Getaway	We chose this hotel because there was an online special from hotels.com. What a surprise to find such a fabulous hotel with character and elegance for such a small price. Our room was on the 7th floor which we were told had been recently renovated. It was very nicely furnished and had a large flat screen television. There was a walk-in closet with a safe and thick bathrobes inside. The bathroom was spotless with marble floors and a large bath/shower. All the staff we encountered could not have been more helpful or friendly. The only thing we could possibly find fault with was the bed. It was really hard. Of course, if you like a firm mattress, that would be a plus!	
Jul 5 2008 	Lovely hotel lots of character	Stayed here 5 nights while in town for a convention. This is a lovely old-school hotel with large guest rooms and plenty of history (see the press kit on the hotel website for a list of past guests). The decor is quite old-fashioned, as you'd expect from a place like this, but that gives it character - if you want shiny, minimalist and modern then book at one of the many chain hotels in town instead. Room was very clean and quiet, had a nice bathroom (love the Crabtree &amp; Evelyn toiletries!) and the bed was extremely comfortable, my only complaint would be the lighting (but dim lighting is fairly standard for hotels). Internet access is quite expensive but there's a cheaper weekly rate if you're staying more than a few days. Yes, the minibar is expensive, but that's to be expected in a high-end hotel - there's a 24-hour Walgreens a couple of blocks south on Michigan Ave where you can pick up snacks and drinks quite cheaply, so i didn't find this a problem. The location is excellent - near the lake, just off Michigan Ave (a block north of the Hancock building) so great for shopping, dining and sightseeing. The buffet breakfast at the hotel was really good, with an excellent selection of healthy and not-so-healthy items. I found all the staff I talked to to be friendly and very helpful. I would definitely stay here again next time I'm in Chicago.	
Jul 2 2008 	Amazing	I was visiting Chicago for the first time and had heard so much about the Drake hotel. I told my boyfriend that I had wanted to stay there so he surprised me and booked us a room there. I must say the service was excellent. The check in went very quickly and smoothly. The staff was very helpful and considerate. The room was large, well lit, the linens were beautiful. We ordered some room service and it was a bit pricey but very tasty. I do recommend people to stay at the Drake and enjoy the wonderful hospitality they have to offer. I would definitely go back!	
Jun 29 2008	If you want to splurge...	What a gorgeous hotel! We love places with a story &amp; try to stay at member hotels of the Historic Hotels of America. The Drake lives up to its reputation. From the building itself, the linens, the service, to the couch in the elevator, everything was beautiful. The hotel thankfully was up to our cleanliness standards. We've found sometimes the older hotels need to be updated, but the Drake is not one of them. The only negative was the price. Our room was almost $500 per night, including taxes. If we hadn't had a free night with our Hilton reward, we would not have stayed there. Hopefully, we'll be able to stay there again.	
Jun 21 2008 	Wondreful grand dame hotel	Recently stayed at the Drake in Chicago while attending a conference. the staff from top to bottom was polite, cheerful and attentive to our needs. The room was well appointed and maintained, quiet and comfortable. The in house restaurants are pricey but comparable to others in the area. The combination of a delightful staff with this grand dame hotel made for a great stay!	
Jun 20 2008	excellent all round loved this place	This is a lovely hotel,I was here on business, and will go again some time in the future. I was a single female alone, and nothing was too much trouble, staff were attentive and rooms were lovely and clean, well located	
May 29 2008 	Classic Drake Experience	We had a wonderful stay at the Drake Hotel. The facility is in impeccable condition, and the service is top notch. We both agreed that the bed was the most comfortable we had ever slept in! As a suggestion, park in the Drake Tower Garage to the East of the main entrance for $30/night.	
May 25 2008 	Excellent hotel	The Drake Hotel did not disappoint! We felt like home from check-in through check-out. The staff is extremely pleasant, friendly and helpful. We got a Junior Suite with a Lake view. The room was huge, well appointed and well maintained. The bathroom was really nice as well. The room was cleaned twice a day but we were never disturbed. The breakfast choices were great. And I do recommend having lunch at Coq d'Or - tasty tasty tasty food. Location is great as well. We really loved it at the Drake!	
May 18 2008 	A Grande Dame that needs to get with the times	I stayed at the Drake last week for a conference. I went there with certain expectations, as I had stayed at a modern near-by property a few weeks earlier. Although I had confirmed by Hilton preferences in advance, the first room they tried to stick me in was on a low floor. The second room was a smoking room that was the size of a closet. The last room I finally got, was perfectly adequate, but needed some updating. The bed was not very comfortable (especially compared to the hotel down the street). The bathroom was small. The TV was old and only had a small selection of stations. I am a federal government employee and I checked in with a tax exempt form. Not only did they not know what to do with it, when they finally figured it out, I was still billed incorrectly and had to get it straightened out. (Hey, I wanted to save the taxpayers some money, but what a pain!)As for the conference facilities themselves, the rooms were tiny and hot, even though outside it was in the 60s while we were there. After the sessions ended, the wait for the elevators was ridiculous. The other ridiculous wait was for the ladies room when the sessions broke. With all the choices of hotels in Chicago, I would definitely look at other options when I return. There was nothing compelling-- the room, the staff, or the location -- that would make me want to stay there again.	
