	Good	Staff is very friendly, rooms are nice with great view of Chicago River and close to House of Blues and Harry Caray's Resaurant, as well, not far from Magnificent Mile. Hallways were dark and elevators a bit scary, but overall great hotel. The bar, Crimson, located in the hotel was not great. The bartenders were nice but the waitresses were like talking to a wall.	
Dec 3 2008	Great little Gem with a GREAT location!	Booked our room via Priceline and was overall a great experience/choice. Can not say enough about the location - close walking all River North, Michigan Ave, Loop. Great decor - a little unual and modern. Very comfy bed, with robes, slippers and a VERY expensive mini bar!Since we booked via Priceline, I knew that we get a room for 2, usually a King. So, I emailed the hotel and received a wonderful response stating that our reservation had been changed to a double to accomodate our 4 year old. Well - that didn't happen! The gal at the counter was pretty much - take it or leave it, we're sold out!Liked 10-pin next door, and found cheap (for chicago standards) parking at the Sterling Lot 1 block away. The lounge in the hotel, Crimson, was pretty swank and crowded after 10:00. Nice and not overly priced.Overall, I give it 4 stars, as there are way better hotels in Chicago that get 5! I would definitely stay here again! Overall great stay.	
Dec 1 2008 	Very Enjoyable	My husband and I booked 2 nights at this hotel through Hotwire for our anniversary and were pleasantly surprised. The customer service was friendly and helpful from the beginning. When we first walked into our room with queen bed, I truly loved the decor (online pics don't do it justice), but was disappointed that there was only a shower stall with no bathtub - I am 6 months pregnant and was completely in need of a good soak! My husband called the front desk and requested an upgrade - they moved us into a larger room with bathtub, king bed, and even a better view - all at no extra charge.We had a couple of maintenance requests during our stay and the staff continued to be friendly and helpful, resolving all issues within a matter of minutes. Valet service was also great although a bit expensive (but it's the only 24-hr parking nearby that allows unlimited in-and-out privileges in case you do need to drive somewhere).The Microsoft Room (game room) was a great bonus - my husband loved it! Also, the little extras in the room were a nice added touch (i.e. bathrobes, safe, plush bed/pillows) My only recommendation is to read the hotel guide as soon as you enter your room to know what additional charges you may incur during your visit - from things like making local phone calls to consuming the tempting snacks on the desk/bar area. Also, call around for reservations for area restaurants, since many do not take walk-ins.Overall this was a great hotel that we would definitely visit again.	
Nov 24 2008 	Great hotel!	Booked this hotel via priceline for $130 per night. Overall, it was a great experience. Location is great -- hotel is located next door to Harry Carry's and the House of Blues. Many other restaurants and shops are within several blocks. Positives: Unique Decor -- not your typical cookie-cutter hotel; Quiet sleeping rooms; flat screen televisions; nice bedding &amp; ambience; extremely helpful staff -- bellhops &amp; concierge were great!Negatives: Very limited room service menu; It would have been nice for the basic mini bar items to be available at a lower cost (i.e. $8 bottled water; $5 cans of soda).We would definitely consider staying here again on our next trip to Chicago!	
Oct 26 2008 	Fantastic Hotel	The hotel was very accommodating for my business trip to Chicago. The service and hotel amenities were great. The staff were very helpful with accessing outside restaurants and directions. The room was very comfortable and bathroom's were huge. The hotel workout room was great.	
Oct 12 2008	Speak up!	We stayed at this location in 2006 when it was The House of Blues. We liked the area so decided to book a King room at the recently renovated Hotel Sax. We requested early check-in &amp; got a room right away. We were told that only a Queen room was available. When we got to the room on the 6th floor we were extremely disappointed...the bathroom was so tiny that the sink was in the bedroom area &amp; that area was also very small. I called the desk to complain &amp; the receptionist said &quot;you booked through Expedia&quot; then said she could give us a room with 2 double beds...I immediately said yes since we wanted out of that tiny room. The 2nd room was much bigger &amp; had a nice flat-screen TV. I had requested a fridge &amp; asked if there was a coffee maker in the room &amp; was told no, but they would send one up. She also mentioned a microwave &amp; I asked what the charges would be. She said there was no charge &amp; sent the items up. There were floor to ceiling windows that opened. The view was of the unique condo/parking towers &amp; The House of Blues which is very busy every night of the week, but being on the 11th floor the noise was minimal.They provide in-room safe, iron/board, bathrobes, mini bar, nice toiletries &amp; power rain shower that feels like a massage. The Crimson Lounge on the main floor is very popular, lively &amp; quite expensive. Bin 36 is right next door as well as 10 Pin Bowling Alley &amp; Lounge. Harry Caray's Bar &amp; Restaurant is nearby. Boat tours are also close by. We took the River Tour on Chicago's First Lady which has volunteers from the Chicago Architecture Foundation who are extremely knowledgeable.Hints: Go to Shaw's Crab House, 21 E. Hubbard St. for half price oysters 4 to 6 pm. Check out the free days for the Shedd Aquarium. Lincoln Park Zoo is always free. Take the #22 bus at the stop just around the corner from the hotel. There is also a free shuttle to Navy Pier...great burgers at Charlie's Ale House!	
Sep 3 2008 	Love this place	We just returned from a 3 night stay at the Hotel Sax and we had a great experience. We got a fantastic steal on it through Priceline and we were worried at first after reading the mixed reviews here. Yes, its not your typical boringly decorated hotel...its fun and hip. I thought the room itself was beautifully designed and the entire hotel has a cool vibe to it. The Microsoft studio was a lot of fun and completely different than any other hotel lounge. In addition, I loved having the free use of computers in the lobby, as well as in the Studio to check maps and restaurant menus. The concierge was extremely knowledgeable and helpful. She recommended a restaurant about 2 blocks away - Vermilion - that was amazing. We would have never chose this restaurant on our own, but it was probably one of the best meals we've ever had. Oh, and the blueberry ricotta pancakes at Bin 36 in the hotel are totally worth the price!! This is a great place to stay in downtown Chicago--close to everything and completely safe.	
Aug 26 2008 	Hotel Sax - Funky 	I stayed at the Hotel Sax from August 14th - 17t h and enjoyed my stay very much. I had stayed here 3 years prior when it was the House of Blues and appreciated the redecorated rooms. I felt like i was staying in a gingerbread house when it was the House of Blues. Check in was super quick and friendly. Benjamin was the bellman who brought our bags to the room and he was not only friendly but was quite knowledgeable about the happenings in Chicago that weekend.In the lobby, they had a small table set up with a water pitcher for a refreshing glass of lemon water one day and cucumber infused water the next. Nice touch. All in all, we enjoyed our stay very much and would stay here again.	
Aug 22 2008 	Hotel Sax was okay	My husband and I stayed at the hotel sax for 2 nights in August. I have mixed opinions about the hotel. While we were kind of neutral about our experience (and wouldn't stay there again), I can understand why others would love it. The hotel is very trendy and chic. We stayed in the deluxe king room. The goods: The bed and pillows are super comfortable. Prob the best I’ve ever had in a hotel. The staff was very friendly. Both check in and check out was seamless. The rooms were really clean. The hotel has a really cool &amp; young atmosphere. It’s in a great location. It’s only a block away from the downtown nightlife, and if you’re planning on a trip to the house of blues, it’s pretty much in the same parking lot. It’s a little further from Navy Pier and such than other hotels are, but it is walkable (we walked it) and/or taxis are cheap. Great flat screen tv.The negatives: The rooms were small and dark compared to what I’ve stayed in before. There was zero counter space (or hair dryer) in the bathroom. The ‘atmosphere’ wasn’t really our style. It kind of has the atmosphere of a ‘party’ hotel in that there’s a pretty well rounded bar in the room, the ‘Studio’ - which is like a high tech game room, Crimson Lounge is downstairs (a very popular club), the House of Blues is across the street, etc. There was nothing wrong with this, but, for example -it wouldn’t be a place I would ask my parents to stay. Our telephone wasn’t working and the a/c started clicking really bad for awhile. They missed our wakeup call but called and apologized. The walls are a little thin and we could sometimes hear the tv in the room next to us. Besides the hotel, cool things to do in Chicago: of course go to navy pier and stay for the fireworks. Take one of the boat tours. We took the sail boat one. Looking back, probably would have done the more traditional ones. The zoo is only so-so but good for kids. Look for the hot tix location to get discounted theatre tickets. The staff pretty much know what’s showing at every theatre in town. We saw ‘Alice’ at the looking glass theatre. It was fantastic and great for kids and adults. The green mill was a really cool jazz bar with a lot of history (I guess it was Al Capone’s old hub). Don’t go there if you want to drink and party though. They ask people not to speak while people are playing. Wrigley field was AWESOME. Andy’s Jazz Club was tons of fun and there’s other bars in its proximity (that was our one night of staying up too late and drinking too much). Overall, I would definitely go back to Chicago. I feel there’s a lot we didn’t get to do.	
Aug 21 2008	Fabulous Sax	Swank, sophisticated, and grown up... They really did a great job remodeling the former House of Blues Hotel. Flat screen TVs in the rooms were impressive but what we really enjoyed was the Crimson Lounge. We had such a great time relaxing at the bar while listening to some fabulous music! What sold us on booking this hotel was their really cool virtual tour.url=http://www.hotelsaxchicago.com/]The Hotel Sax[/url]	
Aug 17 2008 	Fell Short of Potential	A beautiful building in the perfect location for convenient nightlife fun. Unfortunately, service and exeuction by the staff was greatly lacking. Requests (generally to fix something which was not initially right) were repeatedly dropped. They were great at apologizing, but not at recifying (or obviously preventing) issues.The Microsoft Enhanced Technology rooms are a cool idea...but they did not deliver (or even have) any of the requested and promised games or music...and their own laptops would not connect to the Internet! Not a good testimonial to either Microsoft or Hotel Sax!So close to a great spot...yet so far from delivering!We will definitely try another hotel during our next stay in this great city.	
Aug 15 2008 	Good hotel in great location	The Hotel Sax is hip, with great, slightly gothic (I kept thinking Interview the the Vampire meets upscale bordello meets a display of Grandma's crystal) decor and a helpful staff. The rooms are small but functional. The blackout curtains, comfortable bed and flat-screen TV were appreciated. The hotel has one of the nicest mini-bar setups we've seen for this level of hotel: martini shaker, glasses and all the trimmings (for a fee, of course); champagne and cocktail glasses; good selection of liquor and bottled water, along with candy and the usual snacks.Particularly for the price we got with Priceline, we'd certainly stay here again. The hotel is within walking distance of Michigan Avenue and the Chicago River. The valet staff was especially friendly and helpful.	
Aug 13 2008 	Loved the lounge downstairs...	Stayed there for 7 nights on business travel. Initially did not get the room I had asked for (king size bed) but this was changed relatively quickly. Very nice located and for those liking Blues, this hotel is located some 10 meters from &quot;House of Blues&quot; only. 4th floor conference facilities are a must to see - especially the big screen they have installed. Crimson Lounge - live music every day and good dj starting 10pm. Looks like this is currently one of the places to go in Chicago nightlife :-)	
Aug 12 2008 	Hotel SAX Chicago the BEST place to stay in The Windy City!!	My husband and I visit Chicago at least 1-2 times a year to visit his family. Though we have stayed at many hotels downtown, Hotel Sax is by far our favorite. First and foremost, the location within the city is ideal. Located on N Dearborn, it is walking distance from Navy Pier, Magnificent Mile, etc. House of Blues is Hotel Sax Chicago's neighbor, so time your stay according to their schedule and you'll only have to walk across the parking lot.Located inside Hotel Sax is Bin36- a FABULOUS wine cafe with great wine, cheese flights, and other fare that can be paired with the perfect wine to suit your taste. Crimson Lounge is a new chicago nighttime hotspot that even has it's own &quot;signature scent&quot;. Well known Dj's frequent here and other musical guests perform. There drink list is out of this world and though we didn't have time to order from the menu- it sounds to die for.Another location inside of adjacent to Hotel Sax is 10pin Bowling Lounge. Think martini's and fingerfoods instead of beer and pizza (though they have that too).OUR ROOM.Room#1119. Amazing. We didn't want to leave! 2 flat panel TV's mounted to the wall that consists of varying patterns- very modern eclectic. The sitting area was large enough to accomodate a small get together, though it was only my husband and I... A spacious desk with free WIFI and informative city guides and the best room service menu I've ever seen!The back wall was made up of a window that , when opened, provided a view of the city. Breathtaking.The bathroom was incredible! Large enough for a family, spacious enough for the two of us. A double vanity with products specially made for Hotel Sax. A stand up shower.. again, big enough for 2..with ideal water pressure. There was also a large tub with jets, oversized towels and perfect water temperature.My stylish husband even said that he would like to make our bathroom at home look like it with the beautiful vanity with black marble top , the black and white tiled floor, the textured wallpaper, and the beautiful curtains (can we include the view of the Chicago too?)PARKING.Close, accessible, easy....pricy. $43/night. Parking anywhere in Chicago is not cheap. Usually we park a few blocks away, but your car is usually not accessible 24/7... and who wants to drag their luggage through the city? We used the valet for parking and paid the $43/night to park and just griped to each other about it, lol. We liked knowing our car was right there and that we could get to it whenever we needed it. What can you do? It's Chicago.Complaints?Not really.. Location: Perfect. Room: Perfect. Staff: Perfect. Style: Perfect. Ammenities: Perfect (what happened to Crunch Fitness Center though???- I didn't get a workout in during our stay:( )If I had to muster up ONE complaint.. it might be the pillows. Not the best, but my husband sells mattresses and pillows- so I may be a little spoiled. The bed was comfortable, but the pillows were a little flat- but if that is the only complaint, then all in all, I HIGHLY RECOMMEND Hotel Sax Chicago. You won't find a hotel that provides what Hotel Sax does. Hotel Sax, in my opinion, is by far the BEST place to stay when visiting &quot;the Windy City&quot;.	
Aug 10 2008	Average To Below Average	Stayed at Hotel Sax for 3 nights in August. The hotel almost tries to hard to be something that it isn't! Room service terrible. I had to follow up twice and on arrival food was very cold and not edible. Contacted service to request a replacement - never arrived!Room is very small and a bit tired. In room reading material mentions minibar. I thought I was going insane so I phoned customer support to be advised there was no minibar in my room. Why advise in reading material of the mini bar then????I did not think the staff were overly helpful either. Plus side is location is excellent for sightseeing.	
Aug 5 2008 	Treat Yourself to Luxury- Book a Stay at the Hotel Sax	I believe the Hotel Sax is my favorite hotel in downtown Chicago. I have stayed many places in the area but the Hotel Sax offers an extraordinary experience. From the time I pulled into the driveway, I was wowed by the level of professionalism and warmth from the staff. I knew the staff by name and they treated me like I was welcomed and my needs were a priority. Charles, the valet was more than courteous and helpful. Our housekeeper, Tonisha made us feel at home and took care of our personal items with great care, in additon to leaving the room spotless and well stocked. We had the pleasure of having a few drinks in the Crimson Lounge and met Brad and Matthew, the host and bartender. Our room was beautifully decorated and the bathroom was huge. The shower head and water pressure was fantastic!The extra two bonuses to staying at the Hotel Sax is the parking and the House of Blues. I paid ONLY $42.00 with in and outs for my entire extended stay! This is simply unherad of in downtown Chicago. The House of Blues is literally 20 steps from the Hotel Sax. Check out their website www.hob.com to see scheduled events. I will be a returning guest whenever I'm in Chicago.	
Jul 26 2008 	half good half bad	I stayed here 2 nights in May. The Bad half: I had arrived early and let them know I was there, check in was 3:00 and so I joined my party who had their rooms. I waited until 3:40 to go up to the front desk and was told my room was not ready and they would call housekeeping to get an update. In the meantime, she started to handle another guest while I stood there so I sat down on their couches and at 4:00 was motioned up to the desk. Now it was ready, they apologized and asked IF I would like a complimentary breakfast. I was still in a good mood, said it wasn't a big deal and said that's okay, turning it down. As I walked away I thought why didn't they just give it to me, why do they ask me if I want a freebeie? What they are doing is telling me they don't want to give away anything unless I am cheap enough to accept. It's just never happened to me like that and I thought it was odd. A couple hours after claiming my room I was in a state of undress and hear a knock. While I was grasping for clothes and before I could even say just a minute, the door opens and it is a hotel employee not knowing the room was taken (obviously). He got halfway in the room (I am female) and could hardly speak English enough to apologize and quickly shut the door. I didn't report it because I thought no harm done, it was a mistake and made sure I had the chain on for the rest of my stay. One morning for breakfast I joined a party of three at a table who had just ordered their breakfast. Knowing that, I didn't ask for a menu, I just asked for a cup of coffee. Twice. In the meantime, he brought them their food, etc, and never got coffee for me. It was like he was ignoring me because I came late and wasn't expected. So don't expect any special consideration from servers here , they have a high expectation of protocol. The cream on this crappy weekend came when I got home and for a whole week had $400 taken off my credit card as a &quot;hold&quot;, meaning that amount was taken away from my purchase ability. I called the hotel and it was their room hold for incidentals. I had checked out on a Sunday yet by Thursday it was still on. They said it is up to the bank to release it. I don't know if that was a story or not, my company paid for the room, so that $400 was for my snack bar and movies? I didn't use any of extras and I checked out on Sunday, so I don't know why the hold took so long to clear. I didn't call my bank to verify who really is responsible, but I am in my 40's, stayed in rooms around the U.S. and Italy and this has never happened. It is like this hotel is too good for their own clientele and doesn't trust them . If you a good person, go with the flow, and not demanding or a diva, you may get taken advantage of like I felt I was. I probably should have done more to make a stink about all these issues as they happened, people can't take advantage of you unless you let them. However, I am of the Show-me attitude, and if you don't, I won't come back and will tell everyone I know how crappy I was treated. We are as dangerous as demanding customers. The Good: Very nice rooms, clean and good bedding, And a nice view. Good location.	
Jul 23 2008 	Great hotel - Wonderful staff!	I stayed at the hotel Sax from July 5-10. Unfortunately, my wallet got stolen in the Metra on my way to the hotel. The staff had been extremely helpful in assisting me in obtaining a police report, etc. Special thanks to Bernard, responsible for security. My husband and I appreciated every moment of our stay : great room on 14th floor, very comfortable bed and cleanliness everywhere. But service is really what makes the Sax different : smiles, politeness and willingness to help! We'll certainly choose the Sax again for any future stay in Chicago.	
Jul 21 2008 	Fun and Funky!	I always have my doubts about these trendy, urban places -- but Hotel Sax was very nice! Went with a girlfriend for a lady's weekend. They upgraded us to a bigger room -- which was a nice size, had a decent view, and windows that opened! There was a big flat-panel TV and a huge mirror, and two super-comfy beds. We got champagne one night when we walked into the lobby, which was nice. Because of the club on the first floor, it was a little zooy, but you couldn't hear anything up in the rooms. We also went to the Bin?? and had a great dinner. This is in a very nice location -- close to a lot of things. My only complaint was that we asked for a late checkout because of delayed flights, and they told us it would cost $150! I've never heard of that before, and was rather annoyed. But otherwise, this was a great location for a jazzy little weekend in Chicago!	
Jul 16 2008 	A five for being different!	Our first booking through www.skyauctions.com and it worked out perfect.Great service; the receptionist on arrival. Concierges. Housemaid. The lounge. The room itself. Complimentary coffee every morning. Complimentary sparkling wine in reception in the evenings. Complimentary internet and the Microsoft gaming room. Big plasma with lots of channels. Comfortable beds. Spacious bathroom with nice bath amenities. Next to the house of Blues. During the weekend lots of people coming to the Crimson lounge in the hotel and the House of Blues but could not notice the crowds when we closed the door to our room. Just a ten minute walk to the Millennium park and a stroll to Michigan avenue. Several restaurants in the neighborhood.A different experience (five for being different) making it highly recommended. Well done, SAX.	
Jul 16 2008 	Great Hotel	Great Hotel, very stylish. Excellent staff. Room was fantastic. Bar downstairs very good. Excellent breakfast at Bin 34 downstairs. Location was excellent. Definitely go back to Chicago and would stay here again	
Jul 6 2008 	How this ever was rated a 4 star hotel I will never know	We ended up at the Hotel Sax as a last minute booking because after staying at the Doubletree Magnificant Mile (which was FABULOUS and was only a 3 star) for 2 days we decided to extend our vacation by a day and were thrilled to score a 4 star...... until we got there. Upon checking in I did inquire if they knew of a parking ramp that wasn't quite so much money ($42 per night is very pricey even for Chicago) and was told there wasn't any. When the bellboy was helping unload the luggage he told my husband there was a parking ramp 1.5 blocks away for $26 per night (the ramp next to CVS on Kinzie) First we were sent to a room on the 12th floor that was a king size bed and there were 5 of us and I had confirmed the day before that we would have a nonsmoking 2 double bed room. After I contacted the front desk we got switched to a room with 2 double beds on the 11th floor that I was certain the minute I walked in was a smoking room but felt after looking around and not noting any ashtrays that maybe I was mistaken. We also had a room with a door that connected to another room which usually is never an issue but for some reason this hotel or maybe it was this door was paper thin and you could hear the family next door just having casual conversation, a hairdryer being used, the tv show they were watching and I'm sure they were just as impressed with our children settling in to a new environment. We did not stay in the room for long I truly could not stand the smell and did note that the hotel was smoke free throughout but that must be a recent thing.... the first room did not smell that they took us too but the second one was saturated in that stale smoke smell. There is no pool at this hotel, the hairdryer I could not locate until the end of my stay because they keep it in the closet in the room and not in the bathroom where one might expect to find it. The room decor was not my taste at all a bit tacky with the shadow of a chandelier on the wallpapered walls and vinyl throw pillows on the bed along with that vinyl like bucket style chair at the desk with some odd 60's like handle in the middle of the back. The wall to floor windows are nice but made me very nervous when my young child figured out that the smaller panes opened up and there is no screening and you on on the 11th floor. The plasma big screen is nice and the bathroom I thought was one of the better features - it was roomy and not tacky and seemed very clean. The staff was for the most part friendly - although since my husband was leaving to park the car and the bellman that was taking out our luggage and placing it on the cart was assumed to be the person to take the luggage upstairs my husband tipped the guy since he wouldn't be up there.... the bellman walked us in to the lobby acted like he was going to be right behind us by telling us to go up in the first elevator and that he would be in the next, and to our surprise a new bellman showed up with the luggage...... hope the second guy figured out that his tip was sitting in the hands of his buddy that passed us off before completing the task. The only other off experience was the man who was staffing the microsoft room (which my husband and kids enjoyed the xbox 360's) who was &quot;arrogant&quot; and very rude according to my husband.... seems other guest were getting the same impression of him from the comments my husband was hearing while in the room. People who have commented on the dark hallways and elevators are right on.... and some of the artwork on the elevator walls is a bit creepy.... a women holding a skull? I admit we are not Blues fans and maybe that is what you need to be into to really appreciate the Elvira/Adams Family decor. The location was different and I did appreciate being at the South end of the Michigan Ave area after coming from the North end - It was fairly close to Millenium Park. The house of blues is literally right outside the hotel door but we did not go to but there was plenty of activity that involved several police cars the night we were there. So after being at that 3 star hotel that was clean, fresh with 2 pools right off N. Michigan Avenue for less money we were very disappointed with what a 4 star offers - if this had been a 2 star I would have gotten exactly what I would have expected and would have felt treated to the bellboys being on staff.	
Jun 30 2008 	Good Overall. Average for Downtown Hotels.	Good hotel overall.Pluses : champaign &amp; peanuts in shell at front desk upon Friday night arrival. Large bathroom, ~42&quot; LCD was fantastic, 6th floor computer/gaming roomNegatives: not enough lighting next to bed but my #1 negative is that the bed itself was not on par with higher end hotels...I thought it was kind of hard and not even. I don't agree with previous reviews that it was soft. The comforter was very warm so you really had to turn the room temperature down. Ironing board was broke and had to use while laying it on the bed. Wife said she did not have enough counter space in bathroom for all her cosmetics. Bath tub wasn't a sunken tub. No coffeemaker but coffee was available in lobby although it could have been better quality though for hotel level.Booked via priceline for &lt;$120/night so it was a very good value.	
Jun 28 2008 	So cool I almost felt hip myself!	The Hotel Sax is so incredibly cool I almost felt hip myself! Our group consisted of 3 moms taking teenagers to Chicago and camp. We all had our mouths hanging open for the first hour from checking in to discovering our rooms and the 6th floor &quot;game room&quot;. This place was a huge (very pleasant) surprise considering we got it on Hotwire at the last minute. A Monday night stay must be the key because the hotel was 100% booked the following night. The lobby is small but really unique using old store display counters filled with antique cut glass items as their check in desk. A big jar of cinnamon jelly beans was a hit. The decor here and in the rooms is just plain out-of-this-world! It looks like some really hip design team had a great concept that they carried out to the finest detail.The staff at every point was fantastic. We got great advice from the concierge, the valets were very funny and personable, the front desk was warm and friendly and I even ran into the general manager on the elevator and he was so nice. An extremely hip place like this tends to have really stuck-up staff (think The Delano in South Beach, Miami) but these people were typical Midwesterners - nice, funny, unassuming.We had two double beds in our room and the sheets and pillows were luxurious. The shower head is enormous and blasted water which we liked. The bar in The Hotel Sax has got to be seen even if you don't stop in for a drink. It has separate nooks with huge couches and chairs. It looked like THE place to meet up if you're a Chicago yuppy.We had a late dinner at Smith and Wallensky's literally a stone's throw across the driveway. The view of the river on a beautiful warm summer's night was great. Hopefully the Hotel Sax will keep up the great work and we look forward to visiting it again and recommending it to everyone!	
Jun 9 2008 	Very posh for one night business trip	I went on a 1-night business trip to Chicago and my hotel was booked for me. I was pleasantly surprised when we arrived at the hotel. Once checked in, I was given a king size room on the 12th floor. The view is awesome and I loved the 42&quot; plasma flat screen tv. The bathroom had plenty of towels and tolietries for one night. There was a small mini fridge and liquors on the dresser- nice touch but pricey- $4 for an oj! Our group met back down at the Crimson Lounge. I liked the music/ atmosphere, but a lady came around wanting us to purchase the table for the night. Umm... they were not that busy or that good. The bar was just as good. The hotel is in an area with lots of night life and is a quick taxi ride to anywhere in the downtown area. House of Blues was next door and we didn't have to pay a cover since we checked it out near closing time, awesome blues. I had a newspaper at my door early the next morning (before 8am). Check-out was a breeze and a billowy white curtains in the entrance was a nice touch.	
May 29 2008 	Loved almost everything!	My two girlfriends and I booked a room at the Sax over Memorial Day weekend. We got a good deal. We picked this hotel based on TripAdvisor's suggestion that it's good for singles. They were right!The Sax is definitely a hotel for people willing to stay somewhere a little different. The lobby isn't very big, but there are comfy chairs and couches to wait on. The doormen were extremely friendly. The front desk staff were friendly as well, although some of them were a bit hit and miss. The Crimson Lounge is definitely a pro for this hotel. The lounge seems very new, and is decorated in red and black. The drinks are a bit pricey, but the bartenders were extremely sweet and made sure we got fantastic drinks for our dollars. Only downside was that the lounge closed around 1:30am, but this is the same as most places in Chicago. The room was great. Luxurious, comfy beds, huge bathroom, the wireless internet worked flawlessly, and it was spotless every day. The big downside - the concierge. They had a few different people staffing the concierge desk and we only had one competant one - that was Christina or Catherine. She was fantastic, but the others didn't really know anything. They had to make several phone calls to find anything out and they didn't even know the way to get places!So overall, I'd stay here again, knowing that I might have to do my own investigating for where to go and what to do and how to get there. Otherwise, had an excellent stay!	
May 27 2008 	Great as long as you don't use their Valet service	It saddens me that I can't write a rave review about the SAX. It started out great, the room was immaculate, bathroom, huge, the flat screen TV had access to HD channels, wireless access was seemless and the bed was extremely comfortable and soft. The location was excellent, just a short walk to the Miracle Mile and Merchant Mart. My husband and I were contemplating extending our stay at the hotel because it was so comfortable and, well, perfect. That is, until we retrieved our car from the valet lot a day after we checked in. Our car had been ransacked, with every compartmented rumaged through and our belongings scattered. Luckily, we removed all valuable items from the car except for some quarters intended for parking (those were stolen) but it felt violating to have our car vandalized like that. When we complained to hotel management, they immediately said that they do not run the valet parking service and they just send guests to the lot since it's right across the way. And, of course, the parking service didn't want to take responsibility either. My perception of valet parking is that the car is kept in a safe place where it wouldn't be ransacked so obviously, this kind of service was unacceptable to me. I was tired of getting the runaround so I asked that we not be chared for parking that first night (I parked on the street after that) and they did remove the charge. We decided not to extend our stay after that experience and their indifference to what had happened ruined our experience with the hotel.	
May 2 2008	Very different	We booked our stay at The Hotel Sax Chicago with Hotels.com, we got a very good deal and last minute too.On arrival we were very impressed with the lobby area, all be it small, it was bright and airy with crystal and glass in cabinets all around. The doormen were very attentive too. It was when you entered the lifts that the bright and airy feel dissapeared. The lift was very nice and oppulent but dark, once up to the 14th floor, we were met with a very dark, slightly creepy in a nice way corridor. This hotel must have just been renovated because everything was immaculate.Our room was a surprise, it was quite big and even though the decor was a little busy, we did like it, the bathroom was large, with good qaulity fixtures. The bath towels and robes were light and fluffy and the tioletries were replaced everyday. The soaps they use a lovely too, and WOW what a great shower. The room itself had a very large flat screen TV mounted on the wall, we also had a floor to ceiling mirror on one wall and floor to ceiling windows. The bed was super-king size and the bed was very comfortable. As we are super fussy on bed quality we did make sure the beds were pillow-top and it was like a big marshmellow.All the fixtures and fittings, looked to be brand new. Be warned though as some of the mini bar items, water, ect, snacks are placed on the tray with your glasses and cocktail shakers and they are not free. We did have room service once and it was good and reasonably priced. We ate at Bin36 for breakfast a few times and found it very nice indeed.There is a new Bar called The Crimson Lounge, gosh this place looked like a Vampire's Lure, very gothic, red and so dark, you could hardly see the person sat next to you on some tables. It was very busy on the weekend we where there, with lots of young girls aged around 20 - 25, dressed to impress, not our cup of tea really.We did like Chicago, not so much as NY but we managed to see lots of sights. Harry Carays is a nice Bar ect. We also at at SMith and Wollensky but to be honest the over bearing waiter really put ut off. ALl in all the Sax is very well placed in the Marina, right next to the House Of Blues, were you can watch blues and eat good food, we managed to go on Sunday for the Brunch and gospel Choir, was fantastic and en experience. Our only gripe was our view out of the windows, of the Corn Cob Towers, the car park hosts the first 16 floors, so being on floor 14, we had a view of the spiral car park and also the noise. However all in all it was a great hotel and well worth the money.	
Apr 30 2008 	I'll stay somewhere else next time	First off let me say the bed, 42&quot; plasma TV, and staff service were all great. The room was always clean and was well stocked with plenty of (typically high priced) snacks and enough alcohol to drop an elephant.Now that that is out of the way on to the other issues...No internet... the 2 wired jacks didn't work and the wireless wouldn't hold a connection for more than 30 seconds. I was (according to the hotel technician that came to check my internet) in one of the best rooms for wireless by the elevators. In the end I could do no work from the hotel room.Although supposedly being freshly renovated, the bottom row of tiles in the tub/shower were soft and sagging from water rot of the wall behind.No bar of soap or bath mat until day 3.The (probably once comfortable) arm chair in the room has been recovered in... I kid you not... imitation vinyl TEXTURED snake skin. Not only does it look horrid the chair is now cold, uncomfortable and squeaks when you sit in it. I used it once for about 30 seconds.No screens on the windows. To the delight of the fly that joined me in my room on day 2.No vending machines in the entire hotel. None, zippo. The guest book says there are but the hotel operator informed me that there aren't after I went looking. I refused to open the $7 bottle of water in my room and wandered off to a grocery store instead.And lastly, who puts a pedestal sink in a hotel room? There is no counter space to put down all the toiletries you typically travel with and I ended up using the toilet tank as a shelf.As much as I loved the bed and TV I personally wouldn't stay there again. If you're just looking for a quiet place to crash though you might consider it.	
Apr 18 2008 	Kinda Weird Actually	My company has a business rate with this location, and of all the Chicago area hotels I'm really shocked they chose this one. Most of my younger early 20-something colleagues tend to like this location, but I'm not completely sold on it.I find they're trying so hard to be trendy that it becomes annoying.All of my contacts with the staff were very pleasant.Gettting to the room proved tough as the sixth floor was very dark, and the rooms were poorly labeled.The room was comfortable and plush, but again tried too hard to be trendy. I found the bathroom to be odd. With a long walk from the shower to the sink counter top on a cold floor. Had I stayed long I'd have requested extra bath towels simply to &quot;carpet&quot; the floor.I did not use the hotel's internet service, but did use their valet parking which I found to be very expensive ($42 Feb 2008), but probably on par with what other downtown hotels charge.	
