	Excellent Value and friendly professional courteous staff in Great Location.	My wife and I truly enjoyed our recent stay at this Sheraton Hotel. The value for money was outstanding - I know the price we paid is a reflection of the current difficult economic conditions but it really was worth much more money. The room and facilities were very comfortable and became our home during a week of constant activity. We looked forward to coming back to our room every evening, our &quot;island of tranquility&quot;, which overlooked the river and was very quiet. The front desk and housekeeping staff made us feel like special guests every day. We really liked the free internet access in the link café; the complimentary Starbuck's coffee and Tazo Teas are a generous and welcome amenity. Every hotel employee we met was helpful and pleasant. We loved the central location for our stay during Thanksgiving Week and will not hesitate to return to this hotel when the next opportunity presents itself. There is much we could say about the little things that make a stay enjoyable, and it is obvious that staff training and attention to detail as well as the intangibles, &quot;positive attitude, pride and willingness to please the customer&quot; are very evident throughout your facility.	
Dec 3 2008 	WIndy City	The sheraton was a wonderful hotel! When me and my mom flew in we were really tired so we decided to take a quick nap. We didnt want to get up! The beds are absolutely to die for. I wanted to take it home with me. The service was great and this was probably one of the biggest if not the biggest hotel ive ever stayed in. They had a really nice restaurant inside with excellent food.	
Nov 28 2008	Nice property in a good location	Just stayed at this property on Wednesday before Thanksgiving holiday. It is the first time as a Starwood Platinum here and since I was staying on a rate of $119 including parking I was going to be happy with just a room and the points!Check in was very quick as the SPG check in was staffed with a couple of people and not much of a line.We checked out the club lounge and it was nice but cant comment on the food offerings or breakfast as we missed both of those but it was a nice looking lounge but since I consider most lounge offerings in the US to be useless I rarely spend much time in them.We got upgraded to a suite, which was really a regular room connected to a large hospitality suite. We did not get much use of the additional space as we spent very little time in the room but I think the suite was large enough to actually have 3 entrances. Very nice upgrade really.Also, the check in person mentioned that I could get free internet in the lounge or the room as a club floor guest which is a nice perk.We did have some drinks in the Chibar which I do not remember being at the hotel during my last stay and it is a nice place but not really that large. They had karaoke that night and it was actually fun. the drink prices are a little high I think, even for a hotel bar. The service was very spotty though. Definitely better options for drinking nearby but had a good time none the less.Breakfast was to be had at Shulas and that place has no character at all. Once again pretty expensive for breakfast but about typical for a Chicago hotel breakfast.This is a nice hotel but not a lot of character but it is nice and in a pretty good location so I will definitely return.	
Nov 20 2008 	Sheraton Continues to be Average	When I use Priceline in Chicago these days, I keep ending up at the Hyatt Regency or the Sheraton. I was trying to save the company some money, but I think I'm just going to start sucking it up and paying.The Sheraton is a convention staple, so it's always packed. Rooms are OK, but again, it's teeming with people and so huge, so the rooms are kind of blah and they always want to stick you next to something loud (like an elevator shaft).There was a huge ink stain in one of the comforters, so had to call guest services. The fridge was louder than loud, again, guest services. Then, my key died after 24 hours. They were supposed to send a new key and didn't, had to wait in a line for 20 minutes downstairs to get one. Service isn't exactly their strong suit.Had to get a car this time and that was the worst. Not only was parking $42, but it took the valet forever and a day to fetch the car. Literally, it was half an hour. And it's not like you can just call down for it. Basically, I'm done with this hotel, so unless I have to stay here, I definitely won't. I'd recommend the same for others. There are way better places to stay in Chicago for the same price (if you're paying full price).	
Nov 15 2008 	Great Hotel for the Value	We selected our hotel from those available on Expedia with a view of the waterfront. We got an excellent rate for booking the trip that included air from San Antonio and the hotel together. We did upgrade the room to a deluxe waterview when booking.After booking online, I sent an email directly to the hotel telling them that we were traveling to Chicago for our anniversary and requested a room with a very nice view of the Navy Pier, if available. I also asked about the possibility of an early check-in and late check-out because of the times our planes arrived and departed O'hare. I provided our Signature Club frequent traveler information when making this request. The next day I received a response that was above and beyond my expectations. We were upgraded to a Sheraton Club floor (top three floors of the 34 story hotel -- which includes complimentary continental breakfast, snacks, soft drinks and bottled water, free use of computers and wi-fi) were granted early check-in (expected time of arrival was around noon) and a late check-out on the day of our departure. A reservation was made for us for the night of our anniversary at the hotel steakhouse, Shula's, with complimentary dessert.When we arrived around 11:45, we were told our room was not yet ready for our check-in and we were given a door key to the Sheraton Club Lounge where we could relax until we got the call that our room was ready. We checked our bags in and went up to the 33rd floor lounge. At 12:30, we had not received a call from the front desk and we went back down to check on the status. We were told they still were not done, so we went down to the hamburger restaurant (two floors below the lobby of the hotel) for lunch. After lunch -- still not ready. It was a disappointment that our early check-in did not happen until 2:30 -- just a half hour prior to regular check-in time. We would have begun enjoying Chicago a couple hours earlier if we had actually been able to get an early check-in. That was our only real disappointment.We were assinged a fabulous room -- 3304 -- same floor as the Sheraton Club lounge. We had a corner room with absolutely beautiful views of the Navy Pier and a nice view of the Chicago River. The room was clean and well-appointed, as the photos will show. It was not opulent, but very nice -- especially for the rate we paid. We had a king room, which had a small sitting area, nice bathroom with marble tile, terry robe (only one), a nice sized flat panel tv, and a comfortable bed (pillows were a bit soft, but I'm sure they would have gladly exchanged them if requested). There is turn-down service on the Sheraton Club floors, but after the first night of no such service, I found out that you have to request the service -- it is not automatically provided. The hotel knew we were there for an anniversary celebration and we were wished a happy anniversary each time we had any dealings with the front staff -- but there were no additional perks for the anniversary -- which is OK.The hotel in general is very nice -- the staff is pleasant and friendly. I honestly don't understand some of the negative reviews I've read on this site -- unless our room was far superior to the general rooms at this hotel.The location is great -- we were within a 10 minute walk to the Navy Pier, the Mag Mile pretty much started two blocks west of the hotel, bus stops were within a block of the hotel, the hop-on-hop-off shuttle tour was a half block from the front lobby. We toured the city by bus, foot, trolley, and taxi ($5 will get you anywhere in the downtown area on a taxi).We will try another hotel on our next trip, but only because we will be looking for something different, not because of anything negative with the Sheraton Chicago Hotel and Towers.	
Oct 24 2008 	Good hotel	I stayed at the Sheraton Chicago for a business conference. The hotel is enormous although it does look a little dated. The room was very large, enormous bed, sofa, television, trouser press, iron etc. Great views of Chicago, although almost anywhere you can be in Chicago has great views of Chicago. There is a small gym and swimming pool which is just about large enough to swim in.The bars are nice and sell some very nice microbrew beers. The location of the hotel is great. It is just north of the river and lots of Chicago and Navy pier etc are within easy walking distance.	
Oct 22 2008 	Incorrectly took money without notification and still 1 month later not refunded	Firtly they took $372 off my card, even though they also took the same amount off of one of my friends for staying an extra night. They had no business taking the money off of my card. So on the 28th Sep I contacted them and they admited to the mistake. It is not a month later and I have called them about 6 times in all and they have still not paid it back.Secondly I booked 8 rooms at buy 2 get 3rd room free direct with hotel. When I looked a week later, they had only booked 7 and refused to offer me the rate 3rd room free rate, so two of my friends didn't come to the trip away.Thirdly I asked if the initial money for all rooms could be taken ASAP as the dollar was weak against the pound. After about 8 phone calls over 5 months (each saying they would) they eventually took the money and the whole trip cost an additional £150. Overall, the hotel was nice and in a nice location, but I will never be staying there again due to all my problems.	
Oct 14 2008	Not worth the money	I recently stayed at the Sheraton for an onsite conference, and had problems from the getgo. I had problems with the check-in even though I had made arrangements beforehand to pay by company check and they have a credit card on file. The front desk clerks were kind of rude.The room was okay, not worth what I paid for. The sheets were kind of messed up and the room didn't feel very clean. They also charge for internet access, which is ridiculous. Most hotels provide free wi-fi.The conference food, which I assume is catered by the hotel, was not good at all. On the day of the check out, I had arranged for a late check-out, but in the morning before check-out time, someone else got assigned to my room and was attempting to get in! Then they locked me out of my room with my luggage still in there before my check out time. All in all, I would recommend staying somewhere else.	
Oct 14 2008 	Not worth the money	Booked the hotel through the &quot;Official Website&quot; for the 2008 Chicago marathon. Who knew that wasn't going to be a good idea? Turns out the two rooms we booked (at $350 EACH per night) weren't available because we didn't use the hotel website. We had confirmation letters from wherever the marathon website was from, so thankfully they squeezed us in, but our two rooms were on two different floors. Not a good situation with three little kids and three adults. They promised us a roll away bed in the room and it still hadn't been delivered by 9pm when we got in for the evening. Had to wait another 1/2 hour to get the kids to bed before it arrived. The hotel did very little to help us out (in terms of getting us at least on the same floor). They also required a 2 night minimum booking. The enormous charge did not include internet, and the restaurants attached to the hotel averaged about $20 per person for meals. We would have no problems paying this (and we have at places we consider &quot;worth it&quot;), except the hotel itself just isn't worth it. It's an old hotel fixed up cosmetically. It's loud in the hallways, the rooms are dark. Half the lights didn't work and the coffee pot only brewed half a cup of coffee. The pool was fine. Health club looked to be nice. The concierge counter was helpful. The lobby area is clean and well decorated, but the gift shop was closed for &quot;10 minutes&quot; every time we went down there so we never got anything from it. The hotel did, however, locate my lost cell phone so for that I'm greatful. Location wasn't too bad for all the marathon weekend activity.Overall, we will never spend another dime with the Sheraton hotel chain. This isn't the first time we've been less than impressed with Sheraton, but the first time we felt compelled to review about it.	
Oct 12 2008 	Great Hotel 	I stayed at the Sheraton Chicago for a week in August for a business conference. The hotel is huge, very clean, and the staff went out of there way to help book tickets to the play Wicked. The burger restaurant downstairs was delicious and the hotel is situated right on the Chicago River. The hotel is close to nearly everything, which was very convenient. The facility was clean, new, and staff takes pride in keeping it that way. The only complaint I had was the wireless Internet costs $11.95 a day. I think for a hotel that actively recruits business conferences, and profits quite well from them, they could pony up a little money for free wireless Internet service, That was a huge downfall for me and other conference attendees who could get free wireless Internet at budget hotels like Shilo Inn and Best Western, but not at a luxury hotel like the Sheraton. There was no excuse for this.	
Sep 29 2008 	good hotel great views	I stayed here for a conference. The hotel was good - and I had amazing views of the Chicago River from my hotel room. The location was alright - a little off the beaten path, but lots of attractions within walking distance. The concierge was incredibly helpful. Would probably stay here again.	
Sep 28 2008	Conference facilities	I did not stay at this hotel, but attended a conference at the Sheraton for two days. The hotel lobby and meeting room areas are beautiful and very roomy. The conference facilities are vast but organized well with a lot of room for information areas. The food at the conference was great and the waiter at our lunch was probably the most attentive server I've ever seen at a conference luncheon.There were a few session rooms that were really small and remote. The hotel would do well to invest in some ceiling mounted A/V projectors so that screens could be raised - at times (in the smaller rooms) it was difficult to see the presentation with others' heads in the way.The location is the Sheraton's best asset. The promenade along the Chicago river was a great place to take a break from the conference. My husband ate at the Chicago Burger Company and said it was a great meal.	
Sep 26 2008 	Ok...	This hotel is OK. For the price, you should get much more. The lobby was nice, but the rooms were a bit dirty. My shower had mold in between the tiles and there was hair in the &quot;clean&quot; towels. When I stepped off the elevator, my floor (20) smelled like a wet dog. Food from room service was great, but took almost two hours to be delivered. I've stayed in nicer and cleaner hotels on Michigan Ave. that were cheaper or the same price. I wouldn't recommend this hotel.	
Sep 3 2008 	Labor day weekend in Chicago	The three of us stayed at the Sheraton over the Labor Day weekend as our first trip to Chicago. We chose the hotel due to its excellent location, close to Navy Pier and Michigan Ave. The lobby area has obviously undergone refurbishment and presents an excellent first impression. At reception we were asked if we wanted an upper floor room with a view, which we did. The room had views north to the Hancock Tower and east over the lake but not the pier which was blocked by another high-rise. The room was smallish but clean and with everything you need. It was cool without the air-con, despite the weather outside being quite hot. During the 3 nights we stayed we heard very little noise from other guests which made for a relaxing stay. Our only dissapointment was the rather small pool, which for a 1200 room hotel seemed inadequate. Its a nice hotel in a great location for downtown Chicago. A must is a visit to the nearby Fox and Obey delicatesen and restaurant which was fantastic!	
Sep 3 2008 	Great Hotel!!	Stayed here for the Labor Day weekend. Our experience from the time we walked in the door until we walked out was wonderful! We (two couples) arrived at 11:00 a.m. and even though the check in was 3:00 p.m. they gave us rooms right away which left us free to roam without having to worry about getting back at a certain time to check in. Rooms were very clean. A couple of nice lounges in the hotel and lots of nice (although pricey) restaurants within walking distance. I would recommend PJ Clarkes down the street to the north for lunch or dinner and Lizzie McNeills (down the stairs to the east of the hotel) for casual food and just hanging out right on the river...less expensive than the hotel bars too. There is also a Dick's Last Resort nearby and the Navy Pier with all of its boats and entertainment not far either. I would definately stay here again and/or recommend it to friends and acquaintances!	
Aug 31 2008 	Great Stay	I decided to stay at the Sheraton Hotel and Towers for the Labor Day Week-end, even though I had read several negative reviews. I chose the Sheraton over the Omni, Embassy Suites, and Hilton Suites hotels. My stay was wonderful. We received a warm greeting from Grant upon check in, and were made to feel as though we were the most important guests in the hotel. We stayed on the Club Floor in an Illinois Suite that was spacious and well appointed. There were two bathrooms, along with the fabulous Sheraton Sweet Sleeper bed. We had excellent housekeeping services (even though other guests comments were to the contrary). We often met the housekeeper in the hallway as we were leaving for the day. Gabby, the Front Desk Manager could not have been nicer. She is proficient in her role as manager, and made it her business to see that we had a wonderful stay. We had burgers at the Chicago Burger Company. DELICIOUS!! Even though this is a large hotel (1200+ rooms, it had a personal feel. I was anxious about staying at such a large property, but the attention to detail and service provided was on the same level at the Ritz Carlton Washington DC that I recently stayed at. Kudos to Gabby and her staff for their efforts. I don't want to forget the Concierge! If we wanted to know anything they had the answer. Always patient and very informative. The only down side was the Club lounge was being renovated, so we didn't get to see the beautiful views from the two story lounge, however the view from our suite was exceptional. This hotel gets a bad rap from some reviewers. Give them a chance. I believe you will be more than pleased with the outcome. They work hard to make your stay memorable. We were able to walk all over Chicago from the hotel. I will look back fondly on this stay. It was well worth the trip! Great room, great food, great staff, great stay. And affordable too. You can't go wrong with the Sheraton Hotel and Towers.	
Aug 28 2008 	Lovely hotel	My friend and I travelled to Chicago for a New Year experience away from London. Having scoured expedia for deals, the Sheraton Hotel and Towers seemed to come out trumps.On arrival we were pleasantly greeted with a classy lobby decorated to the nines with Christmas decorations, including a chocolate sculpture in the centre depicting toy soldiers. Already impressed, we were then helped at check-in by some lovely staff. We hadn't asked for any special requests when booking, so we thought we'd ask if we could get a room with a view and they upgraded our view with no quibbles.When we got to our room, and looked out the window, they had clearly given us a great view looking down the river meandering through the skyscrapers. The Chicago skyline is amazing!We had a slight problem with our in room safe, but one call to reception and a security man was up to the room to fix it in minutes. The rooms were cleaned everyday and fresh towels and toiletries were always replenished.The location of the hotel is pretty good too. It's located right on the Chicago River, under a five minute walk from Michigan Avenue and all it's shops. The hotel is slap bang in the middle of everything, I would say it is equidistant from all of Chicago's sights from Sears Tower to John Hancock, from Navy Pier to the Field Museum. Chicago is a big place so don't expect everything to be right on the hotel's doorstop, but the Sheraton has enough transport links making it very easily accessible.Only two small down points. Seeing as we didn't arrive until the 30th of December, we didn't have an awful lot of time to find out where would be a good place to go for new years celebrations. Asking the conceirge for reccommendations, they gave us an old Time Out magazine and let us figure it out for ourselves. And the other thing was the overpriced mini-bar, but I realise this is the same in all hotels, but just thought it was worth mentioning.All in all though, the Sheraton Chicago Hotel and Towers was a great hotel and I would definitely stay there again in the future and reccommend it to others!	
Aug 22 2008 	thought it was good	We stayed here for 2 nights in August. We really liked this hotel. We had stayed at Hotel Sax the two nights before and liked this one better. We thought the staff was really professional, nice and accomodating. there was a mix up with our reservation/price (it was our fault) and the staff went out of their way to work it out. The rooms were a really nice size with a good size bathroom. we paid a little extra to have the nice view and were glad we did. It has a great location and is very close to navy pier and such. easily walkable. it had good access to a lot of bars and the conceirage was very helpful getting us information. they gave us free passes to two bars/jazz clubs in the area. they were really nice and really listened to us about what kind of places we were wanting to go to.overall, i don't think i have any complaints. i would definately stay there again. i heard from a friend that stayed there before that the wireless internet wasn't that great at this location, but we didn't try it. Besides the hotel, cool things to do in Chicago: of course go to navy pier and stay for the fireworks. Take one of the boat tours. We took the sail boat one. Looking back, probably would have done the more traditional ones. The zoo is only so-so but good for kids. Look for the hot tix location to get discounted theatre tickets. The staff pretty much know what’s showing at every theatre in town. We saw ‘Alice’ at the looking glass theatre. It was fantastic and great for kids and adults. The green mill was a really cool jazz bar with a lot of history (I guess it was Al Capone’s old hub). Don’t go there if you want to drink and party though. They ask people not to speak while people are playing. Wrigley field was AWESOME. Andy’s Jazz Club was tons of fun and there’s other bars in its proximity (that was our one night of staying up too late and drinking too much). Overall, I would definitely go back to Chicago. I feel there’s a lot we didn’t get to do.	
Aug 22 2008 	Pretty good with a few quirks	This was a tough review. I wavered between a score of 3 and 4. Had I paid full price for this 4-star hotel, I would have expected more pizazz. But because I got a tremendous deal through Priceline, I was quite delighted with what we got. My wife, myself, and our friend staying with us noted these highlights: Helpful, friendly, and cheerful staff, including easy check-in, helpful bellman, cheerful coffee counter workers and other randomly-encountered workers. Excellent location, especially if you enjoy walking in the city (central to Michigan Ave, River walks, Navy Pier, and Loop). I suspect all rooms have views ranging from very good (ours from room 2836 was of skyline to the north), to stunning. Nice new large, hi-rez, flat TV. Nice Bliss bath products. The comfy, luxurious beds tempted us to linger. All other functional features were in good order (water pressure, heating/cooling, etc.) Coffeemaker in room w/Starbucks. Now for just a few little quirks: Surfaces in the room were a bit dusty (but not badly so). One floor lamp could not be turned off and had to be unplugged (we all tried). Bathroom had no fan or other ventilation. I believe they still charge $12 a day for fitness center, but we didn't have time to try. Parking is $42 for valet, $34 for self park. I paid $32 at lot 1 block north under AMC theaters; probably could have found cheaper, but we were tired. Bought 3 pastries and an OJ at coffee counter for just under $20. I wished we could have stayed longer and tried the pool. This hotel would make a great &quot;home base&quot; for exploring the city.	
Aug 21 2008 	Good hotel in a great city...	I recently returned from an overnight stay at the Sheraton Chicago. The property itself is very clean and in good shape. I had a king room that was on the North side of the building, and offered a great view. The room had a large LCD television, an average sized desk, and a decent bathroom. The internet is wired in the rooms, but I was able to sidestep the cost and grab an unsecured signal from somewhere in the hotel. You know, in this day and age, I still can't believe that hotels and airports charge for wi-fi. You get smacked with $6 bottled water in the rooms, so with a profit margin like that, why not allow for free internet?We wound up renting a car for the day, and had to pay nearly $50 to park. This seemed high, but I understand that parking is at a premium within the city. Breakfast at Shula's is very good, but pricey. The same goes for room service...Overall, a job well done by Sheraton.	
Aug 18 2008 	Good Experience but not Great	We booked the American Girl Package. Our cost for 2 nights for 2 double beds was over 550 dollars. Our room was supposed to be upgraded, but did not seem that terrific to me. The beds were comfortable, the room was small and outdated. The bathroom was in need of a remodel. The room was a really standard room. There is an expensive mini bar, took some things out, to put some of my things in, (then put their things back before we left.--nothing perishable) We did get valet parking included, and a fold out bed for the doll, which my daughter liked. She also got some cupcakes and milk. This hotel is in a great location, you can easily walk to Michigan ave and the all important American Girl store. There is a McDonalds in easy walking distance if you have kids. If I was able to get this hotel for 99 dollars a night, I would take it.but not for what we paid. Just too expensive for what you get. There are other hotels in the same area, would check them out first.My daughter did use the pool, the pool was nice, but the air temperature in the pool area was stifling hot, no air circulation, so unless you were in the pool it was uncomfortable.I am glad we got an opportunity to stay in this hotel. It was fun to stay in the city.	
Aug 18 2008	Excellent service all around	It is rare that I have an all around positive service experience, but this past weekend was great at the Chicago Sheraton Towers. The service was good at many different levels. We had a small hiccup with the online reservation so I emailed them. I received a prompt reply from the hotel and they fixed the problem immediately. Upon checking in, we had a hand written note from the hotel apologizing for the problem. Other small things happened as well: The porter offered to get us ice since there was no ice machine on our level. At check out, they offered to bring our car to the lobby in stead of the parking garage. A hotel worker got me a free cup of coffee at 6am since the lounge wasnt open until 6:30. We sat outside for a drink and a manager (not our server) came and cleaned up our table for us right as we sat down, telling us how much he loved Chicago in the summer. The staff was generally prompt, friendly, and attentive. And although this was not my issues, I was impressed. Some crazed lady was yelling at the valet guy in the garage because she waited 15 minutes for her car (it says this on the ticket) the guy didn't argue with her and wasnt mad even though this woman was totally out of line. He was polite and calm. I was extremely impressed not by one person but by the whole staff.	
Aug 18 2008 	Large hotel with excellant service	My wife and I stayed here for a quick anniversary getaway. While the hotel is HUGE the staff was very accomadating and remarkably curteous for a facility so large. The best way to describe the lobby is massive-and busy, but the conceirge was fast and did a wonderful job pointing us to fantastic restaurants. We have stayed in little boutique hotels well known for personal service but I would have to say that the staff and service at this hotel were on a par if not superior to them. The location is perfect for walking to the loop, navy pier or Michigan Avenue shopping. The best way to actually get around the area is to walk and everything was close enough to not make that a chore-we even walked to and from Union Station-which walking along the river on Wacker is pleasant and less hectic-though I have to admit that we travel with backpacks which makes walking easier than with suitcases. I would highly recommend the hotel for service and comfort-the room was clean and comfortable, with a down comforter on the bed which is a nice touch-we had a lake/river view room which was pleasant as well-and the rates were very very competitive, particularly considering how many people were in town for the big air show. I would agree with some that noted that prices in the restaurants were high and charging for the internet, but I understand that Sheraton is changing the latter policy and as for food and drink prices-well you are in Chicago not Milwaukee so that is something to be expected-and certainly no worse than you will find in NYC or London-you can always go to the liquor store-about 3 blocks away and BYO. For a large hotel in a busy major city this one ranks among the best I have been to.	
Aug 17 2008 	not worth the price	was here for a combo business meetings/pleasure trip. Location is great (close to Mag mile, Navy Pier, free trolleys and tour busses/boats.) But that's about all that's good with this place. We've stayed at other hotels in the same neighborhood, and would not choose this one ourselves (were assigned here by conference booking people.)Hotel is very pricey (we stayed an extra night so paid out of pocket.) Found the lobby to be extremely loud (had loud music playing at all times...why? This is a busy hotel in a busy area, there's plenty of just normal hustle &amp; bustle noise. Doesn't need additional noise.) And the entire hotel was freezing at all times. Although the room had individual controls, they apparently had no connection to reality. Your choice really was ice-cube or nothing. Changing the &quot;temperature&quot; control to warmer had no effect on the actual air temp coming out of the unit. It was ice cold or turned off. No fan-only setting. So you freeze or boil.Restaurants were being reno'd so the only thing available was relocated into the Shula's place. Can we say seriously overpriced? We went to the breakfast buffett every day (didn't have much choice due to scheduling, we had to eat there) First of all, they charged a slightly different price every day, even though we had the same thing every day??? Bill for 2 people varied between $46 &amp; change up to $48 and change. No difference on order, was always 2 adult buffets &amp; 2 coffees. No explanation for price differences. Second, the table cloths were dirty (white linen with lots of stains. Don't know how often they changed them but they were dirty at breakfast &amp; dirty at lunch the one day we ate lunch there.) The juice glasses were dirty...for $22-23 per person, could they at least polish the water spots off the glassware? The food at the breakfast buffet was good, but not worth the price. Service was o.k., just.Maid service was pitiful. The first day, we got no maid service at all...after being out all day, we got back to unmade beds &amp; no fresh towels...we called at 5:00 p.m. to request maid service, They said they'd get maid service up right away (we saw maid carts still out on our floor at the time, so it wasn't as if they'd all gone home already ). We asked that they at least bring towels (3 adults in room, we'd used the 3 towels that morning) We left for the evening, and when we returned at 9 p.m. still no maids, no towels. Called down &amp; asked for towels again since had to be out of the room early next a.m. for business meetings. We were told they'd be right up. Hour later, still no towels. Called again, and they finally showed up with towels at 10:30. Had maid service the following days, but they repeatedly left only 2 coffees/2 coffee cups on the coffee service (Each coffee packet made one serving, and the cups were paper Starbucks cups meant for single use) We had left a note telling them there were 3 adults in the room...and we were paying for 3 adults in the room) Finally on last day maid left 3 coffees...a little late!The bedding was comfortable, but showing wear (one of the bedspreads had iron burns in it!)After check out, it took the valet parking guys almost 30 minutes to bring our car! We watched car after car arrive for people who had just come down. Our bellman with our luggage bumped them 3 times in 15 minutes, then he went back upstairs. Husband asked them every couple of minutes where was our car. Finally showed up with it.	
Aug 16 2008 	Would definitely go back again.	We stayed here in Aug. and would definitely stay here again while in Chicago. Loved the location along the river and just a couple of blocks to Navy Pier or Michigan Ave. Room was nice and clean. Only drawback was lack of counter space in bathroom. Ate outside at their hamburger restaurant along the river. Food and portions were good and river view was nice. The hamburger Nacho apetizer was very good there and large basket of it. Pool temp. was warm and wonderful view from pool area. Friendly and helpful hotel staff.	
Aug 14 2008	4 Star???? Really?????	Stayed at the sheraton in Chicago for a &quot;girls trip away&quot;. Not impressed with the service at all. Had to carry our own bags. Many employees there without one offering to help us with our luggage. Costs $15 to hook to the internet. Can get WiFi at a Holiday Inn. Costs $20 to work out at the hotel gym. Both of which should be a courtesy if you are paying to stay at a 4 star hotel. Also, was charged for room service and something that was for $17.00 out of the room bar, both which I did not order or use. Look at your bill closely.Rooms and bathroom small. Beds were comfortable.Would not recommend to anyone.	
Aug 13 2008 	Loved my stay!	I was in downtown Chicago for 2 days on business &amp; booked this hotel through Hotwire. I got the room for $99/night, but from what I've seen, the rates are generally $225/night &amp; higher. I had never been to Chicago before &amp; chose to forgo a rental car...taking the Blue Line CTA train from O'Hare to the Clark/Lake station. I called &amp; got directions from the hotel staff. They were very helpful. I decided to walk to the hotel from the Clark/Lake station (about 7 blocks) b/c I wanted to see the city &amp; it really wasn't that bad of a walk (I was even carrying a suitcase on my back &amp; wheeling my laptop).My room was really nice (see pics). There were some signs of age, but it was well appointed. It had all the ameneties you'd want (except for a mini fridge...instead they put a mini bar), &amp; had a nice HD flat screen. The bed &amp; pillows were extremely comfortable...which was good b/c I currently have a disk problem in my lower neck. The view was amazing (see pics). The hotel was centrally located. There was a theater &amp; bowling alley &amp; shops across the street. The Navy Pier was a short walk/cab ride away &amp; I walked for about a mile around the city just to see the sights &amp; get some pizza.Since I did not have a car, I can't tell you how much parking was, but true to form, this is yet another upscale hotel that charges for internet access (even though their lower-scale competitors offer it for free)...w/tax it comes out to $13 per day. I didn't get a chance to check out the hotel amenities (pool/fitness), but I'd recommend this place to anyone.	
Aug 6 2008 	Very nice hotel	Great location on the river. Excellent staff, nice rooms.	
Aug 4 2008 	Very good exceeded expectations	Great hotel.I realize that the room rates vary widely and I can't comment on price /value considering my stay was not at my own expense.The Front Desk staff bent over backwards to accommodate requests, they were always friendly and smiling.The Concierge staff were among the best I've ever encountered. Lauren V. is probably the best in Chicago. Knowledgeable, patient, and wonderfully enthusiastic.Some of the guest rooms have the most stunning views.I'm from New York City so I really didn't care how small the guest room was, it had a beautiful view. The room really wasn't that small.Great location. Beautiful views. Very friendly and helpful staff. Lots of options within the hotel for food and beverage. I didn't make it to the Fitness Center but I heard rave reviews.	
Aug 3 2008 	Comfortable Enough	For a quick weekend getaway and a conference, I chose to stay at the Sheraton Chicago Hotel and Tower near the famous Navy Pier. After a quick 25-minute trip from O’Hare (Be warned: I have heard it can take over an hour to get to Downtown / Loop) I pulled up to the hotel to see many people for various other conferences. Arriving late at night, I was met by a bellhop and quickly taken up to my room on the 34th floor (another family member already checked-in). A quick elevator ride later, we arrived on the top level, one of the club levels, and found a decent room for a weekend trip. Upon entry to the room, a bathroom with shower/tub and a large sink/vanity area was on the left. Then there was a long hallway within the room going to the bedroom portion of the room. Scanning the room, there was a very large LG Plasma, closet, chair, desk, and king size bed. The room’s was trying to be very hip, like a newer W Hotel, with new paint, interesting headboards and furniture, but still lacked character. The room also was very dark at night, with only three lights. The bi-level Club Lounge had a lot of tables and seating areas, a computer and printer, TV, and three food presentations a day - kudos to the Club staff for dealing with any requests that I had. I used the fitness center, and it has a whole rotation of Cybex machines, weights, and numerous treadmills, ellipticals, and stair climbers. They offer massage service in the fitness center, but its door let right out to the workout room, so it didn’t look like it would be relaxing. An indoor pool with room for laps is also near the fitness center, however it wasn’t heated well. I did not eat in the hotel besides for the Club (finger foods, decent food), so I cannot give you an accurate picture of the restaurants, but there are four, including a Shula’s Steak House (very good). Overall, this is a very typical Sheraton; a nice, comfortable place to stay for the weekend, but there was nothing truly “special” about the service or the facilities. Happy travels!	
Jul 31 2008 	A gorgeous gem	This is a classy, gorgeous, upscale hotel for Chicago! The front desk service was so-so, but the ladies at the bar with coffee were FANTASTIC! Very clean, classy, and a beautiful getaway. The doormen are wonderful, the elevators are FAST and there are plenty. The rooms were clean and nice. The only problem is FOOD and DRINKS are REDICULOUSLY priced! Especially breakfast and Shula's. We just got several appetizers and the delicious soufle au chocolat. The burger restaurant has a FANTASTIC salmon burger---worth the price, actually. Near everything that's great to see downtown. It was sad to leave!	
Jul 29 2008 	Nice but alittle pricey	The hotel was at a great location... close to Michigan Ave and the Lake along with a nice view of the river.The hotel staff were extremely nice and always helpful and courtious. The restaraunt in the hotel was not that great for the menu prices and service was slow.The only thing that was a let down was the high extra charges for room service and delivery fees.I would STAY HERE AGAIN.	
