	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Nov 17 2008 	best room in house is corner looking south west up river	I came in town to see Cubs playoffs:-( After both games I found comfort in my spacious corner room on the 11th floor. I enjoyed the bedding, as always, coffee (1-cup maker) is so nice, nice bathrooms, great workspace, and my awesome view!Everything at this hotel was perfect for me.Great bar in lobby, with exceptional food. great location	
Nov 9 2008 	Great Location Great Rooms and Great Stay	Great Hotel in Chicago in a great location.Stayed there with my partner in April on our USA trip and definately would stay again.Location is downtown Chicago and close to all major sightseeing and shopping. The hotel facilities are excellent, clean, rooms are spacious, beds are just plain heaven, bathrooms and showers are just amazing and the staff is very friendly and helpful.Had a great room overlooking the river.Only let down was the breakfast. 40 dollars for two people is quite steep considering you get brekki in a lovley cafe just near to the hotel for half the price. Apart from this everything was just perfect.	
Nov 5 2008 	Loved it! (Except for the breakfast)	It is in a very good location, close to Sears tower (about a mile), the Navy Pier (1/12 mile) close by the free trolley which you can take to go to the Navy Pier or to museums :) TClose to the business district and a quick ride to Old Town.The hotel is beautiful, super modern and sleek. We had a room on the 10th floor with an awesome view of the River. The bed was super comfy! I'm thinking to buy the mattress from the site. Big plasma TV, a nice longe chair to read by the window. The bathroom double shower, immaculate. The personnel was really nice and help us get orientated in Chicago. Since I was there for a conference I was not impressed with the continental breakfast they provided. Blah! But I went to their sushi bar, excellent! :) Probably the restaurant is better for breakfast. I will definitely stay there again.	
Oct 21 2008	Clean hotel fabulous location	Stayed here after attending a wedding in the hotel. Overall, a positive experience. The rooms were fairly large, clean, and we were given a prime view of the Chicago River. The hotel's location is one of it's best assets. We were in walking distance of Millennium Park, Michigan Ave., and right across the street from the House of Blues.My only complaints are the $42 charge for overnight parking (I know it's downtown Chicago, but c'mon ... that's very high) and the not-so-heavenly bed (I've stayed at other Westins, and somehow this bed wasn't quite up to snuff).	
Oct 13 2008 	Great Location Great Specials Best way to see Chicago!	After searching for hours online for different hotels, the Westin made the most sense. So I called up the hotel directly instead of buying online, and wound up getting a great deal. Just ask about their specials... The woman that helped me book was wonderful, and made a note to upgrade my wife and I and treat us with VIP service... Sure enough when we arrived they did. We were upgraded to club member status, and were given a top level club suite. The view was slightly blocked by Marina City Towers (just across the street), but looking out the bedroom we could look down upon the Chicago River that banks on the hotel. The room was huge. It was a suite, so it was a combination of 2 rooms: a living room and a door into the bedroom on the other side. The living room was spacious with a couch and flat-panel TV, along with a bar and a desk/office area with a iMac computer with internet access (which was helpful in finding things to do). The bedroom was in the next room with a sexy chase lounge, a very comfortable bed, and a huge bathroom. The bed was so comfortable that I am now looking into buying one of them - which i believe the Westin claims to sell - or they just slap their name on them, anyway they are fantastic.The location, is probably one of the best features of this hotel, if your familiar with Chicago - this is right in the heart of the River North area, across the street from the House of Blues and Marina City Towers. Within walking to everything, you won't need to waive any taxis down, just pack a comfortable pair of shoes and enjoy the city!	
Sep 23 2008 	Very Good	Got a room at the Westin through Priceline for about 60% less than booking direct. Had a huge room on the 7th floor with a city view. Very spacious, clean and comfortable. The room was very dimly lit with no option to increase lighting; and the wifi is at least freein the lobby (although an unpredictable and patchy connection) - There is no option to have breakfast in the hotel if you are not a Starwood Club member; but fortunately Einstein Bagels is only one block north up Dearborn and has a great breakfast selection. (Einstein also benefits from a strong free wifi connection from the hotel above it..... )The hotel is right at a water taxi stop; and also more than close enough to walk along the river; or to Magnificient Mile. Its about a 3 block walk between the hotel and Clark/Lake station.My only real complaint is that it took a terribly long time and tremendous amount of wasted water to get hot water from the taps. At least half a bathful before the tap was running hot. They really should turn up the water thermostat!	
Sep 1 2008 	Overall Quite Satisfied	Stayed here 4 nights for business meetings.Overall Hotel was very nice. Only complaint was the meeting rooms downstairs for our company were very hot. After NUMEROUS complaints they finally managed to use the A.C.Stayed at Embassy Suites Downtown Lakefront for 3 additional nights...WESTIN was much nicer and elegant.Very good location also	
Aug 21 2008 	Excellent Hotel	Very nice, classy hotel. All of the staff is friendly and helpful.The rooms are clean, large and comfortable. Nice location.You must eat at Sullivan's when here - it is only a block away.I would stay here again in an instant.	
Aug 18 2008 	Am I being fired?	I stay at Starwood properties constantly. I used to love the service, and I am one of those model customers - stay 30+ times per year, never complain, etc., but things are progressively deteriorating. My recent problems at the Westin River North are small, but continue the downward trend.1. After staying at Starwood properties for close to 30 nights, I tried to use my points to book a personal stay - only to discover I had none. According to &quot;customer service&quot; all of my points were going to an airline, and they claimed I had authorized this. I asked for proof - a signed paper, an email form, anything - but they refused to provide any, and refused to give me my points back. 2. I originally was upgraded to a concierge level at every stay - once I corrected their mistake on the airline and began collecting actual Starwood points for real, those upgrades stopped. At the West River North, I was dropped down to the preferred level, and then to the regular level. For some reason, I stopped receiving the benefits that I had supposedly earned as a regular customer - free water, free internet, free health club access - all gone. 3. When I went to Westin's front desk to let them know about minor housekeeping issues - i.e., I didn't get a bottle of water, the soap was thrown away each night, and someone's used hair tie went from the floor into my back of hair supplies (ick). I was pretty nice about it - just &quot;here's an FYI for your housekeeping staff.&quot; The attendant's response was to roll her eyes, tell me the water was the mini-bar's responsibility, and ask why I was complaining about the soap being thrown away. I had to ask whether they had ever heard of the environment in ChicagoFor those of you who wonder, take 100 rooms * 2 bars of soap per night * 365 days per year * the number of hotels in Chicago, and ask yourself if you want that in your water supply. I've stayed in hotels (including the Westin) enough to know they usually don't throw away the soap if the same person stays in the room. These aren't huge, and wouldn't be worth noting for a $100/night place. But given the obscene prices, and given the competition for valuable regular customers - surely they can do better?	
Aug 14 2008 	Great location overall good	We were there in July on business. Room was well appointed being on the club level. While non-smoking I did notice a faint smell obviously from the previous visitor. Great location on the river and a very good breakfast served each day in the restaurant. I would stay there again.	
Aug 2 2008 	Nice Westin in a good location	This is a nice Westin in a good location. Easy walk to all that you want to do, yet quiet (for Chicago). Our room was clean, well appointed and had a nice view of the river. Service was average.	
Jul 31 2008 	Nice downtown hotel in good location	I liked this hotel alot. It was decorated very simply and elegantly. We were on the 3rd floor and did not have any special view, except for an office building across the street. There is alot of construction going on around the hotel and downtown in general. We had an issue with our shower but we didn't bother complaining about it. It was leaking and squirting out the sides. The shower head was also coming away from the wall. The caulking around the bathtub had some mold on it. It was difficult to see at first because the caulk was infact a black color (matched the black marble tiles). The only thing I did not like about this place was that it was extremely dark. The lobby area had very dim lighting and so did the rooms. But that is the style of the hotel. Our beds were very comfortable. I used the gym twice (there's a $10 fee). There was a good selection of equipment and it was clean. We had some drinks at the bar and some sushi one night. I wouldn't recommend eating/drinking at the hotel as they charge around 15% tax on any food/drink at the hotel, which would be the same in any hotel in Chicago. We didn't eat breakfast at the hotel either. There's an Einstein Bagel outside the hotel where we ate breakfast. There are lots of restaurants within a few minutes walk of the hotel. Room Service and Mini Bar was very expensive so we didn't use it. The front desk staff were friendly and even took off a charge for WI FI that my teenage son signed up for using his PSP without asking me. I appreciated that. The concierge staff were helpful with directions and helping us with dinner arrangements. Overall, we had a very pleasant stay at the Westin and would stay here again. If construction bothers you, check with the hotel beforehand because there was alot of construction going on right outside the hotel when we were there in July.	
Jul 26 2008 	Very nice place	Check in was smooth, no PL mentioned. Even honoured my reqeust of a king size room without any questions. Got one facing north at the corner, so no river view. It's a problem as there is a new condo/building going up now, so there are tons of construction worker looking right into the room...so if that's not your thing then you will need to close the drapes often. Room itself is newly renovated (think most if not all rooms are). Tons of space, nice chaise and chairs (more than the usual 1 in other hotels), and a good desk/chair to work on. Of course, the heavenly bed and the works. Bathroom was also fantastic, marble everywhere, extra large soaker tub, double shower head, quiet Kohler toilet, shaving mirror with light, and large counter space and shelves for storage. Only down side to the room was 1)lotion is more runny than water, 2) dark hallway so the minibar was hard to use since you are in the dark, 3)terrbile corkscrew (buy one if you are going to drink wine often), and outrageous minibar charges ($5 for water). Service of everyone was great, even gave me late checkout. Concierge was a bit cold. Sushi bar in the lobby was good and reasonably priced. Free wireless internet also in the lobby so don't pay in the room. They try to sell you a drink but just politely refuse and surf away. Location is amazing, tons of (albeit pricey) restaurants around, 7-11 and Einsteins Bagel just up the street, and short walk to Brown/Red line and Michigan Ave and Blue line from O'Hare. It was also a very quiet hotel given it's size and business nature (even on weekedays). So if you get this hotel on your bid, start smiling	
Jul 16 2008 	Great stay at the Westin	My husband and I stayed at the Westin over 4th of July weekend for an anniversary trip/babymoon. I've traveled all over but never stayed at the Westin, and would highly recommend this property. We arrived around 11, checked in and were upgraded to a room with club level access (free continental breakfast, evening appetizers, and gym). The woman at the counter was lovely and really friendly. The room was great - the bed was indeed Heavenly, though I've seen more impressive bathrooms. We had a computer with free wireless in the room, but it didn't work, and I was charged for a call to the help desk. Small inconvenience, really, because there was also a computer in the club lounge. Breakfast was great- espresso machine, assorted juices, milk, cereal, hardboiled eggs, salted meats and cheeses, pastries and bagels, and fruit. The appetizers in the evening were less impressive, but still nice. The hotel has a great location right on the river - there are tons of great restaurants within a few blocks. We used the concierge George for restaurant reservations and architecture tour booking, and both were great. Overall, great room, excellent location, great staff. Would absolutely return.	
Jul 11 2008	Will not return	We are loyal Westin fans and Starwood members, but were terribly disappointed with this hotel. We booked online through hotel website and were asked if we cared to upgrade to Executive accommodation that included continental breakfast, internet, health club, etc. Foolishly, we did. When we arrived there was no valet to open doors or help with luggage. Nor was any other staff member willing to do more than watch us struggle in through revolving door,. The front desk staff informed us that they found two rooms in our name and were insistent that we pay for 2nd room since it was not canceled within the deadline. After much discussion we asked to speak with manager and they promised a call when he/she was available. Next they told us our room was not available and none on that level were cleaned as yet (3:30 PM). By 5:00 PM we settled for a 2-double bed instead of king room so we could change in time for dinner reservations. Never heard from manager. For the following two days endured terrible service and were happy to leave. At check out we again inquired about extra room charge and were told it was taken care of, but we'll see. Definitely not up to Westin standards.	
Jul 3 2008 	Nice Place	The hotel has gone under renovation and the rooms and bathrooms are very nice. We were staying at the hotel for a Wedding. The Wedding was held completely at the hotel. The hotel managed everything. It was so beautiful! The restaurant at the hotel was very good. It is called the Ember Grille and we had a nice breakfast there. The room had a small view of the river. I liked that the hotel was central to many of the great places to go on foot. Directly across from the hotel is the House of Blues. The hotel has a nice lounge in the center with a bar.	
Jun 26 2008 	Great hotel great location	My husband and I live in the Chicago burbs and wanted to book a weekend to get away downtown. We've stayed in several Chicago hotels over the years, the Westin River North is at the top of the list. Next time we stay downtown, this will be the first hotel we will try to book.We used our Starwood points, so our 2-night stay was free. So I can't really comment on the price. However, here's a good tip: Don't valet. It's $41 a night (plus tip). There are parking garages all over the place in that area. We kept our car at a garage a half block away - it was $35 for 2 nights.Other comments on the hotel:- The location was stellar. There are so many restaurants/attractions you can walk to that I can't begin to list them. Anytime we wanted to get a cab, the bell staff just waved and it was there waiting for us.- The lobby is beautiful and very inviting for drinks. There is an onsite sushi bar in the bar - you can just order up some sushi with your drinks - very nice.- The room service was very speedy (dinner [sushi] took 25 mins, breakfast 20 mins) and delicious. There is 24 hour room service.- Check-in was fast and the staff was very friendly. We used the concierge as well as the bell staff and everyone seemed happy and was very helpful.- As other Westin hotels, the &quot;heavenly bed&quot; was a real treat - as was the deluxe shower.- We didn't pay for or ask for a River view, but got a partial River view that was delightful.The only negative thing I could think of was our TV was a bit on the fritz. We ordered a movie one night and the movie kept turning off and returning us to regular television. This was really aggravating, but we were credited for the movie.This hotel is highly recommended, you will not be disappointed!	
Jun 26 2008	Mixed feelings!	I'm just back from a four night stay at the Westin, as part of a conference, and have mixed feelings about the hotel. The room itself was nice; usual size, comfortable bed, flat screen tv. As others have mentioned, they charge to use the fitness center, which seems over the top for their usual rates. The room service dinner I had one night was fine (but it was just a chicken caesar salad) and it arrived very quickly. I had breakfast in their restaurant one morning and it was ok .... and around $20.This is definitely not the place to stay if you're in Chicago on vacation. It's a bit of a walk to Michigan Avenue and while there are some restaurants in the area, nothing is very close. It was fine for the conference since the shuttle bus picked us up every morning and brought us to the convention center.The staff was inconsistent. Sometimes there were too many bellman in the front, and other times none (yesterday when we left, nobody was there for about 10 minutes and we got our own cab to the airport). The maid service was very inconsistent.I guess I'd recommend it if you had business in the area or are in town for a conference.	
Jun 22 2008 	Only thing going is location	The hotel is located in a prime location, but the hotel does not add up to the quality of the location, the room was just O.K. the restaurant was not good at all for the money, the food was sub par, the flavors on the dishes did not work well and not taste good, the waitstaff is horrible, did not see any management to discuss it with, this is probably a hotel that I see is poorly managed, to give this kind of food.This happens a lot in hotels, that is why hotel restaurants have a bad name, I also attende a banquet here and the food tasted badly, it was like they do not care.	
Jun 16 2008 	Amazing stay at the Westin River North!	My girlfriend and I were very impressed with the room, staff, and lobby at the Westin River North. Our room was very spacious, had a great view with a chase lounger to enjoy it, had a very nice bathroom (the dual shower heads in the bath were a definitely plus), and the flat-panel TV was great too. Also, our check-in experience was quick and the woman was friendly and professional. Finally, the location was perfect for us as tourists! Very nice walks along the river, and we ambled over to a great place for dinner, Shaw's Crab House.Our great experience at the Westin was in stark contrast to the terrible experience at the Palmer House Hilton the night before (we switched hotels b/c of bad planning, but now we're glad we did make the move to the Westin!).	
Jun 15 2008 	Would make some changes at the Westin	I was at the Westin in early June of 2008 for a convention. They had a huge problem with the air conditioning not working and the weather was very hot and humid. It took 3 days before my room was cooled down. The one big complaint I have about the Westin are all the additional charges:Use of the workout room $10/dayLocal phone calls $1.50/call plus additional charge per minuteBottled water in the room $5.50/eaComputer in the lobby was by the minuteNo coffee or danish in the morning - that was also an additional price.Boy did it seem like they wanted to nickel and dime me at every turn.After awhile the additional charges were getting a bit crazy.Biggest complaint: NO EMERGENCY ESCAPE MAP - no map anywhere telling me where the stairwells were should there be a fire. No Westin hotel guide for services available at the hotel. No local phone book.I think they need to clean up their act. They could also use some higher powered light bulbs in the entry to the rooms too.	
Jun 4 2008 	A great stay	A colleague and I stayed for 4 nights at the Westin River North for a meeting at the convention center. For comparison, I stayed at the Hyatt McCormick Place last year for a similar convention and promised myself that I wouldn't do that again--the convention center is in the middle of nowhere in Chicago. The Westin River North is very conveniently located by the river--less than 20 minutes by shuttle to the convention center and a 5 minute walk to the Magnificent Mile. Had a nice partial view of the river. If you're in Chicago primarily for shopping, though, it's probably a better idea to stay on or right off the Magnificent Mile.Pros: Heavenly Bed and Bath. Wow. Even if the hotel room were in an alley, I would happily stay there. Smoke-free hotel is nice. Wireless internet free in the lobby.Cons: Use of the fitness center requires an extra fee. If the price is almost $400 a night, this should be included. Also, no free internet in the rooms. Also--the toiletries were average. The W has Bliss products and the nearby Hotel James offered Kiehl's productsOverall: based on the location, cleanliness and the Heavenly Bed and Bath, I would definitely stay here again while in Chicago.	
Jun 2 2008 	One of the Best SPG Property In Town!	Stayed at this lovely property during the memorial day weekend. The hotel occupency rates were low so got upgraded to a nice 1 BR Suite upon arrival. The room is spacious, clean, and comfortable.The hotel is situated right next to the river so some of the rooms will have a view of the river. The hotel has 20 floors where the top 4 floors are the executive floors where they have free Wired internet access and iMac to use in room (this is one of the coolest thing I found at this property, not even W offers that). The room features typical Westin Heavenly Bed, Heavenly Shower and 37&quot; LCD TV. The hotel has an executive lounge located on the 20th floor for guests staying at the club level. I think it is worth to stay at the club level if you are trying to save few bucks on breakfast n etc. They do have a nice selection of contiental breakfast &amp; evening cocktails and I do love the way they decorate their lounge. You can just sit there and enjoy the river view on a quiet day., very nice!The hotel has a fully equipped gym (very nice), no swimming pool (oh wells), and they have a nice japanese restaurant on site (hana lounge) where you can order it from your room as well. The check in agents were friendly and eager to help, so does bell desk and concierge desk lady provided lots ideas on where to go/eat/shop..etc. Very helpful! The hotel is 5 minutes easy walk to the nearest subway station ( Clark / Lake) and its right across from the house of blues and Harry Carrey (sp?) restaurant which serves great steak, close to the Michigan Ave for those who likes to shop. I just have too many great things to say for this property, I would definitely refer and stay at this property again when I go back to Chicago	
May 29 2008 	Great Location	My wife and I stayed at The Westin Chicago River North May 23-26 for the long Memorial Day Weekend. We got a great rate of $152.00 per night. The Hotel upgraded us to a river-view room becasue it was our wedding anniversary. The location was ideal -- a few blocks from the Michigan Ave shopping, the Loop shopping, right on the river. Subway is three blocks away. Buses are nearby. Bin 36 across the street was great for breakfast, drinks and a light dinner. Conceirage was great. Overall great experience.	
May 28 2008 	Great Location Room 	Booked a king room with Starwood Points (16K/night) and asked for a room with a river view at check in. They put us in a corner, river view king on the 9th floor - spectacular view, bed, bath, the whole works! I really like that they fine anyone who even attempts to smoke in a room - you know you're getting a comfortable and clean room at Westin.Lobby is elegant but we did not take advantage of either the bar or the restaurant. The concierge was not available in the evening, but the front desk staff did their best to help w/ restaurant recommendations and directions.Hotel is only 2 blocks from the Magnificent Mile - we cabbed to our restaurant (Coco Pazzo Cafe - so-so food and ambiance), then walked back to the hotel to take in the sights. Only downside was $41/night valet parking - don't know what any alternatives for that are.	
May 19 2008 	Good Quality Hotel	Whilst spending a couple of days in downtown Chicago we stayed at the Westin.This hotel is in an ideal location, most of the main shopping areas etc are within easy walking distance.The rooms are well decorated and clean.The service was of a high and courteous standard.Would stay again.	
May 12 2008 	Comfortable rooms great service and location!	I stayed at the Westin just for the weekend, and found that the hotel served its purpose for a weekend getaway. I arrived early, at 10:30am, and front desk checked me in right away even though check in was around 3:00! Awesome overall service, valet brought our car quickly at check out, and even allowed us to keep our car in the garage a couple of extra hours after checking out. The rooms and bathrooms were big and really comfortable (dual shower heads in bath, down comforters, flat screen tvs) and offered great views of the river. Safety deposit box was in the closet, free of charge. Lobby was super modern and spacious. I didn't really spend any time at the hotel to see what else was on the property, but I did see a business center available to guests, most likely for a fee. Getting a cab from the front entrance was not a problem at all. Breakfast was available for around $19, which I did not purchase because I went out to eat, but there was an in-room mini bar with snacks and coffee. I've stayed at the Hyatt and Crowne Plaza in downtown, and if the prices were the same, I'd probably stay at them or Westin on Michigan Ave ONLY for the sake of saving a couple blocks walking distance to the Magnificent Mile.	
May 9 2008 	Great hotel in a good location	Stayed at the Westin River North for a long weekend in April 2008. Booked via Expedia for a very reasonable price and thoroughly enjoyed the hotel and Chicago. Room was standard for a Westin with the excellent Heavenly bed. Had a partial River view. The location, whilst probably not as good as the other Westin at the top of the Magnificent Mile is still very good and on the Chicago River. Hotel staff from bellhops to the concierge were excellent (managed to find me reasonable tickets to the Cubs at 1 hr notice) and the bar was nice, although we didn't get a chance to try the in-house sushi chef.Would definitely stay here again.	
May 7 2008 	Very Pleased With This Hotel	First time staying at this hotel, although I stay at Westins regularly. Very pleased with location, check in, concierge, lobby, fast elevators, fitness center, and view of the river. Club loung was large with excellent selection of breakfast food. Room was average size but nicely decorated. Limited tv station selection. $275 per night was reasonable. Will stay here again rather than the Westin on Michigan Ave. or the Sheraton on the river.	
May 1 2008 	Great Choice	As a frequent Chicago visitor our weekend visit was made better by great accommodations. When checking in I asked for a room at the end of the hall with a river view. We were given a great room, with a great view as requested. It was quiet and oh so comfortable with the special Westin beds. Please note North facing rooms have new high rise construction and should expect noise. I'd return to this hotel again. Breakfast in the hotel is very good and a relative value compared to other hotels and neighborhood options. We saw no children at this hotel during our stay, if that matters. Safe, clean and fairly convenient self-parking is available a short walk away at State and Kenzie, w/ a Hertz agency at street level.	
Apr 15 2008 	Great Location Room 	Great location to the House of Blues, shopping and many trendy lounges and bars. Our room view was construction for the 4th floor, but it was also 30 degrees and raining/snowing...not a great view anyway. Staff was very helpful, and provided us with an awesome umbrella for the rain (very much appreciated). The parking is expensive ($40ish per night to valet), but what's cheap anymore? Room lacked an iPod alarm clock, but over-all was very trendy, clean and sleek. We enjoyed our stay.	
Apr 11 2008 	Great hotel great location	There are 2 Westin hotels in Chicago. Both are in good locations, but I think the River North is better if you are a tourist because it is more central. You can easily get to the Magnificent Mile and the shops by the Wrigley building and NBC studio.We had a large room on the 15th floor with views of the river. The room and bathroom were very clean, and in good condition. The beds were comfortable and the room was nicely decorated. The bathroom was huge - one of the biggest I have ever seen in a hotel.No problems with noise - either from traffic outside or guests in other rooms. You do have to pay for the gym, and it looked quite basic - I would have expected it to be free.There is free wireless internet in the lobby, but the staff said it only worked with Windows XP - not Vista. I complained about this, and they gave me free internet in my room instead.The hotel is walking distance from public transport (bus stops and trains).	
Apr 8 2008	Great stay at the Westin!	We stayed at the Westin River North for 3 days the first week of April. The hotel itself is top-notch - every single staff member we encountered from front desk, concierge, doorman, valet, housekeeping was courteous and friendly. The hotel is beautiful, trendy and well-maintained. On receiving our room with a view of the city, we requested a room with a river view. Almost immediately, the change was made.The Westin is walking distance/short taxi ride away from so many attractions - Millenium Park, Michigan Ave, Grant Park, John Hancock, Lakeshore Drive - we walked to all these places and because of the scenic routes and streets, it didn't matter that there were maybe 12-15 blocks away. The hotel overlooks the Chicago river and on ground level, you can take great shots of the skyline and surrounding buildings.A pleasurable experience for a romantic getaway making the trip to Chicago all the more memorable. Highly recommend the Westin!	
Mar 28 2008 	very nice hotel	My husband and I syated at the Westin river north for my birthday over Easter weekend. We took a taxi from the airport which was $35.00. We were allowed to check in early. We had a great room on the 5th floor that overlooked the river and downtown Chicago. Many restaurants and bars right down the street. We definitely didn't need a car. We went to see &quot;Wicked &quot; which was a 5 minute walk from the hotel. House of Blues also right across the street. The hotel staff was very friendly and professional. The concierge, George, was very helpful and made our trip to Chicago even more enjoyable. We really liked it here and are planning a summer trip back to this Westin.	
Mar 14 2008 	Westin Chicago River North is Wonderful	The hotel is in a great location close to several upscale restaurants and across the street from the House of Blues. It was professionally run, extremely clean, and very comfortable. Feather pillows and duvay, lighted magnifying mirror in the bathroom, and a nice chaise lounge chair in front of the window to take in the view. Several self-parking garages nearby that were reasonably priced for a Saturday night stay. Had a great visit. Highly recommended.	
Mar 11 2008 	Almost Perfect	My husband and I stayed here over Valentine's weekend to celebrate our anniversary. We arrived early &amp; had no issues checking in. The doorman was polite but did not remove our luggage from the car trunk, don't they do that anymore? All the doormen were curtious and helpful aside from that one blooper on the luggage. We valet parked our car w/the hotel , it's very expensive but does have in &amp; out priviledges, you will find parking anywhere in Chicago is very expensive. My advice if you have no need or plans to travel outside the city don't bring a car. Taxi's rides averaged about $10 with tip to some of the main attractions, ie McCormick Place / The Art Institute / Millenium Park , the rides are short and the drivers quick. The location of the hotel is simply perfect. You have many great surrounding options from Harry Cary's to the House of Blues steps from the hotel. A simply stroll down the hustling streets brings you to Billy Goat's Tavern ( a Chicago legendary eatery) or to Mag Mile.I was lucky enough to come across a great deal online &amp; booked a club level room &amp; called the hotel directly to confirm.The person at the front desk was George, great guy who offered so many helpful suggestions and truly made our stay memorable. We enjoyed a corner suite overlooking both the river and downtown Chicago , we could see the lake but there are alot of other tall buildings. The room was definately very comfortable and what I was expecting....thankfully. The bed linens were soft and plentiful, lots of pillows ( usually we're calling for more pillows) the room was spotless. * With the exception of a stain on the chaise , no big deal, stains happen*A + on the comfortable room, internet accesss in your room &amp; computer provided so if you didn't bring your laptop no problem, this is included at the club level and so was the gym. I'm pretty sure that other guests were charged an access fee for the gym though, double check if you like working out. There is no pool or jacuzzi which loses points with me....I like to relax after walking all day. The club level also includes a daily breakfast ( cold ) but good selection of pasteries, fruits, bagels, etc.....but Starbucks coffee &amp; lots of it ( : In the evening they offer lite snacks and drinks . . .it has set hours for bar service but you can access the lounge at any time &amp; find a snack or a water to grab...added benefit while walking the Mag mile or Auto show.I could go on and on . . . . If you are considering this hotel you will not be disappointed. The staff are professional and polite, the enviroment relaxing and enjoyable, the location is excellent. I say almost perfect because of the expensive parking ( the rooms are not cheap &amp; should be included esp. for club level) and the fact that there is no pool or jacuzzi.	
Feb 22 2008 	Great location	I stayed at the Westin River North over President's weekend. The hotel is in an excellent location - about 2 blocks off Michigan Ave. I got a great deal on Westin's website - $159 a night with parking included. Parking was $41 every 24 hours and this is something you cannot avoid if you drive to Chicago. Several of the hotels I looked at had the same type of deal. When I checked in, the gentleman at the front desk said that I had only booked the parking package for one night (which I didn't!) I showed him my confirmation and he assured me he would fix it in the computer. Unfortunately, when we checked out, our bill was $200 more than it should have been! No worries though, they immediately fixed it...just make sure you check your bill. The hotel itself is lovely and we had a really nice view. I would stay here again if and when we return to Chicago. The bed was comfy and the room was clean. We had our small dog with us and they were very accomodating. We usually prefer Starwood properties because many are pet friendly. All in all a great weekend!	
Feb 11 2008	Comfortable but not very well run	First Westin I've used in the US. We had a few Starwood points to use but not enough for our whole stay, so had to make 2 bookings for consecutive periods; we emailed the hotel to tell them we were combining them to make a continuous stay. All a waste of effort: they had not linked the reservations, and we had to change keys at the change-over point after 3 days, and we also got an unwanted bill under the door on that day. Receptionists were friendly whereas I would have preferred competent.Room was fairly good, but maintenance poor: basin waste annoyingly slow to empty, one room light not working throughout our stay. Phone calls ridiculously expensive, even $2 for each call to a 1-800 number. Wifi worked, but not free. TV remote had terrible user interface, designed to make free TV channels extremely hard to find. Obviously designed for those on an expense account, not ideal for tourists.On the other hand, good location, 2 blocks from elevated railway and underground trains. Bin36 restaurant across the street is good, we didn't try meals in the Westin except for breakfasts, which were fairly good and reasonable value at $13 for continental buffet.	
Feb 8 2008	Best Westin	This is the best Westin I've stayed in in the US. Everything has been professional. Room was ready early. Front desk quick and responsive. Upgraded to deluxe room on 12th floor overlooking the Chicago River. Hors d'oeuvres were tasty. Excellent croissants and fresh fruit in Executive Lounge for breakfast. Concierge friendly, responsive, and most helpful...researched a question and got back to me in my room. Everything works. Just the kind of experience I wanted for my overnight in Chicago.	
Jan 23 2008 	Stay here if you want to feel like a King/Queen	I just came back from Chicago, and I had a great time. I am a female single traveler, who always looks for things to do around or near the hotel. Can I just be honest, when you step out of the hotel to the right or left there are several restaruants, clubs, shops, malls, and even if you have to travel, a cab fare is not bad. The hotel had comfortable beds, clean bathroom, the room is quite spacious, and to top it off the view was not bad. I ordered room service, and I thought I was in heaven when I had breakfast. But please go out to dine, for you will get to experience Chicago for its jazz, southern, and steak/ribs. I have nothing bad to say, but I will greatly book a room on my next visit.	
Jan 21 2008 	Wonderful Chicago Hotel	Stayed at the Westin Chicago River North for a weekend getaway trip. We found the hotel - like most Westin properties - to be very modern, clean, comfortable, quiet, and well maintained; not to mention their cozy signature &quot;heavenly beds.&quot; The hotel is located in a perfect area of the loop close to theaters, restaurants, shopping and entertainment. All staff we encountered were very professional, friendly and helpful. The only drawback to this hotel is that valet parking is extremely expensive - even by big city standards - easily adding about $50 to an overnight stay when taxes and tip are factored in. During future stays we'll utilize one of the nearby &quot;self-park&quot; garages. Otherwise, I would not hesitate recommending this property to anyone looking for a great hotel in the Chicago loop area.	
Jan 15 2008 	Update since my last stay	I just returned from a 5 night stay while attending a conference at this hotel. I had also stayed here about a year ago so it gave me a chance to compare my two stays.Like last year, the staff was pleasant and my room was clean.I only have 2 complaints:1. The hot water in the morning was sporadic. Getting blasts of cold water followed by warm water was not my idea of a good shower but it certainly woke me up.2. Despite hangin the &quot;Peace&quot; sign on my door, the cleaning staff came in to my room twice. I appreciate the service but I didn't want it.Except for the above 2 complaints, my overall stay was excellent.	
