	Class at a reasonable price	Arrived at this hotel on a cold sunday afternoon and I was greeted by very friendly staff, and free steaming hot chocolate and marshmellows. A great way to warm up the rooms were functional, clean and comfortable. Had a great view, when I return to Chicago I would not hestate to stay here again. The staff were incredibly attentive and polite, business centre free internet access was a big plus.	
Jan 30 2009 	Great value at the Allerton!	We booked our trip for last Friday/Saturday on hotwire about 2 weeks before the trip. My husband and I were taking a short weekend to Chicago for some good eating and relaxing. We paid 180 with taxes total- 90/night with taxes. I was nervous about all the reviews and complaints on TA but I had no reason to be. To start- the staff was very friendly and accommodating-in fact- I told them that we had met in Chicago years ago and were here for a relaxing romantic getaway and then I asked for a queen size room instead of a double which is standard for hotwire customers at this hotel. We were given our key and went to our room. To our surprise we were given a room on the top floor (24). It was a suite with a living room, a huge bathroom and a king size bed! We were in tears! We also went back downstairs to tip the staff that helped us. The elevators were super quick all weekend and we never had any issues either. I'm sure the rooms that are smaller are well- small...but for the price- even one of the small rooms is a deal at 90 bucks a night including taxes for a wknd. Our only issue with the room was the water pressure- but we were on the top floor so we figured this was why we had low water pressure. We thought the rooms were beautifully decorated too. Would we stay here again? Yes, however I don't think it's worth full price. If you can get a good deal- say under 120 in the winter and under 150 in the summer- I'd book it. The location is TOP notch! We walked to everything!	
Jan 30 2009	Stay if you have to	Hotel looks nice but rooms are quite a small That is not such a big problem but the air in the room was terrible Room has sam smell! Bed is comfortable but for someone tall it is too shortWindows couldn't be opened until maintanance guy came to help us But after that we couldn't close it Overall statisfation-It is not hotel for four stars	
Jan 5 2009 	Excellent Experience At the Allerton	Stayed at the Allerton over New Years (12/30-1/2). Booked 3 rooms the day before directly with hotel and got a special rate (stay 3 nights get 20% off entire bill). Be sure to ask for such specials. Got two standard queen rooms and they were very nice. Best to avoid the Petite Standard room as it is smaller and appears that is where some negative reviews came in. Hotel is an old classic building recently renovated. Staff was just fine for us despite some other reviews. Our main room was the Specialty Suite (bigger than Junior Suite) with king bedroom and huge living room with wet bar and foldout sofabed (they had told us it wasn't a foldout but it was and saved us a rollaway at $25 a night). Fantastic view of Michigan Avenue lights. Asked for a minifridge which they delivered immediately but did not work well so we were not charged. Restaurant and bar are pricey as you would expect but OK. ATM in lobby. 5 elevators are small but fast. Bellman was fantastic for luggage and cabs. Very tight with only about 2 parking spots for unloading so a little hectic. Self park a block away for $38 or valet for $51.We left some clothing in the closet after checkout and the staff retrieved it and mailed it to us instead of taking it home as virtually every other hotel has done to us. If you are looking for a hotel with a variety of room types including suites, which are overpriced elsewhere, try the Allerton. We will come back.	
Jan 3 2009 	A Chicago Gem	At first, I was a bit skeptical to book with the Allerton. I'm a person who feels most comfortable staying at branded hotels like Hilton or Intercontinental. After a stay at the Allerton, I found myself exceptionally pleased with my choice to give them a try.I booked my hotel directly through their 1-800 number after looking at the rates on their website and Expedia. The receptionist was extremely pleasant and helpful. She addressed all of my concerns, including the fact that I was only 18. I asked if there would any problems checking in without a 21 year old adult and she assured me the hotel would permit me to check in.Upon arriving at the hotel, I was met with friendly and professional staff. Check-in was prompt and I was very pleased with my room.I was traveling on a budget; so booked their mini-room. I believe they call it their &quot;Petite Classic&quot;. I, traveling by myself, found the room to be more than accommodating and large enough for myself.The room had a very up-to-date look, although I remember the bed being a bit stiff. The bathroom was small, but had a very neat shower!Overall, the room was fairly small but large enough for one person. No doubt it was one of the best rooms in downtown Chicago for the price I paid.Would definitely stay again!	
Dec 29 2008 	Loved the Allerton and it's staff	My husband and I were lucky to even get into Chicago, as the weather was terrible and we traveled on the second busiest day of the year. I called Mateo' at the Allerton several times to confirm that we could check in after midnight. He was very sincere and assured me that we would have a room after such a taxing day. After a 12-hour travel day (should have been 3 hours), we arrived at the Allerton. I felt like Mateo' and I were old friends and he treated me as such. He was a precious gem. We upgraded to a junior suite and were glad we did. We had a corner room with a great view of Michigan Avenue (Tiffany &amp; Co., Neiman Marcus, Macy's). The suite was clean and updated. The king bed was super cozy and comfy. We loved having 2 flat panel tvs. The bathroom left a bit to be desired. The toilet was industrial. The shower/bath was normal size, but the drain was slow.We thought we'd really miss a coffee pot in-room, but it wasn't a big deal. We walked to Dunkin' Donuts the first day (don't waste your time, as it was weak), then drank the complimentary coffee at the Allerton. That coffee was excellent! It was the talk of the hotel.The gym at the Allerton was amazing! It was beautiful and clean and comfortable. It had ample equipment. The elevators were on the small side, but they were normal speed. We had no complaints there. The bar was never open or manned when we were in the mood for a drink, but that wasn't a big deal. It made us get out and explore. I didn't read reviews of the Allerton until after I booked the trip, so I was pretty nervous about how it would go. I would suggest that you don't put too much into the negatives. I am not easy to please, to my husband's chagrin, but I was thoroughly pleased with our experience. This is the first review I've written, I hope it helps. We will happily stay at the Allerton the next time we visit Chicago.	
Dec 23 2008 	Great value	This is a great value for your money. The location was very good.	
Dec 15 2008 	Great little place!	I booked a King room under a special rate for Saturday the 13th of December. Excellent $99 rate plus tax for King room. The building itself is RIGHT OFF the magnificent mile and smack in the middle of everything. Cute renovated interior - very small elevators but not a problem if you have light luggage. Nice looking front desk /restaurant and bar area. Nicely decorated room - good sized with room to walk about. Nice bathroom -small but not too cramped. Room overall is clean and cheery - not dark. Save on parking-use the structure attatched to the hospital a block away ($38.00 for 24 hrs) and walk to the Allerton. My only complaints are the following: 1) The bed though big and nice with nice sheets and pillows is very HARD. Not a problem if you like hard mattresses of course, but I prefer a softer one with pillowtop. 2) Although it was winter - it was hot in the room. I turned the thermostat down to 65 but still was warm all night. Admittedly I like to sleep when it's colder so I realize not everyone will care about this. The windows do open but only about an inch as there were not any screens on them. 3) Breakfast at the restaurant was outrageous in price. $44 for 2 orders of bacon(4 strips each), one order of toast, 3 pancakes, and 2 glasses orange juice!! Eat elsewhere but don't be afraid of the comfortable accommidations. Free coffee in the lobby in mornings and free hot chocolate near reception during the holidays!	
Nov 21 2008 	Worst Hotel Ever!!!!	This is absolutely the worst place ever!! The restaurant was not open for dinner, no concierge, front desk agents looked inexperienced. The manager on duty was very rude and didn't seem like he cared to help me. Tall, African-American guy was very short when I asked questions. Elevators are small and slow and rooms are small and has a mold like smell. Hotel looks pretty but thats about it. The so-called business center is not a real business center. You can not fax or print any documents. When you go to the front desk complain you can tell this is something that they hear everyday so its of no surprise to them. Do yourself a favor and stay elsewhere.	
Nov 15 2008 	Wonderful Stay	We loved our stay at the Allerton. After reading reviews we decided on the Allerton. We went for the junior suite and it was perfect! We had a siting room and a bedroom with plenty of space. You just can't beat the location--right in the heart of the Magnificent Mile. You can walk to just about every attraction. We would definitely stay here again. Just a little tidbit of info--go to the hotel website--there are sometimes specials that are not advertised.	
Nov 3 2008 	Pretty perfect!	My husband and I (we're in our mid 20s) took a long weekend to see Chicago and &quot;get away&quot; from St Paul, MN. Our experience at the Allerton exceeded expectations at every turn. We arrived via train and took a very short taxi ride to the hotel from Union Station. We were greeted with lemonade in the lobby and warmly welcomed by every staff person we met. Check-in was fast and easy and we found our room to be very nicely decorated, spacious and perfectly clean. The concierge helped us get tickets to the river cruise that I read about on TripAdvisor and we enjoyed dinner at a nearby pizza place that had been recommended by a friend. The hotel's location is PERFECT for anyone wanting to do sightseeing in Chicago. You're ON the Magnicifent Mile and can easily walk to Navy Pier or Millennium Park in 15 minutes. Anyway, we had a great trip and really enjoyed staying at the Allerton. It's perfect for young adults looking for a nice place in a great location and at a reasonable price. One recommendation if you do stay here - don't waste your time/money with breakfast at the hotel restaurant.	
Nov 3 2008 	Good location on Mich Ave clean good for solo business traveller	I stayed in a standard guest room at the Allerton Tip Top Tap (per the big neon sign on the bldg) for a business meeting a few blocks away. This is an older Chicago hotel that my grandmother told me she often visited for lunch as a young woman. It is right on the Miracle Mile of N. Michigan Ave., just south of Water Tower Place mall and in the middle of tons of shopping and fancy hotels.I got a competitive midweek rate on Hotwire (130) for a 4-star hotel. The hotel is only a few blocks from the State Street Subway, which connects to the Elevated Line to Midway, making it a $2 easy and cheep connection from the airport. I checked in at 11 pm, no problems. I did not use the restaurant or bar. Concierge has maps of the area. Free coffee and decaf in the am (in the Lobby – no coffee pots in room), complementary hot cider at night. The room was small, but clean. View of the Hancock Bldg and Watertower Place, 1 and 2 blocks north, respectively. The bed was firm and comfortable with soft pillows and warm linens. Temperature was controlled from a thermostat – no noise from the unit. Flat screen TV – could not really watch it from the bed since it was 90-degrees from the bed, blocked by the desk if lying down. Actually, to get to the far side of the bed, one would have to climb over it or negotiate a 1-foot margin between the foot of the bed and the wall. Adequate closet space. No fridge, unfortunately since there are lots of good deep dish pizza places near by &amp; I had leftovers. Bathroom was small but had plenty of shelf space, power-flush toilet, and an excellent showerhead. Nice marble tiles and the towels were fairly soft. Good bar of soap, lasted 6 days (I took it to my next stop). Shampoo, shower gel, lotion, hair dryer and conditioner provided. No bathrobes. My room was tucked behind the elevator, but I never heard it. Minimal street noise, despite being on Michigan Ave. The only problem in the room was that the carpet was coming up near the bathroom, and I kept stepping on carpet tacks – ouch. The exercise room is 24 hours and had nice machines, free weights, and water + apples. Check out was simple and fast. I would not call this place 4 stars, but I got it for $150 less than the conference hotel down the street. Again, it’s a 5 min walk from the subway, 10 min walk from the loop, 20 min walk to Old Town/Lincoln Park, and in the middle of the Michigan Ave Shops. Maybe not Tip Top, but certainly fine and competitively priced. Best not to have a car - walking, public transportation and taxis get you anywhere. My standard room was ideal for 1, might want more space for 2 guests. No hassles, 24 hour gym, quiet….I’d go back.	
Oct 29 2008 	It's all in the details...	My husband and I stayed at the Allerton for 3 nights. At first, the hotel seemed great. Fantastic location (right on the Mile), nice decor and friendly staff. The longer we were there, the more we noticed that could be improved. The room we had was very small with hardly any storage space for our clothes. Most of our stuff we had to put on the window ledges. It did have a comfortable bed which was a relief. There was a small safe on the floor of the closet which we put our passports, extra cash and jewellery. I realized on the 2nd day that the safe was not even bolted into the floor or the wall. It wasn't very heavy and I could have easily picked it up and taken it with me if I was a thief robbing the room. Great security...it's like having cameras that don't record anything! Why bother?!?We would also strongly recommend to out of town guests, not to bother renting a car if you are staying here. The parking fee is over $50 per night and it can take up to a 1/2 hour to get your car from the valet. There is no self-park option, so you not only have to pay the large fee, but you feel obligated to tip the man who brings you your car since it's not his fault the fee is so high.All in all, we would definately not stay here again. For the extra money we spent on parking, we could have stayed at a much nicer hotel.	
Oct 27 2008 	Travel 200 Days a Year. Worst hotel I have stayed at in 3 years	I was very disappointed in the hotel and shocked that they have maintained their 3 1/2 star rating. I can actually handle the small room as the location is great and even can get by that it really isn't renovated. But, the unprofessional and un-friendly staff is inexcusable to me. I arrived in from a long day of traveling @ 11:30pm. There was not any water for purchase in the room so I went to the front desk and bar and was told there was no chance in getting a bottle of water in the hotel but that there was a grocery store a couple of blocks away. Being a women walking around in Chicago @ midnight is not the smartest thing to do. So I decided to make do. As I was heading to the elevator I asked the bellman if he knew of any bottled water in the hotel. He proceeded to say &quot;no&quot; and stuck his hand out to say &quot;but I can get you one if you pay me&quot;. This blew me away!!!!! Midnight and the shady bellman wants some under the table cash for a bottle of water. Will never stay here again.	
Oct 6 2008 	Allerton is the perfect location	My husband surprised me with a weekend away in Chicago for my birthday. He booked the Allerton on Hotwire and got a fantastic deal - $200/night. We were not expecting much since everything else right downtown is near $500. This hotel was a little hard to find since we were looking for the entrance right on Michigan. The entrance is actually on the side street named Huron. They have people waiting outside to park your car if you like. We actually went just a little ways down Huron and used the self-park. It was just a block away and much cheaper than using valet. You come in on ground level then go to floor 2 for check in. The elevators are very small and you will have a lot of people packed in each one, but they are not slow - just a lot of stops. We were on the 15th floor and you can see the Sears/Hancock Tower from there. We ate dinner at Ditka's (near the Tower) and had awesome prime rib and filet. The bar side is pretty noisy. We wished they would have put us on the other side but the food was so good, we didn't mind.You can walk to Navy Pier from the hotel (a looong walk) but we did it. We had gorgeous weather so we wanted to take advantage of it. They have a huge ferris wheel, mini golf, and tons of food stands. I would have loved to ride the ferris wheel but had no luck talking my husband into it.We had a &quot;standard&quot; room and it was quite small We were next to the elevators so I don't know if they are all that small. We could not walk around the bed because there was no room. I had to crawl over from the other side. The size was fine since we didn't spend much time in there. The bed was super comfy, they had a sitting chair and a desk and chair. The bathrooms were great - only issue was nowhere to put toiletries. (A man would be fine!!).We would definitely return. The location was the best thing for this hotel. As soon as you are on the street, you're right in the middle of all the action.Breakfast was fantastic at the restaurant downstairs. The belgian waffles were worth the trip alone.	
Oct 2 2008 	4 Star? I don't think so..	I booked the Allerton through Hotwire on a convention weekend in Chicago when many hotels were booked. Based on the previous reviews I'd seen here, I was nervous about my planned three-night stay there. As it turned out, I was right to be.To say that the room is small is an understatement. The floorplans on the hotel website seriously misrepresent the room size. Our room has one queen-size bed, and space only for one night table--I guess two people aren't allowed to read in bed at the same time. The bathroom is similarly small but adequate. The two bath towels, however, are more worthy of a Best Western than a supposedly 4-star hotel. Ragged, thin, and misshapen. I've never been a hotel that does not provide two bars of soap--one for the bath and one for the sink....until now. Yes, there is a tiny bottle of shower gel--I guess my husband and I are supposed to take showers on alternate days during our stay.Wallpaper in the bathroom is peeling. All day long, there have been large plastic bags of dirty linen in the hallway. I've never seen that kind of thing at 4 PM at a 4-star property.Internet is $9.99/day and is wired DSL, not wireless. There's one telephone in the room, located on the desk. I guess we can fumble across the room (all of two steps) when our wakeup call comes.The elevators have been discussed by others. Tiny, slow to come, and apparently one or two are always out of service. Just try not to visit during flu season--it's hard to avoid skin-to-skin contact on most elevator rides here.I will admit that the location of the Allerton can't be beat. But this is seriously the smallest hotel room I have ever been in, bar none. I feel like I'm in a garret, not a hotel. The amenities are limited--no fridge, miserable towels, a phone that has seen better days. I would say to management: Why not just drop the pretense to being a 4-star property? If you lower expectations, your guests won't feel quite so misled.	
Oct 1 2008 	Good value	For the most part, very pleased with our weekend stay at the Allerton. Very stylish boutique hotel right in the middle of Magnificent Mile. Room was small, but no smaller than expected for a city room (I've seen smaller in New York!). Staff was very friendly and helpful when we had questions about getting around. On the day of our departure, we had some time after checkout before our flight home; we left our bags at the desk and I started to leave my coat as well, when the attendant suggested it was a little chilly and I might want to keep it. It's a small thing but shows that they're really paying attention.The downsides: I called room service (which closed at 11 PM) one night at 10:20 to order dessert. The woman who answered the phone told me that the menu in my room was out of date and rattled off the night's selections. I picked one and she told me it would be there in 20 minutes. After 45 minutes, there was no one there and no one picking up at room service; the call went to the front desk and I canceled the order. Annoying but minor.My husband left a pair of pants in the room, which we realized the day after we checked out. We called and they said that no one had turned them in. The head of housekeeping went and checked the room and spoke to the person who had cleaned it, but there was no sign of them. Odd.Overall, though, I would definitely recommend it.	
Sep 30 2008 	Great location well appointed but small rooms	I only stayed here one night but after my terrible stay at the Hilton (see other review) I was delighted! The location is far better than the Hilton - you step out onto lots of high-end shops and malls. The lobby is hip (with accompanying hip music) and the staff courteous and friendly. The room was small but contemporary, clean, and with up-to-date furnishings and a flat screen TV PLUS it was over $100 less than the Hyatt, I was absolutely delighted!! I would highly recommend this to anyone despite the slow elevators!!	
Sep 29 2008 	Dirty Rip Off	We stay in Chicago twice a year for business and have tried many hotels. Here is my laundry list of problems with The Allerton:1) Used tissue on the floor next to the bed when I arrived and never picked up by housecleaning during my stay. 2) Splatter from waste basket on bottom of desk never cleaned from previous guest.3) Bathroom shade fell off when trying to pull it down and cut arm.4) My fault: I left my phone charger in the wall in front of the bed. I know it was there, but of course, house keeping never reported anything in lost and found, so when I called, they can do nothing.5) They messed up the checking-in process so that my co-worker's credit card was on my room and she wasn't checked in to a room at all, even though she had a room card. We had to go back to the lobby twice to get it straightened out.OVERALL: They've dressed this place up pretty nice but they can't hide the fact that their staff is lazy and even a little shady, even if the concierge has a foreign accent. An open fire in the lounge and some trendy bedroom fabric doesn't make up for a poorly ran hotel or justify the extremely high prices. In the past we've paid the same amount for a much larger room at Hotel 71.	
Sep 23 2008 	Convenient Location but Tiny Rooms	I stayed at the Allerton largely because I was attending workshop being held in the hotel and they gave me a great rate, $199 per night vs. $300, and it is conveniently located to the Chicago main drag, Michigan Avenue. While the decor in the main lobby and restaurant area is snazzy and the staff generally nice and helpful, there are a couple of things that are hard to dismiss. First, the elevators are painfully slow. Additionally, the rooms are so tiny and the bed not very comfortable. I had little room for my toiletries in the bathroom, no where to put anything. Thank goodness it was only me in the room, there would be no room for my husband. It's also annoying that they don't provide a coffee maker in room like so many other hotels do today. Luckily, there's a great convenient eaterie just around the corner on Erie at St. Clair called the Corner Bakery Cafe. The redeeming feature is the shower, mine was great, and, again, the location is great.	
Sep 12 2008	A Rip Off Like No Other	My advice - STAY AWAY.The hotel itself is &quot;OK&quot; - rooms are average, location, pretty good, service, OK as well.But here is my most recent experience. I booked a room for one night in July, &quot;guaranteed,&quot; through Orbitz, and arrived for check in to learn that the hotel had &quot;overbooked.&quot;The front desk clerk asked whether I would consent to taking a complimentary room at a hotel 8 blocks away, PLUS a refund of the $ I had paid for the room at the Allerton - meaning in essence, a night free.It was a hot July evening and against my better judgment after a long day on the road, but I accepted - schlepped my bags the 8 blocks.At least I had the good sense to take the name of the clerk and the Director of Sales . . . the former had assured me that the refund would appear on my credit card &quot;within a couple of days&quot; - which of course, it did not.So I contacted the DOS via email and he assured me he would follow up with Orbitz, which who knows if he did . . . but I told him that truly, this was not Orbitz's responsibility: Orbitz did its job. It was the hotel that overbooked its rooms and then made me an offer it did not live up to.Suffice it to say, there has been no refund of the $187+, and I will never stay at the Allerton again, and recommend that no one reading this stay there either. We have come to expect these shenanigans from the airlines, but I thought hotels were better run businesses that actually cared more about their customers and reputations. Usually, that is true. Not in the case of the Allerton.Michael from NJ	
Sep 8 2008 	Fantastic at The Allerton Hotel	My girlfriend and I stayed for 8 nights at the Allerton for our summer holiday to Chicago. The location is unbeatable - the Magnificent Mile is one second away. If you like shopping and brands such as Apple, Nike, Tiffany and Ralph Lauren then it is the place to stay. The building is beautiful. The hotel has been renovated fantastically. Ok the lifts can be an amusing experience, but don't let that put you off. The room was exceptionally clean and well equipped. It wasn't huge but was more than comfortable. The best bit about the Allerton though, has to be the fantastic staff. Every single staff member that we came across were exceptionally friendly, kind and went out of their way to ensure that our stay was perfect.	
Sep 7 2008 	Terrible!!!!!	The hotel is a disaster! First of all - when we arrived, no one offered to help us with our luggage (and their check in is on the second floor) We had to get our stuff upstairs in very tiny and super packed elevators!!Worse - they refused to honor our reservation for a king size delux room that we paid extra for - saying that they owe nothing to Orbitz or to us becasue we did not book with them direct. After we complained and asked for a manager, they promised to move us to a suite the next day. When we returned from a day of walking exhausted, they said &quot;sorry- you were not moved- someone dropped the ball...&quot; Finally, they agreed to move us to a room away form the elevator, and actually gave us a room which was smaller and the bed a Full size without even telling us they were going to do that!! But - the luxury item we did get was a mini fridge! Imagine! In this hotel the mini fridge is &quot;first come first serve&quot; - This is worse than a motel 6! The staff is just lying, not caring whatsoever for the customers, and irresponsible!The hotel - although they claim a renovation - has old dingy bathrooms, no mini friges, tiny rooms (not only the mini - all of them), and no elevator lobby making teh whole thing a fire hazard! Imagine right outside your room door is a 20 story high shaft that opens up to your front door. If anything happened, you would be trapped by the fire in your room. And certainly the staff would be the first to run away leaving everyone there. In any case - a disaster - terrible place!!!	
Sep 2 2008 	wonderful experience	We stayed 7 days and enjoyed it tremendously. The comfort, service, location and price made our stay very enjoyable. We are trying to book again for the spring but cannot find any room availability. We will keep trying as we want to return.	
Sep 1 2008 	Lots of Potential Lots of problems Great Location	We arrived to a pleasant staff to be told that our room category (King Junior suite) was not available. In fact the hotel was overbooked. They offered us a standard room with a double bed and a promise to move trhe next day. It was late so we agreed. There was not a sister property available we were told. The next day the promised room was not available either. Bad business.Unwilling to move to another property we stayed the 2nd night. We were comped both nights. I would be willing to pay for an enjoyable hotel stay.OTHER PROBLEM AREAS: The safes are not bolted down in the rooms. I carried mine down to the front desk to show them.They have five elevators in the old building only 3 are used for guests. The others are for service employees. There are long waits at check inand especially check out. I advise you if you are on a middle floor to take an up elevator to get down. We waited 20 minutes at first to check out. Our room was not cleaned the first day until we returned at 430pm and called. Parkinf is $51 USE SELF PARK DOWN THE BLOCK FOR $38. No refridgerators in room.THE GOOD POINTS. Friendly staff even in the face of overbooking and the problems it causes for the staff. The place was very clean. The location was excellent.	
Aug 26 2008 	great experience at the Allerton	My husband and I stayed 5 nights at the Allerton and it has been a great experience, the staff has been very nice and helpful, they upgraded us to a suite, which was grand, the bed was absolutely very confortable.The location is just perfect, in the middle of Magnificent Mile, were all the shops are and very close to everything. I would definitely reccomend this hotel for a nice stay in Chicago.	
Aug 25 2008 	Sneaky But Nice...	After working with our travel agent we settled on the Allerton for the price and location. I read SEVERAL reviews that mentioned the parking and the &quot;hidden&quot; fee of $51 per night. Also that the elevators and rooms were SMALL. Everything was indeed the way I read. I opted to find my own parking and after a complaint of the condition of the room we were upgraded to a double that was more than sufficient. If that was their basic room I would have been happy at the onset. The biggest thing to anger us is that we went to the resturant for breakfast the 2nd day there and were greeted by a waiter who poured OJ and Coffee never asking if we wanted either. When our bill arrived we noted that we had to pay $5 for each orange juice and $3 for a cup of coffee (which was FREE around the corner from 6a-11am~!!!!) Overall the hotel was ok for the price but I think I will be looking around if I travel back to Chicago.	
Aug 24 2008 	great location and good amenities	The Allerton was everything I expected. The location was fantastic. All major tourist attractions were within walking distance.The check-in desk was helpful in that even though we arrived early (11am), we were able to check in and go to our rooms right away, giving us plenty of time to rest before venturing out. Elevators can be a problem even though we were lucky enough to never wait more than 5 mins for it. I'd say avoid checking in and out at around 5pm. There was a pretty big elevator and bell-man shortage. As long as you avoid the busy times, the service is good and elevators are sufficient.All in all, I'd return for another stay, especially since getting such a good deal from travelocity.	
Aug 19 2008 	Loved the Allerton	My husband and I stayed in one of the classic rooms. It was small but perfect for us. We weren't spending much time in the room so didn't need/want anything more. It was clean, the bed was comfortable and the bathroom was fine . We lucked out with a room that faced Michigan Avenue.We (especially I) enjoyed the boutique feel of the hotel. It reminded me of European boutique hotels we've stayed in during other vacations. We loved the fact that the hotel was right downtown with easy access to everything. Staff were courteous and helpful.We would stay here again and I've already recommended the hotel to my friends.	
Aug 18 2008 	Expect Little and You'll be Satified	We are a family of three (adults with a &quot;tween&quot;) and have stayed at two other hotels on the Mag Mile during previous Chicago trips. This, by far, was our least liked hotel. First the good stuff: superb access to the Mag Mile, tons of shopping, easy access to CTA bus routes, nearby restaurants and access to tourist attractions. And it was clean.Dislikes: 1) Very difficult check in...we had to make our way through a huge crowd in the lobby only to have to lug stuff to the second floor.2) Bank of FIVE elevators and only ONE working. And the six foot by five foot (no kidding!) elevator only accommodates five people with luggage.3) Garbage left in the hallway for two days.4) Concierge who told us he didn't have what we were looking for -- ask at the front desk. This AFTER the front desk referred us to the non-helpful concierge.5) Tiny room...we called ahead and told them we were a family of three. The king room was recommended. Our mouths dropped open when we saw how tiny it was. Hardly any room to walk around the bed when we placed our baggage on the side of the room.I wouldn't recommend this to anyone who has a wheelchair -- I have no idea how you'd move around in the five foot wide hallways.And, unless you can afford a suite, I wouldn't recommend this to families at all. You just do not have the space to relax. You are right on top of each other after a day of walking around the city and navigating the population out on one of Chicago's biggest avenues.Oh, and PS...we knew they didn't have a pool BUT they said they recommended a daily pass at the nearby health club. Um...that health club was closed and has been for months. :( Thank goodness we could walk to the Oak Street beach.	
Aug 13 2008 	Adquete for the trip	This is an older hotel situated near the north end of the Magnificent mile. The rooms have been updated but don't expect a huge room by any means. The hotel itself is nice enough. If you're coming or going during what I call 'prime' times you will experience a long delay at the elevators. Note: Only one elevator is qualified as handicap ready. For business travelers I was only able to fine one free socket at the desk provided. There were additional plugs near the closet, but what was really missing is additional plugs near the desk. The free WiFi in the hotel (only in the meeting rooms and lobby) was painfully slow. The $10/day charge for in the room wired was reasonable. One more item of note. Parking per day with in/out rights were $51. Unless you had a really specific need I highly suggest that you take a cab to the hotel and make use of the public transport in the area.The staff is present, but I wouldn't say overly helpful. Even with a 3 PM check in time I had to wait an additional 30 mins for a room, and that's only because I asked them about it. This is what in my opinion stopped it from being a 4 star hotel.	
Aug 11 2008 	Great experience at the Allerton	We had a very pleasant stay at the Allerton from Aug 4-10. We are a family of four, with two young children, so we did book a specialty suite (Room 801). The size was adequate and a very good setup for us, with the separate bedroom. In addition, all of our special requests – mini fridge added to room, a tub in bathroom and a pullout couch – were all fulfilled! We were told when we checked in there were no fridges currently available but we weren’t in the room 15 minutes and housekeeping brought one in. We were on the eighth floor overlooking the Mag Mile, we had seven windows in our room including the one in the bathroom, which we liked a lot. The bathroom was very large and there was adequate storage space for clothes in the closet and drawers in the room. The staff were all very attentive and friendly, especially the doorman who said hi to us every time he saw us. Check in and out was a breeze, and it didn’t take long at all for them to get our car out of the valet when we were leaving the last day. Yes, the elevators were a bit funky and a couple of times we missed one that is a bit separate from the others and had a good laugh when we couldn’t catch the door before it closed, but the wait wasn’t all that bad except for maybe peak times of day (around 5ish when everyone in the hotel tended to be heading out). Actually since we were on the 8th floor a couple of times when I left the room by myself I simply walked down the stairs instead. I attended a conference while at the Allerton and found the food to be very good – although we never did get room service. We would return to the Allerton, we got a great rate on the suite booking directly thru the hotel. A couple of times when we were out and coming back to the room at 2ish housekeeping had not been to the room yet, but I understand the hotel was quite full when we stayed and know that rooms for new guests checking in that day need to get priority.	
Aug 10 2008 	great location small clean room	my husband and I stayed here for an overnight trip to do some shopping. This hotel is located right on the Mile. We took a chance on one of the petite rooms for a great price and were not disappointed. It was small but it was clean and appeared to be updated. We would definitely stay here again if we had another opportunity for a great rate.	
Aug 9 2008 	Did not experience any problems	What everyone needs to realize is that the Allerton Hotel is an old hotel in a very large downtown area. The rooms will not be large unless you get a suite. It will not be like a hotel in the suburbs. The hotel has made improvements which are very nice. There is cold lemonade in the afternoon and hot coffee in the morning on the 2nd floor. The beds are very comfortable and the linens are nice. The bathroom is larger than other hotels I have stayed in where the door hits your knees. I did not find the elevators that slow but they are very small. There is a nice place called the Corner Bakery a block to the east and south of the hotel that works well for b-fast since the fast food places at the inside malls don't open until 10am. My only problem with the hotel is the restaurant is very, very expensive for breakfast and if I visit again I would stay in an area more to the south end of michigan ave where there are more choices in cheaper eats.	
Aug 6 2008 	My new favorite Chicago Hotel	I'm writing this review from the hotel. I'm here for a conference that is taking place at the Allerton and a block of rooms were set aside. I stayed here 9 years ago or so and it was very old and needed to be updated. When I saw that the conference would be here my first thought was &quot;are they kidding?&quot; but I checked out the Allerton website and saw that the entire place had been completely redesigned. I still wasn't 100% sure but they had pictures of the outside as well so I thought I'd give it a try. I'm really glad I did. The hotel has a boutique hotel feel without the snotty attitude that one finds at other hotels in the genre. It is very clean, all new lobby, bar, restaurant and rooms. The rooms are still small (as they were before) - which is fine with me - but the beds are comfortable and the bath roomy. All of the staff - and I really mean ALL - is very friendly and helpful. They have gone out of their way to make sure I am comfortable, have heated milk for my coffee and helped with reservations. The food is great too!Highly recommend it!	
Aug 6 2008 	Great Place!!!	We found a great deal but when we read the reviews we were a little apprehensive about staying here. I'm so glad we decided to stick with it because everything exceeded our expectations.The location is beyond perfect!! The staff is very helpful.We read about the small rooms so we decided to get a king suite on the top floor and it was amazing!!! (photos included). We requested a fridge and they brought one up as soon as one was available. I just loved it here!!! I can't wait to go back and try to get the same room.Note: I tried to add more than 3 photos and it won't let me...if you want to see more of the room let me know!	
