	A Quiet Retreat	Located on a quiet, residential street in the Gold Coast, the Hotel Indigo was always a pleasure to return to during our four night stay in a hectic city.The room was very peaceful with a soothing decor of wicker furniture and murals of shells. A bit small but there was a place for everything. And the room was very quiet -- no noise from the hallway or from the outside. The hotel is also a good place if you are travelling with a dog. A dog park is only one block away and Lake Michigan with its boardwalk is only four blocks away. Restaurants are close and it is also only a short walk to shopping on Michigan Avenue. If you are looking for a small hotel in a quiet area versus a large hotel more central to downtown, the Hotel Indigo should be just right. And the door man always greeted us with a smile!	
Nov 16 2008 	Small Rooms Small Service	I booked this trip through Hotwire for $99, but it was not worth it. Hotwire said 3 and a half stars, but it should have been 2 and a half. Room 1404 - The room was 10x14 feet and it had an overhang, very very small room. The shade was broken, the menu was dirty and again, the room was tiny!We couldn't check in until after 4pm, which meant delaying our plans. Also, parking was $36 and dont try to park on the street overnight b/c you'll get a $60 ticket. Opt for the better 4 star hotel near the magnificent mile. Next time, I am booking 4 stars or better if its on hotwire.NEVER GO BOUTIQUE!!!!	
Oct 9 2008 	Nice change of pace to stay at an "urban beach house"	This was my 2nd time staying at this hotel - and I've enjoyed it both times! It's really hard to believe this place is related to Holiday Inn!!LOCATION-Awesome. In the fairly quiet section of Gold Coast. Plenty of restaurants, stores, etc, just around the corner. The Red line subway is very close as well. In a very walkable area!!!SERVICE-I agree with a couple other reviews. The staff can be slightly aloof, but for the most part nice and helpful. But that's really what you would expect from a boutique-type property, right?ROOMS-Unique. Pretty hard to describe the vibe if you haven't been there. It feels sort of like an urban beach house with a whimsical edge. Different than any hotel you have stayed with before, trust me!!! I like it. Tiny rooms (think NYC), but some unexpected touches. The bathrooms and cool (a bit minimalistic) with a stand-up shower.Great bedding and pillows!NOISE-It was out of hand this time. I was at the end of the hallway (room 913) and the noise from the maids was awful. Woke me up before 0700 and it never really stopped. I blasted the A/C for some white noise and was able to get a little more sleep. You might want to request a room AWAY from the maid closet!!!GYM-Very nice for such a small property. Pretty much anything you might need, although it's a LITTLE outdated. Hard to complain though - most boutique hotels don't have any gym.You really should try this place. It's not for everyone. However, it's nice to steer away from predictable hotel rooms for a change!!FYI-They have larger rooms available in case you have a larger group or family. I actually think this would be a good place to stay with kids, too!	
Sep 28 2008 	Avoid the beige and go for this hotel with character!	Bored of beige/neutral and samey hotels, I spent a while searching the web before booking this hotel. I chose it to visit the city as a tourist and not as a business traveller - if you want a hotel to specifically cater for the later, you probably should consider elsewhere.Arrived in town to a bright and airy reception with cinnamon/apple fresh odour. The corridors upstairs are a little pokey, but to be expected with a older building. However, the rooms are really great. Vibrant colours, good soft furnishings and and a decent amount of space. Wooden desk, wardrobe and chair, soft armchair and footstool, in room safe big enough to take a 17&quot; laptop and huge very comfortable bed. The in room coffee maker was neat. Downside was the shower room which was small with no space to place ones own toiletries. The complimentary Aveda products were a nice sweetner, but if you like wallowing in the bath, these bathrooms are not for you! Whilst the windows actually open, unfortunately we were close to the air con. vent, so it did sound a bit like a 747 outside the room! I only stayed 2 nights, and if staying longer might have asked to move to a quieter room, however, overall I was happy with the room in a great area of town.	
Sep 23 2008 	A disappointment	I read a review that said be careful - I should have listened. Its average in terms of ammenities -short on service -for example: I arrived and had a business colleague with me who decided to join me at the last minute. I had a reservation -he did not. I checked in -no problem -he asks about availability, front desk says &quot;yes&quot; -so he tries to take the next step - get a room &amp; check in &quot; I'm sorry -you have to call -we cannot book you here at the front desk -only reservations can do that&quot; -we take the phone number -call it -it rings in the back -we are literally standing in the lobby talking to someone 50 ft away from the front desk who now tells us &quot; yes we have rooms -but a 2 night minimum.&quot;Go figure -here we are, unable to get a room when they are available -and a very uncooperative front desk who just shrugs at us...so he goes down to Embassy suites -gets a bigger room and lower rate!!If Holiday Inns wants to make a go of this new brand -they have ALOT of work to do - I'll never be back.	
Sep 3 2008 	Come back for more	We have stayed at the Indigo before. Great location, great staff. My sister stayed there too, and just loved it! Great farmer's market on Saturday down the street, right across from Starbucks and Walgreens. Some upkeep could be done to the hotel, but we just love its funkiness and charm. Very accommodating for handicap/assistance. We keep coming back again and again.	
Aug 22 2008 	Great Location	My husband was taking a training at the hotel, so we opted to stay on-site. I believe he paid about $139 a night but I'm not sure.The hotel is in an excellent location in the Gold Coast area. The El-train red line is a 2 minute walk away, the walk to the &quot;Magnificant Mile&quot; is about 15 minutes, and to the loop is about 20-25 minutes. The Oak Street beach is about 5-10 minutes away on foot as well. Our room was two double-beds - a little on the small side so may not be suitable to those with small families. However, for us, we didn't need more room. Rooms do not have mini-fridges, however, the hotel has 3-4 that you can request to use. We got the last one available and called a couple weeks before to reserve it - if you need / want a fridge make sure to request it early.The shampoo/conditioner/soap are all Aveda products which is very nice, rooms were kept very clean and the decor is bright and pleasant. Beds were comfortable.Front desk staff were helpful when needed.There is a great brunch spot two doors down called &quot;Third Coast&quot; on the corner of Dearborn and Goeth.	
Aug 18 2008	Miinor problem exacerbated	As past visitors on multiple occasions to Hotel Indigo, we have generally been satisfied with our experience. With every visit we request a minor convenience that we know cannot be assured, but has been provided without a problem on previous stays.We were somewhat concerned about an understaffed front desk upon check-in, and that was a predictor of our problem the remainder of the day. Our aforementioned convenience was forthcoming soon, we were told, but it took the staff several hours to finally inform us they could not accomodate us till much later in the day. Calls to housekeeping and management went unanswered. More timely communication would have allowed our schedule for the rest of the day to be less uncertain. As Janie hinted in an earlier review, the staff attitude at Hotel Indigo seemed markedly more aloof and disinterested this trip. A hip, casual attitude is not necessarily conducive to satisfied guests.On the positive side, we were able to check in late in the morning which was appreciated. But, over the past couple years we have noticed wear and tear rapidly overtaking the property. Too bad--the location is perfect for our purposes, but we will be exploring other options for our next visit.	
Aug 14 2008 	A slice of heaven	A friend recommended the Indigo Hotel. It couldn't have been a better suggestion. The room was delightful and the staff was extremely helpful. I loved the decor and ambience of the neighborhood. Great location - I walked to the beach, restaurants, shopping and even to the zoo. The hotel was very busy but everyone I came into contact with had a smile and wanted to make sure that I was having fun. I will recommend it to everyone I know.	
Aug 13 2008 	Great location small boutique feel	Stayed at this hotel for a few nights and was very impressed. It is located in a beautiful tree lined street just minutes walk to everything. The rooms were unlike anything I have ever seen before. Decorated like a beach house. Very modern, funky and fresh. The bed was comfortable and amenities were great. Free internet was also a big plus!	
Aug 12 2008 	Indigo doesn't measure up to its own aspirations	My husband and I stayed in late July for 4 nights. This was our third stay at H. I., and it will be our last. There was no dramatic bad experience, but for $250 a night, it doesn't measure up. Indigo has a contract with one of the airlines to house their overseas flight crews. The airline crews get to check out of the hotel after 5 pm, which means that the hotel has a shortage of rooms for people checking in. The email that I received from the hotel a couple of days before our stay had a cheery message, &quot;Your room is ready!&quot; The email stated that check-in time was 3 pm. We arrived at 3:40 and were told that check-in was at 4 pm and that our room was not ready. We walked over to the Starbuck's and hung out for an hour and our room still wasn't ready. We finally checked in after 5 pm. And this is not the first time this happened. There has been a check-in delay each time in the last three years that we stayed at the Indigo. I wrote a (very polite) email to the manager to point out that this was a problem, and he never responded to my email.The location is great, but once you've stayed at the Hotel Indigo, the decor isn't enough to overcome the downsides: very small rooms, lackluster management, long waits to check in. And the furniture &amp; bright wall paper is starting to to look a little worn.Anyway, I'm tired of being disappointed with the Indigo. We'll probably stay at the Intercontinental on Michigan Ave next time.	
Aug 7 2008 	Very tropical	We paid $137 total on Hotwire which was a very fair price for the stay. When we first walked in it reminds you of a tropical resort somewhere in the Bahamas. It has a very relaxing feel...not all rushed and business like.  We stayed on the 14th floor which offered a great view of Chicago. The bedroom area had plenty of space as well as drawer space. It had a good sized TV. The living area was small, but had an oversized closet. It had a table and a sitting chair.  The bathroom was very small. My wife liked having the mirror and sink outside of the bathroom so she could get ready while I showered. She also liked the detachable shower head.  I had no issues with the staff. They were always friendly and gave us some good advice about the area. The red line subway is less than 2 blocks away. It made it easy to get to Michigan Ave. and to China town. There were plenty of pubs about a block away. The area outside of the hotel is residential so it was always quite outside. The only downside is that the ice machine and pop machines are on the second floor only. One elevator was out of order so coming and leaving in the morning was a bit slow.	
Aug 6 2008 	Rude and Disorganized	I booked the room through Hotwire. We got a great deal at $129.00 a night! That's where the deal ended....The people working at the front desk looked as if they were upset we had disturbed them when all three rooms in my party showed up at the same time. Only one room was ready so we all had to squeeze into one room for the time being - boy did we have to squeeze! The room barely left a path around the oversized bed. There were no drawers so we were forced to leave our suitcases on the ground open, leaving even less space. When my group returned from our evening, the rest of the party were given there rooms....let's just say that one of the rooms was already occupied when they arrived. How does something like that happen! We woke up in the morning to go down for the free breakfast we were given because of the &quot;mix-up&quot; but it wasn't much of a deal after waitng in line for half an hour watching the girl behind the counter funmble around as if she had never heard of coffee. When we finally left Hotel Indigo no one said goodbye, wished us a safe journey home or even asked how we enjoyed our stay. Overall if you are looking for a clean hotel, that it is. If you are looking for a place to compliment such a beautiful and freindly city, you are better off booking another hotel. I won't use hotwire again to book in case I end up at Hotel Indigo again.	
Jul 30 2008 	Unfriendly	We stayed at the Hotel Indigo for three days over this past weekend. I called the hotel directly to make my reservation. The operator gave me the price 299.00, which was 120.00 more the first night since it was a Saturday. The other two nights were 120.00 cheaper, 179.00 a night. She sent me an email confirmation of these prices.When I checked in, the woman at the front desk told me that the first night would be 100.00 more that what I had been quoted on the phone. I told her that I was told the room would be 299.00 a night and she stated no, it is 399.00 a night. I said I think there is a mistake she insisted no it is not a mistake. I took out my receipt with the amount printed on it , which she still said that was not the right price. I again stated that was the price I was given on the phone and it was on the receipt. She finally called her manager over, he took my printed receipt to the back office. He came out and said It was more because I had 3 people. I stated I do not have 3 people only 2 people. He went in the back again and stated that they had me down for 3 people and that is an extra 20.00 charge and showed me an area on the bottom of the receipt where 20.00 was printed. That still did not make sense to me because it was 100.00 more not 20.00 more. I felt like they did not believe me that I had 2 people. Finally after about 20 minutes they gave me the amount on the printed email receipt. This was very unpleasant. They made me feel like i was the bad guy. I felt like they did not believe me even though I had the price right on the confirmation slip. No one ever said They were sorry they had made a mistake.Generally, the people at the front desk were not friendly. No one ever said hello when you walked by. When I checked out the woman did not even ask how everything was or even thank-you or have a nice day. Other hotels in Chicago seem so friendly I did not find anyone in this hotel friendly. The doorman did not help me with the door when I left , he saw me with 2 suitcases. A guest coming in held the door open. I could not believe it when I saw the doorman watching.There was a big crowd of kids outside of the hotel on Dearborn making alot of noise at 2:00 in the morning. This went on for about an hour.The handle on the toilet kept falling off also. IF I had paid 399.00 a night I would have been very unhappy. We had recently stayed at the Fairmont in San Fransico and we did not have one complaint. If you pay the high prices you should expect things to be pretty perfect. The hotel was cute and very clean. The beds were comfortable.	
Jul 2 2008 	Nice Boutique Hotel	Spent 5 nights here at the end of June while attending a conference. Very attractive hotel- converted older hotel so rooms vary in size, but very nicely done. Staff friendly and very nice feel to the hotel. Very good location a couple of blocks from CTA transit line- several good restaurants nearby.Recommend it Had read a TripAdvisor report that gave me pause, but discount it after my very positive experience.	
Jun 30 2008	Great Value at the Indigo	The hotel, located in the relatively quiet residential area of the Gold Coast, is conveniently located 1 1/2 blocks from a subway stop. The only issue with transportation is that we could not return northbound due to weekend and evening construction closing the route. The room design really made fantastic use of the space. Having a small sitting area added to the value. When we first arrived, there was drilling right outside as workers repaired the scaffolding -- the hours were limited to midday, and we didn't have any problems with noise.We really enjoyed our stay, and there were only two minor drawbacks -- the food service was lackadaisical, at best, and the front desk insisted on a limousine service to the airport, when we were able to hail a taxi that morning for half the price.	
Jun 23 2008 	The Hotel Indigo Chicago Gold Coast is an excellent place to stay	What a great hotel. The check in staff were ready for us, the rooms were clean and had a fantastic view of Lake MIchigan. The front desk staff were extremely helpful as were the bellhops when we were looking for information and directions. Very comfortable beds and all the amenities you could want. Definitely a great place to stay!	
Jun 21 2008 	LOVED the Indigo	We had to come to Chicago for a funeral. We only stayed one night. The Hotel Indigo was beautiful. The color schemes were awesome. The staff was friendly. The night clerk upgraded our room for us. I LOVED the location. Quiet residential area, but just a couple blocks from all the action. We were able to walk the tree lined beautiful streets to the church for the funeral. There is a GREAT restaurant on the same block, wonderful breakfast. It couldn't have been a better experience. I would love to stay there again.	
Jun 18 2008 	Loved it	I came to Chicago to celebrate my son's birthday. What a wonderful trip and a beautiful boutique hotel. The staff greeted me with a smile everytime I walked through the door. My room was so relaxing and the bed was very comfortable. The shower water was always hot. Everthing you could ask for was minutes away, restaurants, shopping, night life etc.etc.. This will be the hotel I stay at when traveling through the Windy City.	
Jun 17 2008 	Coolest Hotel	My Aunt, cousin and I came to the Big City from Louisiana to do all the shopping we could. Friends had told us about the Indigo (without going into great detail so as not to spoil our surprise). We checked in and were absolutely amazed at how different it was but we still felt as if we were on a relaxing vacation. I loved the decor - thought it was very cool. That was enough to have enjoyed the hotel but we also experienced staff that always smiled and were very helpful to some southern girls. I've told everyone about our stay. Everyone going to Chicago for a visit or some shopping should get to stay. Thank you!	
Jun 15 2008 	Pretty good	First off I am a total lover of the Hyatt Brand but decided to stay here for work and the decor and venture out of my comfort zone. I also travel a lot of work and leisure so believe I am a bit more tough than most. Check In: Your first impression is check in and they get a big F. I had to change my flight to an early flight and got to the hotel at around 11:30am. I absolutely knew check-in was many hours later and had no problem waiting if they did not have a room. There was one middle aged guy at the front desk who helped me check-in. He stared at the computer for a good 10 minutes before he told me they had no rooms available. I asked if he could let me know when they did and he just nodded. He was in no way friendly, personable or even acted like he cared about his job. He felt the need to remind me at least half a dozen times check in was not until 4, ok, I get it. Nearly 30 minutes later another couple checked in and there room was not ready. He said if they wanted to upgrade they could for xxx a night and get a King Room. I was pretty livid as that is exactly what my room was. Nearly 2 hours later I asked if there was a room yet and he said, &quot;yeah, it's been ready for almost an hour and a half&quot; Room: They do a good job of making them appear bigger online however they are in no way unlivable or uncomfortable. They placement of furniture (and amount of it) is a little odd. Note: the chair in the middle of the floor? Bed is a king and very comfortable although the little pillows are rather crappy. The decor is great and bright and I loved it. I have read some complaints on the bathroom and had no problems there. Amenities: The cable is pretty bad, no channels at all. There are either news or Chicago tourism channels. The internet is free but the connection is so-so most of the time. Better than paying though so they get a huge plus for that. Also Aveda products in the bathroom, my favorite! I drank the $2.50 water in your room left to tease you but ah well. The coke machine does has .50 cokes though! The breakfast was good but VERY expensive. I had $4.00 for a small OJ! That is just ridiculous no matter what hotel you stay at. I am waiting to eat right now until I get to the airport! Never had dinner there, again so pricey for hotel food that doesn't even have an actual restaurant! Never tried the bar either but they didn't have a good beer selection, otherwise I would have. Close to the hotel is a great little cafe right to the left. It's excellent, try the tuna melt, YUM. Also to the right is Edwardos which was also good. Right on the corner is a Walgreens and another block away you have Costco and Jewel. There is a Subway, Jimmy Johns, Starbucks and Dunkin Donuts also right within 2 blocks. Overall, it was a good stay. I was on business so I worked nearly all day and everyday so didn't have much time to do anything else. I would stay again but for equal prices you could get more amenities( breakfast, friendlier morning staff and a more central location) It was right next to the subway though that will take you down to the loop so that is a plus!	
May 22 2008 	Look elsewhere...	I stayed at the Hotel Indigo for 6 nights for a restaurant convention. I booked there based on this site and guidebook reviews. I was in room 812. The hotel has a excellent location on a quiet upscale residential street yet very close to nightlife and the subway. The breakfast restaurant and the bar are very nice. The decor is also interesting and pleasing.My room was tiny. I normally don't unpack my suitcase when travelling but just leave it open on the stand. I couldn't do this here as that took up 80% of the open floor space. It would be impossible for me to have my suitcase out and also pull out the ironing board. There was a large tray with glasses on the bed when I checked in. It looked nice, but it was too big to put on the small desk. The only place to put it was under the bed with my suitcase. I asked after I checked in if a larger room was available but was told that the hotel was sold-out and the only option was to upgrade to a suite for $600+ a night. I thought that I could maybe adjust as I wouldn't be in my room that much. The curtain was broken and could not be raised. Despite every effort, the beautiful shower completely flooded the bathroom every time. A flawed design I guess. For the first 3 nights only one elevator was working. Therefore when coming or going to the room I was almost always in a crowded elevator that stopped at every floor. Housekeeping also left something to be desired. I worked in the hotel industry for many years and always tip the maid heavily as they are generally the hardest working and lowest paid employees of the hotel. Despite this, I was NEVER replenished with soap or shampoo during my 6 night stay. When on day 3, after leaving the maid $5 each day, she just put the empty shampoo bottle back on the shelf, no more tips from me. I called housekeeping asking for more shampoo and got a voicemail. Luckily I had some shampoo of my own. Three days later and no one responeded to my voicemail, no more shampoo for me. Lastly, on the final night I stayed in and watched a movie. During the movie I saw a HUGE bug crawling up the wall which I promptly killed.After day 2 I started to call around to change hotels. Unfortunately it was a big convention weekend and everyone was either full or charging their highest rates, I toughed it out. But at the time of booking there was many other hotels for close to the same rate that were certainly not dumps like this.I have always trusted tripadvisor to help me find hotels in a new city. This is the first time that I was really let down.This hotel sucks! I will never stay here again. I hope that this helps others.	
Feb 15 2008 	One of my favorite hotels	After spending the week before the Iowa caucuses slogging through snow and going door to door in 7 degree weather, then retiring at night to our run-down $70 B&amp;B room, walking into the Hotel Indigo was like making it to heaven!From the minute you walk into the lobby, you feel transported to a quiet, tropical island where all the inhabitants exist only to pamper you. The lobby even SMELLS wonderful!Even though we arrived hours ahead of check-in time, the desk clerk was happy to give us a room - which was an oasis after where we'd been staying in Iowa!We had only been in the room about 15 minutes when the desk called to make sure everything was satisfactory.Although the room was small, it was find for my 13-yr-old daughter and me. She lounged on one of the incredibly comfortable beds watching the large TV while I sat in the small sitting area with my laptop. We weren't tripping over each other and didn't miss the lack of room service. There are plenty of restaurants close by that deliver, so we had lunch set up. And again, the desk called to tell us the food was on the way up. A nice alert and safety precaution.The subway is just about 2 blocks &amp; it takes you right downtown. The neighborhood is quiet and safe. There's a drug store and grocery story a block from the hotel. We went to Second City that night and it was an easy 15 minute walk. Again, no safety issues, just a nice stroll in the city.I think the best part about the Indigo is the attention they pay to the &quot;little things.&quot;1. The drinks in the Coke machine were only 50 cents. Most hotels stick you for a dollar or more. That's not a big deal, but it's nice not to be gouged.2. Everything was squeaky clean and looked brand new. The hair dryer was a real dryer - not one of the half-working models stuck on the wall.3. Everyone was smiling and anxious to be helpful. They arranged our ride to the airport, gave directions, etc. We never felt like we were a nuisance or treated like we were stupid.4. The hotel was QUIET and so was the neighborhood.We got an AARP rate for $124/night - which was incredibly low for the experience we had. Truthfully, I wanted to move in for a few days. Can't wait to try some Hotel Indigos in other cities.	
Jan 2 2008 	Very Nice	The hotel Indigo is a very nice hotel. I would suggest this hotel to everyone except for those who have a hard time walking. The hotel sits about eight blocks from the heart of the shopping district, so you do have to walk a bit. However, the Indigo sits in a quiet little neighborhood and we found it to be a great location. If your looking for night life there were six or eight bars one block away. Our room was very nice, we had a king size bed which was very comfortable. We liked the fact the room had wood floors rather than carpet, it felt cleaner than a carpet. And it looked neat too. The soap and shampoo was Aveda. The only thing that I think could be upgraded was the TV. A flat screen would have been nice. I didn't eat at the restaurant, but I did use the business center, which was fine. Overall I would give this hotel very high marks. It's not the Ritz Carlton but for a weekend getaway to Chicago it was perfect. Will definitely stay here again.	
Dec 23 2007	Excellent!	Great hotel, great location, great price! We only stayed one night but found the Indigo to be chic, priced right and in a great location! Only a few blocks from the (red line) subway station @ Clark &amp; Division and right in the heart of the action at Rush/Division, etc. etc.. Highly receommended.	
Nov 14 2007 	IndiSTOP: Gold Bust. Stay Away	Hotel Indigo Gold Coast is a weak attempt at a boutique hotel, since at core it has budge underpinnings. Elevators are slow and one is often sharing them with cleaning staff. Room was quiet but bright color scheme is annoying. No desk was available, causing one to use a table that was unfit for laptop use. No room service available in between lunch and dinner. Bathroom had only a small shower and smelled of mold (including mold spots on ceiling). Wireless printing service does not work as advertised. And to top it all off, front desk staff at 5am had to be AWAKENED in order to move from the couch (where he had been sleeping) to process my checkout. Overall, an awful experience and a horrible way to spend $400 for a poor one-night stay. STAY AWAY.	
Nov 2 2007 	A great place to start a holiday	After an eight hour flight from London it was nice to be greeted by a cheerful and efficient member of staff. This was our first stop on a 2800 mile road trip and it was nice to kick off the trip by staying in this unusual hotel.The hotel decoration is bright throughout which gives the impression of plenty of space. The furniture is designed perfectly to add to the decor.Our room although not small was an unusual shape which made a change from the rectangular boxes offerd by the larger chain hotels. It was clean and well maintained.The advantages of the hotel are, that it is situated on the edge of the main districts of Chicago. About three blocks from the shore of Lake Michigan and about a quarter mile away from some good restaurants on State Street. We walked back from the Wrigley Building in just over an hour and this included stops for window shopping. The John Hancock Tower is no more than a fifteen minute walk. If you do not feel like walking there is a CTA station on the corner of the next block with services downtown.It offers restaurant and bar services, the breakfast whilst adequate was a little on the expensive side, although nothing compared to New York prices.Disadvantages. The hotel could do with some double glazing because although it is tucked away in a nice suburb the general city noise from the main streets can be heard. Also if like us your room is situated near the elevator these have an annoying habit of ringing a bell everytime they pass your floor.In general though I would recommend this boutique style hotel to anyone wishing to spend some time in Chicago.	
Oct 26 2007	Unique and lovely	The Indigo is a really sweet little place, very boutique-y and very clean. I loved the blueberry wallpaper! The rooms are painted in bright colors and the whole ambiance is refreshing. Nice little touches like a modern coffeemaker and a sitting room made this place a great experience. Location is perfect. Service was great, too. Just loved it.	
Oct 8 2007	Shhhhh! Hotel Indigo Gold Coast is Chicago's secret.	Arriving early for a work related conference (Adobe Max), my partner and I booked Hotel Indigo for just one night. We thought we would try this new brand from the makers of Holiday Inn. First all I can say is -- Wow! We should have skipped the tragic Hyatt Regency and stayed at this practically perfect Hotel Indigo the entire week. Check-in kicked-off the experience right. While we expected the most basic room, we never dreamed we would be shown to &quot;The Hemingway&quot; #1202. This one bedroom suite includes a full living room and two full baths complete with glass shower and jetted tub. We are generally not suite fans, but this one was comfortable, cozy and simply beautiful in terms of layout and design. We felt at home among the colors, the art, and the hardwood floors. The composition of the space was fresh and unique. The design was entirely new -- the Indigo team has redefined what a hotel room should be. Location: Centered along quiet, tree-lined, neighborhood street. Not top shelf for tourists -- but great walkable area near Old Town, Rush Street, Michigan Ave, Lincoln Park and Lake Michigan. Accessible by CTA redline. Very walkable to all of the above for reasonably fit person.Staff: Friendly . helpful . professionalFood: Didn't eat at hotel except coffee and scone (took to Lake for morning respite). True neighborhood Italian restaurant across the street was special and authentic.Room: Clean, Complete, Great bathrooms and productsIf you are thinking of trying something new--give Hotel Indigo a try. While not all rooms will be the scale of our -- I understand they are all sized graciously and the design details take full advantage of the space provided. We were surprised and will stay at Hotel Indigo next time in Chicago. Furthermore, while traveling in other cities we will seek out Hotel Indigo for a good night's stay.	
Sep 26 2007	Very Modern and Central	This hotel is very centrally located - the decor is the room was very modern and clean. Although the room and bathroom is small, the decor more than makes up for it. The breakfast downstairs had a very limited menu so you might find you will have to go elsewhere for breakfast. Overall a very nice hotel that I would probably stay in again.	
Sep 16 2007 	Loved It	Was here on a girls weekend and loved the property. It is so refreshing to stay somewhere that is different. The location was great. Staff was very helpful in making dinner reservations for us and went out of their way to make our stay a pleasant one. We had large corner rooms on the 8th floor and could see the lake from one of those rooms. I would have preferred to have also had a tub, but the shower was nice. I would recommend this hotel to anyone, especially for a quick weekend getaway. I will definately stay here again when I am in Chicago.	
Sep 4 2007 	Great location and darling rooms	This hotel is REALLY cute and unique. The location is great - even for a group of girls that included one on crutches. We never had an issue getting a cab and it was close to pretty much everything we wanted to see. Definitely take the train in from the airport (especially Midway). It was easy and only $2.Downfalls - I ordered a rollaway bed when I booked the room months in advance of our stay. I also called a month before we arrived to confirm it AND called the day of to confirm it would be in our room. No such luck. After making a pretty big deal out of it, they delivered one the next day. Thanks to a great staff - it wasn't their fault and they handled my frustration really well.ALSO - we ordered a few snacks from room service. We ordered the &quot;warm bleu cheese dip and salsa&quot; only to get warm Tostitas cheese dip. It was seriously like they just opened the jar and microwaved it - delicious...but worth $9? Nope. Just a little bizarre that they OBVIOUSLY brought us the wrong thing and acted like nothing happened.BUT, all in all, it was a great trip. We had a 2 Queen room and it was big and clean with comfy beds and plenty of space for all of our stuff...which was a lot. I would definitely recommend staying here!	
Aug 10 2007 	Cozy Hotel- Good Ambiance	Hotel Indigo was a pleasant surprise. We stayed for two nights on award points (so no thoughts on value/price). Even though we had an interior room on the 12th floor (one large window looked out to the building's air shaft) the room felt cozy, not cave-like. There is not a lot of extra space for luggage (one large suitcase and a garmet bag was plenty), so if you travel with a lot of bags you might want to look elsewhere. Nice Aveda soaps in the bathroom. The lobby snack bar/restaurant had good food, although it was overpriced ($9 for a plate of hummus). Easy 2-block walk to the subway. Overall, a nice choice!	
Jul 26 2007 	Loved Chicago "Chitown"!	Loved the city, the hotel was ok but not any more. Location great, spot on in fact. The rooms were ok, The bar was overpriced and the breakfast well you are better off walking round corner and go to Starbucks. Staff friendly, next time I will stay closer to city centre and not stay in gold coast area as there is not so much to do in the evening. the pizza place down the road is the best in the world. The place was clean and the room size was good just I felt it was expensive. I love love love Chicago.	
Jul 23 2007	Small rooms disorganized front desk questionable value	Stayed one night and while location is excellent, there are a few issues concerning the hotel to be aware of:1. Rooms are very small. No room to put more than one suitcase in the room. We were stepping over ours.2. While mattress comfortable, why use the cheap sheet around a thin blanket that Motel 8's use. For upscale, use proper duvet or better linens.3. Check in was a slow and disorganized. I booked a king bed but when we went to the room, it was a queen. When I went back to the front desk, they said they made a mistake but I doubt it. There were many people waiting for a room so I think they had some unspoken problems that day.4. At $300/night, I thought it was expensive but maybe there are better rates. Staff at the hotel was very nice including bellhop and room attendants.	
Jul 19 2007 	Could NOT have been better!	I'm a Chicago native (tho' moved away in '96) and went &quot;home&quot; for a weekend with my husband to visit friends. This hotel was perfect. The location was great... basically @ Dearborn and Division. We took the CTA for $2/each from Midway airport to the hotel. Went smoothly except for a few flights of stairs with luggage. If you're a bit adventurous, the CTA's definitely a value!The hotel's style reminded me of an upscale hotel that you'd find in a European city... rooms are small, but the decorating was &quot;edgy&quot; in a very cool way. Granite counter tops in the bathrooms, Pergo flooring in the room with an area rug, one wall was covered with HUGE blueberry wallpaper. (Yes, like someone took a photo of a basket of just-washed blueberries, and blew it up into a wall-sized photograph!) Linens and bedding were pristine. Room was very clean.Only drawback was that room was located directly across from the elevator and we could hear folks chattin' while waiting and the &quot;ding&quot; when the elevator arrived.Staff was friendly and helpful, phone system was easy to use (voice mail &amp; wake up calls).We did not eat there. (Hotel has a limited breakfast menu, but what they had looked appetizing and the seating area looked clean and, again, had that cool decorating thing goin' on.) Had breakfast a few doors down at 3rd Coast Cafe--also highly recommend; the selection there is more of a bacon &amp; eggs, bigger breakfast type thing.&quot;Mother's&quot; (a fairly well-known bar) was around the corner. Lots of fun... sang 'til 2:30am with the rest of the folks at the bar. Crowd was about 20 years younger than we were, but they didn't seemed bothered by us old folks (we're in our forties). The wait staff there was pleasant, even at that hour, and since Mother's had only popcorn to eat, our waitress suggested we run across the street, pick up a pizza and bring it back in!We had a ball...	
Jul 17 2007 	Beautiful hotel and great location	We stayed here for 4 nights in July whilst in town to attend a wedding. The decor in the hotel is beautiful - a calm and quiet escape from the searing July temperatures. Staff were friendly and room very inviting. We had roow 711 which was huge! A massive bed and a comfortable chair and then a seperate area which gave plenty of room for suitcases.Room only had a shower and no bath but it was a large wet room shower with complimentary Aveda products, a hairdryer and plenty of well lit mirrors. Room also provided a safe and an iron and ironing board.Hotel has a coffee bar which sells Starbucks and a variety of freshly prepared breakfast items. It also has a small bar.In terms of location it is in a quiet street in the gold coast surrounded by beautiful brownstones. Just a minute or so walk away are restaurants, bars and a Walgreens for stocking up on supplies. The Lake and Michigan Avenue are about 10 mins walk away.We will definetly stay there again on our next trip	
Jul 6 2007 	Great location! Very friendly staff!	Stayed for five nights, great location! Great boutique hotel! Great staff. Had a beautiful room on the top floor (14th floor) with views of Lake Michigan. The room is very cosy with the Indigo colors in light green and light blue. Indigo boutique brand concept is great with Starbucks coffee in the morning. Huge Walgreens located next to the hotel and plenty of great restaurants and shops. Great value for money, would stay again immediately.	
Jun 22 2007 	fantastic hotel	Just back from 3 nights at the indigo with my husband and 2 sons (aged 12 and 16)Great hotel, great location - L train nearby. Very helpful bellman.Loved the room - very spacious and bright. Free internet which the kids used a lot.Would definitely stay here again	
