	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Sep 29 2008 	Great Stay	When traveling to Chicago we usually stay near the airport because it is cheaper. Decided to stay downtown, and the Hilton had very good rates compared to similar hotels. Staff was very friendly and efficient. Room was nice, and the kids enjoyed the pool while I made use of the whirlpool. You can self park next door with the validated rate of $26/day vs. $44 to valet. The hotel is a perfect location, near enough to Michigan Ave to walk, and a Red Line subway stop in front of the hotel. I would have liked to have a breakfast included with the room... that was the only draw back.	
Sep 18 2008 	Great place to stay!	After a few bad choice hotels in the downtown Chicago area - I finally found one I would return to!I stayed here on business Aug '08 for a Cubs game. We booked 3 rooms - 1 for myself - 1 for a co worker - 1 for a customer.Everyone was very pleased. It was super convenient to everything. Even the subway was right downstairs (which, normally, we take a cab to Wriglyville - however, it was 5pm on a tuesday and we knew it would take extra long in traffic - highly reccommended!) The restaurant/bar downstairs is very nice - everyone was very friendly. However, it does close fairly early. Breakfast was included for our HHonors and served at the same restaurant - a lot to choose from! The rooms were big, clean, and modernly decorated. A++++ Will be back!	
Aug 31 2008 	Great place for the price	This hotel is in a great location, very close to lots of sights of interest to tourists. An easy walk to Michigan Avenue, Navy Pier, the Loop, etc. There is a Jewel supermarket directly across the street as well, so no need to spend a fortune on the morning buffet. A clean hotel with attentive staff.Downsides: parking is not cheap ($26 w/o in-out privileges per day, or $44 for daily valet with unlimited in-out); pool is quite small and gets crowded quickly; rooms are a little on the small side.Overall, a good place to stay to be near much of what Chicago has to offer.	
Aug 25 2008 	Some positives some negatives	Positives:-- really good AAA rate for downtown-- excellent location, right next to red line train and close to restaurants, bars, N. Michigan Ave.-- very friendly, helpful staff-- nice rooms with comfortable bedsNegatives;-- be careful with reservations, our rate did not have a guarantee on # beds or rooms. Desk said only king beds initially but fortunately was able to get 2 beds-- Some floors have both smoking and non-smoking rooms. Hallway smelled like smoke.-- Elevators were backed up at times-- Lobby, elevators and hallways were warm and humid-- Internet connections never worked	
Aug 24 2008 	Great Location - Very Nice Hotel	Very nice location, staff was very helpful, rooms were very clean. Has a pool which is a big plus. Would definately stay again.	
Aug 20 2008 	Great location nice comfortable hotel	I spent 4 days in Chicago on my own after running a Conference with work in Austin, Texas. I've heard a lot of people say 'oh there's nothing to do in Chicago!' but it's a fantastic city to visit! I preferred it to New York. There's amazing architecture in all the high rise buildings, great shopping, parks, the Navy Pier, beaches, there's a great boat ride round the Lake ...what more could you ask for. Also as I travelled alone I found it pretty safe, the tourist bus is the best way to get about.I chose the Hilton as it was a pretty good hotel rate for downtown Chicago and very central. I wanted a nice, safe hotel as I was alone and had never been to Chicago before. The hotel was in a perfect location, lots of restaurants close by and cheap places to eat - McDonalds is down the street! It's only a 15 minute walk to Navy Pier and the beach and Magnificient Mile is just a short 5 miniute walk away. Lincoln Park zoo is a approx 50 minute walk.The hotel rooms were fantastic, really big and comfortable luxury beds - just perfect. I never ate at the hotel so can't comment on that. The only downside is that the hotel staff were very rude, every time I asked them how to get somewhere they would snap back 'get a cab' which was not very helpful as a tourist! I didn't let it spoil my trip though!I would recommend this hotel and 4 days is long enough to spend in Chicago and enjoy the city.have fun!	
Aug 18 2008 	nice hotelgreat location	My husband and I stayed at the Hilton this last weekend and it was great! The hotel staff was very helpful and they give you a validation code for your parking which saves you like $10 a day! The room was very nice and clean. We stayed on the 20th floor and had great views. The location was great-we were in walking distance from shopping, millenium park and the rriver. We did take the free trolley to Navy Pier, and the bus to Lincoln Park. We didn't eat at the hotel restaurant (Weber Grill) but it was always busy. We would have probably eaten there if we had one more day, but did snag some cheesecake from there and took it up to our room one night! Overall a great experience. We would recommend to anyone, couples or families.	
Aug 11 2008 	Bargain with a great location	Stayed here about a month ago and was very impressed. It's hard to beat this place for the price and location. The room was spacious and very clean, plus you get free wireless. The location is excellent, just a couple of blocks from Michigan Avenue with plenty of shopping and great restaraunts all around. Went to the Rock Bottom Brewery across the street and the food and overall atmosphere was very good (rooftop bar is great in the summertime). They don't have a breakfast at the hotel but the staff recommended an excellent place a few blocks away (Mary's Cafe) that was definitely affordable. If you want to go to Navy Pier, the hotel staff also recommended that you could take a free trolley 2 blocks away. You also get a discount if you park in the garage attached to the hotel ($16 if I remember right). Overall, I would definitely stay here again.	
Aug 10 2008 	Great stay and perfect location	This Hilton Garden Inn was the perfect location for our trip to Chicago. We did ride the free trolley to Navy Pier, but walked to area museums, Race Street and the Magnificent Mile.Plenty of restaurants within walking distance. The hotel was spotless, had a real nice gym area and pool, with a very helpful staff.Their Internet is hard wired and seemed slow, but that's the only thing I could even think about that was less than excellent.The city view from our room was a real plus.Be sure and do the fireworks at Navy Pier and if you like some nightlife, check out Redheads piano bar a few blocks away.Avoid UNO pizza!	
Aug 6 2008 	Great hotel at a great location	Very nice hotel and a perfect location. Free internet! The internet is through an ethernet cable, but who cares if you can't carry your laptop around your room. I didn't try the complimentary breakfast, but you are in Chicago. Get out of the hotel and try some of the best food in the world.Footsteps away from the CTA red line. When you walk out of the hotel the stairs to the red line train are directly to the right. If you are familiar with riding the train in Chicago, it is perfect. If you are there to see a Cubs game, you get on the northbound red line train, and get off at the Addison stop which drops you off at the stadium.The hotel's entrance has an unloading area on Grand that is convenient for pulling into for unloading your group and luggage. An attendant will ask if you will be valet parking. Valet is $40 per day with in and out privileges. Self-parking is $26 per day after you have the parking ticket validated at the front desk. The regular price on the sign in the garage is $35 per day. The self-parking garage is connected to the hotel with entrances on both Grand and Ohio. If you are planning on parking your car and leaving it during your stay, this is the way to go. If you do self-parking, ask for the front desk to validate your ticket before you leave. When it is time to depart, you'll then insert your card into an automatic payment machine just outside the lobby to the right that you can pay with a credit card or cash.When I go back to Chicago, I am definitely going to be staying at the Hilton Garden Inn - Downtown.	
Aug 4 2008 	enjoyed the stay	The rooms were spacious and clean (looked like new). The bed and pillows were very comfortable and the room had a refrigerator, coffee pot, and free internet access. It is located just 2-3 blocks from Michigan Avenue and is near a lot of restaurants and shopping. Several theatres are within a short walk (5-6 blocks). The only negative was that housekeeping did not attempt to clean our room until after 5:00 pm when we were getting ready for dinner and a show. I would stay here again.	
Jul 29 2008 	Great Hotel!	Hilton Garden Inn is a wonderful place to stay in Chicago. We stayed the week of 7/20-7/26 and it was fantastic. Our room was clean and neat throughout our stay. We got to stay on the 22nd floor, which had fantastic views. Our children enjoyed the pool several times during our stay. The staff was wonderful.One item that not too many people mention is the convenience of having a refrigerator and a microwave in our hotel room. There is a grocery store right across the street, and we were able to stock up on sodas, waters, orange juice, fruit, etc., at very reasonable prices. We even purchased cold cuts for sandwiches and had lunch in our rooms, to help save money. Every bit helps!We had an excellent stay, the beds were extremely comfortable, and the hotel itself is in a perfect location. I would recommend it to anyone.	
Jul 26 2008 	Bad Experience	This hotel seemed like a good deal, and it's location is great for sure. The room was nice enough...However, the problems began as we checked in for our one night stay. Rude staff were the norm. For instance, we had a couple of little questions and needed directions, pretty standard stuff, but the staff ignored us and when we did get their attention, seemed very put-out. And we're Hilton Honors members!There were also lots of little inconveniences: - very little sound proofing, so we heard EVERYTHING that took place in the hallway all night long.- no WiFi, just plugged-in internet (so you have to keep your laptop on the desk in the corner when in the room)- the printing services that were advertised did not work (and again, no one was available to help us use them)- we ran out of toothpaste, and found there were no complimentary toiletries if you forgot something, purchase for $5 plus only.And, at the attached restaurant, absolutely the WORST breakfast buffet I have ever had in a hotel. We had to leave early, so it was one of the only places open at that hour. Big mistake. Even at 6:30am, the food was cold, stale and generally bad. The omelettes, made to order, were the only good option available. And this for something like $15. I'm sure it's good for other meals, but avoid the breakfast!I'm confident you can find something better in Chicago for this price.	
Jul 23 2008 	Solid hotel with good location	Location is great, right on north side of river.. good restaurant in lobby (weber), nice clean rooms.. the &quot;gotchas&quot; -&gt; loud A/C in the rooms&gt; the internet access is ok, but kinda slow&gt; the starbucks in the lobby isn't worth it - not a full BUX, take a walk to a real one	
Jul 20 2008 	Great stay	Great location, very clean and the staff were very friendly. The room had everything we needed and was very comfortable.	
Jul 18 2008 	very pleasant stay (even though 'L' stop was closed)	We called ahead to alert the hotel of our late check-in due to flight troubles and we had no problems when we checked in around midnight; the room we had requested was ready for us.The room was clean, included a mini-fridge, microwave, computer desk, etc. The bathroom was stocked with Neutrogena toiletries.We heard minimal traffic from our 18th floor room. We enjoyed the pantry and Starbucks found in the lobby.The front desk staff were curtious and quick with a map when we asked for directions. There were no problems checking our luggage at the front desk for a few hours after we had checked out.We did not have time to eat at the Weber Grill restaurant found within the hotel but we heard it was great.One downfall outside of the hotel's control... We chose the hotel for it's close proximity to a red line 'L' stop, but found that stop closed upon arrival. The red line next stop was about 4-5 blocks walking distance. If you're choosing the hotel based on it's proximity to the 'L', call ahead to check the status of the stop - we were told the stop has been closed often on weekends for repair.Overall, a very pleasant stay.	
Jun 25 2008	Great Location	Just got back from Chicago and wanted to write my review while everything is fresh in my mind. We arrived in the early afternoon and our room wasn't ready. Check in was at 3pm, so that was fine. They held our bags and we did some sightseeing. Returned to the hotel and our room was ready. On first entering our room which was 1711 there was a slight odor. Not bad or anything. Then when I went into the bathroom, there was a mildewy smell. I really hate that smell. But it wasn't so bad to ask for a room change. There is no fan in the bathroom and with no air circulation, the mildewy smell is going to occur. So those are some things that bugged me. The staff at the front desks changes often. Most of the staff isn't really that helpful. We asked once for a restaurant recommendation and was given the answer &quot;there are a lot of restaurants, here is a list&quot;. That isn't really what I was looking for. Then we asked directions several times and they just weren't helpful and didn't seem to care. There is one perk. Warm cookies are offered around 6:30 to 7:30 and I think again a bit later in the evening. The red line train stops right in front of the hotel so that is another plus. The location is great. Close to everything. I don't think I would stay here again, without attempting to try another hotel first. It isn't that I had a bad stay, but I think I could have had a bit of a nicer room without the smells and staff that would love to help me more.	
Jun 10 2008 	Glad I was moved here	I was originally booked at The Silversmith for my trip to Chicago for NeoCon, however because I had booked through Orbitz my room was not guaranteed and The Silversmith was oversold. They moved me to the HGI, and I'm glad they did! It was closer to the Merch Mart so I could walk there instead of taking a cab, there are many restaurants nearby including the Weber Grill attached to the hotel, the service was great and the room very comfortable. Because I arrived around 11 am, I had the choice of waiting for a regular King room or taking a King Wheelchair room right away, and I took the Wheelchair room. I don't think the room size is much different, but the bathroon is big enough for a wheelchair to spin donuts in and has a wheel-in shower with a &quot;rain&quot; style showerhead. The beds are interesting, they are like a Sleep Number bed with controls on each side to change the comfort level. A refrigerator and microwave were much appreciated, and FREE wired internet access (the first free access I have come across in Chicago!). My only complaint is that the drapes do not cover the entire window. There is a 3-4 foot space above the A/C unit that the sheers cover, but not the drapes, and the morning sun shone right on my pillow. It's a good thing Ineeded to be up early! Also there was some sort of computer issue when I checked in, and when I returned to my room the afternoon of the 2nd day my keys didn't work. When I went to the desk, I was told that I had only been booked for one night, but when I showed them my receipt from the Silversmith stating it was a two-night trip they fixed the error quickly with no hassles. All in all I enjoyed my stay here and am glad I was moved!	
Jun 9 2008 	Just what we wanted	We were in Chicago for 4 nights just to sightsee, and we wanted to stay somewhere centrally located but less than $200/night. This hotel was perfect. Two blocks north of the river, two blocks west of the Magnificent Mile, with a subway stop right at the corner.The room was very clean, plenty big, lots of towels. The mattresses are air-filled, with a control on each side - we played with them, but couldn't tell the difference in settings. They were comfortable - we really couldn't tell that they weren't regular mattresses.Even though we were on the 15th floor there was a lot of street noise - but we live in the country, so we probably notice it more than most.The front desk staff was efficient and friendly, the valets were very nice, and they have a small area next to the front desk where you can purchase snacks and such 24 hours/day.I would definitely stay there again.	
May 26 2008 	Nice but not quiet	The hotel has a lot to like - comfy beds, a nice (if small) pool area if you have a child in tow, free broadband (wired), and friendly staff. However, it's not quiet. There is a substantial gap at the bottom of each door, so hallway conversations and door slamming will be clearly audible. The windows have good sound insulation but the AC units do not, so traffic noise and sirens pour in at all hours.I liked it well enough, but the noise coming in was loud enough that it kept my three year old from getting to sleep. I understand it's a hotel in the middle of the city, but that's too loud.	
Apr 7 2008 	Great Location and positive experience	My boyfriend used some Hilton Rewards points to book two nights here. We had a lovely stay. I love the location (close to many restaurants, shopping, and night life). Our room was very comfortable and quiet. We may not have had immediate neighbors because we didn't hear any of the other guests. The bathroom and tolietries were nice and the bed was comfortable. We had coupons for the complimentary buffet (might have been because my boyfriend has a high status in Hilton Reward Points) and it was very filling. I would defininately stay here again and would recommend it to others.	
Mar 27 2008 	Good Value	I spent five nights at the Hilton Garden having read the reviews on tripadivsor. My room was clean, quiet, with a comfortable bed-- all at a really good rate. However, this is not a high service hotel which is just fine based on the rate and convenient location. My biggest complaint was the total absence of door help when I arrived from a very long 9 hour flights with 3 bags I had to navigate through two door with no help. There were 3 front desk people watching me, a 60 year old woman, struggling with this process, but no help came to my aid. However, my check-in clerk did thoughtfully put me in a higher floor room so it would be quiet. The room they were going to put me in was on the 1st floor where I could enjoy the roadwork being done right outside. Housekeeping was a little goofy. I never had the same towel count twice but it was just me so it was not a problem. The creamers they leave for your coffee were also often not left, but the front desk always sent up some when I called.My room was quiet as long as no one was in the hall making noise. There was a half inch space between the door and threshold to my room so hall noise came right in. A family group staying in multiple rooms around me were really loud but I could not hear them once they got into their rooms.I was most pleased with the comfortable bed and having a frig with microwave. Overall a good value for the rate. But if they raised the rate, I would choose a higher service hotel as a single travelers.	
Mar 19 2008 	Excellent!	For a reasonably priced hotel in downtown Chicago, this place is hard to beat. The rooms are smallish, but clean and recently updated. The bed in my room was extremely comfortable, there was a fridge and microwave, a great office chair, and a well designed bathroom. The staff were universally excellent, especially the valet parking guys, who deserve special praise for being friendly, quick and efficient.One quibble: no Wi-Fi in the rooms, just an Ethernet connection with a cable that doesn't very far past the desk. On the positive side, there's a 24-hour business centre that allows guests to print documents either on site or from their rooms. Also, the heater is pretty noisy, so if you tend to be cold at night and are also sensitive to white noise, this may not be the place for you.Breakfast at Weber's downstairs is an extortionate $15, and Mary's Diner down the street serves bland and greasy food. There's a Starbucks in the lobby that's open only in the morning, another around the corner that's open all day long, and a local chain called Cosí a block east, which serves breakfast bagels, etc. Not a gourmet experience, but definitely edible. Otherwise the location is fantastic -- within walking distance of all the attractions of the Magnificent Mile, easy access to the El, etc.I'd definitely stay here again.	
Feb 29 2008 	almost perfect	Very nice location just a couple of blocks off North Michigan Ave. shopping area. Super comfortable beds and VERY CLEAN room. Included microwave &amp; frig. We really liked the hot tub and the pool was comfortable temperature for this time of year. (actually warm enough to swim in). Staff was friendly and helpful. The only things wrong were quite minor. Such as heater blower could have been a bit quieter and bathtub was a bit slow to drain. Would definately recommend it for anyone wanting a clean,comfortable, well located, and resonably priced hotel.	
Feb 29 2008 	Just one night!	I stayed in this hotel for one night and I would definitely recommend it. Not only were the rooms spacious and very comfortable but the location is excellent.The staff were fantastic, very helpful to a couple of weary travelers! My only quibbles were that I had an ajoining room where the folks through the connecting door were loud, very loud at 2am in the morning and you could hear everything between the doors. It also took me awhile to figure out how to use the bath and shower but I figured it out.I would recommend the hotel, if you're going there though check out Mary's for breakfast ~ head out the front door and go left 4 blocks and it's there.	
Feb 20 2008 	Very clean and spacious excellent location	Booked this hotel through priceline for a quick business trip. Very clean and quiet; very well appointed and spacious rooms and excellent location. Business center and indoor pool were added bonuses. Would definitely stay here again.	
Feb 16 2008	Highly recommend it	I stayed at this hotel alone for one night and was not disappointed. I chose the hotel based on the good rate I found rather than location, which was not a factor for me. My room, 2119, was very clean and aesthetically pleasant. The bathroom was clean with Neutrogena products provided. There was a microwave and small fridge. The bed was wonderful, very fluffy pillows. I did not want to crawl out after a great night's sleep. I did take note of how quiet it was. I'm used to hearing people in the hallways or next door regardless of the type of hotel I stay in but this was not the case here.I would stay here again.	
Jan 28 2008 	Great hotel - Great Location	My husband and I stayed in this hotel for 4 nights in January 2008. The hotel was a in a great central location close to all of the local tranport. The hotel has recently been refurbished and the rooms are lovely and bright. I would highly recommend this hotel to anyone visiting the Chicago area.	
Jan 27 2008 	Couldn't have wished for better accomodation and location	We booked this hotel after reading other reviews on tripadvisor and we were not disappointed. This hotel is definitely more than a three star in our eyes. Checking in was painless and we were able to check in early with no problem. The staff were friendly and helpful.The room was lovely, beds extremely comfortable. The room was very clean and tidy. The housekeeping did an exceptional job everyday we stayed there.The location was excellant also, very easy to walk to the Magnificent Mile and into the city. The hop on and off bus stop was not that far away either.Overall it was the best accomodation for value for money we have stayed in.	
Jan 12 2008 	Good base of operations	I'll preface by saying the hotel is being renovated and should be complete in March; we stayed on an &quot;old&quot; floor, so take some things in stride. We went for a weekend shopping trip and booked a room because of a decent price and good location. The check-in and all interactions with the staff was excellent. They were friendly, professional, informative, helpful and always pleasant.  The room seemed small at first because of the dark colors, but is really adequate with a small kitchenette &amp; nice work area. The work station had a nice-sized desk, comfortable office chair and was well lit. I don't hear well, so if I note it, it is definitely loud. The old heat/cooling unit was rather loud (and annoying). The sirens from below bothered my wife (we were on the 14th floor). It wasn't a busy weekend, but we both heard everything in the hallway. The bed was comfortable for me, too soft for my wife. The bathroom was clean, and the rest of the room seemed okay, but had some suspicious deficiencies, such as stains on the chair, drapery, wall and ceiling (don't ask me!). The TV hutch was very dusty on top (we were going to store some purchases out of the way there...we decided against it). The carpet probably could have used a good cleaning. I'm not sure how much they've been delaying maintenance because of the renovation, so some issues might be rectified by. (To be fair, I did not contact the management about the situation). Room service is from either the Weber Grill (on the ground floor) or from Buca de Beppo (on block east). We had ribs at the Weber Grill (they were good) but that's another story. Given the service, price and location, and assuming that the renovations reduce the noise and cleanliness issues, we would recommend this property as a good base for your time in downtown Chicago.	
Jan 10 2008 	Great Every Time!	Great hotel, very clean and smart, very friendly and helpful staff, good food, free internet, great location, not too big nor small...just great really! Stay here all the time when in Chicago!	
Jan 4 2008	Poor Customer Service from Maid to Manager	Not a place to stay for the customer service or the price. I hope this keeps at least one person or more from staying here. Maid service will knock on your door at 7:30 regardless of Do not distrub sign. I stay mostly at Hilton properties (Hilton Honors Gold Member) and this has been the worst. I called the front desk to have the maid comeback and she continued to try to get into the room until I opened the door and said go away. When I checked out they were no apologies or resolution. I was told that they were busy and wanted to have the room ready for the next guest. Checkout time was 11 and I was not able to check into the room until after 4pm when I arrived 3 days earlier. It was a total lack of respect that was undeserved. Hotel Management was no help and did not speak very good english. They would not return calls and I registered a complaint with the Honors line. Even the Hampton Inn has a policy of 100% satisfaction. This does not extend to the Hilton Garden. I work for a major Vendor and attend the RSNA every year. I will not stay there again and have instructed my travel agent who books room in June for this conference not to place anyone there if at all possible. Gold Hilton Honors Member.	
Jan 2 2008 	Great location and value	The Hilton Garden Inn Downtown/Magnificent Mile provides good accommodations, great location, and a reasonable price. Located at State/Grand, the hotel: is a couple of blocks from the Magnificent Mile shopping area, has a subway station (Grand, on Red Line) right at its door, and has numerous restaurants in walking distance. Rooms are not lavish or large, but are clean and decent, provide a mini-fridge, mini-microwave and coffee maker. Small business center has 3 computers with free Internet access (used by a couple of teenaged girls surfing MySpace when I was there). There is a small pool and tiny fitness room. Weber Grill restaurant is a decent chain-type bar/restaurant for steaks/ribs/burgers.	
Jan 1 2008	A great hotel	This hotel was great, especially for the price and location. I was expecting a dump becasue it was so cheap and I don't like to read many reviews before staying somewhere because I tend to remember other people's comments. We paid around $100/night for the weekend before X-mas, which was a great deal. The room was clean, the beds were very comfortable and I enjoyed the free wireless internet and in-room fridge. The rooms were on the medium side, but who goes to Chicago to sit in their room? The front desk staff were VERY nice and offered us a free shopping map that was very helpful. We parked in the hotel ramp and paid $22/night to park. This is CHEAP by Chicago standards!! I paid $40/night to park a block away last year. The location is GREAT and is very close to the Mag mile. There's also ESPN zone across the street, a close McDonalds and a new Subway practically kitty-korner to the hotel. We went at lunch and it was empty becasue they are new and it's kind of off the beaten path.  Weber Grill is in the lobby-area and you can smell grilled food in the hotels hallways, even 22 floors up, but the rooms DO NOT smell. We heard a lot of people in the halls, but no one in the next room. Also, Chicago is a loud city and you'll hear sirens all night, but this has happened at every hotel I've stayed in Chicago. The pool area is small, but if you just want to relax for a while, it'll work.  I would definatley stay in this hotel again. You can look, but you will not find another quality hotel this close to the Mag Mile for this price. I'm pretty picky about nice hotels and this one passed by standards.	
Dec 30 2007	very convenient great value	I would return here for a clean, safe, comfortable place in an ideal central location for touring, with great service at the front desk. We stayed at the Peninsula a few years ago and that is a knock-your-socks-off world class luxury hotel. This is not -- it's a nice business class Hilton family property. But I would actually prefer to return to this one, instead of the Peninsula, because it is more centrally located, and I don't need to pay for all that luxury when we are out touring all day. We like to walk, and we were able to walk to the boat tours, the old Marshall Field in the Loop, Berghoff, the Sears Tower, Navy Pier, the Magnificent Mile and the Hancock building, all from the HGI. The Peninsula was a little bit further north, less convenient to the Loop, and so we found ourselves using many more cabs. We had a great lunch at Berghoff (weekday lunches on the main floor are as good as ever, including the homemade root beer) and we also had a lot of fun at dinner and great traditional food in a German neighborhood place to the north, the Chicago Brauhaus in Lincoln Square.	
Dec 19 2007 	I can see clearly	I was in Chicago to have lasik surgery and the lasik center recommended this hotel because it was close and they give a discount for people going to the center. We got there before check in because of my appointment time and the front desk was great. The room was not ready but said that they would keep our bags and take them to the room when it was ready. The woman working at the desk and the gentleman that helped with the bags were so nice. They both ask how I was doing when I got back from the center and also told us about the restaraunts in the area. It was a great stay!!	
Dec 16 2007 	Disappointed......	This hotel has so many good reviews that we decided to book it for our two week stay in Chicago. 2 years ago, we stayed in the Palmer House Hilton so thought we'd try its little sister!We're now in the second week of our stay and I must say, I'm really disappointed in the hotel. Don't get me wrong, the hotel itself is ideally placed with the red line El (Grand) right outside the door and the Mag Mile within walking distance. Also, the staff are friendly and the room bigger than expected, clean and tidy.Our main issue is noise. From everywhere. We're on the 13th floor and can hear absolutely everything either of our neighbours does, especially when in the bathroom which is embarrassing for both parties! You can hear word for word everything your neighbour says if you're in the bathroom whilst they're talking in their own room. At nightime, you can hear the toilets flushing on either side and if someone decides to have a late night/early morning bath or shower then believe me, you'll know about it!Also, even with the &quot;do not disturb&quot; sign positioned on your door, you'll be sure to hear the maids as they go about their daily duties, shouting out to each other from the other end of the corridor. We've also had other guests stand outside our door and have animated conversations on their mobiles, or with other guests in the middle of the night. The air conditioning unit is another story altogether and for the first few nights, ours was coming every ten minutes then going off again. We reported this and were advised an engineer would look at it but haven't heard anything since. We've came up with our own way of making sure the outburts are now shorter so our sleep isn't disturbed too much during the night.We considered asking for a room move but reckon all the rooms must be the same, we've came to the conclusion that the walls are made of tissue paper.All in all, the hotel is certainly a nice place, and has the bonus of having three pc's in the business centre which you can access free internet but please, if you're coming here for peace and quiet then I'd choose another hotel.	
Dec 9 2007 	We loved the Hilton Garden Inn	We booked our hotel in early November for a one night stay in early December. We used expedia and got a rate of $99 plus tax. The great thing is that parking is only $22 a night if you self park with no in/out privelages. The parking garage is attached to the hotel so it is convenient. We had a room with a king bed, microwave, mini-fridge, coffee maker, blow dryer and more. The room felt exceptionally clean. The bed was a therapeutic. The comforter was white and soft and you could tell it is kept clean. It felt like home, not the tacky, old multi-colored comforters/bedspreads many hotels use. The view was good. The staff was nice and helpful. There is a pool and jacuzzi tub on the 12 floor along with a business center. The pool is a bit small but very clean and the jacuzzi was wonderful. The hotel is in a great location with easy walking to the magnificant mile on Michiagn Ave and much more. There is a mini-starbucks store right in the lobby. The restaurant P.F. Changs is attached to the hotel along with a grill with a nice bar. I would go back to this hotel again, even if I didn't get the same great rate. It is tough to get that low of a parking rate at most hotels.	
Nov 11 2007 	Very Good Stay	I attended a convention the week of Nov. 6th. Before I made my reservation, I tried to obtain a room at one of the more exclusive hotels, but they were sold out due to several conventions scheduled that week. The Hilton Garden Inn was a very pleasant surprise. My room offered a good view of the cityline, good size and comfortable linens. I am very picky about my sleeping quarters, and this was very suitable and very clean. The bathroom was adequate. The service and staff was great! This was my first trip to Chicago and I wanted to experience the luxury's that Chicago offers. The hotel is in a great location and the Weber Grill located in the hotel had good steaks. Also, on the corner, I dined at PF Changs, which is always very good. Make sure you visit the Hancock Observatory and dine on the upper level for lunch, make sure you visit the restroom for the view. Also, you can't miss the Navy Pier. My favorite, of course, was the shopping on the Magnificent Mile! What an experience. Needless to say, I came with luggage weighing 24lbs and left with 46lbs and two carry on shopping bags.	
Oct 14 2007 	No luxury hotel - but good value for money	I stayed in this hotel for leisure for five days and was overall quite satisfied with my experience. The big advantage of this hotel is its location - it is very conveniently located in the near north area just two blocks away from MagMile and a few more from the Loop. It is also one of the more inexpensive hotels in this area and offers spotlessly clean rooms, free high-speed Internet access and comfortable beds. The service we received was efficient and faultless. Additionally, I found the hotel much more quiet than I expected from reading some of the reviews on Tripadvisor. All in all, I found it was a good base for exploring Chicago.What are the downsides? The rooms as well as the lobby are a bit on the small side by US-standards. The lobby and the adjacent Weber Grill Restaurant can become pretty crowded at times, especially during breakfast and dinner &quot;rush hours&quot;. The Starbucks in the lobby has very limited opening hours (actually it was closed most of the time when I fancied a hot drink) which is not a big problem as there are various grocery stores and cafes around the hotel. All in all, it is not really a luxurious place to stay but rather a hotel that offers above-average standard at reasonable prices.Would I stay there again? On a similar occasion, yes.	
Oct 2 2007	very ordinary	The hotel is in a great location, however the rooms and amenities are below expectations. The night I stayed their website price was $405 a night - I pricelined for about $90. The latter price was more than enough. The rooms are small. The staff are way less than three star. Take it from a seasoned traveler.... ok, but don't pay a lot for this.	
Sep 27 2007 	Very good hotel	very good hotel, ideally situated. everything is within walking distance. very clean. friendly staff. it has a pool with a small jacuzzi, a business center and high speed internet in the room. the best thing about this hotel is that it's a very quiet hotel although it is located in downtown.Sita &amp; Gieta	
Sep 14 2007 	Great location small pool	Stayed here for a long weekend in Chicago. Staff were all really friendly and helpful. Room was pleasant as you would expect. The hotel location is great (walking distance) for the Magnificent Mile (shopping) and The Loop. There are plenty of bars/restaurants in the area, including the Weber Grill attached to the hotel. There is a pool &amp; jacuzzi, however no sauna or steam room, and the pool is very small indeed! There is free internet access in the rooms, or in the business centre if you haven't brought your laptop!	
Sep 14 2007 	Friendly staff lovely room fantastic location	I booked a room for myself and a friend through Hotwire and got a good deal on the room. At check-in the staff were friendly and helpful and the desk staff always had a friendly smile and greeting whenever we passed through reception regardless of what time of the day or night it was. The room had two queen-sized beds and we experienced no problems with house keeping, the bedroom and bathroom were immaculately clean every day. We had breakfast in the Weber Grill attached to the hotel on the first day and it was the only low point of the stay. The breakfast was cold (this was at 10am and breakfast sevice ended at 10.30 am) and expensive but the waiting staff were very nice and on another visit (this time for lunch) the food was very good. Most of the other guests were also quite young and there seemed to be a few bachelorette parties staying but even so it didn't seem too noisy. Overall, a fantastic hotel with an unbeatable location.	
Aug 27 2007 	Fast response from House Keeping	We were stuck at Chicago O'Hare on lay over as the airport shut down due to weather. We were very happy to be able to snag a room for the night, our rate was about $210. Since we arrived without our bags, at check in I asked for a basic toiletry kit. They said they would call housekeeping. Nada. I call housekeeping, they quickly brought toothpaste and brush for one, we needed 2, plus do they have a bathrobe? Another quick response and we had what we requested. I expected the hotel could provide an actual kit, with shaver, deodorant, comb, toothpaste/brush etc.Food: Call room service, no response. Try again, busy signal. Again, no response. Call front desk, they tried, no response. &quot;must be busy, try again later&quot;. We keep trying and finally after about 15 minutes we are connected with room service. Room delivery was speedy and the pizza was good along with the Mrs. Parks house cabernet.Bathroom: The shower curtain needed changing as it smelled moldy. As I showered, even though I was careful to get the curtain all right, I still flooded the floor. There were only 3 towels for the room and I hated to waste the &quot;spare&quot; on the floor to mop up the water. Water pressure was okay, plenty of hot water and there is a supply of soaps and lotions and shampoo.Room/bed: Nice layout with desk sitting area and then the flat panel TV. Comfy bed with a pillow top. Down comforter and pillows, soft sheets. Cozy for the weary traveler.Breakfast: No complimentary breakfast. Food was good and service great.Check out: Simple. Grab an airport shuttle at the front door and back to O'Hare.It looked like a nice location, the area was very clean, a nice area of the city. Obviously we didn't spend much time there.	
