	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
Jun 29 2009 	Wonderful service	I just returned from a business/pleasure trip to Chicago and had to comment on our stay at the InterContinental. After booking through a great rate via TravelZoo, I received a confirmation e-mail with an offer to send a note to the concierge with any requests. Because this trip coincided with our anniversary, I mentioned that fact when I requested we have a room on a high-floor of the hotel. When we checked in, not only had our request been granted, we also had been upgraded to a king suite! In addition, later that afternoon, we were sent a bottle of campagne, compliments of the hotel. Needless to say, we were very impressed with the hotel's service. Hope anyone who has the chance to visit Chicago and stay at the InterContinental can have an equally pleasant experience.	
Jun 24 2009 	Ideal location	What I loved: Stayed in the historic building (the hotel is two buildings conjoined - one old, one new) and our room was large and lovely. Bathroom had both a tub AND a shower. Beds were lovely with that &quot;sheet on the outside of the blanket and inside of the blanket&quot; thing going on, which is so nice. Pillows very comfortable. We LOVED LOVED LOVED the &quot;Eno&quot; wine bar downstairs - they do cheese, chocolate and wine only - how neat is that? We tasted a different flight each night we were there. Hotel is close to almost everything - just a couple blocks away from the river to catch the architecture tour; ON the millenium mile for great shopping, easy walking distance from the red line, easy walking distance from fantastic restaurants (we went to Frontera Grill and Cafe Grand Lux). Annoyances: Couldn't properly open the curtains to let light in the hotel room. Gym and computer usage were extra and pricey (altho I sprang for the gym and it was very well stocked with equipment). Pool area was beautiful - tho not quite as lovely as Swisshotel - where the pool has the best view in the city. Overall, would give Swisshotel the nod for their more beautiful view of the lake, but this hotel was still quite ideal.	
Jun 22 2009 	Awesome Wedding Anniversary Experience	We live in a Chicago suburb and wanted to have a special experience for our 43rd wedding anniversary, so we booked the Intercontinental on Michigan Avenue in Chicago. We planned visits to the art museum and the &quot;Jersey Boys.&quot; We arrived Friday evening. They gave us a really bad room initially, but after complaining, they upgraded us to the 20th floor with a view overlooking the Tribune Tower and Chicago River. When they learned it was our anniversary celebration, they provided Champaign and Chocolate. We had dinner at the hotel. It was a wonderful gourmet meal at a very reasonable price. The hotel staff was first class from the front desk to the parking garage. (My only negative is that parking here is $53 per night.) This is a wonderful property with a really world class group of people.	
Jun 21 2009 	excellent location great room if historic towerservice non-existing	Stayed there one week end of may. Location is unbeatable, as it is max. 10 minutes walking distance in each direction to all highlights on Michigan Ave. On arrival we had to specially request for luggage delivery to the room after 40 minutes waiting time. The booked room in historic tower was spacious, well-kept and nice for those liking old-world charme. Comfy beds. A bit on the dark side because of small window only because of historic building (1929), but in a city like Chicago you don't spend much time in-room. The marble bathroom was nice, practical and pleasant. We had a look into a room in the new part of the hotel: ok only if single- rooms are very small.On the negative side: staff is very indifferent toward guests and it is obvious that management, organisation, training is on the weak side. At the moment of check-out ask for a trial print: it is obvious that they try to put unjustified charges. We gave tips directly to breakfast site staff in cash. On the invoice there were unknown charges of 5 to 10 dollars for every day. The cashier: our machine puts those charges automatically....!After asking for charge documents signed by us the extra charges were taken off. Watch out for all extras like phone etc.- everything is extremely costly and sometimes doubtful.Breakfast offer was very good, especially the fresh fruits and berries and the croissants were of top quality and taste and so was the corner &quot;wine, cheese &amp; chocalates. .	
Jun 19 2009 	A perfect American Girl Weekend	My husband and our two granddaughters stayed at the Intercontinental in Chicago while visiting American Girl Place for a special birthday week-end for our granddaughter. The hotel was marvelous. We had a specious room and our granddaughters did not want to leave it. They played with their dolls and the special bed provided by the hotel for their doll and did not want to leave to go get supper. So we had room service which was just wonderful. The girls thought this was the best hotel ever. When the cookies and milk arrived, they thought they were in a &quot;very special place&quot;. The staff was just wonderful. They even provided a high chair for our American Girl dolls at breakfast. It was truly a week-end to remember. The Stegemollers from Indiana	
Jun 18 2009 	Great Experience!	Wonderful hotel, friendly and professional staff who were more than happy to assist you with any questions. Rooms were very clean and everything in working order. I would have liked a 3 way mirror in my room to see the back of my hair and dress. Parking was expensive at $53 a night, but the staff was pleasant and quick to retrieve your car. Perfect location for strolling out east to the lakefront or west for shopping. I will definitely be back.	
Jun 17 2009 	Great	Lovely room .Well furnished and very comfortable bed. Great view and location to all the down town activities. Fine staff. Take your swim suit; a must to be in the historic swimming pool. Can't wait to go back.	
Jun 15 2009 	Great Hotel -- Clean friendly and right in the middle of it all!	I found this hotel through hotwire and paid $104 a night (what a steal!). My friends and I were impressed with the lobby and our room. Everything was clean and neat. We liked the pool and we did pay the extra fee to use the fitness center. I enjoyed a rest in the sauna as well. One hint: park at the 24 hour lot behind the hotel. It will be cheaper for you than the valet service. Also, the transit system (trains, buses) were easy to get to. Overall, I would definitely return to this hotel if the price is right.	
Jun 15 2009 	Absolutely my new favorite place to stay in Chicago	I am 51 years old and I have stayed in many quality hotels, but none compare to the Intercontinental Chicago on Michigan Ave.. I can not say enough about the staff, they were just a pleasure. From the young lady at the check in counter, Stan the door man (what a treasure), Jose in the lounge was just wonderful (we stayed longer because he was such a joy), the concierge (which there was not one question that he could not answer right off the top of his head....I tested him often), and absolutely everyone there surely made you feel like you were home, but much better. The room was beautiful with an amazing view. I can not wait to get back there again....I am already planning to go back to Chicago.....just to experience another stay at this magnificent hotel. Hats off to all of you!!	
Jun 14 2009 	A good experience for the right price	We got to this hotel through Hotwire.com for 115 after tax... parking is 50 bucks a day which is insane and the rooms need some more touches. other than that the rooms were spacious. and have decent views. the pool is historic and the location of the hotel is great.	
Jun 14 2009 	Only average	We stayed here again for 2 nights at the beginning of June. We asked for a room in the old tower. It was acceptable; nice bed linens but dreary decor and antiquated air conditioning system. Staff were helpful although front desk staff were somewhat curt. An incorrect charge for breakfast had to be removed as our rate of $360 per night (including taxes) included it. We were surprised that a charge of $12.95 per day was made for internet access.Excellent location, nice building but typical American hotel chain atmosphere.	
Jun 13 2009 	Absolutely Fabulous!	The staff was very helpful and friendly. The room was recently updated, nice bathroom and T.V. It is a central location for sight seeing, shopping and dining. The overnight parking is a bit pricey 53.00 dollars unlimited in/out priv. If you have never been to Chicago like me, this is a great place to vacation.	
Jun 9 2009 	The Intercontinental was all you could ask and more!	The hotel is beautiful. It is clean. The employees are friendly and the service was great. All our needs were met and met with a smile. Thanks for a great experience!!!	
Jun 8 2009 	Perfect Location-Excellent Lodging	Girls' Weekend with family members was made even better by our stay at the InterContinental. Perfect location for shopping, lake views, museums, restaurants, theater, and parks. Hotel staff was friendly, professional, and responsive. Rooms were attractive, clean, and had all the amenities we needed. (Additional fee for internet use and fitness center). Hotel pool is rather Grecian; interesting change of pace. Although we didn't use the fitness center due to limited time, we toured and it appeared to have everything one would need to maintain a daily workout routine. We enjoyed a classy weekend in the windy city, appreciated the opportunity for discounted rate, and will definitely return to the InterContinental!	
Jun 8 2009 	Great Hotel on Michigan Avenue!	My husband and I had a fantastic experience at the InterContinental Hotel in downtown Chicago. We stayed for two nights. The location was perfect, on Michigan Avenue, close to the Chicago River. When we checked in, we asked if we could stay in the Historic Tower. They said that would cost extra. But while we were discussing whether we wanted to pay the $50 extra to upgrade, they just went ahead and comped the upgrade -- no charge! We got a corner room on the 17th floor. We could see a little bit of Lake Michigan, and a little bit of the river. I hear the views are even better on the 25th floor and higher, but we weren't going to complain. It was still a great view. The bed... was... heavenly! I can't remember when I've slept so well. The mattress was exceptionally comfortable, as were the pillows. We had a very large bathroom (very nice). And we used the robes and slippers that were provided. The staff was extraordinarily nice. One of the nights we made use of the very cozy bar located adjacent to the lobby. We will definitely stay here again in the future!	
Jun 7 2009 	Ideal location friendly service and good value ensured my return to this hotel	I stayed with two other friends for a &quot;girls' weekend&quot; at this hotel in February, '09. We got a very good &quot;Stimulus Package&quot; rate and were pleasantly surprised not only by the size and decor of our suite in the Historic Tower (bedroom and living room with a pullout bed), but with 2 bathrooms! The rooms were furnished with everything we needed for our comfort and the breakfast was excellent the next morning. Best of all, the hotel's location in the middle of the Magnificent Mile beats every other choice as far as we're concerned. We would definitely come here again.	
Jun 7 2009 	Great Location	This is my second time to stay at the Intercontinental in the past month. Both times the staff has been friendly and helpful. I found the location to be excellent on Michigan ave. The gym and pool are incredible for a hotel. The first time I have a better room. I believe I was in a business suite and the second time in a regular room. The regular room appeared to be less kept. The carpet was not cleaned by my standards. Also the first night I had to kill a few bugs in the bathroom. They were not present the first time I stayed here. In general it is a good hotel and a great location.	
Jun 6 2009 	Great location	The hotel is situated directly on the Magnificent Mile and yards away from the river, just walk out straight into the centre of Chicago. I managed to get a good rate through Hotwire, but the IC still honored my Ambassador status and upgraded me to a larger corner room in the Historic Tower with all other benefits. I was pleased with the large room and the two-way view to Downtown and Lake Michigan. Historic decor in this part of the hotel: I liked it but perhaps not to everyone's taste. Very comfortable bed, great power shower but a rather shallow bathtub and only average quality toiletries. The towels were not especially thick. Staff were very helpful, especially when my keycard stopped working 30 minutes before a late 4pm check-out: an immediate offer was made to extend the check-out to 5pm.The swimming pool is a must for its historic associations, but note that it is set up for lane swimming and may not be a suitable diversion for families with young children.The wireless internet is charged extra and was not particularly quick. I chose the $49 1-week option but was pleasantly surprised that the charge was automatically reduced to about $37 at the end of my 5-day stay.The Starbucks in the lobby offers a cheaper option for breakfast coffee and a bun.If you can get a good rate at this porperty, go for it.	
Jun 3 2009 	Ideal Hotel For Chicago Holiday	We stayed for 7 nights in the Intercontinental &amp; found it an excellent hotel in one of the best locations especially for first time visitors to Chicago.We got an great rate through Hotwire &amp; were delighted with our corner room on the 8th floor with views towards the river down Michigan Ave.Some previous reviews mentioned the rooms were small but we were quite happy &amp; everything was to a high standard and very clean.We were spoiled for choice with the selection of shops &amp; restaurants all within walking distance of the hotel ,did some serious retail therapy in Eddie Bowers directly across the road ,great bargains.Five minute walk to the boarding area for Wendella lake &amp; river tours -great trip,10min walk to the fab Millenium park,5 minutes to the House Of Blues for a great Sunday brunch -little touristy but had great fun, 3 blocks to the Red line metro which will get you to the theatre district in 5 minutes &amp; Wrigley Field or Celluar Field in 15 minutes,directly beside the stops for the free trolley to Navy Pier so we really couldnt have asked to be in a better location. Starbucks on the ground floor very handy for an early coffee &amp; a nice local bar Blackies directly behind the hotel.Because there are so many choices close to the hotel we never tried the hotel bars or restaurants .The only slight negative is the excessive hotel charge for wifi &amp; its not free in Starbucks either because it is owned by the hotel but just pop down to the apple store on Michigan.	
Jun 3 2009 	Says it's luxury but doesn't follow through.	The staff is friendly, almost to a fault. The superior room was nice with good space, but small details undercut the luxury atmosphere; the curtain was severely worn in a couple places, the iron sputtered rusty steam when turned on, and you could easily here the conversation of your neighbor. For a steep discount, it was worth it, but if I was looking for a luxury hotel, I'd book elsewhere. Oh, and it's the only hotel in Chicago where the internet isn't complimentary.	
Jun 3 2009	Intercontinental Chicago	We stayed there last summer for 5 days. I was not impressed with it. the first was that we were told on the phone when reserving that I had enough points which I had deliberately transfered into the account, to stay there for 2 days. i paid for the other 3 nights. When we got to the hotel, i was told this was not the case. We were made to wait in the lobby for nearly an hour and had to argue with a manager to make it right. So that was how our visit started. There were 5 times, at different times, promises made to call me back and noone ever did. I had to call President's Club to deal with it. Who needs to be annoyed like this when they are suppose to be on vacation? In the room: The speaker phone did not work. There was no turn down service on Sunday. The Pool has a very difficult way to get into it. There are no steps but a very difficult ladder to traverse to get in the pool. An elderly person in our party could not swim because ot the egress to the pool.the building is beautiful though.Their wine and cheese bar is lovely.The concierge was called by me 10 different times and never answered the phone Restaurant recommendations when I went to the concierge in person finally, were awful chain-type restaurants. One time we asked for a special birthday for an upscale French restaurant and instead got a French chain-fair food place which was crowded. A waiter at our chain type restaurant told us that our concierge did not know anything if they sent us to his restaurant and instead which should go to Les Nomades; we did the next night and that was fabulous. Overall, would not go back to the hotel. They have fabulous location but it is only good if you are getting a cheapy-cheap rate with a convention. Service was friendly but lousy. On way to airport, Limo service they ordered for us did not show up and we had to jump into a cab. We waited 40 minutes. he apparently finally arrived 45 minutes later than we had booked for. We would have missed our flight if we had waited for him.Wouldn't go back there, even though I am an Ambassador President's Club Member; maybe, just a maybe if it was free!!!	
Jun 2 2009 	Incomparable!	What a fabulous hotel! From its location directly on the Magnificant Mile and surrounded by the finest shopping, to the curtious staff and excellent restaurants and bars, this hotel is one of the best in Chicago. Our room was very clean and fresh, the public areas comfortable and the staff at the concierge and front desk very extremely helpful. This is the only place to stay to be in the cnetre of the action in Chicago. HIGHLY RECOMMENDED!	
May 31 2009 	Elegance and convenience	I was attending a training conference in Chicago and opted to book my own room thru one of the online discount programs rather than stay at the rather sterile and pedestrian hotel where the conference was being held. I booked 4 nights at the Intercontinental and was pleased with the elegance and convenient location (an easy walk to the conference). From the lobby to the rooms, this hotel lives up to it's storied reputation. (The indoor pool seems to be imported from the set of a Busby Berkeley movie!) And even tho' I was there for a conference, the hotel's location on the Mag Mile and a quick jaunt to restaurants and theaters, made for a very pleasant stay at a very affordable price.	
May 28 2009 	Great Wedding Weekend	We had a block of rooms and everyone in the group had an excellent experience. Service was friendly and attentive. Handy Starbucks in lobby and great wine bar in hotel. Nice big rooms with great views in historic building but with all the modern amenities like internet, hair dryers, irons, coffee makers, etc. Very nice pillows and linens. Incredible indoor pool. Location is superb; 1 block from river to pick up boat tours; 1 block from city tours; 1 block from water taxis to Navy Pier, aquarium, museums, etc. Can walk to Millenium Park, Art Institute, sightseeing, tons of shopping, restaurants, nightlife. Taxis out front any time. Easy walk to train. There were plenty of affordable and family friendly places to eat nearby. We loved having a suite to hang out and have snacks and drinks.	
May 27 2009 	We Can't Wait to Go Back	This was our first trip to Chicago. The service we experienced at the InterContinental was first rate. From the location to the early check-in to the Concierge, it was all top notch. We spoke to the Concierge daily and he never led us down the wrong path. We counted on him for breakfast, lunch, dinner, and travel routes. Not one time did he let us down.As far as location, I don't know how you can do much better. Right on the Mile and a couple of blocks from the River. Thank you from my wife and I for making this trip one that we will never forget!! See you soon!!	
May 26 2009 	Great Stay As Always	I've stayed at this hotel close to 10 times over the past few years, and they always provide excellent service and hospitality. For the price paid, I couldn't ask for a better hotel. Specifically, during my last visit -- Clean, well-attended lobby. Friendly staff. Efficient elevators. Comfortable room/bed. Pristine bathroom. The room was quiet throughout the night. I never heard a peep from my neighbors, despite it being a holiday weekend with plenty of guests. The lounge and the wine bar provided the same friendly service as the front desk. Both knew their menus well and made excellent recommendations. The great hospitality continued through the end of my stay. When I needed a late check-out, they provided it without hesitation. And when my bill had an incorrect charge, they removed it without question. Overall, it was a great stay. I'll gladly stay here on my next visit to Chicago.	
May 26 2009 	Wow what a beautiful hotel!	I stayed at the Intercontinental on a &quot;girls&quot; weekend, after attending a wedding in Wisconsin. The hotel is old, ornate, and very beautiful. The best thing for us was that it was in such a fantastic location! We could walk everywhere, and shopping very close to the hotel was great. We relied on the concierge several times for restaurant recommendations and reservations, and she was helpful and friendly. We were fortunate to be assigned to a corner room, which offered beautiful views of Michagan Avenue at night, and on the 24th floor it was pretty quiet. Beds were comfortable and the room was tastefully decorated. We booked on Hotwire and got a great rate, and others in my family used Priceline and we all got the same hotel - we were thrilled with our luck and couldn't have been happier with our visit. Be sure to see the fireworks on the Navy Pier if you can, and we took Shoreline Cruise out to the water and the view of Chicago and the fireworks is something I will always remember.	
May 26 2009 	view to die for	Arriving late in Chicago with a flight delay, we learned our booked hotel room was a smoking room, and there were no other rooms available that evening. Around the corner from our &quot;budget&quot; smoking accomodations, the InterContinental Chicago had a room in its historic tower. Our luck changed: while clearly not designed for a king bed, the room was extremely well appointed, with a highest end bathroom and a view of the Chicago skyline to die for. The concierge suggested late dining and breakfast restaurants within easy walking distance and w hich were just what we asked for. When we return to Chicago, this is where I want to stay.	
May 25 2009 	Luxury living along the mile	From the moment I walked into the hotel I was impressed. The reception was absolutely as pleasant as one can imagine. In and out in a couple of minutes and up to my room. I did go &quot;budget&quot; on the room but the room was great. Not a super view but I was there to sleep. The bed was fantastic. The room is incredibly quiet -- the only sounds being sirens that can occur at any hour. Road noise and hall noise was not an issue but we were in a corner away from the elevator.The room is not huge for two persons but we managed. The TV service was a bit clunky although the TV was a beautiful flat screen in HD. The bathroom is well appointed. We did not use room service.At the hotel we used the Starbucks, the bar, and the wine bar attached. The bar is pricy but so is all of Chicago! Watch out. $15 mixed drinks is the norm in the city. The wine bar was cute but not exceptional.The location is probably one of the best in Chicago. You can walk to just about any popular destination in minutes and you're along the mile...everything is found off the mile!	
May 25 2009 	Upgrades Not Worth the Bucks	I got a room at InterContinental in Chicago a few years ago. I was excited because my prom was there decades ago and I always remembered it being luxurious. Well I got to my &quot;four-star&quot; room and it looked like a Holiday Inn. I asked about upgrades and they showed me several rooms. I wasn't happy with any of them but had to pick one due to Hotwire. The room was NEVER cleaned for three days. The GM finally listened to me when I explained this is not a &quot;four star&quot; property. He put in my profile for a free suite upgrade. I saw the suites....not worth another round. Stayed at the Conrad across the street and should have never left.	
May 24 2009 	Classy and located in the power spot on Michigan ave. Off rack rates at $100!	Last minute rates on this 4+ star classic style hotel. Right in the middle of Michigan ave. Nice restaurant, work out room and very friendly and accomadating staff. I have done seminars here and the the little rooms are excellent with great catering food. This is your parents classy hotel not a hip trendy kind of place. Rooms are excellent, beds comfortable. I stayed here as a Hotwire last minute deal for $100!	
May 24 2009 	Amazing Hotel	I was thouroughly impressed with the service and quality of the Intercontinental Hotel in Chicago. The building itself is gorgeous and the ammenities they provide are comparable to the best 5 star hotels in the area. Its in the little things that Intercontinental Hotel really sets itself apart from other hotels. The bed and linens, the soaps and shampoos, and the towels, all are luxurious and of the finest quality. All rooms are equiped with large flat screen TVs! The hotel itself is gorgeous. There is a beautiful indoor swimming pool, a full gym, and multiple fine restaurants (i especially loved the Chocolate, Cheese, and Wine bar!) inside the facility. The service also is top rate. Everyone proved very helpful. The concierge service is especially helpful in recommending Chicago destinations and providing valuable information to all their guests, especially guests who are not familiar with Chicago.The best feature of the hotel is the locatation. It is ON the magnificiant mile, the heart of the shopping district of Chicago and only a few blocks away from the finest restaurants, museums, and other destinations.Overall I was more the satisfied with my stay at the Intercontinental Hotel in Chicago and would highly recommend it to anyone who travels to Chicago. I will definately visit again!	
May 20 2009 	A Totally Delightful Stay	From the time that their car picked us at Ohare to our delivery back to the airport, the stay was a delight. We were upgraded to a suite that had had previously been two rooms. It was a real treat to have two bathrooms in a hotel. Also it was a comfortable livingroom and a terrific bed.We were late for breakfast one morning, so they kindly served us in the bar and applied our credit. I found this a step beyond what they had to do.Finally, the service was warm, friendly and and available when we needed it!	
May 14 2009 	Great location for shopping and downtown!	My daughter and I went and stayed here for a mother/daughter weekend of shopping. The hotel was nice. The pool was very beautiful and water temp was great. We didn't try any of the restaurants but they looked busy and great atmospher. Room was small and nicely decorated. I had read the reviews of the rude staff and the mistakes in the mini bar but we didn't have any of that. The front desk staff was very kind and we were never charged anything but our room. We will be back in June for another stay but for a week this time. The best part of this hotel is definetly the location. Its is smack in the middle of everything downtown. Buses and trolley stop at the hotel. Subway is 2 or 3 blocks west.	
May 14 2009 	Dark room?	Nice hotel. We bought the tickets via Hotwire. Maybe because of the low rate we were given a room with both windows completely blocked by a brick wall on the outside. With a 7 hour time difference from Europe it is very hard to adjust when you can't see if it is night or day. After 2 days we complained (should have done it sooner), and we got a better room at a higher floor. But I'm still surprised that a 4,5 start hotel even has rooms with no daylight.	
May 12 2009 	Needing a evening desk clerk overhaul...	After spending hours being in an airport on standby, the last thing i need is a rude desk clerk checking in. Already being late to a ballgame i was heading to, i wanted to check in, change clothes, and get going. The young lady who checked me in, was short, rude, and extremely unfriendly handing my me keys and walking away regardless of whether i had questions or not. I needed directions to get to the United Center as fast as possible. She was not going to be the one to help me. The bellman out front of the hotel was very helpful everytime i needed help with transportation or to be pointed in the right direction. The bedspread in the room, was suppose to be white, but was dirty white, almost grey. For the numerous hundreds of dollars this property charges for their rooms, you would think they could keep blankets white. I am glad that my activities kept me happy, because this hotel didnt. i will not be staying here again nor will i tell anyone i know to stay here.	
May 11 2009 	Great Location and Accomodations	Location: Smack dab on the Michigan Mile. Halfway between Millenium Park and Water Tower mall.Hotel: Nice linens, pillows, clean rooms, nicely decorated, flat screen TV. Full-service Starbucks in the lobby. We paid $99/night via Hotwire. I'd pay up to $150/night and still think I'd gotten a good deal.Cons: Had to pay extra for internet access per day. Pay-per-view movies were $15. Parking is $53/day which I think is outrageous even for Chicago. There were several self-park lots a block away that were more reasonable ($36/24 hrs). Hotel food was pricey. For a 4+ star hotel, I would have thought they would have had more than single ply toilet paper!!The Grand Luxe restaurant a block down and across the street (above Ann Taylor) was outstanding in terms of views and food for breakfast.	
May 8 2009 	Lovely hotel great location incredibly slow check-in	This is about the fifth time I've stayed at this hotel to attend a conference. It's in a terrific location, and the rooms are very nice, but the check-in process was interminable. Between the time I first stood in line (about 2:30 p.m.) until I got the key to my room, almost 30 minutes had passed. I then had to wait another 20 minutes to get my luggage. If I had known that would take so long, I would have retrieved my luggage from the bell service where I stored it earlier that day before checking in.	
May 5 2009 	you can find better for less money	The rooms are very small compared to other American hotels. The room we stayed in had this very loud noise. We think it may have been the heating and cooling system. The noise &quot;boomed&quot; every few minutes. We stayed in room 2506. The location was good but not worth the money considering the size/noisy room. This hotel was reviewed to be 4 1/2 stars I've stayed in better 3 1/2-4 stars. I don't think is should be consider a 4 1/2 star in America maybe in another country. The fitness center has a cost of $16 and you have to swap a credit card for the use of the computers in the business center. I've never had to do that before so I was very disappointed and decided not to use the computer. The staff wasn't impressive but they were ok. The concierge service wasn't very helpful I've received better service in lower rated hotels. Overall, I think the hotel is overrated and a big disappointment.	
May 3 2009 	Best place to stay in Chicago!	I love this hotel. The staff is very helpful and responsive. It is centrally located and it is easy to get anywhere from the hotel. I was in Chicago for a convention and the shuttle service was convenient.The room would not cool down (I like my hotel rooms to be very cool) and the staff brought a floor fan which worked fine. Spent a lot of time in the bar and even though it was very busy, staff again, was attentive.	
Apr 30 2009 	Great place to stay!	While we only spent about 10 hours in this hotel (checked in @ 10p and out at 8am), everything was great. The front desk staff were pleasant and friendly, the common areas are beautiful, and the rooms (we were in the historic tower) were clean and comfortable. I would definitely recommend this hotel!	
Apr 29 2009 	Great Hotel - service room 	Service, room and laocation all outstanding. Hotel staff were very helpful without being overbearing. Room was very nice, yet amenities were pricey ($6.95 for half liter of water). Location was great, within walkiing distance to the Loop, Hancock center and Navy Pier. Bus station across street will take you to museums, aquarium and planitarium. West Egg Restuarant a few blocks down serves breakfast, lunch and dinner; great food and very reasonable. Hotel restaurant was too pricey for us but very nice. Starbucks in lobby was very handy.Only complaint was that they charged for use of the gym and internet service was outrageous ($9.95 for 15 minutes and $1.00 per sheet printed)	
Apr 27 2009 	Great Hotel - Great Location - Great Price	Stayed here for three nights with wife and two nine-year-old boys. Very nice hotel. Clean room and friendly staff. Old fashioned lap-pool but nice enough if you're not expecting a water park (we weren't). Good enough for the kids to practice their cannonballs! Awesome location. Walking distance from Hancock Tower, Ghirardelli, Giordano's Pizza, ESPN Zone and of course, the Billy Goat Tavern (cheezboogya, cheezboogya!!)We got an incredible deal via Priceline using the tips on Bet69terBidding.com. Parking can be a killer (as others have mentioned) but if you do your homework and are willing to walk a few blocks, you can find some alternative parking (I paid $69 total at a self-park garage for Sat, Sun and Mon nights).Would have been nice if high-speed wireless were free.	
Apr 25 2009 	Beautiful Hotel	Great hotel, perfect location, friendly and efficient staff. Starbucks on site, rooms are smallish but adequate. Beautiful pool and the building has great history, staff are passionate about the hotel and the history. Very efficient valet parking but expensive ($53 per 24 hours) - local parking is still $40 so you may as well stump up the extra $13.I would definitely stay here again, we got it on Hotwire for around $100!	
Apr 18 2009	For a 5-star Intercontinental just ok	Location perfect - right on North Michigan Av. We had a Standard room in the main building - room size pretty small but all in all ok. Swimmingpool is just a great disapointment. We´d pick the Hotel only if we´d get the same rate for $99 per night, otherwise we´d try antoher hotel (Sofitel, Sissotel, etc.).	
Apr 16 2009 	The intercontinental is an excellent hotel in every category	The hoel was in an excellent location. My room was very attractive and I found all the staff t be very friendly and helpful.	
Apr 12 2009 	Excellent Hotel in center of things	Would rate as a 4* +, with beautiful public areas . The location is outstanding, excellent restaurants of all price ranges and shopping in easy walking distance.Excellent large grocery store and liquor store, both within block of hotel. Bus service just outside door gets you to sights without expence of taxi. .Had very nice room in old section (the more expensive part of hotel), large room, very nicely furnished in a traditional style. We did bed and breakfast rate, which was a good deal, only slightly more than room without breakfast, but probably deal if only two persons. Good bath with both tub and shower, with high quality ameniteis and a good selection. Nice large towels. Hotels staff helpful in all areas. Good bed and pillows, although pillow menu promised never realized. The internet was very slow, probably because of full house with Information Teck personnel, but after we discussed it with front desk they removed charges (very nice). Excellent large HDTV, best TV have ever had in any hotel of any price range. Desk was large with plenty of electric plugs, but desk chair looked good was not too comfortable. Only negative part of stay was room was too warm even though outside tempature was in 30s. We kept window open and heat off entire 6 days and still almost too warm. They offered to move us, but maintance said it would be same temp in all rooms. The food was okay, bit on high side, but normal for this class of hotel, but with all the restaurants in area, not of concern. Did not have car but parking is $50 per day, valet only, but car not needed. Some public garages in area seemed to be in $30 day range, but no in and out.	
Apr 12 2009 	Great Hotel -- Great Location -- Great Price	Our family -- mom, dad, two girls 10 and 5 -- stayed here for three nights. The hotel is in a great location, right on Michigan avenue. Lots of stores and restaurants within easy walking distance. Beyond that, the El -- subway actually -- is only three blocks away on Grand Ave.Everything was exceptionally clean. Decor is attractive. We had great service, but only dealt with the staff at check-in, check-out, and at the fitness center.The pool was phenomenal. It's huge. A holdover from the hotel's days as an athletic club. The room has multiple tiers of seats and tables for parents watching their kids. Not much of a shallow end for the very little kids. No whirlpool.Price was great: Under $130/night for Wed-Thurs-Fri stay. Don't know how long downtown Chicago rates will stay that cheap. Probably until the economy improves.Only two slight negatives. (1) The room (two double beds) was very small. With two kids, it was sometimes a juggling act to get us moved around. We were in the &quot;new&quot; tower of the hotel. (2) The in-house restaurant was very expensive: $25 for breakfast buffet. But given the number of other restaurants around, that wasn't such a big deal. For a great breakfast, check out West Egg Cafe at Ontario &amp; Fairbanks, two blocks north and two blocks east. There was also a Starbucks in the lobby for coffee/snacks.Overall, I'd stay again in a heartbeat.	
Apr 9 2009 	Terrible Service	I stayed here for a business meeting in November. The stay was fine until I actually needed some help when I returned home in recovering a couple of blouses I accidentally left hanging in my bathroom when I left. These weren't run of the mill t-shirts or I'd have blown it off to my own stupidity, but rather expensive blouses. So I invested hours in calling around the hotel talking to Security, Housekeeping, and the Front Desk and got absolutely nowhere. Want to speak with a manager there? Hah - good luck. The operator is 6-Sigma trained on directing calls to anywhere but the managers who don't want to be bothered with mundane issues like customer service. Where could those shirts possibly have gone? Clearly they didn't walk out of the hotel and were set aside by someone. It's a decent place, but if you need special assistance with anything, you aren't likely to get it.	
Apr 8 2009 	Great Stay - Great Service	Great hotel and short cab to McCormick. Staff was extremely nice and service was prompt. Clean and comfortable for a decent price. I believe one of the nicer stays in Chicago. Great restaurants in walking distance! Breakfast buffet a little pricey but most are. Bar comes alive in the evenings.Very pleasant stay overall!	
Apr 5 2009 	Great location but alittle snubbed at the front desk	Cant say enough about the location. Right across from Nordstrom on the magnifcant mile. The room was alittle small but nice decorated. I really dont know why these places have the shower in the tub; its sooo much nicer to have a separate shower but no big deal, we were out and about more than we were staying in our room.The only real complaint, is that we wanted two double beds and were told over the phone we would get a non smoking room with two doubs, but when we checked in, the girl was very rude and placed us in a smoking room, telling us &quot;dont worry you cant smell the smoke&quot;. Thats such an insane comment to think that a room thats used 24/7 by people that smoke, and the smoke is embedded in the drapes and mattress etc, and she is trying to tell me I wont smell it. Well right when you walk off the elevator, it reeks with smoke!!! She didnt want to move us the next day and could careless about our comfort.. I asked for additional room keys and she looked at me like I was asking to have the moon moved for a better view. So great location, small but nice room, but front desk was rude and could careless about the costomer...	
