	There is nowhere else to stay but the Plaza Metro	Cleanliness, oh my! Our room was spotless when we arrived and everyday we would return to the smell of new linens and sanitized bathrooms. Location was perfect, it was near souvenirs and drinks and snacks. The Ambassador suite was beautiful and roomy, two balconies, two bathrooms, wow! Service spectacular, they delivered a three layer red velvet cake to us for our honeymoon. Value....no comparison. We booked this room through Amtrak at a huge discount…cabs 24-7 at the front door, late check out, a view to die for, on the bus route to the L and one block from the Greek food. The Plaza was great, it was one of the nicest hotels for cleanliness and service; I've ever stayed at. Thanks to all the staff for making our honeymoon so special. We will see you soon, because we are so coming back.	
Jul 6 2008 	Appreciated most by a tourist	I visited Chicago for the first time this July 4th weekend. It was SOOOO hard trying to decide which hotel location was the best. I was most interested in location rather than price or hotel chain. The Crowne Plaza Metro is wonderfully located for a tourist who wants an all-around experience without leaving the downtown area. It is located on the main &quot;Greektown&quot; street which primarily is several blocks of Greek restaurants (sit-down dining and fast food) and residences. On one side of the hotel is a Walgreens and the other side is Dominick's grocery store (subsidiary of Safeway). Sears Tower is about four short blocks away from the hotel in which you cross the Interstate and Chicago River.The hotel parking was $35/night but I parked across the street (west) and paid $20/night. At first, I thought &quot;Why did I rent a car when I could just take public transportation?&quot; but then there were a few times I'm glad I had the car to zip around the outskirts. Truly, though, there is no need for a car. The train is very inexpensive from O'Hare to downtown and the bus (Route 20) stops at the entrance of Dominick's and goes all the way to Millennium Park (the huge park next to the lake).One or two blocks south of the hotel Route 124 (or 126?) can also take you to generally the same block over by the park. I made the mistake of driving my car to the Sears Tower and parking in their parking facility. I was slapped with a $31 charge just to park for about 2 hours. Parking everywhere downtown (except for sparsely-available meters) was VERY expensive. It was the only negative about my whole trip.This hotel is clean and new and modern looking even though it's a renovated old structure. It's right next to the Interstate but well insulated so you can't hear noise. Also, there really isn't a perfectly-located room because you're going to see the John Hancock building on one side of the hotel and Sears Tower on the other no matter which room you choose. Every room has a balcony.It's best to go to the Sears Tower Observatory in the late afternoon because of where the sun shines on the buildings, and go in the morning to the John Hancock Observatory because of the same reason. Both observatories give you a different view and perspective. I was glad I took the &quot;Skyline Cruise&quot; from Navy Pier because the distant, all-incompassing view of the skyline was really neat. For the river cruise, I simply paid the water taxi price and used that trip to bring my from the Navy Pier back to Union Station where I got off and walked two blocks to the hotel. The river cruise was $30 which was basically narrated, but the one-way water taxi was only $6 for the same route and distance.Lastly, if I return I now know the Hotel Monaco, Hotel 71, or Holiday Inn or Westin right on the Chicago River would be the four I would choose based on price at the time. All four of those hotels seemed like THE BEST location for a second trip. But, the Crowne Plaza was the best for a first trip because I felt right outside of the skyscrapers but only steps away.	
Jul 1 2008 	Average	Nothing special. What we like about the hotel 1) Nice location 2) Clean rooms 3) Small extras in room were nice. ( Ex. Dream machine and plasma TV) Cons 1) Small hotel with no extras 2) Hostess at restaurant very rude 3) Car was parked 2 blocks from hotel 4) Staff rushed and unprofessional. They often made numerous comments they had booked 2 wedding receptions and were to busy to accommodate their guests.	
Jun 27 2008 	Upscale stay just a little west of the Loop.	This hotel is not quite in the Loop, just two blocks West right on the border of Greektown. Because of this you can get a top notch high class room without having to pay the ransom they demand by hotels in the Loop.The hotel had very nice staff and the room was very well done. It had upscale furnishings including a chaise lounge. It had all the Crowne Plaza sleep amenities and was very clean and comfortable.The bathroom was smallish, but had a very unique sliding glass door (made of frosted glass that you can't see through) which saved room. The faucet and shower heads were not standard but rather very unique and upscale. However, the ceiling to the shower was very low. If you are taller than 6'6&quot; you may not fit in the shower easily. (Also our double bedded room only had three towels and we had to ask for more).But the best asset of the hotel is its location to some less expensive and very unique dining options in Greek town just one block south of the hotel. There are no less than 15 Greek restaurants and some that are very high class within a three block walk from the hotel. The neighborhood is very safe and you are just a short walk from Union Station and the west side of the Loop. You can easily grab a taxi, hop on a bus or the El or do like we did, walk to the Chicago River and grab a water taxi to Navy Pier to get to the East Loop.	
Jun 20 2008 	Great hotel	My wife stayed here on a business trip to Chicago. Very nice room with a great view, large bed, and many &quot;extra&quot; ammenities. She encountered two &quot;small&quot; problems. The high-speed internet was anything but fast and the room was next to the elevators show it was a bit noisey. Overall, she was very pleased.	
May 23 2008 	Fabulous hidden gem	Just wanted to drop a quick review. I thoroughly enjoyed my stay at your hotel. While I was initially concerned tha ethe hotel was not located inside the &quot;Loop&quot; I realized the location actually was great as it located just west of the west loop and it was about a 8 minute walk to my meeting in the loop. I also enjoyed the terrific iews of the chicago skyline.Hope to be back soon!	
May 11 2008 	Great for Newbie	This was my first non-business trip to downtown Chicago. Took my teenage son for his first visit to the Windy City on his spring break. Wanted a safe, nice spot, with a touch of an upscale experience.This hotel delivered and offered a great rate. It is easy to drive to, on Madison Ave.a djacent to and (fortunately for me) visible from the John Kennedy Expressway. Very near Union Station and the Sears Tower. We were able to leave our car parked safely in the hotel's lot (there is a parking fee) and walk, use public transportation or cab (only a $7 fare to the theatre district.) We did the usual tourist stuff with this as our base--Art Institute, the Shedd, Sears Tower, Mag Mile, Millennium Park, saw &quot;Wicked&quot;, etc. Felt safe and always oriented. My son pointed out the hotel from the Sears Tower.The hotel itself was simply sophisticated. Upscale, but by no means pretentious. New mattresses. Crisp linens. We liked the neutral colors, granite surfaces, flat screen TV and shimmering view from our balcony. No wireless available in the room, but worked quite nicely in the comfortable lobby. Just the right touch of city polish for us.It was in &quot;Greektown&quot;, but we didn't have time to explore as we were doing all the newbie stuff. Will use this place again on our next visit and recommend as a good starting place for your family tour or business trip.	
Apr 27 2008 	Liked this hotel a lot!	This place was a nice surprise. The staff is very pleasant and accommodating. I arrived early with no notice and they had my room ready for me. The room itself was modern, comfortable and not too noisy. The expressway is right outside but all I heard of it was a white-noise type of rushing sound. The location is great - north end of Greektown and there are at least 10 Greek restaurants within two blocks. There's also a Walgreens to the south of the hotel and a Dominick's grocery to the north. At the Dominick's service center you can buy all all-day bus pass for $5. Otherwise, it's about 4 blocks east to the Loop - an easy walk. The only criticism - but I have this of all the downtown hotels - is the parking was $35 per day.	
Apr 18 2008 	Outstanding Service	I recently stayed at the Crowne Plaza Metro for a business conference and my stay was wonderful! The hotel rooms, while not very large, are very modern, clean, and comfy. What really made my stay great though was the service. The front desk was friendly and helpful, room service was fast and friendly, and the valet was great. - when I was ready to retrieve my car, the valet had my car to me in literally 2 minutes. I would certainly stay here again. The room was nice but nothing unique, however the price was well worth the outstanding service you receive!	
Apr 15 2008 	Great stay cool hotel!	Three of us stayed here for one night to see some of downtown Chicago. Rooms are smaller than usual but very well done with modern decor, more than enough storage, and plenty of lighting. Included a desk, chair, and lounger. We were not cramped at all. I think place is older and has been renovated recently. Bathrooms smaller too, but also well done with tiered counter and modern fixtures to make space. Balcony view of the city. We really enjoyed the design in the room. Staff was fantastic! Bar and restaurant seemed on the expensive side but the ambience very nice, we went to a grocery across the street for fresh pastries and coffee instead for breakfast (a Starbuck's was located inside the grocery too). Hotel sits perpendicular to I-90, so some traffic noise is expected, but not awful. A trip due east on W. Madison gets you to Millenium Park and Art Institute. More sites nearby too. Our stay was about $100 less than similar hotels nearby. Would stay again for sure.	
Apr 12 2008 	Great Hotel	I was here for business for a few days but will return and stay here again. The hotel was clean, with modern rooms and amenities. The staff was also pleasant. Great location-- about a $40 cab ride from O' Hare. Resturanr bar closed a bit early for a weeknight-- last call was at 10:30 for some reason--but there are several good restaurants within walking distance, plus a grocery store, 24 hour walgreens and a starbucks. Easy walk to the SearsTower if you're in the mood to tour the city via trolley or double-decker bus.	
Apr 7 2008 	Crowne Plaza was Great	My husband and I only stayed one night, for our anniversary. The staff were so kind to us...brought us a small cake when they came to turn down the bed. We were upgraded to a suite. Each room had its own balcony, which was great for viewing the city. We would definitely go back!!	
Mar 31 2008 	Wonderful hotel extremely comfortable rooms good location.	The hotel was extremely comfortable. The furnishings in the room were stylish, the bed was supremely comfortable, the decor was soothing and contemporary and the free internet was excellent. The neighborhood was in a good location - there was a Starbucks around the corner, and a large supermarket across the street and numerous Greek restaurants not too far away. The Loop is a short walk away and a nice stroll to Millenium Park. I'd stay here again if the rates are good. My only complaint was that there wasn't a mini-fridge in the room.	
Mar 8 2008 	Great Hotel Awesome Service!!!!!!	This hotel is absolutely great!!!!!! Close to all of Chicagos finest points SEARS TOWER, UNITED CENTER, MICHIGAN AVE, NAVY PIER. All these locations by cab cost no more than 7 dollars. Tons of cabs in the area the longest i waited for a cab was maybe 2 minutes the doormen are great. When i arrived at the hotel they made me feel like a king and that was great. Clean rooms, great restaurant downstairs, business center, fitness center and access to a swimming pool. Highly recommend this hotel. Only thing is they charge 50 dollars per night on top of your room rate for a damage deposit which is credit when you checkout. If you stay for 7 days make sure you have an additional 350 on your credit card to pay for Damage Deposit or else the pre-authorization will not go through on your credit card	
Feb 16 2008	Great Hotel best value	We had booked 50 rooms at this shotel for AACC Convention in July 2006 through www.findtripdeal.comWe really enjoyed this hotel the location was great and the hotel stuff was very helpful. They serve breakfast at Dime restaurant which is next to the hotel. The only thing I can complain was they didn’t have any wheel chair available when we needed for one of our group member who had a problem wih his back.	
Feb 10 2008 	Best Service in Town !	My family and I were recently in Chicago and stayed at the Crowne Plaza Metro in downtown Chicago. We were a little concerned initially because it was not located on Michigan Avenue (Manificent Mile). However, that concern was quickly eliminated from the moment we arrived. The hotel is a little deceiving from the outside, but once you arrive and walk into the lobby, you begin to realize just how incredible of a hotel it is. When we pulled up to the front of the hotel, we were quickly greeted by the doorman. He was upbeat and genuinely excited to see us. We were surprised by this greeting but it did not stop there. Upon entering the hotel, we were introduced to the desk clerk by the doorman. The clerk also warmly welcomed us to the hotel and began to check us in. While she was checking us in she mentioned information about the hotel and the surrounding area which made us begin to realize that we were still very close to where we originally wanted to be. We were escorted to our room by another gentleman who gave us even more information about the hotel and the facilities available. He was very kind and outgoing and before leaving us said that he would be available it we needed anything during our stay. The room was incredible and everything looked brand new. We had been told by the gentleman that brought us to our room that they had been open now for 3 years. Each room has a balcony and we had a perfect view of the skyline of the city. Unfortunately, since it was winter, we really did not have a chance to use it much but it offered a wonderful view from our room. We never got to see our room cleaner since we were gone most of the day, but this person did a fantastic job. Our room was spotless, but it seems that way every place we went in the hotel. We only took breakfast in the restaurant, but it was delicious and the staff there was just outstanding. They were so friendly and outgoing. It seemed that every person that we encountered in this hotel was very pleasant and happy. The service we received was outstanding. Every time we asked for something, it was done immediately and always with a smile. I can not begin to say enough about this hotel in Chicago. I definitely will stay here the next trip to Chicago.	
Jan 29 2008 	Great Suprise	Had the opportunity to stay in Chicago two weeks ago. A friend had stayed at the Crowne on business and suggetsed the hotel to me. Sure glad he did. What a great hotel! Rooms were retro trendy...lobby slick urban...restaurant great. Couldn't have been better...even met the general manager. Will stay there again in March. A real treat...	
Jan 26 2008	Noisy and dingy	The room I stayed in was directly over the freeway, so there was loud highway noise all night. [They did provide earplugs and a complicated &quot;sleep machine&quot; but I couldn't figure out how to work the latter.] The room itself was dimly lit and felt dingy and the TV controller worked only intermittently . The lobby was chic, but the rest of the hotel looked badly in need of a update -- the carpets looked old and worn, narrow corridors, etc. Skip this hotel -- there are much nicer properties for the money!	
Jan 6 2008 	Nice Hotel	I stayed here in November 2007 with my wife who was attending a conference. The conference had arranged hotel rates and we paid $201 + taxes per night, which I think was a fair rate but not spectacular value.The hotel does seem to be situated a little out on a limb location-wise but the property itself is pretty smart. We had a king bed room which was at the end of a corridor. It seems that the end rooms are slightly smaller than the normal ones due to having to pinch a bit of the space for the entryway.The hotel was last refurbished (whether it was new then or not I'm not sure) in 2005 so it still feels fresh and new. The room was an ok size but nothing spectacular, but the bed was comfortable and there was good desk space for working. The TV was a nice LCD one with a large screen. The bathroom was a little disappointing - the basin unit seemed to be something much more in keeping with a Holiday Inn Express, but this is a minor matter. The hotel restaurant is very good for breakfast and reasonable value too, certainly compared to UK prices - don't bother with the buffet, order something cheaper off the menu as this will fill you up nicely.The concierge was very helpful, getting a reservation last minute for 10 people at a nice seafood restaurant. All other staff were very professional too.The only thing I didn't like about the hotel was the air conditioning. It was far too noisy and kept me awake at night, hence the 4 blob rating.	
Dec 8 2007 	Great Hotel!	This is a great hotel! It is within blocks of Union Station. The rooms are very clean and spacious. The hotel definitely appeared to be recently remodeled. The staff is friendly enough. There is full-service restaurant in the hotel. It is a bit pricey, but then all restaurants in downtown Chicago are. I would definitely stay there again.	
Nov 19 2007 	Very nice hotel.	My husband and I stayed at Crowne Plaza Metro hotel the Chicago Marathon weekend (Oct 6-7, 2007) and loved our stay. I booked through a travel company for a package deal - marathon entry and hotel. It was not my first pick because of the location being west of highway 94, but it was all that was available and it turned out great. Taxi's were always available outside the hotel. We spent $35 on taxi's in two days, which normally we would spend only $10 on a Visitors CTA pass.The hotel is located right off the highway which was super convenient. Despite being next to the highway, I found the room was quiet. In fact, it's quieter than staying in the loop. Any other hotel I have stayed at in Chicago I've been woken up to sirens in the middle of the night, but not here. The highway was just a dull hum. Plus I never heard a door slam, another TV, phone or person, nothing. I never ran into anyone in the hallway. It is quiet.Walgreens drug store and Dominics grocery store were right next door. Greektown was a great place to eat and only a two block walk.The room was very nice and recently updated as everything in it seemed new. There's a nice size bathroom (good water pressure) and balcony. Loved the beds, pillows, and linens - very comfortable. At $252/night we about got what we paid for. For that price and location, breakfast should have been included and there should have been robes, slippers, chocolates &amp; wine. Which is what you get for that price in NYC at the Fitzpatrick Hotel.The only negatives were: 1. overnight parking cost of $35/night. 2. the doorman told us he was required to take our bags up, which I thought was a lie to get a tip. Even if it is a rule, I feel we are capable of carrying our own bags (my husband is built like a linebacker and I'm a marathon runner). 3. we ordered dinner in from a local Italian restaurant and it was very difficult to eat in the room without a table. 4. I didn't like that they made a carbon copy of my credit card. When I asked about it, the desk clerk said it would go up to accounting. I asked for how long, and he of course didn't have the answer to that and I didn't want to argue about it. I didn't think anyone made carbon copies any more.We liked our stay. It really was comfortable and enjoyable.	
Nov 13 2007 	Decent hotel but parking is extra (much extra)	The hotel itself is pretty nice for an inner-city hotel. The staff is polite, although rushed. Rooms are smaller than average, probably due to being in the city.My biggest complaint is that you pay a substantial amount for the room, then have to pay another $35 to be able to park there overnight! Are you SERIOUS?!?I'm more of a country type of person, so this was not a pleasant experience for me at all. I've stayed at hotels out away from the city which had a much more relaxed atmosphere. This was way too &quot;snobby&quot; for me. I definitely won't be back.	
Oct 29 2007	Illegally Charged Credit Card DON'T EVER STAY HERE!	They had my credit card on file from a previous stay and illegally charged it at a later date (months later) and will not remove the charges. The general manager Lenard is rude and doesn't not handle customers very well. I would not ever give this hotel your credit card information.	
Oct 25 2007 	good amenities lille off the beaten path	I've stayed at this property before Crowne Plaza refurbished. It is anice upgrade. The location is several blocks west of the loop and just at the north end of Greektown. Good food opportunities within the loop and in greektown, A Dominicks 24hour grocery store within the block (Starbucks inside). Rooms on the large side, comfortable and adequate. Immediate neighboorhood is a bit shabby, but didn't seem dangerous. We walk to the opera from here.	
Oct 9 2007 	Cute un-chain-like "Boutique-style" hotel	I've stayed here a few times. Interior lobby area is chic and stylish as are the rooms which are clean and with very comfortable beds. Parking is expensive ($35 a night!), but I'll give you a tip - park one block down next to the Walgreens for $20 for overnight parking (no in-and-out but you can sometimes negotiate that with the attendant and have even got a reduced rate for multiple nights). I find the staff friendly and I haven't been bothered by the freeway noise as mentioned here. All rooms do have little balconies. A ten-block walk down Madison will take you to State street where the theaters and Macy's (formerly Marshall Fields), Filene's Basement, H&amp;M, and other stores are(and the great restaurant in the Burnham Hotel). The restaurant at the CP is adequate, kind of comfort, diner food; had a great glass of wine. It's about an $8 cab ride or so to the heart of the Magnificent Mile.	
Oct 3 2007 	An amazing hotel experience	What a fantastic hotel. Recently built and has all the amenities of an upscale hotel for a great price. Even the soap and the shower head were stellar. Front desk attendants were incredibly helpful in locating a place to eat after hours and housekeeping staff was friendly and impeccable with their detail. The entire room was clean and the bed was impossible to get of in the morning - so comfortable. Flat screen TV and cordless phone in room along with free high-speed internet access. In downtown Chicago in Greek town.	
Sep 30 2007 	Noisy location obnoxious duty manager and beware parking !!!!!!!!!!	Stayed Saturday, Sunday, 15th/16th September.First time in Chicago, a great city.This hotel location is a bit out of the main city area and right next to the highway. Extremely noisy. Open your window at your peril.I have to say that the only decent staff members I came across were Mitchell the concierge and Paul the bartender who were nice and very helpful.Front desk staff were pretty miserable and the porters have a pretty crafty tip scheme going on. When we arrived the porter lifted our cases out of the cab and put them on his trolley to take up to our room.When we checked in and turned around he had been replaced by someone else. Two tips in five minutes !!!. very sharp guys.But my main gripe was with Jose the duty manager and the car parking guys on the Saturday evening. We had left the hotel in the late afternnon to visit some elderly old friends who live out of town and who we hadn't seen for many years.We had a real nice evening with them and they drove us back to the hotel and we asked them to drop in for a few minutes for quick nightcap On entering the hotel car park there was a sign stating 'Valet Parking Only. My friend gave his car to the valet and we went insidefor a drink. After around 40 minutes they came to leave and when he went to get his car he was asked if he had paid his $10 fee to the front desk. He pleaded ignorance and he didnt know about a fee.It would seem that there is a sign stating the charges but this is very 'conveniently' slightly angled facing in the same direction/away from drivers entering the car park and you would need to look backwards to see it. So you just get out and leave your car and you are caught hook line and sinker. The drivers certainly dont tell you anything about it. (Naughty) I said that I was resident and that they had only been there a very short time.I went into the hotel but had to cough up $10 before they would get him his car. Absolutely Shocking !!!This really upset my old friends and ruined our evening.Once they left I went to the front desk and spoke to the lady on duty. She stated that there was nothing she could do. I asked for the Duty Manager who was a guy called Jose.I explained the positionand suggested he refund the $10 due the our misunderstanding and the way thngs had been done. He said he couldn't and when I pressed the point he said quite strongly that he wouldn't refund it. I then said that we may consider checking out but he couldnt give a damn about that either. His attitude was obnoxious, brusque and downright cocky and not what I would expect from someone in his position.When I completed my comments card on checking out the guy on the desk said that the fee should really have been waived.It transpires that the hotel car park where the main portico stands does not belong to the hotel which I find very strange. Apparantly there is a private company who own it and make the charges.It is $35 to park overnight. That's one whole lotta cash for a few days.So will we stay hear again NO WAY. This hotel needs to give most staff some lessons in customer manners and service. The car park fees should be clearly displayed at the entrance and not craftily angled so that they are very difficult to see.	
Sep 20 2007 	Mixed Feelings about Crowne Plaza	Booked room at the Crowne Plaza Metro because The Allegro didin't have any rooms.On the Plus SideRoom was spacious and stylishly decoratedBathroom was good sizedEverything was very cleanRoom safe was large enough to hold laptopOn the Minus SideLots of traffic noise (all night) from the nearby highway - guests are provided ear plugs(!?!) to help them sleepPhone in my room did not workCalled front desk using my cell phone to report phone problem and they said they would send someone right up to check on it, but no one ever came Clock radio/CD player had about 15 different buttons and I could not figure out how to set the alarm	
Sep 15 2007 	Couldn't of been happier with Crowne Plaza	We stayed at Crowne Plaza Metro Labor Day Weekend 2007! We booked the hotel threw Priceline. Originally I was a bit skeptical because it was west of the expressway. However, after arriving in Chicago I was happy with our location and price. Check-in couldn't have been smoother! On the first night we had 2 double bed room on the third floor. They let up upgrade to a king room on the second night on the sixth floor. Both rooms were extremely nice. The ratings say it's a three star hotel. But, I disagree and I would say it's more like 4 stars. On the first night our room was supposedly smoking... but couldn't even tell! An extra plus was the balcony. How many hotels in Chicago have a balcony??? Not many! Service was also great. The bell man bent over backwards for us... or maybe it was our tipping!Great location to Greek town &amp; Little Italy, easy to catch the CTA buses, quick walk to Oprah's studio, and even to Sear's Tower. On the first day we walked all the way to Grant Park to Magnificent Mile and then back to hotel... Which is a long walk... Hence the blisters! I would definitely stay here again!!!	
Sep 10 2007	Pretty decent hotel would stay again!	This hotel is in a fairly decent location, basically in Greektown with restaurants and shops nearby. You are right by the highway, which does cause some noise though my group didn't find it unbearable. Being near the highway made it convenient for us driving into Chicago. The hotel is then about 5-6 blocks from an El train Blue Line stop into the Loop proper to go anywhere else in Chicago. We never felt unsafe in Greektown or on the train even with late night walking, at least in the areas we were in. Indeed, even late at night there seemed to be enough people around to not feel isolated. FInally, it is possible to walk to the Loop, though it's probably an easy mile to the Loop. It's probably two miles to Michigan Mile shoppingThe room is perhaps a little small, but not horribly so and pretty standard for downtown hotels. You also do get a balcony to look out from. They had a fairly clever way of dealing with a bathroom door that would otherwise take up space and be awkward to open and close out - they made the door a sliding door! Decor and amenities were nice and the bed was newer/comfortable. Maybe the only things I didn't care for is in regard to decor is: 1) there are halogen lights over the bed with switches on the wall (in addition to other lamps though you'd have to get out of bed to turn those on/off). These lights were either on or off - and pretty bright when on, and 2) the thermostat is digital and had a tendency to blink brightly on and off when other lights were turned out. The second night we took a cap and hung it on the thermostat to keep the room dark (though it didn't bother me).Staff was generally pretty pleasant and helpful, though the valet and night security was more so than the Front Desk themselves. Our requests were pretty quickly handled and that helped make for a good stay.Downsides include the second night we stayed there was a large group of handicap people in the hotel. This, of course, wasn't a problem just because they were handicapped but did cause delays on the elevators. I'm not sure, however, what could've been done for the guests - both connected to the group and not. There are no guest rooms on the first floor but perhaps the hotel could have scheduled different elevator service?Parking is expensive at $35/night, though it's the same price for valet or regular (other than tip, I suppose). Reading from other reviews, if/when I return I would consider looking for nearby options that are relatively less expensive. My guess is the hotel is taking advantage of people willing to pay for convenience.The hotel's other amenities - restaurant, business center, exercise room, etc. are all ones I cannot comment on as we didn't use them.Overall, I would stay again if in the area.	
Aug 26 2007 	Got bumped and this is where they sent us	We were trying to get home, and having a horrid day thanks to the air lines. After a nightmare that ended in being bump off the last flight before home, the Crown Plaza was where we were put up for the night.First the shuttle service to and from the airport is great. They have friendly helpful drivers. The bus is clean and comfortable. They make runs back and forth to the airport 24 hours a day at least every half hour.The people at the front desk checked us in very quickly. They knew of course that we had been bumped from our flight and not planning on staying there, and so offered all the help they could. My cell phone had almost died, and I had no way of re-charge it, so one the lady behind the desk gave me her phone charger to use until I had my phone back up.Our room on the fifth floor was lovely. There wasn't anything for a view, but at that point in my day all I wanted was long hot shower and a good night’s sleep. Speaking of which, the bed I believe must be fairly new and they were so very comfortable. Four fluffy pillows on each bed [we had room with two doubles], and wrap up in warmth white comforters. In the bath I found the biggest towels I’ve ever seen in a hotel. You could easily wrap them around with some left over. Ahh…All of this lead to good night rest and a much better look out on life at five the next morning when we had to get up to go back to airport. I loved the Crown Plaza.	
Aug 18 2007	Beautiful hotel Problem with noise	The rooms in the hotel are beautiful. Really modern and fabulous decorating. We stayed for 3 nights. However, at night, the noise coming in through the air-conditoner is terrible. You hear all the noises of the city. The hotel is located beside a highway. It was so noisy, we had 3 very poor nights sleep. The management obviously didn't soundproof the rooms at all.It's a beautiful hotel, but there is a really unusual problem with outside noise. (We were on the 8th floor) I wouldn't stay here again for this reason.	
Aug 14 2007 	Enjoyed the Crowne Plaza	We thoroughly enjoyed our stay. The hotel was very clean and the staff extremely friendly. The location was perfect for us to go to Lincoln Park, as well as the restaurants that are popular such as Rainforest Cafe, Hardrock Cafe, Ed Debevics and Gino's East. The only negative was parking which cost $35/night, but there was parking available across the Expressway for $20/night. We were very happy to have Dominic's and Walgreen's across the street for last minute items as well as groceries.	
Aug 5 2007	Very Nice Hotel	Stayed at this hotel for a Cubs game, and Milwaukee day trip and had a fantastic stay. The aneminities were amazing, the rooms were very cozy... the bar/restaraunt in the lobby was an extremely good time.Giordanos and Greek Town is within walking distance and there is a walgreens and dominicks right across the street.You are going to have to take a cab to certain areas of the city but it is definitly one of the nicer, laidback establishments in chicago!!! highly recomended and am wiling to be contacted for any other info.	
Jul 11 2007 	Nice hotel	I stayed 5 nights at the Crowne Plaza Chicago Metro, June 12 to June 17, 2007.I stayed in a standard room, non smoking with 2 queen size beds.It was a very nice room. It was clean, fresh, had a safe, had a comfortable bed, it was large enough for me, and it had a large bathroom.It had a nice flat screen TV and about 30 channels. My room was quiet and I could not here much of other guest during my stay at the Crowne Plaza Chicago Metro.It was good water pressure in the shower and it was 6 fast elevators, never any wait for the elevators. The air condition was a little loud, but was efficient making the room comfortable. It is just a few blocks to Greek Town of Chicago, and I went several times to Pegasus for both lunch and dinner.Behind the hotel it is a Walgreens and in front of the hotel there is a Dominick's grocery store, there you could buy water/sodas/ liquor/beer, fruits and sandwiches, very convenient. I used the business centre and Internet access was $5 for 30min. A little expensive but I was pleased with the service at the business centre. I was very pleased with my stay at Crowne Plaza Chicago Metro, and I would not mind staying at Crowne Plaza Chicago Metro the next time I am going to Chicago.	
Jul 11 2007 	Trendy and hip hotel	My fiance and I stayed at the Crowne Plaza Metro and was amazed. We came onto Trip Advisor before booking the reservation and saw that the hotel was newly renovated and had updated amenities. We were planning on attending the Taste of Chicago and wanted something that was within walking distance, but was not extremely expensive. We arrived from South Bend, Indiana on the South Shore train at their Millenium station on Randolph &amp; Michigan. We walked about 12-15 blocks to the hotel and it was not a bad walk at all. We didn't want to pay to $2 to get on a bus to the hotel when we were planning on getting the All day pass once we got there for $5. There was lots to see and additional people walking as well so we felt safe. When we arrived we did not wait in a long line and was given our keys within 10 minutes. The room was beautiful. Flat screen plasma tvs, opaque window doors to the bathroom, dimming lights...it was very trendy as a whole. The room was a little small, but for 2 people it was just fine. We were directed by concierge to Dominick's (literally across Madison street) to go and pick up a $5 All Day pass for the buses that you can use for 24 hours after you swipe it for the first time. HIGHLY RECOMMENDED!!! The different buses took us up and down Madison, Michigan, to Grant Park, and to Navy Pier. Buses ran about every 10 mins, which isn't bad. The parking lot next door to the hotel is a great way for friends to park that is cheaper than the hotel parking itself if there are certain events that friends or even you need parking. It is a safe establishment.As a whole our experience was wonderful and made easy. I recommend this hotel to anyone, especially anyone under the age of 30 (since it is such a trendy &quot;IKEA inspired&quot; hotel.) But be warned, when they say it is located in the Loop...it is far west loop.	
Jul 6 2007 	Great location	We just stayed there on a business trip and were pleasantly surprised by the quality of the room and facilities. The lobby &amp; rooms were very attractive, free in-room wired internet, no charge for local calls or 800-number access, good cable selections. The only drawbacks was that all parking was valet (even though the lot was directly in front of the hotel and we retrieved the car ourselves) and problems with our reservation (single king, non-smoking, high floor) that ended up being twins beds, fourth floor (at least it was non-smoking).The hotel is just inside Greek town, so you can walk south about two blocks and run into a series of great greek restaurants &amp; bakeries. There's also a walgreens and a domenici's (safeway) right next door for anything else you might need.	
May 29 2007 	This Hotel Is Great	I love this hotel.	
May 14 2007 	Ikea Chic cheaply contemporary but not bad	My partner and I stayed at the Metro Crowne Plaza this past weekend. It was nice, but not what I expect from a Crowne Plaza. It was more like a contemporary Holiday Inn Express. Think, Target or Ikea contemporary. The Internet requires a cord which is kind of a pain if you want to use your computer in bed. The website states marble bathrooms, which is what most Crowne Plazas have, this just has the standard tiled bathroom, thought the vanity has a kind of cool faucet, which is to the left side and kind of makes it odd when washing your face. Both light bulbs in one desk lamp were blown and the lights over the bed turn off at random. Over all this was a nice hotel though, however if you are looking for more luxury, I would recommend either the Allerton crowne plaza or the Intercontinental.	
Mar 6 2007 	Nice Location is the Only Thing worthwhile	I stayed at the Crowne Plaza Metro for three consecutive weeks for a business related function. The rooms are nice and I never experienced any problems with the housekeeping, but, these are the only things that were problem free. I always requested a King Bed No Smoking room on my reservations, but it seemed that every Monday when I checked in, all the Kind beds we already occupied. I know this was a load as I was with a group of 50 and there were people that checked in after me and got King beds. Of the 4 meals I ordered from the restaurant, 3 had problems and had to be returned. I finally gave up and started going down to Greek Town. As for the 'High-Speed' internet, dial-up is faster. The fitness facility is composed of two stationary bikes, 2 tread mills, two ellipticals and some dumbells. The pool that the website shows is actually two blocks East located in the Presidential Towers condominium. Now, you may think that this is not a real issue...think 500 people vying for the same equipment. Our group did get great rates, 109.00/night and I think we got about the same service.	
