	Room and service was horrible	When we arrived at the hotel we were properly greeted and taken up to our rooms. When we got into our room the furniture inside was stained and really beat up. The worst part of the room was the bathroom door. The bathroom was fitted with a sliding door that did not go into the wall but alongside it. The door had no lock and left about a 2-3 inch gap where if you walked by it you could see someone on the toilet. The concierge was not helpful on suggestions of restraunts or nightlife. The concierge told us that we were better off staying in our rooms since there was &quot;nothing to do in chicago after 10 pm&quot;. Our last night we ordered a movie and the quality of the movie was horrid (movie was pixelating and blurry) so we called down and I had to argue with the person at the front desk to have them credit us the money back for the movie after we had stopped it less than 5 minutes in. This is not a full service hotel we had to pay about 10 bucks for anything and everything. We had to pay about 12 dollars to have them bring us up extra glasses since the old ones were dirty and the maid did not switch them out. The only redeeming thing about my trip was the fun I had with my friends not the hotel.	
Jul 1 2009 	Excellent Choice!	My stay was excellent. Upon entering, someone immediately asked to assist with my luggage and another graciously parked the car. Hotel staff was extremely nice and helpful. The room was a bit on the small side, but very elegant. The only downfall is the bathroom door. Even when closed, you can still see inside. If you are with a group or having visitors and do not want to use the bathroom inside the room because of the door, I know that there is a woman’s bathroom located on the 6th floor (not sure about one for men). It is also across the street from Grant Park and one black away from where the trolley tours make a stop (at Hilton).	
Jun 29 2009 	Absolutely the Best Hotel in Chicago with the Nicest Staff	We were in Chicago for my teenager to check out Columbia College. The Blackstone looked like the closest hotel and I noticed that it had recently been renovated. It was beautiful! The room was large, the beds were so comfy and the staff were happy to help with anything we asked of them. Room service cuts off at 10 though...so order early or take a walk to a nearby restaurant. The location is superb. It's right across from Grant Park and about a 10 minute (slow walker) walk to Millenium Park.	
Jun 17 2009 	Great area of town nice historic hotel	We pulled up and they were on us like flys at a picnic, one was helping with the luggage, the other was parking the truck. We stayed two nights, paid $125 on priceline, which I thought was a good price. Asked several times during our stay for local information and the staff was very friendly and knew exactly where we needed to go based on our description of what we were looking for. This is within walking distance of several great Chicago landmarks. Upon check in, I asked for a city view, which they graciously granted! This is a great property. Room was recently updated, not the biggest room, but plenty of room for my wife and I. We didn't eat in the hotel, but the restaurant was packed most of the time we were there. Very classy place.	
Jun 16 2009	Beautiful hotel ok location personable but unknowledgable staff.	My daughter and I went for a 3 day weekend for a wedding. We arrived on Friday afternoon. We felt welcome from the moment we arrived. We were greeted by friendly doormen who opened the cab door for us and took our luggage inside. We checked in, went to our room which was on the 7th floor. Snacks and drinks were provided for an extra charge, which we did not use. I noticed coffee and tea but found it strange that sweetner and creamer were not provided. We loved the actual room. Nice big bed, great desk and chair, but I can honestly say the bathroom design/layout was lousy. It reminded me of the MGM Grand in Las Vegas. Must be the same architect. You absolutely have no privacy with these bathrooms. Everything is all in one room. The bathroom door just slides over the opening, doesn't shut. Therefore, anybody sitting in the bedroom area can hear everything that is going on in the bathroom. You might as well leave the door open. There was no purpose in it at all. Very odd. The shower was nice and big, but again, no door which is ok except water gets everywhere on the floor. I think the toilet should always be separate from the rest of the bathroom. Never can 2 people get ready at the same time. Would be embarassing if you had a guest visiting with you in your room and then someone used the bathroom. You would hear it all. Poor design, Blackstone. My daughter and I would joke about it and whoever needed to use the bathroom, then the other would wait on the bed and had to turn the TV on to make some distraction noise!!! We were happily surprised by the Blues Fest we came across at Grant Park which was across the street. Location was fine, but noisy for sure. The staff was friendly but not well informed as they should be about directions and restaurants. We asked where we should go for famous Chicago pizza and we were given directions and never found the place. This happened 3 different times. I asked about Italian Beef sandwiches and nobody had a clue as to where to get those (Chicago is famous for them) and on my last day walking around, there was a restaurant within one block of the hotel that had them. I would think they would know this. They told us how to take the bus which was $2.25/each person but did not inform us that for only $5.75 you could purchase a day pass and ride all you wanted to. We learned this the last day as well and wasted money because we were not informed of this. It's a college area and safe and fun. But next time, I would stay some place else closer to the shops and I would make sure the bathrooms were a bit more private. Just my thing, I guess!	
Jun 15 2009 	Nice hotel	The hotel was really nice. My room was decorated really nicely. The bed was comfortable. Nice toiletries. The location was great. Easy walk to restaurants and the museum area. The staff was very friendly. The room service was over priced but otherwise I really liked this hotel.	
Jun 15 2009 	Very nice but a little lacking	This is a charming property with an interesting juxtaposition of modern decorating on a historic foundation. We were delighted to hear a little of the hotel history while on our Gray Line bus tour of the city. I booked this hotel for $115 on Priceline--surely a good deal--but was disappointed to get short shrift on service. It is not the first time that I felt I have gotten second-citizen treatment when dealing with a Priceline reservation. I called four times in the course of two weeks, six weeks in advance of the trip, to request a room with two beds; only on the fourth call did someone actually put my request in the system. Upon early check-in, however, I was given only a king room with the promise of a rollaway. Come our return to the room at 11:30 pm, no rollaway had been added to the room. Upon visiting the front desk, I was told that a rollaway would not fit in the room because of fire codes, that there were no rollaways left, and that there were no other rooms available. Finally, I was given the use of a &quot;parlor room&quot;--essentially a meeting room on another floor that had a fold-out couch. I was happy for some accomodation after the broken promise but overall disappointed that we could not have gotten a two-bed room to begin with. The hotel was clean and the rooms were comfortable. The maid service was only fair, despite good tipping; the half-empty toiletries were not replenished after the first night. At checkout my room was given someone else's mini-bar charges, an error that was corrected with a phone call. Overall, this is a hotel with great character that could use a little improvement on the personnel front.	
Jun 15 2009 	Are you kidding me?	When we arrived at the hotel at 11:30pm, the front desk staff informed us that our room was no longer available (we had confirmed our reservation earlier in the day and made &amp; paid for the reservation 3 months ago). The customer service was much below the standards of a hotel that is affiliated with Marriott which follows the values of &quot;Do Whatever it Takes to Take Care of the Customer&quot; We were told that the Blackstone would accommodate us at another hotel, however this hotel would be near O’Hare airport. We live about 45 miles south of Chicago so this would have made no sense. Our night was ruined on the account of Blackstone Hotel. We were planning on spending the weekend in Chicago and this could no longer happen. The manager said we would be reimbursed for our room and we were given money for a cab ride home. The staff did not seem a bit apologetic for their mistakes. I was so angry, and I couldnt believe when a security guard came to me and said he would escort me out if I didnt calm down!! Didnt I have every right to be angry!? UNBELIEVABLE!	
Jun 7 2009 	Re-born but not yet mature!	The good bits first - friendly check-in staff, modern rooms with a boutique hotel feel, superbly comfortable bed, shower (no bath), small rooms (even though we apparently had a slightly larger one). To be honest ,taken at face value this hotel is fine - the problems occur when you scratch the surface. It's apparently a 4 star hotel (sadly the girl on reception didn't know this). We requested and paid for a lake-view room and sure enough our room faced the lake but - when the room was re-designed the TV was put bang slap in the middle of the window - completely obscuring the wonderful view - even the staff were bemused by this and no, neither the desk nor TV could be moved - both firmly screwed down. Apparently some rooms have TV's on the wall - well I never! There were none of the things you would expect to find in a 4 star hotel - no one offered to help with our bags (saved on the tip I guess), no writing paper or sewing kit, cheap toiletries (thankfully we had our own). I believe this is a Marriott - it certainly feels like a fairly typical US Marriott albeit wearing a nice frock. There is a very small rather dingy bar which smelled rather damp and a Tapas bar with an award winning chef but sadly it just didn't seem appetising (fortunately Chicago is awash with great eateries).So with no view to admire we decided to indulge in a cup of coffee in the bar - oh no we couldn't: not in the bar, not even in the lobby even though it was only 5pm on a Saturday. The on-sight Starbucks - allegedly open till 8pm closes at 5pm (staff know this but haven't changed room info). We were told we could only have coffee via room service or The Hilton opposite - and you know what - if you're planning on a trip to Chicago we suggest that's where you go - we could have got a better rate for Hilton - we will go back to Chicago it's a truly amazing city, but not to Blackstone there are simply too many better hotels for the same or less dosh.	
May 27 2009 	Great hotel but...	We stayed at the Blackstone over Memorial Day weekend. Paid $99 a night through a Travelzoo promotion. Without a doubt, one of the great bargains in Chicago. While the hotel itself was 5 star, the maid service was 1 star. In spite of generous tips each morning, the only sign a maid had been in the room was a made bed and clean towels. Everything else was basically the same. We even called for a re-clean one night while we were out for dinner and the only thing we noticed was the radio on playing soothing music and chocolates on our bed. The floor still had not been vacuumed. Had we been paying nearly $180 a night, like our friends, I would have been very disappointed in the experience, but at $99 even with marginal cleaning, the Blackstone is a great deal.	
May 26 2009 	Pleasant Annversary	I booked this room for $99 through expedia.com. I think by far the best deal I have ever gotten on a hotel. This is a very nice and elegant hotel with a great decor. We stayed night in the city for our anniversary and had a pleasant evening. We were not there very long, and did not require any service from the hotel, so that is something I can not comment to much on. The hotel has a very good location next to Grant Park, we took a nice evening stroll and heard part of a jazz concert. It has an excellent tapas restaurant. 2 things people may want to know in advance are that on each floor the of the 10 or so rooms 4 rooms face the lake/park. The other thing is the bathroom is basically open to the rest of the room. There is a frosted glass door that slides shut to partially obscures the view. This is fine if you are with your spouse or alone, but may not be what you want to share with your children. There is no shower door in the bathroom, so turn up the heat while taking a shower.I would greatly recommend this hotel, but would just advise you know what you are getting.	
May 18 2009 	Beautiful Classic Historic Perfect!	My wife and I stayed for a nice weekend the first part of May. We had booked at Marriott.com and saved nearly $50 by paying in advance. The hotel was in an excellent location, just four blocks away from the Orange and Red line station. Our room looked over Michigan Avenue and had a terrific view of Buckingham Fountain and Lake Michigan. Buddy Guy's Legends is a quick 5 minute walk and it is very easy to walk to such sights as the Sears Tower, musuem, Soldier Field and other sights.There were only three 'negative' that I can think of. The bathroom door is just a slider and doesn't provide the ideal amount of privacy....not a big deal but I can see how some people would be bothered by that. Parking was the other issue. As in most of downtown Chicago, parking is expensive and it was $47/day for parking with in and out privileges. We got lucky however and found parking in an open lot one block west of the hotel. $13/day but it was an unsecured lot. We had a rental car so were not too concerned but in inclement weather or having a higher end vehicle, you may want to consider the parking on site. The hotel did have a free 'business center' which is great but it only has two computers and during our stay, the printers were not working.	
May 17 2009 	Absolutely first rate	This hotel is classy, luxurious and modern chic all in one. I loved it. The rooms are fairly spacious and the bathrooms are quite large (although not really &quot;private&quot;). Showers are totally open and the bathroom door was more of mini-blind. The amenities are nice, but not over the top. It’s a bit farther from the action of the River North or Magnificent Mile than I would prefer, but it was close to the conventions at McCormick Place. In terms of hotels in Chicago, this one has been the best.I was hosting a morning breakfast at the hotel early in the morning and had a bit of crisis the night before. The staff stayed late (until almost 11:30pm) to accomodate my last minute changes to the meeting plan.More on my time in Chicago:http://justanothertravelblog.blogspot.com/2009/05/chicago-illinois.html	
May 14 2009 	Great Physical Plant Staff Needs Help	We love Renaissance hotels, but had some serious service issues at the Blackstone. Here is a part of the letter we sent them describing the problems we encountered.Although our flight was delayed in San Francisco, I phoned the Blackstone from the tarmac @ SFO and advised the front desk that we would be arriving on the date reserved, but without the early check-in as previously arranged months ago.They said that would be fine. When our plane touched down @ O'Hare, I called the Blackstone and was put on hold. My call was not picked up, so I called again from the taxi en route to the Blackstone to be told our room had been sold and there was no room of any kind available in the hotel. I requested assisted in seeking a room at a comparable hotel and was told by the front desk manager that this was not possible.Our reservation had been made (as I mentioned) months earlier and comfirmed prior to our departure from San Francisco, We were instructed by the front desk manager to proceed to the downtown Marriott (not the same hotel class as the Renaissance), where a room would be waiting for us...when we arrived at the Marriott, they had never heard of us and weren't very friendly about it. Finally, after much ado, they gave us a room. We were told by the Blackstone that a room would be ready for us at the Blackstone the next morning....it wasn't. After the Marriott staff came to our door and told us we had exceeded check-out time, we took a taxi to the Blackstone (never reimbursed by the Blackstone). They held our lugggage, and we went out to kill time,...... when we returned, a room was finally available. We were told we were given an upgrade. (I don't think it was an upgrade, as the room had no bath tub and looked like the picture of the one we had reserved months ago). When I called after seeing there was no bath tub, we were told no room with a lake view and two beds (and a bathtub), existed in the entire hotel.....it's a 300+ room hotel.There were problems with getting the room cleaned in a timely manner, at one point, I found myself carrying out room service trays (you will find room service to be slow) and trying to straighten out the room before my husband got back from his business meeting in the late afternoon....something I have never had to do previously, regardless of hotel class.We are not demanding people, but in my opinion, we were rather badly and patronizingly handled by hotel staff. I was a little fearful that issues like this might occur when I saw on tripadvisor that someone else had to find their own parking at the Hilton without much help from Blackstone staff shortly after grand opening following the renovation.We have stayed at the Renaissance Chancery Court in London and have always had a flawless stay there, which is why we selected the Blackston when we were on business in Chicago.	
May 8 2009 	Very Posh - just a little noisy.	Not your average hotel. This is probably the best hotel I've ever stayed at. Would definitely recommend for anyone wanting to stay in downtown Chicago. The fitness center had the newest and best equipment: tv screens with ipod ports on every treadmill/elliptical.	
May 6 2009 	Very nice downtown Chicago hotel	We stayed for one night (a Sunday night) at the Blackstone during a May, 2009 trip to Chicago. Upon arrival, we learned that the valet parking service at the Blackstone is slightly more expensive than the self-parking at the Hilton parking garage across the street - which was still pricey but not as bad.We found the staff at the Blackstone to be friendly and helpful. Our room (a basic king bed room) was very nice, clean, and comfortable. One of the lights over the bed did not work, but we didn't report it. The bathroom is really nice (marble and such) but we weren't too impressed with the modern shower head - just not enough water pressure for our liking, I guess. The towels and bed linens were all top notch.For wireless internet users, it's going to cost you $14.95 per day to use it in your room, however in the lobby area it is free. We just took our laptop down to the Starbucks that is attached to the lobby and used it there with no problem.Checkout went smoothly and there was no problem with storing our bags for the day while we shopped downtown before heading home.We got an amazing rate on our room so I was MORE than happy to be staying at the Blackstone, however, when I looked up what the normal rates are, I have to say that I don't think I would pay THAT much to stay there. But it was very nice and no major problems to report.	
May 5 2009 	Great hotel in an ideal location	After reading all of the great reviews, my wife and I decided to stay at the Blackstone. As one would expect from a Renaissance property, the hotel is well-appointed and has a very friendly and service-oriented staff. The location is one of the best features of the hotel. Located right next to beautiful Grant Park and Lake Michigan, it is an ideal place to go for a stroll. Located as it is a little south of the prime shopping district, the hotel is away from a lot of the hustle and bustle while still located in a fantastic area convenient to many attractions and sights.As for the hotel itself, the lobby is beautifully decorated. Also, the fitness center is simply the best I've ever seen at a hotel and includes many state-of-the-art cardiovasular machines. The rooms are likewise very nice. Though the historic nature of the property is evident -- some worn areas on the wallpaper and molding, etc. -- every effort has been made to create tasteful and luxurious rooms. There was a high-definition flat screen TV, a very comfortable bed, and some nice touches including some books about Chicago. The only issue we had was with the bathrooms. Maybe it's picky, but the door to the bathroom is a sliding door and doesn't slide all the way closed. Also, the shower didn't have a door that closed all the way -- causing water to spill onto the bathroom floor.Overall, though, this is a great hotel that is convenient to a lot of attractions in Chicago. Hint: request a lakeview room.	
Apr 23 2009 	Beautiful but small	I booked a special &quot;anniversary rate&quot; on the club level of the restored Blackstone Renaissance Hotel to celebrate my husband's birthday. The information given me by reservations was incorrect, especially about the club level details (complimentary cocktails - NOT) and I specifically requested to know the size of the room, and was quoted 390 sqft. Upon checking in, we were given a corner lake view room as requested on the club level. We we arrived at the room, about 1/3 of the square footage was a long hallway. The decor resembles a W rather than a Renaissance, but it was new, beautiful and clean. There was a very comfortable king sized bed, and a desk under the flat screen TV. There was a chair stuck in next to the desk, but there was no place to read or watch the TV other than the bed. We were there to enjoy our stay at the hotel, and since it was raining and we live in Chicago, we were there more for the hotel than the sights. It was very disappointing. Another non view room had been prepared for us with our Marriott preferences, and when the desk clerk changed the room to the requested lake view, he set someone up with the additional pillows. Someone from housekeeping arrived with a refrigerator (no room for that - we sent it away!) and one king sized pillow in a dirty standard pillowcase. I called the front desk to ask for the rest of our down pillows, and the housekeeping manager showed up and said that the king sized pillow wasn't even from their hotel - Very Strange!!  When speaking to the front desk about a room change, we were informed that the historic landmarking prevented changes on the inside of the hotel, and they were not even allowed to put in a pool. So, although it is a beautiful restoration, we felt there was more room in the rain showered bath than the room itself. Needless to say, we checked out a day early.	
Apr 18 2009 	Lakeview rooms are fantastic!	I surprised my (stressed) hubby with a trip to Chicago and we stayed at the Blackstone. I wasn't sure what to expect, but was pleasantly surprised when we walked into the hotel... and then our room. Fantastic hotel, very clean, great location (convenient to many attractions), great price! We will definitely be staying there on future visits.	
Apr 14 2009 	Great hotel but bathroom is not private!	No complaints, except for the bathroom door in our hotel room. It is a sliding door, and when the door is &quot;closed&quot;, you can still see in through the sides of the door - really bizarre; great for voyeurs. I don't know who designed this door, but they weren't thinking of the guests' privacy.	
Apr 13 2009 	Great hotel great service	My 17 year old daughter and I stayed at the hotel for two nights as we searched for colleges for her. The Blackstone is great. The location on Michigan Ave. is close to Grant Park, it is only a couple of blocks from the El, and if you are a walker, you can walk to many locations. The staff was always friendly and helpful, especially the bellmen. The rooms are modern and unique--they don't look like typical hotel rooms. The beds are comfy, the TV is great. Having a Starbucks in the building makes for a quick breakfast if needed. All in all, a great stay.	
Apr 12 2009 	If I could live at The Blackstone I would!!!	WOW!!! What a GREAT find! I just returned from a wonderful trip to Chicago and staying at The Blackstone was definitely a highlight! From the moment we arrived we received nothing but top of the line service.....every person on the staff was over the top friendly, courteous and helpful. The rooms were SPACIOUS and GORGEOUS. Obviously recently updated, our room had a marble entry and bathroom, the beds had down comforters, a plasma TV on the wall, and plenty of room to spread out! It was quiet and very clean. There is a nice business center with two computers with free internet access and printers (this was great to research directions or restaurants). It is directly across the street from Grant Park and there are a few eateries within a few blocks. One night we came back to the hotel late (around 11pm or so) and wanted to order pizza.....the woman at the front desk provided us with three different brochures of nearby places that deliver! Our midnight snack was delicious! As far as getting around, the subway is about 2 blocks away, however we found that the buses were super convenient and easy to use.....or, we walked! We were two single gals traveling together and we never felt unsafe anywhere around the hotel (or, anywhere in Chicago). We paid $99/night in mid-April for two queen beds.....what a steal! I even booked on the Marriott website so I didn't have to pre-pay and could cancel up until 4pm on our arrival date if needs be. Luckily that wasn't the case! We were told by a local that this hotel used to fall into the &quot;seedy&quot; category, however it was recently purchased by Marriott and they are trying to turn around it's previous reputation. So far, I believe they are doing a FABULOUS job!!! I would HIGHLY recommend this property to anyone staying in Chicago.....a great hotel and great location!	
Mar 29 2009 	A hotel to make you smile	My husband and I traveled to the Blackstone during the week while he attended a show at the conference center. What an amazing experience it was at the Blackstone. From the moment we arrived, the valet and bellboy staff were so friendly....to the check-in desk (who certainly had their hands full with so many people checking in at one time). They were extremely efficient to get us in quickly! The lobby had such a unique vibe to it that carried throughout the hotel....upscale, classy, yet in a truly funky way! Our room was really nice....not a terrific view, but that wasn't a concern. The room we had was pretty narrow, but long. The room was furnished in highly contemporary and modern furnishings. The bed was amazingly comfortable! I loved the books that they had on the bookshelves to read while I was there. The bathroom was pretty unique with a shower stall which was just a clear glass wall. The best part of the hotel was the elevators....one thing I'll never forget. You couldn't help but smile in the morning when you went in them with not your typical elevator music....rather, upbeat dance music! We'll definitely stay here again! Great location, too, within walking distance of an incredible breakfast place (Yolk) and a corner cafe/deli.	
Mar 26 2009 	Great stay	Was staying in town for business and attending a convention at McCormick. This hotel was a 7 minute bus ride (bus provided by the convention which stopped at the Hilton located next door). The staff was very helpful, rooms were spacious and clean with a contempory feel. Had a wonderful view of the lake.	
Mar 26 2009	Interesting historic hotel with a funky modern update	This is a great hotel if you don't want to be right in the middle of shopping and would rather be closer to museums, universities, etc. Do ask for a room with a view and you will wake up to Grant Park and Lake Michigan. Everything about this hotel is unique (including the metallic gold tufted couches in the lobby). The rooms are very modern and have tremendous bathrooms. There's a Starbuck's in the lobby and a great tapas restaurant. Parking was expensive, but it's expensive everywhere in downtown Chicago. My daughter and I walked to shopping and restaurants and saw the Chicago River turn green. It was a great place.	
Mar 21 2009 	Every staff member made you feel welcome	I went to the AORN Congress this last week and stayed at the Blackstone. I purchased my room through Priceline so I feel the value was exceptional. The room was beautiful with a nice bathroom and rainfall shower. The service is what puts this hotel above many others. The staff was fantastic. I was made to feel welcome and valued as a customer. The location is great with most attractions within a $7 cab ride or within walking distance. Shedd Aquarium, Field Museum, the planetarium, Navy Pier, and the Magnificent Mile. The food at the Blackstone was good if not a little expensive. I paid $16 for a sandwich via room service but what I got was so big it was lunch and dinner. I highly recommend the Blackstone when staying in Chicago, I know I will go back.	
Mar 19 2009 	Awesome historical hotel with a modern twist...	This hotel was amazing. The location is right on Michigan Ave (on one end) so you can walk all along it for great restaurants, shopping and sightseeing. In terms of the hotel itself, the decor is very trendy, while still maintaining its historical facade. Everything seemed very new and well maintained. The room (king size) was nicely composed, flat screen HD, comfy chairs and shower but no bath.The best part for me was the free internet in the business center, I also liked the witty 'do not disturb' signs that read instead &quot;Please Go Away - I am debating with JFK&quot;Overall a very pleasant stay, great location, great hotel and at a decent price!	
Mar 19 2009 	Very nice place and a great value.	A nicely refurbished classic old hotel with elegant public areas and modern, comfortable, spacious, well-supplied, and well-operating rooms. Friendly staff in the lobby. Just three blocks to the Art Institute and a few more blocks to State Street shopping and some of the business centers. All in all a very pleasant place and a great value (though the tapas restaurant inside was overcrowded and overpriced). Highly recommended.	
Mar 18 2009 	Some of the staff was nicer than the others	I've noticed that I'm big on service. So when I check-in, I want good service. Someone to welcome you after a long journey, and give you a decent room upon arrival. I was quite unimpressed with this gentleman's service. We arrived around 3pm (check-in time, per their terms) to find that there were no double queen rooms remaining. Now, I know that when you book via their site, you merely make certain requests and they do their best to accommodate you. But when you check-in on time (neither early or late), and they give you a room on the lowest floor (7th, right above the gym) when you requested high floors and a king bed when you requested two queens.. would you be impressed? All the while emphasizing that we got a $99 rate (as if they could get more in this economy), which is why we could not guarantee the double queens. I just feel that you should charge what you think you deserve for your hotel. For example, if you think you are better than $99, and do not need the boost in traffic from people you consider less than your ideal clientele, then feel free to do so. That way you weed out those you find less than worthy, and you can charge the $400/night you believe your hotel is worth. I just ask you this -- how do you fit 3 people onto one king bed? The 3 people we stated upon reservation, I might add. Anyhow, he did not make a very good effort to make us happy... The next morning, the lady was also unpleasant when I asked to change rooms (since the guy at check-in had said it would not be a problem).. but again, I had difficulty communicating with her (Diana?). I'm not sure what their problem is. But luckily, we were not in the room too much and I finally got over the room situation. Other than that, the staff was really nice. I particularly liked the doormen and the rest of the concierge/front desk was pleasant. They were helpful with restaurant recommendations and transportation options. The room itself was pretty nice. You can tell that it has been recently renovated, with comfortable bed and LG flat screen. The bathroom was fairly spacious, but I will say that you should probably share a room with close family &amp; friends, because the way the sliding door closes leaves little to the imagination. The shower did not really have a door, and was all glass..so again, little to the imagination. This is just in our room - I am certain that there are better rooms. The business center was great.. two computers hooked up with all the internet you will need, and printers as well. This is one of the best features of the hotel, given that they do not provide free wireless.Other fine qualities include the proximity to Grant Park (though if you try to walk to certain attractions such as the Sears Tower or John Hancock, it will be quite a trek). Millennium Park and the Art Institute of Chicago are within walking distance. One downside is the lack of restaurants in the immediate vicinity of the hotel (starbucks closes at 8) so you should probably eat before you go back to the hotel, although room service was not too bad. The selection was decent, and the people were nice :) Other than that, you have to walk to State Street (under the El, and the street not particularly well lit) to feed yourself, particularly later at night.All in all, it was a great value for our money, despite the less than helpful guy at check-in (though we did not encounter him again). I would probably not go back because it's a bit further south than I would have liked, but definitely a beautiful hotel with nice rooms on the museum campus. Would recommend at the rate we got, but I am not sure how much I more I would pay (though you probably get better service with a higher rate).	
Mar 15 2009 	A real gem!	My family of four stayed here for a long weekend in Chicago. We all absolutely loved the Blackstone. The room was very contemporary, while the public areas of the hotel maintained the building's historic charm. The bathroom was large, the shower more than adequate, and the entire room very clean (and I am a very picky traveler when it comes to cleanliness). The location, while a little away from the excitement of most attractions, was right on the bus line and directly across from Grant Park. It was very easy to zip across the street each morning and catch the bus. The staff was accomodating, and I don't think I've ever encountered bell hops who were more pleasant and helpful. This hotel is a definite keeper, and one that you don't want to miss if you're visiting Chicago.	
Mar 11 2009 	First time in Chicago. Terrific hotel.	I stayed two nights at the Blackstone and really enjoyed it. Check-in with Brett was very welcoming. So glad I booked a lake/park view room - $119/nt. Loved the decor/furnishings. Found it spacious. Did not dine at the hotel, but got coffee at the Starbucks which closes earlier than usual. (7/8pm, I think.) Convenient location. The Michigan Ave public bus stops are one block north and one block south. Quirks:-- The mattress (pillow-top) was a little too soft for my liking.-- The noise of my neighbors' doors clicking/slamming shut was startling.	
Mar 11 2009 	Terrific hotel location staff--wonderful choice	Although we only stayed at the Blackstone for one night, we enjoyed our stay enough to say that we will definitely be back. Our room was very roomy, the beds were so comfortable, and the bathroom was very upscale with the latest features and terrific bath products. The hotel is located on south Michigan Avenue, right next door to the Chicago Hilton and Towers. This is an excellent location for anyone visiting the museum campus (Field Museum, Shedd Aquarium and Adler Planetarium). It's near Grant Park and Millennium Park, so it's a good location for anyone visiting any of the large festivals, such as Taste of Chicago, Jazz Fest, Gospel Fest, etc. It's just down the street from the Art Institute of Chicago. Another five star feature of this hotel is their staff--very warm and friendly and courteous. My boyfriend and I decided to walk around the hotel and look at some of its features, like the Art Hall and the ballroom. We found the door to the ballroom locked, but an employee of the hotel was getting off the elevator and saw us trying the door to the ballroom. He asked us if we would like to go in, so he unlocked the door for us, and gave us some time to look at the beautiful room, and told us a little bit about the renovation of the hotel. When we walked back to the lobby, an employee named Arturo asked if we were enjoying our stay. We told him that we had just been walking around, looking at different places in the hotel. He asked us if we had seen the historic Smoke Filled Suite. We said, &quot;no&quot;, so he offered to take us up there to show it to us. The Smoke Filled Suite is a beautiful suite that has been redecorated to look pretty much like it did in the 1920's. Back in 1920, when members of the Republic party were trying to decide on their presidential candidate, they met in this suite. When they made their decision then opened the door to the waiting press outside, the press was enveloped in a cloud of smoke that came out of the suite. Thus, the phrase &quot;smoked filled room&quot; was adopted. This is a beautiful, comfortable hotel with many interesting historical features, and it comes highly recommended from this reviewer.	
Mar 10 2009 	First Rate Hotel in a Great Location	Our four night stay at The Blackstone was first rate in every respect. Our room was ready for early check in on arrival. This heritage building has been beautifully restored. Our lakeview room was spacious and comfortable with modern decor. Great beds and bathroom (shower only). Spotlessly clean, as were the hallways and entrance lobby. Friendly, helpful staff. Excellent location close to the Art Institute and Symphony. An easy walk to the Chicago Architectural Foundation store where bus tours of the city's architectural heritage are available. Glad we elected to spend the little extra for a lakeview room. The view from the 12th floor over Grant Park to the lake was lovely at sunrise and through the evening. We tried the restaurant for lunch and enjoyed our meal.	
Mar 9 2009 	Enjoyed our stay!	My husband and I stayed at The Blackstone from Feb 21-Feb 23. We were celebrating his 30th birthday. We got a great deal through Sam's Club Travel for about $100/night.We chose this hotel for the value and it's proximity to they typical tourists spots. It was close to the Harrison St subway stop. It is directly across the street from Grant Park. We were able to walk to Millennium Park, Art Institute and the Magnificent Mile. We could see Shedd Aquarium and Soldier Field from our window.The pictures shown on the website are exactly what you will see when at the hotel. Our room was very clean and comfortable...especially the bed. There were down pillows and comforters which made it very cozy after a day of sightseeing in the windy city. There was also an ipod dock with several adapters so we could play our own music in the room. The bathroom had funky black and white wallpaper and was accented with pops of red. There was everything you needed....boot buffer, small sewing kit, mouthwash, cotton balls/swabs, etc. There were snacks and beverages available for purchase. I would suggest getting these elsewhere. The prices were outrageous. A small can of nuts for $12!!!Can't really comment on the staff. We didn't really need much of their help except when checking in/out. They did hold our luggage after we checked out at no charge.We enjoyed our stay here and hope to visit in the spring or summer.	
Mar 9 2009 	Too expensive for the services	PRO: nice room, nice view (pay extra or get brick wall view),nice beds.CONS: have to pay for things that low end hotels/motels like the SUPER 8 give away free - such as $12.99 for wi-fi,$2.50 for local calls,$47.00 per nite for parking, expensive breakfast. I'll stay at a lower end hotel/motel next time.	
Mar 6 2009 	Fabulous!!! Great attentive front desk.	From the moment we walked in we knew this was a hotel which is attentive to detail. The woman who checked us in was friendly and had a very inviting presence. She showed us where the museums were, gave us a map and explained how easy the walk would be to the area we wanted to go. The lobby is a super mix of the classic, historical era and new and modern. The room was even better. Comfy bed, pillows, great bathroom with nice products Super view of the Lake!!!We loved our stay and would return.	
