	Great hotel!	The staff was amazing.The breakfast and dinner was perfect. Saved us tons of money and was perfect for the kids.Great location!	
Jan 28 2009 	Great Deal	Homewood Suites is a grat hotel overall, and the location is perfect. Roomy rooms with full kitchen was perfect. Only complaint I have is that the housekeeping came to our room TWICE in the morning while we were still in the room. Didn't knock, AND we had the &quot;Do not Disturb&quot; sign on our door. I'm not sure what the problem was, but it was really annoying and rude. Overall, the hotel was nice and the breakfast was good. I would recommend it.	
Jan 27 2009 	Excellent hotel	Very nice hotel. Attentive service. Clean, attractive, comfortable. Beds very comfortable. The pool is a little small and pretty cold too. Would have loved a hot tub after being out exploring all day in December. Nice gym next door that you can use. Grocery across the street and also a mall across the street. Short walk to Magnificent Mile and public transportation. The entire stay was great. What I really loved was returning to the hotel at dinner time with our group of seven (four teenagers) and having a hot dinner buffet waiting. I wanted to throw my arms around the staff and thank them. It was healthy, hot, delicious, and oh so convenient. Would definitely stay again. A big thank you!	
Jan 22 2009 	All We Wanted	Free breakfast buffet and free light dinner, great location, capable friendly staff, cheapest rates.	
Jan 11 2009 	A great hotel!	We recently stayed 3 nights at the Homewood Suites in downtown Chicago and wow, were we impressed! This is a great value for a downtown Chicago hotel. The location is wonderful. We walked everywhere from the Magnificent Mile, to the Navy Pier, to Millenium and Grant Park, to the Field Museum of Natural History (that was a pretty good hike though!) The downtown trolley stop is right around the corner, and we also got a cab easily one night. There are tons of restaurants nearby. The original deep dish pizza place, Pizzeria Uno, is on one corner , the ESPN Sports Zone restaurant is on another, and the Weber Grill restaurant around the block, to name a few. There was also a good brewery nearby for drinks. The suite was quite spacious with a full kitchen and a large bathroom. There was a TV in both the sitting area and the bedroom. We were on the 19th floor at the end of the hall and never heard anyone else, so it was quite restful. The building has one of the fastest elevators I've ever ridden on! There is a heated pool (no hot tub!) and small fitness room on the 19th floor, and guests can also use a fitness club that is next door. We went to the fitness club one of the days we were there and enjoyed the expanded equipment they had. Our room had complimentary wireless, and we had no problems with the internet connection. The complimentary breakfast was typical of the hot breakfast buffets with eggs, meat, waffles, fruit, etc., but I thought there were a few touches that made it above the standard. The fruit was all fresh, including fresh pineapple, and there were real dishes and silverware, not plastic. There were two attendants who kept everything stocked and cleared our tables. The dining area was large and comfortable. We were there for one night of the Manager's Special (weeknights, 5 - 7pm) and were shocked at how much food was served. It was really enough for a meal, not the light snacks we expected. We noticed several people doing carryouts to eat in their room, which was easy to do with the full kitchen and refrigerator. We had friendly and polite service from everyone we encountered the entire time, from the valets, to the front desk, to the dining area attendants, and cleaning staff. It seemed like there were just a lot of special touches, like bowls of snacks sitting out when we checked in (tired and hungry) and the complimentary daily newspaper. We got the suite for $119, which was an amazing value for downtown Chicago and the amenities it had. The only downside that others have commented on is the parking costs ($38). However, it was pretty comparable to the costs for parking at other downtown hotels, and it was nice to know that our car was safe in a covered lot. Overall, this was a great hotel experience and good value, and I would highly recommend it to anyone, especially families who need more space and can cut food costs with the complimentary breakfast and Manager's Special.	
Jan 10 2009 	Good Value	I really enjoyed every interaction with the staff at the Homewood but unfortunately the room that we stayed in was in urgent need of an update. We arrived extremely early and were allowed to book in. Star from the front desk called us after we have arrived in the room and asked if everything was okay. At this point it was. Went to the dining room and 30mins prior to it closing, there was nothing to be found and the coffee had run out with people standing, sitting everywhere. Perhaps Homewood would consider extending their breakfast hours so the congestion would diminish. Asked the bellman if there was a place to eat breakfast and he recommended Mary's cafe. This is a quick 2 block walk and we enjoyed our breakfast. Later that evening, we noticed that the mirrored closet door was broken, there were stains on the ceiling from former leaks and the tv in the bedroom had such bad reception, we could only watch 2 channels. I'm sure if I had asked to be moved it would have been no problem but we were only staying for 2 nights so did not bother. The Homewood is located very close to Michigan Ave and is surrounded by wonderful restaurants. It is a great choice for a first time visitor to Chicago.	
Jan 8 2009 	All the comforts of home!	I just visited the Homewood Suites in downtown Chicago with my family. I can't say enough good things about our stay! Our room was beautilful and we had an amazing view. The staff was so kind and helpful. The location could not be beat, we were close to everything and right across from Nordstrom! With two free meals during the week the hotel was an excellent value. The breakfast is served daily and offers many options. I have family in the area and I will stay at this hotel again and again!	
Jan 8 2009 	Nice hotel - Great location	This hotel more than met our expectations. It is in a nice spot just a couple blocks east of Michigan Avenue. We have two young children (3 years and 4 months) and the hotel quickly sent up a pack and play for a crib. The room was set up as a suite with a nice sized living area. The living area has a couch that folds out to a bed which had clean sheets already there and bedding in the closet. The living are also had a small refrigerator and sink. There was a nice sized bathroom and and a smaller but nice separate bedroom.Checking the Tripadvisor.com review on this hotel we saw poor remarks about the staff. I had the opposite experience. The staff was helpful, friendly, and prompt. They went the extra mile for us even though I booked our room through priceline. This is what I would expect from a Hilton.	
Jan 2 2009	Only $99!	Had to find a hotel at the last minute due to a change of plan and found this for only $99 (plus tax) on the hotels website. Great location, loads of space in the suite and good free breakfast. Only downside was the breakfast area was very full and ended up perched on one of the stools along the wall. Could have taken the breakfast back to my room though.For the price it was a steal. Clean, friendly staff and great location.	
Jan 2 2009 	Good Stay for this Downtown Hotel	This hotel is located very nicely in the heart of Chicago downtown.Located one block east of Michigan Ave.There are actually 4 Hilton Properties within 3 blocks of this hotel(Conrad, Embassy Suites &amp; Hilton Garden Inn)Upon getting to the hotel we were met by the Bellman who assured once we got checked in that our bags would be brought to our room.We were able to check in early (10AM) On New Years Eve and were originally given a room on the 19th floor.However, upon getting to the 19th floor we tried getting into the room and the key wouldn't work.We went back to the front desk and found out that someone was in this room still. (Oops.)Then we were given a room on the 18th floor (Room 1811) Nice 1 bedroom suite with a full kitchen (which would be useful when the family was here or if staying for long periods of time)Room was comfortable and all was in working order.Internet access was a little slow at times, but all in all very comfortable.The hotel is located one block from Michigan Ave, 5 blocks from the Navy Pier and across the street from Shops at Northbridge.If you want to see famous people and sports figures (I would suggest Joes Stone Crab. (Located right on the corner of the hotel)We saw the Coach of the Bulls, Rex Grossman, Brian Urlachers, Jonathan Toews &amp; Coach of the Bears there during our New Year's Dinner.Oprah and Barbara Striesand had been there two nights previous.The hotel is located one short block from the (Grand Red Line Subway)An enjoyable experience and would return again.	
Jan 1 2009 	Great Hotel	This is the first time we have visited Chicago but have stayed at Hampton Inns in Florida. The Hampton Inn in Chicage was fully booked so had to stay at Homewood Suites but we were glad that we did as it was a great location, lovely suite with all the amenities and room to stretch out. Breakfast was a plus, you needed to get there before 0830 or there was a queue although you didn't have to wait long. Rooms were clean, very comfortable &amp; staff were pleasant and helpful and there were lots of eating places close by to suit all tastes and pockets. All in all a reasonable priced hotel that I could thoroughly recommend.	
Dec 31 2008 	Hidden Gem in Downtown Chicago	Free breakfast buffet, free dinner (Mon-Thurs), indoor heated pool, huge suites with full kitchens and separate bedrooms, one block from Michigan Avenue, across the street from Nordstrom's and a block from Bloomingdales, helpful, friendly, can-do-anything-you-ask-for service...what more could a family of four from Louisville, KY want?? We loved it and will definitely return on our next trip to Chicago. Also loved that tripadvisor did all the work for me! No research required.	
Dec 31 2008 	Loved Homewood Suites	Excellent stay at Homewood Suites. The hotel is clean, room was a nice size, bed very comfortable, location is the best, walking distance to everything. Free breakfast every morning which was a nice plus. Definitely would stay there again.	
Dec 30 2008 	Homewood Suites Chicago - Affordable Comfortable Great Location	This hotel in downtown Chicago one block from Michigan Ave was perfect for our 2 night stay (King bed suite). The location was excellent for Navy Pier and surrounding attractions. We managed to get a 30% discount when booking so that helped with the $38/day charge for parking. The staff were all friendly. The complimentary breakfast (continental &amp; hot) was great and we really appreciated the to go boxes to take food back to the room instead of waiting for tables in the dining area. The K bed was comfortable in the main bedroom and our children slept well on the sofa in the lounge area (both with TVs). Also had a full kitchen, nice to have if you want to cook (incl. full fridge, microwave, dishwasher, cutlery and crockery). The bathroom was basic but clean. Would definitely recommend for families or anyone wanting a great location, clean rooms and services.	
Dec 29 2008 	Great value in downtown Chicago	Nice, clean hotel. Bed was comfortable. Nice flat screen TV in living room. 1 BR suite we reserved had a full kitchen. We didn't use it but it seemed to be just the thing for a longer stay. Right across the street is the Shops at Northbridge and Michigan Ave is one block to the east. This hotel is pretty close to everything including restaurants, shopping and night life. Valet parking was smooth. Hotel staff were friendly and accomodating. It was a very comfortable place to stay and I would recommed it to anyone, especially those on a budget who want to stay someplace nice.	
Dec 22 2008 	The best choice in Chicago	It was my first visit in Chicago for business purpose, I stayed at this wonderful place for about four mos. It's been the best stay in my life in this kind of hotel. All the people are courteous and very very approchable. I very nice room, good food and it's near in almost all of the nicest spots in Chicago.I will never forget my stay in Chicago, i've been in other countries but this is my unforgettable stay.Thank you Homewood.	
Dec 17 2008 	Fabulous Service - the Breakfast Staff is supurb !	I used to stay at the Homewood Suites all the time on business but have not stayed there on business since 2005 - since that time my company has been doing business in the suburbs instead of downtown. During December of 2007 and this year 2008 I did stay there a few days with my family and was greeted as if I never left.There is a lady named Connie who works the breakfast shift and she greets everyone and always remembers you from years before. A wonderful lady indeed - my wife even commented to me on the way to Chicago if that lady would still be there and would still remember and yes she does!Its a great place to stay.	
Dec 15 2008 	Hidden treasure in Downtown Chicago	I had searched several websites for a downtown hotel as we wanted to do some shopping prior to attending the musical &quot;Wicked&quot;. I was a little apprehensive about choosing the Homewood, but had a friend tell me I would be pleasantly surpised. I booked two King Suite rooms, one for myself and daughter, the other for a friend and her son. The rooms were very comfortable. The concierge, desk clerk, housekeeping were more than accomodating and welcoming. They appear to make every effort for your stay to be as perfect as possible. The hotel was very quiet in the hallways, even though it was busy. The free buffet breakfast was delicious and was more than expected. If you are looking for a centrally located hotel near Michigan Ave. and would like the best deal for the price, this hotel is it. It does not have the magnificient views of motels directly on Michigan Ave. but it truly is a hidden gem. I will choose this hotel for future use when staying downtown.	
Dec 15 2008 	Not bad...	The location is excellent, next to Northbridge Mall and a block from Michigan Avenue. Room was a little cramped and there are only two elevators in the hotel so waiting is par for the course. Breakfast was pretty good in terms of selection. Only valet parking is available at the hotel. A half block north is self parking garage which is cheaper than valet. The hotel did not have the correct gift cards for our reservation but the manager appropriately resolved the issue to our satisfaction. Bathrooms showed a little wear. Overall, good choice for its location. Just don't expect the Ritz.	
Nov 30 2008 	Good Value for near Mich Ave	We stayed here Thanksgiving night since we were joining family at Lawry's two blocks away for Thanksgiving dinner. We booked using Hilton points and called ahead for early check in. Arrived about 1:30 and the room was ready; there was free pink lemonade and snack mix in the lobby along with hot drinks. The front staff was very friendly and efficient. The lemoade was gone in the evening but there was a small store behind reception where you could but drinks, snacks, and souvenirs.Our room was on the 15th floor facing south with a great view of the downtown buildings including the beautiful new 90 story Trump Tower and the back of the Wrigley Building. We're long time Chicago area dwellers so it was nice to see the new addition to the skyline, especialy at night.The living room of the suite had a small kitchenette with a table and two chairs, a sofa bed, and an easy chair. The kitchen was simply but adequately stocked for cooking/dining ; the sofa bed felt &quot;springy&quot; but our 20 year old son seemed to sleep fine. The living room had a flat panel TV; the bedroom an older CRT. The entire suite had interesting art of Chicago architecture.The bedroom was a little small (you had to close the dresser drawer to get around the end of the bed) but nicely decorated and the bed was very comfortable. There was a single sink across from the closet and the toilet/bath in a separate room. It would have been nice to be able to get to the bathroom directly from the living room but they did fit a lot into a small space.The breakfast buffet the next morning was crowded and we had to wait 10 minutes for a table, but the food was good. The waffle maker had the longest line so that held up the meal. Everything else was being constantly refilled. Overall it was a step up from Hampton but not as good as Embassy Suites. Oddly enough we could smell the 6th floor buffet in the hall on the 15th floor.We picked this hotel because of its rating, and the proximity to Lawry's, Michigan Avenue, and the Loop. The location was perfect; we strolled N Mich Ave a for an hour after checking in, walked the two blocks to Lawry's (GREAT Thanksgiving meal), and the next morning walked to see the &lt;Macy's&gt; windows in the Loop (nothing like the old Marshall Field windows).	
Nov 26 2008 	Perfect for toddlers lots of comps great location!	Great place for kids! First, this place was a great value. We booked the park n play package, which included parking ($38) for $139 so it was basically $100 a night for a one bedroom suite. Especially given the location (right in the middle of downtown with great access to all the attractions) we thought this was an amazing deal. The room isn't huge, but was large enough for our family of four (1 and 3 year old) and it's always nice to have a separate room to put the kids!The other great perk to the stay was the free breakfast and dinner on weekdays. We thought the meals would be simple snack type fare, but it turned out to be full meals! The convenience of rolling out of bed and getting a hot breakfast downstairs was great. I figure we saved about twice the cost of the hotel just in food.As others have mentioned, the location is perfect. We took the free trolley right outside the hotel to Navy Pier to visit the Children's Museum. We also had less than a five minute ride to the Field Museum, Shedd Aquarium, and Adler Planetarium. We didn't make it to Millenium Park, but that was close by as well. The shopping was also great. The Nordstrom's/Mall is directly across the street and Michigan ave is less than one block away.One tip, there's a Jewel Osco less than a block away, great for stocking up on milk and other perishables for the full size fridge. All in all, highly recommended and we will absolutely be back!	
Nov 25 2008 	Nice Hotel Hidden in the Heart of the City	Very nice hotel with suite rooms. The staff was very friendly - even on a very busy Saturday stay. My family and I stayed for the night of the Festival of Lights on Michigan Avenue. The Michigan Avenue area (a block away) was extremely crowded as expected for the holiday parade. However, the hotel never felt crowded. The pool was clean, heated, an average size for a city hotel. The breakfast was very good. The service was excellent. We would consider staying at the property again for a weekend escape.	
Nov 23 2008 	Homewood Suites Great Place to Stay	The Homewood Suites by Hilton was very clean, we stayed in a non-smoking King Suite which was roomy for my husband and me. The buffet served was good, service very helpful. We stayed a whole week and were very comfortable with the accommodations. We loved the free use of the gym Crunch right next door and took full advantage. The location of the hotel is also very good. All in all, it was a really pleasant trip for us both.	
Nov 9 2008	The best value hotel in Chicago and a great stay	This was a wonderful stay. The staff was extremely helpful , The rooms are especially large, and the fact they have a small kitchen makes everything a lot more easy. The breakfast and supper were excellent. They go out of their way to make you feel comfortable - for instance, they have take-away plates you can take up to your room. the business center, gym and pool also make this my first choice next time in Chicago.	
Nov 8 2008 	You cannot ask for more	I stayed her for three nights while at a conference at the McCormick Place and took taxi's back and forth. This is one great place to stay in downtown Chicago. A great full breakfast each morning and a nice dinner with wine and beer each night are included in your rate. My room was clean and well kept with a great LCD TV in the living area and another TV in the bedroom. Free WIFI in the room is what all hotels should be offering these days. The shower and bathroom were clean and new looking.Location is fabulous, right across the street from Nordstrom’s and many other shops. While I did not rent a car and took a shuttle bus from the airport I did notice that parking was over $30.00 a day so I would not recommend a car. There is little need for a car in downtown Chicago anyway.The staff was friendly and helpful. I would recommend this hotel to anyone that is travelling to downtown Chicago.	
Oct 24 2008 	Wonderful Stay at Homewood Suites	Stayed at Homewood Suites for a girl's weekend in downtown Chicago. The location is great--just a block or two from Michigan Avenue with lots of shopping and restaurants. The main entrance of the hotel faces Nordstrom which is located in North Bridge Mall. Lots of great shopping there and the Nordstrom even has a full-service spa. One of the ladies who was with us had a manicure there and was quite pleased with it.You enter the hotel at the Grand Avenue entrance (there is a valet there) and take the elevator to the 6th floor lobby to check in. The valet personnel and staff at the lobby desk were friendly and professional. Parking is a bit steep: $38/night, but you are in the heart of downtown Chicago.....There is a rooftop pool which we didn't have time to use because we were so busy doing other things, but if you have your heart on soaking in a hot tub, this will not be the place for you....Breakfast both mornings we were there was quite ample: scrambled eggs, sausage, french toast, bagels and muffins, juice, coffee, biscuits and gravy--lots of choices and all good. Also loved the hot water/coffee station in the lobby with decaf and regular coffee and lots of teas plus hot chocolate packets to make your own and carry to your room!Make sure you head down to Ghirardelli's Chocolate Store where you can get coffee/hot chocolate drinks, of course their signature chocolate candies and even ice cream sundaes and other dessert treats to die for. We also took a horse and carriage ride (35 minutes) around Lakeshore drive and the general downtown area. It was a bit chilly when we went, but we had our Ghirardelli hot beverages, plus the carriage had blankets to put on our laps. Filene's basement, home of great bargains, is next door to Ghirardelli's as is a Borders Book Store. Ate dinner one night at the Grand Lux Cafe. Very, very good. It's owned by the same company that does The Cheesecake Factory. I had a peach bellini to drink and chicken lettuce wraps which was a large portion and I couldn't even finish....desserts are amazing: try the chocolate molten cake or the warm rustic apple pie. Lots of dessert choices--go on their website and check it out. They don't take reservations, so if you go for dinner, try and get there about 4:30. We had a 15 minute wait on a Saturday night and were glad we got in. During our dinner, the lobby area swelled with people waiting for a table...If you get there later than 5:00 pm, expect to wait at least 45 minutes to an hour. Hotel rooms have a nice kitchen area/dining room table--a bit on the small side, but we were on the 11th floor and had a corner room with nice views of the downtown area. Living area had a sofa that turned into a bed. Two of us shared the king-sized bed, and then we ordered a roll-away for the extra person in our party. Nice flat screen tv in the livingroom.....room wasn't ready when our party arrived and check-in staff gave us a bottle of wine to compensate for the wait. Everything was clean and having a refrigerator and all of the usual kitchen utensils (especially wine glasses!) and stove/microwave came in handy when we wanted to heat something up or store it for the next day in the fridge.I would definitely stay here again--it was a bit pricey--aside from the parking, we paid about $280 for our room, but this was a girl's weekend and was a splurge for us. Next time, I will bring my husband and two teenagers here!	
Sep 27 2008 	Nice Place to Stay with Kids	We stayed at this hotel using Hilton Honors points for four nights in a 15th floor non-smoking king suite. We always like the extra space of a suite when traveling with our two children, ages 8 and 6.Pros: The location of this hotel was great for our travel purposes - it was an easy walk to the Navy Pier, up Mag. Mile, to American Girl Place, to the Hancock building and to Gino's East pizza. There is a Nordstrom right across the street from the hotel. We did take a cab to the Field Museum and Art Institute. The suite was clean, beds comfortable, and the carpeting new. The decor was nice. We had a fantastic view of the Hancock building from our room. We appreciated the large fridge. The breakfast (included with the room) was very good - much better than others we've had at other Homewood Suites. The indoor pool was recently refurbished and sparkling clean. The pool is located on the 19th floor (top floor) of the hotel and the city views are amazing - a unique swimming experience! We had the pool all to ourselves, but it is small and could get crowded... Cons: Housekeeping! Our room was not made up until after 4:00 p.m. each day, and we had to call and ask for housekeeping each day. Very annoying! Our other con for this hotel is that there is just a small single sink/vanity area in the bathroom - we prefer the double sinks at Embassy Suites. It could get a little crowded each morning as we all tried to get ready for the day. Also, there is no hot tub in the pool area - that would have been nice to relax in after all of the walking around we did each day.No hotel is perfect, and despite the cons, we would consider this hotel again for a future Chicago stay.	
Sep 24 2008 	Its the wonderful staff	Great location,good rooms excellent breakfast(really good choice)pleasant lobby area(Free coffee,juice and fruit for guests)and free use of internet in executive suite)but it,s the staff that most impresses.The guys at the entrace,the dining room wait staff ,the cleaners to reception(Jennifer in particular)all made you feel at home with nothing too much trouble for them.If you want a home away from home then this is the place for you.This is customer care as it should be	
Sep 19 2008 	A wonderful stay at a wonderful hotel	My sister and I went to Chicago for a weekend and decided to stay at this hotel because I have a friend who works at Homewood Suites here in Cleveland so we got a discount. The valets were really friendly, you get in and out service when you pay for parking with the hotel. Check-in is on the 6th floor because there are restaurants beneath the hotel at street level. That also made finding the hotel tricky because I expected a groove to pull into and it turned out that I just had to pull over to the right side of the street. The lady at the front desk was friendly and informative. Our room was very clean. The fact that it is an extented stay hotel was nice when it came to bringing home leftovers from restaurants, storing and reheating food. The complimentary breakfast was great! They have real food such as eggs, bacon, french toast, cereal, bagels, juice, milk, and yogurt. The hotel is in walking distance from everything and there is a trolley that goes to Navy Pier and passes by Michigan Avenue. They also have free WiFi. Overall, I would definately stay here again and I would recommend it to others.	
Sep 18 2008 	Good location great city	Stayed here for 4 nights without any problems. Hotel seemed clean and was run efficiently. Check in is actually on the 6th floor, but the staff on the ground floor were very helpful and looked after the guests. There is a decent breakfast on offer each morning, although the room can get a little crowded, and there is a lot of walking back and forward to get your cereal, juice, coffee, etc. In the evenings the &quot;welcome home&quot; food and drink is a nice touch, although the beer is a little watery and the wine, well, no comment. The location is ideal, not far from the Magnificent Mile, the Loop, etc.Chicago is a lovely city, I'd definitely go back. But with so many tourists and conventions, it gets a little busy at times. Book your restaurants in advance!	
Sep 9 2008 	Homewood Suites like home	We have stayed downtown at many wonderful hotels in Chicago. The Homewood Suites is one we will return to. The location and food are wonderful. It is the staff, however, that make you feel really at home. They couldn't have been more comfortable or easier to talk to.	
Sep 9 2008 	Perfect Plus	Our recent stay at the Homewood Suites was just about perfect. The suite was beautiful, quiet and nicely layed out. We were there for the weekend, for a wedding, so we did not use the kitchen but it was nice to have.The full breakfast was just wonderful and very ample. Plus coffee and goodies were available all day long.The location is superb, walk out and you're in the thick of things. Everyone was friendly, helpful and available. It's a hidden gem but not too hidden as it was voted #1 Homewood Suites in America. We loved it.	
Sep 4 2008 	Great Location	I read the review on trip advisor before booking at the Homewood suites. Was very pleased with location, and the room. Location was within walking distance to all attractions, and did not have to take a taxi. Able to walk to navy pier, magnificent mile, theatre district, and milenium park. Booking online saved money, as well as free breakfast and dinners during the week. Allowed more money for shopping!!	
Sep 4 2008 	So many positives but need redecoration	We stayed midweek for 3 nights - 2 Adults &amp; 2 children. It was our second stay in 12 months.What's good - our children enjoyed the pool, large suites with a tv in the bedroom and also the living area which meant we didnt have to watch disney when taking time out. Buffet breakfast is included in the price - we only had to wait one morning for 5 mins for a table. Staff varied from very helpful to business-like with no bad experiences. The location was ideal for us and the free blueline trolley stops beside the hotel. There's two grocery stores located very close and also some great restaurants. What's bad - the rooms need to be redecorated esp replacing the carpets - my feet were dirty after being barefoot for a couple of hours in the suite, we found fingernail clippings when searching for children's toys before checking out and none of us cut our nails during our stay. Otherwise all other surfaces in the suite were perfectly clean. We will go back but only if we cant find an alternative to tick all the boxes in the pros listed above. 12 months ago I would have given Homewood a 4/5 rating but only a 3 this time solely because of the carpets.	
Sep 2 2008 	Ok Stay Customer Service needs work	We recently stayed one night (August 30th) at this hotel. Overall, the room was nice but the customer service needs some work. The hotel is not much more than a 3 star hotel for sure. It COULD be with a better staff. Nobody was extremely helpful and nobody smiled.The only good thing about the hotel is their complimentary breakfast in the morning and the location is pretty nice. There are several dining options right near the hotel. The redline service is right outside the hotel, but it was out of order under contruction. Be ready for a long wait at the elevators! I read reviews about this and they are absolutely true! The hotel is about 19 floors and there were only 2 elevators side by side. It was Labor Day weekend, so the hotel was very busy which I'm sure didn't help.It seemed like a good hotel for families with children because there were LOTS of them. :) We were not one of those, so we might have been happier staying some place a litte bit more expensive.But for one night in the city it was OK. I don't think I would be very excited to go back again though.	
Sep 2 2008 	Nice Stay over Memorial Weekend	Stayed over Memorial Weekend for 2 nites, 2 rooms. Great Hotel, we always love breakfast in morning,and drinks in even when applicable. Around the corner from magnificent Mile,and close to lots of restaurants. Staff was great, we even checked in early before noon,and other room available less than hour later. Fresh fruit was available to us,and bell guys are cool. Suites are on small side compared to other homewoods but no complaints here, house cleaning kept our room clean,and we felt safe!	
Aug 30 2008 	Always love a homewood suite	I love the free breakfast and dinners on weeknights. The hotel is clean and nice rooms The pool needs some updating(but kids don't care) My friend and I took our granddaughters for a grandma grandaughter outing and this hotel was perfect	
Aug 29 2008 	Great location and price for a family!	We selected Homewood Suites after looking over all the hotels and searching for convenience, family friendly &amp; value.This hotel had all 3! Right near the bus &amp; rail stations (even though the rail was out of service due to construction). Loved the breakfast in the morning and wonderful price. Kids loved the pool and it was never too busy.We would definitely stay here again!	
Aug 28 2008 	Loved Homewood Suites by Hilton	This was my first trip to Chicago &amp; I wanted it to be the best it could be. Since I was going to sightsee I didn't want to spend all the extra money on food so I figured homewood suites was the way to go. After reading all the wonderful reviews I was very excited to have the experience. As soon as we pulled up to homewood suites the valet service was there getting our bags and taking our car to the parking garage. The staff was VERY friendly and called up immediatly to see if our room was ready. Since it wasnt they held our bags so we could go see the city. When we got back to the hotel we were checked in quickly and our bags were brought to us. The room was amazing &amp; had an amazing view. The room was AMAZING but I would have to say that Homewood Suites main star quality is their staff. You will not find a better staff. They were so helpful in our planning and directions. Our last night there I wanted to take a carriage ride. We called down to the front desk and within 10 minutes they had a horse and carriage there to pick us up. This hotel has moved up from #4 to #3 since my stay there. In no time this hotel should be the #1 hotel in Chicago. Very afforadable, great location, great staff. I LOVE THIS HOTEL!!!!	
Aug 27 2008 	Great Location	We just spent a week at the Homewood, with two children (3yrs and 4mos). The location is great, literally one block from Magnificent Mile. It is a short 3 block walk to the bridge and only about 15 minute bus ride to Lincoln Park. Since we had a stroller and the stairs up to Mag. Mile were tricky, I recommend going through the Nordstrom across the street or walking to Rush, north 1 block and over. It is very quick. If you are going anywhere on public transportation, note that the Redline is closed at night for construction, this made getting back from US Cellular a bit tricky. The property was great with helpful employees, although they didn't always know the 'best way' to get to some locations, just do your own homework. The rooms were clean, but the carpet and such are probably ready for replacement. The pool is not kid friendly as it does not have a shallow/step area and there is not a hot tub. The breakfast was nice, but did get very crowded around 8:30 and you will need to wait for a table.	
Aug 27 2008	Wonderful Chicao Hotel	This hotel has an excellent location for walking Chicago's downtown, pier, etc.Mon-Thurs. they offered a wonderful early evening free light dining.Our room had a separate bedroom, extremely clean and quiet.The breakfast was outstanding.	
Aug 23 2008 	Great Time Great Location would come back to Homewood Suites	I read all the reviews for this and other hotels and once i made my selection i was very pleased to see that all the reviewers were right on about tis hotel. We stayed 7 nights and we loved it. we have a 3 year old and it was such a nice place for kids. my son saw another boy at the pool and at breakfast {awesome spread} and dinner the 4 nights it was served. made it fun for him. We took the cab from the airport as someone suggested $41 with tip. You could take the blue line to Jackson, then transfer to the red-line and get off at grand $2. station is 1.5 blocks from the hotel and lots of people do it. Not scary to travel downtown at all. DO NOT rent a car if you are only going to be downtown and do the tourist stuff. Get a 3 or 5 day CTA card from the grocery store around the corner, get the city-pass well worth it also. There are free shuttles that run all over, the hotel has maps, but the trains and buses are so easy,and less crowded then the free trolley, they also run later. Get the card, i promise you will be glad you did. Grocery around the corner has everything you need if you want to cook in the room. Great great breakfast you can take to the room if you want, mon-thurs dinner is good. beer and wine are served and there is a soda machine so it saves lots of money. if you order UNO's call ahead 1 hour then go pick up the pizza, eat in the room not worth waiting for one of 12 tables. No complaints at all. I found all the travel advice on this site right on and helpful. I hope this helps you. We will go back there. You can't go wrong and the staff is SUPER!	
Aug 19 2008 	Best kept secret in Chicago	This was our first trip to Chicago and we were a little hesitate about staying downtown. We parked in front of the hotel and the attendants valet parked our car and we went up to the 6th floor to check in. The check-in was quick, we went to our room on the 11th floor and was very pleased to see a really beautiful room with kitchen, table and chairs, a sofa and nice flat screen TV.The bedroom was a separate room with wonderful bedding and many pillows and another large TV. Breakfast was above and beyond for a free meal and then to our surprise they provided a free dinner which was buffet style and offered several choices.The location was very convenience, right out front was the trolley and bus stop but it was only a few blocks to the river, easy walk.For $189.00 this hotel exceeded our expectation's.	
Aug 17 2008 	Convenient location for exploring downtown Chicago	We recently enjoyed a 3 night stay (Thurs. thru Sat.) at this conveniently located property. Our 9th floor suite included a bedroom with king size bed, a sitting room with a sofa bed,and a kitchen. The room was cheerfully decorated and airy. The views outside the the two large windows was good. We were surrounded by skyscrapers-a pretty view at night. The bathroom was of average size; but lacked vanity space. Only one sink and mirror &amp; no extra shelves to put toiletries. This can be less than ideal if the bath will be shared. It would have also been nice to have a few extra washcloths &amp; hand towels-we kept running out. There are an abundance of interesting restaurants and shopping areas nearby (Nordstrom &amp; Bloomingdales), as well as a movie theater. We especially enjoyed the Melting Pot (fondue) &amp; Big Bowl (Asian)restaurants. We were able to walk to our sightseeing boat tour departure point at the Michigan avenue bridge. Also walked to Macy's. We took the free shuttle right outside the hotel to the Navy Pier as it looked like a bit of a walk.(the shuttle can get very crowded on weekends) On the morning of our departure we received very prompt &amp; pleasant service from the bellman who retrieved our luggage &amp; held a taxi for us.	
Aug 12 2008 	Great Experience	My family and I stayed at this hotel during an extended weekend trip in July, 08. We had (3) 1 bedroom suites. Great Location in downtown Chicago. Within walking distance to shopping and most downtown tourist attractions. The service was excellent and the hotel staff was friendly. The breakfast buffet was very good but the eating area can get crowded. I recommend going early. The rooms were quiet and clean. I highly recommend this hotel for families and for travelers staying &gt;2-3 days. We would stay here again.Parking is expensive, about $28/day. It is valet. The cheapest self parking I could find in the area was $24/days so we did valet parking. The valet and bell staff were very helpful and friendly.This is my 3rd experience with Homewood Suites (3 different cities). I have had a great experience each time.	
