	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Apr 11 2009 	Very nice hotel nice location and very friendly staff.	My wife and I just returned from a trip to Chicago, and agree with other reviewers that this hotel is a gem. It has a great location (2 blocks from magnificent mile, and 1.5 mile walk to the original Marshall Field's). The staff was very friendly, and accomodations had an old-Chicago flair. I believe the building next door is under construction, but it was not that loud, and you could only hear the workers during business hours (maybe this was the reason for the great price? It did not disturb our stay). Parking was not included (I don't stay in big cities often, so I'm not sure if that is normal). I would also recommend trying to book though the hotel - it was SIGNIFICANTLY cheaper than any of the travel searches, like Orbitz. It had a 40&quot;+ Aquas tv, available mini fridge on request, and nice elavators (some of the other elavators in town made my life flash before my eyes...).	
Mar 30 2009 	Like a Bed and Breakfast Intimate hotel	I was first at the Talbott about 10 years ago and was pleasantly surprised by the small warm interior surroundings. I was walking into a private livingroom where you feel like opening up a book and curling up in forot of the fire. A quaint little bar/restaurant with as well. The service is not outstanding however they are always polite. Perhaps I simply wish people to WOW me.! The bathrooms ( which I had - cannot say they are all like this in every room) could be updated as they are not in line with the sumptious bedroom allure.I would recommend a night stay at the Talbott.	
Mar 17 2009 	Makes one feel that one is to the Manor born	Upon entering the lobby you feel like you have stepped into an English men's club. Cosy, charming, and elegant, this hotel makes you feel that you are a guest in someone's home.I stayed in the King deluxe room which was very spacious. The bed featured a pillow top mattress and this was the first time that I have ever noticed the bedding in a hotel stay.The bathroom features both a shower and a soaking tub which I took ample use of. The mini bar was the most upscale one that I have seen with Voss water, exceptional wine, and gourmet cookies along with the usual array of soft drinks, beers etc.It was room service all the way for me. I recommend the Lasagna Emiliana and the chocolate gelatto for dinner along with the bottle of wine from the mini bar and the Banana-stuffed Brioche French Toast with Mascarpone, Hazelnuts and syrup for Breakfast.If you don't feel like staying in, the hotel is well located and I would think about dining at Le Colonial or Pierrot Gourmet just blocks away.I admit, I stayed here last December and had an issue with the hotel, but because they followed up so professionally and promptly, I decided to stay here again when I chose to stay here rather than a night at Northwestern hospital.	
Mar 8 2009 	Great hotel - wonderful staff	I have stayed at this hotel several times for business and I love staying here. The beds are VERY comfortable, they have robes in the room, the rooms are nice and spacious, and the staff is incredibly helpful. I highly recommend this hotel.	
Feb 28 2009 	Great location restaurant and staff!	Be careful if you stay in rooms ending in 07 or 08, early construction starts on that side of the building....very loud and annoying. Other than that it was an excellent place to stay.Nice small lobby with fireplaces where you can sit and have a drink. Cabs pull up right in front of hotel. We loved it. We were there on a college visit so got a great rate.	
Feb 25 2009 	Awesome Hotel	We stayed at the Talbot for two nights. Loved everything about the hotel. The staff was wonderful, helpful and extremely friendly. The room was elegant, spacious,clean and quiet. Location was great as we walked everywhere. We didn't eat at the restaurant as there are so many other choices (just ask the concierge!). Only negative was spending 48 dollars a day for parking...but I guess that comes with being in the city. We would definitely recommend this hotel!	
Feb 23 2009 	Wonderful relaxing hotel - will definitely be back!	Just spent a long weekend at the Talbott. We booked via the small luxury hotel website and received a free room upgrade. The room was very spacious for a Chicago hotel. The doorman was just excellent and had good suggestions for us. The hotel is nicely located, just a couple of blocks from the Hancock Center. Wonderful stay, will definitely go back!	
Feb 13 2009 	Fantastic Boutique Hotel With A Friendly And Helpful Staff	The rooms were spacious which surprised me based on previous stays at other hotelss in Chicago. The rate was less than I've paid in other hotels in this city.I loved the High Definition Television in the room.Technical support helped me get logged in to the high speed internet connections within a couple of minutes.The staff was very helpful with directions and recommendations for dining. They helped me print out a boarding pass in the business center at no charge.The Bell Hop ran down a cabbie for me several times and helped with fare information.I will be strongly recommending this hotel for business colleagues, friends and family.	
Feb 2 2009 	Chicago's Best Boutique Hotel	Lavish, but not overdone, this hotel makes the average person feel like a member of royalty, if only for the night. From the lobby to the rooms, The Talbott offers rich, elegant décor which add to the charm and old world luxuriousness of this grand old hotel. Great dining and even good shopping choices make this one of Chicago’s most elegant boutique hotels. I’ve stayed at the Palmer House and the Ritz Carlton. Both are great but The Talbott tops them hands down.	
Dec 28 2008 	Great Stay	Stayed at the Talbott for over a week and enjoyed our stay. Room was a little noisy as we were next to the lift, but everything else made up for that.Positives: Bed was very comfortable, great to have real shower, free internet, gym usage, staff (all friendly) and location.Negative: Lift noise, lifts slow and restaurant (there are so many great restaurants around - don't bother staying in)Would stay again!	
Nov 28 2008 	Great Trip	Had a great stay -- staff was more than accomodating from the moment we arrived. Provided superior service.We live in the western burbs and stayed an evening in Chicago before heading out of town on vacation. Did so to have easy access to public transportaiton on Thanksgiving Day. Bed was extremely comfortable, pillow and linens were great.Will definite consider again next year when we travel out of Chicago.	
Nov 24 2008 	Loved The Talbott	The location, the room, the staff all outstanding. don't eat there, and don't waste money on a drink....that's the only thing that was not so great. But there are so many great places right around The Talbott, it's the place to stay!	
Nov 23 2008 	Loved the Talbott	This was my 3rd or 4th stay at the Talbott. I really do love this hotel. The location is only 3 blocks from the Chicago/State red line stop. 2 blocks from Michigan Ave and the Hancock tower.Over the last 2 years since I started staying at the Talbott when in Chicago, I feel the value for the dollar isn't as good as it was. But this is understandable. It is a great hotel, so is on par with other hotels charging similar rates.You used to get passes to the Fitness Formula Club (gold coast location) a short few blocks away, but now they give you passes to the Equinox club which is actually closer on Michigan Ave. However, the Fitness Formula Club was way better. It was much bigger and had a huge selection of equipment. So this is disappointing.Free internet is very reliable. Never once had any problem.Next time I'm in Chicago, even though I love the Talbott, I think I might try something else since the same money can buy other hotels rated just as high on trip advisor.	
Nov 20 2008 	Great hotel	We loved our stay at the Talbott. We were in Chicago to attend the theater show Dirty Dancing. We booked our room through Orbitz and received a nice discount. When we arrived at the hotel everyone from the doorman to the front desk to the maids were highly professional and courtesy. We were upgraded to a King bed suite. The suite was well decorated and spacious. My wife particularily enjoyed the heat that could be directed at the marble floor in the bathroom. We loved the hotel and will definitely stay at the Talbott on our next trip to Chicago. Highly recommended.	
Nov 13 2008 	Wonderful intimate hotel!	My wife and I recently enjoyed a couple of days in Chicago to see a play and fully enjoyed our experience at the Talbott. Initially, I was worried about the service due to the concierge's inability to return my e-mails in reference to ordering flowers for my wife, but after a call to the hotel, the concierge was more than helpful and the arrangement ordered was absolutely perfect. The lobby is small (or intimate as you prefer), so if you like to feel anonymous as you enter or leave, this is not the hotel for you. Doormen, bellmen, and receptionists WILL be attending to your needs or wishing you well with big smiles. Being an older hotel, sometimes there is a wait for an elevator (they're slow and small), but not overly so. The rooms were spacious and clean, and the bathroom in our suite was huge and absolutely gorgeous (we'll be remodeling ours soon). My wife visited Lush and the Body Shop for supplies and took no less then three baths during our stay. Our bed was absolutely comfortable. I would agree with others that there is quite a bit of construction in the area (like right next door!), but in reality, we hardly noticed it. If you hear a hammer, turn on the Ipod ready radio or the 42&quot; widescreen TV. It IS the city, after all. The location is wonderful! Only a couple minute stroll to Water Tower Place and an $8.00 cab ride to the Oriental Theater. On the whole, our stay was wonderful and an absolute bargain compared with other hotels in the area. We'll be back.	
Nov 1 2008 	Enjoyable Stay	We have just returned from a 4 night city break in Chicago. Booking at last minute caused us problems finding a vacant hotel. The Talbott itself only offered an expensive rate for a suite (last room available). We tracked down a MUCH cheaper rate on activehotels.com for a regular room.On arriving at the Talbott, we were upgraded to the one-bedroom suite! As all comments have mentioned, there is a LOT of building work going on immediately adjacent to the hotel. However, as we were jetlag wise, 5 hours ahead of Chicago time, we were out of the hotel by 0800 and didn't return till late, so heard no noise at all. The suite was comfortable and spacious, with free wifi. Bathroom had 2 large sinks - plenty of room for my husband and myself to spread out. The bed was EXTREMELY comfortable, and we are both very fussy in this respect.Location was excellent - as the weather was sunny, we pretty much walked everywhere. The concierge (both Stephanie and Tim) were very knowledgeable and helpful, coming up with good recommendations for steakhouses that would not be packed with convention goers and fellow tourists. All the staff were friendly and welcoming - we enjoyed our stay, and would readily return to the hotel.	
Oct 10 2008 	Great choice	I generally stay at the Omni in Chicago but they were booked so I found this hotel for a great deal on orbitz ($199 per night) and booked it. It was great. The location is Ideal. Walk right onto Rush street and enjoy some of the best food in town. The decor in the hotel is very nice and the beds very comfy. I found the room to be very clean and the staff helpfull. I think this will be my first choice in the future.	
Oct 8 2008 	Love the talbot	The talbot was great. Everyone was very friendly and helpful. The room was updated. The street that the Talbot is on is great, it is a side street that is tree lined. There is a Starbucks right across the street. The bar/restaurant in the hotel is really nice too. It is small but a nice cozy place to get a cocktail. I would highly recommend this hotel.	
Sep 24 2008 	Lovely Boutique in Excellent Location	A great location only 1 1/2 blocks from North Michigan Avenue. Very quiet part of the street. Lovely, quaint lobby with professional attendants who checked us in early to a spotless room. The room was a double queen and was, by all hotel standards, huge! Most hotels would have somehow carved the space up into 2 rooms. This gave our children someplace to play. The only downside was that the room felt humid, despite every attempt we made to re-adjust the HVAC. Otherwise, it was wonderful and I wouldn't hesitate to stay there again.	
Aug 31 2008 	Great visit to the city!	My husband and I stayed here for three nights while visiting Chicago as tourists. What a beautiful hotel! Our room was lovely, the staff was super helpful and the location was convenient. They don't have an in house gym, but each day you can get a day pass to a cushy gym down the street. The restaurant in the hotel has a very yummy breakfast. The concierge helped us to make dinner reservations at the last minute our first night there.We were able to walk down the Magnificent Mile from our hotel, as well as through the Gold Coast and Old Towne neighborhoods. There are tons of great restaurants in the area (including the famous Gibsons and the Signature Room in the Hancock tower) as well as lots of shopping.There is currently a lot of construction going on near the Talbott (they are building condos right behind it), but regardless we had a wonderful stay and would definitely stay there again when visiting Chicago.	
Aug 19 2008 	Very nice but	I spent four nights at the Talbott. The hotel is good, the staff were very pleasant and helpful, the room was spacious, clean and comfortable and the bed was fantastic. I will stay there again once downtown Chicago has been rebuilt, as this is what seems to be going on right now. The noise from the construction in the vicinity was intrusive and off-putting and it looks like they have a long way to go.I will be back to the Talbott for sure, but not soon. And it's certainly not a reflection on the hotel itself or the staff, simply the noise.	
Aug 18 2008 	Love the hotel but not the restaurant.	The Talbott Hotel in Chicago is my very favorite hotel in the City. The hotel is a small European style hotel with beautiful rooms and an excellent staff. The only thing that wasn't up to pare is the restaurant, and the quality has declined a lot since the last time I stayed at the Talbott. The fruit on the fruit plate was overripe, the yogurt was sour, the coffee was just lukewarm and the breakfast assortment of breads was stale. The service in the restaurant was also poor. The restaurant has a beautiful outside dining area and would be wonderful if the food and service was better. After eating breakfast there we decided to find someplace else for dinner. Hopefully they will improve on this but if not, I'll still stay at the Talbott but find someplace else to eat.	
Aug 7 2008 	Brilliant position great staff and lovely rooms	Spent two nights in the Talbott during our summer vacation. The hotel is well situated for sighseeing, shopping (on the magnificant mile) and good restaurants. The hotel has a great atmosphere and lots of character. Our room was massive and extremely comfortable. The staff were very helpful and accommodating. The only slight negative was the building work that is going on next door, the work is however restricted to set hours (8-5) and the sound insulation is good so this didn't really bother us. We got a very good rate on the internet.	
Aug 6 2008 	Wonderful experience	We stayed here 4 nights for a conference which my husband was attending close by. We are members of the Small Luxury Hotel group and made the booking via their website. We didn't realized we'd be upgraded when we arrived - we ended up in a beautiful suite which was very nice considering it was a longer trip than usual.The service was excellent and the beds extremely comfortable.There's a great wine bar just across the street and also a little cafe/deli across the street which was convenient to pick up light breakfast and snacks.	
Aug 5 2008	Great hotel - horrible location	This is a nice hotel and the people were great but I would not stay there again until the construction around it is finished. The elevator in the alley attached to the hotel starts as early as 5:30am and goes into the night - including weekends. Use of the dumpsters (filling and emptying) is constant. Worst of all, to me, is having a restaurant with a sidewalk cafe right next to a construction site with rats running around - truly disgusting.	
Aug 4 2008 	Nothing but the best!	My wife and I spent one night at the Talbott Hotel, and loved it.Upon Arrival, we were greeted by two hotel staff prior to reaching the front desk. The girl at the desk was both professional, and courteous; acknowledging our special occasion and giving us a complementary upgrade to a suite was such a nice touch. Because we booked through AAA, we got a great deal on the room rate as it was, including strawberries, wine, and breakfast for two.We had also chosen the Talbott for its close proximity to Chicago's famous steakhouse Gibson's (less than a 10 min walk). Note: make dinner reservations in advance, or see the hotel concierge. On a funnier note: Gibson's is located in the heart of the Viagra Triangle: Google Viagra Triangle for more info.The suite was spacious and &quot;very clean.&quot; The living room area had a a 42&quot; flat screen TV, and there was a 27&quot; flat screen in the bedroom. The bathroom (spotless) had both a shower and a large tub that could seat two. The bedroom was comfy, with a nice king size bed.The only drawback to the whole occasion, was the $48 dollar overnight parking fee.... we had thought it was going to be $20, but hey, it's Chicago, and everything is more expensive these days.	
Jul 29 2008 	Brilliant - couldn't fault it!	I booked this hotel through the SLH (Small Luxury Hotel Group). Having stayed in their hotels before and were impressed, we thought we would do the same for our trip to Chicago.A fantastic location for everything, from eating and drinking out to shopping and getting tours. It's located on Delaware Place, which is near the famous eating area on Rush Street. Less than 5 minutes walk away.The room was spacious and has a very good ensuite. The bed was very comfortable and very clean. The towels were changed twice a day if needed. It had a good TV if needed also. It was quiet and although our room was near some building work next door, we rarely heard anything at all. We were located on the 8th floor overlooking the front.The Concierge made our stay worth while in every way. He was friendly, informative and very approachable and willing to help and advise. He is worth his weight in gold. Although all the staff were friendly and helpful, I was say the Concierge, Gene, was the star member of staff.We ate at some very, very good restaurants - our favourite being the Le Colonial, on Rush Street. A French/Vietnamese style restaurant. Our second favourite in the same area was Gibsons. What a great place for a fantasic choice of steaks. Hugo's next door for seafood was also outstanding. There's a restaurant called Japanais, which had brilliant reviews, but we ran out of time to go there - next time!Gene booked us to see the Jersey Boys at the Theatre. Although the tickets were a bit pricey, the show was outstanding and worth every penny. I learnt a lot about Frankie Valli and the Four Seasons and thoroughly enjoyed the music and their performance on the everning. I would go again!We had a fabulous week in Chicago and we will definately return again and stay at the Talbott. Thank you to everyone who made our stay a delight.ColeyHampshire, England	
Jul 28 2008 	Great value great service	This is a great find for downtown Chicago. The price is right and the staff are excellent. As noted, there is construction going on around the hotel, but I didn't notice any issues that disturbed sleeping. I asked for a quiet room on an upper floor, and was gladly given one. The lobby is small, the atmosphere is that of a small boutique hotel. The concierge, Stephanie did a super job in finding us a restaurant and booking us reservations (along with a complimentary appetizer). We had a standard room, and it was spacious, tastefully decorated--everything we needed. The bathroom had a nice whirlpool tub for soaking--and the MP3 compatible radio was a nice perk. Just can't say enough about how nice the staff are--every single person you meet. Would definitely stay here again.	
Jul 15 2008 	Great value-middle of everything biz related	Solid value for the biz traveler----Meant to post this long ago, so, not current info; but, I am posting due to fact I looked at Tripadvisor to see how things sounded, as am planning return to Chicago soon, and, will probably stay at Talbott. Have stayed 3 times over last year or so; first time, had never heard of it, a bit hesitant as usually stay Hilton or similar, but a pal who stays Talbott once a month and travels a lot to other towns so very experienced traveler, he just kept talking it up. Excellent value for biz folks who pay their own way. In the middle of most meeting sites for downtown biz, never had a problem getting a cab, fairly responsive staff-all 3 times I thought they were a bit aloof but reality is I think they are just very very business like-if you ask for something you get it, or you get an explanation as to why you will not get it, etc, so, I will take that over warm and fuzzy non-performance everytime--the food/bar was not something to go out of your way for but fine for stay in the room or on property when you are tired or weather is bad. Best suited for business single, would be pretty good for couples and it is well placed for a travel companion to entertain themselves while you are out in meetings, probably not a big hit for kids and teens but if you were truly just looking for solid safe downtown value on a bed and bath to attend a wedding or similar nearby, it is a great option. Take a peek at the bar--it is great wood work and craftsmanship on display, a nice element for a small hotel bar to see cool looking woodwork and not just a cold utility type place.	
Jul 2 2008 	Fantastic hotel in a fantastic location	This is a fantastic hotel in a fantastic location.I stayed one night in June 08 and was upgraded to a suite as the hotel was fully booked! The suite was beautifully decorated and well equipped.My stay was trouble free and the staff were friendly and knowledgeable.Would recommend to both the business and holiday traveller.	
Jun 28 2008 	The best Hotel experience ever.	I recently decided on a trip to Chicago. Previously I had stayed at the Le Meridien (now the site of the Conrad Hotel) and was debating a return stay at that facility since my previous exeperience was great.I did some research and decided to try and stay at a different hotel. Using tripadvisor as my main source, in addition to Orbitz and Expedia, I kept noticing that The Talbott Hotel came up as a favorite spot, so with some trepidation (I will admit) I booked my 4 nite stay there. Arriving at the hotel, for me the first thing I noticed was the small lobby area....having stayed mostly at Hilton, Hyatt and other business-type hotels, I was used to larger lobbies, and multiple desk attendants, but I absorbed the experience and checked in. I was upgraded due to the fact that I had reserved my room thru the slh.com website (Small Luxury hotels), of which The Talbott was a member. That website encourages the person to create a list of their pet likes, pillow types, food, etc...and I created a list of things I enjoyed.The room, was spacious, wonderfully appointed, comfortable and met all of my needs. A few minutes after I had started to uppack my luggage, the door bell rang, and a waiter appeared, carrying a large bowl of fruits and other items, I was surprised as I had not ordered anything.When I opened the letter, it was a typed welcome letter, indicating that enclosed were a few items I had indicated I liked (chocolates, bottled water, etc....) and that anything I need I was to contact the desk. What a wonderful way to be welcomed, I thought.I had a few things I wanted to do while in Chicago, and so I went downstairs to the Concierge and met Stephanie. Now any of you who have read back reviews from folk who have stayed at The Talbott will recall that many people praised Stephanie as a wonderful host, and Concierge. Well, I cannot say enough about her. I spent the better part of 40 minutes chatting with her about what kind of restaurants i wanted to try (it was my birthday) and other things i wanted to do. She took notes, went online and showed me different restaurants that she could recommend, called them up to make reservations as I was sitting there, and mae a couple reservations at those that the times were amenable to me. I ate at the RL restaurant (yes, Ralph Lauren), and was personally greeted when I walked in. I asked them how did you know my name, and they replied that Stephanie had called them to let them know I was coming over. I was overwhelmed...I had never experienced such special attention at any other hotel. They comped me on my desert, since Stephanie had told them it was my birthday, and all in all, I had a wonderful time. I told her that i wanted to go see a Jazz or Blues show and she pointed me to the Backroom, a few blocks away from the hotel. She looked in her draw and found me a ticket for free entrance to the show (normally $20 at the door). The concert was great, and I was there for nearly 3 hrs, drinking and enjoying the music. The place is small, intimate, but the sound is great, so it is a good place to enjoy a show.Everyone at The Talbott was gracious, smiling and helpful. I felt like I was staying with family....I cannot explain it any other way. Every morning I would come down and chat with Stephanie for a few minutes about what I was doing that day, and she suggested other things that i might do also. It was like a well-choreographed show!!!The location is perfect, near to Rush Street and the bars, restaurants and stores, Michigan Avenue is about a block and a 1/2 away.....there are buses, free trolleys so there is no problem to get where you want to go.In my stay in Chicago I had purchased a few items that could not be packed in my carry-on, and so i asked Stephanie if the Hotel could arrange for the stuff to be sent via UPS to my home. No problem, she said. I gave them my address etc....and all was arranged. I received the items aboout 4 days later.I really was sorry to leave. It was such a wonderful experience. Time and time again while I was sitting with Stephanie other folk would come in and thank her for reservations she had made for them, recommendations for theatre, restaurants, walking tours, etc....and would turn to me while I was sitting there and tell me that they always come back to The Talbott because of her. Some brought in small gifts of their appreciation....I have never seen this at any other hotel I have stayed at.I have to say that I did initially have some trepidation when i booked this hotel. I was not familiar with smaller, boutique-styled hotels, but I was sooo pleasantly surprised that I would feel as if I betrayed them if I were to ever re-visit Chicago and not stay at The Talbott. My trip was that special. That, I can safely say, is the kind of experience that makes it very easy to return time and time again to a hotel.I can safely recommend The Talbott to anyone who is looking for a different type of hotel stay....one that does not revolve around a large, Business-type place (Hilton, Hyatt etc...not that I am knocking them). I cannot wait to return to the Talbott, I was that moved by my time there.	
May 31 2008 	Great small hotel fabulous location excellent service staff large rooms	We enjoyed the Talbott very much. Larger than average room and bathroom, comfortable bed, service staff well trained without being &quot;snooty.&quot; Fabulous location on Delaware, two blocks from Michigan Ave. The downstairs Bice Bistro was superb for every course, morning through late night and there is a Starbucks directly across the street. A small hotel with great charm. Will definitely stay here again.	
May 15 2008 	Very nice!	We were booked at the Talbott via Hotwire at a very good rate. We had some concerns after reading the reviews on tripadvisor, particularly about the construction noise.First, let me say the staff is outstanding, the rooms are beautiful and we would not hesitate staying there again. Stephanie, the concierge, is very, very good and made a huge impact on our stay. The hotel is relatively small but very, very upscale.Second, we found no more noise at the hotel than any other big city establishment. We were on the 11th floor and the construction was much higher and was not objectionable.Third, the location was perfect for us as we could walk to all the sights and restaurants. All the restauants on Rush St. are about a 3 block walk. Stephanie got us reservations at two marvelous spots. The Hancock Tower, where we enjoyed late night drinks, is also about a 3 block walk.The ONLY negative is you have to call room service to get ice. This is one nice hotel.	
Apr 30 2008 	Kudos to the staff--they couldn't be nicer	My boyfriend and I stayed here for one night at the tail end of our trip after 3 nights in the Hilton on South Michigan. For the price we paid (approx. $160 on Hotwire), we had an excellent stay and wouldn't hesitate to recommend this property to anyone else. Compared to the Hilton, the room was probably 1.5 to 2 times as large, with a huge flat panel TV on the wall. The amenities were Aveda products, the room was clean, and the location (in the Gold Coast, only a couple of blocks from the Magnificent Mile and probably on 4 blocks to the closest El stop) was excellent. Most importantly, everyone we encountered--from the doorman to the belllman to the frontdesk clerk to the housecleaning staff-- were genuinely friendly and willing to accommodate us or answer our questions, Just one small example: we checked out of the Hilton at 11 am and took a cab to the Talbott. We just wanted to stow our bags so that we could grab something to eat, but were informed that if we were willing to wait 20 minutes or so, our room would be available! I thought our stay at the Hilton was adequate, but highly doubt we would have been able to check into our room at 11:30--and even if we could, I suspect they would have charged us for this privilege/convenience! (Mind you, the S. Michigan Hilton is happy to stow your bags for you--for only $2 per bag for the convenience. Look up other Tripadvisor reviews if you don't believe me!) Lastly, many of the reviews preceding mine complain about the construction noise, which we didn't encounter. (We were on the 15th floor, so that might have something to do with it.) So although there was a hellish amount of construction going on around and in front of the Talbott, the room itself seemed to be well insulated and caccooned off from any street noise. Again, I highly recommend this hotel. Our thanks go out especially to Jennifer and Perry for making our brief stay pleasant and enjoyable.	
Apr 23 2008	Great hotel but too much construction noise.	A fantastic hotel overall, with probably the best service that I've ever experienced. The huge drawback, however, is the construction that is occurring on both sides of the hotel. They generally work 8am - 8pm Mon-Sat (we stayed for a week) and one of the buildings had workers present on Sunday as well. This was not disclosed on any part of the website at the time of booking. This hotel will be perfect when the construction's done, though the doorman at the hotel when we left estimated that they'd be working for another 1-2 years.	
Mar 28 2008 	Good value and location--when the construction in the area is complete	I booked the Talbott Hotel for a two night stay in Chicago. I chose it because they offered the best rates for a 4 star hotel in the location I was looking for (convenient to shopping and dining). The positives: a nice staff, large rooms, clean and well maintained. The negatives: major construction taking place immediately next door to the hotel--sleeping past 7 a.m. was not possible and needless to say, my three teens did not like this at all. When I booked my reservation, I had inquired about construction noise and was told that it was not a factor anymore and that they had not received any comments/complaints from guests about the noise. I would not hesitate to stay here when construction is complete. It's not hip, fancy or luxurious, but charming and well-located at a price that represents a fair value--when the construction is complete.	
Mar 24 2008	Second time Around	We stayed at the Talbott in February. I wrote a review but it wasn't listed. I wonder why? Fine hotel but there is construction next door that runs 6 days a week - 8am-8pm, with noisy consturciton elevators running 12 hours a day and bright lights on 24/7. Avoid until the construction is over. Then, it will be a very nice place to stay.	
Mar 17 2008	Great place to stay	We just got back from a 3 night stay at the Talbott hotel in Chicago. We had booked this through Hotwire so we didn't know we were staying here until after we had purchased through Hotwire. This was a great place to stay! I knew we had one of the smaller rooms - which was a Deluxe King room. But, once we walked into our room we saw that it was very spacious for a regular room. Very nice and updated decor, and everything was extremely clean. The first 2 nights we hardly saw any other guests in the hotel. Seemed like we had the place to ourselves which was a nice relief from the busy Chicago streets. I read others' complaints about the noise of construction next to the hotel which made me nervous since I'm a light sleeper. While we did see the construction, I never heard any of it - and we slept in most mornings until 9:30 or so. I read that the suites in the hotel had jacuzzi tubs, and I knew we didn't have one in ours as we had a regular room. However, the tub was very deep and great for soaking! (Might I add, this was the cleanest hotel tub I've seen in a long time!) We had a wonderful time staying here and the staff was wonderful and friendly. My husband did have one complaint - though the bed was comfortable, the down comforter on the bed wasn't long enough to cover his feet. His not extremely tall, about 6'0. So, that made sleeping a bit rougher on him, but overall we loved our stay!	
Mar 12 2008 	Wonderful get away in Chicago	We have just returned from a weekend getaway at The Talbott Hotel. We were just thrilled with our decision to stay at The Talbott. The room was very comfortable and spotless. Everything seems to have been recently updated. The bed was especially comfortable with a down comforter. The location of the hotel itself allowed us to walk to a wide variety of restaurants and easy access to shopping at Water Tower and Michigan Avenue. The staff were all very friendly and informative. We were greeted with warm smiles and greetings every time. One concern is the dim lighting in the bathroom. Applying makeup and putting in contacts was easy however due to the lighted makeup mirror with a swing arm. The only other warning is the construction next door. We were on the 8th floor and the little noise we heard was not a problem. However, the construction was still on the ground level. In the next year or so, I would make sure to contact the hotel to determine which side of the hotel is noisy or not. Otherwise, we would recommend this as an intimate, well done hotel. I am sure we will be back in the future!	
Mar 8 2008	Not Sure Why It's So Highly Rated	We booked a room at the Talbott in March, and I honestly don't understand what the attraction is. The staff was great--extremely friendly and accommodating. However, the rooms are small and nondescript, and the neighborhood is a construction zone, so it was incredibly noisy. I wouldn't recommend it to a friend.	
Mar 6 2008 	Reliable Hotel Great Location	Our family stayed at the Talbott for a long weekend visiting family in Chicago. While the dark, psuedo English decor is not my taste, we found the hotel to be a great choice at a fair price. We loved the location and could walk to the Hancock tower, Michigan Avenue etc. Navy Pier was a $10 cab ride.The staff at the hotel are amazing. They helped get reservations that were impossible to get. They took packages. They delivered extra beds immediately.The hotel is connected to the restaurant BICE so the room service was great if priced for that type of high end restaurant. Breakfast was also delivered in 20 minutes which is unusual these days.The room was large. The bathroom had a tub and a stand alone shower. More importantly, it had Aveda products.We would stay here again.	
Feb 1 2008 	The Best!	I stayed at the Talbott twice in the last few weeks. I was very pleased with every facet of my stays. The staff, from doormen to front desk, to concierge, to housekeeping, were wonderful. The rooms were nicely sized and clean, and well stocked. I will return to the Talbott anytime!	
Jan 19 2008 	One of the Best Hotel Staffs you'll find in Chicago	After reading reviews on several websites I decided to book a room at the Talbott during one of the coldest times of the year. It was well worth it! From the second we arrived it was clear that the entire staff was hand picked and thoroughly trained to be warm and friendly. From the bellman to front desk to the maintenance man in the elevator....they all took time to say good morning and have a great day. That type of service is no accident. This place really was more than I expected for the price. Our suite was large and comfortable. The bathroom had a separate shower and the bath accessories were top notch. The hotel offers free morning coffee in the lobby but there is also a Starbucks right around the corner and everything worth seeing along the Mag Mile is within a short walk. I would stay there again. This is my first review submitted to Trip Advisor and I am doing this almost a year after my stay. I felt obligated to give credit where credit is due! This hotel felt more like a 5 star hotel than several of the 5 star hotels I have stayed at.	
Jan 4 2008 	Great Hotel Fantastic Location	December 30 to 31 (not over New Year's eve). Our room rate was less than $140 booking through the hotel's reservations - this was a good deal for Chicago. Friendly staff, nicely decorated hotel and large size room (1409 corner King room). We arrived around 11:30 in the morning and SURPRISE, our room was READY!!!! Wow! That has Never happened before at any other hotel. This is a quaint boutique hotel located very close to Water Tower Place and the John Hancock building a stone's throw from the famous Magnificent Mile! About 5 blocks from the river (not a terrible walk if it's not too cold!).Rooms were recently redecorated (hotel style, but nice) and our bathroom had double sinks and a jacuzzi tub. Nice. Some negatives: Did not have have a flat panel TV and the TV was too small for the room size (since our room was so large, the TV was about 20 feet to the headboard!) The mini stereo/CD/Clock radio was cheap and made a funny burping sound when the music hit low notes (we were listening to jazz!) Another thing missing from this boutique hotel was a little complimentary wine and cheese around the cocktail hour.I would recommend this hotel to about $220 range, anything more I would be disappointed (see negative points).	
Jan 1 2008 	The Talbott is lovely	This is a lovely small hotel in a great location. The staff is exceptionally gracious and helpful. The little restaurant-bar (Bice's) is exquisite, and its cocktails, wines, food, and service are excellent. The dark wood paneling throughout the common areas is warm and cozy. The theme of fox-hunting in the artwork is unfortunate, though, for those (like me) who find this &quot;sport&quot; barbaric.	
Dec 14 2007	Great Experience	Stayed here for two nights, we were upgraded upon arrival to the executive suites. The room was huge if a little dark, howver the huge comfy bed and aveda products made up for it.Perfect location however found room service to be very pricey.	
