	solid average but nice location	The hotel is conveniently located just off the Magnificent Mile which has excellent shopping, and is walking distance to many attractions (though not particularly close to the subway). The hotel is nice and rooms are well decorated (though no LCD tvs), but when we arrived, there was no shampoo in the room, no wash cloths (we had to call the front desk to have them and the shampoo brought up), and worst of all, the toilet seat was dirty and there was a used wash cloth from the previous guest drapped over the shower curtain. My wife and I would probably choose to stay somewhere else next time.	
Jun 23 2009 	Great location...some problems with housekeeping.	We stayed here June 17-21. Check-in was great and easy with wonderful cookies!! We had no shampoo in our room upon check-in and the maid outside did not have any in her cart either and asked me to phone the front desk. We also did not have towels replaced when we asked. Our shower drain was broken and we had to rig it when we wanted to shower, not bathe. There was no vent in the bathroom and no hair dryer. Older T.V's too. Also, no safe in the room. The room and overall look of the hotel is great, very modern. Bathroom is very roomy. Concierge was very helpful, as were the porters. We got a great deal on the room, and in all honesty that's all we use it for on vacation, a bed to sleep in! Which was VERY comfy! Plus, the alarm was one I could actually figure out how to set. We were on the 8th floor and had no noise from the hall. If you don't expect street noise, go on vacation in the country-side. The pool was awesome, very clean and tended to.	
Jun 16 2009 	Great location but too much noise from hall and street	The Doubletree is located between many popular Chicago attractions. It's a quick walk to Michigan Avenue and Navy Pier. The Dominick's one block away is convenient for food and supplies. We especially liked the on-site Einstein's bagels. We had a standard room on the 8th floor, quite comfortable and clean, but the noise from the street and people passing in the halls is quite loud. Internet in the room is not free; you'll pay $9.95 for 24-hour access. Since the room rate is a bargain at this location, we accepted it.	
Jun 10 2009 	Clean 	This DoubleTree did not let us down, it was exactly to the standard that we expected. We did have a bit of a hard time with the room keys which was annoying but the staff was quick to fix any problems or issues we brought up. The beds are very comfy and the bathroom are large with nice showers. My only gripes were that they have a super-ultra-modern theme and big 'ol tube TVs in the rooms from 1990... it might be time to upgrade, oh and the wifi is $10/per day if you want it in your room, it's only free in the lobby, which was pretty blah if you ask me. Good location though, walking distance to lots of fun stuff, Michigan Ave, Navy Pier, restaurants etc.	
Jun 1 2009 	if you're looking for a downtown location hard to beat the value of this place!	stayed at the Doubletree dowtonw over Memorial Day Weeekend. the place has recently been rennovated and changed to a Doubletree. the rooms or well appointed, have kind of a youthful / funky feel. room size was good for downtown. The location was perfect. There is a nice restaurant attached, but didn't sample the food (the drinks, however, were good). I'd highly recommend this place if you plan to stay downtown and are looking for a reasonably priced hotel that doesn't sacrifice on quality.	
May 31 2009 	Fantastic Location	The location is perfect - a few blocks from the Magnificent Mile shopping in one direction and Navy Pier in the other direction.There were coins on the floor next to the bed that made me think no one had vacuumed, but other than that the room seemed relatively clean and attractive.The lobby bar is adjacent to the check-in desk which is convenient, but made checking in a bit of a challenge when the bar area was overflowing.Definitely eat breakfast across the street at West Egg! The food was fantastic (loved the blueberry and cashew pancakes), definitely cheaper than the hotel restaurant, and unbelievably quick without ever feeling rushed.Watch out for the pressure-sensitive mini-bar - don't even think about looking at what is in those jars!	
May 22 2009 	Clean well decorated 	The hotel had recently finished renovations &amp; become Doubletree when I stayed there with a friend during Lollapalooza 2008. The room was clean, as well as the sheets. You could spy Lake Michigan between buildings out the window from our room.It was an easy walk to Grant Park from the hotel (it's full of interesting outdoor art pieces like The Bean). This location provides easy access to downtown Chicago &amp; the El isn't far. The parking garage is attached to the hotel &amp; has an elevator, but parking costs extra (I think it was worth it). I would recommend it to anyone!	
May 19 2009 	Very nice place.	We had a great stay at this hotel. Staff was friendly and courteous. Would stay here again.	
May 12 2009 	very friendly..	Everything was excellent..really. I was slightly surprised how nice it was upon walking in. The lobby was huge and inclues a bar with plenty of seating! The front desk was very pleasant and welcoming. They also offered me a warm cookie..lol. After a quick check-in, I headed up to my room..Overall the room was a nice size and nicely furnished. Only complaint about the room was the dated television..probably like 4-6 yrs old. It was just weird to be in such a nice room with a dated t.v. After waking up I noticed a sheet had been slid under the door. It was informing me there was no need to come to the front desk to check out due to &quot;Express Checkout&quot;! Packed up and headed out!!! Good job DoubleTree!!!!!!!	
May 11 2009 	Warm cookie Warm Welcome and good stay.	Upon arrival was welcomed warmly by hotel and reception staff.Our request for a high floor was honoured.Room is spacious with nice big comfy beds.Good bathroom with Neutrogena toiletries.Good facilities in hotel.Downside was business centre was expensive to use. Internet $6 for 15 minutes.Location good, near the Magnificent Mile and facilities nearby such as a 7-11 shop and pubs and restaurants.A good stay, nice hotel.	
May 9 2009 	No disappointments found	This hotel is consistent with the quality that can be expected from this chain. My room was a nice size; however, the bathroom was a bit smaller than expected. The lobby was very inviting. The staff was more than nice and I caught a shuttle to the airport. They had luggage storage, a restaurant and a bagel/coffee shop attached to the property. The lobby bar was good. They gave away those chocolate chip cookies like candy (I traveled solo but got 3 cookies). Yes, I did ask for extras. I was able to place a cash deposit for incidentals and never used my credit card. Internet was an extra $9.95. Maybe it's free for members of their rewards program. I don't know. The building is new and modern. The beds were comfortable and the water was hot. Free wifi in the lobby worked well.	
May 1 2009 	Good hotel - great location..	My wife &amp; our 11yr old son stayed here over the Easter Break -we used the Lakeshore Leisure Club daily for the pool (excellent although no life guard on duty) but never ate in the Hotel. Facilities were good - location is excellent - literally 5 mins walk from Michigan Ave although there was no free internet anywhere within the hotel (we travelled from Ireland and did NOT bring the laptop!). We had a blast -room service was very good (even if the maid one day took our own bottle of wine out of the fridge &amp; repaced it with hotel wine!!) staff were friendly although the Concierge couldn't really explain the basic rules of baseball (however to be fair he had maps &amp; directions etc on how to get there witrh ease)!! I'ld recommend this hotel to anyone -the breakfast bar in the hotel got us over the morning caffiene slump but there are some really excellent restaurants for breakfast within yards of the hotel..hotel could be noisy enough from 5am onwards but we had a room towards the front of the hotel &amp; previous contributors had forewarned of this...room sizes were good - we never felt cramped - hotel bar didn't serve draught beer and lacked athmosphere but plenty of superior bars outside...	
Apr 17 2009 	Good Value and Great Service in the City	Visited with our grade school kids during Spring Break this week for site seeing &amp; to see a Cubs game: We were welcomed by a friendly professional staff. It's not a kids hotel, but they do a great job of welcoming them. The concierge is tops - an advisor to the local board of concierge &amp; featured in this month's guide - he is informed, connected and was a tremendous help. I'm not suprised to read the building formerly housed a Holiday Inn. No worries though, its totally updated, clean &amp; fresh. The rooms are clean. I'd have considered them worth 5 dots, but in checking for bedbugs (of which I saw no traces) I saw some crumbs &amp; dust bunnies along the floorboards behind the beds. The beds are super soft, ensconsed in clean, crips cotton sheets. A bit too soft for my back but most people would probably love them. It was one of those rare times when I felt the beds were actually clean &amp; safe enough for my kids to climb onto without worries. We stayed on a mid-level room, I'd go higher to avoid a view of the parking garage next door. In room temp control was nice too. Michigan Ave is 3 blocks to the South &amp; the train was about 6 blocks away.	
Apr 16 2009 	Excellence in Chicago	I stayed at the Doubletree-Magnificent Mile for a work conference. The facility is excellent. The hotel rooms were top notch. My colleagues raved about the bedding and room amenities (although flat screens would have been nice). The conference food was the best we've ever had. Each meal was high quality and got excellent reviews. We received access to the adjoining health club, which has a pool, and this was a nice perk. I highly recommend this hotel for your next business conference in Chicago.And don't forget the amazing chocolate chip cookies!	
Apr 14 2009 	Hard To Believe It Was A Holiday Inn	Stayed here for a big conference at McCormick Place and wanted a Hilton property near Mag Mile. Thy've done an extensive renovation and you would never believe that it once was a Holiday Inn.Lobby decor is simple but nice - the lobby bar always had a crowd and I heard from a colleague that the wifi (free in the lobby) was excellent.Staff was very nice and friendly. Love those Doubletree cookies.Room was average size. Good workspace and nice padded seating ledge along the window. Expected a flat screen after such an extensive renovation. Bed was comfortable. Housekeeping was fine. Excellent toiletries - not something I usually notice or comment on. Excellent hot water with a nice rainforest shower head. Good drawer space (something that seems to be disappearing these days and valued as I was there for 5 nights). Comfy arm chair and ottoman. Standard Hilton clock radio with MP3 cable.Elevators were a bit slow as previously reported, but not intolerable.Based on prior reviews, I did not eat in the hotel. Einstein's Bagels in the lobby is convenient and there are a few Starbucks within walking distance. West Egg Cafe across the street is a Chicago favorite for breakfast and did not disappoint - just get there early on weekends or be prepared to wait. Lot's of other dining options within a couple of blocks. Short walk to Michigan Ave and very close to Navy Pier. There were a lot of families there who seemed to be happy as well.	
Apr 5 2009 	Good	Good location. Front desk staff was welcoming and polite. We had package for the free breakfast buffet. It was a standard buffet, with omelet station. The service was exceptionally good.Room was two queen beds. Mattress a bit firm for my taste. Linens high quality. $10 a day for internet access in room (I hate that!). Self-park is $41 a day in the hotel ramp--go down the street to a public ramp where it is $30.The room was fine, a bit on the small side. There was some mold in the bathroom on the ceiling--the housekeeping staff needs to be a bit more careful.There was a fair amount of street noise (we were on the 17th floor.)It's a good location--about 2 blocks off Michigan Ave.	
Apr 2 2009 	Awesome Stay	There were 13 of us: three women and 10 girls. Upon check in we were greeted by a friendly staff. There were staff outside ( I remember Ben) that was ready to help us out in getting taxis and giving information to wherever we needed to go. The hotel was close to everything including a 15 min walk to Navy Pier. The warm chocolate chip cookies were delicious. They didn't have the rooms (double queens) that we wanted initially, but once available they accomodated us with adjoining rooms and the double queen beds. The beds were extremely comfortable, we didn't want to leave! The kids loved the indoor swimmimg pool. There was a charge but they waived that for us. Any request we had was accomodated right away. So all in all we had a great time staying at the Doubletree and would stay again anytime!	
Mar 30 2009 	wish i would have known you had to pay to use the pool	The hotel was very nice the people very friendly. When I planned my trip I was wanting a pool to relax in after walking all day, but at check in we find that there is a $15 charge per person to use the pool and fitness center, so much for relaxing in a pool! Nowhere did it stipulate that there were extra charges for this. If I would have known I would have stayed elsewhere. They did mention a $41 charge for parking but actually the garage isn't theirs so you can park in another garage around the corner cheaper. Also you here car horns and sirens thru out the day and night, makes sleeping fun! (Not!)	
Mar 26 2009 	Friendly Staff Comfortable Beds	The DoubleTree Mag Mile has a beautiful new lobby. I was greeted by a very friendly man at the front desk, where I received my yummy warm cookie. The room was a good size (2 queen beds). The beds were very comfortable. There was no refrigerator in the room, which would have been nice. Access to the Lakeshore Athletic Club, which was FREE, was very nice. It is a bit of a hike to the Red Line at Grand, but very close to the Magnificent Mile. Overall, it was a great stay.	
Mar 24 2009 	Nice hotel for the price	Booked this hotel via Priceline for $60/night March 20-22nd weekend. Parked at the parking garage right next door to hotel garage for $11 cheaper ($30/night). Check-in was smooth and received 2 warm cookies. Room was better than I was expecting. Nice view of Sheraton hotel. In room Wolfgang Puck coffee was very good. Room was spacious enough with 2 double beds and nice size bathroom. Neutrogena products. Good shower pressure. Hotel is about 2 block walking distance to Michigan Ave, movie theaters, grocery store, all kinds of shopping. etc etc. Elevators were working well. Free wireless internet in lobby only.	
Mar 23 2009 	Very Nice Chicago Hotel	We stayed at the Doubletree Chicago over a long weekend visiting family. It is centrally located and if you fly into Midway airport, take the Orange Line to Lake &amp; State and then walk about 15 minutes. The room was spacious and clean with all the amenities-shampoo, conditioner, etc. The beds were the best!!! Very comfy! New linens, comforters and towels. There is an Einstein Bagels in the lobby that is quite convenient for a quick breakfast. We did not try the hotel restaurant, but right across the street is a great cafe called Egg West. They have wonderful food! We also had a few drinks at Timothy O'Tools, a pub also located across the street.The hotel staff were friendly and knowledgeable about the Chicago area. If you need directions or reservations the concierge is the friendliest!The only glitch that I noticed is the lack of insulation in the doors. We could hear every door slam or person walking down the hallway outside the room. The walls in the room were fine and we heard little noise from our neighbors but maybe the doors could be better insulated? Not a big thing but just a minor annoyance.Overall, this is a great hotel and worth the $100 a night we paid. I would definately stay here again. The location is ideal!	
Mar 20 2009 	secret fees are fine if you're rich	my boyfriend and i stayed here for 2 nights, we got a really good deal on hotwire, otherwise we wouldve been somewhere a lot cheaper and less swanky. the bell guy made me mad because i asked if i could use wheeling luggage rack to bring our stuff up while boyfriend parked the car, he said yes, but then stopped me after i loaded it up &amp; said he had to get a bellboy for me..im not paying someone to carry my bags (im not spolied or well-off), so i brought everything up myself, pack-mule style.he was quite rude to top it off. so the room was really nice,large, and modern with a decent view,big comfy bed etc, i was mad to find out that the wi-fi internet that was advertised actually costs $10 for 24 hours, which i guess i shouldve expected coming to a richy hotel..the parking was ridiculously expensive of course.Turns out the indoor pool/hot tub they advertise as having are located at an adjacent health club that you have to pay $15 per entry to use. seriously, wtf? so all in all, the place is nice, but since i am not rolling in the dough, i cant stand places that charge a bunch of random fees like that.	
Mar 18 2009 	Great Hotel	My family of four (two teenage girls) stayed here during several days of college campus tours in the area. We have only been to Chicago one other time so I can't compare this to other hotels but I will say we were very pleased for the price we paid. The hotel is in a great location. The staff were friendly and check in was a breeze. Our room was very clean and comfortable and big enough to accomodate all of us. Parking was very expensive but from what I have heard, it is what is to be expected ($41 for one night). It was very close to all the great shops and lots of restaurants, all within walking distance. I honestly have nothing bad to say about this hotel and I would highly recommend it.	
Mar 17 2009 	Served its purpose central location not convenient for families	We stayed at the Doubletree Hotel Chicago Magnificent Mile in March, Room 2121. We paid for lakeview and did have a partial view of the lake. This is a nice hotel about 2 blocks east of the Magnificent Mile and about 2 blocks north of the Chicago River/Wacker Drive area. Convenient to shopping and walking to other attractions. There is a Dominick's across the street, and Dunkin Donuts, Panera Bread, and other places to eat right nearby. First, the positives. We really liked how friendly everyone was towards us. The check in was effiecient, except I had to remind them about our breakfast vouchers. But it was immediately corrected. We had warm cookies waiting for us. The concierge was helpful and friendly. The bellhop was professional and friendly. The restaurant staff was friendly, as was housekeeping. The food at the restaurant was great. We had a breakfast buffet, with eggs, bacon, sausage, hash browns, eggs made to order, cereals, pastries, bread/toaster, fruit, yogurt, regular and chocolate milk. We got this breakfast free each morning as it was part of the Memory Maker Weekend through the Doubletree website. The hotel was clean and presentable. The bedding was clean and crisp. Beds were comfortable. The bath towels were cozy. The furniture and accessories were high quality.Now for the negatives for me. Please keep in mind that others may not mind this. We traveled as a family of four. The first thing I noticed was there was no counter space in the bathroom. The sink was a pedastal sink. It seemed like we had a handicap accessible room so maybe that is why. There just wasn't any where to put our &quot;stuff&quot;. The room seemed small, although for Chicago standards, it was probably fine. Not a lot of room to move about. There was a $15 per person per day charge for the first day for use of the health club where the pool was, and a $5 per person per day charge for every day thereafter. There was a $9.95 per day charge for internet. Self parking is $41 per day. It just seemed like they nickled and dimed. There was a mini bar and a minibar fridge, but don't touch anything! It has sensors on it. If you pick something up and it is off the sensor for more than 30 seconds, your room gets automatically charged for the item, even if you don't open it. They will take the charge off, but that isn't the point to me.There were no channels for children on the TV. When we were winding down at night around 10 p.m., I turned on the TV. The cartoon channel had adult cartoons on it. No big deal there, but when I was flipping through, an explicit adult channel came on. Ooops. So I found the parental controls on the TV. There were no other kids channels on. So we watched Travel Channel, which was okay by me!! Our room was against the elevator shaft, so we heard the noise from that all night. In addition, there were at least 2 rooms that had partiers in them. However, the management came up when someone must have complained and they toned it right down. The staff and management is really on top of most everything in this hotel. I think for a business traveler or a couple on a get away weekend, this hotel would be very nice. I just don't think they cater to families.	
Mar 13 2009 	Beautiful place. Nice room with a great view!	I was staying with my daughter and granddaughter for one night at the Red Roof Inn. The RRI was horrible! I got up the next morning, after a fitful night of feeling like bedbugs were attacking, and walked down the street a couple of block and found the Doubletree. The staff was wonderful and very courteous. I was offered a room right away and we moved in for 2 nights there. It was great. When I come back again with my husband we will probably stay there. We had a beautiful view with a partial view of the lake. Gorgeous big room and very clean compared with the filth of our previous room at RRI!	
Feb 27 2009 	Great stay - typical downtown hotel	My two co-workers and I checked in on a Wednesday night and were greeted warmly-- this is a classic DoubleTree hotel, true to form. Rooms were satisfactory-- very clean, modern, and &quot;classy&quot;. They are of typical downtown Chicago size, so nothing really jumped out at me. I will say it's an excellent hotel for its value and a perfect place to stay, but there are many hotels in the area that also fit this criteria. Breakfast at Einstein's Bagels in the lobby was great, and while we didn't stop at the bar in the lobby, it looked like a great place to hang out. With a block or two off of Michigan Ave, the location cannot be beat. Don't hesitate to stay here if you are in town!	
Feb 26 2009 	Excellent Customer Service!	We stayed here Feb. 19 - 22, 2009 and I can not say enough good words about this place! When we arrived it was late and check-in was a breeze. Parking is great because the lot is attached to the hotel. So if you need to get your car out, you can do it yourself. Our room had a great view of the John Hancock Building. Hotel customer service was extremely professional and helpful. We asked for a couple of extra towels and they brought an armload right away. We had stepped out for breakfast one morning and when we came back to our room housekeeping was already there cleaning. She even asked us to put our room key in to verify it was actually our room. On the Sat. night of our stay my sister became violently ill (she got food poisoning from a diff restaurant) and I had to call the front desk at midnight. They told me where the nearest ER was and then when we came down to the lobby they already had a cab waiting for us. They were extrememly attentive and helpful. When we came back they wanted to know how she was doing and if there was anything they could do for her. They went above and beyond any hotel staff that I've ever seen!	
Feb 12 2009 	Great service but not as exciting as expected	My sister and I stayed at the Doubletree for a three day stay in Chicago. I had read all of the reviews on this site and ended up opting for the Doubletree instead of a four start hotel because it sounded so great. All of the staff at the hotel and the beds were excellent. The actual hotel was okay but really nothing special. The pool (though not owned by the hotel) and hot-tub area is in need of some upgrading. The location is convenient (about 2 blocks to Michigan Ave) and there are a few restaurants nearby. Overall, the hotel was average and next time I will opt for something different.	
Jan 29 2009 	Great Location - Great Hotel- Stylish Comfortable	Great Location - Great Staff - Stylish, Comfortable, Clean, This hotel is the best Doubletree i have staryed at, It is better than some of the Hilton Main Brand full service hotels. The staff etc where great, room very very nice, clean and crisp bedding in quality linen. and one a short walk from everything.Well done Doubletree Chicago.	
Jan 23 2009	Great stay for New Year's at the Doubletree	Stayed here with my girlfriend for three nights over New Year's...got a great rate under $100/night...this hotel did a very nice job with the renovations! Check-in was super pleasant, the room was clean and comfortable, the bed was unbelievable, and it was quite convenient having an Einstein's in the lobby. Did not use the access to the next door fitness center but it must have been great as I saw many other guests taking advantage of it.Location could not have been better...all the shops of Michigan Ave are a short walk and there is a Dominick's (grocery store) only a block away. Only con was wireless was $10/day...Would absolutely stay here again!	
Jan 22 2009 	Amazing Stay!	The DoubleTree Hotel Chicago at Magnificent Mile is not only a great hotel with an excellent staff but it 's location to everything is the best part. Places like the John Hancock Building, Mike's Ditka's bar, The Chicago Chop House (best steakhouse in Chicago), Lucky Strike Bowling, Shopping Malls, Millenium Park, Navy Pier and so on are about a 15 minute walk. Everything else is a 10-15 minute cab ride.	
Jan 13 2009 	Very enjoyable visit...	Husband and I stayed at this lovely hotel for 2 nights ending on Christmas Eve. We actually stayed in Chicago for 4 nights and split our time between this hotel and the Homewood Suites just a few blocks away (needed those last few &quot;qualified stayes&quot; to retain Hilton status), so I can compare both for you. This hotel was just recently re-done and in our opinion they did a fine job. Very nice modern feel and decor to the hotel. The rooms are beautifully done - standard size hotel room - awesome bedding. Very, very comfortable. Staff at this hotel was fabulous. Always smiling, there for anything you needed from the bell hops, to the front desk to the concierge, to the valet. Staff here was much more helpful and friendly than the Homewood Suites. Our opinion was this location was better as well. I suppose in the summer months it would not matter however in the bitter 35 below when we were there, we thought we were within walking distance of more shops, restaurants, etc. We would most certainly stay here again - as a couple. Geared more towards the couple weekend, business traveler than family travel.	
Nov 23 2008 	Nicely done	Stayed at DoubleTree for company meeting and was very pleased with choice.Meeting room was sufficient, food and food service was excellent, room was clean, spacious and modern. Guest services were friendly and professional.Hotel is walking distance to shopping on Michigan Avenue and countless first-quality restaurants and tourist related attractions.At $200 a night, don't know if I'd stay there when travelling with family but would welcome the opportunity to stay there again when it's on the company dime.	
Nov 3 2008 	Very nice!	I stayed at the DoubleTree for 5 nights and I think it is a pretty good hotel. The staff is friendly and want to help, but have their mistakes from time to time. The rooms are spacious and clean but have some details that betray the fact is a renovated hotel (old TV, noisy AC, no safe in the rooms) but everything else (carpets, bathrooms, desk, beds) is new and very clean. The bed is super comfortable. The hotel’s location is very good for shopping and eating, if you are more into museums it is better to find something in the Loop.Other reviews said the elevators were very slow, I didn’t have any problems there. What I didn’t like is that they charge the use of computers in the business center.	
Oct 29 2008 	Great location and service	Front desk staff were friendly and helpful, and housekeeping did an excellent job every day. There are signs that it's an older property; in our room there was water damage to the bathroom ceiling and some grime in hard-to-reach corners, though in general the hotel was impeccably clean and our room perfectly comfortable. Great location at the intersection of E. Ohio St. and Fairbanks Ct, lots of shops and resturants nearby, Magnificent Mile just two blocks west, and hotel is within easy walking distance of bus and subway (helpful as parking at the hotel is $38/day). Perhaps a bit pricey (we paid $236.55/night for a Thursday-to-Monday stay), but worth it to us -- your milage, of course, may vary. Overall, great service in a great location.	
Oct 18 2008	Vey handy for shopping.	We stayed here for one night on a tour. The hotel is very smart and is situated close to the shopping area and Navy Pier.Our room on the 7th floor was big and comfortable. The only small minus point was the very powerful air conditioning unit – it was so powerful that it tended to wake us up overnight each time the fan started.The hotel staff were very friendly and helpful.There is an Einstein Bros. Bagel Shop off the hotel lobby which we found to be very adequate for a light breakfast.	
Sep 25 2008 	Great Location - Great Staff - Stylish Comfortable Clean	The location couldn't be better; the staff couldn't be nicer or more helpful, (esp. Fre, Cookie, Ben and Vlad), and the facility itself is very modern and stylish. Rooms are comfortable, though not terribly large, and are beautifully decorated. Housekeepers were friendly, and did a great job keeping our rooms clean (I mean - really clean), and working around our come-and-go tourist schedule. The cookies, a Doubletree staple, are not to be missed (you can even purchase some for the road). Our only disappointment was with the young male concierge - who could have been a little more friendly and helpful without acting as though we were an interruption to his day. Other staff stepped in, though, to make great recommendations for top dining options; give directions; and just generally accommodate our every need.  We would definitely stay here again, and recommend it as a perfect choice for tourists and business travelers.  Nearby places we enjoyed were D4 (Irish pub/restaurant); Volare' Italian Restaurant; the Grand Lux Cafe'; and of course Mag. Mile shopping and Navy Pier's Ferris Wheel (which, though, at $6 per adult, only takes you 'round once).  Other Chicago favorites: Wrigley Field; Second City; Rebar at Trump's International Hotel and Towers (great river/skyline view!), the John Hancock tower 96th floor lounge; Architectural Tour on the Chicago River. Great job Doubletree!	
Sep 16 2008 	Good Location Nice Hotel	My stay at this hotel was my first vacation with my girlfriend and for this reason I was particularly keen that it be comfortable :-) Other than a rather annoying wait and initial difficultly at checkin (I had to be a little more firm than I would have liked in making sure we received our room in a timely fashion), we were both very pleased with the hotel. It's three blocks from Michigan Avenue and close to pretty much anything you could possibly need, consequently I would recommend this hotel unreservedly. Based on my own experience and what I've read on this and other online message boards it seems that you're best off price-wise either booking through a package (we used Travelocity) or even Priceline (I've never used it myself though.)	
Sep 9 2008 	great place	very nice, updated hotel. Very comfy, but only negative was that the parking was $38 per night. I believe you may be able to park next door for $28, but probably not worth the hassle.	
Sep 4 2008 	Great Hotel	You really can't beat the location. You are just a few blocks from one of the best shopping miles in the world. There is a restaurant in the lower part of the hotel and i would HIGHLY advise you to AVOID it at all costs. The food was terrible, bread stale and drinks flat. The lobby is very modern when you walk in and the service from the bell hop is great. The front desk staff is a bit slow on the check in but I am not sure if it is their fault or if they just need to have more people working behind the desk. The concierge is helpful and made some good recs.The room itself was a medium size room that you could easily see was recently renovated. Bathroom was very nice with a large mirror and sink/ vanity. Shower was clean and spacious. One thing that I would say the hotel should consider is putting a fridge in the rooms. Overall, great stay, good location, clean rooms, helpful staff.	
Aug 25 2008 	Great Location	Hotel was great! It was a very busy weekend for Chicago, but the hotel was clean and friendly. Elevators were slow, so we took the steps! (It helped we were on a low floor). We were able to walk everywhere we wanted to go. Would definately stay in this hotel again! We only had one bad experience while there...trying to get a Chicago Style pizza. We went to Giordano's to experience the worst service imaginable. The host was completely rude and insulting. We will never step foot in that restaurant again! My suggestion is to try Uno's or Dewey's. Field museum was a great way to spend the morning, the ballpark a great afternoon and American girl for the evening!	
Aug 25 2008 	Doubletree suits our needs in Chicago	Got a great rate ($159) through travelzoo for our King w/ sofabed room. The room was great for two adults w/ two small children. Even when the couch was opened to a bed, there will still plenty of room to walk around. Great windows overlooking the Hancock bldg (for a spectacular lightning storm the 1st night there). Beds are a little soft, the bedding was wonderful. We slept well in the room and never had any noise. 18th floor was a nice spot and the hotel even accomodated our request at check-in for our other family members' rooms (two add'l rooms) to be assigned to the same floor. Warm cookies at check-in always nice.The pool is outside and the water was cool. It was refreshing after a warm day, but we didn't stay in long. Customer Care staff were really helpful anytime we needed anything you just pick up the phone.Location great. Easy walk to Navy Pier, great hot dog stand outside the hotel (Hot Diggity Dogs), Michigan Ave a close walk. Although I would have preferred a suite style hotel, and/or breakfast included with the room ... this hotel met our needs and the location made it easy to walk and get a quick bite to eat before starting out our day.Would stay again.	
Aug 20 2008 	Great Hotel would stay again.	Close to everything. 5th Floor roof pool was cool. Kids loved it. We had an adult beverage while they swam. Staff nice, no problems. Had breakfast in restaurant. Kids had the all you can eat buffet for $6.95 (off menu was $6 for pancakes alone), I had an omelet skillet w/toast, hashbrowns. $10.95. Buffet would have been $15.95 for adults. Quick service, good food. Would stay again.	
Aug 16 2008 	Really Slow Elevator	The Doubletree has a great location on Chicago's Magnificent Mile. Our room was fine. Clean, comfortable, fairly appointed. We were there Thursday and Friday evenings. This is a large hotel with many floors. We were on the 20th. The average wait in the morning to get down to the lobby was over ten minutes. I timed it. Maybe only one elevator was working, but several times a packed elevator would come by and one just couldn't get on. It was very annoying. There was over an hour wait for room service. Our room was not ready when we arrived for check in...after the usual check in time. There was a 30 minute wait for a bagel and a cup of coffee from the Einstein Bagels located in the lobby. Once you got down to the lobby. Parking in the hotel is over $35/day but this is normal for this area of Chicago. We were overcharged for our internet usage. The operator quickly fixed this, but I was annoyed.The outdoor pool is fine for children. Nothing special. The afternoon we were there, the pool was shaded by the surrounding tall buildings. The indoor pool as spotty hours when children are welcome, so we weren't able to use it.I would avoid this hotel in the future.	
Aug 7 2008 	Great Location Safe area and good service!	Stayed at the Doubletree from 08/01-08/03, very clean hotel, close to mag mile, and in a safe part of town (next to Northern Western University). Tons of people staying there because of Lollapalooza, Cubs in town that weekend, and some various conventions.Enjoyed the stayed, cleaning staff timely, and front desk very helpful. ...Ask for extra cookie too, there are soo yummy!	
Aug 6 2008 	Noise Problem	We stayed at this hotel Aug 3 and 4. I agree with the other comments on this board, the location is great, the staff was friendly, and the room was nice. However, during the second night there was a party in the room next to us. At midnight, I called the desk, and they said they would send security up. I'm not sure if security ever came, but there was no quiet until much later that night. When we checked out, I asked at the desk, but the morning staff had no information about the issue.	
Aug 6 2008 	Quite a pleasant surprise. Lived up to reviews	I was in town for one night with my 6 year old and 10 year old. Upon arrival check in was smooth and staff friendly. We were early for check in and were able to check in anyway.The hotel was extremely crowed but the staff handled it like pro's.The rooms were clean and remodled and the the decor was trendy and cool.Although we didn't swim the hotel has an outdoor pool on the roof which was fun to see.When we checked in and out the front desk and all employees we met were friendly.This hotel is in a great spot, only about a 15 minute walk to Navy Pier and about a 5 minute walk to shops on Michicgan Avenue. Compared to the other hotels near Michigan Avenue this hotel was quite the deal.	
Jul 28 2008 	A delightful hotel in a great location!	We stayed at the Doubletree for 4 nights, July 20 through the 24th with our 5 and 3 year old children. We paid roughly $89 a night through Priceline and feel we got a great value. We had stayed one night prior at the Intercontinental. I would choose the Doubletree over the Intercontinental any day of the week! The hotel rooms have been nicely updated and feel fresh, clean and new. The bedding is fantastic and very comfortable. The rooms (we had 2 queen beds) were plenty spacious and our room on the 15th floor had a neat window seat with a pillow that our kids enjoyed sitting at and checking out the street action below. Overall the staff was very courteous and helpful, particularly the bellmen. I did not find the concierges helpful at all - they merely wanted to hand out a pamphlet with selected restaurants on it and seemed annoyed to answer my questions. You cannot beat the location of the Doubletree - 2 blocks to Mag Mile and public transport. We didn't bother to rent a car and spend the $40 or so a night for parking. We just walked 2 blocks and hopped on a bus or in a taxi to see whatever tourist attraction we were taking in that day. Shopping and restaurants are plentiful in the general area and the location is very safe.They have a great Einstein's bagels on the main floor which was a good, inexpensive breakfast option for us as well. I will definitely stay at this hotel again the next time I visit Chicago.	
