	"The Finest Chicago Hotel I have stayed at to date"	This past week I stayed at the Sutton Place Hotel in downtown Chicago. I was attending a medical conference and the location of the hotel, within walking distance of the &quot;Miracle Mile&quot;, downtown and the Lakeshore made it a perfect location.&quot; I have stayed in many of Chicago's finest hotels, many of which are typically priced well above the level of the Sutton Place Hotel. I have never stayed in a finer hotel in Chicago. As a comparison, my medical conference was held in a &quot;Five Star&quot; hotel, five minutes walking distance from the Sutton Place. I was in several of the rooms at this &quot;Five Star&quot; hotel as a guest of fellow physicians. I in fact have stayed in this &quot;Five Star&quot; hotel several times in the past, yet without question the Sutton Place Hotel was finer, in my opinion, in all respects. The Sutton Place Hotel's price was one quarter of this &quot;Five Star&quot; hotel. I was placed on the Penthouse Suite of the Sutton Place, I had a perfect view, my room was spotless. Both room service and the attached restaurant / bar were excellent. The hotel offers a business center in which guests are able to use the internet for free, which allows me to leave my laptop at home. The valet parking rates, with hotel validation, are a very good deal. I would HIGHLY recommend any Chicago traveler, for business or pleasure to stay at the Sutton Place Hotel.	
Mar 30 2009 	The Sutton Place Hotel in Chicago is in the best location and offers the friendliest service making it a pleasure trip.	My recent stay at the Sutton Place Hotel was fabulous. From the first minute I arrived, every staff member not only offered polite, professional service but genuinely seemed love their jobs. This is a pet friendly hotel in the heart of the Gold Coast. The location is great as it is located next to great dining and shopping.My room had an awesome view, it was clean and had great amenities. I highly recommend this hotel to anyone travelling to Chicago.	
Mar 6 2009 	Best of Chicago - Sutton Place	I've stayed in many hotels in downtown Chicago, and the Sutton Place is my absolutely favorite...hands down. My husband and I just returned from our 4th trip to the Sutton Place, and all four trips have been wonderful! The location is great, the rooms are fabulous, but what makes this hotel top-notch is the staff. Gary, the head doorman, makes you feel like you are the one and only guest staying in the hotel. He is FANTASTIC!! You are just a couple blocks from Michigan Avenue and Water Tower, there are several great restaurants nearby (you must try Gibson's Steakhouse if you are looking for a place to eat....but plan ahead....you will definitely need a reservation on a weekend). Treat yourself to a stay at the Sutton Place. You won't be disappointed.	
Mar 5 2009 	Good place to stay for Chicago business trip	Spent 2 nights there - Room was much better than average. Clean, quite (19th floor). Check in / Check out was smooth as can be. Good internet connection. $10 cab ride to Sears Tower. $50 ride to Airport. Lots of places to eat and shop within walking distance including groceries and pharmacies.	
Feb 25 2009 	Absolutely Perfect	The Sutton Place hotel was absolutely perfect! Our room on the 22nd floor gave us plenty of space, and was spotless. The view was spectacular, and the balcony was a great place to see the cityscape (if not a little chilly in February). The bed was extremely comfortable; better than any other hotel bed I have slept in. Service in the hotel was amazing. It never took more than 2 minutes to get a bucket of ice from room service. Mark, the concierge, perfectly set-up chocolate covered strawberries and champagne for Valentine's day. They were in the room when we arrived. Louis, and Cheryl drove me to my seminar every morning in the hotel Cadillac, which was extremely nice and, clearly well maintained. Louis was always fun in the morning. He told hilarious stories during the morning rides. Definitely, a real character. The location is tremendous. In the Gold Coast area of Chicago, the Sutton Place is located a few blocks from the Magnificent Mile. Also, the best restaurants and bars are no more that a couple of blocks from the hotel, with most (including Hugo's Frog Bar, and Gibson's Steak House) across the street. The Whiskey Bar is located in the Hotel. Overall, the Sutton Place delivers understated elegance, impeccable accommodations, and outstanding service at a great value.	
Feb 18 2009 	Warm and elegant	Wonderful, friendly, classy service from the door man (Gary), the concierge (Cheryl), and the front desk staff. The lobby is small but lovely and cozy, the rooms are spacious and modern and very clean. We had a great--and I mean great--mattress. Luxurious robes, convenient slippers, big fluffy towels, nice toiletries, excellent shower AND a large, separate tub in the bathroom made it a haven to come back to. A surprisingly good Mexican restaurant is in the lobby. With so many restaurant choices in Chicago, we ate there only once for breakfast, which was delicious and too plentiful to finish; but were told by our friend, who had arrived several days earlier, that the dinner he had there was exceptional. Cheryl, the concierge, got us on standby for an Oprah-show taping, and we got in! Convenient to everything, many attractions within walking distance, or a short $4-5 cab ride got you about anywhere you want to go. Chicago's Symphony Hall is just beautiful.	
Feb 3 2009 	Can't Wait to Stay Again	The Sutton Place Hotel was simply wonderful! The room was large, spotless, extra comfortable beds, and the view was amazing! The hotel staff was extraordinary. Perfect location for dining and shopping. I couldn't ask for more. I will definitely be back.	
Feb 3 2009 	Perfect Chicago Location: The Sutton Place	I was looking for a hotel centrally located in Chicago, with access to great restaurants and attractions. The Sutton Place was perfect. Our room was on the 15th floor with a nice view of the city. The staff was very cordial. I asked the doorman for the name of a place where I could have my shoes shined. He said he would do it himself. When I asked what he would charge me, he said, &quot;Whatever you see fit, sir.&quot; The restaurant choices around the hotel are excellent, and a lot of must see places are within a short cab ride. Great place, great price, great night.	
Jan 19 2009 	Would stay again in this fantastic location	We stayed at the Sutton Place in Chicago for 2 nights. The location of the hotel is excellent within walking distance of the Magnificent Mile and all the shopping you could desire. We walked everywhere for all our shopping and meals. The service was excellent and the room while on the smaller side was very comfortable. The room was very clean and the bed was sumptuous. The best part was the separate bath and shower in the bathroom. We were there during the cold snap and a nice hot bath was perfect after walking around! The parking charge ($42/night) is on the steep side but was comparable to other parking in town and did include in/out privileges. The concierge and doormen were very friendly and offered great recommendations for dinner. If I could get a comparable rate ($150/night) I would definitely stay there again. We walked everywhere. Like another reviewer, I would also recommend the Pancake restaurant across the street.	
Jan 8 2009 	Exceptional choice in Chicago	My recent business trip to Chicago found me searching for a hotel in the heart of the city. My choice to stay at the Sutton Place Hotel was met with great delight. The accommodations were exceptional and spacious with an upscale and intimate atmosphere. The staff was extremely professional and helpful. The location was fabulous and allowed me to easily get to both business meetings and locally exceptional restaurants. My only regret was that my stay was not longer. This is a great hotel!	
Dec 25 2008 	No Ghosts on Halloween at the Sutton Place Hotel	My wife and I spent 3 nights here including Halloween Eve in which we participated in the revelry on Division and Rush streets. This hotel has a fantastic location 1 block away from Lake Michigan on a street lined with beautiful 4 story brownstone homes and a stone's throw from the famous shopping on Michigan Avenue and the Miracle Mile. We have stayed here numerous occasions and always have enjoyed our stay. Take advantage of Louis the chauffeur to get around town. Rooms were quiet, clean and tastefully decorated. Every request from housekeeping was immediately addressed. Very efficient check-in and out. Staff always very friendly and helpful. We love visiting Chicago and this hotel always is the icing on the top.	
Dec 18 2008 	An Excellent Choice!	I loved the Sutton Place Hotel in Chicago! The most amazing part of my experience that I will never forget is the bed! It was the most enjoyable nights sleep I had in a long time. The room was cozy, beautiful and so comfortable that I felt like I was at home. Usually its hard for me to sleep in Hotels but not here, I slept so good and felt so rested in the morning! I would recommend this Hotel to anyone I know. From the Hotel staff to the room to the location - I rate this Hotel with 5 Stars! I can't wait to go back.It was a great experience!	
Nov 27 2008 	Sutton Place Chicago.....First Class	The overall experience at the Sutton Place Chicago was first class. The staff was very friendly and knowledgeable and every request was handled quickly and efficiently. The hotel's location is very close to really good shopping(Michigan Ave., Oak Street, etc.), and excellent restaurants. The room was nicely decorated and had a great view of Chicago's skyline and Lake Michigan.	
Nov 24 2008 	We love Sutton Place!	This is an exceptional hotel in an ideal location. Wonderful staff - so friendly and helpful. Luxurious bathrooms with the best shower I think I have ever used! Wonderful view, comfortable beds, CLEAN in every respect, delicious coffee in the morning...it was heaven!I will definitely stay here the next time I'm in Chicago!!	
Nov 23 2008 	Fantastic!	We loved it! The staff was wonderful and very attentive. The room was spatious, clean, and very comfortable. It was a fantastic stay!	
Nov 3 2008 	I will definitely return to Sutton Place!	This was my first stay at Sutton Place and I will definitely return. the location is unbeatable...the service was exceptional, and my room was outstanding in every way.. I will return to this hotel on future trips to Chicago regardless of whether I'm travelling for business or fun. First rate in every aspect!	
Oct 9 2008 	Fantastic Evening Downtown	My wife and I were celebrating a friend's birthday downtown. We all stayed here and couldn't have had a better experience. The location is perfect. We had plenty of fine dining and bar options. We were also very close to Michigan Ave--the ladies loved that! the hotel service was first class. We were treated like royalty from the time we pulled up until the time we drove away. I can't write enough to explain what a pleasent experience we had at this hotel. We will most definately be staying at this hotel again!	
Oct 7 2008 	You can believe all the excellent reviews!	I chose this hotel based on tripadvisor reviews, location, and a hotels.com total price of under $200 a day (booked 9 months in advance for six nights). For me, it was a splurge at the end of a ten week Europe trip. The location is outstanding! On the northern end of the Magnificent Mile, you are in a great neighborhood with lots of restaurants. I especially liked being a few minutes walk from the Division St. bars and pubs (try Butch McQuire's), and the restaurants on the streets just west of the Mile. I felt they were much nicer than the mile itself - with some original architectural gems still surviving (although not for long). I found the service at the hotel outstanding. I arrived around 8 pm, and was given a low floor room facing the back courtyard, with a view of the machinery. When I asked for another room facing the front, despite the deal on hotels.com, they immediately moved me to an 18th floor room with a fantastic northern view (there are a lot of low rises going north parallel to the lake). The rooms are what you would expect from an expensive hotel chain. Since it's not my usual (see my other reviews), you need to read others to see if it's worth full price. I was extremely happy with everything, and felt it was definitely worth the money if you have it. I have been in a few Hiltons, Marriots, Sofitels, etc., and it is a cut above. In case you are wondering, there are other Sutton Place Hotels, the original actually being on Sutton Place. I would definitely stay here again.	
Sep 11 2008 	Impressive Hotel and Location	We celebrated our 20th wedding anniversary in Chicago and stayed at the Sutton Place Hotel in the Gold Coast neighborhood. We couldn't have been happier with the hotel or its location. The room was large with lovely decoration and an outstanding view. The bathroom was also large and luxuriously appointed with a soaker tub and separate shower. When we arrrived a bottle of chilled champagne and a plate of lovely snacks was waiting in our room along with a card congratulating us on our anniversary. It was a very nice touch and certainly started our vacation off right. All the staff we encountered in the hotel were professional and helpful.The hotel is located in a lively neighborhood with great restaurants and bars and is only a short walk to Miracle Mile shopping and attractions. We would definitely return to this hotel.	
Aug 11 2008 	great location but tired hotel	Sutton Place is the ideal location - set in the middle of the Gold Coast within walking distance of tons of great restaurants and nightlife. Just a few block from the lake and terrific running and biking paths. The hotel itself needs major renovating with peeling wall paper and stained furniture. Don't bother with the exercise room as it's essentially a few machines in the size of a small hotel suite. The staff is inconsistent - some were nice and professional while others were not. room service was delicious because the hotel restaurant is very good.	
Jul 12 2008 	Great Location Friendly staff On the whole a good hotel	I was a little worried when I had read some more recent negative reviews on the Sutton Place, but it had been recommended to me by a friend so I decided not to change my booking. I arrived in Chicago early in the morning, and got to the hotel way before any check in time, expecting to need to leave my bags and come back, but the staff were extremely helpful, knew that I had just come off a London flight and found a room to check me into straight away. The rooms themselves look a little tired (still a bit stuck in the 90's I guess) but nevertheless are extremely clean, and the bed was the most comfortable I have slept on in some years! The addition of a CD/DVD players is a useful feature, and makes a chnage from having a TV on in the background. I felt very safe in the area (lone female traveller) and the hotel is a short walk from the Clark/Division Red Line station. Its also perfectly placed on rush street with the buzzy nightlife (although you can't hear it in your room) and is a 5 minute walk from Oak Street beach and Michigan Avenue. Its a nice part of town. Having been pounding the streets of Chicago on a daily basis, I did take the opportunity to order room service a couple of times. The food and the level of service was great. Also over the road is the original pancake house - not to be missed for breakfast! Its worth the queueing if the there is one and has some great corned beef hash!All in all a fantastic stay, and I would stay at the Sutton Place again!	
May 27 2008 	Ask to see other rooms!	We were at this hotel with a group, and for some reason we were the unlucky ones to get a small room/small bathroom, and bathrooms are very important to me. We are members of their club, and still were given the smaller room. I would have complained but my husband does not like doing that, so we stuck with it. It was a decent room and bath, but seeing that others had soaking tubs and showers while we only had a &quot;too narrow&quot; tub, was upsetting. One would think their staff would know to give club members a better room, not a worse one, upon check in.Simply put, ask to see another room if you get this one (it was the smallest on that particular floor plan); most of their rooms are larger.	
May 4 2008	Okay but definately not wirth the amount it gets	Upon check-in I realised I may have made a mistake. Having arrived from London I was tired and very miserable after a bad flight and less than hospitable welcome from US Immigration I was then subjected to a 45 minute check-in process as the computer had no booking for me even though I had booked direct with the hotel some 4 months previously. I eventually made it to the junior suite but was amazed at the smallness of the room which is really saying something coming from the UK and the standard size of hotel room here. The water pressure was non existant, the mini bar was well stocked but with basically vast quantities of the same product, the room stank of stale tobacco even though I had booked non smoking, the bedding was stained and dirty same with the carpet throughout the room, three lightbulbs had blown, the toilet continiously kept on filling, the cd player didn't work in all the room was a total disgrace.Having spoke to the GM I was advised that if I was unhappy maybe I should check out. Way to go with the great customer service!!!! I did exactly that although he seemed a little surprised when I also cancelled the 5 other suites I had booked for friends who were joining me in Chicago for the weekend.In a word don't wast your money here, the Ritz Carlton is much better!	
Mar 22 2008 	Great Location	This hotel is in a great location! Lots of great restaurants are nearby and it's a only about block away from Michigan Ave. The employees here are friendly and very helpful. Our room was very spacious and clean. Nice soaking tub. TV with DVD player and surround sound. We would definitely stay here again.One tip - Skip the valet unless you really want the convenience. It was $42.00 per night. There is a self park garage one block away for about $25 per night.	
Mar 3 2008 	Many better options for your Chicago stay	My girlfriend and I arrived at the Sutton Place Hotel on Saturday, March 1st, 2008 for her 30th birthday celebration night on the town. The hotel is conveniently located near Rush street downtown and was easy to find. Upon arrival, I opted for the onsite parking ($42/day) with valet service. Check-in went smooth and the room was nice although 10 floors lower than the one promised on the phone. The backside view was mainly of two buildings under construction but we could see the spires from the Sears Tower in the background which was nice. The room itself was luxurious and spacious and the bathroom was very nice... until you try to take a shower. The water pressure on our floor was trickling at best but I am glad I was able to take a good shower upon arriving before hitting the town. The next morning, we used the included continental breakfast voucher for room service which arrived in a timely manner. After breakfast, we were going to finish watching our movie, take showers, check out of the hotel and hit the art museum. Just as we were finishing the movie, the cable went out.. every channel. We waited a while and my girlfriend just got in the shower. She mentioned that there was not enough water pressure to make the shower work so after fiddling with it, we got it to work by starting on cold, activating the shower head and then gradually working it back to warm until it hit that sweet spot of luke-warm/showerhead turn-off. Little did I know she was lucky to get a shower to start with. When it came to my turn, there was no hot water at all (no water running through hot spigots in the shower or sink) and yellow water from the cold making us gag just looking at it. The toilet then started running continuously and filling with yellow water. A call down to the front desk at least a half hour into all of this indicated that a transformer was out down the street. I asked if there was anything they could do and they stated that it was out of their control and that there was absolutely nothing that could be done. I would have at least appreciated a call with an update or a late checkout or something - nothing was offered except a quick hang-up. I am not a rude traveler and I usually let the little things slide but not having water for a shower is a pretty big deal for me in a hotel. I am pretty sure I have never had that problem in other, less luxurious hotels - I HAVE had better service at almost ANY other hotel. So, if you are staying in Chicago for anything important and do not want to be at the mercy of excuses and poor customer service for problems &quot;outside of the hotel's control&quot;, try out the Four Points by Sheraton downtown. I stayed there 2 years ago for a week and the service was impeccable. I was kicking myself mid-morning about not revisiting the Sheraton again this time.	
Feb 29 2008 	Great hotel	We stayed here for a long weekend over Labour Day and had a great time. The location is great, with Morton's Steakhouse about 2 minutes away and The Original Pancake House across the street for breakfast which was delicious - definitely worth the queueing! It was also walking distance to The Hancock Center and Oak Street beach and just a little bit further to the Sears Tower area.The hotel itself was very nice and modern, staff were friendly and the rooms spacious with large beds and a good shower. I would definitely recommend this a good place to stay in central Chicago.	
Feb 26 2008 	Fine some positives some negatives	I recently stayed at the Sutton for 4 nights.Positives:-Great location, end of Magnificent Mile, plenty of food options, bars, shops and I felt safe (solo female traveller)- Clean room with desk, tv, dresser, large clean bathroom- Heavy curtains made the room dark so it was easy to sleep, the room was also very quiet- Really friendly door men- Expedia offered good priceNegatives:- Staff were a little offhand (query if being a young traveller made a difference??)- Haphazard housekeeping, 1st morning toiletries were replaced with half empty (ie presumably used by someone else!) bottles and the next day not at all- Room service and bar staff tended to &quot;hover&quot; over you- No safe in the room- Little information about the hotels facilities in the roomall of which tended to just take the glow of any otherwise great stay. I'd still recommend though as these could all be &quot;one offs&quot; vs indicative of the hotel and its staff generally	
Jan 24 2008	gorgeous hotel @ great location	Staying at the Sutton Place Hotel one of the first weekends right after new years was a perfect start into the new year. Although it was very very cold in the windy city when we arrived (now I know where this nickname comes from), we were hearty welcomed by Shelby, the doorman. Right after he took care of our luggage, we were able to check in with one of the receptionists at the Sutton. After a quick check-in, we were able to head up to the room to unpack. After spending some time in the room and enjoying the beautiful view of the city and it didn't matter that we were on the 8th floor, we headed out to enjoy the Gold Coast. Exploring the nice neighbourhood at the beginning, we finally ended up having a very nice (and huge) steak across the street. We called it a  night after a few hours at a club around the corner.Since the Sutton is just 2 short blocks away from Michigan Avenue, the Magnificent Mile, we almost spent the whole day with shopping. After getting back to the hotel and recovering, it was very cold outside, we came to the lobby to see the concierge. Unfortunately, the concierge was not present at that time, but Tristian,one of the receptionists, was able to get us reservations for dinner though. We chose to have italian at the IlMulino's which was outstanding. On Sunday, we asked for a late departure and there was no problem to get a later check-out. After getting all of our stuff together and doing the express check-out, we were able to head back to the sun, back to California. In general, this hotel is very nice, the room very clean and accomodating and the staff outstanding and very friendly. The location is just great. A very recommending hotel for a great price.	
Jan 22 2008 	Welcoming Attitude	My husband and I decided to take a weekend trip to Chicago. Although we chose a weekend where it was 17 degrees below zero, this didn't dampen our spirits. I expected the Sutton Place to be similar to Toronto's hotel and I wasn't disappointed. From the moment you were greeted by the doorman to the concierge and the front desk staff, the service and attitude was most welcoming. I called the evening before as our flight was early. The hotel was gracious enough to accommodate us. The location was absolutely fantastic for dining with a wide range of prices. Shopping was extremely abundant in the area and it was so close to the Magnificent Mile. With the cold weather, we spent a bit more time in the hotel than anticipated; however the room was well appointed. The bed was firm but not hard with fluffy pillows that were comfortable. It's also nice to see good quality toiletries and hair dryer available to customers. I would most definitely stay there again.S. Carter	
Jan 22 2008 	Good for the money - but not much show	I got a steal of a package rate ($145/night plus room service breakfast for two each morning for $40 and parking for $31.75) so my bride and I used the Sutton Place for a minor anniversary weekend and spent the money we saved on fine dining.We really like the Gold Coast neighborhood so that weighed heavily on our decision. We had also stayed one night at the Sutton Place four years ago so we knew the property. Unfortunately, IMHO, the Sutton Place property and service has slipped in the interim.We stayed 1/18-21 on the 14th floor. Upon arrival at 3pm Friday, which is check-in time, there were NO doormen or bellmen around - we had to carry our own bags in. This saved me some tip money but it was very cold and we would have appreciated the assistance. However, there were FOUR front desk staff with no one waiting - couldn't they have pitched in? We asked for a deposit box for our jewelry and cash and the one they gave us was very difficult to open - so much so that the staff who retrieved it for us in later days bemoaned the original placement and said they should have given us another box that worked properly.Our room was as small as I remember them from the previous visit, and the TV was a flat screen but a tube and not HD. The carpet and wallpaper in the room and the bathroom tile and wallpaper are showing wear and the shower drain was slow. Also, the hot water was an all-or-nothing proposition so you either were chilly or lobster-red. When I approached the front deak about moving they informed me the house was full and there was nothing they could do. I like to work out and used the &quot;fitness center' each morning. It had a nice view of the Rush/State &quot;Viagra Triangle&quot; but was only a passing effort at being a real fitness center. Two treadmills, two bikes, an elliptical trainer and some kind of all-in-one weight/cable apparatus were shoehorned into what on other floors is probably a guest room.I really don't like to have to ask Housekeeping for ice but in the Sutton Place that is what you have to do. We enjoyed our room service breakfast daily - no problems there at all. Delivery and gratuity were included in the $20 per person charge and it ended up being probably a 25% discount.There were no newspapers or coffee service in the lobby of this hotel. I have become accustomed to beign able to enjoy a cup of joe with a newspaper apres workout while my bride sleeps in. Not at the Sutton Place. No en suite coffee maker either.We didn't even try MEXX Kitchen - when you walked into the waiting area of the restaurant from the hotel the temperature dropped about 30 degrees - not comfortable at all. I thought maybe there were trying to save money on the heating bill. Also - no free internet, wireless or not, in this hotel. You have to pay $9.95 for 12 hours (not 24 hours as at all of the other hotels I've ever had to pay for internet service) and their &quot;business center&quot; is accessible only for a fee. Upon checkout we had to wait for a bellman who then delivered our bags and shopping finds to the lobby - not to our waiting car. I tipped him and asked him to take them to the car, but he told me &quot;the doorman will have to do that.&quot; Sorry, but I tip only one bellman from the room to my car...so I took the bags out myself because the &quot;doorman&quot; was nowhere to be found.In short, we got what we paid for, I guess, but this is a 2007 AAA four-star rated hotel. What gives?Next time, it's back to The Sofitel!	
Jan 22 2008 	Wonderful Experience	Was looking for a downtown hotel for a couple's overnight get away and this hotel was absolutely perfect. We arrived at 1:30 (and check in wasnt until 3). They promptly allowed us to check in and took our car. We went up to the 21st (top) floor and the room was very nice. It wasn't overly huge, but perfect sized for the two of us. It had a mini bar and the bathroom was incredible. A nice large tub which was a huge perk. The shower is also very nice. The king sized bed was heavenly to sleep in! So comfortable. Another huge perk was the CD player/radio in the room in which the turn down service comes in and turns on. The next day, we checked out at noon, but wanted to see more of the city, and they allowed us to keep our car and our luggage at the hotel until 6 for no extra charge. Parking is $42 but that's a better deal than what is around. The location of this place is perfect. Its right across from a few nice restaurants/bars and one block away from the Magnificant Mile. We could not have asked for a better hotel. Would highly reccommend!	
Jan 10 2008 	A nice boutique hotel	For the Memorial Day weekend of 2007, I visited Chicago. As I planned my itinerary, I initially shot for an airport hotel to save money, then figured on renting a car. But when my Chicago area friend suggested that I ditch the car rental and book a downtown hotel to better experience the city, I decided to look both in the Loop and in the River North areas. Somehow, Sutton Place caught my fancy, and I booked there.This is an edited version of a review that I had originally submitted to Epinions.com, which I have since deleted.-Rates-For Memorial Day weekend, the rates ran around $185 per night for a standard king room; without the Memorial Day discount, the room rates would've been closer to $225 per night.I booked four nights through United Airlines' UnitedEscapes package, which included roundtrip airfare from Los Angeles, for the grand total of $1,090, including taxes and fees. (The same package would've cost $990 if I had booked a day earlier. Tough luck.)-Location and Arrival-Sutton Place is a small chain of boutique hotels, with only four locations. The Chicago location is the only location in the United States; the rest are in Canada.The hotel's location was fantastic. Standing on the corner of Bellevue and Rush, it was literally steps away from the nightlife of Rush and State Streets, and only a few blocks from the Magnificent Mile (Michigan Avenue) shopping district and John Hancock Tower. Getting to the rest of the city was not too difficult, with Michigan Avenue buses heading for Lincoln Park, the Loop, Museum Campus, and Grant Park, and with two Red Line subway stations (Chicago/State and Clark/Division) a 10-minute walk away.The exact address is 21 E. Bellevue Place, Chicago, IL 60611.I took a cab from O'Hare Airport to the hotel. It was an easy ride on the Kennedy Expressway (I-90), getting off on Division, turning left, then heading a short distance to State Street.-Arriving-I arrived at 2 in the morning thanks to weather delays on my flight. Nevertheless, UnitedEscapesme, and a clerk checked me in without delay.I was given two metal keys: one magnetic key for my room, and one key for the minibar.Access to my 11th floor room was through two high-speed elevators.-The Room-Upon entry, I found a huge bathroom to the left. It was decorated in white and black tiles, with a bathrobe prominently hanging next to the full-length mirror. There were more towels and toiletries than I could count. The toiletries even included a clothing mending kit. I had to look into a drawer to find a hairdryer, however. The shower and bath were separate, and both had great water pressure and comfort.Opposite the bathroom was a roomy closet, with an iron, an umbrella (for those Chicago thunderstorms), dry cleaning bags, and an extra pillow.Next to the bathroom was the minibar and a counter. With minibar being quite expensive as usual ($2.50 for a can of soda), and with a breakable plastic tab keeping the minibar closed, I decided not to bother with it.The room itself was very roomy. Although there were no pictures hanging on the walls, a few mirrors here and there made up for it. The drawer cabinet had a large flat-screen TV on top (with 40 or so local and cable channels, including WGN and the all-important Weather Channel), and a DVD player and a receiver in the middle. A few CDs were also provided, so that I could listen to music while relaxing in the room; in fact, sometimes the housekeeping left my room with the music on.Toward one corner was a work desk, with the hotel's guide to services and a sign indicating the availability of wireless Internet. Since I didn't have a computer with me (my laptop was dead at the time of this trip), I didn't bother. I do believe that Internet connectivity cost extra - a minus in my books.A modern, purple lounge chair was located next to the bed. The bed itself was very comfortable, covered with white and brown sheets. I had no problem sleeping here, despite all the excitement of being in Chicago. The bed was flanked by two lights and drawers, one housing the Gideons Bible, and the other displaying various Chicago travel guides and magazines.My room was near the northwest corner of the building, affording me a good view of the Rush Street nightlife and a sliver of Lake Michigan. Despite the raucous atmosphere on the streets, my room was very quiet.Housekeeping came by twice a day. The first came midday to clean up, then the second came late in the afternoon to deliver two bars of chocolate, the next day's weather forecast, and a breakfast room service order sheet. The bed sheets were also folded and rolled down to make it more inviting for me to get into bed. Nice touch.My room key got demagnetized after three nights. For my final night, I had to show my ID at the front desk and get the key re-programmed. I didn't like this - reminded me of some seedy hotels in Washington D.C. and Seattle.-Other Amenities-I did not spend time exploring the rest of this skinny, tall 1988 building (remodeled in 2003), but I noticed a few amenities.Room 509 was a fitness facility. I didn't bother, as I decided that all the heavy-duty walking through the Magnificent Mile and the Loop qualified as workout.The fourth floor had a business center, but it opened only on workdays between 7AM and 5PM. I stayed over a long weekend, and the business center stayed closed for the duration of my visit. This forced me to visit the Apple Store on the Magnificent Mile to get on the Internet.There was a restaurant/bar on the ground floor, which I did not visit. I decided to eat out with my friend at a bistro (Bistrot Zinc) just a block away, and eat my brunches in some of Chicago's fine museums.There were a number of meeting rooms in the lower floors, which I did not check out.There were plenty of attendants in the lobby on the ground floor, happy to open doors and assist guests and visitors at all times.-Leaving-I left at 4:30 in the morning. Although I had the ability to check out using my room TV, I decided to check out with a clerk the old-fashioned way. With no purchases from the minibar, returning the key was all that there was.-Frequent Guest Program-Sutton Place has its own frequent guest program, with enrollment available online at its website, suttonplace.com.-As I look back-The key glitch and the closed business center made my stay at Sutton Place less than perfect. But the luxury touches were definitely refreshing, including the two maid services per day, the free chocolate, the DVD player and music, and the comfortable bed. I absolutely loved the modern bathroom as well. All at a price that's above my usual budget, but still within reason. And to top it off, the location could not have been any better, with easy access to the rest of town.I will definitely book here again for my next visit to Chicago - and given that Chicago has so much to offer, and I could barely scratch the surface during my weekend, I'm definitely returning.	
Dec 20 2007 	Fabulous Hotel Great Location	I LOVED my stay here. Met a girlfriend for a four-day, three-night shopping and play trip. The room was large, with soft beds &amp; down comforters. The decor was sleek, but cool and soothing.The bathroom was extra large, with a vanity big enough for two sets of cosmetics. Separate walk-in shower &amp; deep soaking tub. Full length mirror (and three other mirrors in the room). A dozen wooden hangers in the closet. And the staff was uniformly friendly and accommodating. The one negative - lack of a coffee maker in the room - turned out to be a positive. A call to room service in the morning brought a pot of delicious coffee ASAP, and the tray had, besides the coffee &amp; china cups, wine glasses filled with ice water and a bud vase with a flower in it. By the time we left, we had fresh flowers everywhere in the room! The hotel location was the best. Three small caveats: Parking is expensive - about $42/day - but you have in &amp; out privileges, and if you want to just leave your car the doormen will direct you to a garage a half a block away that's half the price. The restaurant in the hotel has wonderful Mexican food, but music (from the bar) that is awful and intrusive. I really don't like vintage Rolling Stones with my dinner. And there's not an &quot;easy chair&quot; in the room - just a desk with an ergonomic chair. But if you're not hosting friends in your room, that shouldn't be a problem. All in all, one of the best hotels I've ever stayed in.	
Oct 19 2007 	An exellent summer getaway	This is probly one of the nicest hotels I have ever been to it is in the heart of downtown Chicago with great views the hotel room had bath robes and a mini fridge they had cable and great dining in the lobby.	
Sep 5 2007 	Ok hotel	I booked this hotel because the reviews raved about the service and location. My experience was ok, the hotel staff was courteous, the service I received was ordinary nothing to write home about. Our hotel room was nice and clean, but there was nothing spectacular about the rooms. For the amount I paid, I expected much better service and better rooms.	
Aug 30 2007 	Great Hotel!!	In August, my two adult children and I spent a week in Chicago. We were referred to the Sutton Place through a travel agent and we couldn't have been more pleased. From the super friendly doorman to the pleasant staff when we checked in, to the roomy rooms and large bath (with both shower and tub), to the comfy robes and chocolates on the bed every night, not to mention the great location, our stay was wonderful. They even have a nice gym with a view. We could walk outside and turn either direction and find many places to eat or have a cocktail. This is a first class hotel and I will definitely stay there again and recommend it to friends. Thanks for helping make my kids' first time in Chicago so pleasant!	
Aug 13 2007 	best location in chicago	The location of the Sutton Place hotel could not be better. A block of the Magnificent Mile, close to Lakeshore Drive, and right in the middle of great restaurants and night life. Walking around the hotel at night was great for people watching, as was the small park adjacent to the hotel. The hotel itself had no lobby to speak of, which was a little disappointing. No place there to sit and recuperate from a long day of shopping. The room was pleasant, bathroom large w/ deep tub- however, the towels were like sandpaper. For a 4* hotel, you think they would upgrade their towels.I would definitely stay there again. The steakhouse across the street was excellent (something w/ Frogs in the title) and we ate there 2 nights - ate steak one night, lobster the next, and sat out on the sidewalk and dined. Great!	
Aug 9 2007 	Awesome Hotel	In July our family (2 teenagers) stayed at this beautiful hotel, partly for business, mostly for pleasure. I LOVED the location we were in. The Rush St. restaurants are the best. We ate at Carmine's for lunch, Gibson's Steakhouse for dinner, and The Lux Bar for breakfast. All were fabulous, and for lunch &amp; breakfast ate outside, which is always a treat, isn't it? The room was very clean, and the bathrooms were great, with the soaking tub, and seperate shower. Chicago in the summer is THE place to be. Peace.	
