	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
Nov 25 2008 	A+ for Swissotel	Welcoming and friendly staff! We had a great room on the 10th floor that had a view of the Navy Pier and the Magnificent Mile; was perfect for the festival of lights parade and fireworks. Great location for shopping and dining; everything is in walking distance.The room was great and exceeded our expectations. VERY clean!! Separate shower and tub, hair dryer, iron and even robes.Valet parking was convenient and they charge $50 per 24 hours. We were told that valet was the only option however there are other parking garages close by, but we didn't want to have to tote our luggage a city block.Workout rooms were awesome...plenty of machines and a great view of the city. Pool was nice and the water was warm. Locker rooms were clean and had a sauna.Gift shop was even great. Very nice cashier and prices were quite inexpensive.Beware that the elevator line gets quite long during busy periods even though there are 6 lifts, but lines do move quickly.	
Nov 16 2008 	comfortable	Hotel 5 minutes walk from the start of the magnificent mile shopping street so a really good location. Our room, on the 35th floor, looked out onto the Lake and Navy pier.Rooms large with a huge flat screen T.V, big comfy bed, bath and a seperate shower cubicle in the bathroom with lots of towels, dressing gown,hair dryer, good supply of soap/shampoo etc.Coffee machine which was high tech,(it took a while to figure out how to use it) with individual coffee capsules (like an espresso machine).We found the staff very pleasant and helpful. Breakfast was a bit disappointing though, cold plates to put your hot breakfast on!!, staff very slow to offer coffee &amp; clear tables, and the cream on our table was off so had to ask for replacement, but in a nice tranquil setting with a good selection of fruits, cereals, pastries. Room service was extortionate though, very very expensive, so we didnt bother, as food outlets a few minutes walk away.There is a gym, although i didn't use, but i think they charge for it too.Busy bar just off the lobby.I did have problems a couple of times with my keycard which wouldn't let me in the room, but hey, that can happen anywhere! Overall, lovely hotel, fab location.	
Nov 15 2008 	Excellent Location	We stayed at the Swissotel after finding an excellent fall rate on TravelZoo, and we're glad we did. The location is central to Millenium Park, Magnificent Mile, and the Loop, and has excellent views of the lake and Navy Pier. This is an excellent place to stay for travelers wishing to spend a lot of time walking around downtown Chicago and visiting the city. (You will need to walk a number of blocks to get to a subway station, but nothing unusual. Taxis also wait outside the hotel.)Our two double beds were very comfortable. Roomy bathroom with no cleanliness issues. Hotel staff were excellent in providing us assistance when needed. We were two young people visiting as tourists, and didn't get the snooty vibe that a few other reviewers say they experienced.I would definitely return -- in particular if we were offered the promotion again. Use caution when attempting to email the hotel -- the web form didn't work and when I emailed the manager after the stay to let him know, I never heard back. The constant threat of additional fees (the minibar, which use automatic sensors to charge when something's been removed; Internet; health club; parking; $24 for continental breakfast; etc.) could also be improved, but we didn't find any undue charges on our bill. Check-in and check-out was a breeze. We also appreciated the relatively late check-out time (noon).	
Nov 10 2008 	Spectacular views comfy beds	My husband, 6 year old son and I stayed here while visiting family in Chicago, and it got rave reviews from all. Comfy beds, amazing view (even in our budget priced room, we saw the Chicago River and Michigan Avenue), and nice in-room amenities made the visit. We loved the Keurig coffeemaker, the iPod dock, the easily-accessible jack to plug in our DVD player, the sparkly clean bedding, the plush robes. Another nice amenity for us the kids' table for young ones to wait while parents check in. Great staff -we needed extra towels one morning and someone arrived within 5 minutes. There was a great pool that we didn't even get to enjoy. Maybe next time.It's convenient to museums, shopping, and great restaurants. We enjoyed West Egg Cafe on Fairbanks for two breakfasts and recommend that as well. All in all, highly recommended and much enjoyed. Special thanks to the Trip Advisor members who recommended the on street parking (just east of the hotel, and free overnight), and Bockwinkels grocery store on Columbus for snacks and drinks. We got a tremendous rate from TravelZoo, which made it all the better. Valet parking is a breathtaking $49 a night but we managed to avoid that with the street parking.	
Nov 4 2008 	Very Nice	We have just returned home from a weekend in Chicago. Ihave to say our stay was awesome! The hotel was nicer than expected. The staff was friendly, courtious, and helpful. The location was excellent close to busline navy pier and boat tours. Two blocks to mag mile and lots of shopping. Will definitely stay here again!!!	
Oct 27 2008 	Great Location horrible staff	Hotel is excellently located to Magnificent Mile (5 mins walk), Navy Pier &amp; Theatre district (15 mins walk). Rooms are good quality and clean, what you would expect from a four star business hotel. Gym is very well equipped (for a fee).Front Desk Staff were shockingly bad. Very unwelcoming and seemed like they did not want to be there. Concierge staff were snooty and were not very helpful. We were overcharged by $27 on a couple club sandwiches and drinks we ordered from room service. I would only stay at this hotel again if the room rate was really low.	
Oct 22 2008 	Breathtaking - Breautiful - Luxurious	My stay at this hotel was a great experience. The rooms are large, the view was wonderful overlooking Navy Pier. The bar had great drink selections, but was very expensive. Same for the restaurant onsite. There were nearby restaurants you could go to to save some money.The bedding &amp; bath towels were wonderful. The bed was the most comfortable bed I have ever been in. The talking elevator was fun (a womans voice called out the floor numbers). The staff was very friendly. The room was very quiet, making it very easy to sleep. No meals were included. The pool was free to use, however the exercise room did have a fee. There were plenty of towels available for use at the pool.You could always find a taxi - they would wait outside the hotel ready for you!I would recommend this as a perfect location - inbetween great hot spots with a wonderful view and a very luxious feel.	
Oct 15 2008 	Class Act!!	We enjoyed our stay at the Swiss. The staff was helpful and very polite and friendly. The room was great with a beautiful view of the lake and Navy Pier. Our train back to N.Y. was canceled due to flooding of tracks so we called the hotel from Union station and they gave us a room at a discounted price. I would book Swiss again and highly recommend it. Class act!!	
Oct 8 2008 	Nice location TERRIBLE service	Despite having a prepaid reservation, when I arrived with my 3 young children at the hotel at night, I was informed that the hotel was oversold and that we would be accomodated in a Hospitality Suite. Basically, this was a meeting room with rollaway beds and a bathroom. the next day we were upgraded to a suite. The suite had beautiful views but a broken light bulb with dangerous glass sticking out, and a fold out bed that literally sagged so much it touched the floor! I was sent an apology letter by the assistant manager, asking that I contact him in case of any problems, I left messages for him and the other manager to no avail. The day I checked out, it took them 45 minutes to locate where they had stored our luggage. Yvonne the concierge is a true professional and the highlight of the hotel. The rest of the staff are slow, and unresponisive. The rooms are very nice , the location is excellent, but the service is Terrible!	
Oct 6 2008 	Top quality hotel top quality location.	We booked through &quot;Purely America&quot; of England and we had read some pretty bad reviews before travelling but we found the Swissotel to be very classy, very clean, and very comfortable with superb beds and brand new bathrooms. The view from our 29th floor which we asked for and got was brilliant, the free swimming pool on the 42nd floor was an experience to enjoy and savour, and the breakfasts were absolutely fantastic. A down side was the temporary small bar due to renovation and also the non-availability of the subway to North Michigan Avenue also due to renovation. However the absolutely fantastic location of this hotel meant that all the main city centre sights of Chicago are all within easy walking distance, so it is probably better to walk along the street than down a subway. Great for holiday makers or first time visitors. Superb value for money.	
Sep 20 2008 	Classiest hotel I've ever stayed in	If it wasn't for a really sweet deal that was running towards July-August- I would've been staying in a hostel during Lollapalooza weekend, constantly worrying if my stuff was gonna get jacked.This hotel is top-notch, probably the classiest hotel I've ever stayed in. There was a bit of construction going on in the front of the hotel, but it didn't detract from how nice it looked inside. The staff was very pleasant and easy to talk to for any questions. The rooms are spacious and pristine with pillow-top beds that made it almost impossible to get up in the morning because it was so comfortable. The bathroom was big too and I liked the separate shower and tub. I also had a gorgeous view of the city from my window.There's a Palm Restaurant that's in the first floor lobby that's excellent there. They had fantastic service there- pricey, but so worth it. It's not too far to walk to other restaurants nearby if you don't feel like having steak.I'd say the only downside of this hotel is the lack of free wi-fi. And the gym and pool closes too early.If I'm lucky enough to be in Chicago again and find an excellent price to stay here, I'll gladly go back.	
Sep 9 2008 	Good Hotel but beware of all of the Extra Charges	A friend and I went on a last minute trip to Chicago and stayed at the Swissotel. Our room was average and clean, we did have a view of the lake. What was a little surprising was everything was an extra charge. To use the gym or pool was a $15 a day charge, to print our boarding passes was a $6 dollar charge and internet service was a $9 a day charge. We did borrow the umbrella that the hotel leaves in the room for guests to use, and returned it, yet I was charged $20 for the umbrella, which I am still disputing with the hotel. Our room never got cool, we called down to the front desk twice to have our room checked, no one ever came. The concierge was Swiss and had a very difficult time understanding that I wanted directions to a bakery that sold cupcakes, it was like a ridiculous game of charades. Our vacation was wonderful our accommodations where less than wonderful.	
Sep 3 2008 	Loved the view	We stayed in two rooms on the 22 floor in August with our two teenage daughters.The view from the rooms was fantastic,My daughters are allergic to feathers and all trace of them were removed from the room as soon as we advised housekeeping.The rooms were spotlessly clean and serviced each day.We purchased a 7day travel card from the cultural center and used them to hop on and off the buses.The number 6 bus stopped right outside the Hotel and we were soon taking it just a few blocks after a long day, much to the amusement of the drivers. The Hotel is located in the middle between Magnificent mile and Grant park making it an ideal location.Breakfast every day was taken everyday at the corner bakery a 5 minute walk away.We did not want to leave but when it was time to go the Hotel arranged a large SUV to take us and our many purchases to the airport.This Hotel was really good and we hope to return one day.	
Sep 1 2008 	Nice Hotel BUT	Booked via Hotwire. Overall the location, the room size and comfort were above average. The bed was not as comfortable as the Milwaukee Hilton we stayed with 2 weeks prior .So why the neutral? (1) Long lines several times to check in and (2) to go up elevator - maintenance issue (note we had a major maintenance issue last stay here - elevators didnt work for several hours). Additionally (3) shower pressure lacking, (4) double charged on internet and not refunded - a fairly confusing log in screen, and (5) nickle and diming with parking/bell hops/etc.The last item - why is it that the expensive hotels charge for internet and I can go to some cheap motel and get it for free?	
Aug 31 2008 	Good if you get a good shower.	This is a good hotel (and a great value, if you get a promotional rate)IF you get a room in full working order---specifically a shower that doesnot leak water all over the bathroom floor.We (two adults and two kids) recently stayed here for two nights (8/29-31/2008) and, unfortunately, got to stay in three different rooms.We arrived on the morning of Friday 8/29 and a very professional front deskwoman immediately assigned us a room (it was Labor Day weekend and check-inwas not til 3pm), much to our pleasure.We went to our room---which appeared quite nice. In particular, the bathroomhad both a bathtub AND a separate glass-enclosed stand-up shower (the latteris significant.) We ditched our bags and headed out for a full day of museum-ing (I highly recommend Science and Industry and the Art Institute.)We returned late, around 9pm, tired and grimy (it was hot). A shower was inorder. After my shower, I noticed a small lake on the tile floor of thebathroom---clearly there was a leak in the shower. Not wanting my wife andkid's showers to cause a tsunami (and also not wanting to paddle throughthe bathroom floor), I called the front desk.After a wait and dropped call, on my second call I got through to a harassed-sounding front desk person who indicated that she'd send up anengineer (their term).The engineer arrived about 9:30pm and showed us the problem. The glass doorson the stand-up shower make use of a plastic strip that is glued to the doorto stop water leaking. In our shower door, the strip was cracked and broken,allowing water to leak. The engineer informed us that it couldn't be fixedimmediately (door needed to be taken off, glue applied, and wait a day tocure) and told us that the front desk would be in touch to move us to adifferent room.At 10:30pm, after no follow-up call from the front desk, I called thefront desk person. She sounded busy, but agreed to move us. I SPECIFICALLYrequested a non-shower leaking room :-) A bell-hop came up with new keycards (BTW, if you are ever in this situation, just go down to the frontdesk and get the keys---the bell hop was not fast.) So, around 11pm, we were in a new room---exhausted, we immediately went to bed (I was theonly showered person :-)!The AC in this new room was quite noisy (especially as the rooms are quiet),but we were exhausted and eventually passed out.In the morning, my wife showered first. You'll never guess what happened :-)Her shower resulted in an even BIGGER lake than in the first room. (Aquarter of an inch of water from wall to wall.) I called the front desk and they send another engineer up. This gentlemenlooked at the door and pointed out that the ENTIRE bottom water sealingstrip was gone---the resulting suggestion was the same as the previousengineer (move).Fed up, I spoke to the manager on duty, whose name was Hans (I think).After expressing my angst (liked professional staff, most of the room, hated the shower and inability to find a non-leaking shower), he agreed to move usto a room that would be checked by an engineer for shower leaks, PRIOR toour re-moving. This, apparently, required some time. Eventually, Hans calledus to tell us a room was ready; to save time, my wife went down to get thethird set of key cards.In our third room at about 10:30am, we, finally, showered the kids and headedout to enjoy Chicago around 11:30am. (Yes, the shower, finally, did not leak.)We lost about a third of our usable day on 8/30 dealing with the poor design of their beautiful showers. A tangible consequence of this was thatsome of the timed tours that we had planned on doing at the museum were soldout by the time we got there. However, we enjoyed Chicago and our final night was uneventful (and clean.)I should mention that the hotel did attempt some modest redress (breakfastbuffet), prefacing it with &quot;At this rate level, it's all we can do...&quot; Let me gently suggest to the Swissotel management that when your infrastructure failsa customer not once but twice, that there is a systemic problem (the fragilewater-sealing strip on shower doors, house-keeping's failure to inform engineering when they find a lake) best addressed independently of the rate paid by said customer (I would been very happy with a water-tight shower on the first try.)All this said, if you get a reasonably water-tight shower, the hotel is very nice andwell located for the activities (museums, American Girl) that we were interested in.Given that it's a four star facility, we also had some minor complaints.The second room had noisy air-conditioning, and, in all three rooms, one orboth telephones did not work correctly. Wi-fi, a commodity that should beincluded in the room, is $10/24 hours---silly, as I chose to get tangible goods (coffee and danish) with my Wi-fi at nearby coffee shops. BTW, if you need to get groceries, there's a good grocery store called Bockwinkel's (http://www.bockwinkels.com/) about 0.2 miles away located on the ground floor of the Park Millennium building at the Southeast corner of North Stetson and South Water.	
Aug 30 2008 	Wonderful Location	I accompanied my husband to a Leadership Symposium August 25th through August 28th. Our room with a luxurious kingsized bed was on the 30th floor and had a great city view. From our room we saw glimpses of sailboats on Lake Michigan between the buildings. At the end of our hallway we looked down on the river and could watch the tour boats and see Navy Pier in the distance. That first night we walked down to Navy Pier and when we got back to our room and sank into the bed, I quipped to my husband that I just might spend the rest of our stay in bed...it was so comfortable!While he was in meetings for the next three days, I walked to the Art Institute of Chicago and also walked up and down the Magnificent Mile. I felt completely safe and enjoyed the energy of the city sights and sounds. I brought what I thought was good footwear but had to buy some walking shoes on the third day. My thanks to others who reviewed this hotel as I studied their advice and found inexpensive places to eat...the Corner Bakery and Cafe being one of them. I enjoyed exploring the Pedway that connects to this hotel and found spots for breakfast and lunch. The second night my husband and I walked to Gino's for deep dish pizza...yummy. Our final night we took an architectural river tour with Wendella boats whose dock was a short walk away. I have no complaints about Swissotel...thanks to other reviewers, I knew not to open the refrigerator. There is a gift shop where you can buy cold drinks and snacks. Housekeeping did not come until after our second night but that was because I took a nap and didn't want to be disturbed. They came the next day as I was returning from my long walk and everything was spotless. Every member of the staff was courteous and helpful. If you ask, the concierge will give you a great brochure with a very helpful map of the area. I would love, love, love to stay with them again!	
Aug 30 2008 	what a deal and what a hotel!!	Absolutely fab stay from the chilled fruited water in the lobby, to the great views, incredible bed, huge well appointed area, and great location!! I had a view of the lake and the surrounding buildings....i could see all the way to the museaum!!The pool/health club area is free and also boasts incredible views. The cozy robes were an elegant touch. Surrounded by construction but i didn't hear a thing....the lobby was quite noisy in the am so maybe request a high room if you worry about that. It truely is &quot;where the river meets the lake&quot; ...and for 109 a nite i was in awe!!	
Aug 29 2008 	Good Location great views bad ac	The hotel is nice and the clerk upgraded our room to the 39th floor with an amazing view. The room itself was fine the beds comfortable. The pool was very nice and that view incredible.Talking with some folks at the pool they concurred that the concierge was snotty. He was a younger man who seemed very inconvenienced but my questions.Our problem with the hotel was the ac. I called twice and they finally sent someone up who said he could not find a problem but adjusted the vents. When we got back to room that night still warm. We called and no one ever showed up and too tired to wait plus it was the last night.It was a great location to the park and the view was awesome especially during the fireworks.	
Aug 27 2008 	Would choose this hotel again great location!	Stayed for three nights in August, an amazing deal through Travelzoo (talked to others at this hotel that booked at the &quot;employee&quot; rate, and we got it for less). Check in was smooth, I arrived in Chicago early in the day and called to see about early check in, no problems, was given a room immediately upon arrival. The room was spacious, incredibly clean, and the beds were extremely comfortable. The mini bar was well stocked, but pricey. Maid service was excellent. The seperate shower/bathtub was a nice touch, however the toilet was loose and wiggly, and didn't flush well. The only thing I would change about the room is that there is no mirror above or near the dressing table, which makes it hard for two or more people to share a mirror/electrical outlets in one bathroom. Easy walk to Michigan Ave, River Walk, great views of Navy Pier. The only employee who didn't impress me was the woman working in the gift shop. Long story short, she was rude and inattentive. We didn't have a chance to enjoy any of the lounges or restaurants, but they looked well attended. Bell Service was helpful in arranging a van cab to take us to the airport. I will be visiting Chicago frequently this coming year, and will most definately book this hotel again if they offer the same rate. We took the advice of others on tripadvisor, and signed up for their Swiss Club Gold Card in order to use the pool at no charge. However, when we went to the pool, we were never asked to show a card, so I'm not sure who was being charged? The hot tub was hot the first night, lukewarm the second, and people were actually teaching their children how to swim in the hot tub, not very relaxing getting splashed over and over, and actually quite rude, but not the hotels fault at all.	
Aug 26 2008 	Great Location	Got a great summertime deal on this hotel for our first actual vacation to Chicago. Good location about a block from the Magnificent mile. Easy access to the L, buses, water taxi (to union station and navy pier for $3 pp) etc. We upgraded to the corner suite and had a view of the city and a view of navy pier which was great. I would suggest walking to the corner bakery for breakfast right down the street (Michigan/Wacker) instead of taking it on the chin at the hotel restaurant. Concierge service from our experience was good from one but bad from another so if you don't get good help the first time you ask, just go ask again later when someone else is there. We also were able to store our bags at the hotel after checkout (12 noon) until we were done in the city for the day. Pool was small and had loud and annoying kids in it and the hot tub so it was NOT relaxing for my wife or myself. I would recommend to the hotel keep the pool open later for an adult swim time for peace and quiet. Technically you need to be a swissotel club member to access the workout facility (free to do this) but if you don't have your card just tell them you've applied for it and you'll be good to go. We also did the chicago food tasting tour which you can find here on travelzoo, this was fantastic and well worth the $40 pp. I would recommend it to anyone.	
Aug 26 2008 	Excellent Hotel	My wife and I recently stayed for two nights. Our lakeview room on the 22nd floor had a wonderful view and was very clean and most comfortable. We thought the location was very convenient as we like to walk and we were just a block away from both the boat and trolley tours. No problem with check-in or out, and the staff was most accomodating. A fine hotel and Chicago is a great city!	
Aug 24 2008 	Definitely will stay again	We just came back from our first trip to Chicago. I also found the great deal on Travelzoo.com and paid a little extra for the &quot;corner room&quot;. Check in - perfect, attentive and helpful. Maid service, perfect no complaints. Room, lots of space not cramped at all. Ipod docking station was a great addition, LCD TV was great. Concierge's at the Swissotel were AMAZING...they looked after sporting tickets for me, made great recommendations and all in all did a great job!! Thanks Swissotel!	
Aug 24 2008 	Pleasant experience	I visit Chicago on an annual basis and have for many years -- going back to the 1980s. Through Travelzoo.com, I became aware of a discounted room rate and jumped at the offer of about $150 night including taxes.This year, for the second consecutive year, I attended the Air and Water Show. Newspaper accounts say that over three million people visited that weekend. The Blue Angels were terrific.The wait to check in was long. There were two people working behind the reservation desk late morning. After about 15-to-20 minutes in line, I was told my reservation was not on file. I then gave the confirmation number and hotel print out to the person at the front desk and after a few more minutes, I was finally checked in. A minor inconvenience but I sensed another person was having a similar experience based on conversation to which I overheard.The room was exceptional. It was bright and appealing. The room was also promptly cleaned. Great view including part of Lake Michigan. There are new high-rises and the like being built all around Chicago and one near the Swissotel. I awoke one morning to an inspiring sunrise, a red/orange ball that was sparkling. The bed was one of the best I have encountered in any hotel. The comforter was incredibly soft while the bed and the mattress pad were ideal. The room had plenty of space, certainly bigger than other hotels I have visited in recent years. My room had an LG 37-inch LCD TV that was fantastic. I'm not much of a TV viewer but I did catch some of the 2008 Olympic events at odd hours and the clarity of images displayed were exceptional.I stayed on the 35th floor and still the elevators were quick if not immediate. I visited the pool area briefly, but didn't stay since the weather was close to perfect during my stay and opted to see the city as often as possible.My opinion on the location is neutral. If you have a vehicle, this hotel is exceptional because it is somewhat removed from Michigan Ave and the usual congestion associated with hotels on (or just off) major streets. This hotel is located on Wacker off Michigan and the isolation has its benefits but as an avid walker, I prefer a stay around the John Hancock Building. The Hyatt was within steps of the Swissotel and what looked like an office building in between the two major hotel properties. Steps away, is a Houlihans bar/restaurant with outdoor seating. Additionally, there seemed to be an increase of homeless people near the area, though not in the immediate vicinity of the hotel. In fact, on consecutive nights I had the same woman follow me for about a dozen or so steps. This was after midnight on each occasion. A friend, who stayed at the nearby Hard Rock Hotel, had somewhat similar experiences. About a 3-to-5 minute walk away is a Giordano's Restaurant -- famous for deep dish pizza. It was perfect for late night dining. The lobby of the hotel was cozy and as a pleasant touch there were two glass dispensers offering a mix of ice water and diced fresh fruit added for flavor. A Palm Restaurant is located in the lobby, too. Late at night, there was a bowl of fruit near the reservation desk. A daily Wall Street Journal was dropped at the door of each guest's room, another nice touch. There was also a handful of copies of the Chicago Tribune adjacent to the reservation desk.I would stay here again and certainly for the price offered. The weather was ideal, the hotel peaceful and the positives far outweighed the few negatives.	
Aug 19 2008 	Another great stay	This was my second visit to Chicago and my 2nd stay at Swissotel. I found an excellent deal through travelzoo.com and booked immediatelly paying the extra fee for the lakeview. The check-in was very smooth and the rep was very attentive. We were on the 33rd floor with a gorgeous view of Navy Pier and Lake Michigan. The rooms are very nice, well-appointed, with comfortable beds. Housekeeping did a good job.The only caution is to consider the distance from the Metros. It's a bit of a walk, but not too bad if you're forewarned. The buses are very convenient and run to Michigan which can link you to anywhere.When we travel we really don't spend much time in the room or the hotel, so I can't judge every aspect, but I definitely would stay at Swissotel again and would recommend it.	
Aug 18 2008 	Love this Hotel!	We love this hotel. The recent renovation is great -- the guest rooms are really nice. The location is great. There were a few too many Trainee's working when we checked in, but that was easily overlooked as the rest of the stay was great.	
Aug 16 2008 	Great hotel in a great location	Great hotel, in a great location. Chilled water at the entrance is a great touch. Have stayed here before, and would gladly do so again.	
Aug 11 2008 	Very Comfortable Great location	This hotel was great. The rooms were large and clean. The beds were unbelievably comfortable with nice linens. The bathroom was large, clean, up to date, and loaded with soft towels. And it's worth mentioning that the hotel had real, high-powered hair dryers -- not those terrible wall-mounted ones that you see in other hotels (I'm a women with thick long hair so I care about things like that). The view from my room was great. It looked out over the river. The staff was very accommodating, which you'd expect in a 4-star hotel. It was the fastest check-in I've ever experienced. Also, the concierge had great recommendations. The lounge/bar was expensive but very nice. They had a great wine list, appetizers, and friendly service.The location is fantastic. It's a very short walk to the Magnificent Mile, plenty of restaurants, the Navy Pier, the train, and there is a cab stand right in front and a Dunkin Donuts next door. A cab from Midway Airport was $35. A cab from Wrigley was $13. My only complaint about the hotel is that the mini bar has a weight sensor. So if you move around bottles in the fridge so that you can store your own food/personal items, the sensor will send a signal to the hotel and you will be charged. Or that's at least what the front desk told me. Considering how much this hotel costs, it would be nice if they provided you with a fridge large enough to store your own items in it. Through hotwire, I paid $200 per night for Thursday-Sunday. It was a great deal. I get the impression that normally it is much more.	
Jul 19 2008 	Great location most comfortable bed	We felt welcome from the very start with the friendly personnel and concierge. The rooms are very clean, comfortable and spacious and up-to-date. The sheets on the bed are a higher thread count and it was so inviting with the pillowtop mattress cover, yet was very supportive. The bathroom was also spacious with a separate shower and bathtub. Our room faced Lake Michigan which had views of the Navy Pier and also part of the river--wonderful! The pool and fitness club are on the 42nd floor with big windows so the view is spectacular from there. We had a tiny hiccup at first--our room wasn't getting very cool despite putting the thermostat to 60F so I contacted guest services and they sent an engineer straightaway while we were sightseeing for the day. When we came back the room was very cool. It just seemed that the vent needed to be adjusted. The location is convenient to the Magnificent Mile shopping, Navy Pier, Millennium Park and also the Loop and the Theater District. Public transportation is very handy from here as well. I would highly recommend the Swissotel Chicago to everyone.	
Jul 17 2008 	Very clean and comfortable	I spent five nights at the Swissotel with my fiance, from July 3 to July 8. Booked a package through Priceline, and would stay there again in a heartbeat. ROOMThe king-sized bed was very comfortable, and all of the linens were fresh and clean. The room was spacious, not cramped at all. The bathroom was spotless--no mildew, no stains, and nicely appointed with little soaps and the usual toiletries. They were replenished daily. We didn't get a full lake view (didn't pay or ask for one, either), but the view was still nice, and we saw a lot of fireworks from our window. I should mention that, despite the obvious construction in the area, we were not disturbed by any drilling or other noises. Left the room at 10:30 or 11 a.m. every day, but did not hear noise.LOCATIONThe hotel was central to everything we wanted to see. Navy Pier is extremely close, Michigan Avenue is just a short walk away, and it's just a few blocks to the &quot;EL&quot; Red Line Station. Cabs also line the street in front of the hotel, so there's no delay in catching a ride. I felt very safe walking the area at night, as there were a lot of other people and tourists. I did see a few homeless people, but that's to be expected in any city. Police presence was high, especially at the Taste of Chicago and Navy Pier.SERVICEEveryone was efficient, no big lines for check-in or check-out. People smiled and said hello. At one point, our room key became deactivated, but that was quickly fixed. Housekeeping did a great job keeping the room and bathroom spotless.VALUEThe room exceeded our expectations, especially because we received a discounted rate. I imagine if I'd paid full price, I wouldn't be too happy about the $9.99 fee for 24 hours of dial-up internet, but that's becoming the norm at most hotels. Also, they charge exorbitant prices for mini-bar items and room service meals, so be prepared for that. ($6 bottled water) We purchased our water from the Walgreens down the street. Did not eat at the hotel restaurant, so I cannot vouch for that either way.BOTTOM LINEGreat place to stay. Clean and comfortable with friendly service and a convenient Chicago location. I highly recommend the hotel and would stay there again.	
Jul 15 2008 	Great Deal 	We booked this hotel a few months ago when I saw a special advertised for $109 a night and we decided that we couldn't pass it up. Although we are well travelled this was our first time in Chicago.Our experience with the Swisshotel was great. Upon check in my husband asked if we could get a room with a view of the harbour and we did. It was clean with a comfortable king size bed covered with a nice duvet, plenty of clean towels and nice fluffy bathrobes. To top it off we had a great view. It's central to everything. Just a short walk to Navy Pier or the Mag Mile in the other direction. It was great for the Taste of Chicago and 3 &amp; 4th July fireworks.We were walking one afternoon and saw a steakhouse but failed to write down the name and asked our concierge if she could find it for us and make a reservation. We got the best table in the place.Now, for those who complain about mini bar prices and bottle water prices in hotel rooms, need to get out more. Those prices are the going rates in any major city and a lot more if your in EU. Just go around the corner and buy what you need. There's a liquor store behind the Hyatt.We drove over so we had to pay to park. We live in a big city so $49 is fair. Besides, we asked at a few other hotels and $49 to $55 was the going rate with in and out privileges. We passed on the restaurants simply because the cost of breakfast was insane and the food tends to be mediocre. We found plenty a nice restaurants that were recomended by the &quot;natives&quot; as they call themselves rather than hotel staff. The &quot;natives know where the good stuff is at reasonable prices. The hotel staff tend to be aware of the tourist traps since they are close by.What is it with the elevators??? They worked and appeared in a timely fashion.Also, for some complaining about lack of free internet. A very recent survey mentioned that most high end hotels are no longer offering the service or will not in the near future.When we left, my husband looked at me and said &quot;I can't believe you got this room in this hotel for this price&quot;	
Jul 11 2008 	Wonderful	I found a great deal on Travelzoo for $109 a night... almost too good to be true. This hotel was awesome! Amazing views, great location and the most comfortable bed ever! If you can get the same deal, I definitely recommend this hotel. Rooms in similar hotels would usually be about $250-300.	
Jul 10 2008 	Great Facility and Location - So-So Staff	I have stayed at Swissotels before so was expecting excellent facilities in top-notch shape and very clean. I got exactly that. A beautifully decorated, well-equipped and stylish room. It does suffer, however, from a trend that I have been noticing that as rooms at business class hotels are upgraded - particularly with a patch panel for the big LCD-TV - drawer space becomes less and less. As someone who actually likes to unpack if I am staying more than one night, it has become a problem. I end up using the nightstand drawers.The V.I.K. (Very Important Kids) check-in desk next to the front desk leads me to believe that the hotel is family-friendly.The location is great - near Michigan Avenue and with a view of the lake, but just far enough from Michigan to feel like you're away from the hub of activity.My one issue was with the staff. The front desk staff were friendly and relatively efficient but utterly lacked any warmth (both check-in and check-out). Without meaning to stereotype, they were both European and I don't know if that had anything to do with it.The doorman was another story. He seemed friendly enough and appeared to be a local. I arrived late and just wanted a light meal. He suggested The Palm in the hotel lobby but I told him I wanted something lighter and more casual. He then suggested Houlihans.Now I don't mean to sound like a snob, but when you're in one of the great cities in the world, staying at what is supposed to be a high-end hotel, to have the doorman recommend Houlihans is like asking what is a good car to buy and being told to consider a Yugo.Meeting facilities were well-equipped , and the banquet department did an excellent job of catering the meals and snacks (both quality of food and service) for the meetings I was attending.Didn't get to the gym or pool. There's a fee for the gym, but not the pool.	
