	The worst hotel- Do not stay at this hotel	We stayed at this hotel because of some good reviews. When we checked in and got into our room the bathroom was a mess. The toilet as used, the stuff was all over the lid of the toilet and it was not flush at all. I almost got sick. I called the front desk and ask someone to clean it up.Some one did clean it up. I also asked for the supervisor and no one show's up. The supervisor or manager did not even call me.My husband and I were so tired from the flight, or we would have leaved the place. I definitely would not recommend this place to anyone.	
Nov 13 2008 	So-so	Stayed two nights for a professional conference. Check-in took awhile, and the receptionist was harried and kept asking people behind us in line if she could help them throughout our check in. The bathroom was tiny - hardly any space for toiletries. The towel rack was on the wall at the foot of the bathtub, inside the shower curtain. The bathtub drained slowly and there was no vent fan in the bathroom. The bed was comfy enough. We had a corner room (#1401), the room itself was big, but lacked ample table space, which would've been nice with the already too-small bathroom. After reading the other reviews, we decided to bring a fan to help block noise at night which really helped since the ice machine was right outside our door. Our TV remote didn't work properly. I agree that the saving grace of this hotel is it's great location to Michigan Ave. The room was OK but the major issue was with the bathroom - which I'm sure is a result of it being a historic inn. Next time we'll stay elsewhere, especially if we're on our own tab. We ate at the West Egg Cafe around the corner, which was pretty good diner-type food and there is a Starbucks next door to the hotel.	
Oct 27 2008	Excellent!	My husband and I accidently end up here. I was very sure I've booked Best Western River north (through Midashotels), location was interesting and the free parking as well. When we arrived there, we were told that we booked at the Inn of Chicago, which was a Best western in the past. There was no free parking, so I was very disappointed, but that only lasted until I saw the room. It was very nice, very clean and large enough. Location was even better then the best western I booked. We were just steps of Michigan Av and much closer to the lake. It was our beginning of our Route 66 journey, but spend an entire day in Chicago. We walked from the hotel to Lou Mitchell's via Michigan Av. From there we headed toward the lake and stopped at the Sears Tower on our way to the lake. We walk all the way up to the Navy Pear and then headed back to the hotel. In the evening we went to the Hard Rock Cafe, which is in a walking distance and had dinner at the thai restaurant, I don't remember the name, not far from the hotel. We both loved chicago very much, so there's a good chance that we will go back and see a little more of the city. We will absolutely stay in the Inn of Chicago again, even if we have to pay 35$ a day to park our car.	
Sep 28 2008 	As bare bones as it gets - this place sucked.	I stayed in a recently renovated executive queen room. The floor in the bathroom was filthy, and the room was so unbelievably small I barely had room to walk around after I put my suitcase down. One plug-in in the bathroom and the internet access was a complicated mess - they gave very poor instructions at the front desk as to how to connect. The location saves this hotel as it is very convenient to everything.	
Sep 27 2008 	Great location average hotel.	Recently stayed at the Inn of Chicago while attending a conference and it was listed as one of the conferences “host” hotels. At the time of booking our hotel there was not a lot of choices so we picked the Inn of Chicago as the location looked great, just off of Michigan Ave. Having read reviews here I was not expecting too much. Upon arrival the bell men, who was standing outside just stood there and looked at me, no offer to help with my bags or open the door for me to help me in. The lady at the front desk was able to check me in early. She was professional but not overly welcoming or friendly. My room 1719, was small and had a window facing the hotel behind ours and a wall. The air conditioners are old window units, that are loud and hard to regulate, either too warm or too cool. The curtains hang right above the unit and partially cover the vents, and allow light to come in under them. There was no closet in my room just a narrow armoire with a few hangers and also held an ironing board and iron. There was a nice sized desk, but have to pay $9.95 per 24-hour period to use the wireless internet ( free in the lobby area). The bed was comfy and the room clean. Yes the bathrooms are extremely small. I have had larger bathrooms on a cruise ship! But what made it worse was the ridicules “attempt an being hip” sink which takes up what little space there is and makes setting on the toilet a tricky maneuver! There is no restaurant, at the hotel just a little coffer shop connected to the lobby. There is a Dunkin Donut and a Starbucks right around the corner, and a 7-11 across the street. I never found a place to eat a real breakfast near the hotel until my last day, West Egg Cafe a few blocks away on Fairbanks. No vending machines in the hotel, and ice machines are hidden at the end of the hall, the one on my floor not working. There was a concierge in the lobby during the day to suggest local restaurants and sightseeing tours. The hotel is fine if looking for a good priced hotel in a central location on a leisure trip and just using the hotel as a place to sleep. I would not recommend it for business travel.	
Sep 22 2008 	Decidedly "eh" would stay elsewhere next time	I stayed here when I attended a conference in Chicago. The location is hard to beat, and that's about all I can say about this hotel. Amenities and service were almost non-existent. No breakfast (no restaurant, even), no free in-room internet, no fitness facility (for that you need to pay $5/day and walk three blocks to the Doubletree). I couldn't even find an ice machine! I had to go to the hotel bar for ice. The bartender begrudgingly fulfilled my request for a wineglass (&quot;Once I give these out, they never come back.&quot;) There was supposedly a part-time concierge, but one never seemed to be at the desk.My bed was comfortable, and the room clean and basic. No complaints there. The air-conditioner, however, was horribly loud and cycled on and off every 10 minutes. I could not run it at night and sleep. The bathroom was ridiculously small, and the sink placed so that it partially blocked the doorway. There was also mold on the wall and ceiling.I didn't have any problems with the check-in staff, and I found the bellhops to be very helpful.All in all, I wouldn't stay here again.	
Sep 2 2008 	Everything was great!	The location is great, close to the central shopping district and a short walk to Old Town, Near North and Millennium Park. The hotel service was friendly and helpful, and check-in was fine. The rooms are standard size (we had a double bed room) with super comfy beds. Also - they have a GREAT rooftop deck with seating to take in the views of the city. This was a beautiful view, especially at night.Overall, a great hotel for someone who is looking for an above average but not luxury hotel for a fun, easy stay in Chicago.	
Aug 25 2008 	VERY disappointing ...	I came to Chicago with one of my staff for a trade show at the Navy Pier. This hotel was listed in the hotel package, had great pictures of their rooms and talked about their million dollar renovation. I thought it would be a nice change to stay at a 'boutique' hotel instead of the usual Sheraton, Hyatt, etc. Boy was I surprised when I arrived! The location is awesome but the check-in staff were terribly rude (what happened to customer service training?). There appeared to be a lot of people just hanging around in the lobby who were 'friends' of the staff. I got on the elevator and felt claustrophobic and wondered if I'd ever reach the 5th floor. When I got to my room, I wondered where the million dollars had been spent (maybe the prisms in the front windows were diamonds?). The room and bathroom were the smallest I'd ever seen - made European ones look huge! The window air conditioner was noisy (yes a window air conditioner!), windows hadn't been washed in a l-o-o-o-o-n-g time and the lock on the adjoining door didn't work properly. I immediately called downstairs (after trying to find another hotel in the area that could take us) and checked out. What a surprise - I was met with a very friendly voice who apologized for the inconvenience and wished me a good stay in Chicago. We left and went up the street to the 4 Points Sheridan on Rush Street. The staff were awesome, hotel exactly what I would expect for downtown Chicago but expensive.	
Aug 19 2008 	Great location bare bones accommodation	Chicago is a very expensive city, and we left it until the last minute to book a hotel for our August vacation, a mistake we will not make again. The only downtown hotel for anything close to a reasonable price for my family of four was the Inn of Chicago at $200 per night. For that sum, we got a clean room with comfortable beds, but nothing else. I have not been in a hotel for a long time that had almost no amenities, but this was one. There was in-room coffee, but no newspaper, no breakfast, no in-room internet access (unless you wanted to pay an extra $10 per day). Free WIFI was available in the lobby. The bell staff was extremely helpful and pleasant, lessons that the front desk staff should take. They weren't rude, exactly, just cold and not very helpful. I would only stay there again if I were in the same pinch I found myself in this year.	
Aug 19 2008 	Fantastic Hotel for a Weekend Get-Away	My friend and I checked into the Inn of Chicago on a Friday evening for a one night stay. We loved the hotel!We checked in around 6:30 p.m. The lobby is gorgeous and very chic and fun. Check-in was fast and the two gentlemen who checked us in were efficient and very friendly. (We had a couple good laughs with them.) I'm pretty sure they gave us an upgrade to a lovely corner room with an excellent view of the city. (One side was a city view, the other side's view was of the pool level of the hotel next door.) Our room was very nice, simple and stylish decor, and much roomier than we thought would be according to the reviews. (This may have been because we had a corner room.) The bed was comfortable and the bedding and pillows were soft and comfy. No complaints at all there. The bathroom was admittedly small but it's not the smallest I've been in - and it was really cute! (And my tall friend did not come close to having her knees hit the sink vanity from the toilet, contrary to other reviews.) The terrace on the 22nd floor is very cool, it gives you a great view of Michigan Ave. Although it closes at 10:00 which I sort of understand, but I really think it should be open 24 hours. And while it says it closes at 10:00, my friend and I were up there at about 2:00 a.m. and the doors were not locked. (Just FYI)The location is just excellent! You really feel you're right in the heart of the action. You're a half block from Michigan Ave. and about three or four blocks from the el's red line. There are lots of great restaurants and stores very nearby. We ate breakfast at West Egg Cafe close by and it was very yummy. And Navy Pier is very much within walking distance. (We sort of ran into it by accident so I'm not sure how many blocks...but it didn't seem like a long walk at all.) One week here might have pushed my endurance of the small bathroom, but I think the location would probably help make up for it. (And granted, we were there to hit the city so didn't spend a great deal of time in our room.) But for a weekend, you'd have a hard time beating the price, location, and quality.	
Aug 11 2008 	Horrible service!!!!!!!!!!	For starters I would never stay at this hotel ever again. We went to check in Friday afternoon at 1PM and didn't end up getting a room until 10PM that night. They kept giving a handful of customers the excuse that the rooms aren't ready yet and needed to be cleaned and the cleaning staff went home for the night. This is after 7PM at night!!!! What have these people been doing all day????????? We were suppose to get 2 rooms with 2 doubles beds in each but they only gave us 2 rooms with 1 king bed in each. We had to sleep three people to a bed....tons of fun let me tell you! The bathroom was the size of a small closet and the toliet seat had dried paint and glue stains all over it, not to mention the mold in the shower. A receptionist by the name of Kathy was probably the rudest women I have ever met. She looks like a sweet grandma but don't let that fool you. She turned her back and walked into the back office area three times while I was talking to her trying to get our rooms straightened out. The 2 dozen or so people waiting in the lobby were all irrate at the horrible service and [--] these people were trying to feed us. I have honestly never seen something like this in my life! I can understand your 1 disgrunted customer, but not 2 dozen all at the same time. I was waiting for a fight to break out there was so much yelling and frustration in that place.I wish I would have read previous reviews before staying here. These people are right about the rude service.	
Aug 11 2008 	Great location; Awful front desk service	We planned a Red Sox weekend in Chicago with 2 other couples and all 3 rooms were paid in full months ago. The first 2 couples did not have a problem checking in, however, when the third arrived at 9PM they were told that their paid-in-full, guaranteed room had been given away and they were being sent to another hotel about 3 miles away. The desk help was rude, unfriendly and could not have cared less that the room had been confirmed. Fortunately, another guest overheard the conversation and helped them out by offering one of the 2 rooms that he had and wasn't using that night. That was great and the next night the hotel was able to accomodate them and find them a room. They did refund the one night, but it was an aggravating experience.The other staff including the bartenders and bell staff were great.The rooms are rather small and the elevators are small, slow and always crowded, but the place is clean and the location is fantastic.	
Jul 15 2008 	Exactly what we were expecting	We stayed there one night this past weekend. It was what I expected. An adequate hotel with a fantastic location. The front desk staff were a little rude when we checked in but the next morning the guy was super nice. We would go back unless we had the money to go a little nicer.	
Jul 12 2008 	OK hotel	We stayed at this hotel for 3 nights from 25th May. My first impression of the check-in staff was that they were off-hand as previous reviewers have said. The room was clean and comfortable. The location is great being in the heart of the city and we were able to walk everywhere. Because of staff attitude I would hesitate to stay there again	
Jul 7 2008 	Good little hotel	A good little hotel with an excellent location. The room was comfy. A decent, affordable place to stay for your visit to Chicago. I would be willing to stay here again.	
Jul 2 2008	Great Hotel/Rude front desk	The hotel is very nice and is in a great location. I thought that the price was fair for what you get. The valet service and bag handlers were very good and courteous. The only problem I had with this hotel was the pompous attitude and rude behavior from the people at the front desk. They were not welcoming or friendly at all. So much to the point that I will not be staying there again.	
Jun 28 2008 	Great Place for the price/location	Hotel was excellent. Rooms were nice, clean, comfortable and modern. Service was fantastic. We were able to check in earlier than expected. They also got us a cab to get us back to the airport in a timely manner. The location was perfect-close to shopping and subway. Price was reasonable too! Would recommend this hotel to a casual traveler who wants a nice comfortable place to stay in a central location.	
Jun 13 2008 	Excellent Hotel	My family and I stayed at the Inn of Chicago during Christmas and New Years. When we checked in we had multiple reservations but the lady at the check in was very kind and helpful and we were given the same room for our entire stay. As it was Christmas not many food places were open but the front desk had a list with phone numbers and hours of open restaurants. They were very good with giving directions. The maid was very good and always had enough towels. There is a 7 Eleven adjacent to the front door which is very convenient. There is also a sub shop/ice cream shop across from the side doors which are open 24 hours. There is also a Jewels about 5 or 6 blocks from the hotel (ask for directions) which had a very nice hot deli selection. Overall the hotel and staff was excellent and very clean. We booked our rate through hotels.com but orbitz also has better deals sometimes. The prices may be high but the excellent downtown location is well worth it!	
Jun 12 2008 	OK for the Location	The location is wonderful. Close to shopping and restaurants (just steps from the Mag Mile). The lobby was very nice and inviting with cozy modernist chairs and conversation areas. The rooms were average and the one I stayed in could use some redecorating. It was very small but clean. The air conditioner was great at cooling the room and drowning out possible noise from of the neighbors. The bathroom had modern, updated fixtures and a trendy vanity but the room was one of the smallest bathrooms of any hotel I've ever stayed in. My knees hit the vanity when I used the toilet.Still...if you can get a fair price, the location may make up for some of the cosmetic issues.	
Jun 8 2008 	Unimpressive experience	Don't expect much staying here aside from location. It's great walking distance to Magnificent Mile shopping, but that's about it. I'm hesitant to say the place was unclean, because things were in fact cleaned for me, but it was more the fact that it wasn't well maintained. I got a deal online, so the price was right, but I would look elsewhere and pay extra in order to not stay here again. I would give it 2 out of 5 stars, nothing more.	
Jun 6 2008 	Horrible - Never Stay Here!!!	Dont take a chance. Dont stay here! Rude service people, rude managers, and tiny rooms.	
Jun 5 2008 	Worked for this trip but...	I was in Chicago for business, and stayed at the Inn due to a discount offered by the seminar I was attending. The hotel is actually pretty nice, with modern decor in the common areas and comfortable furnishings. The desk staff was friendly, and they were able to check me in to my room at 10 am. The concierge was also friendly and helpful when asked about getting to my seminar.The room was on the small side, but for a single person it was comfortable. The a/c did a great job of keeping the humidity out (it was warm &amp; rainy while I was in town) and the fan was enough to drown out most of the street noise. However the walls are VERY thin! I could hear entire conversations from next door, and could hear the alarm clocks from across the hall! This area of downtown is also pretty noisy, with lots of sirens at all hours. As others have noted, the bathrooms are tiny. The sink is a mod-looking table/pedastel style, and is too big for the bathroom. To be blunt, anyone with hips wider than maybe 40&quot; will have a problem manuevering without banging into it. There is a shelf under the sink and a small glass shelf on the wall. I keep my toiletries in a hanging kit so the storage wasn't an issue for me, but if you have a different type of kit you may have a problem finding a place to put it. The room was quite clean, although I don't know why some hotels insist on using white coverlets. There were some ink stains on it, but nothing nasty. The hotel has a &quot;reuse your towels &amp; linens&quot; program, but apparently the cleaning staff has not been trained in it because I had new sheets and towels the second day even though I had not put the sign on my bed and I had hung up my towels.The best aspect of this hotel would be the location...a block from Michigan Ave. with good dining &amp; awesome shopping. It is also a short walk from Navy Pier.	
May 30 2008 	Was skeptical at first but it turned out OK	Booking through Hotwire, which I do every week, sometimesyou get a surprise. It can be a good surprise in that you have a 4 or 5 star hotel for a great rate, or a bad surprise in that you get a &quot;not so nice&quot; experience. After booking this hotel I went to TripAdvisor and was a litle worried - there were good reviews and some not so good ones. But after checking in, I was not disappointed, especially for the price. Yes the rooms are small and the bathroom is very tiny, but what do you need? I found the room to be clean, the bed and pillows comfortable and the desk chair didn't break my back like some do.And, as for location, it's close to everything on Michigan Avenue and in Streeterville. Many restaurants and shops well within walking distance and cabs and trains are close and plentiful.There is no restaurant in the hotel. There is a bar in the lobby and a branded coffee/espresso shop off the lobby, but that's not a problem with many other options near by.The staff was knowledgeable and helpful but not overly enthusiastic.For my purposes, this was a good deal and I would stay there again.	
May 30 2008	Excellent for the price	We stayed at Inn of Chicago and can only state very positive comments. The room was clean and comfortable and the help was very nice and accommodating. It is convenient to many sites and it is perfectly safe to walk around the area.	
May 6 2008 	DANGEROUS: THEY DAMAGED MY LAPTOP!!	I stayed there as a European travelling to the US for attending an international meeting (American Academy of Neurology).On the last day of my stay I asked people at the desk to &quot;keep my luggage safe&quot;, as I would take a stroll in town before going to the airport. Of course, I warned the employees that my laptop was inside the backpack.Leaving for O'Hare, I took my luggage without checking (how naive!).At the airport, past the check-in, when I took my laptop to work.. surprise! Evidently, they had dropped the backpack, with the laptop inside, as this was half open on its bottom, screen out of its place!!The management simply stated that &quot;no one recalls any problem occurring&quot;, and the insurance company of course refuses to pay.My stay at the Inn of Chicago ended up costing me 250 dollars repair, two half days of work lost, and I don't know yet how many further problems with this laptop.	
May 1 2008	Absolutely Dreadful Experience	The Inn of Chicago (Magnificent Mile) was the worst hotel experience I have ever had. The rooms and common areas were filthy; the walls were thin and unfortunately left you able to hear rather unpleasant activities going on in other rooms. Although updates had been made, they were poorly done. The pictures online don't even come close to closely depicting the actual ambiance. I would never recommend this hotel.	
Apr 23 2008 	Stay elsewhere	Stayed here 1 night for work. I travel to Chicago often and enjoy trying new places. Of the 10 hotels I've stayed at, this was the WORST. Service was moderate, at best. The rooms were very old, uncomfortable bed, poor water pressure in the shower. I didn't feel clean the entire time I was in the room. Luckily we were out late after dinner so I didn't have to spend much time in the room. This hotel is NOT worth the price. I would definately not be staying here again. The ONLY plus is location, but there are better hotels (for the same price) to chose from. My advise, stay elsewhere.	
Apr 21 2008 	location is the ONLY thing going for this joke	Upon arrival, the receptionist (woman) was one of the worst service industry people that I have ever dealt with. It's not that she was rude; it's that she was probably one of the most unfriendly, miserable people that I have talked to in a long time - robotic, no personality; it was shocking how cold this woman was. The rooms are average, like ones that you would get at a budget hotel for $69, but since they are located so close to downtown, they somehow get away with $200+ rates during the week. There is no free wireless in your room, they only offer it (free access) in the lobby; I guess the highest level rooms have internet; I stayed in a King Deluxe - no internet here (you have to pay a ridiculous rate of $10 per day for it). Of course the 22nd floor was closed for construction, so who knows about that space, but chances are it's just as crappy as the rest of the place. The TV program menu set up is the worst, most unreliable set up I think I have ever seen anywhere. The movie menus never work and you can't turn off the volume or even lower it to a reasonable level (on local channels). The &quot;Service&quot; selection on the menu brings you to a white screen with computer file names listed. The worst part is, is that no one in the place seems to know how to fix the problem with their system - they all say &quot;we've been having problems with Comcast lately&quot;. Who knows how long this &quot;lately&quot; is since in the entire week that I was there, the movie option on the TV never worked - only local channels are available with a constant high voltage hum in the background. The room itself is not too bad, and the cleaning staff does a good job. The cards for the doors constantly die or get wiped, my colleague had to get a new card every night of the week - I've never seen this problem before. The staff attributes this problem to keeping the card near your cell phone or credit card, you know typical things that you have in your pocket or wallet - I guess you are supposed to carry the card around in your sock or something. The self parking situation is equally as atrocious. Now it may be a common practice, but I have never seen this system before - you park you car in the garage, but then you have to surrender YOUR keys to the parking garage attendant. The explanation for this is that in case of fire they would have to move your car. If there was a fire, who in their right mind would attempt to drive over 100 vehicles out of a burning structure. Any attempts at resisting giving the attendant YOUR keys are met with them basically arguing and fighting with you about this ludicrous policy. There is no complimentary coffee - you have to buy the stuff for $2+ / cup, and don't even think about continental breakfast. The bar looked nice, but one can only imagine how inflated their prices would be. The chair in the corner of your room is very uncomfortable - it's impossible to sit on it for any length of time. There are barely any receptacles for plugs in the rooms, so plugging in your phone or laptop is challenge - unless you use the built in receptacle in the desk lamp. Trying to give out the telephone number of the place to someone from your room is not easy either since it is not written down on the phone or anywhere else for that matter. Oh and to use the gym, you have to leave the building walk a block and a half, and then pay $5 per usage. The only thing that gave me comfort about the whole experience was that I wasn't paying for the room - luckily my company did! I normally don't complain about accomodations in destinations I have been to, I've been perfectly fine sleepin in hostels in large bunkrooms with 10 other people, but this experience was certainly one to remember!	
Apr 15 2008 	Average not boutique	This is a solid hotel. It bills itself as boutique hotel--it is not. It is, however, an average hotel with a fabulous location--just one block off of Michigan Avenue. The decor is nothing spectacular. The room itself was a decent size, but with very few frills (highly uncomfortable desk chair, no easy chair). As others have noted, the bathrooms are tiny--but they are serviceable and clean. The towels are a little skimpy.The front desk staff were diffident and not particularly friendly. The concierge was very helpful (let us print boarding passes, told us the exact location of a branch of our bank, etc). The doorman hooked us up with a good deal on a cab to the airport.Really, it's the location that sells this place. You're within easy striking distance of River North and Magnificent Mile destinations. Sites and restaurants down in the Loop are also within easy walking distance.	
Apr 13 2008 	Perfect Location	We stayed at Inn of Chicago on a Saturday night and felt for the $129 price we paid, it was a good value. The room was adequate, but the bathroom was super small. Only room for 1 person in there at a time. The first room we were assigned to had not been cleaned, so upon going back down to front desk, we were reassigned a room. This was the only negative of the experience. Would recommend for its location and price.	
Apr 9 2008 	Really good location	Unlike some of the other reviewers we did not get a fantastic rate we paid $230 per night. having said that the Hotel is in a fantastic position (just around the corner from &quot;The Mile&quot;)and this hotel was really clean with rooms being cleaned and towels replaced daily. We stayed for 4 nights from a Thursday through to the Monday and did not find the hotel unduly noisy. The Coffee shop beside reception was superb and the staff of the hotel were excellent. would I stay there again, yes but would ask for a bigger room at the price we paid.	
Apr 6 2008 	OK hotel near Magnificent Mile	Recently stayed at the Inn of Chicago for a business meeting. The facility is listed as a 'boutique hotel'. Check in was with a frazzled person at the front desk who was rather inefficient but friendly enough. The concierge staff and the bar staff was friendly. The hotel has no food facility of its own. It has a bar and an adjacent coffee shop. The neighborhood is rich with restaurants so the lack of that facility in house affects only room service. The room was smallish and cheap motel level. The floor of the bathroom was stained, there was minimal room for 'stuff' in the bathroom. The room did have a heater/airconditioner which worked adequately. There was a hair dryer and in room coffee maker, and clothes iron. There was wireless internet in the room though with very weak signal. Outside noise began at about 4:30AM and made early AM wake up easy. The towels were adequate but of skimpy quality. All in all this facility was adequate but I doubt it would rate among the nicer rooms in Chicago. I didn't have the opportunity to compare pricing with its neighbors. It would need a significant price advantage for me to consider booking it again.	
Mar 26 2008 	Party Hearty All Night Long	I paid $100 a night which was a good deal. The location is great- a block from the Magnificent Mile. However, the prior Trip Advisor reviewers were right. This is a noisy place.The room was relatively clean and the staff was very accommodating. I don't mind a small room either. However, I went to Chicago on business and it was like trying to work in a bar on Bourbon Street in New Orleans during Mardi Gras. This a party hotel for &quot;20- somethings.&quot; Party Central. The parties spilled out into the hallways too. Different 20 year olds each night. I can't blame the staff. Some hotels are just party places. This might be a great pick up place for all I know. There is always laughter and partying until the wee hours of the morning. If you have kids it would work too, I guess. No one would notice their crying, even if they screamed at the top of their lungs -- and the young adults don't make out in the hallways at least. Sadly, I am a light sleeper and I needed to rest up before a work conference. I was old and tired enough to be everyone's mom. It was just a mismatch.So, while this place is OK and the location is great, just know that the rooms are tiny and the hotel is PARTY CENTRAL for &quot;20 somethings.&quot; And, after all, the &quot;young-uns&quot; need their kinds of hotels too.So, if you are a &quot;20-something,&quot; this is a place where you might have a good time. Have fun!Love, &quot;Mom&quot;	
Mar 25 2008 	Never again	I sat in the lobby for an hour waiting for my room which was reserved a month prior to my arrival. While sitting there I watched them turn away people who were not 21 even though they already paid for their room via the internet and a few other travelers for just plain stupid reasons. I don't think they want repeat business...they didn't even seem to care. After all my attempts to get my reservation resolved and I got to my room, it was small, and not that clean. My room was reserved through my company so I didn't have a choice...but if I did, I would have left and gotten a room elsewhere before I even seen the room. I was not impressed with the service. That left a bad taste in my mouth. I would not recommend this hotel to anyone else and I will never go there again when I return to the city.	
Mar 14 2008 	Worst Service Hotel should be shut down	The hotel turned us down because we were not 21 years of age, we are 20 years of age. I had confirmed a fews days before we traveled the 10 hours to Chicago and everything was fined UNTIL WE ARRIVED. They denied us our hotel room because we were not 21 when they are clearly are unaware that the legal age in the U.S. is 18. They said it was hotel policy. This &quot;policy&quot; is no where to be found on their website. They even printed us a false page from their website that stated we had to be 21. I then called the hotel a few days later and the man I spoke with on the phone admitted that it is not on their website. They refused to let us speak with any sort of manager while we were checking. They refused to give us a phone book to book another stay with another hotel and stated that all the hotels in the Chicago area had the same policy. This information was also false, we booked our week long stay with a hotel 2 blocks away.DO NOT STAY AT THE INN OF CHICAGO. They don't care about their customers or customer loyalty and they clearly don't care about the revenue coming in the front door from their customers. If you ask me they are getting their revenue from illegal activities.	
Mar 6 2008	A Little Gem	Another great Hotwire find. I booked this hotel for one night for $58! The location is perfect. The rooms are tiny, but extremely comfortable. I was impressed for being a 3-star hotel.The lobby is nicely decorated.My only complaint was that the windows didn't open, and it went from hot to cold in minutes and I was never really comfortable when I was sleeping.	
Mar 2 2008	You get what you pay for	Good weekend rate. Good location downtown. But *not* the boutique hotel it claims to be. Stayed in one of the 'updated' rooms - paint on walls, stylish sink, couple of pictures (exactly what you see in the room photos). However, other than that, it was still the same old Best Western. A bit noisy in the hallways, lobby and front desk always seemed crowded. No real complaints, but if you're looking for a hidden jewel, this isn't the place.	
Feb 23 2008 	Friendly service fun atmosphere great rate	Could not ask for more from our stay. For where the hotel is located, you just cannot beat the rate. The staff was incredibly accommodating and helpful. The rooms aren't huge, but they were clean and nicely put together. Also, the bar downstairs adds to the fun atmosphere. Will definitely stay here again.	
Feb 20 2008 	Great Location	The best thing is the location. The hotel seems a little worn, carpets could all use a good cleaning, but otherwise our room was very clean. We had a plugged sink that was fixed within 30 minutes of me calling on a Saturday evening. Bathroom is very tiny. The few staff people we came in contact with were all very friendly.	
Feb 17 2008 	Good for budget travelers	Our room on the fifth floor was much smaller than we expected and had no closet to speak of. Room had no decorations and a poor view of construction across the street. Bathroom was very small, but had recently been renovated and had modern fixtures. Room was also very noisy.On the other hand, the hotel staff was great. We had a problem with our first room, and they were able to move us to another room very quickly, even on a Saturday night. The bellhops were courteous and had a secure room for us to store our luggage before check-in and after check-out. We had a park-and-stay package. No problems with the valet, although our car sat on the street for quite a while because we arrived at noon (check-out time), and the hotel was very busy.Great location - one block from Michigan Ave (Magnificent Mile).We will try another hotel next time, though.	
Feb 11 2008 	Great location/lousy service	Just returned from a 2-night stay. First, I agree about the great location, tiny bathroom and small rooms. Our room were clean and comfortable.Regarding customer service, it is abysmal. I called the hotel a month before our stay and asked for accomodations for my wife and I and our two adult children. She suggested two adjoining queen bed rooms. I agreed, and they confirmed the reservation.When we checked in, we were assigned two rooms, but they were not adjoining. The desk clerk told me that the reservation clerk had &quot;misinformed&quot; me, that their hotel had no adjoining rooms. She also said the desk &quot;doesn't get&quot; the reservation information from the reservation clerks, so she was unaware of any promises the reservation clerk had made. (I had my copy printed out)When we got to our rooms, we noticed that one of them had a door into the next room (locked from the other side, of course). I went back to the desk and asked to see the manager. He apologized to me that the desk clerk had told me there were no adjoining rooms. I asked him to assign a set to me, but he said none of them were queens. I asked why they didn't have 2 queens reserved for me. He told me that my reservation was just a &quot;request&quot;, that they try to honor them but can't always. I pointed our that I had made my reservations a month ago. He countered with some nonsense about &quot;unpredictable occupancy rates&quot;. These people made no apology for this gaffe, and made no attempt to make it right (even Red Roof will do that!) When I checked out I made a point to do so in person. The clerk on duty told me I &quot;didn't need to&quot;, didn't thank me and didn't ask how my stay was.My impression of the Inn of Chicago's customer service is incompetence, miscommunication and they couldn't care less.	
Feb 10 2008 	Nice hotel with terrible plumbing	My husband and I just returned from a two night stay at the Inn of Chicago. We were thrilled with the location and the rate of $80/night on hotwire.com. This is an old hotel that has been very nicely and fashionably remodeled. When we arrived and asked for a king bed, we were told they didn't have any, but they upgraded us to a &quot;junior suite&quot; to make up for it. We thought was very generous considering that we hadn't requested the king bed ahead of time.We were very happy with the first room we were given (Room 912) until we flushed the toilet, which we quickly learned was broken. We called the front desk and were immediately moved to another suite three floors down (Room 612). This was a minor inconvenience, but promptly and courteously handled. This room had a functioning toilet, but lacked a plug for the bathtub, and worse, the shower made a horrible screeching sound and produced only a trickle of water. The next morning when we complained, they installed a plug for the bathtub, but did not fix the shower. On our last morning, there was no hot water, an issue we were told was affecting the entire hotel.My recommendation: stay here only if you plan not to use the bathroom during your stay.	
Jan 27 2008 	Absolutely Excellent Value!	Just returned from a weekend at the Inn of Chicago, and we were absolutely thrilled with the property and the price. We paid under $100 per night, including tax for the 'Executive Queen' in Room 414. The location is PERFECT for exploring Chicago -- a half block from the Mag Mile. Rooms are NY-style small, but nicely decorated in modernish furniture one might find at West Elm. The bathroom was quite small, but spotless, with plenty of towels. Nice products from Gilchrist &amp; Soames. Only downside was that noise from the hallway carried into the room, and our next door neighbors were part of a group that liked to visit each other (i.e. open and close doors) frequently. The hallways reflect the building's age -- they're narrow and not fancy. Elevators are also on the small size, but come frequently, and are modern/spotless. A group had checked in when we returned from sightseeing -- we avoided the long line for the lifts and took the stairs. Although we did not use the hotel lobby bar, it did attract a nice number of guests. The cleaning staff use scented products liberally -- the lobby smelled of green apples, and our room of Febreeze, but as ours was a nonsmoking, there was no odor of cigarettes they were trying to mask. I guess it was just their &quot;thing.&quot; Didn't mind it, but if you are sensitive to such products, be sure to ask the cleaning staff not use them. I would not recommend this for visitors staying for a long time or for those who need lots of closet space, because the smallness of the room. However, for weekend visitors, I would highly recommend it.	
