	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Oct 5 2008 	Worst I Have Experienced	I came in on Oct 5th 2008 at 4.30pm. (funny its today). they gave me Rm.520. Within 15 min I could get septic drainage smell inside the room thru the vents and called the guest service. THey said, they will give another room and I am typing this from the other room. there is no smell here but the hallway stinks. The room man said &quot;At least you don't have the smell inside your room now&quot;!! And to make things even worse, the previous room did not even have drapes. Now, please think twice before choosing this hotel. I will be getting out very soon.	
Sep 22 2008 	Nice Place to Stay	I read many reviews about this Hotel before booking it and I was a little skeptical. However, after staying there for four nights, I am pleased with my choice. The hotel staff was always courteous and attentive. The doormen were hilarious and helpful. And the hotel itself was very nice. I didn't have any issues with my room. It was serviced everyday with fresh towels and straightened up a bit. The only downside was a slight smell of dampness in the hallways, which didn't reflect the room. Besides that, it was the most reasonably priced hotel and still in a decent location for where I needed to get to in the morning.	
Sep 14 2008 	You get what you pay for	For the money, this is a decent hotel. Location was great, staff was helpful enough to get me in and out. The place definitely needs some upgrading and cleaning up, but again, for the money, I would stay there again next time I'm in Chicago.	
Aug 22 2008 	Don't Trust This Place With Your Credit Card Number	Avoid this place at all costs.My organization booked 20 rooms at the Blake for an upcoming event nearby. When we needed to make changes to the reservations, we found the reservation line went unanswered, and responses by email were very slow. I finally visited the surprisingly dumpy Blake in person and found chaos and angry customers at the front desk. My handwritten note to the General Manager to please call me ASAP was never answered.  We then cancelled all of our rooms about a week ahead of time. The Blake sent an email confirming the cancellations and promising that none of us would be charged. Despite that promise, the Blake charged my credit card for one night's stay and did the same to one of my colleagues. The Blake did not respond to my faxes, emails, letters or phone calls, but eventually my credit card company persuaded the Blake to reverse the charges. Four months later, however, my colleague is still fighting to have her $179 charge reversed. No one at the Blake will respond to her in any way. Between the two of us we've spent dozens of hours trying to reverse charges that should never have been imposed in the first place. Incredibly bad customer service, and an incredibly frustrating experience.	
Aug 19 2008 	South Loop's nicest starting point!!!	Don't let some folks bring your hopes down. This hotel is wonderful and the staff, although not professionnally trained in college to be hotel clerks, are truly nice and as helpful as can be (ask for Chris when you double check your reservation and tell him L.A. from Montreal refered you). The hotel is located in the South Loop and anyone with only two-three days to see Chicago will not mind walking to go anywhere from the hotel and guess what? Most sightseeing tours pick you up from there. As previously written by other former guests, the rooms are beautiful and nearby accomodations will serve you breakfast, lunch and late dinner (Check out Bar Louie southwest on Dearborn or Potbelly next door, or even Hackberry (right spelling or no, anyone?). In the opinion of some, your hotel has to have everything they want when they want it, which is not how I see things. A real passionate and curious-as-heck tourist (hate to use that word but...) will stay a minimum of time in his room and see as much as possible, which can imply eating outside the hotel. The more you walk, the more you love it. Honestly, my only complaint is that I had just too much to do/see and too little time to sleep more than 3 hours per night (difficult because the beds are so comfy). Therefore, the Blake has nothing to critisize itself for.... although it does not have a swimming pool with white-bikini-throbbing chicks whom feed you spoonfuls of chocolate pudding. ; )	
Aug 4 2008 	Wow did I just pay that much for this?	My Pros: The area of town isn't too bad. If you have some good shoes you can walk to just about anything you would like restaurant-wise. It's possible to walk to the Lake and Navy Pier from there, but it would be a bit of a hike. There are a few restaurants in the immediate area so if you aren't picky and don't want to walk far you're set. Our room (#524) was on the end so we had 2 huge windows one facing north, the other facing east, which gave us a very nice view of the area, which included the Sears Tower. These windows also had blackout drapes which meant a nicely darkened room when it was time for bed. The room had a large bathroom with a double sink and a really nice (rain-like) showerhead. The complimentary bathroom supplies were from Bath and Body Works, which had a nice smell. Plenty of towels for 2 people, and a bath robe. The Plasma TV was lowend, but decent Vizio (WalMart) brand, but it worked ok to watch the cable with HBO. The chairs were comfortable, and the bed was very very comfortable. The tall 12' ft (I think) ceilings made the room seem big. Lastly there was free wireless internet throughout the the hotel at no additional cost. My Cons: The price. Probably my fault, I had to book last minute, so I had to pay the webprice ($350 + tax) for this room. This price might be worth it if it weren't for the following. The room door was falling apart and hard to open and close because it was sticking in the jamb. The A/C was a pain to control, it seemed to have 2 settings, off or freezing. Our room because of the 2 windows made the city noise come right to the room. I can sleep through anything so it did't bother me, but light sleepers beware. The toilet didn't flush right you had to hold the handle down. The bathrobes finally came after a 2nd call. The doorman made a Omaha Nebraska guy like me feel a little uncomfortable. He seemed nice, but a little shiesty. He informed us that he could park our car in the garage for $39 per night, or he could put it on the meter for $10. We opted for the meter, but that meant our car would have to stay put, or we risk losing the meter. This meant we were walking anywhere we had to go for that night. I'm not sure why the $10 though, I thought the meters were free after a certian hour on Saturday. I think he profited from that one directly. No fridge? At this price? The staff didn't seem to be too bright, but fortunately I didn't really require them to be, as I didn't really need them for anything, except change for a 5. At checkout I forgot to give them their room key-cards back. They either didn't want them, or weren't bright enough to remember to ask for them. Lastly, when we got to our floor, it smelled like dirty laundry, housekeeping had bags of dirty linens all over the floor, and there was one room with a room service tray outside in the hallway that hadn't been picked up, when we came back from dinner the smell had gone for the most part, but the room service tray was still there, this had to of been 2 or 3 hours later. Other Stuff: There is a coffee pot for you coffee drinkers. It's located in the bathroom, which I thought was weird, but whatever. There was a hair blowdryer in there too if you need one. There is a phone in the bathroom next to the toilet, I guess this is in case you have some emergency that requires a phone call, or a call downstairs while on the can. I never went for ice, but I think there is only 1 ice machine in the whole place, so plan for that. They told me there as a health club too, but again I didn't check it out. Same for the restaurant, I checked their menu online and figured that I wasn't spending that much for a little nibble. If you want to catch a cab I think the doorman will put his life on the line for you to get one. The EL Train and Subway stops were within walking distance, but that's true for just about any part of town. Staff seemed a little snobbish, but they weren't rude. I didn't see too many elevators, in fact, I only saw 2. They worked ok, but come checkout time they will get stuffed. I was on 5th floor, by the time the elevator got to me there was barely enough room for me to squeeze in, then the elevator proceeded to stop on 4 and 3 to pick up more people, whom couldn't fit. So I imagine if you weren't lucky, you'd be waiting for awhile, or taking the stairs. The stairwells were dirty by the way. Conclusion: I might stay here again if I were to get a really good price, but mostly likely I would try to find something else. It was ok, but I don't think worth the price. This hotel seems to be tethering on the edge of being pretty nice, or really bad.	
Jul 23 2008 	Great Hotel in the Loop	This was the second time we stayed at the hotel. First in February 2008, because it was close to the EL. As the service was excellent, the room modern, clean and comfortable, we decided to spend another weekend in July with my nephew and our 3 bikes. The assistance we received with storing our bikes and making them available whenever we needed them, exceeded our hopes. The nearby parking was also very convenient. As we arrived ahead of check in time, our luggage was stored until the rooms were ready, again it was stored after check out, until we returned from our Lakeshore bike trip. This hotel and its staff is recommendable in every aspect. Thanks for the great stay.	
Jul 7 2008 	What a MISS	This noisy hotel is on the corner of Dearborn and Congress, two major streets with lots of buses and an above ground metro one block away. The double pain windows do not cut the noise. If you are from a city a love noise, then this is your hotel.The rooms are beautiful and the beds are comfortable. That's a plus. We were upgraded to a corner room #524. Beautiful views. When I commented on the noise and said we could not sleep well, they said the only rooms above ours were suites. We kept our room.Trust me, it's noisy, throughout the night.NO morning newspapers. NO twice daily maid service. NO bottled water. This used to be a Hyatt, but while claiming to be a boutique hotel they don't even get the most basic of hotel services. There are so few people staying here that the restaurant, Custom House, quit serving breakfasts because there wasn't enough business. If you want ice, you'll be going up to the 12th floor to find the ice machine. The hallway carpets, at least on floor five were stained in several places and needed a deep cleaning.This hotel is a mile from Sears Tower and a mile from Art Institute of Chicago. The same goes for Wrigley Field if you happen to be catching a Cubs game. OTHERWISE, there is nothing close to this hotel. It's on the far south end of the loop and boy did we boo-boo picking this hotel because it's not near anything. Well, the Chicago library is a block away as is the city jail! If you are looking for a hotel in the Miracle Mile area where most of the tourist activities take place, this is NOT the hotel to choose.The hotel advertises a concierge, but it is really the front desk, which while as helpful as they try to be, are not trained concierges. Wireless service does not work in the lobby, though it does work in the rooms. The only reason to stay here is for the rock bottom hotel rates that can be found on some discount websites. There is also a Starbucks on the corner and Orange, a breakfast restaurant around the corner. All in all, we would never stay here again. The rooms are great but there is nothing else going on, unless you absolutely have appointments in this area, there are far better hotels with far better services in Chicago....and at similar prices. We thought this was a MISS and not a little miss a BIG MISS.	
Jul 4 2008 	Great memories at Hotel Blake	My dear boyfriend and I stayed at Hotel Blake June 27-June 29, 2008 after wanting a hotel that wasn't another &quot;chain&quot;. We booked the weekend stay on Expedia.com and check in was a breeze. The room was prepaid and all they needed was a signature and a credit card to put on file for incidentals.We were assigned a King Classic room on the 6th floor...clean room, beautiful bed and bedding, large bathroom with large shower, great free tioletries from Bath and Body Works. However, not a great view. Actually, no view at all, just the side of a brick building, but this was expected seeing as how we didn't splurge for a suite and it is the city of Chicago! We didn't take advantage of the restaurant but we did walk to city quite a bit. Ate at Hackneys for burgers just down the block. There is easy access to the el, and many restaurants...Starbuck, Potbelly, Edwardos, small little Italian resurants and a 7-11 on the block.I did encounter one small problem on my return from our stay. We had checked out and were told there were no incidentals, however the next day my credit card they had on file had been charged $100.00. I called and spoke with the front desk who informed me that when they take your credit card on file they &quot;automatically&quot; set aside $50.00 per day and that if it is not used, it is reimbursed. It was in fact reimbursed the next day, however it would have been nice to know this up front.Overall, it was a lovely cozy, CLEAN stay at Hotel Blake with a great location and we would definetly recommend it and will stay there again!	
Jun 5 2008 	One of the best!	I LOVED this hotel - I got a newly renovated room on the corner, looking towards the lake, and they had thought of EVERYTHING I wanted.I would stay there again in a heartbeat.My confernece was at the CHicago Hilton, and it was a nice 10-minute walk there. Great restaurants and a cute book shop in Printer's row, too. Convenient to buses.	
May 24 2008 	A Great Place to Stay!	We got a very reasonable price at the Hotel Blake via Hotels.ca in a normally expensive city. The hotel was easy to find, not far from the Lasalle station at the south end of the Loop. With several other El train stops nearby and the bus across the road, it's in a great location for all the tourist sites in Chicago. Potbelly's and Starbucks are a few steps away. The only downside was the traffic noise at night, but that is hard to avoid in a big, busy city. Dearborn is a relatively quiet street, but Chicago drivers use their horns a lot. The climate system provided enough white noise to allow a good nights sleep. The building is an older heritage building, but nicely updated inside. Check-in was easy, computer access was handy just off the lobby and staff were very friendly at all times. We had to walk up one short flight of stairs from the elevator, but if that's a problem then you will really struggle with the subway steps in Chicago. Room was very large, nicely furnished with a big comfortable bed. Bathrooms are huge, with two sinks, nicely tiled with a rain-type shower head. The room was so comfortable it provided a welcome place for a mid-day break. The Hotel Blake was one of the nicest hotels I've stayed in and I would recommend it to anyone looking for quality at a reasonable price.	
May 23 2008	Inconsistent	I had a very mixed experience at Hotel Blake.Good stuff:- Large room with a comfortable bed and nice bathroom/shower- Good location, walkable to the loop, lake and many train stops- Staff was responsive to room change request, fax service and holding baggageBad stuff:- Wifi barely worked at all, even after I switched rooms to get better reception. This was a semi-business trip and I did not appreciate heading out into the hallway to check my email- No fridge in the room- Odd beeping in the hallway that, according to the front desk, was normal and couldn't be stopped. Not very bothersome, just strange.I got a great deal on this place but I wouldn't pay full price.	
May 12 2008	Terrible Experience	The hotel looks nice, but the service was HORRIBLE and we barely slept - the beds look nice but are uncomfortable, it was noisy, the walls must be thin, we could hear everything outside- we got very little sleep!.. The weird thing is, the elevators dont go to every floor, so we had to get off at a floor below ours, and carry our luggage up the stairs....and, I had a cold shower (I called downstairs to tell them there was no hot water, and they said &quot;the engineer will be in at 9, he'll call you then&quot;--- I had to be at work before then, so that didn't help), then the blow dryer didn't work, and they didn't come up with a new one for such a long time, I had to leave for work with a cold, wet head. Also, one of the employees literally yelled at me about a credit card &quot;issue&quot; that actually ended up not being an issue at all.	
May 8 2008 	Good Hotel. Not far from public transportation.	My wife and I spent one night in the Blake. We parked near Union Station and used public transportation to reach the hotel (the el stops only one block away from the hotel). The hotel was very nice, but the location was not fantastic for tourist accessibility. The staff were very nice and accommodating. The room was quite large and comfortable. We were able utilize the public transportation again to get to the magnificent mile. Since the public transportation is so extensive in Chicago, the location was not a problem. If I was looking for a business hotel, I would defiantly stay at the Blake.	
Apr 28 2008 	Best Place to Fall in Love	Here is the thing about the Hotel Blake . . . it is just a building - just a hotel. But is memorable beyond words.It's not just the hip decor, and the marble floors, it's the doorman dancing in the street with his umbrella in the rain - the way he will walk you to Harold's Chicken Shack -because he's going there anyway. It is the squishy blankets, and the rainforest showers, the bed that is perfect for falling in love. It is the way that even though the guy at the desk TOLD you not to put your room card near your cell phone, he will still replace it the THIRD time you mess it up - and he will laugh at you. It is the fact that when you leave the love of your life at the train station, and you come back to that hotel, with tears in your eyes, the bell man will put his arm around you, say &quot;you really love her don't you&quot; and tell you that it will be ok. And maybe just for a minute it is.	
Apr 15 2008 	Amazing time at Hotel Blake	My wife and I decided to take a pre-Christmas trip to Chicago and found this hotel and absolutely loved it!!! We had a fantastic trip to the Windy City while staying at this centrally located hotel. The hotel was very elegant with great service. The location just couldn't be beat. We were a short cab or bus ride from it all. When we got in we hopped on the blue line from O'Hare and 45 mins we got off about a block from the hotel. Once we checked into our room we saw a pizza place across the street and we didnt know a better way to start off our trip than a deep dish pizza. The place was Edwardo's Natural Pizza and it was amazing.We were in walking distance from Grant Park and did so. We got to walk to the Sears Tower and the famous Lou Mitchell's. We loved the hotel and will definitely be back!	
Apr 5 2008 	Best Beds in Town!	Stay in Chicago weekly and found the Blake based on great rates. The beds and the great showers made my stay. MUST eat at Potbelly's next door - also Starbucks across the street and awesome breakfast at Orange around the corner. Steps away from everything and best yet - you have money left in your pocket when you leave. Oh yeah - FREE Internet	
Mar 26 2008 	Good Times in room 306.	Past negative reviews on this site are not reflective of our experience in room #306 of Hotel Blake. The mixed reviews do lead me to believe that room conditions can vary. Positive Points:1. Price - I paid $101/night Canadian. I got this as a package deal on a well-known travel web site. We stayed at the hotel during the March break (week of March 10th, 2008). 2. Size - We couldn't believe the size of our room! We had a King sized bed, a nice bay window with a bench/seat (and a bench at the end of our bed), more than enough space for open luggage, and a super-sized washroom. You can do jumping jacks in this bathroom! There are two sinks, and a large shower stall. 3. Style - It is refreshing to be in a botique style hotel - this gives it charm and character, something you don't get from other cookie-cutter chain hotels. Take a look at the pictures. 4. Location - Everything is within walking distance. Yes, it is located in the southern part of the Loop, but it did not take us long to walk from one end of the town to the other (e.g. from this hotel to the John Hancock tower). It is also close to a couple of transit stops. We took the El train from the Midway airport, got off at the Library transit stop, and walked half a block to this hotel. Negative Points:1. Internet not working - it is well advertised that this hotel has a free internet terminal available for guests. Therefore we made a conscious decision to not bring our heavy laptop with wireless internet. Well, the hotel internet terminal was out of order during our entire stay. I was annoyed enough to voice my discontent a couple of times. In response, they let us use their own staff computer behind the front desk. Bravo! 2. Ridiculous phone charges - the list of services in the room leads you to believe that you will not be charged for out-going calls placed on a calling card. Well, when we checked out and got a bill for over $20 in calls, we learned otherwise. However, after some more ‘voiced discontent’ (including a reminder to them that we wouldn’t need to be placing these calls if their internet hadn’t been down all week) they dropped the charges. I commend the hotel staff for turning these two negative points into positives. Other hotel tips and tid-bits:· You get some Bath &amp; Body Works goodies in the bathroom (see pic), and they replenish. · Our towels were replaced everyday, unlike some other reviews.· The deep-dish pizza place across the street, Edwardo’s, is really good. And the Starbuck’s across the street is handy.· The exercise room on the 2nd floor has a great panoramic urban view. · If the internet isn’t working when you stay at this hotel, just go to the beautiful library on the next block where there is free internet and many terminals.	
Mar 26 2008	Worst hotel I've stayed in Chicago!	I stayed here a few years ago, but wanted to warn other TA members about this place. I'm not sure if things have gotten any better, but I don't want to risk finding out. I would never stay here again! Although the hotel was brand new and in a good location, the service was terrible! We should've known when we checked in. There was a woman who was upset because she was taking a shower and other hotel guests had walked in. Well, it turns out that the check-in desk had given them keys to her room thinking it was empty. Eek! Then it was our turn. We had booked a room with confirmed double beds (for four people) and when we showed up they had apparently given all the double-bed rooms away and ran out of rolller beds too. We had to alternate sleeping on the floor. They offered us no compensation except to not charge us for the roller beds when we finally were able to get one! This is not 4-star hotel service for sure! Valet was an additional price (expensive, but that's the norm in Chicago). However, it took them at least 20 minutes to get our car each time! By the third time we needed our car, we learned to call at least 20 minutes in advance from when we wanted to leave.In conclusion, we had a terrible experience here and the staff was not apologetic at all when we expressed our concerns.	
Mar 23 2008	A Good Stay	I have to admit that prior to the trip with my husband, I did quite a bit of research to find a good hotel. I read most of the reviews on TA was was skeptical about Hotel Blake. We were lucky one day to find a great deal for 5 nights and airfare. I thought to give it a chance and hope that our room would come out good.We arrived to the hotel around noon and were told that our room wouldn't be available for another our or so; which was fine considering check in was at 3pm. They were very courteous and pleasant. So, we went around town and came back around 5pm.We were given our keys without any questions/problems. As soon as we got into the room, I had imagined the room to be a little bigger. But, it was nice and clean. We didn't have anything missing, knobs were in place and toilet paper holders were there. The ONLY thing that I found weird were the showers! It was exactly warm outside, and I thought it was strange that there wasn't a curtain or enough glass to encase 2 people. Maybe I'm just used to old fashioned showers. I do no like rain showers anymore!The bellhops were extremely helpful, polite, and memorable.We were always hailed a cab. Housekeepers were always in the hall every morning we left. I guess some people are luckier than others. I would stay here again.	
Mar 10 2008 	Hotel Blake - An Excellent Stay	We stayed at the Hotel Blake for 3 days recently and were quite impressed. Many of the previous reviews left us a bit skeptical prior to our stay, but the price we received was quite good ($109/night) for the area, so we decided to try it for ourselves. The location was excellent, close to most destinations in the Loop area (such as the Chicago Art Institute, for example). In fact, the El has a stop about a block away, so also very easy access to public transportation. The neighborhood also seemed safe Although, there is a sandwich shop, pizza parlor, and Starbucks on the block, we did note that it was a bit difficult to find many restaurants open in the Loop at night, given that this is the really the Financial District and many establishments seem to close around 5pm. Again, however, with the proximity to the El and other trains so close, it was relatively easy to travel to other neighborhoods for dinner in the evening.As for the hotel itself, the lobby upon entry was tastefully decorated with minimalist/modern decor. The check-in procedure was smooth and the front desk personnel were helpful and friendly. Our room was huge and also well-designed and nicely appointed with a king bed, pull-out sofa, two armchairs, large desk, and a wonderfully large bathroom with glass shower. Incidentally, we had friends who were staying at the Hilton a few blocks away and their room was more than twice the price and half the size!It is also worth noting that the cleaning staff was also very good and arrived promptly every morning to change our linens. In general, we would highly recommend this hotel for business or personal travel, particularly for those who prefer quieter, non-high maintenance retreats. We found it very peaceful at the Hotel Blake and were all around very pleased with our stay. We'd definitely consider returning there on future visits to Chicago!	
Feb 13 2008	A very strange hotel	I stayed at the Hotel Blake on New Years' Eve with my partner, and the hotel had a lot of great features- the rooms are big, the bathroom is large, and there was free wi-fi. The hotel is also in a really great area. It's a short cab ride to the West Loop, and steps from the Theater District.But there were a lot of things that were conspicuosly absent - there was no mirror in the main room, and the bathroom outlets did not work. the bathroom was also missing towel bars and a toilet paper holder. I'm not sure if the hotel is under new management, but the combination of great features and conspicuously absent items that even a Motel 6 would have was kind of strange!	
Jan 12 2008 	Good but not great	The Hotel Blake appeared charming yet contemporary when I saw the photos online. It did indeed have that Chicago charm. The room, accented in red, was very contemporary and large. The decor was great and didn't feel like we were in a hotel room. The bed (a king) was very comfortable. The bathroom was huge too with a rainshower head! The staff was also very friendly. My boyfriend and I had bought a bottle of wine for the evening and failed to remember that we did not have a means to open it. They were very nice and sent someone to the room to cork it for us along with a couple of wine glasses. We also arrived over an hour before check in time and were able to check in early.On the other hand, considering the price ($150/night) there were a lot of little weird negatives about the hotel. It was kind of on a sleepy street. The room service menu was pretty meek. The only ice machine was on the 12th floor (we were on the 7th). There was no toliet paper holder...it looked like it had broken off. There was no mini-fridge (to put bottles of water and tea we bring everywhere with us) or desk (not business trip friendly).Overall, it was good but not great. If we had paid a bit less I probably would have been a little less critical of the hotel.	
Jan 2 2008 	lot of potential too bad the upkeep and maintenance stinks	We're frequent visitors to Chicago and were curious to try out this hotel. We got a great winter rate ($99/night). When we checked in in the evening the staff were very pleasant, cheerful and competent. We threw our bags down in our room after a quick once over and went out to meet our friend's new baby. The room was nicely decorated in a modern style and bigger then I expected, with plush furniture and nice window treatments. Sadly we didn't notice the three very large chunks of peeling paint hanging from the shower ceiling or the mildew stains all over the shower floor. The mildew I could live with, but the big (over 6 inches) pieces of paint barely attached to the ceiling really grossed me out. We didn't notice until right before bed, so we thought we'd just ignore it and let them know in the morning when we checked out since they seemed so nice when we checked in. When we were checking out we told the woman behind the desk and she didn't care at all. She didn't apologize for the state of the bathroom and just laughed it off. I wish I had taken pictures, it was that disgusting. Too bad, because the hotel does have a lot of potential.	
Dec 20 2007 	Beats the Hilton!!!	This hotel was simply awesome! When I first arrived, there was only a small wait with a few people ahead of me checking in or out. The only downside to the place was that the desk clerk was always answering the phone while trying to help people checking in and out. The lobby is awesome and has a very modern mood to it. They have a computer in the lobby with internet incase you don't have a laptop with you.The room (216) was wonderful! Nice few of the street/city life below with huge windows to look out and people watch. The room has lifted ceilings and makes the room that much bigger. The bed was amazingly comfortable and the other furniture in the room gave it a great feel. The bathroom was also huge and spacious. It had a waterfall type shower head that made leaving the bathroom just as hard as leaving the soft, warm bed! There is also a great little eatery right next door called &quot;Potbellys&quot; that serves sandwiches and soups etc.Even though the desk clerk was often on the phone, he made up for it everytime we left to go out because he would always ask where we were off too and he would give us great advice or tips on where to go for what we were looking for! He was very kind and helpful...when not on the phone of course! We stayed here for two nights and then went to stay at the Hilton for a night, which turned out to be a bust. Sure the Hilton was all fancied up in the lobby and looked like something out of the movies, but the room which was a junior suite was a bust. It was small and like any holiday inn or red roof room you could find along any highway. I would strongly recommend The Hotel Blake of Chicago as I will be returning this Spring/Summer to stay again!	
Dec 3 2007	Beware! Problems!	Just Google &quot;Nicky O&quot; (as in Nicky Hilton) to read up on why Hotel Blake has had so many bad reviews on TA lately. We stayed there as part of a wedding group with a block of over 30 rooms, and many in our group had stayed at the Blake previously due to its proximity to the bride and groom's place. Other than that, no one had much good to say about the hotel except that the rooms are spacious. The rooms are, in fact, quite spacious. There's no disputing that. But they're also in much disrepair. We had two TP roll holders in our bathroom which were pulled off the wall and laid on the counter. The knobs to the TV armoir were also loose, and the TV itself was a big cathode tube thing circa 1998 with only about 20 channels and HBO. Add to this that we didn't have a dresser in our room; though under the TV, where a mini-bar or drawers *could* have been, was a big empty cavern. All the rooms are different, though I only saw one room with a dresser at all. And definitely no mini-bars. During our four days there, we had our room made up twice and we never received fresh towels, despite calling repeatedly. I did call once and ask for hangers due to the lack of dresser drawers, and fortunately got those. Wifi is available, which is a plus, but it doesn't always work. If you need help, there is a number to call, but you will be informed that they don't support the Blake anymore. I was on the hunt for an ethernet cable and randomly found an unplugged Wifi router under my nightstand. We invited others to come soak up our Wifi. Many people have noted that there is no breakfast offered. This is a huge confusion. The restaurant in the lobby, The Custom House, is not affiliated with the hotel, but yet there's a sign in the elevator which says you can get breakfast there. The Custom House isn't even open for breakfast! Anyway, I guess the structure changed when Ms. Hilton purchased the place and things still haven't been addressed with it. There was a convention in town when we got there and they had donuts and coffee for those folks on the second floor. Despite having over 30 rooms, we had no breakfast, so I'm guessing one of the convention folks set that up themselves. I heard many people ask the front desk about the breakfast and were told to go to Starbucks across the street, which is hilarious, given that Orange is around the corner and awesome. I even overheard one guy saying that when he booked with Expedia it specifically said &quot;breakfast included&quot;, at which point the desk clerk got pissy with him and said Expedia was wrong. We all noted that the front desk staff are stressed out because things are so crazy and management simply seems to be avoiding the problems. The most frustrating thing about the front desk is, however, that they don't answer the phone! In fact, it seems that they avoid the phone altogether. Many people compared notes on calling from inside and outside the place just to see if they could get someone! Like I said though, I managed to get someone on the phone to give me hangers and they actually showed up. The upshot is that the bell men are nice and very attentive, but let's face it, they work on tips. The downer is that they don't have hotel umbrellas. So if it's raining in Chicago, and you ain't got, prepare to go buy one or catch cold. To sum up: This is a nice property in a good location which is rapidly falling apart due to owner neglect. For the amount of money they charge, you can do better. It's a shame.	
Nov 26 2007 	Stay Away	I stayed at this hotel because I found a reasonable internet rate for what was supposed to be a quality hotel, and the location was great for mt personal 5 day discovery tour of Chicago. Unfortunately I had such overwhelming problems during my stay, that I had to check out after 2 nights and find another hotel. My major issue was with the bathroom, which may have been partially designed to be handicapped accessable or was using the new concept of a &quot;wet&quot; room. Anyways it was all marble (synthetic?) with no lip around the shower area. There was a drain in the shower area as well as in the middle of the room, and I think the water was supposed to drain out in the shower area. Instead it spread accross the floor to the other drain and when I stepped out from the shower area, I immediately slipped and fell on my butt.When I contacted the Front Desk they had no concern about my fall and no understanding of my problem. Eventually they sent a housekeeper and I thought I would get some help cleaning up, but she could not speak English and appeared to be mad at me for all the water on the bathroom floor. I finally grabbed a bunch of towels from her cart and mopped up the mess myself. Later I asked if the drains had been cleared and if some shower mats had been placed in my room, but no one seemed to know about my problem. The next day I went out into the hallway and grabbed extra towels off one of the housekeeping carts so that I had a nice soggy floorcovering which was not slippery and was somewhat safer, if still unpleasant.. Then I was forced to go outside the hotel once again, on a cool and grey morning, to grab some breakfast at the local unfriendly diner because the hotel had no breakfast in spite of the posters in the elevator. I realized as I came back into the hotel, that the lobby had the same marble as the bath, and it struck me that with the possibilty of rain later that day, that I could probably slip and fall once again, as the floor was quite uneven. The prospect of another scary shower and scavaging for more towels, as well as the thought of going out again in bad weather to even get a cup of coffee, led me to check out immediately. I ended up at the Chicago Hilton, which also had a reasonable rate, and had functional bathrooms as well as food! In fact the location was even more ideal and I was quite impressed by their great service, as well as the great quality of my room.	
Nov 12 2007 	Don't Even Bother!	This was THE worst hotel I have ever stayed at in my entire life.I was on a trip with a few friends from work during Chicago's WONDERFUL St. Patrick's Day festivies. However, the Hotel Blake put a major damper on one of the best times I had in Chicago.Note: We called the morning the day we were to check in to inform the hotel that we would be arriving very late. However, one of my co-workers had a confirmation number and they assured us that this was not a problem. WRONG! We had a group of 4 men and 3 women and booked enough rooms to accomidate for this. When we arrived at the hotel at approximately 11:00pm, we were informed that there were NO ROOMS AVAILABLE. We were all in disbelief that this could even happen! We told the woman helping us who we had spoken to, and she said that she had already left for the day. To say the least we were all furious! After about 1 hour of complaining they handed us 2 key cards. We ended up with 2 rooms each with only ONE KING SIZED BED!!! They did not offer to move us to a different room when available, but made us simply &quot;make due&quot; with what they had given us, or lose out on our money. A refund was out of the question to them. Not only did our rooms not accomidate us, but down the hall there was a MASSIVE water pool (perhaps from bathtub leakage above). The water remained there for the 3 nights we stayed there. Nobody ever came to clean it up, and the housekeeping attendance mearly &quot;worked around it.&quot;They were very rude to us when we checked out, literally throwing our paper receipts to us. They said nothing about inconveniencing us, no apologies were made, no discounts were given.I found only 2 good things about this hotel:1. The decor was very pretty2. There's a Starbucks on the corner (but you could have that at just about any hotel in Chicago!!!)SIDE NOTE: Personally, my family is a stickler for things being AAA recommended -- this hotel was NOT! NEVER STAY AT THIS HOTEL!!!	
