	Review...	Hotel itself was nice. Concierge was great as well as the staff in the bar/restaurant. The staff at the front desk were horrible!!!! We waited 1 1/2 hours passed our check in time and finally I went up there for the third time and they had a room ready for us. Hotel was beautiful, rooms were nothing special, hotel was close to everything...including the hospital across the street that has ambulances with sirens leaving and arriving all times of the night! Ugh.	
Jan 27 2009 	Friendly staff ~ Good location ~ But Small rooms	The location of this hotel is near perfect, just one block off Michigan Avenue. From the outside the hotel looked impressive and the ground floor foyer and 2nd floor reception area felt the same. The reception staff on checking in were extremely friendly and our room was available at 11am in the morning even though check in was not until 4pm.Our room was clean and nicely furnished with a huge comfortable bed but was far smaller that expected. I think its one of the smallest hotel rooms I have been in for a good while. Our view was of a brick wall so we had total privacy!!! The room along with the rest of the hotel was quite cold, we managed to get the heating up in the room eventually but the rest of the public corridors just felt to chilly for comfort. On another negative note there was little in the way of public areas, it just felt as though this was purely a business hotel where you could just eat, drink and sleep. (Only a handful of seats in reception).Breakfast the next morning cost $20 plus tax per person. The breakfast was nice but really not worth the money. Personally in hindsight we may have been better off at the Starbucks around the corner.To sum in up, nice clean hotel, friendly staff, great location near to Michigan Ave (the ambulance sirens for the near by hospital do seem to be constant, day and night) but with compact rooms. Pleased that I stayed here but I think for our next visit to Chicago in spring we will try another hotel.	
Jan 6 2009 	very good stay	This is our second stay at this hotel, it is in perfect walking distance to many shoppping and eating venues. The front desk staff very helpful and courteous and the rooms very well aportioned and very clean. I used the gym daily, with nice new exercise equipment. The only negative, close to a ER. We heard lots of sirens, but what do you expect you are in the middle of the city.	
Jan 4 2009 	We never complain but.......	my husband and I stayed at the Wyndahm 2 nights to celebrate the New Year and to have a last &quot;getaway &quot; before we have our first child in 2 months. I booked our room with points that we had accumulated through our credit card and this was the only option for a downtown Chicago location. On initial entry to the hotel I was pleased, after finding a place to park....good luck! Our room was clean and as the day progressed into night, that is when we started to regret our choice in hotel. First off our room was directly across from the hospital. Sirens all night! For a light sleeper, like my husband, not a fun thing to hear in the night. When sitting on the bed, the comforter is very soft, pull that thing back and you will be sleeping on a rock. Strike three....the thermostat. The fan will not stay on and the lowest the temperature will go is 65. Being pregnant, I was sleeping in my sweat all night and on a hard bed listening to sirens. The kicker.....a loud thud happening anywhere from every 5 minutes to every 10 seconds, depends on the time of day and how busy the hotel is. This constant thud was the pipes running through the hotel for water pressure. It sounded like doors slamming constantly. REALLY ANNOYING!!! My husband slept with ear plugs the second night. I was so exhausted from walking so much in the city that I only woke up a few times to the sirens. One last thing I noticed, being pregnant, didn't bother my husband, was the counter tops in the bathroom. I am 5'8 and 32 weeks pregnant, the counter hit me directly in my belly and had a difficult time using the sink or putting on makeup in the mirror. I had to sit on the counter to get anything done....also not safe if pregnant. We did not have to shell out any of our cash for the rooms, but I am disappointed that our hard earned points went to these two nights in Chicago. The only thing going for it was the location and the corner bakery across the street for breakfast....since it is not included at the hotel. I would not stay there again.	
Dec 29 2008 	Wyndham Chicago was THE best!!	First of all we got an unbelievable rate of $70 a night through expedia and things just went up from there. The hotel was beautiful inside and out, the staff was great especially one of the front desk ladies (we became fast friends!). When booking this hotel i read some reviews about people being bothered by ambulances and stuff because the hospital was literally direclty across the street (u could walk from the hotel door straight across the road to the hosipital door) but i can honestly say that didnt bother us at all. no sirens kept us up. Everyone we came into conctact with was extremely helpful and the hotel's location was close to everything. My party consisted of me, my sister and a friend and although we just got backj home we are already making plans to go back next year!!!!	
Dec 15 2008	Great location clean rooms	I booked through the hotels website for 159 per night which is a great price for the quality of the hotel the rooms were clean, the beds were nice (not the best but i slept well!) average size rooms with enough room to relax, the bathroom was larger than usual which was nice for 2 girls to get ready in the morning. There was wine and cheese ready in our room upon our arrival, due to the free Wyndam rewards program. The staff was very nice and helpful when needed. Never had any problems with noise. Each room had its own thermostat so you could adjust the temp as needed. The view as OK but that defiantly does not matter to me. The location is the reason I chose this hotel and it was perfect a block off Michigan ave and a short walk to almost anywhere you would want to be! I would defiantly stay here again! I have stayed at nicer hotels in Chicago but have payed a lot more too!	
Dec 6 2008 	Fabulous Location	Fabulous location and great hotel. The front desk and concierge staff went above and beyond to be helpful. The bed was so comfortable I didn't want to leave it in the morning. The fitness room was well-equipped for a downtown hotel. Don't eat breakfast at one of the corporate options nearby, instead walk around the corner to 233 E. Ontario and eat at Momi's Cafe. Moni's has organic and fair trade tea and coffee, crepes, great breakfast options and it is locally owned!	
Nov 17 2008 	Perfect	I could not recommend this Hotel more highly. We stayed here for 6 nights at the beginning of November and got a great deal of 55% discount by booking through Expedia. The Hotel is in an ideal location just a block from Michigan Avenue (the main shopping street). I stayed there with my Mum and we never had any concerns about going to and from the Hotel as two women even when it was dark. The staff were always friendly and could not have been more helpful. The room was spacious, the beds were huge and very comfortable, there was a big closet and the bathroom was spotless and had lots of free toiletries in it (what more can you ask for!) I really liked the fact that we got a free USA Today newspaper left outside the door each day. We didn't have any meals at the Hotel although there is a restaurant because we tried the Corner Bakery across the street on the first morning and it was such good value and the food was so yummy that we kept going back there. A perfect stay!	
Oct 25 2008	Real Surprise	Booked this through Hotwire for a great price, so was stunned to find a hotel so centrally located near Michigan Avenue. Was further surprised by the level of comfort. This is a very nice clean comfortable hotel which has a nice luxurious feel about it. The room was large, clean and well appointed. The only downside was the the cost of valet parking and internet pushed the price up a bit. I could have self parked down the road for cheaper but luggage restricted the practicality of this. Over all a nice find especially if you can get it for a good price.	
Oct 20 2008 	Nice Hotel...But..	We spent a long weekend at the Wyndham and I will say the staff was very friendly and courteous. The location is wonderful a block off of Michigan avenue. My only problem was that you cannot control the temperature in the room. There is a thermostat and it looks like you can set it but it does not do anything. I was way too hot durning our stay. I asked at the front desk and they said that the building engineer controlled the temp. The engineer came up within 10 minutes and opened up a vent and said it should help. It lowered the temp a whopping 1 degree. For a nice hotel this is a major inconvenience.	
Oct 16 2008 	Will definitely stay here again	We've stayed at a few hotels in downtown Chicago, but now we have found the one.The Wyndham was a great value (under $200 midweek). The rooms were very clean and comfortable. The staff was very friendly and accomodating (late check-out). And the location was perfect for us-- only a block off Michigan. The nearby Corner Bakery was a convenient option for coffee and breakfasts, and there is a Dominick's grocery nearby for drinks and snacks.I worried about being across from the ER and hearing ambulance sirens all night, but we weren't bothered at all.The pool was small, but perfect for the kids to splash around.We will definitely choose the Wyndham next time we return to Chicago.	
Oct 14 2008 	Nice Hotel	This is a great hotel and was a good value for $300/night. Excellent and helpful staff. Very clean. Nice room and great bath. Comfy beds and good linens. Beautiful lobby. Good and fast valet service. Made a seperate trip to our car when we realized we'd forgotten a purse and promptly brought it to the room with a smile. Great conceierge. The bad: noise. It is across from the hosptital (sirens) and noise travels through the door, but not necessarily the walls. On the flip side of being across from the hospital it really is quieter than those hotels right on Michigan or Rush street. It is only a block or so off the &quot;mile&quot; but felt tucked away from the bustle. There aren't many sirens and as a light sleeper I was only awoken once. That might've just been my jet lagged system confused about the time. I would definitely stay again unless I can get the Sofitel for the same price! (The Sofitel does not offer 2 doubles- which were needed on this &quot;girls weekend&quot;. ) This hotel snob would recommend it.	
Oct 12 2008 	Nice room lovely bathroom free by request benefits	There’s been a lot of talk about hearing ambulances and I have to agree it could be a problem for a light sleeper if you’re facing the hospital as we were. We were on the 16th floor I believe and I could hear the noise but it wasn’t much more than you’d expect if you were at home and an ambulance was going down the street rather muffled. I just don’t sleep well away from home. It’s a very conveniently located hotel so may be worth the minor noise disturbance.The room we had was an upgrade because of the By Request membership which is something you sign up for and requires no money. Of course we received the complimentary drinks and snacks requested. You have several options to choose from, we opted for the fruit bowl, green tea and water. Also, there was a large bowl of green apples at the front desk when you checked in. Much like some older hotels the front desk is on the second floor.It was a nice suite with a living area with the standard TV in an armoire and a bedroom which a pair of frosted doors closed so you aren’t disturbed. The bedroom had its own armoire with a TV. The bed was very comfortable, nice down pillows and comforter with the duvet which seems so much cleaner. The whole bedroom wall was filled with large windows with good curtains that keep out the dark. As everyone else has mentioned the bathroom was really very nice with a wonderful scale that measured your body fat and weight once you put in your height and age. The makeup mirror was great and the products aren’t just the tiny little bottles you get even at four star hotels but medium sized Bath and Beyond items that you might give in a gift set which was a nice surprise.Overall the room was nice, clean, fresh, very satisfactory. Everyone was helpful and friendly. There were only two problems. One was the Internet which I didn’t mind paying for as it’s not that much but my daughter wasn’t able to get it hooked up. She didn’t call for assistance either and I didn’t find out until too late so that might not have been a problem. The second was that the cable stations kept going out. She didn’t call about that either though so maybe it won’t be a problem for anyone else. I should mention in the morning the stations seemed fine. We didn’t use room service or try the buffet or even the restaurant though I did have drink in the bar with a friend and enjoyed the atmosphere. They had several TV’s with sports on though there was no noise to disturb our conversation. We sat on the couch which was nice and comfortable. The waitress was prompt and pleasant.I must add that thanks to other reviewers we avoided another problem which was using the hotel’s valet service. They charge $49.00 a night and while I understand parking is horrible in downtown Chicago right next door to them to the right was a perfectly adequate parking garage with valet service as well, 233 E. Erie Parking, phone number is (312) 255-8200 should you want to contact them before hand. The sign said they charged $39.00 on a weekend for 24 hours but the kind gentleman said there was a $5.00 discount which was applied. I can’t say enough about this garage. The two men were so kind and helpful. They told us we could easily get whatever we needed out of our car at any time. The convenience, service and price were unbeatable and the best thing is that there was barely a five minute wait! Also, when I accidentally left a bag beside the chair my daughter had been waiting in they marked it and had it ready when I returned twenty minutes later after having had to turn around on the Interstate and go back. If I went back to Chicago I would be very pleased to stay at this hotel and park at the same garage again though I’d make it two nights instead of one there’s just so much to see.	
Oct 10 2008	good hotel	The Wyndham hotel is in a great location right next to the magnificent mile although it is a small walk to the nearest train stop. The rooms are very nice with an old style decor that is very comfortable. The stafff are also very friendly and we had a positive stay overall. We were in Chicago (myself and my girlfriend) for five days and I would recommend that people allow as least five days in the city if possible as there is a lot to see and do.	
Sep 27 2008 	Horrible	I was not impressed with this hotel other than its location. If you have any expectations or need service dont stay here. The bellman will get you in the door and just point to the elevator leaving you to get your bags and family upstairs to check in. Then you wait (ours was 3hrs) and hope you get a room that you can rest in. There is a hospital across the street with ambulances running non-stop.	
Aug 29 2008 	Second stay at this Wyndham	We stayed at this property last summer and found the price and service to be worth a return visit. The valet service, bell staff and concierge are all above average. The location is in the heart of the Magnificent Mile and within walking distance of all the best that Chicago has to offer. Only complaint was that we were supposed to get a few perks (snacks, free local calls) for being Wyndham By Request members. Last year it was automatic. This year we had to ask for everything, despite the fact that our membership number was on the reservation.	
Aug 29 2008 	Lovely BUT.......	I received a great rate on a last minute booking from priceline. The desk clerk was friendly and upgraded us to a King Suite when I told her it was my sons going away to college trip. The lobby was nice and no big deal going to the second floor. The room was huge and beautiful the bathroom fabulous. The concierges were friendly and very helpful on both occassions.Here is the BUT...although we were on the top floor the hospital next door had an ambulance arrive at 4:30 in the am that screamed the siren for a good 3 minutes. It felt like it was right outside the window.Other reviews mentioned this so unless you are a heavy sleeper you may want to avoid the hotel,too bad because it is in a great location and the place is very nice.	
Aug 27 2008 	Would Come Back Again!	Had a fantastic stay at the Wyndham! The lobby was beautiful and check-in was quick and easy. Because I had signed up to be a Byrequest member, a plate of cheese and crackers and two small bottles of Pepsi were waiting for us in our lovely, clean room. The bathrooms were perfect for us- it was very clean, had granite countertops, a large framed mirror, and bath &amp; body works products for us to use. The location is perfect, a few steps away from Michigan Ave and not to far from Navy Pier. The only downside was that our view was of the wall of the building next door, but that wasn't a problem for us at all since we spent most of our time out in the city. Also, Gino's, famous for their deep-dish pizza) is only a block away! Sadly, we found this out after checking out and on our way home.	
Aug 25 2008 	Wyndham Chicago-St. Clair Didn't need a car	This was business/pleasure and it was a nice little weekend getaway. It's located near a hospital so you hear sirens alot but for some reason would quite down later in the night. The beds were very comfortable. I agree with the other person that the concierge was very helpful. The concierge is located right near the main elevators so you can't help but use them. As always I recommend getting a room without any adjoining door. We were lucky and had quiet people in the room next to us. Can they come up with hotels that muffle hallway/other room noise please?? The parking is high there but it's high most places downtown. It was nice to walk most places nearby for shows or boat tours or just shopping. If you look out the hotel window there is a little cafe across the street called Coco Pazzo that had the best food. I highly recommend this place. Gino's is nearby and has a outside patio. The cafe's were very quaint during the warm summer nights. I felt like I was in Europe. The hotel restaurant was really good too. We only ate there for lunch. Good service. I would stay here again. Great couple getaway.	
Aug 23 2008	Comfortable and great location	Very comfortable room.Great location. Lots of good restaurants nearby. Walking distance to lots of sights, and easy to get to transportation.Friendly and helpful staff.Furnishings were high quality.	
Aug 16 2008 	Great stay at the Wyndham	The Wyndham Hotel is located 1/2 block from the Magnificent Mile. We had a great experience at this hotel. We stayed in a non-smoking room with a single king-size bed. The rooms were clean, comfortable and you couldn't ask for a better location for a first-time visit to Chicago.The Concierge made our stay in Chicago a great one. Great tips on what to do in the city and they made reservations for us whenever we needed them. This by far was one of our best mini-vacations we have ever had and the Wyndham had a lot to do with it.	
Jul 24 2008	bed bugs	The beds were both uncomfortable and had bed bugs! When I woke up after a very unrestful nights sleep the matress was exposed and my feet and ankles had been bitten numerous times. I counted over 25 bites on one foot and leg.	
Jul 21 2008 	Above Average...but I've had better in Downtown Chicago	Came down with girlfriends for two nights in December to see the Oprah show and do some Michigan Avenue Christmas shopping. We wanted to save on money so four of us gals figured we could cram into one room for two nights. The beds however were way too narrow for grown women to share, I'd say a little bigger than a twin size bed. Really unacceptable for a standard room. People expect at least queen sized beds. Anyway, we managed and I guess other than the narrow beds it was otherwise good. I stayed at the Sheraton a few months earlier for about the same price and have to say the Sheraton offered so much more. Given the choice I'd take the Sheraton any day over the Wyndam. If you can get a good cheap last minute deal with the Wyndam then you'll probably be satisfied, however, if you pay more than $200 per night for this place you've been had.	
Jul 15 2008 	Great Hotel	Great Location, in walking distance to the best shopping of the Magnificent Mile and great restaurants. The Hotel is beautiful, we had a 2 double bed room which was quite large, the bedding was fabulous and the beds very comfortable. Marble bathroom and dressing area. Highly recommend, and we are very picky!	
Jul 1 2008 	Great location	I was able to get the Wydham on priceline for $75/night. What a great deal! The hotel is nice and close to many restaurants and shopping. We walked EVERYWHERE. It was a great way to spend a few summer nights in Chicago. Yes, you hear ambulances go by and the view isn't all that great but for $75, I can't complain. Our intentions weren't to stay in the hotel but to enjoy Chicago and the Wyndham provided a nice place to sleep at night. The beds were big and comfortable and the room was clean. We will definitely stay at the Wydham again.	
Jun 21 2008 	Read on...	I booked this room through Priceline. Why would anyone pay $260 + $40 tax when on Priceline you can get a four star room for $80 + tax for this hotel? I checked into this hotel on a Thursday night; I arrived at the hotel counter only to find the hotel attendant on a personal phone call; he neither smiled at me nor did he end his conversation for quite some time. After a while, all he said was sorry in a neutral tone; I proceeded to ask for a king size bed (instead of two double beds) and was told that none was available. (Incidently, when I went to ask the hotel attendant recommendations for restaurants in the area, he told me to ask the concierge, without even realizing that no one was staffed at the concierge desk.) I was disappointed that I was given the room right next to the elevator, especially when young children screamed nonstop in the elevator lobby when I was attempting to sleep. It goes to say that I did not exactly have a peaceful night's sleep in this hotel. What's more is that there was some rattling noise from the air conditioning. I set the room to a comfortable 70 degrees; however the level of noise was annoying, especially when you are trying to sleep.For a four star room, the beds were not as comfortable as they should be. They seemed to be &quot;over used.&quot; As for the furniture, most of it seemed worn even if it would considered to be elegant. I was also disappointed that the televisions were not plasma screens. The bathroom, however, was wonderful. Granite counters, spacious floor plan, &quot;spa&quot; toiletries, and a nice shower system helped to counter the problems with the room. Overall, I would stay here again if I can get the Priceline rate. Otherwise, I would not!	
May 25 2008 	Wyndham is a new Chicago favorite!	We spend a few long weekends every year in Chicago and this time, we opted to try the Wyndham Hotel with our two young children (7 and 9). We had a lovely experience. The hotel is immaculate (and, if you were to ask my husband, I'm ridiculously fussy), the room was clean and bright (moderately sized, great linens, large and clean bathroom), the pool was small but terrific (with adjacent locker rooms as well as unisex sauna and steam rooms) and the workout room was great (it even opened 10 minutes early - at 5:20 a.m. I often am frustrated by workout facilities that don't open early enough). The best part? The location. It was amazing to us that just one block off Miracle Mile, traffic can diminish so considerably (in fact, the intersections around the Wyndham are marked by stop signs, not traffic lights). The Wyndham is amid high-rise residences, hotels, and office buildings, but quaint and so quiet at ground level. A larger Corner Bakery (a breakfast favorite) is across the street with indoor and outdoor seating. TGI Fridays is down the street, as are other eateries (but, again, you're just a block off Miracle Mile and blocks from Rush Street, so the eating and shopping opportunities are endless). We also liked that it is located about midway (north/south) on the Mile, making everything so convenient. Wyndham staff members were exceedingly polite and helpful, from the doorman to the concierge and front desk. Always holding doors, asking if we needed help, talking to our children -- just great. (When we arrived, we were given a room with a view of a concrete wall and asked to be moved, which was done without question. Our new view was great -- and just a few floors up. The room was a bit larger, too.) We didn't eat in the hotel restaurants, but they were crowded at meal times - a good sign. If there was any drawback (and I'm not sure this even qualifies), it's that the hotel doesn't have a large lobby. While it's elegant, it doesn't invoke the opulence (or hum with the activity) of some of the larger or older hotels (like the Drake or the Intercontinental). But, it's lovely (marble floors; curved staircase, pianist at the baby grand, elegant furniture) and quiet.The Wyndham is a new Chicago favorite for us.	
Apr 26 2008	Nice Hotel But Noisey	This was the third time I have stayed here and have been satisfied each time. The rooms are clean and comfortable and the bathrooms are very large- for downtown chicago.The service is good and the rates are usually better than most. I booked a room with a king sized bed thru the hotel web site for $160 per night.My biggest complaint is the hotel's close proximity to Northwestern hospital. If your room is on the hospital side you will her ambulances, usually several per night. A minor annoyance is the need to take one elevator to get to the lobby and then change elevators to get to your room.In the category of Mich. ave area hotwels for under $200 per night I think this hotel is one of the best. Over $200, I'd look at Sofitel or Omni.	
Apr 15 2008	Timeshare scam warning!	After staying at this Hotel we were lured into buying into a timeshare promo with Wyndham Vacations. We got a call after a couple months asking how we enjoyed our stay. They took $89 from us. I called 2 days later to get our money back. We did not get our money back and amazingly there is no record of my call. They refuse to give me back my $89. I have gone as high as the corporate office and have filed a complaint with the Missouri Attourney Generals office. There are multiple complaints against Wyndham Vacations! Stay away!	
Mar 31 2008 	Nice Clean No views	Booked two nights for short family trip to explore City. Location great except for hospital next door drew a contant flow of ambulances (sirens). Hotel very clean, room was nice. Marble bathrooms, granite tops. Exterior windows dirty, and really no good views. We changed rooms shortly after check in, but second room view wasn't any better. Food price really expensive, but found serveral reasonable resturants nearby. (WEST EGG was favorite) Oh, the pool .... was about the size of a standard hotel room, but kids didn't seem to mind. Bar made great cozmos. You'll drop $30 for two with tip. Ouch!No frig in room made bringing resturant leftovers back impossible. Over all, OK, but I will try another place next time.	
Mar 28 2008 	Yuck	I stayed here for business last month and fortunately it wasn't MY money I was spending....It started with my arrival...my flight had been VERY delayed out of Seattle due to a snowstorm in Chicago, so I arrived around 9:30 p.m. tired and hungry. The three young women at the front desk were discussing their &quot;myspace&quot; profiles and hardly looked up when I arrived. They gave me my room key and I asked them &quot;is there somewhere in the hotel I can get food?&quot; They said &quot;oh yes, you can get food in the bar until 10:30!!&quot; I thanked them and went up to my room.They had put me in a &quot;suite&quot; but it was a smoking room and smelled TERRIBLY of smoke (I had specifically requested a non-smoking room and paid extra for it!) I went into the bathroom and found it disgustingly dirty. Someone had clearly been sick on the toilet and it had NOT been cleaned since...it was disgusting. The towels in the bathroom were also dirty, with hair stuck to them and crumpled on the hangers as if they'd been used and then hung back up.I called the front desk and the girl said she'd send someone up. I waited 10 minutes and someone showed up with a long metal pole to &quot;unclog the toilet&quot;. I explained the situation to the man at the door and he told me I'd need to call back downstairs. When I did, the girl said &quot;I just sent someone up to unclog it!&quot; and I had to spell out for her what the exact nature of the probelm was. They sent someone else up 10 minutes later to clean the bathroom. The man who cleaned the bathroom said &quot;it' looks like somebody has been in your room since it was cleaned!&quot; as if it was very normal.When I finally made it down to the bar it was about 10 p.m. They told me they had stopped serving food a few minutes before. I told them I had been told they were open until 10:30. They shrugged and told me some local places that had food at this hour (there was a snowstorm...I didn't really feel like walking 5 blocks for food). I was very annoyed because I would have eaten first if I'd known they were closing.So I went to bed quite hungry (the front desk girls hadn't offered me a mini-bar key or else I would have at least had a snack) and couldn't sleep most of the night since my pillows reeked of cigarettes. Blech.The next day I complained at the front desk and was moved to a new room which was great...but the first night was a total disaster. I won't be staying here again if I can help it!	
Mar 28 2008 	Pleasant Experience @ Wyndham	Just got back today from a 3 day stay in Chicago. We switched our hotel last minute to the Wyndham, based on a good rate from Expedia, and the fact that my 7 year old insisted on a pool. The hotel check -in was very easy, although we were told at check-in that they could not honour our Wyndham By Request membership, since we had booked through Expedia. The front desk however, was nice enough to give us a &quot;club room&quot; on the 16th floor, without the benefits of the club services. We found the room to be more than adequate. It appeared to have new carpet, 2 double beds with duvet bedding and a small tv. Being that we were there during Spring Break, the hotel was packed with other families, and the pool was jammed with kids - much to my chagrin , however to my kids' delight. I think my ears are still ringing with the sound of kids screaming and the roar of the jacuzzi! Our concierge &quot;Russell&quot; was very helpfull with suggestions. TIP: If you plan to go to the Rain Forest Cafe, make sure to phone in advance reservations! Playing it by ear cost us 1.5 hours of wait time!!!! Overall- we found the hotel to be nice enough to return, and more than deserving of their 3.5 star rating. We did not eat breakfast in the cafe, instead used the miniscule coffee maker to heat water for our instant oatmeal, and hot cocoa. 2nd note: the club floor bathrooms must be designed for very tall people. My 7 year old couldn't reach the bathroom sink. Luckily she has great balance, so we inverted the plastic trash can and used it as a 'step stool&quot;. We also loved the shampoos and soaps provided by the hotel. I also liked the make-up mirror in the bathroom. My kid thought the first floor lobby was very fancy - although from a space planning point it seems inefficient since you either have to climb the grand stairs, or take an elevator to get to the lobby! Our overall experience was lovely and we would recommend this Wyndham Hotel.	
Mar 25 2008 	Nice but the nickel and dime stuff is annoying.	I booked this hotel because it was listed as a &quot;good value&quot; and &quot;customer favorite&quot; on Hotwire; we booked Holy Thursday-Easter Monday, 2008. I was happy to learn I'd booked the Wyndham, a chain I am usually pleased with.The hotel is about a block off Michigan Ave. in the Magnificent Mile/Streeterville area. It's an easy walk to Watertower place and a reasonable walk to the loop. We used both the El and bus to visit other parts of Chicago, and found bus stop and the underground station at Grand easy to locate within a short walk.Valet parking is expensive—$44 a night, I think. We opted to self park for around $35 a night about 1/2 a block away, in the ramp on St. Clair, adjacent to the Courtyard by Marriott.The hotwire rate did not include breakfast, although I think some of the packages booked directly with the hotel do. There were apples and mints at the front desk, but not coffee service, something we've experienced at other 4 star hotels. There was a mini-bar and small coffee pot in the room, with some pedestrian no-brand coffee; no stirrers, sugar, etc. There is a tiny Starbucks with a perpetually long line across the street (next door to the Parking Garage mentioned above), a Dunkin Donuts steps away and a Corner Bakery and Panera very near. The room itself was fine. We were on the 14th, nee 13th floor; we figured that's where they hide the hotwire cheapskates. If we peeked around the tall buildings, we could see the lake. The room had two double beds w/ down comforters and pillows; an upholstered reading chair w/ table; and a desk with a lovely aeron chair—easily the most comfortable piece of furniture in the room. Wyndam has not yet abandoned amoires, as many of the upscale hotels are doing, nor have they upgraded to flat screen televisions. The room felt a little cramped w/ all the furniture in it. (In fact we moved the occasional table to the closet because we couldn't otherwise set up a cot for the teen we had in tow.) The cable package was limited to a handful of choices, but what the heck, we didn't go to Chicago to watch TV . . The phone on the night table did not work.This must be a hotel that, in general, caters to business travelers with expense accounts. Internet service was something like $10. a day in the room, and a whopping 35 cents PER MINUTE in the business center. We walked to Panera and/or the Apple store (both within blocks) where we could, at no charge, check our email and look up (and write down) information on the places we wanted to visit. The concierge printed my boarding pass for free, but I had to pay to sign on (note, credit card machine attached to computer does not take American Express) and look up my reservation number, which I'd forgotten to bring with me. I requested a cot for my teen-aged son and gulped when I learned it would cost me $20 a night extra. However, this charge was never posted to my account. The cot only fit in one spot in the room—between the bed by the window and the desk, provided we moved the aeron chair out of the way. We stood it up each morning so we could move freely around the room.There is no charge to use the gym (which surprised me); it had a changing room, showers, and a decent selection of treadmills, bikes, etc. and free weights. It was never crowded when I used the facility.The hotel has a tiny, shallow (4 feet at the deep end) pool, hot tub, steam sauna and dry sauna. The pool was crowded all weekend, even the hot tub was full of very young children (toddler to early elementary) splashing around w/ their parents. The pool area was not monitored well by the staff; dirty towels piled up in and around the hamper. On several occasions we had to dry off with the hand-sized towels from the attached gym because there were not clean towels in the pool area. By and large, the concierge staff was helpful and friendly, if their knowledge of the city was limited to the tourist spots. (Our query for directions to the Benedictine Monastery south of the loop (roughly 31st and Halsted), in the Bridgeport neighborhood, was met at first with a blank stare and then with an explanation that they don't know a lot about &quot;the suburbs&quot;. They suggested we buy a city map at the nearby Walgreens. We found directions online, during a visit to the Apple store.)The room was clean, and housekeeping honored our request to be &quot;green&quot; and keep our towels and sheets for our entire stay. The water was hot and water pressure fine. The toilet has a loud whooshy flush that might wake the dead.The Wyndham must do big business with their American Girl weekend package; the hotel lobby was full of AG bag toting parents with glazed looks, accompanied by 7-9 year old girls clutching America Girl dolls. (Note to parents of boys in the same age bracket: there is a LEGO store in a mall on Michigan Ave., I forget where precisely, but it's several blocks before Wabash.)	
Mar 22 2008 	Downtown Chicago	The Wyndham is one block off Michigan Ave if you're looking for shopping. Getting here was an easy drive, despite all the one-way streets in downtown Chicago. We found parking a small problem when we tried to unload our luggage, as there is not a drive through area off the street like we often find. However, the bellman and others working the street were helpful and anxious to get our bags out of the snow and into the hotel.Upon check-in at about 2:30 p.m. we were told no rooms were available with the 2 double beds we had requested. They were going to give us a room with a King and a hide-a-bed. Having done that already this trip, we opted to stand firm and wait until a room with 2 double beds became available. The person at the front desk was pleasant and figured out a way to make it happen. I over-heard the person next to me checking in though. She did not stand firm in her request and was given a room with a King and a hide-a-bed, which didn't make her happy.We strolled around downtown Chicago, enjoying all it has to offer, so the time went quickly. When I returned at 4 p.m. as requested, the room was ready and our bags were quickly delivered to the room by a very pleasant bell hop.The room is nice - comfortable bedding and soft towels. Most of the hooks holding the shower curtain were not hooked, so I fixed that while in the shower. We were also not given 2 soaps, so had to use the small one from the sink area for everyone to shower with. And there was no shampoo, only conditioner. All in all, no major problems, but just a lack of attention to detail. We had everything with us to get ready for the day, so I did not ask housekeeping to deliver more soap. The downtown location is great for general touring of Chicago. It's also just about 20 minutes to the airport. I've been to Chicago many times and would stay at the Wyndham again.	
Mar 5 2008 	Nice place in convenient location	The Wyndham is vey well located near Magnificient Mile and not far, even walking, from a lot of places of interest.Staying several days in 2 bedrooms we were updated to huge comfortable suites. But it would have been OK anyway for the internet price we had got.However the fan in the bedroom is a bit noisy, may be to hide traffic noises especially to the adjacent Northwestern hospital. On 17th floor traffic noise is not a problem...We dit not try the restaurants but there is a Corner Bakery, a Subway etc just at the door, and close other restaurants	
Mar 5 2008 	Great	Sorry for getting this review in a bit late.I stayed 3 nights in October as I was attending a conference at North Western University.I really didn't spend a lot of time in the room as I was either on conference, walking the &quot;Mile&quot; or oogling over what I wanted to buy in the Apple Store - love that place.I had 3 breakfasts there, but no lunches or dinners. The breakfast buffet was lovely - but it's pretty hard to screw up a breakfast buffet. I did not use the bar, the pool or the fitness facilities. I can tell you that the room was excellent, I loved the location and the service could not have been better - very helpful, polite and competent. The rate I got (from the University) was a steal - $189 per night. I have no idea what the regular rate is though. Hope this helps.	
Feb 25 2008 	The Best Hotel near the Mag Mile!	Our weekend was FANTASTIC! Myself, my sister and two friends went back to The Wyndham this past weekend for a &quot;Girls Getaway&quot;. This is our second year choosing this hotel for our winter vacation spot. Why do we keep going back? Well, besides the friendly accomidating staff that they have and the comfortable and clean rooms... it's their concierge staff! Russell is absolutely fabulous! Last year, when we arrived for our first trip he could NOT have been any more kind, funny, knowledgeable, helpful or obliging to us! Our weekend was top notch! It was mostly because of Russell. He helped us find a lovely restaurant, a place to have our spa treatments, and many other tips! This year's weekend was also out of this world! Russell and the rest of the concierge desk is the heart of the hotel and they are impeccable. They greet everyone and are sincerely concerned that you have the best, visit the best and attend to your every need.In my travels in the U.S. and abroad I have never met a concierge like Russell. I have for the past year sent many of my family and friends to thathotel telling them to consider no other and will continue my recommendations. Thank you for your time in reading this email.	
