	Great Hotel downtown	Very conveniet to downtow. The Hotel is quite, clean and confortable with a big lcd tv. The hotel park cost a little bit much that other solutions, but very convenient. For breakfast there is a Starbucks very close to the hotel.	
Nov 9 2008 	Nice Michigan Ave hotel	We were attending a conference @ the Hilton, and chose to stay at the Essex next door. The rooms were 1/2 the price of the Hilton, and we only had to step out the door, and cross the road to go into the convention.The rooms were very nice, clean and stylish. The bedding was soft, and each bed had individual reading lights. I'm a reader, and my roommate liked to go to bed early, so this was perfect.The pool area was nice, but the room and water were a little too cool for my taste. The workout room was very large with nice equipment.The staff were all friendly and accomodating. They certainly set the tone for a nice stay. Make sure you try the nachos in the bar!! They were recommended by Irene, and were a surprising treat! The chocolate fudge cake also did not disappoint. Al in all, I was very pleased and would certainly stay here again.	
Oct 31 2008 	So So	I wasn't overly impressed. The room wasn't the greatest in size and the view wasn't what I would have expected to pay for. The staff wasn't overly friendly either. I got a good nights sleep, and that may be all that matters. I would go back if the price was right, but won't be seeking it out.	
Oct 15 2008 	A Pleasant Overnight at the Essex	My daughter and I stayed overnight at the Essex for a trip to the American Girl Place. Our total bill, including valet parking, was about $160. For downtown Chicago, I would call this a very good value. The desk service was friendly and efficient. The room, recently refurbished, was clean and fresh. The bed was very, very comfy. Overall, the room was a little on the small side - I'd call it compact - the bathroom had a shower only and one of those teeny sinks. There was a flat screen TV but no pay-per-view. The pool was a real standout - a large indoor pool, glassed in, with plantings outside - on the fourth floor. Big, warm, clean pool. Nice-looking workout area adjacent. Sunny, with lots of deck chairs, a magazine rack, chess set, etc. Teeny towels, though!Only negative - the free shuttle never showed up and we had to make a mad dash for our &quot;tea&quot; appointment. Taxi fare to the AG place was less than $10 including tip.	
Oct 9 2008 	If you get it cheap its a nice bit of luxury.	stayed a few nights at this hotel over the period of a week. Very nice rooms bathrooms felt luxurious and rooms were very clean, beds were very comfortable. gym and pool on site was sufficiently equipped for a gentle workout. lobby area a little bit outdated.Valet parking was reasonable for a centre of town location in comparison to other areas of town.Overall very nice hotel and worth a stay.	
Oct 3 2008 	Don't waste your money	I have just returned from Chicago and stayed in this terrible hotel. When I received the booking and looked at the price, I thought that it would be a good hotel. On the contrary, this is one of the worst hotel I have ever stayed with. The bathroom is so small, that you can barely fit in it. I am a small size person and even I had trouble using bathroom, so I can imagine what will happen to the big people. There is no heat or airconditioning in the hotel. They just want to make you fool by turning on fans which blow the outside air. It was quite chilly (upper 40s) and room was freezing. When I called front desk, they said that heating is not ON yet and they can send me blankets, if I want. Obviously the issue was for the time when one is not in the bed. Next morning room cleaning service showed up at 8:30 in the morning. Never happened in any of the other places I have stayed in.Rooms are too noisy and you can hear the voice of television from adjacent room. Please do not waste your money on this creepy hotel.	
Sep 30 2008	Nice choice	Large room with very comfortable beds and good quality linen. We found staff very friendly. Food portions in linked 'cafe' were huge and freshly cooked. Great location for the waterside marinas and centre of town. Luggage could be left after check out in locked room for only 50c per item which was helpful. Lovely pool too.Chicago was great...we were passing through to catch the Amtrak to San Francisco...wish we had longer.	
Sep 27 2008 	Good Location	The Hotel had a good location opposite Grant Park and 10 mins walk to Millenium Park and the Magnificent Mile (Shopping Area), apart from that we thought the Hotel Staff could have been a bit more Helpful, and the Hotel Barman was a bit too interested in the Sport on TV than serving Customers, however the Room was Clean and Towels Changed Daily.	
Sep 14 2008 	A great location for all of Chicago's attractions	We stayed at the Essex Inn for four nights, and found it to be an excellent location to walk to most of Chicago's sites. The room was spacious and clean, and had a good view over Lake Michigan. There was a large flat screen TV in the room, as well as a radio alarm which could be connected to your ipod. There was a large roof-top covered pool, and friendly and helpful staff. There was a bar/restaurant on the ground floor, but we didn't use it. Overall really good value and a great location.	
Aug 30 2008 	Decent Hotel	Essex Inn is a great hotel with a decent room and nice family pool. It is right in front of grant park and downtown chicago (most of the sights are here) is about a one to two mile walk away. it is close to the magnificent mile, john hancock, navy pier and all the sights in this area. there is also a metro nearby for any ou of town trips you may want to make. the hotel is pretty good with a computerised but limited concierge and free internet in the business room only. (through an ethernet cable). the pool area was used alot by families.I would probably stay on the other end on michigan avenue next time but in general the hotel is pretty good and is good location wise, if you are prepared to walk a few miles in the day.	
Aug 25 2008 	Great Value	Stayed here two nights in August. This is a really nice hotel in a great location. Across the street from Grant Park, next door to the Hilton (which charges twice as much). The room was nice, good size, modern, clean, nice furniture. Attractive lobby. Wi fi in your room for $5.95 a day. Right on the bus line. I would highly recommend this hotel as a reasonably priced hotel option in Chicago. My daughter now lives in Chicago (in a small apartment) and I plan to stay here whenever I visit.	
Aug 25 2008 	Fantastic Hotel its a must stay!	The Chicago Essex inn was a fantastic hotel to stay in. We had a recently re-decorated room on the surrealist floor 6th. We both could not fault any part of the hotel, from the reservation staff to the waiter we had in the hotel restaurant. The staff made us feel welcome and helped us find our way around Chicago. Thanks must go to Chris on the Front desk who was very helpfull. I will definatley be staying there again.	
Aug 23 2008 	Great Deal at the Essex	We did a Chicago Bears Football/hotel package. Preseason game tickets, one night's staty at the hotel and hotel parking were included. This was really a great deal!The room was very clean, nicely updated, but it was very small. The bathroom in particular was teeny tiny. However, if like us, you just planned to sleep in the room, it was perfect for the price we paid for the package. We stayed Aug 21-22 and we didn't see any union picketers.We were able to walk to Soldier Field to the game using the path. We ate dinner at the hotel restaurant because we were short on time. The food was delicious. The surroundings were kind of dumpy and out dated. For breakfast we walked a few blocks down Michigan Avenue to Yolk and we had a fantastic breakfast. Yolk is a new trendy restaurant that had great food!	
Aug 20 2008	Better than expected	We were not sure what to expect as we had read some mixed reviews about the hotel, we were pleasantly surprised the rooms were of good quality the only issue we had was we had a young family next door and the children and parents held loud conversations from 6.30am in the morning and the walls were not soundproof.We used the do not disturb sign so we were not disturbed by the maids, one day although the maid came in the room and topped up the tea/coffee she did not make the bed but not really a big deal.Location was great, very good public transport links as well as the hotel shuttle which we did not use. We had breakfast in the hotel plus one evening meal all of which were good, the staff were also very friendly.	
Aug 12 2008 	Excellent hotel	We stayed at the Essex Inn in Chicago for a baseball series at U.S. Cellular Field. I loved everything about this hotel. We arrived later that evening and check in was smooth. The hotel was recently renovated and our floor was decorated in a contemporary art design. The bed was very comfortable and the down comforter was an added bonus. We had a flat screen TV in the bedroom and the sitting room, which was also nice. The refrigerator was large and we had no problems with it. The pool area was nice and there is an outside deck that is decorated beautifully with live plants and gives an awesome view of Chicago. Grant Park is right across the street and makes for a nice view. We were within 2 blocks of an El connection and within a few blocks of a free trolley stop. My only problem with the Essex Inn was how small the bathroom was. It was tiny and left little room to move in, but it was nice and decorated elegantly. The shower is very loud and the tub drained slowly, but we had no problems with it. We had a really good experience and if I ever return to Chicago, I will definately stay at the Essex Inn. It gives a great room for a great value (especially in Chicago).	
Aug 11 2008 	Very Disappointed	I booked a package room+sears tower tickets+1parking night. The room was nice, very clean and great view on the lake.However, we had several problems during our stay. First of all, the airline lost our luggage. Eventhough I left a note at the front desk, when they came to the hotel to delivery, the person at the front desk told them that we had checked out. So the luggage was sent back to the airport. We had to check out (for real) the next day, but the luggage shown up at 6pm. Hence, we have lost one entire day of our trip (we were supposed to drive out of the city this day) and we had to get upset to get the extra parking fee waived.Because we had limited clothing, we gave couples of items to the laundry service. I had to go downstairs twice to get my laundry. Each time they told me &quot;it's coming in 5min, I will drop it to your room&quot;. Tired of waiting, we went out. No laundry we we get back from diner. I went to the front desk the next morning, they delivery our laundry to another room!!! I must tell that everytime I talked to somebody, I mentionned our room number...Other than that, the bellmen were very helpful and gave us plenty of tips on the city. Also, the hotel has a complimetary shuttle that runs on Michigan avenue. It is very convenient as the hotel is located south of downtown.	
Jul 31 2008 	Great Room! Great Price! Stay Here!	This hotel was great. The room was very clean. The only issue I had was that the maid service starts knocking on doors at about 8AM!! She was my wake-up call, like clock work. So if you planned on sleeping in, make sure you have your do not disturb plackard on the door.I read one review about the sink being small. It was but seriously... how big of a sink do you REALLY need? You aren't bathing in it. It serves its purpose. Should not be a sticking point. The bed was confortable and the comforter was fluffy, and the new flat screen tv was an awesome touch.The elevator was a bit on the slow side, so during the height of the morning rush you may want to keep that in mind.The location was nice. you aren't very far from museums, and attractions. It was a $5-6 cab ride from the hotel to the Sheraton near the river if you need a reference.I would stay again in a heartbeat.	
Jul 29 2008 	Good hotel nice rooms	We stayed at the Essex Inn on 20th July for two nights having just arrived from the UK. The hotel is on Michigan Avenue on the opposite corner to the Hilton. Hotel pool was nice but extremely cold. We didn't eat in the hotel but had breakfast at Yolk ... a great place for breakfast and highly recommend it. Hackney's is a restaurant a couple of blocks away and was excellent american/mexican food...family friendly.The hotel has a courtesy bus which will run you down town to the shopping district. You wait for it in the lobby. We were first there waiting with some friends and gradually the lobby filled up. Some people, unbeknown to us, had gone outside the hotel so when the bus arrived... they all filled it up with no space left for others who had waited for about 45 mins! Hotel should be clearer about where the bus picks up from and what the queuing set up is or first come first served basis.We had prepaid for this hotel through Trailfinders in the UK but they still put a $75 7-day hold on our credit card which is now on it's 8th day and it is still on there. Had to email them to remove it.Be sure when you check out of American hotels that you get a hard copy of your bill. Three times now on this trip across America, hotels have overcharged our card and I have had to chase them to re-credit our card. One of the hotels was the Hilton!We walked from the Essex to downtown Chicago having missed the bus and actually it was a delight with beautiful architecture, parks... etc., Millenium Park is great and has a water fountain where the kids can put on their swimming gear and run about in the water jets which come out of animated towers. American Girl Store is a must for any young girl and Hersheys Chocolate was good too.	
Jul 25 2008 	very good deal	got a broadway package deal with hotel and tickets for wicked. beautiful location on michigan ave opposite Grant Park, right on the lake. the room was nice and the pool area was very nice.	
Jul 18 2008 	The Lobby Bar is just like Cheers....Everyone knows your name!	First things first....Say hi to Ilene at the bar in the lobby! She will remember your name for years to come. I swear, this is the friendliest place I've ever been to. Lots of repeat guests. That's a good sign, right?My husband and I stayed there in March over St. Patrick's Day. I was there for bussiness and my hubby tagged along. The hotel was decent. We stayed in one of the older rooms but they were in the middle of remodeling and were told that the newer rooms were fantastic. Regardless, the rooms were clean and the beds comfy. The location of the hotel wasn't bad either. We walked everywhere, but we're pretty active and like the walk. When the weather got bad (snow!!!), we took a cab.Make sure to take one night to eat at Geja's, a fondue restaurant. It was a great experience! Later on head over to Kingston Mines. Best blues bar ever! The performers were top notch. We truly had a great first visit to Chicago. Hopefully the first of many.	
Jul 9 2008 	Good hotel	Stayed here on recommendation of Trailfinders. They were right - good value, staff helpful and free shuttles downtown and to museums. Very convenient for Grant Park. Easy to get shuttles to/from airport.	
Jun 22 2008 	Great hotel excellent location	My boyfriend and I really enjoyed our stay. We were here for 4 nights (8th - 12th) and the hotel is in a great location for exploring Chicago. We walked to the museums and Navy Pier. Grant Park was wonderful. The hotel staff were really friendly from the housekeeping staff, the front desk staff and the bellhops - particularly helpful. The view from the pool area across Grant Park to Lake Michigan were fabulous. The rooms were clean, comfortable and serviced every day. The Savoy Grill attached to the hotel was good for breakfast and the bar staff really friendly.	
Jun 18 2008 	good hotel top class	having just stayed here it is an excellent hotel for chicago offers shuttle bus to all places on the navy pier and michigan avenue only thing bus starts at 10 am and finishes at 6 pm also you can get the free schuttle from may to sep just near hotel hotel itself very clean with rooms completed each day room size good hotel staff very helpfull	
Jun 7 2008 	I Loved It	The Essex is a great hotel. My husband, me , and two of our friends decided to go to Chicago and used Priceline to do so. We booked a hotel called Econo Lodge. From the description on the internet it seemed fine,but when we got there it was under construction and was nasty. We called around for hours looking for another hotel when the hotel was not willing to work with us and refund our money. Thats when we finally found the Essex Inn. They were more than willing to help us and put us up for the remainder of our stay. We loved it there. The rooms were perfect.If we ever go back to Chicagowe will for sure stay at the Essex Inn.	
Jun 1 2008	A lot better than I expected	This was my first hotel out of six I stayed in during my US holiday tour. I read some of the reviews on this site before I left and was not looking forward to the stay. I stayed in the hotel for two nights. My room was on the 12th floor, overlooking the light terracotta painted building to the left of the hotel (when you are looking at the hotel head on). I loved the flat panel TV and the beds were nice and comfortable without being too firm. The bathroom was of a good size with plenty of room to put your toiletries and to dry yourself in. Plus there was the sink vanity unit outside the bathroom, so one can use the shower whilst the other dries their hair etc.The only downer was the outdated decor in the lobby area. I think getting rid of the mid 1980s carpet and the leather and chrome furniture is a must. From seeing the older photos, I can see the rooms have been refurbished and chances are the lobby will be done at a later date.	
May 20 2008 	Undergoing renovation when I was there	This is a decent hotel to stay at if you're working on a budget but want to avoid any of the Comfort Inn et. al. chains. When we stayed there in Mar. 08, the foyer reception area was undergoing renovations. It's quite small hotel (if I remember correctly, there were 12 floors or so). The rooms are much more updated and cozy than the hallways (which are decorated in a dated art deco'ish style) would indicate. The front desk and parking service was slightly incompetent. Upon arriving, the receptionist ask if we wanted two beds or one. When I said, &quot;two beds,&quot; she then replied, &quot;Oh sorry, we don't have any rooms with two beds.&quot; Then there were a couple of incidents with a parking attendant (who was still being trained I think) who had misplaced our parking stub, and neglected to record which parking space/building our car was in, so that his associate had to comb through both to find it. Other than those unpleasantries, however, I would still by large recommend it to young travellers, looking for a convenient location (great if you didn't bring a car).	
May 12 2008	Much better than expected!	I booked a room for a Saturday night stay in Chicago, and was pleasantly surprised when I arrived to our room. We were on the ninth floor, and the room was very recently renovated. Nice comfortable bed, large 32&quot; flat panel TV, and granite and tile in the bathroom.I was able to get a very good rate for this room, and this location is convenient to Grant Park, the museums, aquarium, etc. and is only a 15 minute walk from the much more expensive Magnificent Mile area.The only cons on the place were that the elevators were a little slow in coming once you hit the button, and the sink in the bathroom was very small.Parking - I didn't park at the garage behind the hotel, but there are multiple surface lots within a block of the hotel. You can also park on the street if you can find a spot, metered parking until 9 PM on Saturdays, then FREE all day Sunday!Bottom line, if you are looking for a comfortable hotel at a very reasonable price, this hotel fits the bill. I would stay here again in a second.	
May 11 2008 	We loved the view!	We stayed in a king suite. Lovely room with a spectacular view! The corner living room was comfortable and again, that fab view! Tinsy, tiny bathroom, but it functioned well.The downside? Foam rubber pillows. We asked about down pillows and were told by the bellboy that he would check, but he didn't check. We also asked for a wake-up call on our last morning for 4:20 a.m. to catch an early morning plane. Fortunately I had set the alarm because the wake-up call never happened.	
Apr 10 2008 	Fantastic value	Arriving very late we got a warm welcome and an upgrade to a suite. The beds were comfortable and whilst certain elements of the hotel are dated, it was clean and had good facilities. The swimming pool was good - a good temperature despite the minus 15 degrees outside and there was a sauna too.The location isn't bad as it is right next door to the hilton which means taxis are very easy to get.We had lunch at the hotel's restaurant and this was very reasonable.Overall, a very good value stay, with well appointed, comfortable and clean rooms.	
Apr 7 2008	I'd look elsewhere	Although it was not imposed, the $50 fee to leave early is ridiculous. My plane arrived late and it was only when I arrived at 11pm that they disclosed this. My rate was going to nearly triple (which i did know in advance). It seems like they cater to tour groups.Noise from the hallway was disturbing, and housekeeping knocked at 8:20am.The location is near the Loop but south of most of the city's offerings. Not fatal, but not ideal. There isn't much in the way of restaurants, etc. nearby, though there are some attractions. There is a fee for wireless ($6 or 7). The sink was miniscule -- too small to refill a water bottle. Water pressure was weak. The tub was chipped and had a smudge -- not sure what caused that.The shuttle only runs 1/hour.I fared better at the Hampton Inn -- paid a bit more, but it was worth it.	
Feb 29 2008	Love The Essex Inn!!!!	Our youth group (from Kentucky) drives to Chicago every year work at an area shelter. We look forward to staying at the Essex. It is a little expensive. The weekends are quite a bit extra and since the kids have to raise money for the trip and can't afford the weekend rate, we leave on Friday. We have been staying there for several years. The kids love the pool and the lifeguard is a plus. The rooms are small, but are very clean. The staff has been nothing but GREAT to our group. That's not always easy when there are several kids involved. We had one gentleman go out of his way to help one of our youth. Our group won't forget that. It makes you appreciate the staff so much. I would recommend the Essex to anyone.	
Feb 21 2008 	Don't be fooled!	The price of $69 seemed like a steal until wrong charges showed up on charge card after check-out. Front office manager did not return multiple messages and general manager always &quot;unavailable.&quot; Room was strictly Motel 6 and not what I was promised, despite 2 calls directly to front desk before check-in. Staff talked down to us and treated us like we couldn't even read (we have PhDs). Frankly, I am surprised they are still in business with such classic intimidation and bait and switch tactics. Not worth the risk with other quality lodging in the area.	
Jan 20 2008 	The Ice Box	We (my family of 4 and three grandparents) booked three rooms at the Essex based on a Sun Times article about places to go with kids. We arrived early, so the front desk said they would block off an adjoining suite for us. We returned later only to learn that there were not any adjoining suites available, so clearly they had given the suite to someone else (though they didn't admit this, and went through many failed excuses as to why there were not any adjoining suites available). We were stuck with a corner suite that wasn't really a suite, because the room we wanted to use for gathering had another full bed; there wasn't a couch or table. The weather was sub-zero, and one room in the suite was unusable because of the cold. Luckily we had the three beds, as there was plenty of bedding to block out the cold draft that was pouring into the other room in the suite. We ran into a couple who stayed in our suite the prior night, and they said they were given a new room after a bottle of water left near the window froze.The pool area we hoped to enjoy with the kids was too cold (not the water, but the room itself). In the morning, there wasn't any hot water. When I left, we complained, and without any apologies or much of an acknowledgment, were given a $40.00 discount, which was hardly adequate, as we had to move my grandparents and kids around to avoid the ice box room. Now I understand that old hotels can have problems in severe whether, but the lack or concern from management is why I will not be returning. I should note that we enjoyed all of the staff at the Essex other than the two managers, the one who lied about giving our adjoining suite away and the one that gave us the $40.00 discount on our 229$ suite. It is amazing that such upbeat friendly staff (the bell hop/concierge, cleaning staff, other desk workers) could work for managers with such poor customer service skills.	
Jan 8 2008 	Overall good experience	The Essex Inn is not the Hilton (teasingly located next door), but it's more than adequate. I stayed for 4 nights in early January. The room was a little shabby, but clean, and the heat worked like a charm. You could tell that the place was once stylish, and actually, they're starting to renovate the whole hotel, from the top down. Also, the amenities were great: free, empty, and well-stocked gym, helpful staff, in-house restaurant, and spectacular location. You're right in the Loop, which at this price point is a rarity. I used Yelp to find local restaurants and cafes before I went, and was amazed by the food. Cons: (1) bathroom facilities were clearly old, and (2) wireless internet signal strength depended on where I was sitting and cost $6/day.	
Jan 2 2008 	Very disappointed	I am very disappointed about this hotel. My boyfriend and I stayed here on December 29th, 2007 and it was discusting. The rooms were not as clean as what we would have liked. We were not told about any of the amenities. The desk clerks were very unhelpful and rude. The sounds from out side were like we were sleeping right on the street. Istress not to stay here.	
Jan 1 2008	"Atrocious"	I'm not sure who's writing the previous reviews, but even if you’ve just experienced motels, I am sure you would find this &quot;inn&quot; horrible. Location I guess is everything and it the only thing going for this hotel. I paid an outrageous amount for what appears to be an old half-way hotel with a new coat of paint. The picture of the pool that is shown on the website must have been taken when they first open (in 1800's). My shower provided warmer water that the pool. The rooms were small and filthy. The carpet had so many stains it was had to differentiate what was carpet and which were stains. This hotel sinks!	
Dec 18 2007 	Superb Value for Money	Just returned from a 5 night stay at Chicago's Essex Inn Hotel, was a bit wary having read some reviews but I'm not sure who submitted these as I couldn't fault the hotel for anything. Rooms were exactly as described and as shown on their website.Beds were clean and extremely comfortable. Would absolutely recommend this hotel to anyone looking for a value for money hotel that really fits the bill.Hotel restaurant was good value and good food. Rooms cleaned to a high standard each day.	
Dec 17 2007 	Great location	This hotel is in a great location ,right on Grant Park. The reception/foyer area is small but tidy. The staff helpful enough. The room was small but clean, in fact the designer of the room is to congratulated. How he got a shower with bath, toilet and sink in such a small are is amazing!!!!!The hotel does however need a complete refurb as it is very tired BUT it would not be as well priced then.The bar has a good atmosphere and the restaurant is OK but there are better and cheaper within a 20 minute walk. The waiting staff in the evening were fine but I think they scoured Chicago to find the Rudest, Most Miserable, Most unhelpful people in the city to set you up fo the day on the morning shift.Overall it is good value but if the hotel itself is important to you look elsewher.If you fly out of terminal 5 at O'Hare airport you need to be aware that there is NO food available once you have gone through security.	
Dec 14 2007 	NiceClean Budget Hotel	I was pleasantly surprised when my girlfriends and I booked this hotel for a weekend in Chicago. It is south of the Chicago Institute of Art, across the street from Grant Park. The area has become nicer (more restaurants and activity) since Millenium Park opened. You still are a long way from shopping at Michigan Ave, but they have a shuttle that takes you uptown to the Hancock building every hour and returns on the half hour. You can always catch the bus ($2.00) or take a cab. My friend said they also have a shuttle that goes to the different museums,aquarium, planetarium area and it's really close to Soldier Field for the football games. The room was adequate with nice beds and linens, decor is nothing special ,but it is clean and the staff is very nice. Parking in their garage is $30.00/per day. For the price you can't beat it if you are not looking for a lot of ambiance. It has a large pool with a lifeguard on duty and fitness center,which we didn't use but took a look at. They were also offering free gift wrapping for Christmas. They have a good and inexpensive restaurant,by Chicago prices, where we ate breakfast one morning.	
Dec 8 2007	Reservation problem	I booked my room on July 7. When we arrived at 4:00 on November 6 we were told that the room wasn't ready. We returned an hour later and were told that there were no more non-smoking rooms available. I had to get nasty and insist on a room before they &quot;found&quot; one. Instead of the 2 double beds I had reserved we had a king and a pull-out couch--not what I had reserved! There was no information in the room about the restaurant, pool hours, area attractions, etc. On the positive side, we enjoyed the restaurant. The food was good and very reasonably priced. Good service, too. Nice pool.	
Dec 8 2007 	Good location	Nothing special but an excellent base from which to do all the sights and shopping! Hotel provides free shuttle to main shopping areas and some of the sights. Stayed for 3 nights with a standard room for 4 people, 2 double beds, only good if you are small people which did us just fine. overall great hotel for a few nights!	
Dec 4 2007 	Great value clean and comfortable	We went to Chicago for a play and shopping. The Essex was clean and comfortable. They have a shuttle that ran on the hour to take you to the Magnificent Mile (it only holds 14 people, so make sure you are there a little ahead of it's departure time to make sure you get a seat). It is an easy walk (about 1 mile) to the theater district. Front desk staff was courteous and helpful. We booked a &quot;shopping package&quot; with the hotel that included all taxes AND valet parking - great deal. We would definitely stay there again.	
Nov 30 2007 	Nice enough but gettin' old!	Stayed here for three nights at the begining of Nov for a long weekend. Lobby Ok but not a great design as check-in desk in 'back' corridor, thus 3 people created a big queue! Staff were friendly and helpful though.We had been upgraded to a king suite so room spacious with a good view of the park. The decor and the fixtures are all way past their best (was brown ever at its best?). Couple of bulbs were out in the lamps, one of the TV remotes was cracked and broken and the microwave in the kitchen area seemed to be an early 80's model.Also this room had the worlds smallest bathroom (see pictures) with hardly enough room to turn around in!Just thought the whole room looked and felt a bit shabby.Location was pretty good with a 10 min walk to shops etc and apparently has free shuttle bus downtown which we didn't use. We did use the free internet, always useful.Overall, think I would have been more annoyed if I had paid full fare for the suite, instead of just a bit disappointed.	
Nov 28 2007 	Can not complain good value for money	We had this hotel as the start of 3 weeks touring the USA. I upgraded the room to overlook lake michigin. The staff were really friendly and the room was clean and quiet. When we arrived at the hotel the staff advised us on what to see and could not do enough to accomodate us. When we told them what time our flight was out of O'hare they advised us and helped us out with our travel arragements to ensure we made it on time.Although it is not quite in the centre of chicago it is only 10 minutes to walk in and it always felt really safe around the hotel. I will definatly stay there again.	
Nov 18 2007	Better Than Expected	Parking was expensive ($28/day). The lobby area appeared to be somewhat dated, but nevertheless it was clean. The room was clean, new bedding, nice towels. The breakfast in the Savoy Bar &amp; Grill was around $10, but it was plenty of food. The pool area is huge, plus a staffed lifeguard. I've seen other reviews that it's not in a prime downtown location..People, it's still downtown, and a few blocks away..Walk it! A good way of soaking up the Chicago experience is by walking it!The Valets were very welcoming &amp; hilarious. One of the men remembered me from last year, when they had to retrieve my coat from my parked car..(and a year later, he was still giving me grief about it, in a joking way).....Unbelievable that he remembered me from almost a year ago.I'd be willing to stay here again. Sure, it's not in the prime area, but it's clean, adequate &amp; staffed well.	
Nov 16 2007 	Exactly what we needed for a one night stay in Chicago.	We stayed at the Chicago Essex Inn on November 13 (one night only). I was panicking 'cause we only needed one night and couldn't find ANYTHING a couple of days prior to our trip. I found a room available through GTAhotels.com and fearing the worst but hoping for the best I booked the room through them. It turned out to be legit (though it took them a few minutes to find our reservation... they had to call England or something) but we got the room at a good price-- all together for $145 CDN. Most hotels asked for a 3 or 4 minimum stay. The location is excellent: right on Michigan Avenue, close to everything, in The Loop area, which is excellent for transportation (subways, buses, cabs, you name it), but you can also walk to all the main streets and do some shopping. The rooms are spacious and clean... like I said, very nice for the price. We went to the pool, which was huge, nice and warm. The sauna was okay too. On a Tuesday, there was nobody else there. There was also a fitness room. TV had plenty of channels. The pillows weren't the greatest, but that's mostly because we're so used to our very own, comfortable bed and pillows. The only complain I would have is that the tub did fill up when I showered, and the water stayed there. The bathroom looked old, and yes, the tub was chipped, but it was clean and that was good enough. Oh, and we were close to the elevator, so it was quite noisy throughout the night. Other than that, the people at the front were very nice, the hotel was nice and I don't have any complaints, except for the clogged up tub.	
Nov 9 2007	Excellent stay.	Spent 2 days in Essex Inn. Location is very good, 10 mins walk from the very center of Chicago. Rooms are fairly large and perfectoly clean. The hotel has a pool and a small fitness room. Free internet connection also.Had a great stay and, for the price paid, seems to me a good deal.	
Nov 3 2007 	Another Fantastic Stay!!	We stayed at the Essex 10/27-28 for our 27th Wedding Anniversary for one of the Chicago Bears' game package. This was our 2nd year in a row doing this as our anniversay gift to each other. When we checked in we found they had given us a suite!! We were amazed by the fabulous room with views across the Lake and to the right we could see the museums &amp; Soldier Field. Every person was warm &amp; friendly to us during our stay. The room was spotless. We also take the free shuttle downtown - and the driver is so wonderful for advice on what to see &amp; where to eat. He even dropped us off right outside of our dinner spot. This is a wonderful place to stay and we would highly recommend this to anyone!! We love the Essex Inn!	
Oct 29 2007 	Great Location Rooms Need Some Work	Location could not have been better for my needs, very short cab ride to anywhere I needed to go. Parking of $35 a day seemed to be a bit excessive but what are you going to do. Person who parked the car and checked us in was very courteous and nice, no problems with the staff at all. The room on the other hand needed some work (see photos), tub filled as you showered, by the time you were down you were ankle deep in water, porcelain on the tub was badly chipped and the tub should be replaced. The pub that is off the lobby was very lively every time I when in, bar staff was very friendly.	
Oct 28 2007	Mediocre accommodations on Michigan Ave	My priorities for our stay in Chicago were for the hotel to be downtown, as inexpensive as possible while still being clean. The Essex pretty much matched these expectations.We booked our hotel through a travel agent who used a 3rd party hotel wholesale company. We got a great weekend rate of $150/night including tax, which is about $129/night before taxes. Parking would have been an additional $30/night, but we parked in a public lot around the corner from the hotel for $12/night. Also, parking at some meters on the street is free after 9pm on Saturdays and all day Sunday.Since we booked through the wholesale company, it was not possible to confirm a nonsmoking room (as a former travel agent, I know this is common practice). And since we checked in at 8pm on a Friday night, the hotel was fully booked and there were only smoking rooms left. The room was very smoky smelling, as was the entire floor as soon as the elevator doors opened. The desk staff was gracious in finding us a different (though still smoking) room for Friday night and then moving us to a non smoking room for Saturday night. We had a room with 2 queen beds, which are really 2 full-sized beds. My husband and I sleep in a queen bed at home, but slept in separate beds at the Essex because there's no way we would have been comfortable in one bed. But the sheets were clean and the beds were comfy. The bathroom was clean, but not exactly gleaming, due to its need for updating and refurbishing. We did not use the pool or sauna, but only because we were out and about much of the time.Overall, this is a decent, no-frills hotel if you don't want to break the bank to be in downtown Chicago. The desk staff was courteous and the bellman was very friendly and helpful in directing us to public transportation.We spent much of our time at the funky bars and restaurants in the Lincoln Park area, which is probably where I would stay on future trips. But it was nice to be close to the impressive Grant park and the excitement and bustle of Michigan Ave. Also a good location to explore the museums and Navy Pier.	
Oct 19 2007 	Fantastic value	We stayed at this hotel for 1 night on our trip across the USA. The location is great with the sightseer bus stop right at the front door. The room was spotless and very spacious. The staff were more than helpful especially the porters who helped us to organise our sightseeing tour. This is one of the best value for money hotels we have stayed in on our travels across the USA.	
Oct 7 2007 	I don't recomend this hotel	We stayed for two nights at the Essex Inn at the end of our two week Route 66 trip. This was by far the worst hotel we have stayed in, in 5 visits to the US.The room was very small and noisey being next to the lift, drinks machine &amp; air con units on the roof just below us. When asked to be moved they said the hotel was full.There was no hotel information or area information in the room as it was 'being re-written'.I found the staff off hand, someof them in the one restaraunt almost rude.The not very clean bathroom had a small shower and no bathtub.I do not consider this a three star hotel and would not recommend it to anyone!	
