	hotel and a lot of history	hilton downtown, it has a lot of history, and a few film have been made here, when it was build it was the largest hotel in the world ,it was called the stevens.	
Apr 9 2009 	So Many Ups and So Many Downs!	This is a beautiful, historic, legend of a hotel that has all the makings of a really grand place to stay. However, it simply keeps getting in its own way and making what can only be called &quot;Dumb&quot; customer service mistakes that makes it feel cheaper and more money-grubbing than it should.On the plus side:-FANTASTIC health club facility!! Nice lap pool with lane lines, great Precor equipment, well-appointed locker room, running track and sun deck give the feel of a very high-caliber facility.-Many regular rooms have TWO bathrooms!! What a great touch for families with kids, like mine.-Security stationed at elevators, beautiful entrance lobby and classy lobby bar give the feeling of security in a sophisticated setting.-Across the street from Grant Park, and well-situated for a walk to the lakefront, Magnificent Mile, and many of Chicago's attractions that are easily reachable in good weather within a 15-20 minute stroll.-Very nice architecture that's been well-preserved and gives ambience of class and importance to facility.With all this being said, you'd think &quot;wow, what a great place to stay.&quot; But hold on, there's more to report:-Air conditioning simply DOES NOT WORK! Checked in, and room was 74 degrees. After turning down the thermostat all the way and leaving for 6 hours, came back to find room at 77 degrees. Wound up giving up and simply sleeping on top of the covers sweating!-Early check-in fee of $25 dollars!! I'm a HHonors Gold Member, and couldn't believe my ears when I was told this new fee has begun. After complaining I got the fee reversed, but HOW MANY people have just shrugged their shoulders and gotten ripped off?-Was told by front desk that a voucher for free continental breakfast would be slipped under my door for the next morning. Guess what? It never came.-Parking fee of $43 per night!!! I decided to shop around, and just behind the hotel is an indoor heated garage that's $24 per night, and requires only an extra 75 yards of walking. Lord, how this would add up over a 3 or 4 night stay!-If you arrive early and can't check into your room, the kind folks at the Hilton Chicago will courteously store your bags,..........at a fee of $2 per bag!!! Simply stunning!!!-Hotel looks for any possible way to add to your bill. High internet charges, a separate fee if you wish to inquire about a late check-out, $3 cokes in the machine, $22 for eggs, bacon, and orange juice at breakfast once tax and tip are added in,...you get the idea.A great hotel is one that may charge a high nightly rate, but then doesn't badger you for every little thing (Four Seasons learned this lesson long ago!) They make you feel special, not like a piggy bank to be shaken. Although the Hilton Chicago has hosted Queen Elizabeth, Charles Lindbergh, and a slew of US presidents, it has a LOT to learn about making people feel like more than a slot machine to be exploited!	
Apr 8 2009 	Nice but spendy	The staff were friendly and helpful. The location was great for walking downtown. I did not like having to pay extra ($18 a day) to use the gym.	
Mar 29 2009 	Be Sure To Get Your Reservation In Writing	This is a typical convention hotel - meaning average service and often indifferent employees - and I had to be there for 4 nights during a national convention. My real problem was caused by a disagreement over the price of the room. Even though I had an email from Hilton indicating the price - AND - even though I called to confirm it, I was shocked to find that I was charged at a higher rate when I looked at the bill that was under the door my last morning. Even though presenting the copy of the email to the front desk manager, I was told that the rate was not correct for the type of room I had. And I was told that they did not know the person I had spoken with on the phone to confirm the reservation. the manager's suggestion - ask for a fax to be sent. Truly amazing -- in this day and age when emails are honored, I was told to get an actual fax from the Hilton reservations staff. As a Hilton Gold traveler, I was disappointed in their unwillingness to honor the lower rate. But given the fact that they were full, had a waiting list, and are primarily a convention hotel probably means that they can do what they want to do.Service was quite average, room service was average, and the choice in their single (yes only one ) restaurant was the worst I have seen.If you are planning to stay in the Loop or in downtown, there are many, manyother choices that are far superior to this Hilton.	
Mar 24 2009 	fabulous hotel	From the time we arrived, to the time we left, we felt as if we were being treated as royalty. Plan on a slow check in and paying mucho dollars for food, but it was all worth it. The beds are the most comfortable I have ever slept in. The staff made minor problems disappear. We were attending an event in the Grand Ballroom which couldn't have been run more smoothly and the wait staff was at our every beck and call. Plan on spending lots of $$$ for the parking too, but it is in the City of Chicago! Breakfast the next morning was really slow but the food was good.	
Mar 22 2009 	Great location	We stayed here for the AORN conference. They had great shuttle service to the McCormick Center. The room was nice, beds were small though. I think they were fulls, not even queen. The room had two full bathrooms, that was pretty neat. No view from the room, you looked across to other rooms. There was so weird leak in the room above us, could hear water dripping on the bathroom ceiling. We were afraid to call the hotel about it as we didn't want to be forced to change rooms, we didn't think they even had any empty rooms. The snacks and beverages for the executive level guests were limited but better than nothing. I stayed here once years ago for the Chicago Marathon. Nothing much has changed. The lobby is still just as impressive with its piano player in the evenings creating a great vibe. The staff was still friendly. We had lunch at the restaurant across from the check in desk. Sandwiches were good, about $40 for lunch for two. We were glad we didn't have to park a car here, I saw on the web it was like $60 a night!	
Feb 19 2009 	Great Location	Old convention hotel with a good location across the street from Grant Park. Rooms and common areas are well kept, clean. Staff helpful, directed us to a new favorite restaurant, Star of Siam. If you plan to shop on Michigan Ave, easy walk in good weather, or a quick $5cab ride to Water Tower. When staying in Chicago, we prefer several other hotels--- there are many to choose, but at a low rate (paid $129) this is a good choice. Also check Chicago Omni for specials-- all suites, and they run parking inclusive specials for $200/night. That's a deal. At this Hilton, ask for a room facing the lake--- views are great!	
Feb 17 2009 	Beware the extra charges!	Stayed here as part of a large conference. The concierge gave me an attitude when I asked for &quot;reasonably priced food&quot; nearby (which I found later without his help), and everything within the hotel walls was either an extra charge or overpriced. $15/day for internet, high extra charge for use of the fitness center, business center, or any other amenities. (Don't expect to check your email for free just because you're a paying guest.) The guest rooms were clean enough but I got the sense that they couldn't handle the amount of people they had booked for the conference, and elevators were nearly impossible to get at peak conference times - 10 or 15 minute waits were common. A package was delivered for me and although I was listed on the room the hotel left a &quot;text message&quot; for my roommate only and then required her to come down to the front desk for the package, which they then would not release to her because she did not have my ID. Double rooms had two bathrooms, but that was the only saving grace - we had a view of the parking garage wall and no light all day. I have stayed in much nicer hotels for less, and would not stay here again.	
Feb 2 2009 	Not what I expected...in a bad way	My single king room was tiny. The walls in the room were paper thin. You could hear full conversations and luggage rolling in the hallway, and I don't just mean muffled noise, I mean crystal clear speech as if no walls even existed! I awoke several times during the night and morning due to this and I also woke up everytime someone in the adjacent room flushed their toilet. I do not consider my hearing to be great nor am I a very light sleeper, and I have never had an experience like that at any other hotel. Also, the old television in the room did not work and I am not a tech dummy. I booked at this hotel because it had a pool, but the early-closing pool was small and the hot tubs weren't great either...the locker room was nice though! The property is pretty nice on the outside and in the lobby, but due to the sub-par quality of the room, I do not think that this hotel should be classified as a 4-star hotel. Overall, I was very disappointed with my room and I do not think it was worth even the heavily discounted price I paid.	
Jan 26 2009 	Watch Out for Cancellation Fees	Echoing other reviews, I have to emphasize: Don't book at this hotel unless you are absolutely certain of your stay. I signed up under a draconian 55-day cancellation policy that left me aghast when I tried to cancel 1 room out of the 2 that I booked. Even though I was still staying at the hotel, fewer people in my group were attending, but the hotel was not sympathetic. They will charge you if they have the right. To me, this says they care more about their bottom line than creating a good experience for their customers.	
Jan 19 2009 	Beautiful Hotel that Nickels and Dimes You to Death	We stayed at the hotel January 16-17 for the Cubs Convention. The hotel is beautiful, and for the 20,000+ crazed Cubs fans running around this weekend, they manage to keep it pretty spotless. Other than the view we've had some years (view of another wing of the hotel, or of a train track), we've had no compaints about the rooms. We have stayed here every year for fifteen years, and while service has been exemplary, as others said, it's &quot;Tip, please&quot; every time you turn around.January, 2008 we also stayed at the hotel. The chlorine concentration in the pool was so high that my three children had full-body rashes, and refused to get in the pool on the second day. (And for a 12-yr old and two 9-yr olds to REFUSE to go in the water is highly unusual!) I talked with other parents whose children has the same problem. We have been to several water parks whose pools are also well-chlorinated, and never had a reaction like this. I let management know during our stay, and then followed up with a phone call and internet complaint once we returned home. They explained that there *might* have been a problem with the chlorinator, but they offered NO compensation, or even an apology letter. Rather disappointing for someone who holds one of their Silver Hilton Honors Member cards.This year, just my husband and I stayed, not bringing the kids. Our room this year was $312 with tax and charges. The first year I stayed here, it was about $175 -- prices have gone up considerably. But the $8 bottle of water, and the $16.95/day charge for internet access are over the top (we chose to decline both). The Pavilion restaurant offers a buffet only during the convention, at $16-20/person. With a family of five, I don't relish spending almost a $100 on each meal. Buckinghams, the steak restaurant, apparently closed down recently, as it still shows on all of their in-hotel literature. Kitty O'Shea's, a pseudo-Irish pub, is a nice place to eat, with good prices. You can get a good burger there for about $9 if I remember correctly. During the convention, the hotel also offers some breakfast items at the bar -- you could get a bagel for $5, or orange juice for $8. Get the picture? I could purchase TWO GALLONS of orange juice for what they charge for a 12-oz bottle. That's not markup - that's flat-out robbery.Overall, the Hilton, while beautiful, needs a reality check for 2009. You're overpriced to start with, and then you overcharge for everything else. In this economy, you would do well to rethink your strategy. I would NOT stay here on a personal visit - I'd move up Michigan Avenue to something else. Next year I may stay at the Essex next door. Someone mentioned they were there for $90/night, and it was great. That would be a $200 savings each night... pretty substantial.	
Jan 16 2009 	Not a Place for Business Travelers	Internet access charges are extremely high, business center is below average for a Hilton, and watch out for early cancellation fees. I was traveling on business, had to make a change as bussiness travelers do at times, and was still charged my final night stay ($250+) because of a 3-day cancellation policy that was not well noted.	
Jan 13 2009 	First Class Hotel	The Hilton Chicago is elegant and well put together. I had no complaints about the service, my room was perfect, and the hotel itself is just a beautiful place. The location is pretty good- a quick cab away from shopping and nightlife, but not a ton right there. Internet was not free- always a dissapointment for me, but this is a higher end hotel.	
Jan 12 2009 	Would stay again in a heartbeat!	I stayed here for a work conference, booked by my company. There was some confusion with the reservation but the front desk was extremely diligent in resolving the issue and I was in my room by the same afternoon. They were very hospitable and the hotel is very grand in design (which I like!). It is in a FABulous location, right across the street from the beautiful Grant Park, and there is a Starbucks inside the hotel which has these enormous windows that face Michigan Ave and the park. The best thing in the morning was grabbing a latte and a magazine, sitting down at a small table facing Grant Park and people watching! The rooms are a bit small but very neat and tidy. Crabtree and Evelyn La Source bath products in the room! Plenty of dining options in the hotel if you don't want to battle the Chicago winds! Overall, an absolutely wonderful experience.	
Jan 11 2009	pleasant experience	stayed in the towers, rooms were ok except for the view (there are also ones with great view, but this was assigned to us; be sure to ask for the one with the lake view)the complimentary food &amp; drinks were impressivedownstairs in the lobby, there was a chic bar, where you wouldn't hesitate to invite your guests for drinks	
Jan 3 2009 	Clean...but LOTS of hidden charges and things kept breaking!	I've stayed at several Hiltons in the past and always been pleased but that is NOT the case with the Chicago Hilton! The room was clean but that was about it. The television is circa 1982, and the remote in our room didn't have a battery, but that was probably because the back was missing. I called and did quickly receive a new one. I tried to connect to their wireless and it worked just long enough to charge me the fee...twice! I had to constantly call technical support (I'm a communications officer) and get them to fix their network issues. I did receive the military rate which made the rate acceptable, but all of the hidden charges, $40 A NIGHT for parking, $19 for continental CONTINENTAL breakfast, I mean 1 pastry, 1 juice, 1 coffee..ARE YOU SERIOUS?! If you want to use the gym, that will be $18 a day, like I work out more than once a day, Internet, $16.95 a day, and as I said it's completely unreliable..I should get paid for the time I had to spend on hold with technical support...luckily I had the $7.00 bottle of water to keep me quenched while I was on the phone. Everywhere you turn there is an extra charge, I guess I should have realized what the theme of the hotel was going to be when I checked in and was scolded for being 15 minutes early which starting this year they will be charging $25 dollars if you arrive before 3pm. Uh ok, I'll sit in your lobby and be constantly hounded by your overly zealous staff for tips and just wait the 15 minutes. Like I said..the rooms were clean, but I'd NEVER stay here again and honestly they've put a very bad taste in my mouth about all the hiltons....bad taste...now that is priceless.	
Dec 14 2008 	Nice but you're constantly reminded you're revenue not a guest	We stayed at the Hilton in December to take advantage of seeing the Christmas season unfold in a big city. No disappointments there. Chicago is great, friendly, fun and easy to navigate. The Hilton is in a pretty good location if you want to see the lake or catch a taxi anywhere, but it really isn't close enough for walking in winter with kids to any main attractions or shopping. No problem. The hotel is very nice and the rooms are equivalent to most Hiltons - nothing too fancy or big, but nice, quiet and clean. The restaurant downstairs gave you a fabulous view of the Check-In area (sarcasm) and it was very expensive for marginal food, but you kind of expect that from hotel food. The real downside to the hotel is that you are constantly required to cough up some money for everything. Do your kids or you want to watch some legitimate cable shows since the TV channels are boring by design? How about $10 for several repeats from cable? Would you like to print out your airline boarding passes at the hotel? They can't do that at the desk, but feel free to use the computers in the lobby that are there just for that purpose. I should mention it will cost you $3 to print that boarding pass. What's that? The computer receipt said $15! They can't help you, they say they don't own the computers. Want to check some bags for part of the day because your room isn't ready at 3 in the afternoon? Sure thing - that will be $2 per bag, plus the very overt reach for a tip when you pick them up. Are you exiting one of the incredibly high priced lobby stores with your $5 mints and are ready to leave the hotel? No need to walk to the front door for a cab. Some kindly doorman will intercept you and let you know that he has a cab at the side entrance. Tip please! When you get in that cab, you'll realize he must have had a special deal with a driver that couldn't come to the front entrance in his dented, urine soaked cab. Ours was so bad looking the cops pulled it over a block away, determined some paperwork was out of order and took it out of commission - letting us get out to hail another cab. And so it goes - &quot;Let me open that door for you.&quot; Tip please. &quot;Let me push the elevator button for you.&quot; Tip please. Knock, knock. &quot;Here's an extra towel from maid service.&quot; Tip please. You ordered room service. Tip please (as expected). But wait. &quot;I forgot something and will return.&quot; Several minutes later a different, very put-out person will arrive with the article. Tip please. The hotel is expensive to stay at, but I'd rather they charged another $50 per night per room and then let you enjoy the hotel experience. As it currently stands, I'm afraid the hotel motto s/b &quot;Tip Please&quot;. The Hilton is a nice hotel, but as my title suggests, you'll never feel like a guest because they never let you forget that you're a revenue source.	
Dec 8 2008 	nice hotel	Stayed at this hotel for a weekend in early December. The first night, a large charity dinner was going on so lots of people were dressed up in black tie -- good people watching while we were eating dinner! The next night, a wedding was on in the ballroom, and lots of Chicago Bears fans were staying in the hotel awaiting the game on Sunday. Totally different crowds, but the hotel staff were pleasant to everyone and could easily cope with the large crowds.We stayed in a regular room with a king-size bed. The room was quite small, with the bed taking up most of the room and then a desk and fridge area (with the tv on top) running down the wall in front of the windows. This made it quite difficult to closet the curtains, and the desk chair was crammed between the bed and the desk so there was no room to get around the desk chair when someone was sitting in it. We stayed in a room without a lake view, which meant that we could hear the El going by down the street. We could also sometimes hear people in the hall going in and out of the rooms around us (but I think they were being extra loud!). Basically, the room was an average room. If we'd paid rack rates I would not have been impressed, but we got the room on priceline so it was not as expensive.The hotel is a bit far from shopping on Michigan Ave, but close to the Art Institute and things in Grant Park, so if you want to go shopping you may be better off staying further north.We ate dinner in the lobby restaurant one night -- the food was fine, although a bit expensive for what it was.	
Nov 21 2008 	Great Stay	I stayed here for a conference and got the conference rate of $149. I was worried that I wouldn't get a nice room, since it was the weekend before the election and the hotel is across the street from Grant Park, so it could easily have gotten a lot more for the nicer rooms. I requested a quiet room away from elevators and foot traffic, and that is exactly what I was assigned (perhaps because I am also a 'silver' member?). It was a beautiful room with windows on two sides, a king sized bed. The room was quiet, comfortable and immaculate. The maid even left a thank you note for the tip I had left. All the staff were helpful, polite and cheerful. I appreciated the fact that I could actually purchase a breakfast for under $15 (oatmeal, coffee, and juice)--something not possible at a lot of big hotels, like the Hyatt I stayed at last year.	
Nov 13 2008 	Nice place close to the Museum Campus	I was very impressed with my stay at the Chicago Hilton recently. Only a few minor things prevented me from giving it 5 stars.Pros:Check in was quick and easy, despite the kind of crowded main level (a lot of big events going on in the ballrooms mean people everywhere). I had reserved a double room (which is kind of tricky to find at a reasonable price in Chicago), and they had upgraded me to a double room with two bathrooms at check-in. The room was nice and decent sized and had modern conveniences despite the historic-ness of the hotel. The bathtubs were nice and very clean and bathrooms had granite counters and floors. There was a full-size hair dryer instead of one of the typical tiny hotel ones (which I didn't discover until the second morning that it was hidden in the closet). The mattresses were very comfortable and had down comforters with the nice white duvets. The room was nice and fairly quite despite facing the west side which faces the El track. The location of this hotel is great. It's within walking distance of the Museum Campus. Also it is easy to catch a quick bus along Michigan Avenue to get to the Magnificent Mile or State Street. The coat/luggage check charges $2/item once you've checked out, so that was convenient.Cons:The TV in our room was pretty poor quality. The picture was a bit fuzzy, and the TV itself seemed like it was about 10 years old. The granite bathroom floors can mean for cold toes in the morning. Our second night when we came back to the room, there was a $7 bottle of Evian on the table that was not there the night before. When I got my bill, they had charged us for that nonexistent bottle on the first night. They were able to take the charge off, but unfortunately it meant I couldn't use the zip checkout. Also, be aware, the person staying with me made a 1 minute 1-800 number phone call, and I was charged $1.50. Not a big deal, just something to be aware of.This hotel is very close to Buddy Guy's legends...a great blues club with decent and affordable Cajun food. If you go early (~6-8 pm) there's usually no cover charge.	
Nov 11 2008 	Great for Traveling with Teens	We stayed one night while attending a fundraising event at the hotel. President-Elect Obama was holding his first press conference here at the same time we were to check in - so I was expecting chaos - Instead, the hotel was running quite efficiently in spite of the extra congestion - they appear to be well-equipped for dealing with large crowds.We stayed in an Executive Level room. This level has it's own check in staff and a lounge. We did have to switch rooms initially since the first had a bathroom that smelled strongly of cigarette smoke. Our room had two bathrooms and two full beds with a nice view to the south. The two bathrooms were an excellent feature since we had 3 teens that needed to shower and primp. The location of this hotel provides convenient access to Grant Park and the museums.	
Nov 5 2008 	Central to Museum Core	Enjoyed our stay at the aged Chicago Hilton, although I must admit the catacomb of hallways with floral wallpaper and gaudy carpet reminded me of The Shining. Kept waiting for Jack Nicholson to drive an axe through the door, &quot;Here's Johnny!&quot; Fortunately I was staying with someone who had gold status with Hilton, so we had a very nice lakefront room. I enjoyed the view of the lake, boats, Navy Pier, museums, and Grant Park very much. Nice fireworks show over Navy Pier on Saturday night which was pretty cool. The room was pretty big, but we did have an upgrade, so I can't speak for all of the rooms. You could tell the hotel was old, but they had tried to keep it upgraded with newer furniture and tile in bath. I didn't realize this hotel was so historic. Several movies were filmed there like My Best Friend's Wedding, which they promoted on various literature in the room, and the tv show ER films its helicopter scenes on the roof apparently. The lobby was pretty small for such a large hotel and kind of crowded with no where to sit oddly enough. Looked like they had two large ballrooms that I can imagine are used heavily for weddings and what not. With the upgrade, we were given access to the Hilton Honors floor which had a nice continental breakfast and cokes you could grab in the morning. Considering HHonors is free, definitely worth joining before you go to this hotel to get your free breakfast. Didn't try any of the hotel restaurants, although Kitty O'Shea's was tempting. ha ha Not. I saw the fitness area in the hotel which was REALLY big for a hotel with a walking track and nice indoor pool. A great amenity if you're into that kind of thing or have kids to splash around. Probably the best asset of this hotel was its proximity to the museum core of Chicago. You can literally walk to the Art Institute a few blocks up the street and spend a day there alone. You can also walk toward the lake and access the Field Museum of Natural History and Shedd Aquarium. I can't imagine a better hotel for walking to all of these world-class attractions. There are closer hotels to the Michigan Avenue shopping areas and Navy Pier (Embassy Suites for one), but this hotel is best if you are going to be doing museum hopping, and all three of those museums are worth visiting. I heard you could rent bikes and ride 20 miles up and down the lakefront, which I imagine would be cool in the summer time. Don't miss the Frank Gehry-designed amphitheatre just past the Art Institute a few blocks from the hotel. Amazing structure and facility. Also don't miss Giordano's Pizza. Yum. We mainly took taxis to-from Michigan Avenue shopping areas to eat, which cost about $9-13 each way. We dropped a LOAD on taxis over a 2-night weekend, but figured it would be about equivalent to a rental car and $40 hotel parking, plus parking in downtown Chicago is about $9 an hour, so that would also add up quick. Great town, great hotel. No complaints.	
Nov 1 2008 	Treated as VIP's	I had a wonderful time during my stay at this Hilton. I stayed there with a friend and while I have heard that this hotel doesn't like non-hotel guest to be walking around. I was never onced asked if I was staying at the hotel. We noticed there was a grand piano in the grand foyer area and we were curious if it was open to guests. We asked for a manager and sure enough he allowed my friend to play. Him being a musician and being rather talented on the piano, drew a small crowd to listen to him play the piano and sing along. We were even asked to come back the next night to put on another &quot;concert&quot; Which we did. We were unable to fufill a request for a third night due to our prior plans. The lady who was running the jewelry counter in the lobby area was extremely nice and was engaged in converstation for a good 20 minutes. We were welcomed by name after the first &quot;concert&quot; The Irish pub was great. We ordered the appetizer platter and eventually had to cancel our orders because we were stuffed. We ordered some drinks at the bar and was a bit shocked to find 14 dollar martini's. but hey, it is Chicago. Overall this was a very nice hotel. Loved the old world decor. Never felt snobbish. Will stay again!	
Oct 31 2008 	Loved the location! Had a few problems	I stayed at the Chicago Hilton during a conference for work. It was in a great location! I could walk nearly anywhere I wanted to go or take a short taxi ride. There were plenty of restaurants, museums, stores, etc within walking distance. The hotel is HUGE!!! My room (for one person) had 2 bathrooms! A couple of issues:When I arrived in my first room (yes, I had to change), the bathroom appeared as if it hadn't been cleaned. The towel was messed up as if someone had dried their hands on it. There was also a lipstick wrapper lying on the countertop. I called the front desk and housekeeping was sent to clean.I got so hot the first night that I couldn't sleep. The a/c wasn't working well, so they sent someone to my room at about 3 am to move me to another. I was then upgraded to a junior suite and had no further problems. I had a charge on my bill for a mini bar item, but I had not touched the mini bar. It was removed from my bill. I would definitely stay here again. The problems were immediately corrected. I can't stress the great location enough. I really enjoyed my visit to Chicago.	
Oct 31 2008 	Very average...	I recently stayed for 2 nights for a conference. I arrived at 6am after taking a red-eye from Los Angeles only to find that they had given my room away. I should say it probably wasn't their fault. The secretary who made my reservation made it for 2 days earlier.They were helpful in trying to find me a nearby replacement for the first night. I came back after one night in the nearby Best Western. (Not the nicest but they did have free internet.)I must say all the reviews are true, the good and the bad.It is very large and the common places are luxurious albeit a bit old. The rooms are nice enough, but the carpet is a bit old appearing. The walls have nice cloth wall paper. The beds are extremely comfortable with down cushion and down blankets. All the rooms have 2 bathrooms which was nice as my friend stayed with me. The cleanliness left something to be desired. I found a piece of clear wrapping under the table and some crumbs of something on the table. The TV is old but works nonetheless. I thought the water temperature and pressure were excellent. (This one point is contrary to what others wrote.) The irish pub on location closes early at 1am on weekdays. The room service also stops early. How can a hotel of this size and prestige not have 24 hour room service??The worst part is that they do indeed nickel and dime you for everything. Thank god I didn't have to park there. Internet was $15 per 24 hours. They charge you $3 to print your boarding pass!!! Enough said.I probably would go elsewhere next time in Chicago.	
Oct 30 2008 	Nice hotel but not a good deal and really poor service	I have stayed at other Hilton properties before and never had any problems but this particular hotel did not pass muster.The hotel itself is quite lovely with a grand entrance and nice lobby.But...From the moment I arrived there were problems. I waited for 45 minutes just to check in. For whatever reason it seemed to take an inordinate amount of time to process each person.When it was finally my turn, I was informed that only smoking rooms were available despite my having secured a reservation months in advance. I eventually was able to get a king room instead of two doubles but it was on a foul smelling smoking floor and basically I had a Murphy bed in the large living area of a suite. While the room was large and the bed comfortable, it was not what I had wanted. Because this was obviously a larger room subdivided into three smaller rooms, my door was problematic and often would not close properly. In fact on several occasions I returned to find that the housekeeping staff had not closed it properly.The hotel did provide me with coupons for breakfasts to make up for the inconvenience but this really only softened the blow of the many other outrageous expenses including the most expensive in-room internet I have ever seen, $2 per bag per day luggage storage after checkout and on and on.I have stayed in many high-end hotels and am used to exorbitant prices but this was a situation of less for more right from the get-go.	
Oct 29 2008 	Good location HUGE hotel	We stayed here since we are Hilton diamond members and we could bring our dog- we won't stay here again. The room was small and the hotel lobby was so crowded it was hard to walk around. The location was good, but it would have been better to be closer to Wacker - it was quite a walk since we were at the south end of Grant Park. We felt like we were the only people there that weren't part of a large convention - definitely the focus of this hotel.	
Oct 22 2008 	Extras could add up to more than room	Here are a few of the extras you can expect to pay for to stay at this over-priced, snooty hotel set in the 80's with all the ugly grey marble and worn carpets: (not to mention the huge TV's from the past)internetparking $49baggage hold $2 baglate check out $25use of gymwaterboarding pass print-out $3upgrade to Executive $50The showers are not hot and it is very noisy with the train.There are no safes in the rooms, which make it very difficult if you have a laptop.Priceline customers are treated as if the room is free.Having a huge amount of HHilton Honors points meant nothing at check-in.Don't rely on restaurant suggestions: Yolk is terrible,salty food and just awful.Wanted to go to MHenry # 1 on TripAdvisor and the Conciergesaid she had never heard of it and had worked at the Hotel for 10 years..I can't possibly imagine why having 2 bathrooms would be a plus.Really I don't understand why any business spends so much of the budget on advertising and treats customers the way they do.I also think the price should include the huge amount of taxes that will add to the final bill.I have paid as much as $89 to park for just one day in NYC..This recession may be a wake up call for the Hotel industry.	
Oct 17 2008 	Great rate and two bathrooms!	I booked this hotel over the phone (with HH Honors) on the day of arrival, and must say that I was not unhappy. I got a spectacular rate, and enjoyed the Executive floor happy hour and breakfast the following morning. The room, while average in furnishing and quality, had the notable feature of having TWO bathrooms. Since I met a friend here on the way home from a European trip, I found that to be just an incredible convenience. Dare I say a luxury?Clearly, the less expensive rooms are the ones without any view - all I could see was another wing of the hotel - but I couldn't complain for the price. Just three blocks from the hotel is a marvelous restaurant by the name of Custom House; that alone made the stay worthwhile. The staff in the Executive Floor lounge is friendly, and helpful. There is also a computer terminal available for use inside the lounge (as it is .69 per MINUTE downstairs in the Business Center). The rest of the staff, while not rude, is somewhat lackluster. The proximity to the Art Institute, other loop attractions and perhaps most importantly, the El, make this hotel an excellent choice.	
Oct 15 2008 	Marathon madness - and the hotel coped marvellously.	I was running the Chicago Marathon, and stayed at the Hilton as it is just over the road from the start and finish line! This was my 2nd stay, and it was not just convenience that made me return there. It has a wonderful entrance lobby with sweeping staircases to the Grand Ballroom on one side and another function room on the other.The bedroom was clean and comfortable. My room-mate and I had a double bed each, and also a bathroom each! The staff were helpful, and how they managed to keep going in the professional way they did with Marathon madness going on all around them is a tribute to them.On the downside, I was disappointed that the pool and jacuzzis were out of action. I was looking forward to a jacuzzi massage after the Marathon, and the prices were rather expensive. Had it not been for the pool and a couple of other minor maintenance issues, I would have rated this as wonderful, but will have to settle for above average on this occasion.	
Oct 15 2008 	please do not stay here	I had the misfortune to stay at the hilton chicago.The reason i chose the hilton was because i was running the marathon &amp; it was the nearest hotel to the finish line offered to me by the organisers.A week before departure i rang the hotel to order a transfer from o'hare airport,i even checked the day before departure ! On arrival at the airport from the long flight from london,, guess what no transfer awaiting.. i called the hotel &amp; an hour later a driver turned up.A taxi would have been better but there were 8 in our party.On arrival at the hotel the entrance facade is beautiful .. that is where things end.Check in was labourious &amp; unfriendly.The one saving grace i thought was all the rooms were together.The rooms were like living on the dark side of the moon .. no daylight at all ...&amp; for 400$ a night.our room was smelly as well.The restaurants well if you could call them that... no 1 another irish bar with food. No 2 the courtyard rest with a very average menu &amp; barely edible food.Surly service rather than friendly .To cap things off on the day of departure at lunchtime.. guess what ?? ... After a morning's shopping we fancied a drink .. all the hotel bars were closed.. Pathetic.All in all do not stay hear unless you are the US President ,they say they all have stayed there,It certainlly shows because a refurb since abrahan lincoln would not go amiss !!	
Oct 12 2008 	Recommend Hilton Chicago	We stayed in the Hilton Tower Hotel, in Chicago in August. We were assigned a large spacious double room with excellent amenities but had requested a room with a view of the lake and Millennium Park. While tempted to stay in this spacious room, we requested a move when we realised that the fridge cum mini-bar were unlocked and not working. We phoned customer service and were given a room on the 20th floor with a marvellous view of the lake. We were given complimentary breakfast vouchers for the in-convenience. This was a great hotel from which to explore Chicago and would definitely recommend. This was our 2nd stay with the Hilton Group and would definitely look out for their hotels in the future.	
Oct 11 2008 	Amazed by the Extreme Averageness	I recently had a one-night stay at the Hilton Chicago and it was, possibly, the most average hotel experience I have ever had. Not too good, not too bad...just very bland.The desk clerk was professional and friendly, but just friendly enough to do his job...very stand-offish. So it begins: nothing really negative, but nothing positive.My room was smaller than expected, but the bathroom was very nice. Very average.The food at Kitty O'Shea's was very average, and the service was just friendly enough, but not at all engaging. I wouldn't recommend the bar to anyone, but I wouldn't discourage anyone either.Overall, I have no real complaints about the place, but no rave reviews either. So if you want an extraordinarily average hotel experience at an average price, this is the place for you.	
Oct 7 2008 	Stupid housekeeper stole my husband's laptop PDA and went through my purse!!!	My husband and I stayed at the Hilton because we got a good deal. The staff were rude and not helpful. The first night was fine. The second day we were going to leave for the day to sight see and a housekeeper was near by. She asked us if we were checking out and we said no just sight seeing. We returned in the evening to find the contents of our suitcases flung around the room, my purse on the bed spilled upside down. Some jerk took off with my husband's bookbag with his laptop, PDA in it. We called security and they were slow. There was a bad that was ripped up that didn't belong to us. I demanded a different room. The housekeeper didn't even finish cleaning the room. We filled out an incident report and talked to the security manger who gave us the run around and claimed the 'housekeepers' didn't see anything. WHATEVERRRRRR! He tried blaming it on us. My husband works for a police dept and he checked to make sure the door was locked!!! All our pictures of our kids on the computer are gone. The morans who stole it are in for a treat, that laptop and PDA doesn't work right. If you go to a hotel, never bring anything valuable. Luckily for me, I took most of my personal things like credit cards, personal info with me in my pocket.	
