	Great atmosphere -- lovely friendly and comfortable	Location -- wonderful for walking, shopping, dining and going outService -- extremely warm, friendly &amp; helpfulAtmosphere -- historic, elegant, uniqueRoom -- modern, comfortable, spotlessly clean	
Jul 9 2009 	The service is great but the building conditions are horrible	This hotel has excellent service and is in a great location. However, it needs major renovations. The hotel has a mold odor on the upper floors and has chipping paint. The window in room was filthy and had massive spider webs. The water was turned off from 11pm till 5am due to plumbing problems. It needs major renovations and would be wonderful because the service is 5 star.	
Jul 8 2009 	Affordable luxury with a few glitches.	Lobby is beautiful. Staff is outstanding. We stayed for 7 days and had a problem with the toilet and were moved to a new (slightly larger) room as soon as we were ready. The TV didn't work very well and was replaced promptly. The room was lovely, but showing it's age a little. The neighborhood is terrific and very quiet. We would return.	
Jul 6 2009 	july 4th holiday weekend in Chicago	Main lobby to the Ambassador is beautiful, the staff is very friendly and attentive but the room was dissapointing. The carpeting is old, the room is very small, the tv is very small but on the plus side it was very clean and the housekeeping was excellent. The rate paid for the room was excellent but valet parking was 45 bucks a day ( ludicrous) and of course tipping is on top of that . Overall, you sacrifice space and comfort for knowing your hotel has been visited by many old time Hollywood elite. Other than the cost of valet parking and having to pay for internet, I was satisfied with the hotel but will look for more modern and roomier accomadations next time I visit Chicago.	
Jul 4 2009 	Best Kept Secret in Chicago. Treat yourself and Stay Here!!!	WOW!! Where do I start? Booked this hotel through Hotels.com for less than I paid for the Travellodge Downtown. Check in was a breeze, the entire staff was friendly and helpful. Our room was huge. The king bed was very comfortable. Our room also had 2 nightstands, 2 chairs with a small table, a desk, and walk-in closet. Even with all the furniture, the room was very spacious. The room did show some signs of wear, but I think this adds to the charm and the rich history of this hotel.The hotel is located in a neighborhood, so it felt like we were staying in a condo or a home rather than a hotel. There is very little noise, however, you are only about 2 blocks from Rush and Division streets, with all the nightlife, and the Red Line at Clark and Division is only 3 blocks away. We decided to walk to Michigan Ave and the next thing we knew, we were at the Hancock building. By staying here, you are away from the noise, but not away from the action. Had breakfast at the Pump Room, which is a story in itself. We had our photo taken in booth 1. Take some time and research who has sat in this booth. It is impressive. Some 1400 photos of celebrity guests adorn the walls of the Pump Room. Didn't have a chance to have dinner here, but I will return for dinner someday. Breakfast was not anything fancy, and a bit pricy, but the history and experience was worth it in my opinion. The waitstaff was friendly as was everyone who worked at this hotel was. I can't wait to return here!	
Jul 2 2009 	Clean friendly hotel. Great Location.	My wife and I justed returned from a three-night stay here. We loved it. The hotel is situated on the near north side, nestled in a quiet area amongst beautiful million dollar homes and condos. We enjoyed not being in the hustle and bustle of the Magnificent Mile. Even so, the Clark &amp; Division stop on the red line is only three blocks away, which makes accessing the Mile and the rest of the city very convenient.The staff was friendly, the room was clean, and everything was in working order - I was impressed with this given the age of the hotel. Self-parking was available across the street for $29/night, which is a good price these days. Yes, as others have noted, there are some things that have just worn out over time, but they did not detract from our visit. We booked through Priceline, and at less than $100 per night, this was an excellent value!	
Jun 30 2009 	Wonderful wonderful wonderful	My husband, 10 year old daughter and 2 small dogs stayed for three nights. We all loved the hotel. Glamor, history, wonderful staff, clean, prompt and attentive! Very quiet in case you have a dog that barks at every little noise. We had reservations at a newer chain hotel but wanted to experience &quot;Chicago&quot;. We can stay at a chain hotel anywhere. Perfect location for kids and dogs. We will be back for sure!	
Jun 30 2009 	A great location and fabulous accommodations	Our stay at the Ambassador East Hotel was extremely relaxing and pleasant. We enjoyed the location. We could easily walk to the Red line or access the bus lines along Michigan Avenue. We felt safe walking along the neighborhood streets and viewing the fabulous architecture that is on N. State Street and Dearborn. We walked to 3rd Coast Cafe, the Chicago History Museum, and Second City from our hotel. Our room was spacious and well-kept, and it was quiet enough for us to take a nap during the afternoon before heading out again in the evening. We would choose to stay there again even if we could afford more expensive locations downtown. We definitely enjoyed the neighborhood feel of the place.	
Jun 30 2009 	Quiet respite close to all the lakeside action.	Gracious greeting and clean room and bath made my stay restorative and highly enjoyable. Luxury without snobbery means your welcome will be warm and staff highly responsive. The price was highly competitive with more modest hotels. Do give it a try.	
Jun 28 2009 	Don't Pay Full Price	Overall my stay was pleasant. The staff was very accommodating and customer service oriented. The location had a great neighborhood feel with tree lined streets and only three or four blocks from the beach. In addition, the hotel lobby and bar are beautiful. Unfortunately, the only thing dragging this hotel down is the old tired rooms. The hotel has been around for a while, so surely there has to be some equity in the property to renovate the rooms. As previous reviews have stated--many of the rooms are in desperate need of renovations. Here's a short description of the first room I was assigned on the 3rd floor: wore out and stained carpet greeted you upon opening the door, peeling wallpaper and paint, an old and tired bathroom with cracked and dirty tiles; positive--nice comfy beds, robes, and big room. I asked for another room and was given one on the 15th floor in better condition. For me, the condition of hotel rooms do matter ... no matter how little time I spend in the room. So for some people my comments may not matter to them. I booked this hotel on Hot wire and got a good price--$110 a night, so overall I say my stay was worth it due to location and the fact the staff was so accommodating in making sure we were satisfied. This hotel could be fabulous if the owners would invest in room renovations.	
Jun 23 2009 	Old Hollywood Charm!	The Ambassador East is a charming hotel luxury boutique hotel located in the heart of Chicago's Gold Coast. The staff was friendly &amp; informative. The room was comfortable &amp; well-appointed with all the comforts you desire when traveling. This hotel is beautiful &amp; filled with old Hollywood charm! If the walls could talk it would be amazing to hear all the stories of people &amp; events that have taken place in this lovely hotel. Just blocks from the Lake Michigan and the famed Magnificent Mile. I'd love to stay here again when visiting Chicago in the future!!!	
Jun 23 2009 	best hotel value with great location in Chicago	This place is great. The Pump Room resturant and bar is a throw back to the glamories days of travel. Rooms are large and old with big bathrooms. For the price and beatiful and conveinent location we will return again and again.	
Jun 18 2009 	1930's charm with 1930's everything else...	The lobby and staff were extraordinary. They made our stay feel very welcomed. We didn't eat at the Pump Room, but its decor was outstanding. The &quot;fitness center&quot; was barely more than a couple of machines and some free weights....good enough I guess. Overall, the room was less than average.....the hotel needs some serious updating to the rooms/bathrooms if we were to stay there again. We're just not into the nostalgia if we can stay at a newer hotel for the same price with more amenities.	
Jun 18 2009 	Before I even got there	I have not yet gone to the hotel and I am already pleasantly pleased. I started looking on the internet only today for pictures of the hotel and found the prices much lower than what our reservations were for. I called and Rose at the front desk was very, very kind. She looked up our room and I explained that I found for cheaper. She discounted our rooms to make it a great start to a wonderful weekend.Go Tribe!	
Jun 13 2009 	Absolutely Loved It!	I, too booked this hotel through Priceline and was starting to get a bit worried after reading some of the reviews. I called the week prior to confirm my reservation and to request two double beds, rather than a king. The gentleman, Brian who I spoke with was very helpful and even asked if there was anything else he could arrange ahead of time to make our stay more special. Once we arrived at the hotel we were immediately greeting by the valet, Brendan who (during our stay) parked our car and brought it back to us countless times, always with a smile on his face. The woman at the front desk, Nicole was also very sweet. She noticed my daughter carrying her American Girl Doll and gave us directions to American Girl Place. All the staff were very kid-friendly...which is why we came to remember their names...something we don't normally recollect. The hotel itself is nice. In fact, my two young daughters thought it was downright &quot;fancy.&quot; The rooms were accomodating and clean, as were the towels, sheets, etc. The location was really convenient and seemed really safe. Parking was $45/night, which I would normally think excessive, but because I got the hotel so affordably through Priceline, it didn't really bother me and it was convenient.	
Jun 10 2009 	Great location/ value	My wife and I stayed here for 2 nights and were quite pleased with the accomodations. After reading multiple negative reviews, I was a little concerned about what I had gotten myself into after getting the room on Priceline for $90/night. Sure, the decor is not how we decorate our house, but the room was clean and the bed was comfortable. The staff were friendly and helpful. There is a business center with free internet access. The fitness center has a few weight machines, a treadmill, an elliptical, and a recumbent bike. The hotel is a few blocks from the Magnificent Mile and there is also shopping along State and Rush Streets as well. Those couple of blocks put the hotel in a quiet neighborhood with little street noise. Addtionally, the L station is only 4 blocks away. We paid $20/day for valet parking in a garage behind the hotel. We would not hesitate to stay there again.	
May 28 2009 	Stay somewhere else!	The only positive thing experience about this hotel was the woman at the front desk named Nicole. Other than that - NOTHING! There were red, what looked like bloodstains, on the mattresses. There were hairs on the linens. The staff (aside from housekeeping) is unapproachable and uninviting, especially the fossil like concierge. Mediocre at best under the guise of being great. I will never stay here again!!!!!!!	
May 26 2009	Good location less than average rooms	The location of the hotel is very good. Close to Lake Shore Drive and State &amp; Rush streets. As for the rooms...very disappointed! My family and I wondered if perhaps the hotel has &quot;less than par&quot; rooms on hand for customers that book through discount hotel websites like Hotwire, Priceline, etc. The room was dingy, not four star at all. Carpet worn and stained, bathroom tile and fixtures have not been updated, armoire had no cabinet doors, and cob web hung from the ceiling. The price we paid was $84 / night. The location of the hotel and the house keeping service are the only good points. On the inside it looked looked Days Inn. I will not stay there again, I will try my luck with another hotel.	
May 26 2009 	Will never go here again.	I went to this hotel for 1 night. The windows in our room were broken. The bathroom door didn't shut. The bed was hard as a rock and the tv was small and received terrible reception. The worst part is my debit card was charged $50 and I wasn't told about it. I found out the next day that I had been charged and had to call the hotel to find out why. Apparently they charge a security fee that they said I won't get back for 5-7 business days. I really didn't appreciate them not telling me this during my check in. I wouldn't recommend this place.The only plusses were the cleanliness, the shower and the location.	
May 22 2009 	Historic and romantic	I stayed two nights here with a movie convention group. We had a great time.The staff are friendly and helpful. The rooms are spacious and well furnished; very clean and tidy, nice views.A historic hotel with wonderful interiors, The Pump Room has played host to many a famous face through the years, so good photo opps for fans of Classic Hollywood, like me.A quick walk to the lake and to Michigan Ave.	
May 13 2009 	Courtesy yes cleanliness no.	Restaurant was surprisingly good.Hotel staff extremely helpful.Rooms need new carpets , furnishings.I found a dog treat in my bed. ugh.Bathroom smelled of mildew, ugh ugh.Bath tub didn't drain while taking a shower, ugh.No safe in room to lock up laptop etc. Safe in lobby but a pain to access.Air conditioner in room first installed in 1953. Worked accordingly.Price was right, lovely neighborhood but stay someplace else.	
May 7 2009 	Great time and great value	My wife and I went for the weekend and had a great time. The hotel was clean, staff was very friendly and willing to help with restaurant suggestions and fun places to visit. Our room was a good size and had everything we needed. The best part of our stay was ordering room service. The food was excellent and came fast. I will be back to stay the next time i come to Chicago.	
May 7 2009 	Wonderful Stay!	My husband, some friends and I stayed for two nights at the Ambassador East and had a great time. The room was beautifully decorated and quite large and comfortable. The staff was very friendly and room service was quick and delicious! It was a great experience, I would definitely go back!	
May 4 2009 	Worst hotel I ever stayed in..!!!!	This was an awful experience. We booked the hotel for 5 rooms/2 nights near eachother. We had tickets to see Blue Man Group. We came in a RV that the hotel told us that we would have a place to park it and it would be part of the hotel fee. That was a lie. We had to pay $250 for two days and then they would not let us into the RV until we left. On Saturday, we went to the Aquarium and when we returned, we were all locked out of our rooms!! I felt like I lived in a communist country all weekend! They were just plain rude about everything!! All of our rooms were supposed to be double queen and most only had a king bed in them. Totally sucked. Don't stay here!!!	
May 4 2009	Great personnel poor accommodations	The staff is great and the Pump Room great (both breakfast &amp; dinner); however, the accomodations left MUCH to be desired. The bathtub was older; therefore much taller than today's standard and there was no safety grab bar mounted. My mother (who's 76 with Parkinson's) had to be helped getting in &amp; out. Can't believe this is up to building code. The blackout liner for one set of curtain was torn and I had to use paperclips to insure that no light came thru. Paint peeling, lampshades fraying, headboard lopsided, etc. The great location and awesome staff cannot offset the extremely subpar accomodations for a hotel of this prestige.	
May 4 2009 	ok value nice and quite neighborhood. historical restaurant. ask for a clean room.	Fixture can be updated, TV shall be updated. Nice neighborhood, nice restaurant downstairs. some rooms are nicer, others can be less than “clean”, shall replace those carpets.	
Apr 27 2009 	Maybe nice hotel for couples do not stay here if you have little kids!!!	How many luggage carts should a 300 room hotel have???? I am guessing that the number should be more than 2! When we arrived with sleeping children and nussled them into bed, you can imagine how upset I was when someone knocked on our door (waking them up) stating that &quot;they needed the luggage cart back&quot;. I guess I did have it for 10 minutes...how rude of me???? The hotel does not have any ramp to the street, so they have a dumbwater (sort of elevator) that is very tight, slow, and not very user friendly....so again, if you do not have kids probably not a big deal, but when you have a stroller everytime you leave and come back it is a big deal. The staff also never goes above and beyond. I guess I have been spoilded by recent trips to Disney where they really appear eager to assist, and excited to have you there. The staff was friendly if you every asked them anything but the didn't really take the initiative. When we were leaving there were no luggage carts to be found (shocker) so I had to carry all of my bags down to the lobby and then out to our van. With two hotel staffers standing there I carried at least 12 bags out to the van. No one offered to assist, or even held the door. Finally another guest helped me with the last few bags. Lastly, I would say that the rooms are just outdated. To some it may be nice to say in such a nice throuback with such a rich history, but when you have little kids you worry more about the electrical cords, the paint peeling off the baseboards, the cruing 1 years old getting his hand piched in the window AC/Heater. It was not a relaxing as it could have been in a more modern place. I cannoy say this enough, but if it is just a couple, or adults....then this would be a good choice....but if you have kids I woudl stear clear!!!!	
Apr 25 2009 	Clapped Out - gut it and rebuild - forget about the past look to the future	I stayed at the hotel as a part of a visiting group from the UK. Check in was quick and efficient, we had a suite that was large with 2 double beds and a sofa-bed. Frankly the hotel has seen better days, I suspect in the 190s it was quite a fashionable hotel, however today it is threadbare worn sorely in need of a total refurbishment. The bathrooms are tiny and a tad dilapidated. The breakfast was a bit of a shambles with very little choice and it was exactly the same every day. On the positive side the staff were extremely friendly perhaps the most friendly I have ever experienced in the USA. The restaurant was very good with a good service, the bar however was expensive and slow on the service side. I wouldn't stay there out of choice, not abad hotel but certainly needs to re-invent itself for this century.	
Apr 18 2009 	A Hotel That Has Revived the Definition of Service!	I have stayed at this hotel several times and will continue to chose it as my hotel of choice in Chicago. The service at this hotel sets it apart from any other. I always feel comfortable entering this wonderfully eclectic and glamorous lobby. Smiles and &quot;Welcome&quot; around every corner. You just do not get that with the conglomerate! Tucked away a mere block away from Rush &amp; Division it is in the perfect location near shopping on Michigan, the upgraded Oak St and the night life. It is exactly where you want to be, but amongst the Brownstones makes you feel like you live in Chicago rather than just visiting. LOVELY!	
Apr 16 2009 	The pillow shams and outer bedding smelled like dirty hair.	The personnel was very helpful and kind. One of the front desk employees was very condescending when I was asking about getting a taxi for the trip to Union Station. Other than the smelly bed clothes and the one employee your hotel stay was a very nice experience..	
Apr 14 2009 	The Ambassador East is the Best	The people are friendly and helpful from the doorman who greets you every time you enter or leave to the maid who is perky when she says good morning. Everyone seems to really want guests to be satisfied.The location is close to Rush Street and some great restaurants and Michigan Ave and some great shopping, but the hotel is tucked away so it is quiet and peaceful.The Pump Room has a super breakfast buffet and tons of ambiance. We wouldn't stay anywhere else!!!	
Apr 13 2009 	Best trip in 4 years to chicago	My wife and I have made several trips and always came home exhausted because the noise at night kept us from sleeping . What a difference just a few blocks makes so quiet I never heard a horn . The room was nice and clean and our bed was like home . We were there to celebrate Easter with friends and walked to several very friendly restaurants with great service and food. We picked this hotel after reading a review that said because they were not married they were given separate beds. How Cute!!!! Francesca has quite the sense of humor She 's professional and very courteous. Would definitely stay there again!!!	
Apr 9 2009 	We loved this hotel	This year we ventured to Chicago for springbreak - all 6 of us. That's me and my wife and 4 kids. We found this hotel on priceline for cheap then paid $$ for upgrade to a Celebrity Suite - more room. It's older but quite refined. It was not overly busy. One night we ate at the hotel's famous restaurant, the Pump Room, and we were the only ones dining. We ordered hamburgers ($14.00 each). In the mornings they have coffee for free in the Pump Room, it was Lilly Coffee from Italy- better than Starbucks. We never ate breakfast at the Pump Room but walked to Starbucks for breakfast and also used our kitchen a few times (there were no pots/pans or plating). This hotel has a great history and we are glad we visited. It is not a &quot;family&quot; place, however the staff was mostly delighted to see some kids around. There is nothing here special for your kids. Our kids loved the lobby area playing the piano and watching the fireplace. The guy at the frontdesk was a little prudish. I suppose that since we had kids, wanted hamburgers for dinner and were not familiar with the hotel's history it may have caused him to act this way. Culture was here just like anywhere in Chicago. We heard French &amp; Polish speaking folks in the elevator. My wife thinks she would like to return with just us so she could take it all in a bit slower. We stayed 3 nights and took the kids everyday to downtown muesuems and sightseeing. Lots of public transportation....This is not a trendy hot spot but has more of a old towne feel to it like Prague. We really loved that and appreciated it's charm. We would only recommend this hotel to a friend if there were looking for culture and not convenience. Due to it's slightly off location (from downtown) and age you might not be as fast of a traveler as opposed to a Michigan Mile hotel with full continental breakfast.	
Apr 2 2009 	Great Stay over New Year's	Stayed at Ambassador East over New Year's last year for a three day stay with friends. Hotel was just what the doctor ordered. Elegant Lobby and bar, well appointed rooms, good location. If staying for a couple days and do not need your car, ask the porter for the long term lot which is 20 per day. This Hotel is located in a north downtown neighborhood. We were in Chicago for a weekend get-away with another couple and were going for a neighborhood tour rather than a downtown experience. There were many restaurants nearby, a couple of breakfast places within walking distance, L station three blocks.Room decor was a little dated but comfortable. Not sure why people trash the place in reviews. We got a great rate on expedia, and it is set in a pretty elegant neighborhood.	
Mar 31 2009 	Great service in an old gem	This hotel was a bit frayed but still has the old charm of its past glory years. The service was truly outstanding and the location in the Gold Coast was great. The Pump Room (Bar) had a nice combo with a good singer but draws a very old crowd on the weekends. Also, the bar is very expensive we had two drinks and the tab was 27 dollars without tip. Don't eat in the dinning room at the hotel; Chicago has too many better places to eat which are only a couple of blocks from the hotel. In general this hotel has great service and a very knowledgeable Concierge staff (Chris Baum) which all adds up for a nice weekend place in Chicago.	
Mar 30 2009 	Great location warm personal service.	I love the great location near Oak Street and Michigan Ave. Staff was eager to help me with restaurant suggestions and any other requests that I had. Great singer in the Pump room.	
Mar 30 2009 	Boyfriend and I had to be	After signing in, Francesca at the front desk asked me if my &quot;friend&quot; (my boyfriend of 4 years) would be accompanying me in the room. Upon confirmation, she stated that she needed his name in the event that he lost a keycard. I said &quot;Robert Brown&quot; and she proclaimed, &quot;oh my! Mrs. Brown! Isn't that much better than Peterson?&quot; (referring to my maiden name) and then proceeded to wave her hands over us in psuedo-blessing stating, &quot;Don't worry, you're the second couple I've had to marry before allowing to stay together in this hotel.&quot;We were absolutely stunned. Was she kidding? It wasn't until we made it up to our hotel room that we realized she was not. I had specifically ordered a one-bed room and instead Francesca had seen fit to designate us to a two-bed room. It was not very fun to duck in and out of this hotel feeling judged and shame when we, personally, felt we had no reason to feel shame. We are both adults and are not married to other people and we live well. It was absolutely insane to have her personal Christian beliefs shoved down our throats. I can't even imagine that is legal.However, if you're already married and not outraged to the point of boycott by my story (which you should be), I would fully recommend this hotel.	
Mar 30 2009 	Great Hotel	This is a very classic hotel. Its close to a lot of shops and restaurants. Clean and comfortable. Some room are smaller the others. A very nice hotel.	
Mar 24 2009 	Very nice hotel just north of Water Tower	I put in a bid on Priceline.com for $90 and got this hotel. I ususlaly stay more in the center of things (Hyatt; Swisotel; Marriott-all on Michigan or Wacker and Michigan), so i was a little reluctant but committed pricewise. I checked online and was able to secure a free membership to the, &quot;I Prefer&quot; program before I went which entitled me to a free upgrade, which definitely panned out ( I ws assigned a king suite which was VERY sweet!) .The hotel is a nice ten minute walk from Water Tower Place and in a very tony , quiet neighborhood. The staff are extremely courteous-Pump Room a cool place to meet up with friends! If you need to park, just go kitty corner on State and you can park for $29 for 24 hours (and the parking staff was very friendly, too!)-a better deal than the hotel valet which was more like $40.	
Mar 17 2009 	Loved Chicago just not this hotel	My family and I enjoyed a nice St Patrick's weekend in Chicago and stayed at the Ambassador Hotel. The location and room rate were the things that were attractive to us. When we arrived we discovered the cost for parking at $45 per night! We did find $30 per night parking close by. The room provided was not very clean you could not look out the window, it was filthy. The room was noisy, old, worn-out and stale. I'm sure this was a great hotel 50 years ago.	
Mar 9 2009 	Amazing Service Location - Will Return	Upon check in - the lobby was BUSY! I was tired and not feeling well from a tough road show. The Front Desk person I checked in with was so fast and so nice that I walked away from the desk smiling... that alone was such a great feeling. Every time I had any experience with a hotel staff member, I was so pleased! I have to say - service really is everything to me and I have to give this top marks for that. An added bonus was the location... I just think it is perfect for me. On top of that, I had a meeting down in the loop, but not quite sure how to get there - a person approached me in the lobby, asked if he could help me get to my meeting. I thought he was getting me a taxi - but no - he walked me to his SUV and drove me to the meeting, &quot;just a free service from the hotel&quot; he stated as we drove... really!!!! so cool! I haven't even talked about the Pump Room yet - great dinner, very professional service, and no attitude.I will return - just up date the rooms a little bit, thats all... the curtains need some help.	
Mar 9 2009 	Loved the location	Everyone at the Abassador was very helpful and friendly, I highly recommend this hotel.	
Mar 4 2009 	Excellent friendly service	We booked through Hotwire, and were very pleased with the quality of service we received. It's a smaller hotel, and we stayed for several nights, so we quickly got to know most of the staff, and found them all to be friendly and helpful - a real bonus since we were traveling with a one-year old and need all the help we can get. The hotel is older, and could use some sprucing up, but overall it did not detract from our stay. The location is great - very central to restaurants and many cultural attractions. Would have liked to have free WiFi in the room, but there is a business center with free internet access. Breakfast at the hotel restaurant, the Pump Room, is excellent, but overpriced on the weekends.	
Mar 2 2009 	A fly in amber.	Staying here is a bit like visiting your elderly aunt with classic taste--all is elegant but nothing is new. The Ambassador East is a bit like a fly in amber--it is well kept, but nothing is updated. The location is wonderful--the immediate neighborhood is among the priciest in Chicago, and Rush Street bars are a block away, with Oak Street and North Michigan Avenue a ten minute walk away. Lake Michigan is within sight. And the Clark/Division L stop in the Red Line is but three blocks away.If you don't require modern, or even relatively new, there is a certainly faded elegance to the hotel. Hallways are bright and clean, and notably well lit. My room was a &quot;corner&quot; room, but only had one window. A 20 year old, 20 inch TV was in the huge armoire--the screen on my office computer is bigger--and the only flat screen is over the window. Beds are quite nice, though firmer than the newer cushy hotel beds. Bathroom is neither big nor small, and the toilet ran a bit. The heating unit at the window was a bit noisier than it should have been.Since I am a member of the Preferred loyalty program, I got upgraded, received chocolates, and was provided free wifi access. Not bad for $75 a night, given a promotion the hotel was running. Hotel is a great value with rates like that; less so at higher rates.The fitness room on 17th floor is barely adequate, with an elliptical better suited for a museum than a gym--it sounded like a pile driver as I exercised on it--and a bike and treadmill likely 20 years old. The hotel is a period piece, complete with one of the storied restaurants in Chicago, The Pump Room. At the right rate, it is worth a try. Clean, well located, and gracious, it is. Just decades away from new.	
Mar 2 2009 	Ambassador East is 'old Chicago' style we love it!	First time staying at the Ambassador East and we loved it. Myself, hubbie &amp; 17 year old daughter. On a visit to DePaul Univ. The hotel was a great location to Lincoln Park as well as MI Ave. for shopping and dining. Excellent spots right around the hotel to enjoy as well. We enjoyed a taste of old Chicago in the Pump Room Sat. night with drinks and dancing. Three of us stayed in a corner double room and it was perfect. Big walk in closet and plenty of bathroom counter space. We look forward to staying at the Ambassador East again!	
Feb 27 2009 	a lovely old hotel in a quiet neighborhood	This is a very nice place to stay. This was my second time staying at the Ambassador East. Both times I have taken advantage of special deals and have stayed at a very reasonable rate (under $100). The hotel is clean, quiet, and quite charming. It's an easy walk to the loop, to Old Town, and to Lincoln Park. Public transportation is also right nearby. On this last trip, we walked to a fabulous restaurant for dinner and to an even better restaurant for breakfast--both in Old Town. There are a lot of really good restaurants, shops, and movie theaters in easy walking distance (10-20 minute walks), but the hotel itself is on a very quiet sidestreet. I've recommended this spot to several of my friends.	
Feb 24 2009 	Hidden Gem	Best value in Chicago. Great food, drink and entertainment. Great location. Friendly. Very comfortable.	
Feb 16 2009 	ROMANCE at AMBASSADOR EAST!	Loved the Ambassador East! It's a great place for a romantic getaway! Reminded me of what Chicago in the 30's and 40's was probably like....very beautiful old hotel - clean and well maintained. Staff was excellent and very accomodating.Also, loved the Pump Room - wonderful food and jazz singer - Nan Mason -was really good.The hotel is right in the middle of the Gold Coast - so you can see multi-million dollar brownstones. It's very quiet - but just a short walk to Michigan Ave or Rush/Division area.We've been to Chicago many times, and would choose the Ambassador East again! Lovely!	
Feb 12 2009 	A Real Get-a-way Close to Home	My husband and I booked this hotel to celebrate my birthday. Although we are from the suburbs, we wanted to enjoy a weekend in the city. We really wanted to feel like we were &quot;away&quot; from the regular day to day.This was a perfect choice! First, we love the neighborhood it in: close to many restaurants and beautiful homes. When we walked in the lobby, I thought: THIS is what a hotel lobby should be. The staff was warm and friendly and obviously love their job. We adored the decor and found it absolutely charming. Right off the lobby is the historic Pump Room where we enjoyed drinks before going out to dinner and then went back again for breakfast the next day. There is no comparing the Pump Room to anywhere else-besides AMAZING food, it was fun to wander around and see all the photos of the famous people who come here to dine. We thoroughly enjoyed the weekend and it made my birthday that much more special! Thank you!	
Feb 5 2009	Top Choice Hotel	The Ambassador East Hotel is my favorite hotel in the Gold Coast area of Chicago. I love the European Charm and the elegance as well as the convenience to the Magnificent Mile. The property and rooms are always clean and fresh!	
Feb 3 2009 	Fabulous Find!	We love this hotel and stay there while visiting family in Chicago. Rooms are clean and well decorated. Staff is great! The location is great - within walking distance of Water Tower Place, shopping, restaurants and bars. We always stay at this hotel when in Chicago.	
Jan 25 2009	Pretty good	My feeling about this hotel is very positive based on what we paid for our stay.Like others we also booked this hotel through Priceline. We arrived and checked in with no problem - we parked several blocks away on the street to avoid the $45 valet fee. At $20 or $25 dollars we would have just used the valet but frankly if we wanted we could have hired a cab to take us back and forth to our car for about $5.00 a trip had we not been willing to walk. You have to be careful with parking - most of the immediate area requires a permit so pay attention to the signs before you leave your car. The staff was always wonderful - welcoming &amp; helpful. We did not eat at the Pump Room but did go there for a drink after we returned from Wicked. They had a nice jazz band and again the staff was attentive and accomdating. Our bill for one glass of house cab and one well drink with house whiskey was just over $20 not including the tip. Our room was on the smaller side with not such a fantastic view - but it did appear clean and was appointed nicely though I would agree with others that the room decor (in contrast to the lobby) does seem a bit dated. Here are the little thigs - in our bathroom there absolutely was not enough counter space and the bathroom itself was small and hard to accomodate just two people trying to get ready to leave. The toilet seat hinge was broken in one place - it did not seem to bother the function but just looked bad. Our mattress pad came off both the top two corners of the bed and on one side was badly torn which is what appeared to keep it from staying on. There was no fitted sheet - just a top sheet lying over the mattress pad so the problem continued throughout the night..And here was my biggest issue - the curtains used to actually keep light out were broken, dirty and did not cover then entire window. There was either a gap in the center or on the right. All in all we enjoyed our stay - we went up to see Wicked and spent most of our time out of the room so the size, view &amp; even bathroom were not that much of an issue. Had we paid the listed price, brought our son with us, or had a longer stay these small issues would have likely been far more of a problem. And we really can't say enough about the staff - they were all truly great.	
Jan 20 2009	As always an great stay	I always enjoy my stay. Excellent and comfortable accommodations, perfect location, friendly and helpful staff. Brendon was especially helpful and I'd look foward to seeing him on my next visit even though he's a Sox fan and I'm a Cubs fan.	
Jan 19 2009 	Get what you pay for.	I have stayed at this property several times in the past few months. They frequently are the &quot;3 star hotel&quot; that pops up on Priceline. The staff is very accomodating, lobby is very comfortable (w a fireplace in the winter). The rooms are very dated. I generally get a spacious room, but they all seem to be very worn. But, they seem to be clean and the beds are comfy, so when I pay less than $70 (this week $55) I don't complain. A couple tips - great restaurants within east walking distance - for great corned beef and lots of it try the Dublin Cafe (right behind Gibson's). There's also a Jewel close by if you want to get groceries or snacks. The Red Line is a few blocks away so commuting downtown is a breeze. And, if you need a ride, you can generally snag the town car if he's available. Just ask the bellman.	
Jan 19 2009 	Great hotel	This is a great hotel. Easy to park and walk to many fun locations. The staff is great. The Pump Room has a lot of history (phil collins named an album after an experience there) and they make a great martini for only $12.Our room was clean and had more room than expected. Elevators were decent. Ask the desk about parking at the Ambassador lodge? lot behind the hotel. It's a short walk north and is only $24/day- heated too.State and Division is only a couple blocks south. Highly recommend PT Clarks a couple blocks south of the hotel on State. Good food and nice atmosphere. The L is also close by to go downtown or up to Wrigleyville.Can't wait to stay here again.	
Jan 12 2009	Ambassador EASY Hotel	My wife and I have both been under a great deal of stress in our jobs recently and needed a relaxing getaway. From the time we drove up to the beautiful front of this gem of a hotel to the time we reluctantly had to leave, we were pampered at each and every turn, from a smiling, pleasant and prompt check-in to a wonderful evening in the Pum[p Room with dining and dancing; from the beautifully appointed rooms to the wonderful fireplace room off the main lobby, all was first rate. My wife said that it felt as though we had gone back in time to a kindler, gentler more grand place in history. We will definitely return to Chicago, if for no other reason than to visit The Ambassador East Hotel again.Bob and Pam	
