	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
Aug 15 2008 	Finally a wonderful airport hotel!	After staying in a few other hotels by the airport, my expectations were not that high. However, I have finally found my hotel of choice when attending meetings by O'Hare. The room was very welcoming with its bright colors. And despite the planes taking off and landing, the sound -proofing was excellent. The room was spacious with comfortable and yet very functional furniture. The bathroom is definitely large and the walk-in shower wonderful. The bed provided a very restful night of sleep. Service throughout the entire stay was superb and the staff always friendly and accommodating. Having Starbucks downstairs and a tiny convenience store was a bonus. Parking was reasonable and it was great to be able to self-park without having to go so far. Great hotel for business travelers, as once you are in your room - it is very quiet.	
Jul 30 2008	Overpriced Small Rooms	I don't normally stay in full service hotels and consider myself a value based traveler. I stayed here to do work travel and a special coupon.This hotel was &quot;nice&quot; but with small rooms and extra $$ for everything. Internet was $10 per day; using a computer cost $$ per MINUTE and so did printing. There was no &quot;free&quot; breakfast of any kind, just overpriced resturants. The pool and workout room were nice and well equipped. I wouldn't stay here again on my own but for those that like &quot;full service&quot; it's at least a pretty hotel and the staff was more than accomodating. They even had a cell phone charger service, where if you left your charger at home, they go through the ones unclaimed by previous guests, try to find a match and charge your phone/laptop; that was pretty cool.	
Jul 27 2008 	excellent hotel	Excellent hotel.Great rooms, clean, restaurant/ Starbuck's in lobby.Close to O'Hare, gas stations to fill rentals near by.Excellent staff.Parking not included.	
Jul 22 2008 	Top notch hotel superb value	We stayed at this hotel to park, sleep and fly. 10 days parking are included, so it is a good value for a trip of about a week. Extra days cost $20, though. This is a big hotel. Lots of airline crew were there when we checked out. Everything was very clean and very nice--probably the nicest room I have ever stayed in. The suites rooms are modern, nicely decorated, and stylish. The bathroom includes a huge shower enclosed in glass. No bathtub. The room is nicely equipped, with 2 LCD TV's, a fridge, safe, hair dryer, etc. There was even a copy of Newsweek in the room and a glass bottle of water. There is no kitchen, however. A few quibbles--I prefer disposable cups to glass. The hotel avoids normal names for things, so it's 'hair wash' instead of 'shampoo', and something cute instead of 'do not disturb'. The clock radio is the most complicated I have ever seen. A card placed on it helpfully suggests arranging for a wake-up call instead. No breakfast is included and anything you buy will be expensive. As a high end hotel, they have a trademark scent blasting in the lobby. Anyone with issues to fragrances would be doomed. I actually found the lobby design a bit lacking and sterile, even though there are lots of comfortable chairs. Airport shuttles are frequent, large and nice. It takes about 20 minutes to get to and from the airport.	
Jun 21 2008 	Pleasant surprise near O'Hare	Normally the thought of staying in an airport hotel fills me with dread. I much prefer to stay in the city, especially in a place like Chicago, but since I had a business meeting in a building that was literally a 5 minute walk away it made sense to stay close by. (This comes in handy too with the unpredictable Chicago winter weather!) I was pleasantly surprised by the hotel. First off, it's pretty new so everything is very clean and the design is modern. The rooms include a living room with desk and sitting area, and a separate bedroom. The bathrooms are large - I'm female, I always judge a hotel by its bathroom - and the shower was huge. Plus they have a Starbucks in the hotel.	
Jun 18 2008 	Wonderful for park n flying families!	What a value! For $99 got over a weeks worth of covered parking, free shuttles and a spacious suite!Just parking at O'Hare for 10 days was going to cost us more!This hotel really is the absolute best parknfly option at O'Hare.The room and bathrooms were very large. For a family with teenage daughters, all trying to get ready before our early flight, we could not have asked for more.We have stayed at other ParknFly hotels near O'Hare, so we know what we are talking about here.The pool was awesome, and the workout room has a window into the pool. So I could keep an eye on both of my girls, one swam and the other worked out.The &quot;L&quot; is right across the street for easy access to Chicago.We will definetly use this hotel again!	
Jun 10 2008 	A well needed oasis	When my flight out of O'Hare was cancelled, I found myself needing a place to stay the night. My airline gave me a voucher for discounted hotels near the airport, and this hotel had the best price- $79 plus tax and fees for a Sunday night. I was able to catch the free shuttle to the hotel. I was really suprised by the warm colors and modern design in both the lobby and room! This hotel is a chain of the Marriott Hotels, so I expected the same sort of cookie cutter look I had previously seen with Marriott. I booked a non smoking suite with a king size bed. The room was very warmly decorated with deep reds and gold. The shower was fantastic with the large open glass shower stall. I have to say, that I was really wishing that there was a nice tub to bathe in after such a stressful day. The bedroom offered a bed with down comforter, closet, tv, and cd alarm clock. In the sitting room, there was a really comfortable couch, foot stools, large desk and office station, a tv and coffee/tea station. My room also offered a refrigerator (not a minibar) for use. I really wish that I could have stayed here for much longer and explored. The service was very fast and quite friendly. There is a starbucks located in the hotel as well as Fresh restaurant and R bar. There was also food available by the check in desk while the restaurant was closed, but it was rather expensive ($9 for a sandwhich). I would most definitely stay here again.	
Jun 10 2008 	Conveniently Located and Nice Hotel	My self and 3 colleagues were on a business trip to Chicago. We landed at O’Hare grabbed a rental car and drove to the hotel. The hotel is a bear to get to during rush hour as you have to go through a toll plaza and then jump 6 lanes of traffic to the right to get off in time. Arrival was fine check in was polite and smooth. I do grumble about $20/day to park in an attached garage. They give you a paper receipt that the hotel validates then as you come and go you have to feed the ticket into the slot at the non-attended gate, you still get charged $20 per night the validation just allows you to come and go... no big deal just an aggravation. Hotel lobby is nice, but loud - there is free wireless internet in the lobby only.. otherwise it's about $10/ night in the room. There is a Starbucks on site and a hotel restaurant and bar I didn't use. The rooms are suites - spacious and clean comfortable bedding. There is a glass enclosed shower stall that was nice, but the drain was VERY slow moving and by the end of the shower I had a nice little lake built up. The hotel has a nice gym in the lower level, steppers, treadmills, ellipticals, free weight dumb bells up to 50lbs and some cable machines - a lot more than most hotels offer!!! We got a rate of $188/ night.All in all not a bad hotel and very convenient to anywhere in Chicago. You are in the flight path to O’Hare but even on the 10th floor I could not hear the planes as they landed I would probably stay here mostly because it is convenient.	
Jun 1 2008 	Exceeded expectations	This is a lovely hotel that feels clean and new, has upscale attractive modern design and rooms that are spacious and beautifully decorated. Upon entering a hotel room, when the door first opens, there's either an immediate feeling of disappointment or elation based on one's expectations. This room (dbl/dbl) was airy, comfortable, stylish, roomy and gave a great welcome feeling. There's a Starbucks in the lobby--yes!--and very easy access to the airport. We would definitely stay again, it was a pleasant and unexpected delight.	
May 28 2008 	Great park 'n fly option	We have stayed at the Renaissance O'Hare Suites on several ocassions when we've had flights out of O'Hare. Have gotten some great one-night rates, which includes the week of free parking. Parking is covered in the deck attached to the hotel. Rooms are very large, clean, and well worth the price. Shuttle service is free to the airport.	
May 27 2008 	Loved the breakfast buffet and the friendly staff	I booked this hotel for our memorial day weekend trip to chicago by reading the reviews here and I'm so glad I did it. Well worth the money and the breakfast buffet was awesome! The restaurant waiter was so nice, best service ........sorry I forgot to get your name or else I would have posted it here. ....he was the best. ........The ladies in the reception were extra nice too.....my kids kept switching the rooms back &amp; forth two times and they were very glad to offer the room of our choice. .........Thank you Renaissance, will definitely stay there again.........:)	
Apr 22 2008 	Great hotel at O'Hare	I normally don't stay at airport hotels, but this was an exception and well worth it. The Renaissance O'Hare is a modern suite-type hotel with a nice sitting area, separate bedroom, and a huge bathroom. While it is only minutes to the airport with a free shuttle, it is also easy to get downtown Chicago. There is a train station about 500 feet from the hotel that you could get to by foot. Although it takes a little less than an hour to get downtown, it is very inexpensive. Overall, this was a very nice hotel at a great value.	
Apr 1 2008 	Mixed Review	This would have been a great location for a three star hotel, the only problem is that this is a four star.Overall this propoerty worked well for us. It has a wonderful location, just steps away from the subway, blue line, cumberland station.The room was clean and in order. It had everything we needed, and the bed is very comfortable. If you can get a deal on your rate this is a good choice, but if you want the service of a four star you may want to consider some place else. The room advertised bathrobes, we had to ask for them. Our rate included breakfast, but it was &quot;accidentally&quot; added to our room one morning. The keys are elecrtonic cards like every where else, but ours stopped working several times. These are all small details, but shouldn't happen at this class of property. Like I said, if you get a good rate, this place will do just fine.The food at the restaurant was good, and reasonably priced. There were towels, water and fruit available at the pool. If you exit the subway skywalk in the opposite direction, you'll find a grocery store about two hundreed yards down the sidewalk.We paid $199 for a week night, I wouldn't pay that for this place again. But we paid $115 for a weekend night, which included breakfast, I would do that again. If you want location, A+. If you want service, B+. If you want the small details of a higher class property, B-.	
Apr 1 2008	The PERFECT "Park and Fly"	My brother and I stayed at this hotel prior to flying out to Miami for a brief vacation. The &quot;Park and Fly&quot; rate was just excellent with 10 days of covered parking included in the price.The hotel is new and modern and the room are excellently appointed. The beds are unbelievably comfortable with great pillows. The room included a comfortable sitting area separate to the sleeping area. The bathroom, like the rest of the room, was spacious and well equiped. The bathroom only has a shower however it was huge. The only minor dissapointment was that it was equiped only with a fairly basic shower and it could easily have accommodated a powerful multi head shower which would have been in keeping with the very modernistic look of the frameless shower stall. This being said, if the most one could complain about is the shower, then we were pretty lucky.I would highly recommend this hotel and will not go anywhere else when flying out of O'Hare again. That being said, actually, I would stay here above anywhere else even when visiting the city. Full marks.	
Mar 26 2008 	Perfect Overnighter	We picked this hotel to stay at overnight before we left Ohare for Puerto Rico. We drove from Milwaukee and had an early flight the next day and we chose the park, sleep, fly option where we stayed one night and got to park at the hotel for 10 days. The price was all inclusive and we got a free shuttle ride to and from the hotel and airport. The rooms were extremely spacious. All of them had a separate bedroom, bathroom, and separate living area with mini-fridge and microwave. We didn't really get to take advantage of much since we had no idea how nice this place was and was just using it for the cheap room/car storage. We paid $100 for the one night and 10 days car parking on Jan 2nd. We did check out the large pool area and fitness center. They had free apples and bottles of water out near the fitness center. If I would have known it was such a nice place, we would have driven down earlier in the day and started our vacation a day early! Beds are comfy and bathroom was really nice. Place was spotless and decorated very modern. Would recommend this place to anyone!	
Mar 15 2008 	outstanding!!!	we stayed here a couple of years ago and decided to give it another try....and couldn't have been more pleased. Stayed at a lot of the O'Hare airport hotels and this is by far, the best! Rate was better than most competitors, rooms are spacious and clean, service was genuinely caring and considerate. The last time we stayed it was a bit noisy....on the highway/metro side...so make sure you request a room on the opposite side.....we did and it was quiet and comfy. Look forward to staying here again and again and again...	
Mar 14 2008 	Comfy beds big bathroom	Booked through park, sleep, fly. Paid about $170 for a room with 10 days parking. Shuttle service on time and very friendly. Room very clean, big, comfortable, and very quiet. Restaurant was very good; had one of the best salmon dishes I had ever tasted! Only difficulty was finding the place to get the shuttle service back to the hotel. Make sure you know where the pick up is. They were not too detailed in where the van would be.	
Feb 7 2008	Nice airport hotel	After being stranded at O'Hare by United Airlines, I needed a place to sleep for the night at my own expense. United gave me a slip of paper to call a &quot;distressed passenger service,&quot; and they offered me the Renaissance for $79. Renaissance hotels are usually nice, so it seemed like a good bet.Indeed it was. Excellent shuttle service to the airport every 20 minutes, and then about a 10 minute ride. Very fast and friendly check-in, and the hotel looks sharp. Annoying double beds instead of queens, but you do also get a fold out coach if you're travelling with kids. The beds were super comfortable, and with all rooms suites, there's plenty of space. Definitely in the top 10% of all airport hotels I've stayed in.	
Jan 29 2008 	What a Find!	This is one of the nicest hotels near O'Hare...And I've stayed at most of them! United Airlines put me up here for a night after a recent cancellation...They usually get me the Hilton, but they were booked. I have very little bad to say about this place! First of all, the room was quite spacious--a little larger than most all-suite properties. The decor was very new and fresh. The parlor room had a flat-panel TV while the bedroom had a standard tube TV. The bathroom was very large and marblesque. I joked with my wife about the shower--I came out and said, &quot;Whew, that was close--I almost got lost in there!&quot; The shower was that big. A few minor gripes with the room: the blinds--they were very tough to close. Also, while the bed was super-comfy, the pillows were pretty weak. But my biggest gripe was the bed was a queen--not sure if they have Kings or not...We sleep on a king at home, so to us it seemed cramped. This was a club-level room--I have low-level elite status with Marriott, so not sure if the standard rooms are any different. The restauant was amazing! It was a Saturday night shortly before closing--only people in there. Service was great, but the food...I had their signature pasta dish, which was to die for. Next time United strands me at O'Hare, I'll request this hotel over the Hilton, even though it's about 10 minutes further from ORD.	
Jan 18 2008 	Great hotel	Reserved room through ParkSleepFly.com. Got the room for the night before our flight and the night of our return flight. Included parking for duration at a great price. Reserved 1 suite for four of us and it was fantastic. More affordable than separate rooms at a lesser hotel. It really was a grand hotel. Service was fantastic except one bar waitress was horrible.Entire hotel is non-smoking, there is a smoking area outside and around the corner of the front door.We will return to this hotel for accommodations for all our flights from now on-provided its available at the rate found on ParkSleepFly.com.	
Jan 12 2008 	Best Park Sleep and Fly for any money.	I used Parksleepnfly.com to book a recent trip and selected the Renaissance Chicago O'Hare because of the cost, location, and the factthat it had covered parking. This was a beautiful, clean, quiet hoteland the parking was indeed covered and attached to the hotel. I felt very safe leaving my car there. I ordered room service because I was alone, and it was served on real china and very promptly. I would recommend this hotel, especially if you are flying out of O'Hare and need to park your car. The shuttle was very convenient.	
Jan 9 2008 	Convenient location to All State Arena and O'Hare	I spent one evening at this hotel on a business trip. The suite rooms are very spacious and the set up was good.Pros:Convenient location to O'Hare and All State ArenaConvenient access to trains to O'Hare and downtown ChicagoLarge glass showerBusiness area was easy to useDecent restaurants and bar areasStarbucks on siteCons:No bathtub (didn't bother me)Very hot exercise areaUtilitarian pool area; fine for business travelers seeking exercises, wouldn't recommend for familiesGood value.	
Dec 23 2007	Excellent airport hotel	I usually stay downtown when visiting Chicago but this time downtown rates were so high that I tried this airport hotel which offered a suite at a quarter of the price. The location is offsite from the airport but the complementary shuttles seem to run quite frequently. The hotel is also a short walking distance to a cta blue line stop which will get you downtown in about 45-50 minutes. Other than that there is nothing of interest walking distance from the hotel.The suite was very satisfactory - of average size but comfortable and in very good condition - great value for the money. The whole property feels very fresh. Room service was a little disappointing in quality, there's also a starbucks in the lobby and a small fridge in the suite. The highway and cta blue line tracks are just next to the hotel so there's a moderate amount of noise - you may therefore want to request a room on the quieter side of the hotel.Riding the cta blue line to downtown was slow but very economical. At 11pm, the trains were still quite full and there were other guests from this hotel and the Marriott on the other side of the highway riding the same train.Overall highly recommended for park and fly, early flights out of O'Hare, quick stopovers in Chicago, or as a budget alternative when downtown hotels are overpriced.Property: 4/5 - Service: 5/5 - Cleanliness: 5/5 - Location: 3/5Room: 5/5 - Amenities: 4/5 - Views: 3/5Value: 5/5 (paid $109+tax/night weekend stay)OVERALL: 4.5/5	
Dec 10 2007 	Excellent Stay - Park 	Stayed here w/spouse as part of the park and fly package. It's a great option since you can leave your car there for up to 10 days in covered parking. The suite was very clean, well appointed, and with super comfortable beds (which is why I prefer Marriott). The staff was very attentive and epitomized customer service. Complimentary shuttle to and from Ohare (about 5 minute drive). I'll definitely use the park and fly option at this hotel from this point on! Great place to stay!!	
Dec 8 2007	Superb	Excellent from start to finish. Beds were just wonderful.	
Dec 3 2007 	Great place to stay park and fly!	We recently stayed at the hotel for one night in order to park and fly out of O'Hare. The hotel far exceeded our expectations. The room was nice and clean. The shuttle was waiting right outside the door and we were able to leave our car for 10 days. The price could not be beat.I recommend this hotel the next time you are flying out of O'Hare.	
Nov 28 2007 	Love to stay here	After two night in hotel downtown we moved to stay here for the last night and I loved it here .Nice design hotel ,new,friendly staff,big room,clean, and easy to get to the airport .If I go to Chicago agian I will stay here	
Oct 29 2007 	GREAT Family Getaway	Our family of 3 spent a 3-day weekend in Chicago, driving north from St. Louis. Our selection of this hotel was based primarily on their very attractive weekend pricing, their &quot;suite&quot; arrangement, and of course the indoor pool! The stay was excellent. Very easy to enjoy the hotel and its ammenities. As other reviewers have noted, there is a 30-40 min ride into town on the blue line. The stop is adjacent to the hotel which makes it very convenient. Since this was a very leisurely trip for us, the ride to/from downtown Chicago wasn't a problem. We did purchase the 2-day visitor passes for $9 which worked well. (Note: our room was on the end closest to the train tracks/freeway and I heard the train all through the night. It didn't keep me awake, but I woke up several times each night).The room is well equipped, but not very large. We did use the sleeper sofa in the &quot;living room&quot; and when out, the bed took up about all of the floor space. The rooms have a coffee service area which is nice (to hold you over until you make it down to Starbuck's in the lobby!). The fridge is also handy. Most notable about our room was the &quot;olympic size&quot; shower! It was so huge it seemed you could run laps within it...My husband used the fitness room and said it was excellent.We did not use the restaurant in the hotel as prices seemed too high. We ate downtown for most meals with the exception of one evening when we went to Bennigan's across the street from the hotel.	
Oct 2 2007 	Overall a good deal!	I stayed in this hotel during the last weekend of September. It is really close to Ohare airport. So that is a big positive. Overall, the hotel itself is very clean and looks to be in excellent condition. There is a Starbucks in the lobby area. The rooms and bathrooms were very nice (suite setup). The 24 hour gym is very well kept and easily accessible. Parking is steep at $20 a night. It is a garage that is right next to the hotel but it seems like a bit of a scam to be that expensive. I arrived on a Friday night and the receptionist at the front counter that I checked in with was very rude and seemed like she was flustered or perhaps working too many hours. This was my first encounter at the hotel and this certainly did not paint a good picture in my mind. However, after speaking with the hotel manager that was on for the night, I was very satisfied. The manager apologized for that employee's behavior and waived the parking fees for the weekend. I think that the specific girl at the front counter was an employee that was either having a bad day or just had a bad attitude in general. Either way, every other employee that I encountered was extremely nice and helpful.I did not use room service or the in house restaurant /bar...so I'm unable to comment about that. I unfortunately had the bad experience with the receptionist but I think that was truly an isolated incident. Parking rates are a bit steep considering the fact that this is not anywhere near downtown. In summary, the hotel itself is very nice...probably rate it around 3.5 out of 5.	
Sep 30 2007 	Great Choice-- could change a few things...	We stayed at the Renaissance O'Hare Suites for 2 nights. Our family of 4 (parents and 2 teens) enjoy the extra room offerred by &quot;suite&quot;hotels. The suite is one room, w/ 2 queens and a sofa bed. A low set of drawers w/ a tv on top is the divider between the two areas. (Other suite hotels we have stayed in have offerred 2 separate areas, w/ 2 tv's). The hotel still feels fresh and new and was very clean. The bathroom was large, but the vanity area is inside the bathroom (1 sink) across from an over-sized glass shower (no privacy at all). I expect that most families that stay in one room are like ours, in that it helps to be able to have 2 people getting ready at the same time at a separate vanity and sink area, or at least to having a shower curtain!! Having a room that sleeps 5 with a glass shower was really silly, in my opinion. The sofabed linens were not in the room, but blankets were quickly delivered w/ one call. They have a business area on the 2nd floor where I printed our boarding passes, and that was very helpful. The restaurants were very expensive and we were very tired so we ordered take-out from Bennigans (across the parking lot) and walked over and brought it back. Staff was helpful with directions and was very courteous. We used the airport shuttle at 5am, and appreciated this amenity.The location is about one block from Blue Line and that was incredibly convenient. We would choose this hotel again if we needed an airport location.	
Sep 28 2007	Good hotel for business	I stayed here and attended a training session held for work at this hotel. The rooms were great - very large and with good amenities for working (separate desk and chair, etc.). The front desk staff were a bit indifferent. Seemed very interested in talking with each other rather than paying attention to the task at hand.	
Sep 11 2007 	Lovely indeed	I stayed here with a group of friends for my 24th birthday. We were able to get our rooms right next door to each other and were even upgraded to executive suites. The rooms are clean and comfortable and quite spacious! It is conveniently located next to the blue line for easy transportation back to center city. The front desk was SO helpful with directions especially for all of us who weren't familiar with the Chicago area.	
Sep 4 2007 	They don't quite get it yet at the Renaissance	With all the Hawkeye &amp; Cub fans in town for Labor Day games, rooms in the Loop were hard to find for the weekend of our daughter’s college move-in. So we went out to Rosement, just a few minutes up I90 from downtown. My hubby checked in Friday, while I arrived on Saturday at 4Pm. It's a good thing we had another room because the second room was not ready until well after 6PM. This is my pet peeve -- waiting for my room! And from a Marriott? Shame shame.To the defense of the reception staff, they were embarrassed. I just told them to relax because I was going to dinner and would use the other room for now. And they did try to get the two rooms near one another -- just around the corner.The hotel is large and well-placed off the interstate, only blocks from the &quot;L.&quot; It's not far from a great forest preserve that we used for our morning walk/run. We came back for breakfast -- not include -- and very expensive for what you get on the buffet.The staff was very pleasant this morning, with a quick &quot;good morning&quot; and &quot;have a good day.&quot; And there wasn't anything really bad but I just didn't get a good feeling about the hotel. Our second room smelled soooo bad. The blinds were hanging off. Our shower head was a hair away from exploding. Still, the room was clean. The baths were marble. The price was right ($119). What was my problem? Perhaps it was the design. I am not really into that European orange and beige. The living room was small as was the bedroom. But that's not usually enough for me to complain on my Trip Advisor Forum. Now that I think about it, I think it was just the little things. It felt like cheap luxury... upscale wanna be. I don't think I would stay here again, but for a family looking for value, it worked. Just don’t sweat the small stuff.	
Aug 25 2007 	Great Hotel	This was our first visit to Chicago, so we didn't know what to expect. We wanted a hotel which matched our needs, and we found it. The Renaissance was a comfortable hotel, had a free shuttle from the airport and the breakfast (using the &quot;Stay for Breakfast&quot; rate) made a great start to the day. We didn't want a car in the city, and we didn't need one....the Blue Line train was a short walk away from the hotel and although admittedly it did take a long time to reach downtown Chicago, apparently they are working towards fixing this. We were here for 3 days, a 3 day train ticket cost us $12 each....great value!! In a city like Chicago, all hotels are going to be expensive, so we chose to stay close to O'Hare, where the rates are cheaper and we think we had great value for money. There didn't seem a lot to do in the immediate area, but the hotel served meals (which we didn't try, except for the breakfast) and if you are using the hotel as an overnight before a flight or a base to explore the city the lack of surrounding restaurants or entertainment wouldn't be a problem. Ok, so it's not in the heart of the city, but what it lacks in central location it certainly makes up for in comfort, cleanliness and accessibility. The reception staff are excellent too...on arrival we asked the best way to get to the White Sox stadium, and almost before we had closed our door, the same receptionist was at the door with a computer printout. We wouldn't hesitate to stay here again, or recommend this hotel to our friends.	
Aug 13 2007 	The shuttle to the aiport was great.	My husband and I did the park and fly and it was great. The shuttle ran on time and when we returned we called and they came with in 15 minutes. We were in the international terminal. The room was great and it had a couch too. The shower was very big. Our car was parked in a covered garage. We will use it the next time we fly.	
Aug 7 2007 	Great airport hotel	We used Parksleepfly.com to book this hotel. A great deal. A wonderful, large and clean room for a great price. $140 for 5 days of parking, free airport shuttle and hotel for one night. The staff was very friendly and informative. The hotel is a very short walk to an &quot;L&quot; stop with easy access into the city. The shuttle employees were very nice and even made a special stop for us to get drinks and snacks at a little store down the street!	
Aug 5 2007 	Go someplace else	If you use Trip Advisor much, you may know how many reviews I write. I travel significantly for business and write a review after almost every stay. I stayed at this hotel with my family (5 rooms total) and this, by far, was my worst experience all year. Here is the text of an e-mail I wrote to their business sales manager and director of operations. It sums up my experience.Molly – You have a tough job. I booked 5 rooms for a family get together this past weekend at your property and we don’t plan on ever coming back. While you’re e-mail is addressed to my father-in-law because he came in on Thursday, I’m the GOLD Marriott member. I’ll be platinum later this year, I’m platinum with Holiday Inn, and Silver with Hilton. I can tell you for a FACT, your hotel is the WORST property I’ve stayed at all year. On Saturday, I spoke with the manager twice about all of the hotel problems and nothing of substance was done. The manager even told me he’d have the Front Desk Manager contact me when they came in because they had more seniority. No contact was ever made.If you care to improve your property, here’s some pointers.1)Train the front desk to acknowledge the reward members. All the survey’s I get from Marriott ask this question, your hotel didn’t say a word.2)I had two rooms in my name and you placed us on the 4th and 12th floors. I thought maybe the property was so booked that’s all that was left but my brother-in-law checked in after I did and was placed on the 12th floor. He had the same room type as our room on the 4th.3)When my teenage son was making his bed up he found only a blanket in the “extra” bedding packet. A call to your service line resolved it but we never should have needed to make the call. We’ve stayed in numerous properties where he’s used the extra bedding and this is the first time sheets were missing.4)Whoever decided “cool” and “warm” are good choices for HVAC obviously never stays in a hotel. Not having a digital HVAC system is a disgrace!5)I did not have a morning paper.6)You charge for the internet, another disgrace. Charging for the internet is similar to the “energy” charges hotels tried several years ago. This may look like a money maker now, but travelers remember when properties take advantage of them via fees. This is an unjustified fee and will come back to haunt you in the long run.7)Our room had a wet spot on the floor between the beds when we checked in. 8)Saturday morning there were no towels for the pool. I had to wait more than 20 minutes after asking the front desk.9)The hot tub in your pool area didn’t work.10)After returning to our room from the pool Saturday morning, we found over a half dozen insects of some sort on the walls and ceiling of our room. The on duty manager captured them in a cup for your maintenance staff.11)When we started to shower up on Saturday morning the tub handle fell off. I showed this to your manager on duty and maintenance staff when they were removing the bugs from our room and they promised to fix it. A simple screw is all that was needed. The job was never completed.The manager on duty suggested I e-mail john Harper with my concerns, which I’ve done because this property is an embarrassment to the Marriott name. However, your staff, through their inattention to my issued, has created a significant amount of ill will. When I check into a Marriott property, I have a set of expectations. Those expectations are based on my pervious experiences at Marriott properties. All that I can conclude from my experience is that Mr. Harper doesn’t’ know how to manage a hotel or you have serious staffing issues. Either way something needs to change if you plan on succeeding. Many people will try your hotel because of its proximity to the airport, Marriott name, etc. Anyone who has the experience our group does will never come back.	
Jul 20 2007	Loved it	Great hotel. Excellent locations not that far from Rosemont theater, Donald E. Steven conventation center, O'hare or Chicago Downtown.Execllent service..	
Jul 11 2007 	Great room	I stayed one night at the Renaissance Chicago O'Hare Suites, June 23, 2007.I took the free shuttle from the O’Hare airport, and I was waiting 20 min before the shuttle showed up to take me to the Renaissance Chicago O'Hare Suites. When I was going back to the airport the shuttle was in time and it worked very well. I stayed in a standard room with a king bed. It was clean, fresh, had a safe, it was large enough for me, the bed was very comfortable, the bathroom was very big, and it was good water pressure in the shower. It was very quiet and I could not here much from other guests at the hotel. The air condition was quiet and worked very well. The room had two TV’s with enough channels, and it had a nice sofa as well.On the premises it was a good restaurant and a nice pub. The lobby was large and you could have a seat there and relax. The staff was very nice and the four elevators were fast and efficient. I asked for a late check out and it was no problem. The only small complaint I have is that the internet access at the business center was rather expensive. I was very pleased with my stay at Renaissance Chicago O'Hare Suites, and I would not mind staying here again.	
Jun 19 2007	Great hotel	We stayed at the Renaissance for three nights and took the El downtown daily. We were able to get a room through Priceline for $60 a night plus $20 a night for parking. Even considering that we were 50 minutes away from the downtown loop, it was well worth it to stay here, especially at the great per-night price we had.The El was just minutes from the hotel and the El and the buses are SO easy to use in Chicago. We bought the three day pass for $12 per person and used the heck out of it. We never waited more than 7 minutes for transportation and usually it was way less that that.Our room on the 9th floor looked exactly like the 'candid photos' that other reviewers have posted. We loved the spacious, new bathroom and the comfortable beds. Having a suite was a big plus, too. There was ample drawer and closet space (two closets.)The ONLY thing that we didn't like was the decorating and that may just be our personal preference. The living room section was very 'impersonal and cold' in our opinion. As another reviewer mentioned, it looked a bit like an office waiting room. The bedroom didn't feel quite so 'cold.'We would definitely stay at the Renaissance again, especially if the price differential was sizeable between a hotel downtown and the Renaissance, since the commute wasn't bad at all.We didn't hear airplanes, even though they were taking-off directly over the hotel. DIdn't hear the highway or the El trains, either. We didn't hear anything!	
May 30 2007 	wonderful experience	stayed during Memorial Day and would agree with other past positive reviews. Positives - staff was great, nice new rooms, wonderful beds (only doubles and not queens available), 2 tvs, sofa bed, nice bath, great pool/sauna/whirlpool in basement, &lt;5 min walk to El, which is ~50min to loop. neat mint shampoo. Negs - lots of kids that weekend who took over pool (may have been isolated incident), parking is 20$, fridge not very cool. would definitely stay again.	
