	a much needed relaxing stay!	Good hotel service starts at check-in and the front desk agents at the Red Roof are always so friendly! They made sure we had the things we needed for the night and greeted us everytime we walked past the desk. Our room was cozy and very clean. The comlimentary coffee in our room was perfect in the morning. I'll definitely stay there again soon.	
Aug 12 2008 	The Worst Red Roof I Ever Stayed In	I booked the room on the Red Roof website, but when I arrived (even with my &quot;confirmation number&quot;) the people at the desk could not find my reservation. I still got the room at the rate I was promised, though.On the other hand, it was not a pleasant experience. The room smelled like dirty socks that had no place to air out. So, I turned on the a/c full blast as I unloaded the car from downstairs. Speaking of the downstairs loading zone, the valet parking attendant suggested that I give him my car keys so he could move my car in case the police decided to tow my car since I was parked halfway into the loading zone and halfway out. (I quickly figured out that the car that dominated the loading zone was HIS, because I saw him taking a couple of smoke breaks in it while I was dealing with the problems at the registration desk. I decided I would take my chances with the police rather than trust this guy with my keys.I had to park across the street and down a ways in the lot for another hotel. It was not easy to get to: because of the series of one-way streets I had to go around a couple of blocks to get to it even though it was a short walk from the Inn.Returning to the room, I found that the phone did not work, and several tiles were missing from the bathroom walls and floors. The hallways were dingy and the carpet unclean. The elevators were slow and small, but necessary for a 15 story building. I had to go down six floors to find an ice machine.I've stayed at many Red Roof Inns in different cities.. They tend to be &quot;cookie cutter&quot; copies: kind of boring, but at least you know what to expect. But not this one. While I would stay at another Red Roof Inn, I would avoid this one like the plague.	
Aug 8 2008 	bad experience worth the price	Located on Ontario and N.St.Clair- this hotel is a perfect spot to walk to Navy Pier, Michigan Ave shopping, and even cross the river. Our stay, however, was not good. A pipe had broke in the hotel a day earlier and it smelt like stale washclothes. In our room the sink was clogged, their was mold on the ceiling, and the table was dirty. With much effort we were switched to a different room. It is a dingy place, but for the location, it is worth the cheap price we payed.	
Aug 1 2008	Red Roof Inn in downtown Chicago	This hotel was horrible -- dirty and nasty. We only stayed 1 night and I felt like I was going to get lice or worse. The carpets are filthy in the hallways and the rooms. The hair dryer didn't work, the room was creepy and dirty. I slept fitfully and first thing in the morning found another hotel close by that for only $40 more a day was 1000 percent nicer. I will never stay in another Red Roof Inn. I doubt that the CEO of the company would let his family stay at this place. It is a shame, because it is a good location.	
Jul 6 2008	Recommend to stay elsewhere!	The only positive about this hotel is the location. It is extremely convenient not only to Michigan Ave but all the Mag. Mile area. It is 4 blocks to the Red Line (ESPN Zone, Niketown, etc.)We were on a school trip and had 40 kids with 18 rooms. We expected better, and out of 18 rooms you would think that at least more than half would be recommendable.Just about everything was a bad experience. Front desk clerks were rude and indifferent. They had no hotel safe anywhere. The two elevators were extremely old and so slow. Hallways were dark, dingy and dirty. The carpets were NASTY. Our socks were black from walking on the floors. The rooms were very small, outdated. Bathrooms were falling apart. Some of the rooms had toilets that leaked, faucets that leaked, loose tiles, clogged showerheads. It was a nightmare.There is no parking. Nothing. Nada. You're on your own.Chicago is way too big a city with too many options to choose this place.	
Jun 22 2008 	Bottom of the barrel	We stayed at the Red Roof because we were directed there by a wedding planner. One who must never have visited the site. From a distance the price seemed reasonable for the area, so we booked a room. Where to begin. The elevator: one broken, the other on its way out. The management had the really bad sense to tell the guests that the cable broke. Off the elevator (while it still worked) and on to the hallway to the room. Dingy. Dark. Carpet dirty, wrinkled and torn in places. I'm getting the creeps. And then the room: tiny, even by NY City standards. We needed to move sideways around the bed. No room for a sitting chair. Battered furniture. The thick, accumulated dust of months on non-desk and dresser surfaces (ie, the furniture was dusted, other horizontal surfaces not). There had been an attempt to renovate the bathroom. This consisted of painting over the ceramic tiles and the tub. As might be expected, said paint was cracked and peeling.After one hellacious night on the medieval rack of a bed, I grabbed my computer at 6AM and found a better deal at a lovely place -the Fairfield Inn- literally three doors down the block but a world of quality away, complete with free internet and breakfast, real shampoo in bottles, big bars of soap and free magazines about Chicago! We felt like we'd checked in at the Ritz.Overall, this Red Roof was an over-priced, depressing experience. I would advise anyone to steer clear of it. Head down Ontario St. a half a block and check into the Fairfield Inn.	
Jun 17 2008 	Horrible!	My boyfriend and I were attending a wedding taking place on Michigan Avenue the weekend of May 17th, 2008. The groom of the wedding advised us that The Red Roof Inn would be perfect since it was only a 2 blocks away from where the wedding was and it is in such a prime location (a block away from Michigan Ave and the Magnificent Mile). So we followed his advise b/c we thought it was such a good deal especially w/the prices there...well, you certainly get what you pay for! The service we received at the front desk was excellent. Even w/how busy they were, the 3 woman working there was on top of everything and very friendly. However, the room itself was horrible! The bathroom floor was stained brown in multiple places and it smelled like dirty feet. We tried to prop up the bathroom door to air it out but there was no where for the smell to go since the windows were bolted shut. I dont' know how to describe it, but the room was just plain dirty! I felt gross just being there. Also, I know that the information about the velet parking states that you should take all of your values out of your car, but I had no idea it was possibly b/c of the velet employees! I figured they were just concerned in the case that your car was broken into. We arrived on Friday afternoon and left on Sunday morning. The whole time we were there the car was in the hotel's parking garage. As far as we know the velet employees were the only ones in the car b/c there was no signs of a break in. We had quite a bit of luggage and when we first arrived we were unable to take EVERYTHING out of the car. So we left a bag of snacks/beverages in the backseat (we were driving from IA so we stocked up for the car ride to Chicago) and a small tin w/change in it for all the tolls. However, when we got our car back on Sunday, we had a Red Bull, $2.25 in quarters and $1 in dimes missing out of our car! I felt it odd that someone would break in and steal just these random items and not the car stereo, all of the money change or all of the food/beverages left in the car. I know there's no way to prove it was the employees but it just seems too strange for anyone else.	
Jun 6 2008 	Great location for Michigan Avenue shopping	The Red Roof is one small block from the main shopping street, Michigan Avenue, and therefore good for a number of shops. Unfortunately it's not close to any subway stop, so you may find yourself taking advantage of one of the many taxis which pass the hotel. Our room was comfortable, with TV, iron/ironboard, hair dryer and air conditioner (although the cool function didn't seem to work ). There was no mini bar, safe or coffee making facilities, although there is complimentary coffee in the lobby. Our room and ensuite looked tired, with flaking paint in the bathroom, chipped bathtub and a toilet which was fitted so close to the wall they had to cut the handle to make it flush properly! But at least it was all generally quite clean.The staff were very friendly and helpful, and they even sent someone to fix our blocked sink within 30 minutes of reporting it!	
May 20 2008 	Price and location make it a good place to stay	Visited Chicago from Cleveland with a group of friends. We stayed at the Red Roof 5/08-5/10/2008. The hotel was ok. The rooms could use some updating or maybe a good scrubbing. We had a corner room and a wonderful view. Our group was all on the same floor. The shower was clogged, called the front desk and they had someone to my room within a couple of minutes and it was fixed. The staff was friendly and helpful. There is good coffee in the lobby. The price for this hotel makes this a good option if you don't want to spend a fortune but want to stay in great location.	
May 19 2008 	Remember it is an ECONOMY Hotel!!!	My friend booked a room in this hotel for us to share while in Chicago for a recent conference. And I'll admit, I was a bit worried after reading some of the comments on this and other sites. But I was very pleased with the hotel, the staff, The LOCATION, and the security.  This hotel is NOT a luxury or resort hotel, and if that is what You are searching for then just skip over it. But if You are a conference attendee, a traveler who plans to spend more time out of the room than in it, or someone who just needs a bed for the night, then You will be pleased. The rooms were small and sparsely furnished, but the beds were comfortable and there was more than enough room to unpack our luggage. The bathroom was TINY but adequate - just had to keep the makeup and grooming stuff out on the closet shelf. The room was obviously worn and dated, but very clean.  The staff were all friendly and charming, and gave each guest their undivided attention while taking care of their needs. Sometimes the lines at the desk were a bit long, but that was because of said attention to detail. I was more than happy to wait or just come back later as I knew I would also have great service.The only 'negative' I can think of was that the 'pseudo-chino' free coffee machine in the lobby was often not functioning - but I don't drink that stuff anyhow, and would throw on a trench coat over my nightie each morning to go across the street to Starbucks. An added plus for conference attendees or super shoppers - there is a post office one block down so You can mail home Your conference materials or purchases!	
May 19 2008 	would never stay again	website stated was recently renovated but was not. carpet was stained and filthy. We had a room on the 16th floor and there were ants in the room. There was mildew/mold in the shower. Housekeeping did not make the beds, they changed towels and did nothing else. We talked with the manager on the phone and he said he would talk with us when we checked out but that morning he was unavailable. We would have switched hotels but there was a conference in town and hotels were booked. This hotel has a great location but that is all it has going for it. Very disappointing.	
May 15 2008 	Impressed!	Clean room, TV, microwave, mini fridge, desk, comfy bed, clean bathroom. For the price and location its worth the stay. The hallways are narrow (so what) and the elevators are pretty tiny and can be slow, but you don't spend your time in elevators and hallways, its the room that counts. There's a Trader Joe's down Ontario about 3 blocks - so you can load up on cheap food/drinks and save a few bucks. Or take that $100 you saved on the Red Roof and splurge across the street at the Capital Grille. Bar Viand also across the street for cocktails and quiet conversations.	
May 7 2008 	Great Location	Just returned from a 4 night stay at the Red Roof Inn, Chicago and have to say the location is fantastic for the price. One block from Michigan Avenue and within easy reach of Navy Pier, John Hancock Tower and other sites.As other reviewers have said the rooms are quite small but if you only need a place to rest and recuperate after enjoying Chicago then I don't think you can beat this place for the price - we paid just $129.00 per night. The bathroom was small but clean, with a good shower and plenty of hot water.We breakfasted at the West Egg - a great little cafe just around the corner from the hotel. We also had a good evening meal at Copperblue restaurant which is near Navy Pier.All in all if you are on a budget I think that this hotel is ideal.	
Apr 28 2008 	Made it through one night but would not stay again.	We took a group of teenagers from our church for a &quot;senior trip&quot; for the weekend. Luckily we only stayed one night at this hotel because we did not enjoy our stay. The rooms were small and had a very bad musty smell. The elevator is the smallest I've ever seen and can only hold about 2-3 people with luggage. The hallways are narrow, poorly lit, and dirty. After the first day of sight-seeing, we returned to our room being very hot. We had the air conditioner running the whole time we were gone but it was obvious it was not working. We called the front desk and we were told the A/C would not be turned on until next week. So we roasted the whole night! The only good thing about this hotel is the location. I definitely would not stay again!	
Apr 25 2008 	Great location basic service	Red Roof is located in the heart of downtown Chicago, easy walking to the lake, parks, restaurants, shopping. And it is very moderately priced. But it is basic, really basic. Tiny lobby. Tiny rooms. Dingy elevator. Room keys that needed to be reprogrammed twice in one day. If you want a reasonably priced place to stay in the middle of the city, this is an ok choice, but do not expect any amenities.	
Apr 17 2008 	diamond in the ruff	(if you are in a hurry, skip down to the last 2 paragraphs)We came to Chicago to see Widespread Panic.Just me and my buddy.i had searched for hotels all day on the day before we left and couldnt find anything under 200 - 300$$ in downtown chi-town.we decided to just get our tails over to chicago and see where fate led us.After talking with some people we found there who were seeing the same show and visiting the lobbys of few hotel rooms - still no luck. we did find one place -travelodge, that was willing to &quot;squeeze&quot; us into their sold out establlishment. exicted and happy we would be near the venue we pulled out our cash...then the reality of that visa commercial hit us - i am sure you all have seen it - everything stops when the guy trys to use cash in the symphony of everyone using charge cards? anyway - to use cash they required a 250$ deposit. unheard of. blasphemy. mainly because we didnt have 250 to leave sitting at the front desk until the next morning.Heads down we walked out and down the street - we stopped at a camera shop and the kind people there let us use their phone book to make a cpl calls around and see if we had any luck that way.i remembered red roof being one of the only afordable hotels i noticed online the previous day, (afordable without being downright scary that is). we called them after calling about 6 others. reservations said they had one room left and gave me the local phone #. it was great - we called the local # and the service, latasha and marvette - we're wonderful. they held the room for us until we could get there, no credit card #. they sold us the room without a deposit. i had to call them one time on the way there when we got stuck in traffic to plead for them not to sell our room - i didnt have to beg and marvette said, &quot;your good&quot;.yes it was small - but for us, it was PERFECT. two tour kids that just needed a place to crash under 200$.it was clean and the people inside working and staying were nice alike. the lobby was renovated and two rooms were done as well. the coffee machine in the lobby spun out really great tasting joe and at 2 in the morning when we needed to eat - front desk referred Ranaldi's - the best pizza i have ever had. Chicago was great due in part from the red roof. we checked out the next day and thanked the staff for the kindness yesterday from the other two employees and they exclainmed, &quot;we're nice too!&quot;the place was perfect.	
Apr 14 2008 	Small but Nice.	I arrived early in Chicago, but they let me check-in anyway. The hotel itself is a bit on the small side, but the king suite had plenty of room. I did not have any noisy neighbors, so I had a good nights sleep. If I return to Chicago again, I will be staying here. The price, $119 on their website, was well within my budget, and from talking to other participants in the summit I was in, much nicer than the $199 &quot;closet&quot; (as one member desbcribed his room) that others paid at the Hyatt regency.	
Apr 10 2008 	Getting Progressively More Horrid	This is my second stay at the Red Roof Inn.The property is conveniently located off of Michigan Ave and the staff is very friendly accommodating. That is about it.The following things don't work or are not right:a) Second door or hotel opens at turtle speed.b) The elevators are chipped, scuffed, paper all over and dirtyc) The hallway carpets (12th floor as a benchmark) are smelly and filthyd) There is garbage and random ice buckets scattered on the floor next to 1215 for three days of my staye) Rooms smell This property is going down hill and down hill fast. It will be horrid esthetically in no time if the management does not start providing upkeep to the property	
Apr 5 2008 	Not that Bad	We read a lot of the negative reviews after we had booked this hotel. We called the property to discuss our concerns and they assured that our room would be well taken care of during our stay. The room was fairly clean but rather small. The bathroom was acceptable but there wasn't much counter space and made getting ready a little difficult.The price (avg $109+tax for three nights) and location more than made up for the size of the room. For a big city, this was not too bad.	
Apr 3 2008 	Dirty	I stayed at the Red Roof once last month in Chicago for $99 a night, and my room had recently been renovated, was clean with a desk and ample outlets. The location is terrific.Based on those benefits, I decided to stay there again a few days ago. Bad idea. This time I was in a smelly room on the 6th floor that was dirty and dusty. The radiator was very loud and didn't make the room warm, so I finally gave up and turned it off. Plus my room rate was $140. I twice had difficulty getting into the room because my key didn't work. The hallways were narrow and dim, with streaks and scratch marks from people's luggage rubbing everywhere.The people at the front desk asnwer your questions, but do so with reluctance.So, if you decide to stay at the Red Roof, make sure you at least ask for a renovated room!	
Dec 3 2007 	Deplorable conditions terrible customer service	You know those hotels where everything goes wrong? This was it. Disgusting, old rooms. The hotel seems to be under the impression that if there is a flat panel TV in the lobby, that makes rooms wired with extension cords run under the carpet and yellow wallpaper acceptable. No hot water in the morning. We checked out, and had to check in to another hotel. They &quot;comped&quot; our rooms. Then mysterious charges appeared on our credit cards. By early December, they had resolved the credit card issues. Location near Michigan Ave. was obviously excellent, but it doesn't make up for such a truly awful hotel.	
Nov 6 2007	nice location nothing else	A girls weekend, the four of us checked in On Friday. When we started to unpack we notice a leak under the bathroom sink, apparently it had been there a while because of the rust stains.Then we notice the room was not fully vacuum and dirt around the edge of the bathroom floor. So we asked to be moved to another room. We looked at five total and decided that our room 1116 happened to be the cleanest of the six. We stay put until Saturday afternoon. We had packages to drop off drop and the room across the hall was being clean, we looked at it and asked if we could move to 1105 and not be charged anything extra. Yes the manager said. When we checked out Monday morning they wanted to charge us $100.00 more than what was agreed at check in. After talking with two managers at the same time, one being the manager from Sat and 30 minutes later, we were not charged the extra amount.Only two ice machines where working, one on floor 6 and one on floor 15. There are two coffee machines in the lobby however, only one of them worked.	
Oct 22 2007 	Perfect for my needs	This hotel is certainly not a 4 star class hotel, but I give it 4 stars based on value. To begin with, the location is superb. The week I visited, all hotels were booked and rates seemed to be averaging $250 to $400 per night. The rates at Red Roof Inn were below $150. My corner room on the 15th floor was clean, had a pleasant view of Ontario and Michigan Avenue and was cleaned every day. Granted, the building is old, but does have character. Though not huge, the room was large enough for my needs. No, there is no counter space in the bathroom, but I have encountered this shortcoming in a number of boutique hotels fitted with pedestal sinks. It didn’t pose much of a problem. I don’t know about the other rooms, but mine was fine. The ice machine on my floor worked fine.The room was outfitted with a small desk and chair, television and air conditioning that worked well, an iron and ironing board, plus a hair dryer. Shampoo and soaps were pretty generic. I’d suggest packing travel sizes your favorites if it concerns you. Sheets were not designer label, but they were clean an the bed well made. Plenty of pillows.The staff was professional and extremely helpful. Plenty of wonderful restaurants within a block or two, convenience stores, drug stores - even a Trader Joe’s. In addition, I was told that within a few months, all rooms would undergo renovation. By all means, if you enjoy luxury accommodations and don’t mind paying the price - take advantage of the numerous grand hotels in the area. If you are looking for safe, comfortable friendly lodging in a pristine location, the Red Roof Inn might be the hotel for you. It worked for me.	
Oct 22 2007	Mixed feelings..a more expensive version of the old Cass	When I thought about reveiwing this hotel I tried not to mention the old' Cass hotel but it really is unavoidable.What you get is about the same but for about twice the price. Now let's be fair the 'old' Cass now costs about three times as much and for the money/location I think that the Red Roof is now the only game in town on the Magnificent Mile.Plus Points:Location: Right on N Michigen AveCost: Average of $130 (plus 15% tax plus $5 hotel tax per night)Bad Points:Rooms a little care-worn although clean. A bit like our old friend the 'old' Cass. Carpets have seen better days but OK.Room very poorly litNoisy A/C although not really a problem for me as I can sleep throughanything!Sheets not changed daily Staff a little bit uninterested.Pet PeeveThe drinks vending machine was empty on arrival and still hadn't beenfilled on departure (seven days!)All in all OK and the best value you are going to get these days on the Magnificent Mile. Just don't expect The Ritz.	
Oct 22 2007 	Dirty room	Great location, staff helpful re. a/c that didn't work. We were prepared for old, grungy room but not for the dirt,hair,whatever in the corners and all around the edge of the carpet....also something splashed on headboard of one bed. Bathroom was clean but toilet seat not well attached on one side. They did give a $60 adjustment ( 4 nights there)when we mentioned the dirty room....we will try very hard to come up with something else next time!	
Oct 5 2007	Small Rooms Loud Noises..but close to everything!	Our first stop on our tour of the South was in Chicago at the Red Roof Inn. I was a little surprised to find quiet a small room when I opened the door. The room was ok and seems clean enough. I did notice the way the bathroom door did not stay open and slammed shut everytime one entered or exited the bathroom. You could also not expect to open the bathroom door and room door at the same time as there was not enough room to open both. We also had a street side room and noticed the &quot;singing&quot; of fire engines/ambulances constantly all through the night. As for location, this was by far the best hotel for that! We could walk outside turn the corner and hit the &quot;magnificent mile&quot; shops, water tower place, hancock observatory, wrigley building, and restaurants were very abundant as was a Trader's Joe for picking up any fresh fruit or bottled water. I must make note that one of the staff members, an asian girl, at the front desk was very unfriendly and unaccomadating. Could use a little lesson in customer service. While not a stellar hotel, location was definately a plus!	
Oct 5 2007 	Awful	What an awful experience.Walking into the room, I was stunned at how small it was. I couldn't believe they fit two double beds in there. The bed felt like I was sleeping on concrete, towels and sheets seemed to be made of sandpaper. And no matter what I did, the room was always cold and slightly damp. I didn't want to go barefoot anywhere in the room or bathroom. It looked clean enough, but I got the feeling it wasn't. The staff at the front desk was a joke. It took forever for to get someone to the desk to check out. I also asked for a wake up call. Good thing I set the alarm on my cell phone or I'd have overslept.	
Sep 23 2007 	Not even good enough for my dog !	WE stay at many USA hotels and this by far was one of the worst. We stayed one night and checked out and checked in across the street at the Marriott Courtyard. We were part of a wedding party and had multiple rooms reserved. Many family members ended up following us to the Marriott for the remainder of their stay. Upon check in at the Red Roof Inn, the check in procedure was disorganized, long and unimpressive. The elevators was not working and we had to tow our own luggage up the stairs. When we reached the correct floor, we were unable to find our room, due to missing room numbers. Finally finding our no number room, we entered into a very small room with two double beds that had dirty sheets and wrinkled sheets that obviously had been used before. There were not enough staff to bring us new sheets, we had to get new sheets from the front desk ourselves. We had to make both beds ourselves. The door jam had been forced before and the jam broken. The halls and room were in much need of renovations. The air unit was very noisey with a matallic banging noise all night-we were unable to get any sleep. We had to shut off the air and did not open the window because we were above an outdoor cafe and the chatter from the cafe was loud even with the windows closed-could not imagine how noisey it would be if the windows were opened. That is even if the windows could open. We checked out the very next morning and was given a full refund. So awful of a place and would not recommend this hotel even though the location was superb. We have stayed at other Red Roof hotels around the country and never had such a unpleasant experience with inferior accomendations.	
Aug 18 2007 	Worst Hotel I've ever stayed at!!!!!	This hotel was very inexpensive compared to others in the area and in a great location, however, I would never return to it again! The room smelled musty, the bathroom tub didn't drain, and there were stains on the sheet and carpet. The lobby had been remodeled and was ok for an inexpensive hotel, but the rooms are in desperate need of work. Only stay here if your budget doesn't allow for anything else and location is a major priority! This is a Motel 6 wanna be!!!	
Aug 14 2007 	Wouldn't stay here again	The location is perfect and the staff were pleasant enough, but the rooms are ridiculously small. This was bearable, but my biggest beef is with housekeeping. We stayed from Thursday to Monday and we had maid service only once after specifically requesting it. They made the bed and replaced the towels, but didn't empty the trash or clean the bathroom. The second time they showed up, they thought the room was vacant and so they walked right in to find me standing in nothing but a towel. For the rest of our stay, we just walked into the housekeeping closet and helped ourselves to clean towels.It's a fine enough place otherwise. But don't expect to come back to clean room at the end of the day. I'm not especially picky, but for $190 CAD per night, I expect the bed to be made, clean towels, and the trash to be taken out.	
Jul 18 2007	Get Out While You Can!!!	About the only pro was that they allowed my party to check in early. Cons: The price I was given for my room was not the price I was charged. I was actually charged $80.00 more a night. (Problem was fixed after four straight days of trying to talk to a manager. They kept blowing me off, that did not make me happy.)The first room I was given had problems with the water draining out of the bath tub.The second room was smaller than my first room (which I could hardly imagine anything smaller than room 1, but they did it).When we closed the curtain gnats came out.The bathroom had a horrible odor.Only one elevator worked and it was slow. They had to call the fire department because something happened to it.The beds were the most uncomfortable things I have ever slept on. You might as well have been sleeping on the floor. The towels and wash cloths were terrible. They were extremely rough and thin. Overall, this was a horrible hotel. I understand that the price was low for the location. However, this is no excuse for any of the above.	
Jul 12 2007 	Lots of issues- all bad	We ended up with one of the &quot;bad&quot; rooms that others have mentioned. Toilet tank half open, and what you could see inside was a rank combo of mildew and dirt. Generally dirty bathroom with sink and shower not wanting to drain. Dirty carpet that left our socks black, and a musty smell and really loud air conditioner. I went downstairs and asked for an upgrade, and there were no other rooms to be had. The clerk was honest enough to say that about half the rooms had been refurbished, so if you must stay here, ask for a refurbished room. When I went to check out, the clerk refused to check me out because he was running late to get to his day job. He left the front desk unattended, and I had to wait 30 minutes for a new clerk to arrive. Also, do not store your luggage here. When you ask to get your stored luggage, they hand you a key and you get it yourself. I could have taken anything I fancied.	
Jul 9 2007	great location - good night sleep	We attended from Ohio for a wedding. Compared to other area prices it was a steal. I planned only to cleanse and sleep in my room and it was more than adequate. Plan to return in the fall to enjoy more of the city.	
Jul 8 2007 	Great Location and a Good Experience	From reading the posts prior to coming to Chicago and staying at the Red Roof Inn I was not sure what to expect. But from our own experience we were pleasantly surprised. From the start the staff were very friendly and helpful. We were here for the July 4th holiday.We stayed on the 9th floor and had a corner room. Our room was updated, clean, and our air conditioner worked well. We had a great view of the city and N. Michigan Ave. I think for a $129.00 a night in a city like Chicago and the location of the hotel you cannot beat what we got. If you are looking for 5 star this is not for you. I have to say our room was cleaned everyday!! We live in NYC and know that we would never find this hotel for the price ANYWHERE!! If your looking for a great location in Chicago, no thrills, and not looking for a fancy hotel room and spending hours in it, this is the place for you.It is really close to Navy Pier, Magnificent mile, all shopping, several GREAT restaurants, and public transportation. Some of our favorite restaurants were:Weber Grill (great burgers, ribs, and steak)Bice restaurant, which happens to be next to hotel (Italian)Ballo's (Italian) You must try the meatballs!!!Gino's East Pizza (great deep dish pizza) the 45 min. wait is worth it.Grand Lux Cafe (great breakfast)Tempo Cafe (another great breakfast) order an omlet or pancakesAll of the above were reasonably priced and simply delicious.!!Overall we had a great time in Chicago and would go back again and for the price and location would stay at the Red Roof Inn again.	
Jul 4 2007 	Got what we expected. Decent great local.	Read all reviews here so we were a little nervous, but were pleasently surprised. We paid 120 a night with Sam's Club membership.We only spent time in the room to sleep, but that is all we needed it for.We were within walking distance of Navy Pier, Broadway in Chicago, Milineum Park, Sears Tower &amp; the Hancock Building, etc. Valet parked our car and we never used it again for the next 5 days.Only complaint is the elevator was very slow &amp; small. We were on the 12th floor and it took a while for the thing to get to the lobby. Room was very small but again we only used to sleep &amp; bath.I will definetly go back. The price was less than half of the next cheapest we could find.	
Jul 1 2007 	Hated the Red Roof Inn	I went in knowing that the room would be very basic and didn't expect much except clean. The room was horrible. Stuffing coming out of the sofa cushions. A toliet seat that clearly hadn't been cleaned. The air vent above the showere filled with dirt and dust. The outlet in the bedroom had no face plate and to top it all off our &quot;clean&quot; towel had dried blood on it. NEVER AGAIN would I stay there.	
Jun 22 2007 	Locatin location location	I am so glad that I read the reviews on TripAdvisor and reserved a room here. I knew exactly what to expect - not so great room in an incredible location. My boyfriend and I are traveling across the country quickly and only had one day to experience Chicago. We didn't have time to stay somewhere cheaper outside town and take transit or drive and park. We arrived at midnight - the valet parked our car. We didn't see the car again until we left. The staff was polite, but not overly friendly, but we had everything we needed. We crashed as soon as we got into the room, which was very small as indicated on this website. We woke up and hit Chicago, which a half a block away. This hotel is in the best neighborhood - incredible. We walked all over the place during the day and did our sightseeing. We stopped at the room for a quick change of clothes and shower and hit the streets for dinner. The next morning we hit the streets and left. The only negative comment I have is about the air conditioner, which wasn't negative for us. We love having loud white noise in hotel rooms - especially in loud cities. It drowned out any other noise. But if you are used to quiet at night, this air conditioner probably would have bothered you. But the downtown location would probably bother you too. I loved this hotel and would stay again. All the other hotels in the neighborhood were $300+ per night. We paid ~$170 for the Red Roof Inn. If you are picky and want to hang out in a perfect hotel room, this is not for you.	
Jun 20 2007 	Can't beat the location but wouldn't stay again for anything	Like others have noted, the reason to stay here is the price and location alone. Don't expect any extras, unless you consider a hair dryer and A/C big perks. Room was small and wasn't that clean and the housekeeper didn't bother to come until our third day there. The shower did not drain--disgusting--and housekeeping could not fix it. A/C was full blast or nothing.We came with our toddler and received a crib, but it was stained and old. No refrigerator in our &quot;standard&quot; room, either. Not the best place to bring young children, but we survived. There is an Italian restaurant there, but notfor families with young ones. To their credit, when checking out I mentioned the drain problem and I rec'd an $80 credit adjustment.	
Jun 17 2007 	Good hotel no problems at all	We have stayed at the Red Roof Inn for 3 days early May. I hesitated for a long time to stay here because of all the bad comments. But for us it was a pleasant surprise. Location perfect.Reception very nice and helpfull. We arrived too early and the room we booked had not been cleaned. We left our baggage and came back after lunch, about 3.00 p.m.Because the room was still not ready they offered us an upgrade to a bigger room without any costs. A nice corner room, with 2 beds, a desk and 2 chairs. Everything was clean.So no complaints at all for $ 116.00 per night!We would come back here again.	
Jun 14 2007 	Couldn't wait to leave	I should have known better after reading some other comments, but I thought I'd take a chance......big mistake.........filthy...walk barefoot on the carpeting and the bottom of your feet are blackened.......small does not define the bathroom(not even compared to some in Europe)....part of the wall under the shower came crashing into the tub....what an experience......never thought I could say this, but I would have rather paid to stay somewhere else, than stay there for free!!!	
Jun 7 2007 	Value Hotel Stands on Excellent Location	i stayed there for 3-nights, that was good experience. All of the hotel was average. My room at 2nd-floor was not spacious but okey. Staffs were not so helpful, but polite enough.Although only 1-block distance from Magnificent Mile, the rate had so much value. So, I recommend this hotel for economy travellers.	
May 4 2007 	You get what you pay for	The Red Roof is not the most luxurious of hotels but is functional and well located and I would recommend it if you're looking for somewhere to stay on a budget in downtown Chicago.True, the rooms are not huge and the customer service is not great but our rooms were clean and quiet and for the price we paid I would not expect any more.If you want an upmarket hotel, don't stay here, if you want a location right on the Magnificant Mile at a fair price this is a decent option.	
May 3 2007	basic hotel good location	This is a basic hotel in a good location. The halls are tired, narrow, dirty and noisy. The room is small with a smell of cleaning products covering mildew. No chair or desk in the room. Sheets were clean, towels were small and threadbare. The most challenging aspect was that the door to the bathroom would not stay open. You have to prop it open with the waste basket in order to get any ventilation. It's not the kind of place you take your shoes off in the room. The front desk staff is nice, if under trained. For the location the price is very reasonable. Even though I'm not giving it a very good review, I'd probably stay there again if I couldn't find a better price in the area.	
Apr 14 2007 	Downtown location not as shown on website	Room was not as featured on website. Too small for conference stay --no desk or chair -- barely enough room for the beds. Not vacuumed prior to arrival- required a call to housekeeping. Refills of daily needs had to be requested- shampoo, glasses, toilet paper. Nice folksworking there, though. Location was good for conference, shopping, restaurants. If money is your only concern, this is the place. Otherwise, we recommend that you call for reservations and ensure that the room meets your needs. There are larger rooms but paying in advance prevented us from upgrading our room, which we attempted to do.	
Apr 6 2007	Disliked the Red Roof Inn	Chicago: Red Roof Inn Chicago,Illinois Ontario St &quot;Not so clean''Date: April 6th 2007Reviewer: VistorOur family just returned from our trip to Chicago. We stayed in the Red Roof Inn. The first night we stayed there it was okay. When we woke up the next morning my son had really big bumps on his leg all over! My mom went to the front desk and asked them if they clean the beds a lot.They said they change them daily. We went to sleep the next night and he still had them but worse. We asked them about it and they said they are pet friendly. When we left they wern't concered about it. We really didn't like our stay at the Red Roof Inn.	
