	Great Location and Staff	Had a wonderful stay with my wife for our 1st Anniversary and hope to stay here again! Got into town early on a Friday, staff was extremely nice and helpful even though they didn't have our room ready because it was so early. Stored our luggage for us and even let us get some items back out after they had already stored them. Went out and did some sightseeing and came back to check-in which was a breeze and found out that they had given us a free upgrade to a suite because it was our anniversary. Room was very nice and clean with lots of room to spread out and relax. Later on in our stay, I realized I had forgot my shaving gel and call the front desk to see if they help me out since we were running late for our dinner reservations and someone was up to our room in no time flat with some shaving cream.One of the greatest things about this hotel is its location. You are right in the middle of EVERYTHING on Michigan Ave!! You have all the shopping you could want and more with the ability to run your bags up to your room and not drag them all over town. You have quick access to numerous restaurants that are just short walks from the lobby, as well as bus stops across the street that will take you to various museums and other points of interest in the city. The only thing I could see someone faulting this place with is the noise from Northwestern Hospital right next door. We were on the 27th floor and the noise did not bother us at all and my wife is a very light sleeper. Other then that, Avenue Hotel is a great place to stay and enjoy Chicago and we look forward to returning soon.	
Jul 14 2009 	Great Value!	We had a wonderful long weekend at the Avenue Hotel and we'll definitely stay there again. The Avenue has invested wisely and well in amenities that really matter, while paring away costly but less vital elements. You'll find great beds, linens and housekeeping here, for instance, but no fancy lobby or cable TV. That adds up to a great value in a neighborhood where other hotels are charging 30-40% more. Pros:-- Tailored, serenely modern decor; not a floral print anywhere -- Sumptuous bed linens with plenty of pillows-- Clean rooms and public areas-- Huge windows and ample space in our &quot;Junior Suite,&quot; essentially a large room with a sitting area nicely furnished with a leather couch, coffee table and armchair. It even had a walk-in closet. -- Kid friendly, but not kid overrun.-- All-pro front desk staff. Jael and Julio went to great lengths to resolve a problem caused by the room discounter we used.-- Casual restaurant and elegant lounge both on premises-- Just a block from the ideal segment of Michigan Ave., where the Water Tower, stores and parks are nirvana for shoppers, people watchers and sightseers.-- Great soundproofing-- A small, pleasant outdoor rooftop pool and deck on the 40th floor is a perfect escape from Chicago's street-level bustle. We saw a family bring in fruit, bread and cheese to picnic with a bird's eye view of the city and lake.-- Brunch in the 40th-floor Sky Lounge was pricey, but the food was great and service fast and friendly.Cons:-- No convenience store on premises...but in this neighborhood, none's really needed.-- Cheesy disposable cups for the in-room coffee maker, and no discernible recycling effort, in this otherwise Green hotel.-- 10 or 12 TV channels just aren't enough, according to the insomniac in our party. -- Powerful but noisy AC-- A label on the refrigerator warning of a $25 restocking fee scared us so badly we never even opened the darn thing. Which is probably just as well. -- The lobby is small, with utilitarian seating and minimal decor. If you like lounging around opulent lobbies and lobby bars, this is not your hotel. On the other hand, you'll be thrilled if you like getting from the front door to the elevator bank quickly, without navigating obstacles. For breakfast, walk two blocks to Cafe Lux on Michigan for amazing made-to-order beignets, great coffee, and a fantastic menu selection. It was the best breakfast we've ever had... try the blood orange mimosas and mojitos.	
Jul 13 2009 	Nice Hotel Would Return	We stayed here July 9-12. Overall our stay was very nice. We arrived a little before check in but they had our room ready. We were given a room on the 36th floor. The rooms are a tad tiny but for the time we were in it, the space was fine. The rooms have very large windows and our view was great. We could see the lake to our right, Gino's East right below, and the Magnificant Mile to the left. Our king bed was very comfortable. The shower/bathroom was a little small but we managed. We had problems with our wireless internet the first night but tech support walked us through. The air conditioners have sensors and kick on when you walk through the door. The elevators were pretty quick. Sometimes they were on the sluggish side but I never complained. The front desk was helpful when it wasn't real busy. We did ask for priority seating for Gino's East since there was a really long line and received that. 20 mins later we were seated!! We never went swimming but the water is heated and it has a great view. We also never had a chance to eat at the two restaurants.Parking is steep . . .$49/day, but that is Chicago. I wish they would offer some type of discount for hotel guests.Our last night there was also the worst. We had a group of young adults on our floor. When we seen security there once around 8:30 pm, we knew we might be in for a long night. About 1:00 am the group returned and were extremely loud, slamming doors, foul language, yelling/screaming at each other. We called security and they came up shortly after. They were warned. They were quiet for a little while and then a couple was outside our door arguing and yelling at each other. My husband then called security and they came a second time. Shortly thereafter the cops arrived. I'm not sure what happened but luckily I was able to go to sleep and tune it all out. I would have liked to see the hotel escort this whole group out of the hotel so the other guests could get some peace and quiet. A group shouldn't have to be warned more than once to be quiet. Also, I may have felt different if they sounded like they were having fun, but it was more fighting than anything.I really enjoyed my stay and I would recommend this hotel to everyone.	
Jul 8 2009 	Great downtown locaton Clean 	Loved our stay at the Avenue. We were upgraded to a suite for our 5 night stay without even requesting it, and it made such a difference to have that extra room for this extended stay. The front desk, housekeeping and bell staff were very friendly and helpful at every encounter. The rooms are very clean and well furnished. I was sorry to leave our suite on the 30th floor on the last day because I knew our next stop would not be able to match the comfort and style we had at the Avenue Chicago.	
Jul 4 2009 	Great Hotel	I booked my 4 night stay at the Avenue via lastminutetravel.com, total cost of US$430(incl. taxes) for a deluxe room.Upon check-in I was pleasantly surprised to be upgraded to a suite on the 22nd floor. As some others have mentioned elevators were a little slow. My suite's living area included large leather couch, armchair, desk with ipod dock/speakers, flat screen TV, and tea/coffee station. Complimetary wireless internet access was a big plus and greatly appreciated.Bedroom was spacious, with a very comfortable bed and linens. Another flat screen TV, wardrobe and full elngth mirror. Lots of windows.Bathroom was clean and practical (hairdryer supplied), great toiletries - loved the body lotion! If anything I would say housekeeping supplied too many towels, they were always replaced and I ended up with 8 facewashers at the end of my stay, because I had to move them out of the way to use the shower and vanity. Small thing, but I hope they weren't all laundered uneccesarily.As some others have mentioned, it is a dark hotel. This is my only real complaint, the photos I've posted were taken with every light in the room on and they're still quite dark. As I spent time here sleeping it didn't phase me much, but if you needed to spend more time in the room this may be an issue.Rooftop bar and pool. It was quite cold during my stay so I didn't use the pool, but it looked like it would be nice for some sun in summer.Overall, a very pleasing stay. Staff were pleasant, hotel was roomy and clean. Location was convenient to Michigan Ave shopping, pizza resturants and Navy Pier (approx. 20-25 min walk to Art Institute in the South Loop). I was in town for a conference in the Loop but tried a Michigan Ave location for something different and quite enjoyed the daily walk (only a $5 cab ride if needed though).	
Jul 2 2009 	Perfect!	We had a perfect stay! The room was very clean and nicely decorated. The price was great and I couldn't have asked for a better location! I would definetely stay here again when I am in the city!	
Jun 30 2009 	Very Impressed	I attended a recent business meeting held at the Avenue Hotel. I was very impressed the the attentiveness of the staff on check-in and the very spacious room. The bed was comfy and I didn't hear a peep from neighbors on any side. The location was terrific as well - one block or so off Michigan Avenue. Parking was alot but that's what parking is in Chicago. The meeting room was spacious and the staff was as attentive as at check-in with excellent service and refreshments.All in all, I was very pleasantly surprised as we normally use more &quot;name&quot; chains for our meetings. I would gladly consider this hotel for personal stays as well.	
Jun 29 2009 	Perfect location but a few kinks.	I stayed at the Avenue Hotel for a reunion the end of June. It was a busy weekend in Chicago and the hotel seemed to be hopping. I had a Junior Suite, which is actually an ADA room and there were only a few minor issues with the room. There was no hairdryer in the room, we had to call downstairs and one of the lights in the bathroom was out, but quickly replaced. The issues we found were the excessively long wait for the elevator. No matter when we were trying to catch the elevator it appeared as though only one was actually running and would be packed if it stopped on our floor. The other issue was the misleading nature of the booking. We booked on the hotels website because they were offering better package deals. However, their confirmation appears as though the credit card had been charged for full payment while the reality is it is merely a recognition of reservation. The full charge is due at check-out, which is fine, but they need to clear up the misleading communication.	
Jun 28 2009 	perfect location comfy bed broken a/c slow elevator	Pleasantly surprised that after booking a great rate on hotwire, we had a 2-room suite with king bed! A/C in the room did not work at all - but we weren't in the room except to sleep. We didn't inform the front desk of this till we checked out. Wonderful large showerhead, big fluffy towels/sheets/blankets, leather sofa (!). Didn't swim in the pool but it looked like the people there were having fun. Elevators were frightfully slow on Sunday morning - our room was on the 17th floor and every elevator that stopped there was already crammed with other people checking out. We ended up hoofing it 17 flights down the steps! The location of this hotel can't be beat - steps from everything. Pub on ground floor was decent food/the opportunity to eat outside, and carries lots of different beers. We would stay here again.	
Jun 24 2009 	Great Location Great Views	My husband and I got a good deal on priceline, considering a summer weekend in Chicago. At check-in, they ended up upgrading us to a corner 2 room suite on one of the top floors. We didn't even ask!The bed was very comfortable and it was amazing waking up to a wall of windows looking DT and to the lake. You couldn't beat the location of this hotel...a block away from North Michigan with shopping and restaurants.	
Jun 24 2009 	Great People Great Service Great Location	We just spent a very enjoyable weekend at the Ave.Family and friends used the Ave as our &quot;home base&quot;, while attendinga family wedding. The hotel renovation is complete. From the front lobby to the sky lounge on top of the building, the Avenue is new, fresh, clean and very comfy! The staff continues a great reputation for outstanding guest service. Their genuine attention to the details makes every visithassle-free. The Ave is located in the heart of the Magnificent Mile within walking distance of fine restaurants and outstanding shopping. Great people, great service, great location, that's the Avenue Hotel!	
Jun 18 2009 	Wonderful place just don't get dirty!	OUr stay in the Avenue was quite nice, the 2 queen bed studio suite is quite nice. Tv reception is poor, but the view and bedding more than make up for it!!! The english pub attached is reasonably priced and decent food. The lobby has an interesting design with somewhat annoying euro-pop techno music playing. The sky lounge seemed a bit small, but cozy. The ambiance is nice except the same music in lobby, plays there, loudly. The drink prices there were outrageous though, $9 for a rum and coke. I had to make sure one lasted awhile! The pool area was also small but nice. The pool was clean and nice and warm. Just a handy tip is that there is a dunkin donuts and a 7-11 two or three blocks down St Clair so you can save a little money there to dodge the breakfast costs in the hotel. The concierge was friendly and helpful in arranging the boat tour and just general getting around. This hotel is in fairly comfortable walking range of the Navy Pier, Ogden Slip (where some of the boat tours leave from) The Magnificent Mile, and Millennium Park. The room itself was spacious with a feeling of privacy even when sharing. The bathroom is a wonderful size, with plenty of space to change without standing in the splash of the shower. The shower though left much to be desired. The fixtures were loose against the wall and the pressure was dreadful. You would have better luck bathing in a water fountain. The water just dribbled out and never really left you feeling clean. Everything else about the bathroom was great. I'm not sure if the water pressure was poor due to being on the 34th floor or what, but I was glad I didn't take advantage of the weight room because I know I would have never gotten the sweat off of me.Outside the window you can hear the ambulances coming into Northwestern University Hospital, but its not too bad as it quiets down at night and if you're from another city, like I am, the sound kind of disappears. It was nice though to have free wireless internet!Overall we did have a pretty comfortable stay here, but I think the hotel needs a little bit more work, before it can really be as classy as its neighbors. I'd recommend a pianist for the sky lounge and make it a piano bar. Kill the lobby music all together so its easier to communicate with staff. Also figure out how to get more water to the top floors so the guests can feel clean and truly refreshed.	
Jun 18 2009 	Good location-Bad Business.	If you do stay at this hotel, be sure to walk from home (it's probably cheaper.) Parking is outrageous, and you will not be informed of this charge until after you check out of the hotel. If I had been informed of the extremely high rates to park my car, I would have taken a train or even parked somewhere else cheaper. Also they offer to check your bags for you, don't do it! It is such a cluster, that its easier to just hold onto them and lug them down Michigan Avenue yourself. Staff seems very disorganized and unfriendly. Great location, and that is just about it.	
Jun 12 2009	Great Location-That's about it...	Every year, I take my Mom downtown for Mother's Day weekend. We try to stay at a different hotel every time to experience all the fun things to do in Chicago. I decided on the Avenue hotel this year because of its location (which is excellent) and its price happened to be within my budget. I called the hotel directly to find out if they were doing anything special for Mother's Day as most hotels where we've stayed over the years have done. They explained to me that they had a special package deal that weekend (for an extra charge) that included complimentary brunch and mimosas. I thought, &quot;My Mom will love that&quot; and made my reservations. When we got there, we were immediately surprised at how small the lobby was compared to all the other places we have stayed in the city. When we got to our room, again, we were dissappointed by how small and dark it was. I had brought an expensive, special bottle of wine to share with my Mom over the weekend only to find that in order to keep it cold, I had to pay $25 for the USE of the refrigerator. Keep in mind, I wasn't planning on consuming anything FROM the refrigerator. The special wine is a tradition and I have NEVER been charged for the use of the refrigerator in any other hotel. The first morning, when we got up, we were excited about having our complimentary brunch and a mimosa and headed to the &quot;Sky Lounge&quot; to eat. The front desk had given us vouchers for the two days. The brunch was just ok (definitely not worth the extra money I paid). What really irked me though was, when we asked the semi-comatose and unfriendly &quot;waiter&quot; for our mimosas, he said, &quot;Uh, we don't serve alcohol until after five.&quot; Now this is an orange juice-based drink (that we already paid for, mind you) and is traditionally drank during, I don't know, BRUNCH-THE TIME BETWEEN BREAKFAST AND LUNCH. We were very dissappointed as my Mom had her heart set on the extravagant drink. We ended up going down to the neighboring Elephant lounge and ordered them there. When we complained to the front desk, absolutely nothing was done. We weren't given our money back for the cost of the drinks (which would have been four total). Later that week, I contacted the manager who credited my credit card $50 for the mixup. Of course that was appreciated but it should have been addressed when we complained. The one bright spot was the concierge who was incredibly helpful in suggesting where to have dinner. All in all, it wasn't a horrible experience but it wasn't a memorable one. IF you're not planning on spending much time in your hotel room, the location is great. But if you're going for the whole stay/eat/drink experience, for the money, stay somewhere else.	
Jun 11 2009 	Been there twice just as nice	I have been to the Avenue Hotel twice now. Once with my husband and son, and once for a girls weekend. Both times were fantastic!The location is what drew me to the hotel in the first place, right near all the great shopping!So the first time with my family, we had a big rooms with a so comfy king size bed for us, and a pullout couch for my son. He seemed fine with it! So we had almost the same layout with the girls, only two beds and a pull out! Big, clean room, flat TV, small bathroom, but that was fine. My husband enjoyed the free internet with his laptop.Service was wonderful! The checkin went smoothly, the same girl checked us in both times, very nice, and let me know about what the hotel offered.One of the best parts( of both trips) was the concierge. He was knowledgable, and both times made great recommendations for the family and the girls night out. We even got some free passes for the girls night out to Howl at the Moon, Martini Park(our two favorites) and more. He made our stay most enjoyable, as did the rest of the staff, the doorman Sami (funny guy) and the bartender in the lounge (small place but great views!)We already have a reservation for another girls weekend in September, and have contacted Vern the concierge for more information! We can't wait!	
Jun 11 2009 	Beautiful Hotel In Great Location	We stayed at the Avenue Chicago within close proximity to all shops and museums. The hotel had a great rate for the weekend, but we did have to pay for valet parking. But parking is a cost that you will have to pay at any hotel in Chicago should you decide to drive. We opted to not drive any further during this trip and instead used public transportation to get anywhere we needed to go. Beautiful lobby, rooms and great staff!	
Jun 8 2009 	Not Worth Full Price Not 4-Star	PROS: Location is fabulous. It is right off of Magnificent Mile, and very close to Starbucks, Corner Bakery, Dunkin', 7-11. We walked everywhere (except the zoo) and didn't feel we were far.They offer free wireless (not typical at other four-stars).Great showerheads and the curved shower curtain rod that gives you more room in the shower (typical at other four-stars).Luggage storage before and after check-out (typical at other four-stars)They upgraded us to a suite without asking (corner room with two walls of windows!).They are available through Hotwire, which means you do not have to (and you should not) pay full price.CONS:While the superficial furnishings seemed somewhat new (bed linens, decor), the deeper elements seemed old and tired (baseboards, tile, public bathrooms on the second floor). Overall, I felt that I was staying in an old building that had been superficially spruced up to try and meet a four-star level.There is no proper concierge or concierge desk (if there is, it is hidden). It seems that the front desk staff doubles as concierges. The day we checked in we asked for information about the river architectural tours (seemingly one of the more popular tourist activities in the city). We waited a few minutes while two staff members rifled through a desk to find brochures. In the end, they could not find anything. One of them very kindly gave us a map and directions to the site of one of the tour companies--that was very helpful. I, do, however, expect more from a four-star hotel. A proper concierge at a proper four-star hotel would have booked the tour for me or at least had ready access to brochures and detailed information.Housekeeping came into our room without knocking about 2 hours before check-out time (we were checking out at the regular check-out time for all guests).The bed was very, very uncomfortable--it sloped in the middle and tilted toward the head.The staff, while friendly, were not as professional/formal as I'd expect from a four-star hotel in one of the largest cities in the country. The exception was one gentleman at the front desk who might have been Mik, the general manager.The lotion in the bathroom had a seal, and the seal was broken. I don't usually see seals on hotel bathroom amenities, but when there is a seal and it's broken, it makes you feel like you are using used lotion...Would I stay here again? I would really prefer not to, even with the discounted Hotwire price. Expect 3- or 3.5-star level if you go. It was just OK (the bed was definitely bad). A four-star hotel should be better than &quot;just OK&quot;.	
Jun 3 2009 	My birthday!	My girlfriends surprised me and took me to Chicago for my birthday weekend and we stayed in the lavish hotel, &quot;The Avenue.&quot; Words cannot express how dazzled I was with, &quot;The Avenue!&quot; From the time we pulled up to check in, everyone had their hand/arm out to assist us, with a smile! We felt very welcomed! Check-in was quick and easy, elevators were quick with a smooth ride and the rooms were very clean, spacious and up to date. We had such a great time, we're going back for, &quot;The Taste of Chicago,&quot; in July and to host a bachelorette party for our girlfriend, as well as another birthday celebration in September! I can't get enough of this place! Oh, and did I mention how cozy the beds are? :-)	
Jun 3 2009 	Thank you for making our stay special	I recently stayed at Avenue Hotel Chicago for my wedding anniversary. Friend of mine who recently stayed there recommended the hotel and I have decided to give it a try. Upon arrival, I was greeted by their doorman who was very friendly. Then to my surprise, when I was checking in with my wife, front desk agent congratulated us on our anniversary and offered me a complimentarty upgrade to lovely suite. I only mentioned purpose of my stay during reservation when I was asked purpose of my visit and I guess reservation agent went above and beyond to relay this message to the front desk. At check out, I was once again thanked for spending my anniversary with Avenue hotel by the desk agent and I just couldn't resist but to post this review to thank the staff at Avenue Hotel for making my anniversary extra special this year.	
Jun 1 2009 	We will be back!	We stayed at this hotel for our recent trip to Chicago and I really can't say enough good about it. The only bad part was they gave us the wrong room at the very beginning but it was easily corrected. We stayed in one of the lakeview suites and it was a very nice,well appointed room with comfortable furniture, top of the line toiletries and excellent views. The location was wonderful, we spent one day wandering through all the nearby shops and a second day we walked to Navy Pier. I would recomend taking taxis to anything outside walking distance as traffic can be &quot;interesting&quot; in that area. We never made it up to the Sky Lounge so I can't comment on that but the room service was good and the Elephant &amp; Castle pub was excellent. All of the staff we encountered was courteous and friendly. We're hoping to go back to Chicago next year for a longer stay and The Avenue will certainly be our choice for accomodations.	
May 26 2009 	Terrific location poor service	A friend and I stayed 3 nights at Avenue Hotel after winning it on Priceline for $99 per night. I would not pay more. It is supposedly a 4 star hotel (Priceline rates it as 4*) but the service was awful. We were interrupted by housekeeping at 9am on our last morning, seemingly asking us to leave, although we had been told 12pm was checkout. She laughed at us - er, why?Front desk staff did not want to be there, or at least did not want us to be there. Very unhelpful and no smiles or welcomes. The porter, too, was very surly when we asked to leave our bags on the last day.There were some good points about the hotel - the location is wonderful, steps off the Magnificent Mile and close to the Chicago stop on the Red Line. Very close to lots of pubs, restaurants, and shops. There is a Walgreens 2 blocks away for snacks and water. We were given 2 queen beds on the 18th floor. As I was traveling with a friend, it was a bonus to have a bed each. The rooms aren't large but nicely appointed with nice toiletries and a flat screen TV.All in all, I would go back, but only if I paid less than $100. The swimming pool on the top floor had terrific views and the Sky Lounge offered cheap cocktails and nice bar snacks.	
May 25 2009 	Kid Friendly Rooms	I booked the room on Priceline and called the hotel to get upgraded to a kids room. There was an extra charge for this, but it was worth it. The room was large and it had a Wii. My kids ages 3 and 6 loved it. They also liked the kids amenities in the room. While the parking was expensive, we liked the hotel and the location. We were not that familiar with Chicago and found the staff to be friendly and helpful. If I was going to stay there again, i would not go to the adjoining restaurant, the Elephant and Castle. It was overpriced and the both the food and the service were bad. The Corner Bakery is only a block away and it is a much better option.	
May 25 2009 	Very Disappointed- Location is it's only positive note!	Stayed here on a Saturday night for our anniversary and will not be returning! The clerk who checked us in could not care less if we were there. She wasn't even going to ask us or tell us what kind of room we were getting. She never smiled or told us to have a nice stay, no pleasantries at all! The elevators were old and small. One was broken when we stopped at the fitness floor to look around. It was all dark with the doors stuck open a little below the floor level. Kind of scared us to get back on another one!! Everything in this hotel is extra! They have a fridge in the room with snacks and drinks that are $4-$5 apiece but the kicker is that if you take one, it not only costs that price but also a $25 restocking fee!!! So that one Coke will cost $29!!!! Parking is still $48 but with unlimited in and outs. It did take the valet 20 minutes to get our car though so it's not real speedy. Better call down and alert them before you go down yourself! Internet is an extra charge, if you want your own fridge it's an extra charge (I was scared to use the lotion provided for us in the bathroom! I am still watching my credit card for a $20 charge for that one squirt of lotion!!) The welcome book in the room says there are vending machines in the building but we asked the comatose front desk attendant and she referred us to the Walgreens 2 blocks away. Convienent!! We came and went several times over our one night stay and we were NEVER greeted by any lobby staff. Once I was given the stink eye by a guard after I smiled and said HI to him!! We stayed at the Palmer the last anniversary and will be going back there from now on. They were like our family compared to how we were treated at this place!	
May 21 2009 	Great location!	Stayed at the Avenue Hotel in May. I wouldn't have been able to afford this place if I booked right on the actual hotel website. I went through booking.com and got the room (2 queen sized beds on the 22nd floor) for only $99 bucks a night!Great location though. We walked everywhere! Room was clean and the view was pretty awesome. It was great to have The Elephant and Castle (the Pub) right in the lobby of the hotel, they had an excellent beer selection, and super friendly staff. OH and the beds were really comfortable too! Parking, however, was a nightmare. The parking at the actual hotel was 48 dollars a night... OUCH! We elected to park at the public lot next door (the hospital lot) that was 34 dollars a night.. and for the 50 hours I was in Chicago it cost me $104 for parking. They charge PER DAY opposed to PER HOUR. Watch for this..	
May 21 2009 	Fantastic Value	My wife and I stayed here for a short getaway after our wedding as we aren't going to be taking our actual honeymoon until this summer. Overall I thought this hotel was a fantastic value for what we got. We have stayed many places in the downtown Chicago area, from the way overpriced Hyatt Regency on Wacker to much smaller hotels like the Rafaello and Allerton. I decided I will do this review as a pros and cons list.Pros:-Great value. We paid $108.00 to stay in a king bed suite - you don't easily find this in the city.-The room. The bed was fantastically comfortable. We spent many hours just laying in it and staring out the picture window. Also, the sleeper sofa in the living room was nice to pull out and watch a movie from, although not too comfortable.-Location. Half a block east of Michigan Ave. is great. Also close to the Chicago Red Line stop if you want to go elsewhere in the city.-The view. We were on the 36th floor in a corner suite looking south. I haven't had a better view of the city from any hotel.Cons: (some of these are pretty picky details)-The TV in the bedroom was an old tube TV of about 24 inches. An upgrade would be nice.-The toilet was *very* loud in the bathroom. Easily enough to wake me up at night. It seemed I could hear it from other rooms as well.-The heating and AC seemed a little strange. We had it set to 65 to try to cool the room and there was heat coming out. It seemed to stay at a comfortable temp, but not what it was set to.-Parking. I have seen many people complain about $48.00 for parking. This is common for valet in the city, anywhere from $40-50. Park a block east at the hospital and you'll pay less than $20 per day.All in all for what is rated as a 3-star hotel this was a fantastic stay. I would definitely go here again, maybe just bring earplugs to sleep with. The staff was great and as a whole it was a fantastic hotel.	
May 19 2009 	Location and Style	Our room was very clean, modern, attractive and spacious. Location was great, staff was very friendly and helpful. View was fantastic. Beds were very comfortable.	
May 18 2009 	Feel ripped-off	It was a beautiful one-bedroom suite, a little small but for the price a GREAT deal. The bathroom was really too small, however, and I had to call down twice for more clothes hangers. But what really got me was the $48 per day to park my car, which was not disclosed beforehand, and ended up costing as if I stayed an extra night. That said, I would stay there next time if I didn't have a car.....	
Apr 29 2009 	Great value for money!	Having seen so many places where they rip you off and provide bad service in return, I must say this hotel finally is the exact opposite. The value for money is just great, staff is never arrogant but always helpful and friendly. Beds are great, if you order room service the portions are big and they charge you not more than you would be charged in any restaurant around the corner.It's good to say that places like this still exist !!	
Apr 27 2009 	Great Location - Excellent Room	Stayed at Avenue Hotel on the Miracle Mile in Chicago for 1 night recently. The room was great, fabulous king sized bed, lovely furnishings with a full sized desk and flat screen tv. The bathroom was small but adequate and really appreciated the hairdryer and additional magnifying mirror. Parking steep at $48, but found a place on Ontario St about 2 blocks away, around the corner from Trader Joes (another perk) for $32. The bed was really great, we both slept like babies! We had friends staying at the Omni - literally across Michigan Avenue from us and they preferred our room. Believe me, we definitely got the better deal! If you manage to get a great deal - like under $100.00 it's definitely the place to stay! The location was excellent also and you could walk everywhere. The Elephant and Castle adjacent was great for breakfast. The Sky Bar was very nice, but it was a cloudy day when we were there, but we sat by the fire to dry off and it was lovely.	
Apr 26 2009 	Great choice for your North Michigan Ave. adventure	Very nice place one block off of Michigan Avenue. Only a few blocks from Water Tower Place, Gino's East and many other great places to shop and eat. My 3 co-workers and I spent 3 days during a conference. We had no trouble finding good food and entertainment within walking distance. We recommend Jake Melnicks (casual sports bar w/ great food), ESPN Zone, Corner Bakery, and the Elephant and Castle, a great British restaurant and pub right next to the hotel. Get the breakfast with Irish bangers (sausages). As for the hotel, we had a mix of rooms, mostly great. One was just OK size wise, and 3 were larger suites with wonderful views of downtown and\or Lake Michigan. Make sure to ask reservations staff to get the room size and view that you want. Reservations staff was very accommodating - our non-profit group received a free upgrade (to suites) from their friendly staff - how nice! Rooms were very clean and modern. Beds were very comfortable. There are only eight rooms on each floor so sleeping was easy. It was quiet considering the proximity to Northwestern Memorial and Michigan Avenue. You're not going to get away from the noise in this immediate neighborhood. Wireless internet access was free and worked fine. Parking is valet only. Car was always available within 5 minutes of request and valet staff was great. I would spend the few dollars extra. Self park is one block away and very tempting, but it is a pain to haul your stuff back and forth. Front desk staff was helpful and attentive, except upon arrival. I checked in around 10pm on 4/5 and that registration person was indifferent. Everything else was very good. I would go back again. I think my kids would like a shot at the outdoor pool when the weather gets a bit warmer.	
Apr 25 2009 	IMPOSSIBLE to do better than the AVENUE!!!	After considering several hotels in the area, my wife and I spent (9) nights in February and (3) nights in March in a Two Queen Bed room at the Avenue while I had surgery at Northwestern Memorial Hospital which is just across the street.The room was very large - the beds were among the most comfortable we've experienced and as a retired couple who travel and have stayed in a lot of hotels this is saying a lot. The desk, study chair and wing chair were very comfortable. There was a large flat-screen TV. The bathroom were very nice with a rain-type shower head - - and an ample amount of large, soft, thick bath towels, etc.Housekeeping did a great job and were very accomodating. The front desk people were also very accomodating - - among other things extending our original reservation when it became necessary. The front desk people knew us by name after only a few days.We ate at Gino's East (pizza), the Corner Bakery, TGI Fridays and the hospital cafeteria which I believe is open (24) hrs./day.- - all only a block away.The Avenue is only (1) block from Michigan Avenue with all of its great stores.As you can tell, we were very happy with the Avenue - - we already have a reservation for a couple of nights in May.	
Apr 12 2009 	Steps from the Mag Mile	I made my reservation for The Avenue Hotel through priceline bidding $79.00/night for a four star hotel in downtown Chicago. The hotel only has valet parking for $49.00/night.The location of the hotel is fabulous -- 1/2 block off Michigan Avenue and within close (2 to 5 blocks) walking distance to great shopping, restaurants, and some tourist attractions such as the John Hancock Observatory.The lobby is small -- but you are greeted promptly by the doorman who arranges for valet parking as well as the person who handles baggage valet. Check in was smooth and took all of about 3-minutes. We were in our room on the 36th floor within 10-minutes of pulling up in front of the hotel.We did not eat in the restaurants or visit the Sky Bar, so I cannot comment on that, but my son did order a cheeseburger and fries from room service one night. The price was reasonable for room service in a major city, and the service was fast and food fresh.My teenage son did call me on my cell phone from the room, and the charges were outrageous. He dialed the wrong number once for $10.95, reached my voicemail once for another $10.95, and talked to me for 3-minutes for $15.00. Ouch!We asked for a room on a high floor and received it. We faced the city (not the water) and the children enjoyed the view and marveled at how high up we were (36th floor.) The room itself was medium sized and tastefully decorated in browns, beiges, and ice blue (up-to-date color scheme and furnishings.) The beds were comfortable with down comforters and pillows. There was a mini-bar ($4 for an 8 ounce Coke.) On the second night we realized that there was a 7/11 store within 2 blocks, so bought our drinks there before turning in for the night. The TV was a 32 inch flat screen, and there was a coffee maker in the room that made single cups from pods. The bathroom was a nice size and clean -- with the bowed shower rod for extra room in the shower. The hairdryer was high quality, the toilletries were sparse for three people, but I'm sure we could have asked form more.Our room was very quiet. I did not hear people in the hallway or doors slamming. It must be well insulated. The heater in our room, however, was quite noisy, and I put a pillow over my head to muffle the noise as I was falling to sleep.Overall, this was a very positive experience. The price I paid for the location and quality was a steal, and I would definitely stay here again.	
Apr 7 2009	A wonderful weekend getaway experience!	We thoroughly enjoyed our stay at the Avenue Hotel Chicago. When we checked in we asked if we could be in a room that was fairly close to our friends that came with us. They immediately accommodated our request &amp; upgraded us both to 2 suites on the 25th floor. Rooms were very elegant &amp; obviously just recently redecorated. The bed was the most comfortable bed we've slept in with great bedding &amp; great pillows!!! We walked a couple of blocks to the Water Tower Place &amp; enjoyed great shopping there as well as in the vicinity. Had breakfast a couple of mornings at the little bakery/cafe just down the street which was very convenient &amp; not too expensive. Only negative thing was the cost to park our vehicle for 3 nights - $48 per night! Ouch!!! Otherwise, a very enjoyable stay &amp; would recommend to anyone travelling to Chicago.	
