	Great stay in the windy city	Hotel was as described and whilst there was obvious works going on in the hotel we never heard anything. Staff were always polite and welcoming and its situ is ideal. I would recommend The Old Pancake House for breakfast, as per other trip advisor recommendations, it is superb quality and value.	
Jul 29 2008 	What a disaster....It has such potential	I was at the Whitehall Hotel on July 22nd &amp; 23rd and was extremely disappointed. I had similar troubles as the other reviews such as closets that don't work and wet floors by the air conditioning unit. However, my big trouble started the night of the 23rd. After returning from dinner at about 11:30pm, the key to my room wouldn't work. I went to the front desk to get a new key, still no luck. I went back and they sent someone up that had all the keys, again no luck.I went down to the lobby and they said they were going to call maintenance. At 1am I must have fallen asleep in the lobby, around 2am, I was told there was a room they could put me in for a few hours while they wait for maintenance. I went to this temporary room around 2:30am because I had to depart by 8am I awoke at 6:30am to see if my room was available to get my things. Guess what, it still was not ready. At 7:10am, I received a call that the door was open (they had to cut the door apart to get in the room). As I was leaving, I asked to speak to the manager about my stay and was told that he was not available and would have to call later in the day. I left without settling my bill. I did receive a call later in the day from manager and he offered me a gift certificate for a future visit. After much discussion, I received credit for my stay. A few days later I had to call to have a receipt faxed up to me and found a number of room charges put on there that I never used. I am guessing the people that got the door open helped themselves to the bar in the room.I know this is a long review but I want people to be aware that this is an older hotel that has not been maintained well and when issues do arise don't expect immediate help.	
Jul 15 2008	There's lots to fix	Even if we didn't have a terrible experience with the front desk about the inadequacy of our first room, I would have to comment on how the hotel has deteriated since our stay just a year ago. The staff is still extremely cordial (except for our checking in experience), but our room was in terrible shape. The sliding closet doors would absolutely not move. One was open so we had access to the hangers but could not use the safe which was behind the closed part. The magnifying mirror in the bathroom was on a loose bracket and could not be used because it hung so low, not to mention that the light on it did not work. The chair at the desk had upholstery so worn that the stuffing was coming through. It looked like it should be on the sidewalk for garbage pickup.This is very sad because we were looking forward to our return after a wonderful stay last year.	
Jul 14 2008 	Has gone downhill	We discovered the Whitehall Hotel in July 2007 and had a lovely stay. Went back in July 2008 and we had a TERRIBLE experience. We arrived a bit early for check-in on a Thursday and our 2 rooms were not ready. Returned at the 3 pm check-in time and the rooms were still not ready. Waited another 30 minutes before we were given our keys. One of our rooms was tiny and across from the elevator and our other room was more spacious and down the hall away from the noise of the elevator. I went down to the front desk, explained the differences in our 2 rooms and asked to be put in a room comparable to the larger quieter room. We were told that would be an &quot;upgrade&quot; and would cost us $30 more per night. Since I couldn't imagine how that could be, as we booked and paid for identical rooms at the same time, we were told that was the case. I asked to speak with the manager but was told that the manager was in a meeting. Because we only had 60 minutes to get settled and ready for our evening reservations, I requested the larger room anyway and asked that the manager call us when the meeting was concluded. Went to our &quot;upgraded&quot; more expensive room and found the following-1) Fabric on the chair at the desk was worn to threads and the stuffing was showing. 2) Attempted to use the iron to touch up our clothes but the iron did not work. Called down to the front desk for a new iron. 30 minutes later- still no iron. After the 2nd call a new iron was delivered.3) Closet doors were broken and we could only slide it to one side, which made access to the safe impossible.4) Magnifying mirror in the bathroom was hanging loose from the wall.The front desk mangager called our room 1 hour later and even after I explained everything to her she was NOT going to make any adjustment. We arrived back from our evening activities to find a message from the hotel MANAGER telling us that as a &quot;courtesy&quot; they were reduciung the SURCHARGE FROM $30 PER NIGHT TO &quot;$15&quot; PER NIGHT. WOW, how generous of them!!The Whitehall Hotel is an old converted apartment house and they seem to have missed adding those nice little details that other small boutique hotels offer. Fresh flowers are displayed in the lobby but are not refreshed and sat there wilted. The lobby and halls are not air conditioned and can get very uncomfortable on hot, muggy days.The location of the hotel is great and other than the management, the staff is very nice. Chicago is not lacking in hotels, so we won't be returning to the Whitehall next year.	
Jul 10 2008 	Superior accomodations at a great price	The Whitehall Hotel provided us with a large room with a king size bed. The view overlooked Water Tower Place and Hancock Bldg. One block from the Magnificent Mile. The room was exceptionally clean and well appointed. It even had what appeared to be a mink fir piece covering the lower portion of the bed. The bathroom was done in marble tile and was quite attractive. Each morning we received USA Today and could get complimentary coffee and tea in the lobby. The staff was overly helpful and friendly. We arrived at 10 a.m. and called to see if we could check in at that time. They said ordinarily we could but their computer was temporarily down and they didn't know which room they could give us. They graciously took our luggage and stored it for us while we explored the city. They took my cell number and said they would call when our room was ready. They did call and we were delighted with our room. The hotel is somewhat old looking on the outside but very modern on the inside. The hallways, however, give me the ambivance of something from the twilight zone with the hall light fixtures etc.--like you experienced when you got off the elevator in MGM's Tower of Terror. Spooky, but clean, attractive and otherwise modern. This is a place in Chicago I can recommend and would stay here again. A great value!	
Jun 24 2008 	Hidden Jewel	I was a bit nervous after booking The Whitehall on one of those &quot;you don't know where you're staying until after you pay&quot; Web sites, but we thorougly enjoyed staying there. The room was upscale, clean and comfortable; the hotel's smaller size did not bother us and and its location put us right in the middle or close to Chicago's great shopping, restaurants and theatre district. The staff was wonderful! It's a hidden jewel just a block away from Michigan Ave. and we plan to return.	
Jun 22 2008 	Nice quaint hotel	I have to say that I thought that the quality of the service made this a good experience. All of the employees are very helpful and made us feel like welecome guests. Yes, the rooms are smaller then we are used to, but the were very clean and you can tell there is pride taken in the condition of the hotel. I would stay here again.	
Jun 4 2008 	Nice	Okay, it's small. The hallways are narrow. The rooms are small. The bathrooms are small. The elevators are small. But the location? A half-block from Michigan Avenue and the John Hancock Center - -in other words, exactly where you want to be. The rooms are nicely appointed, very well-maintained, and quiet. The staff are excellent. We asked for some clothes to be pressed overnight, and they were ready and perfect by breakfast -- no bones about it. The ground floor staff are ready with directions, recommendations, and a handy taxi if you decide to cab it instead of taking the very convenient bus or El.The only thing to complain about is the size of the spaces. If you're a &quot;big&quot; person -- in either width or height or both -- you might seriously do better somewhere else. But otherwise? I'm looking for another excuse to go to Chicago just to stay there.	
May 21 2008 	So-So Hotel	My husband and I stayed at the Whitehall from Friday 5/16 to Sunday 5/18 for our first anniversary. I picked this hotel based on its location. It is in a GREAT location! One block from the Hancock Observatory, Michigan Ave. (Magnificent Mile) and tons of great shops and restaurants. Also easy walking to the lake, Navy Pier, and other attractions. Luckily, we spent most of our time sightseeing, because the hotel room was not the greatest. It was definitely very small and old, but that's really all we have to complain about, and we didn't really mind since we were really only there to sleep. I also used the fitness center; its nothing fancy but it has 2 treadmills and a stairclimber and some weights. We walked for miles every day so if you plan to do that you won't even really need to use the fitness center! If you are planning to spend a lot of time in the hotel then you should choose a more luxurious, newer place. Check-in was very slow, and the front desk people were not very helpful, but Renata the concierge was extremely helpful! She suggested a great jazz place (Underground Wonder Bar, a few blocks away ) and got us a same-day reservation for a fantastic steakhouse (Erie Cafe.) Overall, we had a great experience in Chicago but the hotel was mediocre.	
Apr 22 2008 	Loved It	I went with 3 moms and our daughters for a mother/daughter weekend. It was a great experience. When we arrived in our rooms, there was a bottle of wine, chocolate covered strawberries and other fruit with a note from the management thanking us for staying there. We only paid $164.00 a night also. We stayed on the 17th floor and both rooms had nice views. The beds were very comfortable and the bathrooms were very nice and updated. The whole room was beautiful. The staff was very helpful. We were going to be gone at the play &quot;Wicked&quot; when we could get our boarding passes for the next day and the concierge volunteered to take our information home and print our passes for us. He did exactly what he said he would. He was also very helpful making dining reservations and making suggestions. The bar was very nice and the moms enjoyed going down for a glass of wine after a long day of sight seeing. Maybe some of the lower rooms were not as nice as ours but we loved everything about this place. We will stay here again. I would gladly recommend this place to everyone.	
Apr 4 2008 	To be avoided by all means	The only good thing about this hotel is that you have a view on a very nice hotel (Four Seasons) on the other side of the street.The hotel itslef has grim rooms: dark, dirty, noisy. In my room, one window was in such bad condtion that I had it my hands while trying to open it! You can image how this isolates from noice and weather conditions. The airconditioning was roaring like hell, the choice was between fresh air and headache, or none of both. Why do these hotels never get out of the business?	
Mar 31 2008	Great Location and you can get a great Deal for this Magnificent Mile Four Star	Great great location across the street from the Four Seasons and ultra luxe 900 Michigan Avenue, a block from Water Tower Place and the rest of the great shopping on North Michigan Ave.Hotel is traditional with a modest scaled rooms. The one I had was not large (typical of most city hotels) but nicely done and seemed to have been refurbished recently.Lobby is very small and often gets backed up when a group is checking in. THis can make getting to the elevator difficult. The overall level of service is OK, but not great. Also there were several large tour groups of European Doctors.I got a fantastic deal on Hotwire and would recommend this hotel at the price I paid ($180) but would not pay more than $250 or as there are better options at that price.	
Mar 22 2008 	Great location and helpful staff.	We got upgraded when we got there so our room was awesome, even though it had a terrible view. The bed was very comfortable and the staff was friendly and helpful. The location is very close to Michigan Ave. and everything else we wanted to be near. We got our room pretty cheap and I was more than impressed.	
Mar 20 2008 	Fabulous hotel with ghostly 1920s aura	I loved this place. It is so 1920s it is almost spooky. Fabulous character, wonderful staff and top nosh inexpensive food which I would pay a fortune for at home. Right next to Michigan Ave so all the tourist sights were in easy reach. Would stay here again.	
Feb 29 2008 	Great little find	Stayed in this hotel for 3 nights in September 07 with my husband, it was a quick city break with friends who joined us from Cincinnati. We booked the hotel on Hotels R Us and got a great deal for the short stay we were there.The hotel is located on a quiet side street and has a central location for the beach and all the shops just off the Mag Mile. The staff were extremely friendly and we had a great stay.The rooms although compact had everything we needed and were very nicely decorated. The bed was really comfy and had nice bed linens. I liked the touch of the free tea and coffee which was available each morning in the lobby, you could fill up as much as you wanted. Our friends came to visit one morning, they were staying in the Marriott Downtown and paid double the amount we paid and were every impressed with the hotel for value for money. We asked at reception if they could join us for coffee and they said to help themselves. with no charge which was really nice touch.| really enjoyed my stay here and would recommend the hotel to those who enjoy small stylish hotels with helpful staff , without having to pay top dollar to stay in Chicago.	
Jan 12 2008 	a little tired	The Whitehall is in a great location and is a venerable old hotel. The lobby is nice, and the staff and service are great. Unfortunately the rooms are a little tired. I've stayed here several times (booked through work) and have been in a different room each time. In all of them the wallpaper was faded and peeling in places. In two the enamel on the bathroom suite was stained and in another two the aircon/heating units were broken.However, as I say the staff are great and are more than happy to help with any requests. The location is good - 2 minutes from Michigan and a short walk to Lincoln Park.	
Jan 7 2008 	Don't accept a sub par room!	We went for a romantic weekend getaway post holidays, and chose Whitehall as we had been pleased with them in the past, and the location and price/value can't be beat... at least in our previous visits (4 plus times in the last 10 years). This visit, we had an unbelievable rate of approx $135 per night for a regular room. Well, as this was probably the cheapest rate ever, we were given the worst room. Unbelievable that they would even show a room like this to anyone, especially when the hotel was no where near capacity. Rm. 603 if you are interested.First, of course there is no view, we were expecting that for such little money. But then... we noticed an actual hole in the wall next to the radiator, and it went all the way to the outside... in Chicago, in Winter. The room was freezing! Was management aware of this? Well, there was a fur throw on the bed (and not one in the next room we transferred to). Because the room was walled in by larger buildings on all sides, it was dark dark dark. Now I realize if you get a bargain rate, you get a bargain rate room, but this was truly unacceptable. So we called downstairs to be moved to another room. They did not offer another room at the same price, but we could upgrade to Pinnacle level for $50 more per night. So we did. The room was actually the same size, actually the same room, on the 16th floor, with no hole and a great view. Unfortunately we learned early the next morning it was also right next to the maid cart closet... BANG BANG BANG! And if the first room is typical of all &quot;regular&quot; rooms, then only the &quot;pinnacle&quot; rooms are acceptable, in my opinion. I believe all the times previously we paid for the &quot;pinnacle&quot; rooms as well. Also, although the pinnacle level rooms are all the same price (except for the suites) I think many are larger and have bigger, four poster beds. On other Whitehall visits, our rooms were larger and nicer. This was by far the smallest room we had ever stayed in. So to get the best for your money, ask for a larger pinnacle room with four poster bed, away from the elevators, away from the maid closet and with a good view.My feeling is that Whitehall needs to be both price competitive (which it is) but also needs that special something (service... feeling that a guest is welcome and appreciated) that makes up for some of the inconveniences (small rooms, outdated bathrooms, tiny elevators, aging wallpaper and carpets, having to call down for ice) which can either be viewed as charming or a pain, depending on how you as a guest are treated. This time... eh...no magic. Stay here again? Not sure.	
Dec 31 2007	Location Location Location!	It was the fist time my husband and I traveled to Chicago and the location of this small 'boutique' hotel was the best part of all. It's less than half a block from Michigan Ave and a 2 minute walk away from Rush St (lots of bars, restaurants and clubs on Rush). You could walk practically everywhere; we walked all the way to Navy Pier one day. There are plenty of cabs around the area in case you prefer that too.I would not consider The Whitehall as &quot;one of the eight great small hotels of the U.S&quot; but the service from the staff was very good! The concierge was very knowledgeable and professional. The lobby had a unpleasant smell :( but at least it did not carry anywhere else. There are only 2 tiny elevators but that's ok for the size of hotel. We had a standard room on the 17th floor, facing Delaware St. with nearby buildings as our view. The room was quite small with very little room to store your belongings (we had a lot of winter gear!). It was evident that the bathroom had been remodeled and it was very nice (with the exception that our tub would get clogged quickly!) The bedding was comfortable/clean and the AC unit worked perfectly fine. They should remodel the rooms with newer furniture though.The overall experience of the hotel was very good and we would stay there again because it's in the center of it all.	
Dec 13 2007 	Overrated	Stayed here on business - i've been around the world and was unimpressed. The price i paid was a corporate rate and still felt it was too much for the quality of of the stay. While i realize I am paying for location - off the Magnificent Mile - the hotel was just - blah.	
Dec 7 2007 	Great hotel but.........	This hotel was excellent. Personal service is first class. It is quiet and central, yet sophisticated. Great staff, food and rooms. decor is restrained and a lot of wood panelling... sombre and serious , good for a quiet drink. The restaurant is attached to hotel and food /service is excellent.The only problem I had was I do not use credit cards, I pay cash. For some reason this hotel does not appreciate this commendable approach and insists on you keeping a credit balance in their favour.I have never experienced this approach in Europe. Usually the norm is to settle your account on departure. Yes, they have all your details including passport. I found this particularly irritating as I had to constantly provide deposits of dollars to satisfy the hotel desk. You wonder why this is annoying? You will find that a red light on two telephones will constantly flash when your credit has been exceeded..... if you wake early this will prevent you getting back to sleep also you feel the hotel do not trust you. This detracts from the hotels otherwise high standards. Cop on ! Why have guests if you do not trust them! I booked the holiday with my credit card Laser/Maestro, but the Whitehall does not recognise it when you are a guest. How odd is that ! Well we are not American. Get over it. great hotel otherwise. Advice ... get with the program! it's a cultural shift. P.S I love this hotel!	
Nov 26 2007	Loved it. Just like I wanted.	The Whitehall is a charming, old style hotel. Comfy bar and lounge and quality restaurant. There's a bit of wear and tear around the hotel, but it adds to the ambiance. Great location, good sized rooms and we found the staff attentive. I used to stay at the Whitehall many years ago and was pleased to see it's still a fine place to spend a vacation.	
Nov 6 2007 	Horrendous Experience	Let me begin with the good: great location and reasonably priced as compared to nearby hotels. That's it.Now to the bad: We were in Room 611 that overlooked an alley in which dumpsters from every nearby building were seemingly located. While the view was less than ideal, our issue concerned noise. On Friday morning at 6:17 a.m. (our first morning in the hotel and more than four hours before we planned on getting up) we were awoken by the incredibly loud sounds of garbage trucks backing into the alley (beeping every second or so), picking up dumpsters, and then dropping them onto the ground. If this only happened once it would still have been annoying, but might also have been a reality of staying downtown. Unfortunately, it did not happen only once. It happened repeatedly from 6:17 a.m. until around 9 a.m. (after MANY separate dumpster loads were picked up and DROPPED). Having our sleep ruined by dumpsters, we then had the rest of the morning ruined by constant whistles from bellmen hailing taxis (that lasted until at least 11 a.m.). We complained to the hotel staff who told us that there were no rooms available to move us until later that day, so we went about our business of trying to enjoy our long weekend in Chicago. When we returned to the hotel in late-afternoon, we were told that the hotel only had one room available on the 5th floor of the hotel - albeit not right over dumpster alley, but still pretty low. We asked whether dumpsters would be picked up in dumpster alley on Saturday morning (it being a weekend) and were told by the front desk person that the hotel's were not picked up on Saturday and that she did not &quot;think&quot; but (in fairness) could not be certain that other dumpsters would not be picked up the next morning. Having places to go and not wishing to re-pack and move to another low floor, we risked it one more night. BIG mistake. The next morning - at precisely 6:42 a.m. - we were greeted with the relentless sounds of dumpsters being picked up and dropped. Having a second morning completely ruined by the sound of crashing dumpsters, we again complained, and this time we did decide to re-pack and move to a much higher floor - further away from the dumpsters. It is scarcely believable that the Whitehall would not: a) warn their guests whose rooms overlook the alley; b) contact the waste management companies to adjust their pick up schedules; and c) work on soundproofing the &quot;dumpster alley&quot; rooms. Almost as bad as was the noise was the reaction of the hotel staff to our complaints. While they did ultimately change our room, most quality hotels would have comped both nights, but not the Whitehall - which ironically describes itself as a &quot;landmark destination,&quot; &quot;one of the eight great small hotels in the U.S.,&quot; and a hotel that &quot;will exceed all of [our] expectations.&quot; Indeed, we didn't even get a fruit basket.From this experience at the Whitehall, if you are planning on staying at the Whitehall you should definitely inquire whether your room faces the alley. If it does, you cannot and should not stay at this hotel unless you are planning on getting up at 6:15 a.m.	
Oct 27 2007	Boutique hotel great location	We've stayed at the Whitehall many times and this is a great hotel - rooms are always well-appointed and the location in between Rush Street and Michigan Avenue can't be beat. The sausage-grape pizza in the restaurant is fantastic.	
Oct 25 2007	good enough	Not bad at all. Good location. Concierge very helpful and knowledgable. Not as expensive as many downtown hotels and the rooms are fine with all most people would need presuming you aren't coming to Chicago just to stay in your hotel room.	
Oct 19 2007 	Tired but elegant hotel. The little hotel that could.	After reading the reviews here I was very worried about staying here. When I arrived my fears were unfounded. Our stay was very nice.This is an old hotel that at one time was very traditional, classy and elegant. As I looked around the common areas I’m sure it used to be very lovely. In many ways it still is. Many posters have described this hotel as ‘tired’. It is very tired looking, but is still somewhat elegant. Every place in this hotel is dark, or as someone else described it as ‘soft lighting’ and maybe for good reason, to hide its age.The staff at the Whitehall were all very professional and helpful. We called ahead and asked for a King pinnacle room. It was ready for us when we arrived later in the day. There are two tiny elevators for twenty floors. The elevators have recently had a facelift. The 17th floor appears to have had a facelift as well. We had room 1712 which is a corner room away from any other noise. The king pinnacle room was very tiny, but it was clean, the furniture all looked somewhat new, the newer bedding was very luxurious. The TV and the cabinet that held it were the only things that looked worn. The view out our window was of another building. This was ok. I wasn’t there to sit in my room and look out the window. Our teeny room was nicely appointed, clean, odor free, and the bed linens were new and comfortable. There is a down type comforter also there was a feather bed over the mattress, which I found odd at first, but then I got used to it and it felt somewhat cozy. The pillows on the bed were feather pillows. I slept very well, kind of like sleeping on a cloud. Our room had a pricey mini bar and an in room safe. The closet was quite large with very nice wood hangers and satin hangers. Their was an iron and ironing board. The bathroom was clean with a blow dryer, magnifying makeup mirror, bath sheet size towels. The maid was very generous with refilling our shampoos and soaps. Our room was always cleaned early and the turn down service is a nice touch.The air conditioning/heating is noisy but in a good way. It acted as ‘white noise’ for us at night. So we never heard anything else. There is a thermostat on the wall to regulate the temperature. One morning we ordered a continental breakfast and it was $25.00 for one person! Not worth the money, but works from a convenience standpoint. The parking is very pricy at approximately $44.00 a day. This price is inline with other Chicago Hotels. You do have in and out privileges.One night we ate at Fornetto Mei restaurant right next door. The menu confusing being Italian and oriental, but the food was good. The prices were average. It is a cozy, intimate, gold coast restaurant &amp; pizza bar. Just the thing for relaxing in a casual yet elegant venue. I really liked it. The location of this hotel is fabulous. I love the neighborhood, very quiet but right off Michigan Avenue and close to everything. I would stay here again, if I got a reasonable price.	
Oct 17 2007 	Great location ok hotel	We stayed three nights at the Whitehall Hotel in Chicago. The location was great; however, there are other hotels with a similar location which may be better. I'm afraid that the bloom is off the rose that is the Whitehall. In general, I would call it &quot;tired&quot;. Nothing was horribly wrong, but neither was anything outstanding. Our room left a lot to be desired. It was dark and dated. The air conditiioning was working (thank heaven, because the weather was hot), but there was a pool of water on that side of the bed the entire time. I did not realize this until we were leaving and my husband said he had been stepping over it , but didn't bother saying anything because you could see from the carpet that it was a long-standing problem about which nothing had been done to date. As well, they were rather stingy about replenishing our bathroom amenities. If they saw that there was still some product left in a bottle in the shower, they would not replenish it. Not the sign of a good hotel. We definitely would not stay here again.	
Oct 11 2007 	Great Location but Tiny Rooms - NOT A 4-5 STAR HOTEL	First of all, let me just say that the location of the hotel is great, especially if you want to shop on Michigan Avenue/Rush Street.When I arrived to check-in at 5pm on a Friday afternoon, I asked the front desk personnel if it would be possible to get two double beds, or even a King (since I was travelling with a friend.) She looked at my reservation, then looked down her nose at me and said with snotty disdain &quot;Ooh, I see you booked your stay through a third party website. I am sorry, all the kings and double rooms are &quot;committed&quot; for this evening.&quot; (She implied that kings/doubles are only available if you book directly with the hotel. Otherwise, you're stuck with a random room that nobody else wants.) When she said that, I found it rather odd that (1) every other king/doubles room was fully occupied at that point in the day, and (2) that every other guest had already checked in for the night, and there was only 1 room left in the entire hotel for me. If the king rooms were already &quot;committed&quot; to some other guest, why did I not have the ability to have them reserve one for ME??? Very suspect, and very strange.As I was waiting for the elevator, someone else came in, and asked for a king bed. The clerk &quot;Yes, sir, we do have a king available for you.&quot; I was livid. But I proceeded to my room, and my room keys did not work. After another trip to the lobby to get proper keys, I promptly entered the room to find that it was a very odd-shaped corner room scarely larger than a closet. The foot of the bed (a double bed) was so close to the armoire, I could barely open the cabinet doors. Because of the odd shape, it was hard to find a place to set our luggage without bumping into something else. Furthermore, there was no furniture/drawer space to unpack your luggage if you are planning to stay in the city for more than one night!The furniture was terribly outdated, the table tops on the desk, nightstands, and side table were badly scratched/damaged, the airconditioner ran loudly and sounded like a washing machine in mid-cycle, the alarm clock was faulty, and kept &quot;crackling&quot; audibly all night, the TV cable channels sucked (a majority of the channels were either sports or news) and the walls of the room were paper thin. We could hear every conversation in the next room.The front desk staff didn't seem knowledgeable about the area. When asked where the nearest pharmacy was, she mentioned the Walgreens on Michigan (4 blocks away.) However, there was a Walgreens only about 1.5 blocks away over on Rush.The best was when I left early one morning, the door man was standing there picking his nose, then reached out to grab the door to open it for me. I made sure not to touch that door from that point on.The Whitehall should treat all customers the same...and not give preferential treatment to customers who book their room directly with the hotel vs. a third-party website. If I had to recommend this hotel, I am not convinced I would. It needs major updating, and the staff needs to be schooled on the art of etiquette.	
Oct 3 2007	The odd niggle here and there but otherwise a Great Value Choice	The Whitehall is clearly loved by many but equally hated by others. Hopefully this review gives a more balance impression. If your looking for a 4-5* international chain hotel with modern bland features, an excessively grand lobby, vast corridors that stretch for miles and miles, and rooms and bathrooms so large that you could get lost in them, then the Whitehall is not for you. If on the other hand you're looking for a more than perfectly acceptable hotel in a superbly central location (just yards from the Hancock Tower), in a quiet location with friendly staff, then the Whitehall will suit you fine.If your budget can stretch to $600-700 and more per night then the nearby Four Seasons, Westin or numerous others (all with loyalty programs) will meet your every whim. Then again, if you're looking for change from $300-400 per night then go for the Whitehall. Sure the Whitehall lobby's small, and the elevators tiny as are most of the bathrooms, but if this means I save $200 a night then count me in. You simply can't go wrong. I also have a slight problem thinking of the Whitehall as a boutique hotel; after all it has well over 200 rooms - in Europe we think of a boutique hotel with usually no more than a few dozen rooms - but it's just a marketing label! The Whitehall will never set the world alight but I'd have no qualms in returning. It does exactly what it sets out to do. If the Whitehall can deliver what it does for the price then either the bigger chains are charging too much for what they offer or maybe we the customer should be looking for an even grander quality of service, delivering better value for money. Either way, the choice is ultimately yours. Hope this is helpful?	
Oct 2 2007 	A pure slice of HEAVEN! (+ in a great location!)	Reserved a king, pinnacle room w/hotels.com for four nights at an average of $209/nt + tax - an absolute deal of the century. Arrived 5-6 hours well before check-in (see my review of Tremont Hotel, which I couldn't wait to leave in the morning...), and was treated like royalty by the Whitehall front desk staff. I told them where I'd come from the night before, what I'd experienced, and that, if possible, I would be willing to pay extra for an early check-in if something was available. They asked me to take a seat in the lobby, so I did, and within (seriously) 5 minutes, the front desk manager walked out to where I was sitting, and presented me with my room key, informed me that there would be no extra charge, and a &quot;I know you'll enjoy your stay w/us&quot; - WOW!!The room was a king, pinnacle - sumptuous, softly-lit, spacious, CLEAN, cool and totally relaxing. Ahhhhhhh. In my 41 years on this planet, I have never slept in a more comfortable bed!!! What appeared to be 500+ thread-count sheets and duvet (far beyond my expectations!), feather bed under sheets (dreamy), and a cloud of delicious, fluffy, warm goodness (read: down comforter) on top. Did I mention the fab pillows?? More of the same - and there were six of those!The closet was spacious, well-lit, and loaded with hangers. The bathroom was absolutely perfect w/varied lighting, 1600+ watt hairdryer, FLUFFY bath sheets (not just standard-sz towels), and great marble and tile work. Hardly worth mentioning, but the only negative I can come up with (&amp; I hate to go there, but...) is that I have very thick hair and the shower water pressure was very poor - never was able to get all the shamp/cond out of my hair without using the faucet below in the shower on my hands and knees.The staff - oh, the staff! WOW! From bellhop, to housekeeper, to concierge - it just kept getting better and better!!! Clearly, the management is doing something right in their hiring and treatment of their employees. They all go the extra mile (how I would treat someone in my home) without being prompted. VERY impressive! These folks are happy, and it shows and shines!!The location, literally, cannot be beat. It's WAAAAAAAAAY better than their modest and humble hotel description. You will not be disappointed in this hotel. I can hardly wait to tell everyone about it - I think I just did!	
Sep 30 2007 	Good value better than some reviews suggested	We stayed in this hotel for a week in September 2007. After reading the reviews on TripAdviser I asked for a room facing the street and we were given one just opposite the lifts, but this caused no problems except for someone talking loudly outside the lifts one morning. The room was furnished with dark furniture but we expected this from other reviews, the bed was really comfortable, and the bathroom, although small was perfectly adequate for its purpose. The bar prices were reasonable, the only complaint was that we were not informed about the free coffee in the mornings, which we only found on the last day. I had booked at a reduced rate with LastMinute.Com. and after booking was facing the stay with some trepidation after reading reviews on other sites warning against doing this, but our fears were unfounded it was good value for the money we paid.	
Sep 25 2007 	Great Location and an Awesome Bed!	We stayed at the Whitehall for the first time on September 14-16 and we had a lovely experience. We did not want to rent a car in Chicago so the hotel location was going to be very important to us. I searched for a reasonably priced hotel near North Michigan Avenue for weeks and all of them were too expensive for us at $300.00 plus per night. I finally found www.GTAhotels.com and they had rooms at the Whitehall for $144.00 per night!When we arrived we were given a room on the 4th floor and I will be honest, the view was horrible. One window opened to face a brick wall and the other window faced the alley. That is the only bad thing I can say about the room. The room was super quiet even though the hotel was completely booked. The bed and linens were AWESOME! There were 5 pillows on the bed, two of them were down filled. There was a down comforter on the bed which felt like heaven and a faux fur throw blanket at the foot of the bed for a romantic look.The bathroom was updated and very elegant. The towels and bathrobes were soft and comfortable. Huge closet, desk, mini-bar, 2 reading chairs and tons of lamps so you could control the amount of light in the room.The very best feature still has to be the location. It was 1/2 block to Michigan Avenue and we were surrounded by fabulous stores and restaurants. It was very easy to walk down to the Navy Pier and just about anywhere else we wanted to go. The hotel held our luggage after we checked out since we had a late flight and we were able to shop and dine some more!Everyone was very friendly and the restaurant has the best thin crust pizza in town. Overall it was a very enjoyable experience and we will absolutely book another vacation at the Whitehall.	
Sep 7 2007 	Location Location Location	My husband and I stayed at the Whitehall on Saturday Sept 1. We were in town for a Cub game and due to me waiting to make reservations - we had to stay at 2 hotels over the weekend. I booked this hotel thru otel.com. I had never used them before - but it worked out well. The location of the hotel is wonderful. We were just a couple of blocks from our favorite bar (PIppin's Tavern). We took Amtrak in and did not arrive until about 9pm. We were on the 13th floor. The elevator was quite slow. It is an older hotel but we enjoyed our stay. I would certainly stay here again!	
Sep 3 2007	bad experience: hotel promised to hold room but didn't	I had a 2 night, prepaid reservation at the Whitehall, and the hotel confirmed by phone that they would hold my room even though I was arriving late. They didn't and didn't make much of an effort to find me a room elsewhere: the best they could come up with, after 30 minutes of trying, was a hotel an hour out of town.	
Aug 28 2007 	Great location is about the only good thing here	Well where do I begin. We ordered two rooms and requested that they be side by side and with each bedroom containing 2 seperate beds. There was 4 of us and we all wanted our own bed. However, we showed up at the hotel and they not only seperated us but they had us on seperate floors. However, asked if they could switch us around but they said they could not. Therefore, we decided to check out the rooms and to deal with it. However, upon entering our rooms we immediatly saw that there was one double bed. Again, we requested two beds in the room. We were extremely upset by this and contacted the manager. He admitted there were empty rooms in the hotel but it was against their policy to move or upgrade rooms for free. He said if we wanted two double beds in each room we would have to pay the cancelation fee and the room upgrade fee. I will have to say the staff is very nice but their policy is bogus. I work in customer service and have been taught to accomodate the customer in any way possible. This means going above and beyond. However, this hotel decided not to. And our last complaint was the air conditioning. The room upstairs did not work at all. The room was very unfortable. The room downstairs did have working AC. Having said all of this, the hotel is in a great location right next to the Hancock tower. The beach is 5 minute walk, Michigan Ave is 3 min, and the pier is a 15 minutes walk. The cleaning ladies were great. Everyday the room was cleaned!I hope this is an isolated incident because as you can see, there are some great things about this hotel.	
