	Loved it!	Loved it! One of my favorite hotel's that we have stayed at in Chicago. Great room, great breakfast, great location. Everyone we came in contact with was so pleasant. The lobby was beautiful. The room in nicely updated - and breakfast was delicious. Hopefully we get a chance to stay here in the future and most defiantly will recommend it to our friends.	
Mar 11 2009 	Great Location for Tourists	Just got back from a 4 night stay here with my wife and 6mnth old . Staff were friendly and helpful . Found the breakfast to be excellent . Didnt make the managers reception , but it's there . Pool opened at 6am which suited us perfectly and was clean and uncrowded. The suite suited us as we had our young daughter asleep in the complimentary crib while we watched TV in the other room and in the morning one of us sat with her in the lounge while the other got some sleep in the Bedroom. All this for $120 a night and only 2 blocks from Navy Pier one direction and 2 blocks to Michigan Ave. the other . Everything (touristy) in walking distance . While the wireless access is expensive , there is complimentary Internet Access in the Business Center available to all guests . All in all a great place for a break with kids . Very impressed	
Mar 7 2009 	Adequate but not a good example of an Embassy Suites hotel	I've stayed at many Embassy Suites and have generally had excellent experiences. Though this ES was tolerable, it was a bit of a letdown because it appeared to be a stripped-down version of the original concept. Good points: Excellent location for business; nicely finished rooms though a tad smaller than most I recall in this line. Staff are friendly and competent; cooked-to-order complimentary breakfast and Manager's Reception are, as always, strong pluses. The breakfast co-ordinator was really wonderful. An inexpensive pub-style restaurant at ground level was convenient for quick meals, and a grocery store across the street was also useful. Other points were not as strong. First, if they *must* charge for internet access (which costs them basically nothing), they shouldn't charge $15 per day *and* have only insecure wireless connections available. Upkeep was spotty; though clean, the rooms had one burned-out light bulb and the light at the computer station wasn't working either; in fact that light-and-plug combination had no power and there was nothing we could do about it because it was hard-wired. The interior courtyard, lush and gorgeous in most Embassy Suites, was open and sterile, dominated by a large vertical slate fountain that was damaged and was not in operation, nor had it been for a long time. A couple of rows of &quot;bamboos&quot; added a bit of green but the long-dead plants, to which plastic leaves were attached, had split open. Altogether rather depressing. But, if they fix some of these issues, and brought the hotel's atrium back up to ES standards, and held back on Internet fleecing, I'd recommend the place highly.	
Mar 5 2009 	Sufficient	I stayed at the Embassy Suites last January for a few nights...first off, I lived in Chicago for two years so staying in hotels is always a bit strange when I return. Anyway, the hotel is decent for business, it's in the Loop, has good access to the El and is close to Union Station. However, it was lacking something. Usually I like staying at Embassy Suites but this hotel is very unremarkable. It was clean enough and the people were nice enough but it's doubtful I'll stay there again. I'd rather stay at the Hilton downtown or even the Hilton Garden Inn on Ohio than the Embassy Suites. Plus, even as a Diamond Member, I had to pay $9.95 for internet per day. The nickle and diming really annoys me anyway, but when I stay at Hilton's 100 nights a year? Usually I get comped for stuff like this at the front desk but not this time. You've got a lot of choices downtown, and I'd look elsewhere. I will say the bar is nice in the lobby but the food for Happy Hour was pretty bland.	
Mar 1 2009 	Nice Embassy Suites .. just lacking	Stayed at this Embassy Suites for 2 nights while visiting Chicago. Arrived at the hotel at noon on a Saturday and was allowed to check-in early. Clerk who checked me in was nice, but seemed preoccupied. I took the Blue Line from O'hare to the Downtown Clark/Lake exit. The hotel is a good 10 block walk from this stop, so you may want to avoid it during inclement weather.The room was clean, however seemed a little dark and older compared to other Embassy Suites I have visited. The bathroom was on the small side. The Internet was a little slower than desired (not free). The breakfast was average and was served by pleasant staff. The Manager's Reception was also average. The elevators were fast and there was never a long wait. There were many families staying at this hotel over the weekend. Noise easily carried into my room from the adjoining rooms.Nearby the hotel is a Dominick's grocery store and a Walgreens. Attached to the hotel is a movie complex and bowling alley. The hotel is very near that Sheraton if you are trying to map it out. It is a little walk to some of the more famous restaurants in Chicago (and fast food if you are looking for a quick bite to eat). I did not use the pool but it seemed small. I noticed the hotel just refurnished its fitness center.Overall, this is an ok hotel with an ok staff. I feel the rooms could use a bit of a makeover. I would stay here again if I received a good deal.	
Feb 24 2009 	Great Hotel for location and price!!!	We stayed here for a family trip with our four kids. We chose this hotel based on price, locations, reviews and that they would allow all of us to stay in one room. (it's hard to find a hotel that doesn't make us get two room or pay a very expensive suite rate). I have read other reviews others who had a bad experience, but I will say that ours (and most others I read) was great! We checked in on a Friday afternoon. It was easy to find the valet parking and they were great. I hate to pay that much for parking, but you would find that at any hotel in Chicago. We took the elevator to the Sky Lobby to check in and waited maybe 5 minutes till it was our turn, no more that that. The staff was very nice and courteous. They had 2 people waiting to check everyone in, but as soon a line starting forming behind us, another person jumped right in to check in other guests. Our room was on the 16th floor. It is an open lobby area all the way to the ceiling so if you are a little scared of heights, you might want to get a room on the lower floors. The room was a suite with two double beds in the bedroom area with a tv and a sofabed in the living room. It had a small dining area in the living area with a flat screen tv, a larger bathroom than you see in most hotels, and a small kitchenette with a sink, a small refrigerator, and microwave. The bed linens and towels were nice and clean, with very comfortable beds. It also had a large armoire in the bedroom and a large entertainment center, and a good size closet so there was plenty of storage. The managers reception was a nice bonus as well as the breakfeast in the morning. At the managers reception you are offered all the free drinks you can drink (alcohol and non-alcoholic). I read one review that said they were disappointed that they had to wait in line for a drink, but HELLO , its free and how many people are staying there? - You have to expect to wait a little, but we never waited for long. The breakfeast in the morning was more than I expected, you had everything from pancakes and sausge to made to order omlets, cereals, fruits, yogarts, breads, juices, coffee, milk, potatoes. It is included with the price of your room, so it is free to everyone. I would recommend coming either earlier or later (we were there early) because around 8 am to 9 it is busy. The consierge was nice and very helpful. The only slightly negative thing I would say was the size of the pool. It is small (long, but not very wide), but there were never too many kids and ours had a great time. Plus, they had stacks of towels, so you didn't have to worry about bringing them from your room or running out by the pool. All in all for the price and locations in chicago (you are close to everything!) you can't beat this hotel. We will definitly stay here again.	
Dec 29 2008 	Great Hotel and Great Breakfast included!	We stayed at the Embassy Suites on Christmas day. We make an annual trip to Downtown Chicago on Christmas day and this time we decided to get a hotel room and my son and his wife came with. It's a great hotel, has a pool, whirlpool and sauna. It's in a great location. This is the second time we stayed at an Embassy Suites, we stayed at the one in Niagra Canada. Both are great hotels, Breakfast is included with your stay and it is a full breakfast. You can even get made to order omlettes. It's a great value when you consider all that is included. Draw back is cost of overnight parking, but that's the case no matter where you stay in Chicago. We usually take the train in from the suburbs and the $48 we save covers any cab fare.	
Dec 9 2008 	Great location and value	Overall, I enjoyed my five nights at the Embassy Suites. The room was very clean, with updated furnishings. Housekeeping service was excellent. There is a supermarket across the street, with a variety of hot dishes in addition to traditional groceries. Room service was prompt. It's a short walk to shopping areas and the Navy Pier. The business center was very handy for printing out airline boarding passes. Front desk staff were very friendly and helpful, especially with recommendations for public transportation and local restaurants.My only complaint about the hotel was the terrible internet service. Even after calling their technical support (overseas), the problem was not solved. Very disappointing, especially since the internet is not free.	
Nov 26 2008 	Nice large rooms true family hotel	Downtown Hotel near Navy Pier great for family's. Small pool still nice for smaller kids. Room nice large with two rooms. Good morning breakfast and free managers cocktail reception. For Business Travellers it can be good but the family's (kids) can be unexpected.	
Oct 30 2008 	Ok a maybe...	I stayed at the hotel the last week in October, 2008. Nice place that is trying real hard to be better. The entire place is glass so if you have a fear of heights ask for a low-low floor. The elevators are all glass as are the barriors on the floors. I typically stay clear of Embassy Suites when on business...too many families with crying kids. This is an exception. It is clean and the breakfast buffet/made-to-order is the best I have seen at an Embassy Suites. I hit it right at 7am and breezed through--very good food except for the cold pancakes, etc. The rooms are nice and typical Embassy fare. The front desk needs help as it is very, very slow. The biggest complaint I have (and for business travelors take note) is the internet. It is horrible. The engineering staff told me that they are working on it but that didn't help me. I simply could not do my work on either the &quot;high speed&quot; plug in or the &quot;unworkable wireless&quot;. If you need internet go somewhere else. Although they did not charge me (like I was getting anything) it is still a huge hassle. If you can get a deal on the price it is an ok place...close to the Pier if you like that aspect and a couple blocks off Michigan Ave. Easy walking area but not in the heart of the city or theatre district.	
Oct 20 2008 	Super value and location	Stayed at this hotel for a weekend business meeting and brought my 13 year old daughter. Hotel was clean and incredibly well located. It's a very short walk up to the Magnificent mile, close to the Navy Pier and not so far from the Art Institute and Millenium Park. There is a wonderful supermarket right across the street (with a Starbucks inside) and the hotel breakfast was super. Terrific place for the rate--I was not expecting it to be as good as it was, very pleasant surprise. I think you'd be hard pressed to find a comparable value in a large city.	
Oct 18 2008 	Ideal for first vist to Chicago	Stayed 3 nights, suite very comfortable although atrium access not good for the vertigo!. Staff friendly and efficient, room spotless, breakfast great.Great location 2 mins from river where you can walk to Magnificant mile	
Sep 30 2008	Sad Sad Service	Have stayed at this hotel plenty of times - easy to get to Michigan Avenue, clean rooms. But this experience was just sad. Customer service has completely gone downhill. Apparently being a Diamond Hhonors member means nothing here. I ordered flowers to be delivered via fed ex while I was there and I had to beg the front desk to bring them to my room...I tipped the person who delivered them only to find out when I checked out that I was also charged a &quot;package handling fee&quot;. Next time I'll stay at the Palmer House - they know what customer service is! Checking out may have been the worst experience ever as a large wedding party was checking out at the same time with their cart loads of gifts and the elevator situation is something to be desired. Pure chaos and not a smiling face around.	
Sep 9 2008	Great Hotel	The Embassy Suites Chicago Lakefront was a great place to stay. To start, the SkyLobby is located on the sixth floor and has a good view. Check-in was simple and quick, and the staff seemed to be helpful. The room was very nice and clean, and we had a great view of Lake Michigan from our room. The rooms were also a good size, and the couch can fold out into a queen size bed.As for as amenities go, the manager's reception was great for starting the night with some free drinks. The lines do back up but they move quickly. The free breakfast was very good especially for a hotel. The breakfast includes almost anything you need. The location of the hotel is great, just 3 blocks from Michigan Ave. and about 4 blocks from Navy Pier.I would definitely recommend this hotel to anyone.	
Sep 6 2008 	Pretty good but could be better	Hotel is located well in Chicago, in walking distance to many popular sites and attractions, such as Navy Pier, Magnificent Mile, and Hancock building (longer walk). Hotel amenities are OK, certainly the hot breakfast (but expect lines), and attractive suites, but there isn't an in-room safe or free web access. Some lamps failed to work in the suite, and batteries for TV remotes need replacement. Bedrooms are maintained nicely by the housekeeping staff. I liked our view to the south, and you could also see Lake Michigan. Easy access to lobby and street with efficient elevators. Device in lobby that allows you to print boarding passes for flights was not providing that feature. Also, pool was closed for a whole day unexpectedly. Breakfast food good, especially the quickly but well prepared omelettes. Bacon was delicious and plentiful. Free cocktails and soft drinks in early evening is a nice thing, but it's very impersonal. Don't expect a cocktail party, as many guests pick up drinks and bring them up to suites. If the price is right, then you should consider staying here.	
Aug 29 2008 	Stiff cocktails comfortable bed great location	All employees were courteous and attentive. Never had to wait for help. The rooms were typical Embassy Suites, a good size and the decor was fresh - it could not have been more than a year or two ago for new furniture, carpet, etc.My room had a view of the lake on one side - but beware - a massive condo sits directly between this hotel and the Navy Pier about 4 blocks east - so the water views are of the lake south of the pier.It was only two blocks walk to Michigan Ave. and 4 blocks walk to the pier. There is an AMC Theatre adjacent to the hotel and if I had stayed more that two nights I would have taken in a film, just due to the convenience.No complaints here!	
Aug 27 2008 	Fine 10 Day Stay	Stayed there for nine nights in August’08. Location of the hotel is good, close to Navy Pier and Magnificent Mile but yet relatively quiet. I (single traveler) had a corner room in 13th floor. No noise from the atrium to this particular room, probably because it is located somewhat further away from atrium than “regular rooms”. Room has certainly large enough for my purposes, big living room and a separate sleeping room. Room was spotless and didn’t have any scratches or other marks from previous usage, so no complains about it. Also other parts of the hotel were in very good shape. Kitchenette consisted of small fridge and a microwave oven. Room had quite nice views towards Chicago river, lake was also well visible as was Sears Tower. LAN access provided with ~10$/day, didn’t notice any WLAN. One very very minor issue though: one of two TVs in the room was not LCD (they advertise two LCDs in a room) but a old-style “tube” TV. Hotel offered free breakfast and a manager’s reception in the evening. Latter offered very little to eat (just some snacks), but plenty to drink (free beer, wine and booze) for two hours. Breakfast was, um, not that well suited for European taste but otherwise offered quite many different options. I never had to wait for an elevator more than 30 seconds or so, thus no problems for me regarding that issue (unlike some other reviewers). Then again, I left the hotel always latest at 8:15am, so avoided the real morning rush hour.Typical customers seemed to be families and there were really lots of them, but didn’t really hear any special noise (no kids running around corridors etc). Obviously there isn’t an Executive Lounge in this hotel, but did receive two water bottles as a Hilton Honors Diamond member. Better than nothing :-) So while this hotel isn’t quite Five Star ûber Luxury hotel, it did its job very well. I cannot really think of anything to complain about. One thing I noticed though (didn’t affect me) was that there was often quite long queues at the check-in desk. Would I return there? Yes, absolutely.	
Aug 20 2008 	Great location...great hotel!	We stayed here in early August when we were in town for the Chicago Distance Classic. The location is great - easy walk to Navy Pier and all the hot spots on Michigan Avenue (even for the kids). Our room was great - we got a king suite in a corner, so we had a great view and were away from the main atrium. The breakfast buffet is very good. Our only complaint was that the shower curtain was too small for the shower so we had a wet floor every morning. The shower also didn't drain properly and it took two days for them to answer our request to fix it. One other minor complaint - the concierge was never there.	
Aug 19 2008 	disappointed	when we arrived on a friday around 3pm we stood in line for at least a half an hour to check in. they only had 2 employees for a weekend check in. by the way, good luck finding your way around. we drove around the hotel 3 times to find valet then gave up and drove into self park. we hauled our own luggage. then you enter at street level, get in elevator to get to skylobby on 5th floor, then walk to another elevator to get to room. very inconvenient. the room was very small for a family of four. we took our son's double airmattress and barely squeezed it between the bed and entertainment center. we went to check out the pool. what a joke!! tiniest pool i've ever seen and always full of unruly kids at all hours. my kids were very upset they couldn't go swimming. there is so many kids at this hotel that it's always way too loud. the manager's reception from 530 to 730 is not worth the 15 minute wait in line for a tiny drink. my husband and i were in line opposite each other so we never had a chance to sit down with each other. the complimentary breakfast was terrible. got there around 8 am every day of our 3 day stay and waited in ridiculously long lines. the hot food is nasty, just absolutely gross. i got my kids cereal because i would'nt feed them that crap. we had cereal, bananas and stale donuts. my husband ventured to stand in the line one day and waited 20 minutes for 2 fried eggs while my kids and i ate our food so again we never had a chance to sit together as a family for a meal. there were too many things that we did not like so we won't be going back.	
Aug 16 2008 	Hope you aren't in a hurry.	My family and I always try to stay at another nearby hotel but we've seen how nice this one looked and wanted to give it a try, you know &quot;grass is always greener&quot; situation. To begin, we pulled up on Columbus Ave. to check in because we didn't see the valet and self park were on Illinois. No big deal, still had to figure out how to get to the check in desk which is on another floor, so I had to ask to find out how to get there.  When I got to the registration desk there was one employee checking in a guest. I was next in line and even though I walked up at the contract printout time still stood there over 8 minutes before a second employee showed up from the back. Even when she did come up, she fiddled around by the first employee for a minute or two then seemed like she decided she could check me in. She didn't greet me, no &quot;Hello&quot;, and no conversation. I had booked a more expensive rate so that my kids would each get an Olympic panda bear, but because she didn't give them to me I figured they were in the room. I honestly thought she would snap at me if I asked about them. The bears weren't in the room and I had to go back down and get in line, again over five minutes, to let them know I never received my bears.  Found valet and checked our luggage pointing out that we had already checked in. (I figured it worked out well because our luggage would get delivered that much faster, so I was doing a little better after check in.) After an HOUR AND A HALF I called down to the bellman's desk to see where our luggage was. There was no answer, so I left a message. Never was replied to. My husband had to go back down to the ground level to find our luggage and have it brought up. All said and done, it took TWO hours before we got our luggage. I booked one of the over sized corner suites and the room was very clean. There was plenty of room for us but the views were nothing to write home about. We had no problem with housekeeping and any time we had any needs or questions they were very friendly.  My husband went out to check out the facility and stopped by the concierge desk to ask a couple of questions about dinner reservations. After waiting over five minutes he stepped over to registration and asked when someone would be back. That's when we found out they send their concierge home before 6PM! And they don't even put a sign up saying they are gone and to go to registration, which again you'll probably have a wait for because they seem to only let one employee out at a time even though they are now handling check in and concierge questions. Their pool is really narrow and every time we tried to go swimming there were a ton of kids running, splashing everyone, even those on deck, and some even unsupervised. The employees don't seem to check the area at all except for towels. The pool hours are great but the really need to add an adults only time before and after their normal hours so the adults can get in laps or enjoy a peaceful hot tub. Our kids our nine and ten, and even they didn't enjoy how unruly the pool was, they didn't even get in the first time we went to the pool.  Everyone we dealt with in room service was super friendly and helpful, which was a blessing because we didn't want to leave the room. It actually changed our mood to have to do something on the Sky Level.  When we would go out to dinner or shopping we didn't want to come back to the hotel. We would have just moved to our normal hotel, but the Embassy was going to charge us for the whole stay, so it wasn't worth it.  We love Chicago and try to go a couple of times a year but this was the first time we ever wanted to go home and not stay longer.	
Aug 7 2008 	Comfortable Clean and Unpretentious	I stayed at this hotel for a conference. I had no idea what to expect, so I really went with an open mind. It is located a few blocks from the lake and is right downtown, so the location was GREAT! I found the service to be consistently very good at this hotel. From the valets to the front desk to the housekeeping staff. Everyone was friendly and approachable. The lobby is not on the ground level, it is on the sky level, so this was a bit odd. And you had to go to a separate set of elevators to get to your room (which was a pain when you entered and exited the hotel, but it was a minor inconvenience, plus, it added a layer of security which is important in a place like Chicago. The rooms are all suites, so you have a living room, a tiny &quot;kitchenette&quot; area with a fridge, sink and microwave, and a bedroom. The room was pretty clean. No major complaints. The bath was nice. The bed was comfy. The towels had that &quot;fresh scent&quot; smell like when they come out of the dryer...Mmmmm. We had a lakeview room, but the view isn't great. There are several other buildings blocking your view, but a partial view is better than no view. All guests are treated to a full breakfast and nightly cocktails (free). They have a &quot;cook to order&quot; counter where they make your eggs fresh, and they dole out goodies like bacon, sausage or biscuits and gravy. They also have a buffet-style breakfast in the dining area, if you are in a hurry. I found the breakfast to be a great added value. This hotel is pricey, and if you bring your whole family (which lots of people did), this can cut costs dramatically on trying to eat out downtown Chicago. The evening cocktails session was nice for adults to relax in the lobby and have snack and mingle. It was well attended each night I was there. The area around the hotel is great, and relatively safe for Chicago. We walked to Navy Pier and took taxis to Water Tower Place and the John Hancock Building for under $10 (with 2 people). There is a Dominick's grocery chain right across the street (full size) and a high-end grocery on the back side of the building (FABULOUS deli!). Also, a Walgreen's attached to the backside. We were there for almost four days, so we bought a few groceries for the room fridge.The only complaints I had were that the air conditioning did not cool the bedroom, as well as I would have liked at night. And the internet service was not very fast. All-in-all, we had a GREAT time, and I would definitely stay at this hotel again in the future. It was really nice to have room to spread out for a few days.	
Jul 30 2008 	Nice Stay	Just returned from our trip to Chicago, my family and I stayed at this hotel for 3 nights. We typically stay at Embassy Suite hotels because it always meets or exceeds our expectations, this hotel did just that. The hotel meet was very clean, staff was approachable, plenty of room for 5 of us, and a nice breakfast. The hotel was in a great location!! We never used a taxi, we walked to the following attractions Navy Pier, Wendella Boat tour, Bobbys Bike Hike, and Double Decker tour. On the same block of the hotel is an AMC theater and a couple of restaurants. Their is a market right across the street from the hotel with a Starbucks stand inside.The down side to the hotel is the crowd for the elevators and breakfast after 8:30am. We had to wait 15 minutes for an elevator the morning we checked out, they have 4 of them. If you want an omelete you can wait in line a very long time, we chose to skip it.Overall it was a great stay!!	
Jul 29 2008 	Location Location Location	Stayed three nights, July 24 - July 27, with three teenage boys. Road Amtrak to Union Station and grabbed a cab to Embassy Suites. Were able to walk to almost all the things we wanted to do. Walked to: Navy Pier 10 minutes, Water Tower Place for double-decker bus 10 minutes, Boat tour of the buildings on the river 5 minutes. Michigan Avenue to shop 5 minutes. We did take the train to Wrigley Field, but the walk to station was only 10 minutes. Rooms were perfect for us and the boys. Good size. Used the pull-out couch each night. Used the fridge and microwave to heat up pizza the next day. There's a Dominik's across the street that we used to buy snacks and drinks for the room. They could use another person at the check in desk. Only had one or two working there at any time. We were able to check in at 11:00 a.m., which was a pleasant surprise. We had to settle for a different room view, which wasn't a big deal, because we use the room to basically sleep in.We had an excellent stay, and highly recommend this hotel for families.	
Jul 28 2008 	Disappointed by Embassy Suites	A great planned weeked was derailed by the inefficency of the hotel staff. I booked a smoking king suite. I confirmed the reservation for late arrival, so imagine my surprise when I got to the hotel and there was no room available for me. After waiting for an hour I was given a non-smoking double room. Once I got to the room it had not been cleaned from the last guests (beds unmade, etc...). Considering we arrived at 11pm, this was quite a shock. In addition, there were no curtains in this room. I contacted the front desk and they sent housekeeping to investigate. Two hours later we were sent to another hotel chain for the night. Unfortunately, we could not check back in to the Embassy Suites until 4pm the next afternoon! This caused a rescheduling of many appointments as we had no room to shower or change in from the time of checkout at the other hotel until check in at the Embassy Suites. I am dissapointed at the lack of concern from the staff and the inability to accomodate those with reservations! Their excuse was that they were &quot;overbooked&quot;. How can you not honor a reservation?	
Jul 26 2008 	Bloodstains on the bathroom walls	Check-in was a breeze. The room looked okay at first, no cobwebs or anything. But, it was a double, not the king.I booked. Then I discovered the bathroom door would only close with a mighty heave. And I noticed the bloodstains on the wall next to the toilet. Well, I hope they're blood... And the grand finale, the inside door handle is about to fall off. Okay, off to bed.The included breakfast buffet was actually pretty decent. I didn't try the omelet station, the line was too long. A visit with one of our friends staying at the same hotel revealed that they had a refrigerator. We didn't. But there was a nice hole for one. The air conditioning works in a way. Yes, it does cool, but the thermostat is obviously waaaaay off. In order to get the room to a comfortable 78F or so, I ended up turning the thermostat down to 61Housecleaning staff was kind of surly. If you aren't out of your room when they come knocking, it doesn't get cleaned that day. So eat up and get out and stay out until dark at least. On the plus side, the location is pretty good for tourists. And there's a Dominick's grocery store (Safeway or Von's in other parts of the country) across the street.	
Jul 25 2008 	wonderful for the family	We just stayed here for three nights and experienced an excellent hotel..The rooms are extra large..and cleaned up perfectly every day ..the free breakfast, although crowded was very good with a large variety..We have stayed at many otherembassy suites..but this was one of the best..It is also close by to Navy Pier and easy to walk 4 blocks to take the redline to both ball parks..also can walk to Milennium Park and to the shopping downtown	
Jul 25 2008	Hotel was Wonderful	I stayed with my daughter and Grandkids for the 4th of July weekend, and this hotel was wonderful. All the sites we wanted to see were within walking distance and the added feature of included breakfast each morning and managers cocktails in the evening made this a very enjoyable stay. We would definitly stay here again.	
Jul 22 2008 	Convenient	Found location to be good for sightseeing... within easy walking distance to the Magnicficent Mile and Navy Pier. Many good restaurants in the area as well. Hotel is huge so there is no personalized service. Desk clerks and bellmen were friendly and helpful but the advertised concierge service was non-existent when we were there. Breakfast is included... nice variety and tasty food but the lines are very long and seem to move at a snail's pace. Rooms are OK but are rather dark and dreary and could use some sprucing up. Not much closet space. Pool is very tiny for the size of the hotel. Overall it is a good place to stay if you just want a convenient room and don't plan to spend a lot of time there but not the place if you are looking for a &quot;luxury suite to relax&quot;.	
Jun 27 2008 	Great for the Family!	We chose this hotel based on our travel agent's recommendation. It is in close proximity to Navy Pier and is within easy walking distance of Michigan Avenue. Parking in the area is at a premium, so the valet service came in very handy.The facility is very clean and neat. I have never seen a housekeeping staff so dedicated to site maintenance regardless of the time of day; due to the building design it is very apparent when a member of the staff is diligently working to ensure every surface is clean. As well, we met the hotel's Director of Security while checking in; he displayed a high level of professionalism and made our family feel at home. The pool area is very popular with families. There is a workout room equipped with Precor fitness machines that affords a fantastic panorama of the surrounding area. There is an AMC theater in the same building complex that also has a bowling alley; it was very handy when it came time to entertain three children under the age of ten. If there is a drawback, and it is specific to the hotel chain and not this location, it is the company's insistence that internet access be paid for daily ($10/day). This has been an excellent stay. I would wholeheartedly recommend this hotel.	
Jun 22 2008 	Watch Your Purse!	Hotel has kind of an odd configuration. Instead of checking in on the ground floor, you have to take the elevator to the &quot;Sky Lobby&quot; to check in, and then take different elevators to the sleeping rooms. Takes a while to figure it out. I used the automated check-in kiosk, which was pretty impersonal but worked fine. I used the same kiosk later in the trip to get boarding pass for airline.Hotel seems quite large, with big well lit central atrium-style lobby. Suites (bedroom and living room) were less impressive - mine was dark, smelled musty initially, and had some rather bizarre 1950 vintage lamps. Ugly. Two TVs (one flat screen), a nice bed and shower. Coffee maker in the room.Room service for lunch was average - not hot, but I ate every bit of it (club sandwich). The morning buffet was sumptuous - with cooked to order omelets, and lots of other stuff. Nice to have it included in the cost of the room. Staff all seemed fine - no complaints. Conference facilities were also fine.Be careful - one of our coworkers got scammed in the ground floor entrance lobby. A woman pretended to get her heel stuck in the crack at the elevator door, and when our employee went to help, an accomplice took our coworker's credit cards and cash. All got away (so far). It's apparently a common scam in the area. Bottom line - watch your stuff.	
Jun 9 2008 	What's not to like?	I visited Chicago for the first time as a hotel traveler and found the Embassy Suites to be a great deal. The entire staff was very courteous (except for the happy hour bartender) and the value was outstanding. The included breakfast is a knockout. I have never seen made to order omelettes and good quality ingredients like this at a complimentary breakfast. I disagree with the reviewer that said the place was noisy - I hear nary a peep from the approxmately 100 children staying at the hotel (they did run amok at breakfast) and the facilities were very clean, recently remodeled with plasma screens adn the like. One peeve was the chlorine odor in the atrium - the pool should have had it's own ventilation. Awesome location (blue line to clark/lake) and a $5 cab ride - 60 minutes and $7 total! The best airport transfer deal in a big city. Parking is a rip if you drove, but the lot across the street is $19 a night if you don't mind parking outside.	
May 24 2008 	My Favorite Mag. Mile Hotel	I stayed here for one night this time but stayed here every week for almost a year back in 2003 (when the hotel had just opened). I had picked this hotel after trying 20+ downtown and Magnificent Mile hotels. It was good to see that the hotel has maintained it's high quality over the years. I love the location - it is a block from Michigan Avenue restaurants/shopping and 3 blocks from the Navy Pier. The new beds are even better than in 2003. It offers all the features that come with an Embassy Suites hotel - an atrium, all suites with a sofabed, cook to order breakfast and a manager's reception (open bar) in the evening, pool and a functional gym. If you are a HHonors Gold or Diamond member, you can use the neighboring Holmes Place health club for free. It is probably the best health club I have been to in the US. The rooms facing Navy Pier or the river offer the best views. Overall, a great, comfortable hotel.	
May 12 2008 	Would return in a heartbeat!	What a great experience! This was our first time using Hotwire, and first time staying in downtown Chicago...and both turned out wonderful. We couldn't have been more pleased with the hotel. We arrived by train in the morning and hoped the hotel would allow us to check in early. They were very accomodating, allowing us into a room immediately, at least 5 hours ahead of the posted check-in time. Every staff member was friendly and helpful - especially Shirley, the hostess at the breakfast buffet. Rarely have I seen such a gracious and friendly hotel employee! By the way, this buffet is NOT your ordinary buffet, as someone previously wrote in a review. The hotel was clean, the room layout perfect for our family of 5 and the location couldn't have been better for all we wanted to do while visiting Chicago. We were able to walk to all the attractions we wanted to, except Shedd Aquarium, but that was an easy bus ride away. Also, the lake view from our room was spectacular. I highly recommend and hope to return soon!	
May 10 2008	very nice hotel	We stayed one night at the Embassy Suites near the lake and thought it was a great hotel. The interior atrium may be an architectural cliche but I still think it gives the hotel an amazing sense of openness and drama. Our room overlooked the lake and we loved the view, although a tall building partially blocked the view.The two-room suite was very clean, the bathroom was spacious and nice, and overall we were pleased with everything. The complimentary breakfast was top-notch, with no lines and great omelets. The fitness center had first-rate equipment.If you park directly you save a little money over valet parking, but it means you have to take two sets of elevators to get to your car, which can be a hassle of you are schlepping a ton of bags.	
Apr 14 2008 	Just Okay.	My wife and 18 month old stayed at the lakefront from April 8-13. It was our first stay in Chicago so I don't have other hotels in Chicago to use as a comparison but to me it was just average at best.The atrium is a really bad concept if you ask me because sound really travels through that hotel...we were on the tenth floor but it felt like our room was in the lobby bar it was so noisy. We should have requested a room on the roof. Not only is the lobby bar loud but if the people staying next to you are somewhat loud you can hear them too! I could hear the tv from next door from my room.The breakfast is great as long as you're up bright and early otherwise you'll be in line forever. Same goes for the free drinks from 5:30-7:30pm everynight...but it is free. Personally I'd rather pay $7 for a beer and get decent service.The rooms were nice and big but filthy! I picked up a piece of broken glass off the floor and about 1000 hairs came with it.Great location!Parking is a complete rip-off! $49 for 24 hr parking!	
Apr 11 2008	Great hotel	Stayed 3 nights at this hotel. Very well kept and quiet. After recent renovation everything seemed new. Service was good. Parking is expensive but valet service was very prompt. Breakfast was typical buffet. Be advised that the pool is quite small and overun with kids. Not a good pool for an adult to enjoy.It would be great if they had &quot;adults only&quot; pool times. (Like before 9am and after 10pm) \I would definately stay here again.	
Mar 30 2008 	Embassy Suites Great Location	My 5 daughters and myself stayed at this hotel over Easter break. The location is great. Rooms were clean, view was awesome, staff friendly, breakfast was very good and the cocktail hour in the evening was wonderful. We would definately stay again and the price was right! We shopped the entire time so location was very important as we walked everywhere.	
